このときに俺は笑顔で,いつまでも待つさ。ずっと一緒だよ
P,そもそも、小六で学校とアイドルを両立して炊事洗濯掃除をこなしてるだけでも超人的だから。俺と家事を分担することを負い目に感じる必要もない
ありす,しょ、将来的には、結婚したら仕事と家事を両立しないといけません。育児が入ってきたら今より大変になると思います
P,共働きになるならそれこそ家事は分担するだろ。育児だって俺なら任せきりにするつもりはないぞ。だから、頼むから少しは俺に甘えてくれ
ありす,その言い方は……卑怯です……
P,どうしたもんかなあ……
まゆ,Pさん、ちょっといいですかぁ？
P,あれ、どうした？CuPさん今日は外回りから戻らないぞ
まゆ,知ってますよぉ。今日は事務所に忘れ物をしたらしいので届けてあげるんです。あと、Pさんにお話がありまして
P,え、俺に？
まゆ,ありすちゃんのことです
P,あー、料理教えてあげてたんだっけ。ありがとな
まゆ,そのことじゃありません。最近のありすちゃんの様子の話です。まゆ、言いましたよね。ありすちゃんは本気だって
P,あ、ああ……
まゆ,昨日、一緒にお料理してたんですけど、ありすちゃんが落ち込んでましてね……何があったのか聞きました。Pさんは優しいですね？でも今、その優しさにありすちゃんは苦しめられてます
P,そう、なのかな
まゆ,そうですよぉ。ただ優しくするだけじゃ意味ないです
P,……でも元々は俺の軽率な行動が原因だからな。ありすの心の傷を癒やすために、俺は全身全霊で頑張るしかない
まゆ,……変なところで似たもの同士ですねぇ。そもそも、心の傷を回復するなんて無理なんです。それに身を捧げてお互い破滅するなんて、あまりにも悲しいですよ
P,無理、って言われてもな……
まゆ,癒やすことだけが解決じゃありません。そもそも、解決ってなんだと思います？
P,そりゃ、ありすがまた以前みたいに、普通に笑えて普通に頑張れる状態になれれば……つまり、安心させてやることができれば……
まゆ,そうですね、やっぱり不安をなくしてあげる、これが解決です
P,でも、俺の力だけじゃダメみたいなんだよな……この前も一緒に夢の国行ってきて、息抜きをしてきたんだけど
まゆ,夢の国デートですね、聞きました
P,その時、ずっとそばにいるって言ったけど、その次の日からさらに無理してるからな……
まゆ,そんなこと言ってたんですか……
P,逆にありすを追い詰めちゃったのかなあ……
まゆ,うーん、そうですねぇ。拠り所が、ないからじゃないでしょうか？
P,拠り所？
まゆ,悪く言えば、依存できる場所、ですかね。そういうのって、大事ですよ？。確かに、思い出も依存できます。けど、やっぱり人間って、目に見えるものが強いんです
P,目に見えるもの？
まゆ,例えば、まゆはこのリボンにとある想いを籠めています。想いは持っているだけでも良いですけど、やっぱり目に見える形として表しておくと、より想えます
P,……なるほどな
まゆ,なんでもいいってわけじゃないですよぉ。身につけるものがまゆ的にオススメです。指輪とか
P,うーん、それはさすがにダメかな
まゆ,大丈夫ですよぉ、ありすちゃんならまだ小学生ですし。まゆは欲しくてもまだもらえないので応援してます
P,うん、ちょっとそういう方向はやめようか。君たちアイドルだからね
まゆ,ありすちゃんをこんな気持ちにさせるPさんが言います？
P,でもアドバイスありがとう、良いこと思いついたよ
まゆ,また何かあったら相談乗りますからね？まゆはありすちゃんを全力で応援してますので
P,あー、もしもし、ちょっと頼みたいことがあるんだ。お前にしか頼めない。え、なんだって？そういうのじゃないから。あーもう、今度酒奢ってやるから。静かに、佐藤。想像以上に疲れたな……
ありす,でも、喜んでもらえたみたいでよかったです。莉嘉さんはすごいですね。あんなに大きなパーティーでも気ままに楽しめて
P,ありすも来年からパーティー開くか？
ありす,私はいいです。私は、その、たぶん戸惑ってしまうと思いますので
P,まあ、こればっかりは性格もあるからなあ
ありす,それに両親が毎年準備をしてくれてるんです……たぶん来年も
P,そうだな
ありす,……でも、Pさんに誕生日をその日に祝ってもらえるのは、羨ましいかな……
P,……なんだって？
ありす,なんでもないです
P,なあ、ありす。今日はまだ家に帰るの遅くなって大丈夫だよな？
ありす,……いいですけど。予習も終わらせてますし
P,よし、わかった。予約してたPです
ありす,Pさんがこんなお店知っていたことに驚きです
P,前に来た時に雰囲気が気に入っててさ。予約取っておかないと入れないから中々来れなかったんだよなあ
ありす,……誰と来たんですか？
P,取引先だよ
ありす,そうですか、なら良いです。……取引先と来たんですよね？
P,いやいや、取引先と来た時は普通の席だったから！
ありす,とりあえず座りますよ？
P,お、おう
ありす,こういうお店、楓さんとかが似合いそうですね
P,そうかな。あの人、実は居酒屋で安酒呷るからなあ
ありす,えぇ……
P,収入もあるんだし、もうちょっとまともなところで飲んでほしいんだけどなあ……大将、砂ずり二本！とか言っちゃうんだよなあ
ありす,……Pさんって、結構大人の人とお酒飲みに行きますよね
P,あー……ありす寂しいよな、ごめん
ありす,いえ、Pさんならその鋼の理性で間違いなど起こさないって信じてますので。私はちゃんと家を守ってますよ
P,ありすもお酒飲めるようになったら連れて行くさ
ありす,その時、子供がいたらなかなか夜にお酒飲むっていうのは難しいと思いますが……。お酒って美味しいんですか？
P,美味しいっていうか、楽しい、かな。まあ、美味しいお酒も多いけど
ありす,こういうお店だとお酒も美味しそうです
P,ダメだぞ、ありすにはまだ早いからな？
ありす,……わかってますよ
P,何、今の間。ありすもついに反抗期か。不良になっちゃうのか
ありす,そういうわけじゃありません。というか既に反抗期だと思います
P,それ、自分で言うのか
ありす,……ただ、お酒が飲めたら……酔っ払ったことを口実にPさんに甘えられるかな、って……
P,今でも普通に甘えていいんだぞ？
ありす,……Pさん、聞こえてる時と聞こえてない時の違いってなんなんですか。久しぶりに、こうしてる気がします
P,そうかな
ありす,ずっとこうしていたいです
P,週刊誌にすっぱ抜かれない程度には、これからもこうしてあげるさ
ありす,んっ！。こ、こういうのは、やっぱり恥ずかしいですね……
P,でも、悪くないだろ？
ありす,うぅ……そうですね
P,誕生日おめでとう、ありす
ありす,あ、ありがとうございます。Pさんは本当にサプライズが下手ですね
P,自分でもわかってる。もっとやりようがあったかもしれないけど、どうしてもありすの誕生日を一番最初に祝いたくて、な
ありす,……Pさんのそういうところ、好きです。サプライズ下手なくせに、私を嬉しくさせてくれるPさんが
P,ありがとな。こんな甲斐性無しを良く言ってくれて。甲斐性無しだけどさ、一応誕生日プレゼント用意しておいたから
ありす,期待してます
P,そういうこと言うなよなー。はいこれ
ありす,ゆ、指輪……！？
P,違うから。なんで君たちはそういう発想になるのかな。とりあえず開けてみ
ありす,あ、開けますね……？。これは……ネックレスですか？
P,ありすに似合うかな、って。俺のセンスがなさすぎて超不安だけどさ
ありす,いいんですか、私なんかにこんな高そうなものを……
P,そんな高そうに見える？そりゃ嬉しい。材料費はそんなかかってないんだけどな
ありす,材料費？
P,ああ、これ、俺が作ったんだよ
ありす,えっ……えっ！？Pさんがこれ作ったんですか！？
P,結構頑張っただろ。シルバークレイって言ってな、頑張れば割と作れるもんなんだ
ありす,……Pさん、本当にPさんですか？こんなお店知ってたり、こんなアクセサリー作ったり……
P,失敬な。これでもしゅがは師匠の元で猛特訓したんだ
ありす,いつの間に……心さんと……
P,前に無理して仕事詰め込んだおかげで時間に余裕ができてさ。いやー、その驚いた顔が見たかった！
ありす,そういうこと言うと台無しですからね？……サプライズ下手、っていうのは撤回しておきますけど。似合いますか？
P,ああ、めっちゃ可愛い
ありす,ふふっ……ありがとうございます。嬉しいですよ、Pさん。今までの誕生日で、一番嬉しい誕生日です。一生、大切にします……
P,ふぅ……ただいまー
ありす,おかえりなさいです。そして私もただいまです
P,ああ、おかえり
ありす,Pさんとのキス、ケーキの味がします
P,ありすのも同じケーキの味だろ。同じ物を最後に一緒に食べてるんだからさ
ありす,それでも私はケーキの混じった味の中からPさんの味を見分けることができますよ。だから厳密には違う味だと思います。Pさん、今、私に失礼なこと考えましたよね？
P,……どうかなー。さて今日はもう寝るか。疲れたし、シャワーも明日の朝の方が良いだろ
ありす,うーん……このまま寝るのは気持ち悪いですけど、仕方ないですね
P,とりあえず俺はスーツ脱いで着替えてくるわ
ありす,はい。先にリビングで待ってますね。適当に準備しておきました
P,これから寝るんじゃなかったっけ
ありす,もうちょっとだけお話したいです
P,夏休みの受験対策補講みたいの、明日もあるよな
ありす,わかってますよ？……でもせっかくの誕生日なんですし、たまにはこういうのもやってみたいんです
P,なら今日だけならまあ……でもなんだ、そのお酒は
ありす,冷蔵庫にあってイチゴだったので持ってきました
P,お酒はダメだぞ、ってさっきお店で言っただろ……
ありす,わかってますよ。これはPさんの分です
P,おいおい俺は飲むなんて一言も……
ありす,でもPさんはお酒飲みたい、って気持ちじゃないですか？。さっきのところではPさんが運転するのでお酒を飲めませんでした。なので二次会です。一緒に乾杯しましょう
P,少しだけだからな？
ありす,はいっ♪
P,じゃあ、
P・ありす,かんぱーい
P,ありすー、ちゃんとパジャマに着替えようなー？
ありす,今日はもう疲れたのでここまま寝ます……ふぁあ……。それとも、私が着替えてるところ、見たいですか？
P,ち、違うっての
ありす,……別に、見てもいいのに
P,ん？
ありす,なんでもないです。Pさん、早く寝ましょう？
P,わかったわかった
ありす,な、なんですか
P,いや、やっぱりありすは可愛いなって
ありす,今日で12歳になったんです。いつまでも子供扱いしないでください
P,わかったよ
ありす,んっ……。もう一回……
P,おう
ありす,んん……もっと……
P,わかった
ありす,もっと、もっと……。もっと、Pさんを感じていたいです……
P,もっとって……
ありす,……今日で私は一つ大人になりました。だからもう一つ、大人のキスが、したいです
P,それは、さすがにプロデューサーとアイドルとして……
ありす,……もうここまでしてるのに、今更ですよ？
P,……キスだけだからな
ありす,はいっ……ん。ぷはっ……もっと……
P,ああ、もっとだ……。ん、ありす……？。んん……！？
ありす,んー、もう朝です、か……
P,ってか時間！
ありす,え、あ、ああ、もうこんな時間ですかっ
ちひろ,こんな時どんな顔していいかわからない
P,笑えばいいんですよ
ちひろ,まったく笑えませんよ！？
P,ちひろさん落ち着いて、落ち着いて
ちひろ,これが！落ち着いて！！いられますかぁ！！！
P,は、はい
ちひろ,ロリコン！！変態！！小学生にディープキスって何考えてるんですか！！
P,それはその、酔った勢いというか……
ちひろ,言い訳すら最低でしたか！！？？
P,その点については深く反省しております
ちひろ,っていうか何が手を出してないですか！！バリバリ手を出しちゃってますよねそれ！！？？
P,いや、まだ入れてません！
ちひろ,何をだッ！！
P,ナｎ
ちひろ,通報します！
P,ごめんなさいマジ勘弁してください
ちひろ,うわっ、そんな高速な動きで土下座するとか人間の尊厳捨ててません？
P,尊厳より守りたいものがあるんです
ちひろ,でも私に自首するなんてなんか間違えてません？
P,自首じゃないです、悩みを聞いてもらってるはずなんです
ちひろ,ああ、そういう設定でしたね、話が色々と衝撃的すぎて忘れてました
P,なので、ここからが悩みの本題なんですが
ちひろ,ここから！？今までのは！？
P,前置きですかね
ちひろ,プロデューサーがアイドルとディープキスする前置きの悩みって怖すぎるんですけど、先に通報しちゃダメですか？
P,ダメです。というか通報されないようにしたいんです。ここまでならまだ条例違反にもなってませんし
ちひろ,……まあ、確かにまだ通報しても罪に問われる段階じゃないですね
P,悩んでるのは、それ以上の理由がありまして……
ありす,おかえりなさい
P,……ただいま。やっぱりいたのか
ありす,実家よりもこっちの家の方が落ち着きますし
P,うーん、ありすの家の方が広いはずなんだけどなあ
ありす,私としてはPさんと一緒の方がリラックス効果高いんです
P,それ、ご両親の前で言っちゃダメだからな？特にお父さんの前では。俺だったら娘にそんなこと言われたら精神崩壊しちゃう
ありす,Pさんは溺愛しそうですもんね……でも私たちの子供が大きくなったらちゃんと子離れしてくださいね？
P,色々早すぎるんだよなあ
ありす,それよりも、です
P,……ああ
ありす,私もただいま、です
P,ああ、おかえり。あー、なんかもう戻れないなあ
ありす,何がです？
P,ありすの料理がある生活が当たり前になりすぎて、さ
ありす,戻る必要はないので心配ないですよ
P,んー、そろそろ風呂入って寝るか
ありす,一緒に入りません？
P,ダメだ
ありす,むー、そろそろいいじゃないですか
P,まだそろそろも何も始まってません
ありす,た、確かにまだですけど、頑張れますよ？
P,うーん、話が変わってる気がするなあ。ほら、先に入っておいで。俺は洗い物とかしておくから
ありす,むぅ……わかりました。あ、Pさんおかえりなさい
P,ありす、寝る前にタブレットいじってると眠り浅くなるぞ？
ありす,夜間モードにしてブルーライトカットしてるので大丈夫ですよ
P,それ、効果あるのかなあ
ありす,睡眠は精神的なものが大切だから効果あるんじゃないですかね？
P,信じる者は救われる、と
ありす,プラシーボ効果とも言います。じゃ、寝ましょう？
P,すぐ寝るなら待ってなくても先に寝ててよかったのに
ありす,そんな意地悪、言わないでくださいよ
P,よいしょ、と。悪かったって、ごめんな
ありす,……わかってるなら、いいです。Pさん……。んっ……
P,おやすみ、ありす
ありす,……まだですよ。一つ大人になった、って言ったじゃないですか。んんっ……。ぷはっ……ぅんっ……。はぁっ……はぁっ……
P,……ごめんな、苦しかったか？
ありす,いいんです、こうしてられて、私、嬉しいです……。Pさん……私、Pさんにだったら全部、捧げてもいいです
P,ありす、
ありす,私、すっごくドキドキしてます
P,お、おい、
ありす,わかりますか？Pさんのせいで、こんなにドキドキしてるんです。このドキドキも、Pさんのものです。私は全部、Pさんのものです。だから――
P,ダメだ
ありす,……なんでですか？私が子供だからですか？アイドルだからですか？
P,どっちもだ。それより、まだ、色々早いんだっての。例えば普通に付き合ってたとして、ありすが俺の家に来てからまだ一ヶ月ちょっとだろ。階段を何段飛ばしで上っていくつもりだ
ありす,……。……わかりました。そういうことなら、仕方ないです。寝ましょうか
P,ああ、そうだな
ありす,あ、でも……あと一回だけ、キスしましょう
P,……わかったよ
ちひろ,おい
P,はい
ちひろ,入れる直前じゃないですか
P,頑張って耐えてます
ちひろ,なんとなくそんな気がしてましたけど！
P,はい
ちひろ,というかどこからどう見ても付き合ってる会話なんですけど！？
P,でも、まだそういう告白とかしてないじゃないですか
ちひろ,中学生か！っていうかありすちゃん的にはジューンブライドイベントの時に告白してPさんがOKした的な認識ですよ！
P,あー、うん、やっぱりそうなりますよね
ちひろ,断言します。今のありすちゃんはPさんの彼女です
P,なんかそれ、すっごい犯罪臭しません？
ちひろ,犯罪者一歩手前の分際でそれ言います？
P,酷い扱いですね
ちひろ,事実ですから
P,不可抗力、っていうのは……はい、往生際が悪いですね、すみません
ちひろ,ちゃんとわかってるならいいです
P,なんか怒ってません？
ちひろ,怒ってません
P,は、はい
ちひろ,それで？この話的にはありすちゃん納得して解決したように見えますけど
P,それが、まったく解決しなかったんです……
ありす,ふふふっ……今日も元気ですね……。……起きてない、ですよね。んっ……。……ん……。……ぁっ……。ぅん……あっ……。あっ……あん……。ん……あっ……ああっ……。はぁ……はぁ……Pさんがいけないんですから……
ちひろ,通報しますね
P,まだ話し始めたばかりなのに！？
ちひろ,Pさんがロリコン犯罪者っていうのは既にわかっていましたが、証拠も揃いました
P,これはさすがに不可抗力ですよね！？起きられないですよね、こんな状況！？
ちひろ,とりあえずもうPさんが悪いです
P,理不尽！？やっぱり怒ってますよね！？
ちひろ,怒りは、まあありますよ？こんなロリコンがプロデューサーだったなんて、ショックです
P,とりあえず、とりあえず！俺の話聞いてください！俺はどうにかしたいって思ってるんです！
ちひろ,まあ、ちょっとくらい弁明聞いてあげましょうか
P,なんだろう、このやるせない感じ……とりあえずありすの問題行動はエスカレートするばかりだったんです
ありす,おかえりなさい、Pさん
P,あ、ああ、ただいま
ありす,Pさん
P,ああ……
ありす,やっぱりいくら私が三食作っていても、食事だけでは栄養が偏ると思います。なのでサプリ買ってきました。ちゃんと飲んでくださいね？。んむっ……。ぅん……。はぁっ……ぁっ……。あぅ……ん……。んん……。あっ……んっ……。ぅぅん……！？。ふぅっ……。……起きてこうしてくれたら、いいのにな。……朝ご飯作らないと
P,ただいまー、って言っても今日はありすはいないんだよな。ってか、家に帰った瞬間にメッセージ飛んでくるって、やっぱり俺の動きって監視されてるんだろうなあ……。まあ、いい、飯よりまずは性欲だ。あ、あれ……ない……？。綺麗な表紙だな……ん！？。嘘……だろ……。あんまりだ……あんまりだぁぁぁ……美波似の現役JD素人モノなんて最高の動画がぁぁあ……。ということがあって、ありすにどう対応していいのかわからないんです。それが今回の悩みです
ちひろ,突っ込みたいところがありすぎるんですけど
P,はい
ちひろ,まず、無難なところから言わせてもらいますね
P,はい
ちひろ,担当アイドルを性的な目で見るな
P,仕事には持ち込まないように、プライベートで頑張ってガス抜きしてるんですよ！
ちひろ,他の子の似てる動画集めてたりしませんよね？
P,今となっては電子の闇に葬られたので、真実も闇の中で
ちひろ,おい
P,でも、でもこれ俺被害者ですよね！？しかも健気に頑張ってますよね！？
ちひろ,うーーーーん、もうなんというか、ありすちゃんもPさんも、二人ともダメです
P,俺もですか！？
ちひろ,だって、この問題、Pさんがヘタレなだけですよね
P,うっ……
ちひろ,ありすちゃんにきちんと言えない、流されてばかり、そしてしかも結局ありすちゃんのような年代の子の出てるアダルト漫画で性欲を発散している。Pさん、ダメダメじゃないですか
P,怒ってますよね……
ちひろ,怒ってるんじゃなくて、めちゃくちゃ不機嫌なだけです。Pさんがそんな人だったなんて、幻滅しました
P,で、でも、俺も一人の男なんですよ！可愛い女の子がいればそりゃ、感じるものがあるに決まってるじゃないですか！
ちひろ,私にもですか？
P,無論ですよ！ちひろさんに似たAV女優の名前言えますよ！
ちひろ,さすがにPさん気持ち悪いです
P,ぐっ……
ちひろ,まあ、百歩、いや、千歩譲ります。問題はありすちゃん、ですよね？
P,……そうです、なんとかしたいんです、本当に。俺が煩悩の塊だったとしても、担当アイドルに手を出すほど公私混同してません
ちひろ,ほとんど手を出してるようなものですけどね？
P,うっ……まあ、でも……こんなこと、さすがに文香やまゆちゃんとかに相談できるわけもないし……そもそもアイドルの子にも他のプロデューサーにも言えるわけもなくて……
ちひろ,それで私を頼ったわけですか
P,なんか女性的な目線から何かアドバイスください……打開策ください……毎晩のキスの度に精神すり減らして耐えてるんです……もう限界です……
ちひろ,アドバイスって言っても……ん？
P,どうしました？
ちひろ,いえ、ちょっとメッセージが……えﾞ
P,……ちひろさん？顔真っ青ですけど大丈夫ですか？
ちひろ,いいいいいいやなんでもないですよ！？
P,……すっごい冷や汗かきながら言われても
ちひろ,なんでもないですっ！いやー、そうですねー、ありすちゃんのことについてのアドバイスありますよ、はい！
P,ほ、ほんとうですか！
ちひろ,いいですかPさん、13歳以下と合意の上でも肉体関係を持ったら犯罪です
P,はい。それは重々承知してます。調べましたし
ちひろ,調べたんですか……まあ、でもよく考えてみてください
P,んー……？
ちひろ,犯罪は、バレなければ犯罪ではありません
P,……はい？
ちひろ,ありすちゃんのこと、責任取りましょう。そして、隠しましょう。隠すなら、私も協力します
P,いやいやいやいや！？ちひろさん、いきなり何を言い始めるんですか！？
ちひろ,もう後に引けない状態まで来てます！Pさんも腹くくってください！女性的な目線からは以上です！
P,……マジですか
ちひろ,マジです
P,……早苗さんに通報とかは？
ちひろ,しません。約束します
P,……そうは言われても……
ちひろ,いいから！今日はもう帰りましょ？ね？家でありすちゃんも待ってるでしょ？
P,どうしたんですか急に……
ちひろ,いいですから！早く帰らないと先に鍵しめちゃいますよー？
P,ちょ、準備早っ！？わかりました、わかりましたって！
ちひろ,では帰りましょうか！
P,とりあえず今日は帰りますけど、また話聞いてくださいね！？これ、頼れるのちひろさんしかいないんですから！
ちひろ,後日談なら聞きますから、早く帰りましょう！
P,後日談って……
ちひろ,なんで、わかったんですか……。あのデータも……。中身、どこまで見たんですか。……それならよかっ――。ひっ……。ち、違いますよ？大丈夫、私は応援してますから。Pさん、ありすちゃんを幸せにしないと、ダメですよ……
まゆ,お疲れ様です
ちひろ,あ、まゆちゃんお疲れ様。どうしたの？CuPさんはまだ戻らないし、レッスンまで時間あると思うんだけど……
まゆ,CuPさん、明日から出張ですからねぇ。荷物とか整理しておこうかと思いまして
ちひろ,アイドルの仕事じゃないと思うんだけどなあ……
ありす,お疲れ様です
ちひろ,ありすちゃんもお疲れ様。どうしたの？レッスンにはまだ早いしPさんはまだ戻らないけど……
ありす,Pさんのこの後は文香さんの仕事の打ち合わせですのでPさんが来るまでに資料を整理していようかと……
ちひろ,うーん、ありすちゃん、私頭痛くなってきました
ありす,そうですか。風邪なら早退した方が良いと思います
P,くぁー、終わらない
ありす,コーヒーおかわり淹れましょうか？
P,あー、ありす頼む
ありす,了解です。はい、あーん
P,うん、美味い。出汁巻き卵はありすが作るのが一番だな
ありす,Pさんと卵の趣味が合って良かったです
P,ちひろさん、相談があります
ちひろ,はい。ではまず、顔面を殴らせてください
P,はい……はい！？
ちひろ,はいって言いましたね？いきますよ？
P,な、なんでですか！？俺、何か悪いことしましたっけ！？そんな怒らせるようなことしましたっけ！？
ちひろ,大丈夫、10連でSR確定です
P,いやそんな釘パンチみたいに言わないでくださいよ！？俺から出るSRってなんですか魂ですか！？
ちひろ,じゃあ一連目いきますよー
P,ストーーップ！ダメ、ダメ、暴力ダメ落ち着いて
ちひろ,……冗談ですよ、そんなにおびえないでくださいよ
P,目が冗談じゃなかったんですけど
ちひろ,イライラしてるのは本当ですから☆
P,ええっ
ちひろ,どうせ、相談なんてわかってますからね。ありすちゃんでしょう？ありすちゃんのことなんでしょう？
P,まあ……そうなんですけど……なんでそんなに怒ってるんですか
ちひろ,さあ？でもこれだけは言っておきます
P,は、はぁ……
ちひろ,事務所内でいちゃつくな
P,い、いちゃついてませんよ！？
ちひろ,ほー？ほーーーー？事務所内であーんしたり、ありすちゃんを膝の上に乗せて抱き締めたまま仕事したり、何かある度にPさんが頭を撫でてありすちゃんがはにかんだり、そんな砂糖を詰め込んで煮込んだみたいなことを事務所で毎日やっておいて？これがいちゃついてないと？
P,す、スキンシップの一環で
ちひろ,ほーーーーー？
P,怖い、怖いですよ、ちひろさん。そんな芳乃ちゃんみたいにならないで
ちひろ,……まあ、百歩、いや千歩譲って、良いとしましょう
P,千川だけに？
ちひろ,譲るのやめましょうか？
P,ごめんなさい
ちひろ,はぁ……それで？今度は何がありました？
P,いや、あんまり言えないことなんですけどね……この前の相談の後、まあ、その、ありすと関係持ちまして
ちひろ,ついにやりやがったか
P,なんかその後から事務所で俺とありすの関係を疑われてるような気がするんです
ちひろ,完全にただの自業自得だっ！！
P,ひぇっ
ちひろ,Pさん！あなたが！場所をわきまえず！ありすちゃんと毎日いちゃこらしてるからでしょうがッッ！！
P,俺はそんなつもりじゃ……
ちひろ,あー、はい、ヤっちゃったんですね。小学生の児童とヤることヤっちゃったんですね。はーーー……
P,児童って言われるとなんかもの凄く罪深い響きが
ちひろ,響きどころか実体まで罪そのものです。まあ、最近確かに距離感近すぎるとは思いましたけど、以前の相談から限界まで早すぎませんか
P,いや、実はあの相談した夜に……
ちひろ,早すぎですよ！？
P,だ、だって、ありすが家で待っててちひろさんとの関係疑われて、そんなことないって言ってたら、その、ずるずると……
ちひろ,うわぁ……
P,ドン引きしないでくださいよ……
ちひろ,ドン引きしてるのは色々と……まあ、いつかこうなることは想像してましたけど……
P,やっぱり距離が近すぎますかね？なんかもう普通にしてるつもりなのに色々と周りに疑われて……
ちひろ,疑いも何も有罪ですけどね？
P,最近、感覚が麻痺してきてるのでどうしたらよいかな、と
ちひろ,はぁ……もう無理じゃないですかね？
P,そんな、見捨てないでくださいよ
ちひろ,はいはい……じゃあ、CuPさんに対するまゆちゃんのアタック、どう思いますか？
P,アイドルとしてはあまりよろしくないですね
ちひろ,そこはちゃんと認識あるんですね。でもPさんとありすちゃんがしてることは一緒レベルです
P,えっ！？
ちひろ,自覚ないんですか。なら、その行動をCuPさんとまゆちゃんに置き換えて、ダメだって思うものはしなければいいんじゃないですかね？
P,なるほど……助かりました。でも、これだと事務所内でやってることほとんどアウトになりません？
ちひろ,だからそう言ってんだろ
P,ひぇ……
ちひろ,ああもう、爆発しやがれです。楓さんと飲んできます！
P,……でも、なんであんなに怒ってたんだろ
