本田未央,うん……涙は見せないよ。泣くのはプロデューサーの元に帰ってきた時……嬉しい時にとっておくね
ちひろ,まあ、それも勉強の一環なんでしょう。……アイドルの子達には言わないほうがいいと思いますが
モバＰ,そりゃ言えないですって……。そうじゃなくて、留学のことを部長が言ったみたいなんですよ。ちび達に
ちひろ,あー、ティンときました。予想より泣かれて、アメリカに行く前にフォローしてくれと？
モバＰ,概ね正解です。でも泣かれてはないです。そもそも、低学年の子達はよく分かってないみたいですね
ちひろ,泣かれてはないんですね……なんか、ごめんなさい
モバＰ,そのマジトーンやめてもらえます？割とヘコむから。じゃなくて、高学年の子達が拗ねちゃったんですよ。それで部長が怯えちゃって
ちひろ,怯えるって……
モバＰ,晴とかみりあ、ありすなんかは解かりやすくブーブー言ってくるだけみたいですが。千枝が……
ちひろ,部長を怯えさせてるんですか？あの千枝ちゃんが？
モバＰ,そうなんですよ。態度こそ普通でいつも通りいい子なんですが、ふと気がつくと見つめられてると。睨むとか哀しそうな顔でとかじゃなく、まったくの無の表情で
ちひろ,……無ですか
モバＰ,無です
ちひろ,……千枝ちゃんと部長を救えるのはプロデューサーさんだけです……ガンバっ！
モバＰ,……他人事のように言ってますが、ツアーに影響をださないよう凛達には留学のこと伝えてないの忘れてませんか？
ちひろ,……ツアーっていつまででしたっけ？
モバＰ,再来週ですね
ちひろ,プロデューサーさん！出発を再来週に延期しましょう！？
モバＰ,トライアドプリムスとまゆと留美さんと美優さんと美嘉と莉嘉と……あとついでに未央と卯月とみくを救えるのはちひろさんだけです……ガンバっ！
ちひろ,具体的っ！先輩Ｐの担当の娘全員っ！モテ自慢ですか！？
モバＰ,凛達に関しては恋に恋しちゃう年頃だから俺もわきまえるけど、留美さんと美優さんについては自慢だね！なんでこんな俺を好きになってくれたんですかね！？どうしたらいいですかね！？
ちひろ,知らないですよ！なに開き直ってるんですか！？そんなんどーでもいいから出発を再来週に延期せーやぁ！！
モバＰ,ちょちょ！あぶっ！おわぁ！！
ちひろ,ふ～ふ～、それで、返事は？
モバＰ,いや、無理ですって。それより、このマウント状態は……
結城晴,……何してんだ？
モバちひ,！？
赤城みりあ,プロレス？
佐城雪美,…………心……教えて…………
心,セックス☆
モバちひ,馬鹿野郎っ！！
心,☆
モバＰ,それじゃ、佐藤さんに説教よろしくお願いしますね
ちひろ,了解です
心,やぁん☆はぁともガキんちょ達と遊びにいく～
ちひろ,……佐藤さん
心,サーセン
モバＰ,よっしゃ！お前達どこ行きたい？出発の日までどこでも付き合うぞ！
晴,分かりやすいご機嫌取りだな。部長に何か言われたな
モバＰ,変に聡い子はお兄さん困っちゃうぞ☆で、どこ行く？
みりあ,千葉にある遊園地！
晴,オレもそこに一票
雪美,……Ｐがいっしょなら…………どこでも…………
モバＰ,決まりだなっ！
みりあ,いいの！？やったぁ！！
モバＰ,ただ大人はズルいぞぉ？それでもいいかぁ？
みりあ,よくわかんないけど、負けないから大丈夫っ！
モバＰ,いい根性だっ。じゃあ、行くぞ！車に乗り込め～
みりあ,おー！ちひろさん、佐藤さん！行ってきま～す！
雪美,……行ってきます…………
晴,車で行く？……あー
モバＰ,どした、晴？
晴,んにゃ、なんでも。ちひろさん、ピンク。行ってくるな
ちひろ,は～い。行ってらっしゃーい
心,坊主コラ。待てやコラ
晴,ははは、じゃーな！
みりあ,もりのゆうえんち！
晴,やっぱな……
モバＰ,どうだ、みりあ。千葉の遊園地だぞ
みりあ,もりのっゆうえんちー！
雪美,みりあ……おもしろい…………動き……
みりあ,もっりっのっ！ゆーえんちー！！
モバＰ,そんな引っ張らんでも、もりのゆうえんちは逃げんって。ははは
みりあ,ちーがーうー！ここ、ネズミいない！パレードない！待ち時間ないっ！！ないないなーいっ！！
モバＰ,待ち時間ないのは理想だよなっ！
みりあ,もぉおお！！もりのゆうえんちぃぃいいい！！
雪美,……ダッシュ…………入場……
モバＰ,入園無料だからこそだよな。門、開きっぱなし
晴,お前なぁ……
モバＰ,……いや、急に浦安は無理だって。お前達の知名度に対して、大人が俺一人じゃ危なっかしいだろ
晴,ま、いいけど。案外こういう所も楽しいしな
モバＰ,そうそう。こういうのは楽しんだもの勝ち
雪美,Ｐ……観覧車…………乗りたい……
モバＰ,おし、じゃあ俺達も行くか！みりあ～、ちょっと待てぇ
みりあ,もりのゆうえんちぃ！！
雪美,ふふ……みりあが…………壊れた……
モバＰ,さて、今日仕事が休みなちびっ子達はどこ行きたい？
龍崎薫,もりのゆうえんち！
遊佐こずえ,もりのゆうえんちー
市原仁奈,もりのゆうえんちに行きてーです！
モバＰ,お、おぉ……なんで？
薫,みりあちゃんが凄く楽しかったって！かおるもせんせぇとサイクルモノレール乗るー！
モバＰ,確かになんだかんだ言って楽しんでたな、みりあ。ふふ
こずえ,こずえはぷろでゅーさーと……きしゃにのるのー……しゅっしゅー、ぽっぽー
仁奈,動物たちの乗り物がいっぱいあるって聞いたです。仁奈も乗ってみてーです！
モバＰ,そっかそっか。こりゃもう行くしかないな！
薫,うん！はやくいこっ！！
仁奈,Ｐ！早くしやがるですよ！
こずえ,おててつないでー……いくのー
モバＰ,はいよ！それじゃ、行ってきまーす！
拓海,なんか過保護な親父みたいだな
鈴帆,Ｐしゃんも暫く会えんようなる寂しさはあると思うけん、甘くなるのはしょうがなかばい
巴,そうじゃのぉ。うちらも甘えてみよぉか？どっか連れてってくれるかもしれんよ？
拓海,ははっそうだな。アメリカまでいっちょ頼んでみるか！
鈴帆,……拓海しゃんもやっぱり寂しいんやね
巴,いつまでもＰと一緒がええんじゃのぉ……
拓海,んな！？お、お前ら、変なノリすんじゃねぇ！寂しいとか……寂しいとかぁ！！
鈴帆,……カワイかねぇ
巴,乙女じゃのぉ……
拓海,んなぁぁあ！！
モバＰ,今日は千枝とありすか。みんなから聞いてると思うけど、全力で遊びに付き合うぞ。どこか行きたい所とかあるか？
佐々木千枝,その前にいいですか？あの……プロデューサーさんがもう少しで居なくなっちゃうから、千枝いっぱい考えました。どうしたら少しでも寂しくなくなるのかを
モバＰ,え？う、うん。どした急に
千枝,お願いを……わがままを聞いてもらいたくて……。ありすちゃんから聞きました。スカイプという映像つきの電話がパソコンにあるって
モバＰ,ん～、間違ってはないか。千枝が持ってるスマホにもアプリ入ってると思うぞ
千枝,……え？スマホ？アプリ？
橘ありす,説明不足でしたね。スマホでビデオ通話は出来ないものもあるので……パソコンで説明しちゃいました
モバＰ,俺もビデオ通話は主にパソコンでするから、気持ちはわかるよ
千枝,ぁ……パソコンじゃなくてもいいんだ……
モバＰ,なんだ、お願いってスカイプの事か。それくらいお安い御用だ！ただ、スマホだとバッテリー無くなるの早いから、もしもの時の為に外出先では禁止な
ありす,タブレットではいいですか？携帯は別に持ってますから
モバＰ,そ、そうだなぁ……節度をもってな？
ありす,ふふ、はい
千枝,ぁぅ……どうしよう……
ありす,どうしたんです？
千枝,千枝パソコン持ってないし、事務所にあるのもお仕事用で触っちゃいけないから……
モバＰ,いけないから？
千枝,その……部長さんにスカイプ用のパソコン買ってくださいって……
モバＰ,スカイプ用のパソコン……なんて贅沢っ！
千枝,だ、だって……スマホで出来るなんてしらなかったから……
モバＰ,部長はなんて？
千枝,いいよって……今日買ってきなさいって。領収書は貰ってきてねとも言ってました
モバＰ,今日買ってこいって、どんだけ早く機嫌取りたいんだ……って、あれ？金は俺が立て替えるのか？ちゃんと経費で落ちるよな……
千枝,千枝このお金返してきます。ちゃんと謝らないと……
ありす,お金預かってたんですか！？
モバＰ,あの人なに考えてんだ……いくら預かってたんだ？
千枝,この封筒に……
モバＰ,……５０万はあるな。一瞬、自分の常識を疑ってしまうほどの非常識さだな……
千枝,そんなにあったんですか！？プロデューサーさん、一緒に返しに行きましょう！？千枝、怖いです！
ありす,……いや、待ってください。別に返す必要はないのでは？パソコンを買う事の許可は得てるわけですし
千枝,で、でも……スマホでも出来るから……
ありす,それはＰさんのプライベートな番号ですよね？
モバＰ,……あ、そうか。よし、千枝！遠慮なく買いに行くぞ！５０万もあるんだから、あっちで設置する分も買っちゃおう！
千枝,え？え？
ありす,もしＰさんとスカイプしてることが明るみになった時のことを考えると、事務所でみんなと共有したほうが揉めないでしょう？
千枝,そ、そうなの？
モバＰ,そうそう。……そうなると、ちゃんと時間とか決めとかないと際限なさそうだな
ありす,……人気者アピール？モテる男はつらいとでも？実はそうでもないかもしれないのに
モバＰ,んまぁ！やな子だよっ。自分から話フッといてその言い草！このこのこのっ！
ありす,恥ずかしさを誤魔化す為にほっぺたを突っつかないでください。顔赤いですよ？
モバＰ,またそーゆーこと言う！あ、そうだ。ちょっと、ほっぺた膨らまして？
ありす,？
モバＰ,えいっ
ありす,ぶふぅ！……何がしたいんですか
モバＰ,んははは！わかんない！ただ、ありすちゃんカワイイ！それだけ！！
ありす,……馬鹿なんですから
モバＰ,ふはは。……んで、話逸れたけど、やっぱりビデオ通話である以上事務所内に留めといたほうがいいよ。スキャンダル的な意味で揉めかねん
千枝,そうですか……
ありす,スキャンダルは流石に考えすぎですね。……本音は？
モバＰ,凛達にバレた時が面倒です。あと、まゆが怖い
ありす,結局そこなんじゃないですか……
千枝,あの……で、でも……やっぱり寂しい時は、その……プライベートな番号にかけてもいいですか？
モバＰ,……みんなには内緒だぞ？
千枝,は、はい！
モバＰ,あと、部長を無の表情で見つめるの止めてあげてな？
千枝,そんなことしてたかな？でも、わかりました！
モバＰ,……ミッションコンプリート
ありす,ふふ、千枝さん元気になって良かった
モバＰ,お？ありすはいい子だなぁ！よ～しよし、いいこいいこ！
ありす,ひゃあ！もぅ……ふふ
モバＰ,よし！と言う事で、今日は買い物でいいか？
千枝,はいっ！
ありす,問題ないです
モバＰ,んじゃ、買い物デートにレッツゴー！
千枝,ゴー！
ありす,ゴ、ゴー！
ちひろ,いよいよ明日出発ですね
モバＰ,この一週間早かったなぁ
菜々,子供達とずっと遊んでましたもんねぇ
ちひろ,ツアー組の子が一時的に帰ってきても、プロデューサーさんが毎回居ないので宥めるの大変でしたよ。留学のこと言えないし……
モバＰ,お疲れさまですとしか言えねッス
ちひろ,本当に疲れてたんでしょうね……凛ちゃんが帰ってきた時についポロっと言っちゃいました
菜々,あちゃー……凛ちゃん動揺したんじゃないんですか？
ちひろ,思慮深い、それはもういい顔してました
菜々,え？いい顔？
ちひろ,奏ちゃんのデビューイベントの写真を見せて、この蒼い素敵な衣装、プロデューサーさんからのプレゼントなんですよーって言ったら、そらもういい顔
モバＰ,おうコラこのド畜生。留学のことじゃないんかい。しかも、わざわざ写真を見せてる時点でポロっともクソもねー！何言っちゃってんの！？
ちひろ,だってプロデューサーさんずっと遊んでるから……ちひろ寂しかった！
モバＰ,すげぇ……今びっくりするほどイラッとした
ちひろ,そこはキュンとくるとこでしょーがっ！そんなんだから嫌がらせの一つや二つしたくなるんですよ！
モバＰ,二つ！？
ちひろ,さっきあげたスタドリ、実はエナドリですっ！
モバＰ,しょーもなっ！プレゼントですって急にくれたから、ちょっとキュンときたのに！
ちひろ,……え？
モバＰ,あ……
ちひろ,ふふ
菜々,……ナナがイラッときたんですけど。なにイチャついてんですか
モバＰ,う゛ん！とにかく凛にフォローしといてくださいよ？デビューした記念のプレゼントで、それ以上の意味はないって
菜々,ナナも貰いましたからね。巻き込まれないよう、ナナからもお願いします！
ちひろ,はーい。……蒼い衣装ってとこもポイントなんですがねぇ……
モバＰ,え？なんですか？
ちひろ,やだっ、この人ラブコメの鈍感主人公のよう！キュンキュンしちゃう！悪い意味でっ！
モバＰ,……更にイラッとさせてくれたお礼に、良いことを教えてあげましょう。留学のこと、実は先輩も知らないんです
ちひろ,……え？なんだって？
モバＰ,やっぱ俺が居なくなる分、仕事がすんごい増えるみたいですねぇ。それ知ったらツアーぶん投げて帰ってきそうだから黙ってるんだって！きゃは☆
菜々,あ！それナナの大事なやつ！きゃは☆
ちひろ,きゃは☆じゃなくてっ！それって……
モバＰ,千川君には緩衝材として大きく期待している、だそうですよ？
ちひろ,んなっ！？
菜々,それは大変そうですねぇ
ちひろ,……プロデューサーさん、やっぱり出発するの来週にしません？
モバＰ,ハハッ！無理っ！！
ちひろ,いいから来週に延期せーやぁ！！
モバＰ,ちょ！？またっ！？おわぁ！！
菜々,だ、大丈夫ですか！？
ちひろ,ふ～ふ～
モバＰ,ちひろさん、落ち着いて。このパターンは……
晴,お前ら、また……
みりあ,あ！セックスしてるっ！
菜々,！？
雪美,Ｐ……また…………セックス？
菜々,！！？
薫,セックスっ！！って、なにー？菜々ちゃん
菜々,！？！？？
こずえ,なにー……？
菜々,！？！？？
仁奈,楓おねーさん、教えてほしいでごぜーます！
楓,菜々ちゃんがよく知ってるみたいだから、聞いてみましょう
菜々,！！？？！？！？
モバＰ,みんなタイミングよく来るなぁ……。晴、あとは頼んだ
晴,無茶言うなよ……
モバＰ,さて、そろそろ出たほうがいいかな
瑞樹,いいの？子供達まだ来てないけど
モバＰ,昨日の壮行会で充分話せましたから。改めて見送られるのも、なんか照れちゃいますし
ちひろ,そうだろうと思ってタクシー呼んどきましたよ
瑞樹,流石Ｐ君の元カノ。わかってるわね
ちひろ,誰に聞いたんですか……あれはフリをしてただけですよ。有能アシスタントと言ってください
ヘレン,つまり世界のレベルに達しているという訳ね！エクセレンっ！！
ちひろ,色々と飛躍しすぎですっ
モバＰ,はははっ。……よしっ！じゃあ、行くとしますか！
瑞樹,ふふ、頑張って……ん？
美優,お疲れさまです……あ、Ｐさん！
留美,あら、私達は会えたわね。ふふ、Ｐ君に会えないって凛ちゃん達愚痴ってたわよ
モバＰ,わーお……
留美,どうしたの？
モバＰ,いえ……まいったな……
美優,そのカバン……出張に行くんですか？
モバＰ,え？あ、あぁ！そうなんです！急に地方で仕事が入っちゃって……はは
美優,……嘘。Ｐさん、本当の事を言って下さい
モバＰ,い、いや……嘘なんて……
留美,Ｐ君。私達どれだけあなたの事見てると思ってるの？それで誤魔化せると思ってるの？私達の好意を甘くみすぎじゃない？
モバＰ,え、あ、その……
ちひろ,うわ、顔真っ赤
ヘレン,情熱的ね。嫌いじゃない、嫌いじゃないわ！
瑞樹,若いっていいわねぇ
ちひろ,割りと同年代ですよ……
美優,もしかして……この事務所を……
モバＰ,や、辞めないです！そういう事じゃなくてっ！
留美,どういう事？
モバＰ,はぁ……仕方ないか。俺、アメリカに留学することになったんです
美優,え！？な、なんで……
モバＰ,プロデュースの勉強の為に
留美,……期間は？
モバＰ,予定では一年。もしかしたら延びるかもしれないです
美優,そ、そんな……い、嫌です……行かないで…………
モバＰ,すいません……もう決まった事なんで……
美優,ぁ……いや……いや……
留美,……
瑞樹,なんかドラマチックになってきたわね
ちひろ,ハラハラしますね
ヘレン,見なさい！留美が仕掛けるわっ！
ちひろ,ちょ、ヘレンさん……んふふ
留美,Ｐ君、逃げないで聞いてくれる？
モバＰ,……
留美,これからＰ君がどこへ行こうと止めない。それがいつ帰ってこれるか分からないとしても、私は待ってる。いつまでも待ってる
モバＰ,……
留美,重い女だと思ってもいい。面倒な女だと思ってもいい。ただ、あなたが帰ってくるところはいつまでもあるから。それは忘れないで
モバＰ,……
留美,ふふ……これじゃ都合のいい女かしら
モバＰ,留美さん……
留美,でもね？それでもいいと思えるほど、あなたの事が好きなの……。愛してるわ、Ｐ君
モバＰ,っ！
美優,……
ちひろ,ほあぁ！愛してるって言葉！ドラマとか以外で初めて聞きましたっ！！
瑞樹,見てるこっちが恥ずかしくなっちゃうわね
ヘレン,日本人はシャイ過ぎるわ！奥ゆかしさも時には欠点という事を、心に留めておきなさい！ちひろっ！
ちひろ,え！？私っ！？
留美,あ、でも一つ許せないことがあるわ。なんで留学のこと嘘ついたの？
モバＰ,ツアーに影響ださないよう、部長からのお達しで……
留美,ふ～ん……それなら仕方ないわね。軽い罰で許してあげる
モバＰ,ば、罰？
留美,行ってきますのキスよ。ん
モバＰ,んな！？出来る訳ないでしょ！？
留美,ん
モバＰ,ちょちょちょ！？留美さんっ！あなたアイドル！私プロデューサー！！
瑞樹,私達以外誰も居ないんだから、ぶちゅっとやっちゃいなさい、ぶちゅっと
モバＰ,何言ってんすか！？留美さん落ち着いてっ！
ヘレン,Ｐ！そんな固い考えじゃ世界のトッププロデューサーにはなれないわ！キスなんて挨拶よっ
モバＰ,え？
ヘレン,ん～ま！
モバＰ,！？
留美,隙あり。んー
モバＰ,！！？
ちひろ,カオスですね……ぁ
美優,……
モバＰ,おわっ！
美優,は、むん……ん、んん
モバＰ,
瑞樹,これは……凄いわね……
美優,んは……私だってＰさんのこと愛してます。いつまでも待てます……んん
モバＰ,
留美,み、美優、先走った私が悪かったから……それ以上は……ね？
美優,はむ、んむ……んん
留美,美優～
モバＰ,
ちひろ,バッチシですよー。そっちはどうです？。お疲れさまです。しかし、こう見るとあんまり遠くに離れてる気がしませんねぇ。よく分からないうえに、うざいです。ん？誰か来ましたよ。プロデューサーさん？その子は……。あぁ、そっか。プロデューサーさんの勉強と並行して、本場の歌とダンスでアイドルを育成するんでしたね。は、はぁーい？え、えと……ニホンゴー、ジョーズデスネー？。え！？そんな、無茶ぶり……行っちゃった。そ、そう。本当に上手ですね。プロデューサーさんとはどこで？。バイタリティに溢れてますねぇ。ふふっ、良かったですね。ある意味つり橋効果な感じはしますが、よくよくあの人も子供に好かれますねぇ……
凛,お疲れさまです
ちひろ,あら凛ちゃん。ツアー終わって暫くオフじゃなかった？
凛,うん。昨日、一昨日はゆっくりしたけど、最近プロデューサーに会ってないから……
ちひろ,あ……マジかぁ……
奈緒,おつかれー
ちひろ,わぁ……
加蓮,ちひろさん久しぶりー
ちひろ,ひゃぁ……
凛,二人も来たんだ。考えることは一緒だね
奈緒,みたいだな。そう言えば、ちひろさん。部長が呼んでたぞ？
加蓮,なんか先輩Ｐが激昂化してるから、はよぅ！って、めっちゃダッシュしながら叫んでた
ちひろ,ここに留まるのも、あっちに行くのも嫌なんですけど……。もう、帰りたいんですけど……
加蓮,よくわかんないけど、早く行ったほうがいいんじゃない？部長必死だったよ？
ちひろ,うぅ……行ってきます……
凛,なんかあったのかな？……ん？
奈緒,え？スカイプか、これ。ちひろさんの知り合い？
凛,かわいい子だね
加蓮,あ、逃げた？
奈緒,人見知りするタイプなのか
加蓮,え？自己紹介？
奈緒,うるせぇよ！
加蓮,ふふ、ごめんごめん。あ、帰ってきた
凛,プロデューサー！？
奈緒,は？
加蓮,え？
凛,……プロデューサー何をしてるの？そこどこ？そのかわいい子達は誰？
加蓮,え？……やだよ？なんか嫌な感じがするよ？ねぇ、気のせいだよね？Ｐさん……
奈緒,おい、事と次第によっちゃ、あれだぞ？……泣くぞ？
凛,は？……は！？
加蓮,え、え？
奈緒,ちょっ、待って待って
加蓮,っ！っっ！
凛,当然でしょ！！
奈緒,ちょっと待てって！！整理出来んだろっ！。お、おう。じゃなくてっ！
加蓮,日本語上手過ぎない？。……え？
奈緒,おぉ、外国人って感じだ……って！だから、何誤魔化すように次々と。……ふふ。くそぅ、笑っちゃった……
トライアド,見た目すら日本人じゃん！！。……え！？。……え？。……え！？
