俺,かばんさんは言ったそうなのだ。困難は駄作ＳＳは
エリゲーター,ハンバーグ！！
ライオン,ケガをするかもしれないこのたたかいに意味はあるのかな？
ビーバー,もうライオンってばイジワル言って、じゃあ助けてあげないっすか？
オーロックス・アラビアオリックス,誰？
ヘラジカ,いざ吶喊！！
プレーリードッグ,とりあえず突撃でありますー！
ヘラジカ,一人多いような？
プリンセス,さあセユリアンの脅威からの解放記念パーティー始めるわよー！。いただきますも兼ねてまず挨拶から、大活躍だったじゃない
みほ,いえ、皆さんのおかげです、ありがとうございました。私、前に住んでいた所でつらい事があってジャパリパークに逃げてきました。でも皆さんと一緒に戦って逃げてばかりではダメだと気づきました。せっかく仲良くなれたのに別れるのは寂しいですが・・・私、人の住む世界に帰ります！
アライグマ,それなら大洗に行ってほしいのだ
みほ,大洗？
アライグマ,アライさんは大洗のサツマイモ畑でチョイチョイしてる所を捕まったのだ。特定外来生物による生態系等に係る被害の防止に関する法律される所を畑のオーナーのツインテールの女の子がジャパリパーク送りにしてくれて助かったのだ、恩人なのだ。だからアライさんは大洗の洗さんなのだ。動物だったアライさんにはヒトの言葉はわからなかったけど凄く困ってるみたいだったのだ。かばんさんならきっとその子を助けるコトができるのだ
サーバル,じゃーん
みほ,わぁ。たまに見かけないと思ったらバスを直してたんですね
サーバル,かばんちゃんは私達を助けてくれた！。でも心の中ではヒトの世界に戻らなきゃいけないってわかってたんだよね。ねぇかばんちゃん、私もついていっていいかな？
みほ,サーバルさん・・
サーバル,思い立ったが吉日だよ、しゅっぱーつ！！
みほ,はいっ
サーバル,さ、かばんちゃんが先に乗って
みほ,うん、サーバルさん
サーバル,～♪
みほ,サーバルさん？どうして鍵をかけてるの？
サーバル,オオカミが言ってたフレンズ型セユリアンのこと覚えてる？
みほ,え!？
サーバル,あの時は正体がバレたかとヒヤヒヤしちゃった。新種の私は擬態できるけどその分旧種の大型より弱かったりするの。でもかばんちゃんが旧種を根絶やしにしてくれたおかげで助かっちゃった
みほ,そんな…
サーバル,かばんちゃん！！
みほ,！！？
アライグマ,二人は何してるのだ？
みほ,ふう
紗希,ッテオマエカヨ
みほ,だってサーバルさんはネコだから。新種がサーバルさん一人だとは限らないんだよね。・・・。スナネコさん♪
スナネコ,えっ！？
みほ,ふう、満足。・・・
ジャガー・ライオン・マーゲイ,いやーーー！！
タイリクオオカミ,まさか本当に新種が！？
みほ,オオカミさん
タイリクオオカミ,えっ！？
みほ,ネコ目イヌ科のタイリクオオカミさん♪
タイリクオオカミ,ヒィッ！!
みほ,その怯えた表情、いただきです♪。まあネコとかイヌとかトリとかこだわるコトもないよね？
全員,わあーーーー！！？
ツチノコ,あﾞあﾞあﾞアレはパークに観光に来たバカ夫婦がさばんなちほーの解放感でおっぱじめた時に脱ぎ捨てたスケスケ黒レースに付いてた縮れ毛に藪から覗いていた俺のサンドスター・ソウ・ロウが当たってセユリアン化したパターン！？
みほ,バスの中が手狭になってきました。紗希さん、何かいい方法ありませんか？
紗希,観覧車
みほ,沙希さん天才！
ワシミミズク,かばん、やめるのです
みほ,博士をいただいた次のおかわりが欲しいのですよ。美味しい者をいただいてこその人生なのです。ジャガーさんにノッてみたいです
ジャガー,わからん、どうなるのか全っ然わからん
みほ,この紙風船隠喩。いざ勝負です！
ヘラジカ,ひぃぃ
みほ,手を使わず俺を足で蹴って弄ぶプレイはどうでしょう？。ヤリ方はぁ、ライオンさんなら見ればわかると思うよぉ？
ライオン,お前と一緒にするなぁ！
みほ,プレーリーさんがいけないんです！であります口調を聞いたせいで心の海綿体の充血を抑えられないんです！
プレーリードッグ,ヒｲｲ・・
ビーバー,お願いッス、プレーリーさんにひどい事しないでほしいッス
プレーリードッグ,来ちゃダメであります！ビーバー殿だけでも逃げるであります！
みほ,大丈夫ですよ、二人一緒です
ビーバー・プレーリードッグ,二人一緒・・・
みほ,そう、二人一緒。フレンズさん達をあらかた狩り尽くしてしまいました。大洗、カワイイ子がいっぱいいるといいですね
アルパカ,こーちゃ、はぃどぅぞ～
俺,ありがとう、うむ良い香りだ
アルパカ,ウフフ、嬉しいにぇ～
俺,ところでこんな格言を知ってるか？。愛情の反対は憎しみではなく無関心
アルパカ,マザー・テレサだにぇ～
俺,好きも嫌いも相手を想い患うのは同じってコトだな。このＳＳに批判コメを書き込む奴もその最中は俺のコトだけを考えているということだ。画面の前のそこのオマエ・・。俺のファンだな？
フルル,そーいうの予防線を張るって言うんだよね
俺,
オオコノハズク・ワシミミズク,後ろからタックルーッ!！
サーバル,ウミﾞャー!？
内田ボス,ヨクヤッタ
サーバル,ヒドいよかばんちゃん
かばん,えっ？ボクじゃないよ!？
