前スレ真,仮面ライダーも楽じゃないよ
春香,電光……
やよい,はぁぁぁ……
真,ライダー……卍ィ！
美希,Ｖ３反転……
あずさ,ライダー、キック……
千早,春香！高槻さん！
春香,平気、だよ。千早ちゃん
やよい,大丈夫ですっ！
イカデビル,ぬ、ぐ、ぅぅ……
千早,そんな、まだ！
春香,千早ちゃん。大丈夫。大丈夫だよ
イカデビル,またしても敗れたが……だが、ここで消えるわけにはいかん。世界は再び我らを忘れる……貴様らも同じだ。アイドルなど、所詮一過性の人気に過ぎん。いつか、アイドルでいられなくなった時。貴様らの信じた者たちは……
死神博士,簡単に、貴様らの事を忘れる。我々と同じように。時間の中に取り残され、過去の遺物に……
Ｐ,そんな事無いぞ！
千早,プロデューサー！
Ｐ,死神博士！俺はあんたの事を覚えてる！
死神博士,嘘を言うな、貴様はまだ若い。知りもしないだろう
Ｐ,違うんだ。俺の親父がそもそもライダーファンでな。そのおかげで、小さい頃からあんたの事は何度も見てきた
春香,私達アイドルは、いつかアイドルじゃなくなります。だけど、それまでファンだった人がいなくなるわけじゃない。惜しんでくれる人がいる。そして、その人は誰かに言うんです。あの子、好きだったんだよ……。私達は消えません。誰かの記憶の中で生き続ける。その誰かが他の誰かにその輝きを伝えて……。あなたたち悪役も、あるいはヒーローも、同じです。そんな風に考えるのは、間違っているでしょうか
Ｐ,そうだそうだ。お前みたいな悪いヤツ忘れられるか。毎週毎週１号２号苦しめやがって
死神博士,……離れていろ
Ｐ,っ春香！
死神博士,忘れるな人間達よ！我々はまた！必ず蘇る！その時今回のように、正義の味方がいると思わんことだ！。さらばだ人間達！そして仮面ライダーよ！ショッカー……万歳！
春香,……蘇った時も、きっと誰かが戦ってくれますよ
Ｐ,ああ。時代が望む時、仮面ライダーは必ず蘇る。そうだろ？
春香,はい。せまるーしょっかー
千早,地獄のぐーんだんっ
Ｐ,ご機嫌だな春香、千早
千早,ええ。春香の身体検査の結果が出たんです
Ｐ,その顔からすると……
春香,もちろん、健康体ですよっ！しっかり人間として！
Ｐ,そっか。良かったな
春香,はいっ！他の皆も同じだったみたいです！
千早,……にしても、不思議です。あれだけの事があって、皆覚えているのに
Ｐ,だな。最初から何も無かったように元通りだ
春香,幻覚でしょうか？って、そんなワケないのわかってますけど
Ｐ,さぁな、俺にはわかんないよ。だけど……
春香,そうですね。もしかすると、単に忘れられるのが嫌だったのかもしれません
千早,はた迷惑な話ね
春香,し、辛辣だね……千早ちゃん
千早,寂しいからってやっていい事と悪い事はあるわ
Ｐ,まぁその通りだな。だけど知ってるか？春香と真が出てる今期の仮面ライダーな、視聴率うなぎ登りだそうだ
春香,年齢層がすっごく広がったんだって
千早,あの事件を機に、って事かしら
Ｐ,みたいだな。俺みたいに全部見てる人も勿論元からいただろうけど、子供の頃以来見てないって人もたくさんいた。そういう人が、今回の事件で興味を持って、視聴するようになった……んじゃないかって話だ
春香,隠れライダーファンも見つかりましたしね
Ｐ,律子な。何にせよ、良い結果は残った。言ってみれば、これがショッカーの目指した物かもしれないな
千早,……終わり良ければ、とでも言えばいいんでしょうか。釈然としませんけど
春香,いいんだよ、千早ちゃん。私達は元通りで、誰も傷付かなかった。それで仮面ライダーが見直されたんなら……
Ｐ,そうだな。それでいいんじゃないか
千早,そういうものでしょうか……
Ｐ,難しく考えるな。ヒーローに憧れる心を取り戻させてくれたんだ。むしろありがたいよ
春香,あ、でもそうだとするとあの本郷さんは何者だったんでしょうか
Ｐ,さぁな、ショッカーの幹部達と同じように不確かな存在だったのかもしれないし、もしかしたら本物の……
春香,……うーん、でも、私は本物だと思う事にします。だってあの時、間違いなくあの人はヒーローだったんですもん
千早,ヒーローの条件は、誰かにそう呼ばれる事。そう考えると、アイドルと似たようなものね
Ｐ,良い事言うな。人に認められる事が一番大事って意味では同じだな
春香,それぞれのヒーローはそれぞれの心の中に……って事でどうでしょうか？
Ｐ,うん、それでいいだろ。なんか良い感じに締めとけば
千早,もう、ふたりとも……
Ｐ,ははは。どれ、快気祝いに飯でも食いに行くか。皆呼べ呼べ
春香,わっ、ほんとですか！？ごちそうになります！
千早,……ヒーローは、心の中に、か。あら？何かしら、これ……ベルト？。それに、このカードの束……これは。蝙蝠？
Ｐ,手伝ってやれなくて、春香達には悪い事したな。ま、俺が関わるとややこしくなるからな。しかし、確かに気になるな。春香の会ったライダーが何者なのか。……仕方ない、お芝居もこの辺にして、真相探りに行ってみるか。久々に会いに行こう、仮面ライダー・本郷猛に
