Turn1,愛神が生まれた日
スザク,ねぇ、リヴァル
リヴァル,なんだ？
スザク,前から思っていたんだけどさ。カレンって・・・
リヴァル,みなまで言うな。気づいてないのは一部だけだ
シャーリー,なっ！？
ルルーシュ,あぁ。じゃあ、少し貰うぞ
カレン,アンタが料理上手って聞いて頼んだだけだから！勘違いしないでよね！
ルルーシュ,はいはい
スザク,ねぇ、リヴァル
リヴァル,なんだ？
スザク,前から思っていたんだけどさ。カレンって・・・
リヴァル,みなまで言うな。気づいてないのは一部だけだ
ルルーシュ,ん・・・。普通に美味いな。あとは個人の好みの問題になるし特に問題ないだろう
シャーリー,むぅ・・・
カレン,ありがと。ちなみにルルーシュの好み的にはどうした方が良いの？あっ、別にルルーシュの為に作るとかじゃないから。あくまで１つのサンプル意見としてね
ルルーシュ,オレならもっとサッパリした味の方が好きだな
カレン,そう。分かったわ
シャーリー,る、ルル！私も明日ルルに味審査してもらいたいんだけど・・・
ルルーシュ,それは良いけどシャーリーは不器用だったよな。無理はするなよ？
シャーリー,うぐっ！大丈夫だよ！明日はルルのお弁当作ってくるから何も持ってこなくて良いよ！
ルルーシュ,分かった。楽しみにしている
シャーリー,うん！
リヴァル,なぁ、スザク・・・何で世の中こんな不公平なんだろうなぁ・・・
スザク,独りよがりな方法で得た結果に意味はないのに・・・
カレン,もぅ・・・
ルルーシュ,どうしたカレン？オレの顔に何かついてるか？
カレン,別に
ルルーシュ,こんにちは
ミレイ,おっ！来た！
ルルーシュ,どうしたんですか？
ミレイ,今日もナナリーは休み？
ルルーシュ,えぇ
ミレイ,そ。じゃあ、これで全員集合ね。ところで明後日までにナナリーは風邪治りそう？
ルルーシュ,今日は大事を取って学校を休んだだけなので、明日からは元気に学校来ると思いますよ
ミレイ,そかそか！
ルルーシュ,二人とも風邪は大丈夫か？
ジノ,お蔭さまで
ニーナ,うん
ミレイ,ルーック！
ルルーシュ,一体何が始まるんです？
ミレイ,明後日土曜から１泊２日で生徒会の秋合宿を開催しようと思います！
ルルーシュ,また急ですね
ミレイ,昨日決まったのよ！宿泊先はアーニャのバイト先でも良いかな？
アーニャ,予約は入ってなかったはず。大丈夫
ジノ,あれ？アーニャのバイト先ってミカン農園じゃなかったっけ？
アーニャ,農園がメイン。でもペンション経営もしている
ジノ,そうだったのかぁ
シャーリー,この合宿でルルと・・・
ミレイ,学外活動だから引率の先生を見つけなきゃダメなのよねぇ。誰か居る？
シャーリー,水泳部繋がりのヴィレッタ先生に頼めば来てくれると思いますけど・・・
ニーナ,良いかも
リヴァル,姫さまは？ルルーシュが頼めば喜んで来てくれるんじゃないの？
ルルーシュ,まさか。そんな暇じゃないだろ
リヴァル,頼むだけ頼んでみようぜ
アーニャ,・・・ボインは嫌い
スザク,あとは扇先生とか？いつもヒマそうだし
ミレイ,無いわね
シャーリー,無いなぁ
アーニャ,嫌
ニーナ,怖い
カレン,無理
リヴァル,うわっ。即答だよ
ジノ,女性陣全員が反対って・・・。嫌われてんなぁ、扇先生
ミレイ,後で姫先生とヴィレッタ先生に頼んでみよっか！
シャーリー,はい
ミレイ,ちなみに合宿のテーマは・・・ラブロマンスよ！
シャーリー,ラブロマンス！？
ルルーシュ,また変なイベントに付き合わされるのか・・・？
リヴァル,何をするんすか？
ミレイ,それはね・・・！。男女がペアになって行うイベントを盛り沢山にします！詳細は当日になってからのお楽しみでーす！
シャーリー,このイベントでルルと・・・！
アーニャ,・・・
リヴァル,この合宿で会長の心をオレに振り向かせるんだ！
ニーナ,あの３人から何か凄いオーラが出てる・・・
カレン,女の方が多いから全部男女ペアは無理じゃないですか？
ミレイ,そうね。その場合は女の子同士でペアになってもらお～
スザク,男同士のペアは無いって事ですか？
ミレイ,そうよん
スザク,そうですか・・・
リヴァル,お前、なんでそんなガッカリした顔してんの？
ジノ,まさかスザク・・・ルルーシュ先輩とペアになりたかったとか？
スザク,うん・・・
ルルーシュ,スザク！？
スザク,ルルーシュは僕の事を嫌いなのかい？
ルルーシュ,いや、好きだが・・・
スザク,嬉しいよルルーシュ！僕の事を大切だと言ったのは嘘じゃなかったんだね
ルルーシュ,なっ！？誤解を招くようなことを言うな！
ミレイ,わぁお・・・！
ルルーシュ,会長！？違います！これは・・・！
ニーナ,ルルーシュとスザク・・・アリかも
アーニャ,スザクの表現は不適切。ルルーシュは生徒会の皆と一緒に過ごす時間が大切と言った
シャーリー,そうなの？ルル
ルルーシュ,そうだ。変な勘違いをするな！
スザク,そうなのか・・・
ミレイ,それはそれで面白いけどねぇ？
ルルーシュ,会長！冗談きついですよ
スザク,ルルーシュ・・・僕を騙したんだね・・・
ジノ,でも良いこと言うねぇ。私も・・・
リヴァル,オレ、だろ
ジノ,あぁ。オレも皆と居る時間が楽しいからな！この時間を大切にしたいね
アーニャ,ジノの脳内名門貴族設定、まだ完治してない
ジノ,中等部二年から最近までずっと続けてたかんなぁ。癖になってるんだ。貴族口調で喋るの
リヴァル,オレにもそういう時代があったから気持ちは分かるけど、もう高等部なんだし早めに治せよ
ジノ,分かってるって！
リヴァル,ところで、スザクはどういう女の子が好きなんだ？
スザク,え？
リヴァル,ルルーシュのことが好きって勘違いされたままだとツラいだろ？言っちゃえよ！
ミレイ,私も聞きたーい！スザク君の好きな人は誰かな？
スザク,・・・僕は・・・ユフィかな・・・
リヴァル,ユフィって・・・ルルーシュの妹さんだっけ？
ルルーシュ,あぁ
ニーナ,ユーフェミアさま！？
ジノ,ニーナ！？どうしたんだ？
ミレイ,この前、スザク君のバイト先の・・・喫茶アヴァロンだっけ？あそこに行ったんだけどさ。店員のユーフェミアさんが可愛くてファンになっちゃったらしいのよ
ニーナ,そんな・・・
カレン,確かに可愛いわね・・・悔しいけど
シャーリー,確かに。妹で良かったぁ・・・
ミレイ,じゃあ、ユフィも合宿に呼びましょうか！スザク君、誘っておいてぇ
ニーナ,やったぁ！
スザク,・・・分かりました。でも、ユフィはルルーシュと付き合いたいって・・・
ニーナ,え？
ルルーシュ,そんなの冗談に決まっているだろう。ユフィとは兄妹だぞ
シャーリー,そ、そうだよね。あはは
スザク,・・・。あ、すみません。今日用事があるのでそろそろ帰ります
ミレイ,はーい。じゃ、キリが良いし今日は解散にしましょうか！
スザク,じゃあ、お先に失礼します
ジノ,おぅ！またなぁスザク！
ルルーシュ,なんだスザクのヤツ。一緒に枢木道場まで行くかと思ったら。・・・何か準備でもあるのか？
リヴァル,なぁ、ジノ。ゲーセンいかない？ブリタニアVs黒の騎士団やりに行こうぜ
ジノ,おっ！良いねぇ。トリスタンの美技を披露しよう
リヴァル,オレの愛機だってコストが低い分、何回も復活出来るからトータルで見ると良い感じなんだぜ
ジノ,全国ランキング１位のMarianneって人もリヴァルと同じガニメデだもんな
リヴァル,ルルーシュもどうだ？久々に蜃気楼見せてくれよ
ルルーシュ,あぁ。悪い。今日この後用事があるんだ
リヴァル,そっか。なら仕方ない。行こうぜジノ！
ジノ,あぁ。じゃあお先に失礼！
ニーナ,お疲れさま。私も帰ります
ミレイ,おっつー！あっ。シャーリーは引率の件をヴィレッタ先生に話してもらえるかしら？私は姫先生の所に行くから
アーニャ,暇だから私もシャーリーについていく
シャーリー,分かりました。じゃ、いこっか！アーニャ
カレン,あたしは帰ろうかな
ミレイ,よし。じゃあ、ルルーシュ。行きましょうか！
ルルーシュ,え？オレもですか？
カレン,！
アーニャ,え？
シャーリー,ルルも連れて行くんですか！？
ミレイ,だってぇ、ルルーシュって姫先生と仲良いんでしょ？だったら一緒に頼みに行った方が成功率上がるじゃない
シャーリー,そ、それならヴィレッタ先生もルルの事よく気にかけてるし・・・一緒に頼みに行った方が成功率上がるかも！
ミレイ,うーん、そうねぇ。４人で先生方の所に行きましょうか。その方がフェアだしね
アーニャ,それをオススメする
シャーリー,会長ォ・・・！はい！
カレン,あたしも行くよ
シャーリー,カレン！？
カレン,えっと、ほら。人数が多い方が熱意が伝わるじゃない？
ミレイ,ふふーん
カレン,な、なんですか？会長・・・
ミレイ,いやいや、カレンも一緒に行こ～！頑張ろうね？カレン
カレン,な・・・！
ルルーシュ,はやく用事を済ませましょう
シャーリー,あっ。そうだね。この後ルルはスザク君と約束があるんだもんね
ミレイ,そなんだ。遊ぶ約束？
ルルーシュ,いや、ユフィの事で話がしたいと言っていました
ミレイ,ははぁ～ん。なるほどね！お兄様に許可を取るって所かしら！
シャーリー,その可能性はありそうですね。さっきもユーフェミアさんが好きって言ってたし
ルルーシュ,まぁ、スザクになら妹を任せても良いと思えますがね
シャーリー,ほんと仲良いよねぇ。ルルとスザク君
ルルーシュ,８年の付き合いだからな
カレン,どうでもいいけど、ルルーシュに約束があるなら早く行きましょう？
ミレイ,おっと！そうだった。じゃ、先生の所に行こ～！
コーネリア,なに！？今週の土日にルルーシュと合宿だと！？
ルルーシュ,えぇ・・・。なので、引率の先生が必要なんです。来て頂けませんか？
コーネリア,良いだろう！この合宿で四六時中お前にくっついてマラソンを完走できる男にしてやる！
ルルーシュ,い、いえ。それは遠慮しておきます・・・
ミレイ,ありがとうございます！ルルーシュに四六時中くっつくのは困りますけど・・・
コーネリア,ダメなのか・・・？
ミレイ,合宿のイベントで男女ペアを作るので、先生もそれに参加してルルーシュとペアになったら四六時中くっつくのも可能です
コーネリア,そうか！ならば私もイベントに参加しよう！あくまでも教師として出来ない生徒を鍛えてやる為にだからな！
シャーリー,ら、ライバルが増えた・・・！？
ミレイ,ありがとうございます！あと、ユーフェミアさんにも来て頂きたいと思っているのですが
コーネリア,なに！？ユフィも来て良いのか！？
ミレイ,はい。ユーフェミアさんは生徒会の人気者なので
コーネリア,生徒会に入ってないにも関わらず人気になるとは、さすがユフィ！分かった。ユフィにも来るように伝えておく！
ミレイ,ありがとうございます！詳細はまた明日お伝えしますね
ヴィレッタ,合宿？また変なイベントを思いついたのか？
ルルーシュ,来て頂けませんかね？
ヴィレッタ,ふぅ・・・。分かった。良いぞ。だが、あんまりハメを外し過ぎるなよ
シャーリー,ありがとうございます！
扇,話は聞かせてもらった
ヴィレッタ,扇先生！？
アーニャ,うわっ・・・
扇,この大人数を引率するのは大変でしょう？オレも手伝いますよ。千草先生
ヴィレッタ,コーネリア先生も居るので間に合ってます
扇,いえいえ、何があるか分かりませんし。男手が足りてないでしょう？
ダールトン,こほん。あー・・・扇君
扇,なんですか？
ダールトン,君は今週中にこの始末書と反省文を書きたまえ
扇,な、なんですか！？この量は・・・
ダールトン,生徒やPTAからの苦情だ。多くの者が君の勤務態度は良くないと思っている。これ全てを日曜までに提出できなければ君はクビだ
扇,そ、そんな・・・
ダールトン,早く席に戻って作業にうつる事をオススメするが？
扇,く、くそぉ・・・
ヴィレッタ,ありがとうございます。教頭
ダールトン,何の事かな？まぁ、君たちも素敵な週末を楽しみたまえ
シャーリー,も、って事は教頭先生も何か週末にされるんですか？
ダールトン,あぁ。ギル先生、藤堂先生、千葉先生、あと用務員の玉城と一緒に近くのミカン農園に行く予定なんだ。あそこのミカンは美味いし釣りやゴルフも出来るからな
ミレイ,わぁお！私たちと行き先同じですよ！
ダールトン,それは奇遇だな。それなら、せっかくだから私たちでクルマを出してやろうか？
ルルーシュ,よろしいのですか？
ダールトン,構わんよ。ヴィレッタ先生もそれでいいかな？
ヴィレッタ,はい。ありがとうございます
カレン,ありがとうございます！どっかの息がクサイだけの先生と違って教頭先生は頼りになるなぁ！
扇,ｸｼｭﾝｯ！
ミレイ,では詳細はまた明日ご連絡しますね！
ダールトン,分かった。ギルたちにも伝えておこう
ミレイ,引率の先生が見つかっただけでなくクルマも出して貰えるなんてラッキーね！
ルルーシュ,そうですね・・・。っと、すみませんがオレは先に失礼します
ミレイ,うむっ。しっかりスザク君と話してきなさい！
ルルーシュ,はい。では、お疲れ様です
カレン,お疲れ様
シャーリー,またね！
アーニャ,また
ミレイ,・・・さぁて、と
シャーリー,どうしたんですか？
ミレイ,カレンに色々聞きたい事があります
カレン,な、なんですか・・・
ミレイ,まぁまぁ。ここじゃ何だし喫茶アヴァロンでも行きましょ？シャーリーも聞きたいでしょ？
シャーリー,何をですか？
ミレイ,カレンとルルーシュの進捗状況よ
シャーリー,え！？カレン、ルルの事何とも思ってないって・・・
アーニャ,・・・抜け駆けしてる？
カレン,ちょ・・・
ミレイ,さっきビビっと来たのよねぇ！
アーニャ,これは尋問するべき
ミレイ,ラブロマンスの前だしぃ、良い機会だから皆で洗いざらい話しましょ！ね？
アーニャ,ガールズトーク
カレン,は、はひ・・・
ルルーシュ,もう８年も前になるのか・・・。オレとナナリーがお祭りに行ったとき、枢木道場でスザクに出会った。昔から融通の利かない奴で・・・だからこそ、お前はオレにとっての親友になった
スザク,よく来たね。ルルーシュ
ルルーシュ,お前に来いと言われたからな。わざわざ呼び出して何の用だ？
スザク,何故来てくれたんだ？僕の事が好きだからか？
ルルーシュ,そうだ・・・。しかし、また誤解を招くような言い方をするな
スザク,僕が好きだから来た？嘘だな。今更君の言う事が信じられる訳ないだろう
ルルーシュ,は？
スザク,さっき僕はユフィが好きだって皆に嘘をついた。君と同じように・・・最低だっ！
ルルーシュ,なっ！？
スザク,何が友達だ。ずっと僕の気持ちを弄んでいたくせに。僕だけじゃない。生徒会の皆もカレンも・・・ユフィだって！
ルルーシュ,さっきから何を言っているんだ？
スザク,確かめたい！君は・・・ユフィとどうなりたいんだ？
ルルーシュ,質問の意図が・・・
スザク,答えろ！ルルーシュ！
ルルーシュ,・・・満足させたい。ユフィを満足させなければオレは死んでしまうんだよ。スザク！
スザク,カレンが君の事を好いているのは知っているか？
ルルーシュ,・・・あぁ
スザク,僕が君の事を好きだと言う事も？
ルルーシュ,・・・そうだと良いな。オレにとって初めての親友だからな・・・。だが、これは？
スザク,それでいて皆をもてあそぶような行動を取っていると？人間じゃない！君にとってユフィやカレンや僕はハーレムの駒でしかないのか！？
ルルーシュ,こいつ何を勘違いしている！？ギアスの呪いについて話して誤解を解くか？いや、話したところで世迷言だと思われるだろう。誰だってそう思う。オレだってそう思う。ここは戦略的撤退だ。・・・話は終わりか？オレは帰らせてもらうぞ。電話が・・・。この着うたはナナリーだ。じゃあな、スザク
スザク,待て
ルルーシュ,ぐはっ！。くっ・・・。いきなり何をする！？今日のお前は変だぞ！？
スザク,今は僕と話し中だ。ナナリーの電話に出る事は許さない！
ルルーシュ,ふざけるな！もしも緊急の用事だったらどうする！？
スザク,知ったことか！そんなこと！
ルルーシュ,うぅ。ナナリーに何かあったらオレは・・・。電話をさせてくれ・・・頼む
スザク,断る！
ルルーシュ,オレは生まれて人に初めて頭を下げる。恥も外聞もない。オレが知らないうちに、お前を傷つけていたのなら謝る。だからナナリーと電話を・・・
スザク,土下座なんて・・・今になって何だそれは！？許されると思っているのか！？こんなことで！
ルルーシュ,うぐぅ。思わない。オレがお前にそんな深い傷を負わせたのならな・・・。だが・・・これしかオレには・・・
スザク,今更謝るくらいならオレを受け入れろ！今すぐだ！お前の器量でオレの世界を救ってみせろ！今すぐに！君はハーレムも作れるモテる男なんだろう！？
ルルーシュ,ハーレムなんて無い。全ては偶然と成り行き。所詮オレは無力なんだ。お前が何に悩んでいるのかも何が言いたいのかも全く分からない・・・！
スザク,っ・・・答えろ、ルルーシュ！
ルルーシュ,っう・・・
スザク,オレを愛していないなら・・・。何故オレの事を好きだと言った！？何故だーっ！？
ルルーシュ,！？
スザク,お前が言った好きだと言う言葉はオレの性癖を歪ませた！愛する覚悟もないのに何故そんな言葉をかけた！？
ルルーシュ,・・・友達だからだ
スザク,オレがイジメを受けていた時、助けてくれたのは！？
ルルーシュ,生徒会の役目だからだ
スザク,ぼっちだったオレを生徒会に誘ったのは！？
ルルーシュ,力仕事出来るヤツが欲しかったからだ
スザク,生徒会でピクニックに行ったとき、集合場所まで一緒に行こうと誘ったのは！？
ルルーシュ,家が近かったからだ
スザク,その眼・・・僕は知っている。人が傷つくと知りながら本音を言っている眼だ。なら・・・。ルルーシュ。君が僕の怒りを鎮め、ナナリーの電話に出る方法があると言ったら？
ルルーシュ,・・・なに？
スザク,君は僕に嘘をついた。嘘を償い電話に出る方法は１つ。その嘘を本当にしてしまえばいい。君は僕を好きだと言った。だったら本当に僕の事を好きになってみろ。ついた嘘はに、最後まで。そして僕と大人の交際開始だ。そしたらナナリーの電話に出ても良い・・・
ルルーシュ,本当か！？お前とならどんなことでも・・・って、このバカが！こんな事されて出来る訳がない！しかも電話は既に切れている！
スザク,・・・それもそうだね。ならっ！
ルルーシュ,ぐふぉっ！？。
スザク,・・・気絶したね。これで目が覚める前にルルーシュの家に寝かせておけば今あったことは夢オチって事に出来るはず。はっ！ルルーシュは気絶している・・・今なら！？い、いや！ダメだ。間違った方法で得たカラダに意味は無い！今日はあきらめよう。威圧しながらのアプローチは失敗だった。明日は感情に訴えたアプローチで行こう。明日が楽しみだよルルーシュ
セシル,お飲物お持ちしました。オレンジジュースの方？
アーニャ,はい
セシル,どうぞ。アイスティーの方？
ミレイ&シャーリー,はい
セシル,どうぞ。こちらはコーラになります
カレン,どうも
セシル,ごゆっくりどうぞ
ミレイ,飲み物が来たところでぇ、アッシュフォード学園生徒会名物！カレンの恋愛調査会を開催します！
アーニャ,楽しみ。記念撮影
カレン,初開催なのに名物って・・・
ミレイ,それでそれで、カレンとルルーシュの関係はどこまで進んでいるのかなぁ？
アーニャ,白状するべき
カレン,あ、あたしたちは別にそんなんじゃ・・・
シャーリー,会長、昨日カレンはルルとご飯食べに行ったらしいですよ！
カレン,シャーリー！
ミレイ,ほほぉーう。カレンはルルーシュの事が好きなのかな？
カレン,そんなこと・・・ないですよ
シャーリー,本当？
カレン,た、たぶん・・・
ミレイ,でもルルーシュとご飯食べに行ったんでしょ？
カレン,それはそうですが。でもC.C.も一緒でしたよ！恋愛っぽい空気なんて全くありませんでした
シャーリー,確かにあの子が居たら、そんな雰囲気にならないかも・・・？
ミレイ,でもぉ。C.C.が席を外している時にカレンちゃんはルルちゃんにアタックしたって聞いたんだけど？
シャーリー,えぇ！？
カレン,な、なんでそれを！？
ミレイ,あ、そうなんだ？私の空想上の知り合いに聞いた話だったんだけど
カレン,なっ！？謀りましたね！？
アーニャ,どういうことなの？
シャーリー,ちゃんと話してよぉ
カレン,はぁ。会長の言った通りですよ・・・ルルーシュにアタックしました
ミレイ,どういう風にアタックしたのかなぁ？
アーニャ,詳しく
カレン,いや、そのまんまの意味なんだけど
ミレイ,カレンの悩殺ボディで誘惑してみたとか？
シャーリー,ま、まさかルルにご飯をアーンッした！？
アーニャ,ひざまくら？
カレン,いや、違います・・・。告白しました
シャーリー,告白っ！？
アーニャ,・・・先を越された
ミレイ,あらぁ、想像以上ね！カレンもそんな積極的になれるようになったなんて、お姉さん嬉しいわ
カレン,だって・・・
シャーリー,そ、そそそそれで結果は？いや！聞きたくない！でも、聞きたい・・・！あぁ、私どうすれば良いの！？
アーニャ,落ち着けば良いと思う
カレン,落ち着いてよ！返事聞く前にC.C.が席に戻ってきて保留になったわよ
シャーリー,そっかぁ
ミレイ,でも、ようやくカレンもルルーシュの事好きって白状したわね！
カレン,しつこく聞くから・・・
シャーリー,カレンもルルが好きなんて驚きでしたね～
ミレイ,私は薄々気づいてたけど
アーニャ,私も
カレン,え！？
ミレイ,こんな絵にかいたようなツンデレっ娘なかなか居ないからね～
カレン,つ、ツンデレって・・・
シャーリー,気づかなかった・・・
ミレイ,ちなみにアーニャも好きでしょ？ルルーシュの事
シャーリー&カレン,そうなの！？
アーニャ,・・・
シャーリー,ライバル多すぎ！
ミレイ,ルルーシュを好きな子をまとめてみると、ここの４人は確定よね？
アーニャ,ナナリーもルルーシュの事が好き。教室に居る間、ナナリーはルルーシュの話ばかり
シャーリー,で、でもナナちゃんは妹だし・・・
カレン,妹だけどさ。ルルーシュの妹愛も異常だからね・・・。もしかしたら一番のライバルかも・・・
シャーリー,妹と言えば、ユーフェミアさんは？ルルと付き合いたいって言ってたんでしょ？
セシル,失礼します。ケーキ４個お持ちしました
ミレイ,ありがとうございます
セシル,お話に割り込んですみませんが、ユーフェミアさんはスザク君の話をしている時嬉しそうにしますよ？私はスザク君の事が好きなんじゃないかと思っていますが
ミレイ,本当ですか！
シャーリー,スザク君も今日ユーフェミアさんが好きって言ってたんですよ
セシル,まぁ！やっぱりそうなのね。実はスザク君、今日恋してる子に告白してくるって言っていたので今頃うまくいってるかもしれませんね
ミレイ,わぁお！
セシル,お話に割り込んですみませんでした。ごゆっくりどうぞ
シャーリー,ありがとうございます
アーニャ,スザクとユーフェミアさんは両想い？
ミレイ,みたいね！良いわねぇ、両想い
カレン,でも、今日スザクが話す約束してるのってルルーシュじゃなかったっけ？
ミレイ,ルルーシュに相談してからユーフェミアさんと話すつもりだったんじゃ？
シャーリー,きっとそうですね！明日話聞くのが楽しみだなぁ
カレン,うーん・・・何か違和感があるんだけどなぁ。ま、いっか
ミレイ,まぁ、これでユーフェミアさんはルルーシュ争奪戦には入らないって事ね。他に誰か居る？
カレン,これまた血縁繋がりですけど、コーネリア先生とか？
シャーリー,あの先生、間違いなくルルの事好きだよね・・・
ミレイ,確かに。普通にライバルね・・・姉弟だけど・・・
カレン,先生繋がりでヴィレッタ先生とかは？
シャーリー,ルルの事気にかけてはいるけど、あくまでも生徒と教師って感じかなぁ
カレン,そっか
アーニャ,なぎさ先生は？
カレン,千葉先生は、どうみても藤堂先生一筋でしょ
ミレイ,藤堂先生もルルーシュ並みに鈍感だから苦労しそうよね
アーニャ,そういえば、同じクラスでナナリーの話をいつも私と一緒に聞いてる神楽耶もルルーシュに興味を持ってる
ミレイ,ルルーシュさすがね。ちなみにカグヤって子はどんな子なの？
アーニャ,子供っぽい所もある。でも容姿、性格ともに女としてのポテンシャルは学園内でトップクラスだと思う。結構厄介
ミレイ,ダークホース出現ってとこね・・・！
カレン,他に誰か居るかな？
シャーリー,ニーナは？
カレン,無いでしょ。男に興味なさそうだし
アーニャ,ニーナは腐女子
シャーリー,カレンから見てC.C.はどう？今日休みだったけど留学から帰ってきたんでしょ？
カレン,んー。正直端から見てるとルルーシュをオモチャ扱いしているようにしか見えないんだよね。言い合いばかりだけど仲は良くて・・・けど何か違うかなぁ
シャーリー,恋愛感情は無さそうだよねぇ。気を許せるふざけあえる友達って感じ？ちょっと羨ましいけど・・・
ミレイ,でも、そういう子に限って二人で居る時はデレてるかも！？
カレン,・・・無いね
シャーリー,・・・うん。無さそう
アーニャ,ルルーシュの家にたまに居るメイドは？
ミレイ,咲世子さんかぁ。あんまり話さないから分かんないなぁ
カレン,私も
シャーリー,もっと大人の人が好きそうなイメージかなぁ
ミレイ,確かに。忠義というか自分の信念を持っている大人の人とかが好きそうなタイプに見えるわね
カレン,じゃあ、ルルーシュが好きって線は無いわね。ルルーシュはまだ学生だし
ミレイ,そうね。ライバルはこれくらいかなぁ
カレン,会長、あたし、シャーリー、アーニャの4人と
アーニャ,神楽耶、ナナリー、コーネリア先生の合計7人
ミレイ,せっかくだからC.C.と神楽耶って子も合宿に呼んでみる？面白そうだし
シャーリー,私は良いですけど・・・
アーニャ,問題ない。白黒はっきりさせるチャンス
カレン,良いですよ
ミレイ,じゃ、そういう方向でいこっか！誰がルルーシュをゲットしても恨みっこなしよん
アーニャ,・・・負けない
シャーリー,私だって！私が一番ルルの事見てるもん！
ミレイ,出会ったのは私の方が数年早いけどねぇ
シャーリー,うっ！
カレン,できれば合宿前に昨日の返事を聞きたいな・・・。明日聞いてみよう
スザク,何故オレの事を好きだと言った！？何故だーっ！？。ついた嘘には、最後まで。それもそうだね。ならっ！
ルルーシュ,うわぁぁぁぁ！！。はぁ・・・はぁ・・・夢、か？やけに鮮明だったな・・・。ここはオレの家？オレは枢木道場に行って・・・いつの間に家に帰っていたんだ・・・？
ナナリー,お兄さま？悲鳴が聞こえてきたのですが大丈夫ですか？
ルルーシュ,あぁ・・・。ナナリー、オレはいつ帰ってきたか分かるか？
ナナリー,さきほどスザクさんがお兄様を担いできました。枢木道場でお兄様とお話しする約束だったけど、いつまでも来ないので様子を見に外に出てみたら道場の前でお兄様が倒れていたとか
ルルーシュ,・・・倒れていたのか？オレは
ナナリー,お兄様のオデコにタンコブが出来ていますよね？
ルルーシュ,あぁ・・・出来てるな・・・
ナナリー,それを見てスザクさんが、道場の隣にある公園で遊んでいた子供たちの野球ボールがお兄様の頭にぶつかって、そのショックで気絶してしまったんじゃないかと推理していました
ルルーシュ,・・・そうなのか？
ナナリー,私は分かりませんが、自信たっぷりに言っていたのでそうなんじゃないかと
ルルーシュ,そうか。あれは夢か・・・本当に良かった。結局スザクとは何も話せなかったんだな・・・。悪いことをした
ナナリー,お兄様に早く帰ってきて欲しいと思って電話したのですが出なくて心配していました。でも無事で良かったです
ルルーシュ,ごめん、ナナリー
ナナリー,いえ。お兄様が居てくれればそれだけで良いんです
ルルーシュ,そういえば、明後日から生徒会で合宿に行くことになったよ。ナナリーも来るだろう？
ナナリー,勿論です！楽しみにしていますね
C.C.,本当か！楽しみにしているぞ
ルルーシュ,お前・・・どっから出てきた！？というか今日学校サボっただろ
C.C.,オヤツはいくらまでだ？ナナリー、後でスーパーにオヤツを買いに行くぞ。今日はチョコレートが安売りの日なんだ
ナナリー,はい！
ルルーシュ,待て。お前は留守番だ
C.C.,なっ。何故だ？
ルルーシュ,当然だろう。お前は生徒会じゃないんだからな
C.C.,じゃあ今から入る
ルルーシュ,無理言うな
C.C.,連れていけ
ルルーシュ,断る。週末は友達と遊んでろ
C.C.,ほぉう。お前は同じクラスでありながら私に友達が居ない事すら知らないのか？
ルルーシュ,変なタイミングで留学に行くからだろう。それにカレンやシャーリーとは留学に行く前に割と話していたじゃないか・・・と、二人とも生徒会だったな
C.C.,わざとらしいな
ルルーシュ,とにかく週末はピザでも頼んで大人しくしていろ
C.C.,私はあきらめないからな。ナナリー、リビングでC.C.頑張れパーティをしよう
ナナリー,はい。お兄様、ゆっくり休んでくださいね
ルルーシュ,あぁ。ありがとう。C.C.、ナナリーに迷惑かけるなよ
C.C.,ふんっ
ルルーシュ,まったく・・・。ん、メーターの緑色のランプが消えている！？。まさか・・・合宿の件でC.C.を不満にさせたからか！？一度満足させて終わりではなく、それを維持しなければならないという事か！？。くそ！想定外だ。C.C.を合宿に連れて行って、ご機嫌を取るべきか・・・。明日会長にお願いしてみよう。生徒会では無いユフィも誘うし、もう一人くらい増えても大丈夫だろう。・・・ん？メールが2件来ている。スザクには悪いことをしたな。“心配かけて悪かった。大丈夫だ。今日はすまなかった。明日の件は了解だ”・・・と。“了解だ。返事が遅くなってすまない。明日話そう”、と。カレン、粋なことをするな・・・。他の９人も視野に入れ、カレンを満足させる一手を打たなければ。明日は最初の山場だな。・・・今日は何も進展がなかったどころか、唯一ついていたランプも消えて逆に後退してしまった。明日は頑張らなければ
07.ナナリー,だったら嬉しい
スザク,うわぁー！ルルーシュゥ！今すぐ選べ！僕を飛び降り自殺に追い込むか僕とキスするか！
次回Turn3,せめて女の子とともに
Turn3,せめて女の子とともに
ルルーシュ,行ってきます。咲世子さん
咲世子,行ってらっしゃいませ
ルルーシュ,はやく来い
C.C.,そう急かすな。久々の登校なんだ
ナナリー,ふふ。私も久しぶりの学校なので楽しみです
ルルーシュ,C.C.、合宿の事なんだがな
C.C.,来るなと言われてもついていくぞ
ルルーシュ,いや、昨日は言い過ぎた。反省している。会長にお前も来れるよう頼んでおく
C.C.,本当か？お前にしては上出来だ
ナナリー,良かったですね！C.C.さん
C.C.,あぁ。お前の兄は着実に成長しているようだぞ
ルルーシュ,・・・。ふふ、満足したようだな。緑のランプが点灯している。単純な奴だ
シャーリー,あっ！おはようルル！C.C.も久しぶり！
リヴァル,おーっす！
ルルーシュ,おはよう
C.C.,・・・久しぶりだな
カレン,あっ。ルルーシュが来た！昨日の返事を聞きに・・・って、緊張してきたぁ！
シャーリー,ねぇ、C.C.。留学の話聞かせて
