事件３,想い人を探せ
P,健康なのにそうしょっちゅう病院なんてこれませんよ…それで、少し聞きたいことがあるんですが？
小鳥,人探しですっけ？
P,えぇ、岩田時彦っていう名前とこの顔に覚えはないですか？
小鳥,岩田時彦…う～ん聞いたことありそうでない名前ですねぇ、顔にも覚えがないし
P,音無医院でもダメかぁ…
小鳥,ていうことは、手がかりはまだ見つかってないんですか？
P,そうなんですよ、これがまったく…
小鳥,若先生がこれはまた珍しいですね
P,今回も面倒なことにならなきゃ良いんですけどね…
春香,小鳥先生！ただいま戻りました！
小鳥,あぁ春香ちゃん、お帰りなさい！
P,おぉ春香ちゃん、久しぶり
春香,あっ、先生！お久しぶりです！
P,どうだい、仕事には慣れてきたかい？
春香,仕事って言ってもまだまだお使いぐらいしかできないですけど、一生懸命頑張ってます！
P,そうかい、それは何よりだ
小鳥,春香ちゃん、結構筋が良いんですよ？普段がおっちょこちょいなのは玉に瑕ですけど
春香,小鳥先生っ！それは言わないでくださいよ～
小鳥,ふふっ、ごめんなさい！
P,そうだ春香ちゃん、この顔と岩田時彦っていう名前に覚えはないかい？
春香,岩田時彦…聞いたような気もしますけど多分勘違いだと思います、顔も覚えがないですし
P,そうか、ありがとう
美希,はーるかっ！
春香,あっ美希も来てくれてたんだね！ってどうしたのその着物？すっごく綺麗だね！
美希,へへっ、そうでしょ？美希の一番のお気に入りなんだよ？
春香,良いなぁ～、先生に買ってもらったの？
美希,ハニーは甲斐性なしだから買ってくれないの！
P,おいおい…
小鳥,あら？事実じゃないんですか？
P,やめてくださいよ小鳥先生まで
春香,え？じゃあ律子さん？
美希,違うよ？あずさなの！
P,っておい美希！余計なことを
春香,あずさ？
美希,あっ…
小鳥,あずさ…あずさって、あの三浦屋のお嬢さんの事ですか？
P,あちゃぁ…おい美希、お前はまったくあれほど言うなと釘を刺したのに
美希,ごめんなさいなの…
小鳥,その様子だと今回の依頼人はあずささんみたいですね？
P,はぁ…まぁそんなところです、しかし美希！今日の晩御飯のおにぎりは一個減らすからな
美希,うぅ…
P,依頼人の事は極力言っちゃだめなんだからな？
美希,はい…
小鳥,そんなに怒ることないじゃないですか、それとも私たちが誰かにこの事をベラベラ話すとでも？
P,そういうわけじゃないんですが、一応信用の商売なんでね
小鳥,それはそうですけど、でもそうか…あの子がですか
P,えぇ、ご存知なんですか？ってまぁそりゃ三浦屋の一人娘なら知ってますか
小鳥,はい、私映画が好きで結構通り沿いの映画館に行ってるんですけど
P,キネマ万代にですか？
小鳥,そうそうっ！そこでよく三浦屋のお嬢さんを見かけるんですよ
春香,小鳥先生ったら、お仕事抜け出して映画見に行っちゃうんですよ？本当に困っちゃいます
小鳥,はははっ…その事なら何度も謝ったじゃない
P,見かけるって、映画館の中でですよね？その時他に一緒にいませんでしたか？
小鳥,う～ん、私が見かける時はいつも一人でしたけど、あのお嬢さんほとんど毎日映画館に通ってるみたいですし…
P,そうですか…。はぁ…駄目か
律子,この一週間かなり調査しましたけど、手がかりはまったくありませんね
P,近隣の缶詰工場を調べたが岩田時彦なんて名前も、こんな顔のやつもいない…三浦屋の昔話なら出てきたが、今回の件には関係ないだろうな
律子,警察もあれから連絡がないところを見るとダメそうですね
P,やっぱり偽名の線が強いのかぁ…
律子,でも、顔すらも知られていないんですよね？
P,外から入ってきた人間なら顔が知られていなくても仕方ないな、しかしそうなると
律子,捜索範囲がとんでもないことになりますね…
P,お前らが着物なんてもらったせいで、今更断るにも断りきれんし
律子,なっ！先生だって必ず探し出すなんて安請け合いしてたじゃないですか！
P,あの場ならそう言うしかないだろう、それにまさかここまで面倒なことになるとは思わなかったんだよ
律子,それはまぁ、そうですけど…でもそうなると本当にあずささんは騙されていたってことになるんですかね？
P,そうかもしれないな
律子,なんともやりきれません…
P,想い人に騙されたとあっちゃ、そりゃやりきれないだろうなぁ
律子,色恋と無縁の先生の口から想い人なんて言葉が出ると、ちょっと不思議ですね？
P,馬鹿言わないでくれ、律子嬢！俺だって色恋の一つぐらい！
律子,ほう、じゃあ先生にも想い人とやらがいるんですか？
P,そ、それは…
美希,決まってるの！
P,うわっ！いきなり抱きつくんじゃない！
美希,ハニーの想い人は美希なの！
P,何を言っとるんだお前は…
美希,当たり前の事を言ってるだけ！ちなみに美希の想い人もハニーだよ？両想いなの！
律子,そういえば美希、あんたさっきから台所で何かごちゃごちゃやってたけど…
美希,あっ、そうなの！はいハニー！それに律子さんも！
P,はいって、こりゃなんだ？
律子,これって、おはぎじゃ？
美希,うんっ！春香から教えてもらって作ってみたの！
P,そういえば春香ちゃんはこういうのが得意だったな
律子,小鳥さんも言ってましたね、でもどうしていきなり作ったの？
美希,美希、この前ハニーに言っちゃダメって言われたことを言っちゃったから…これはそのお詫びの印なの
P,あぁ、なるほどね…
律子,まぁ誰にでも失敗はありますから、今度からはちゃんと気をつけるのよ？
美希,うん！それで、ハニー…
P,おはぎに免じて許してやろう、ちょうど小腹がすいたところだったしな
美希,やった！それならさっそく食べて食べて！
律子,それじゃあ…わっ、これ美味しいですよ先生！
美希,春香直伝なら当然なの！
P,ほぉ…美希が料理できるようになるとは
美希,ハニーの分は特別な味付けをしてあるの！さぁ食べて！
P,それじゃあ…ん？
美希,美味しいでしょ♪
P,…
美希,どうしたのハニー？早く感想を聞かせて欲しいかな？
P,だぁぁぁぁぁぁぁぁぁぁ…
律子,せ、先生！大丈夫ですか!?お水！お水持ってきますから！
美希,どうしたのハニー！
P,どうしたもこうしたあるか！なんだこの味は!?
美希,味って…美希特製の
P,だからその特製は何を入れたんだと聞いてるんだ！
美希,えっと、まず最初にハニーが大好きな珈琲の豆をたくさん入れて…
P,最初から間違ってるじゃないか！
美希,え？ハニー珈琲好きでしょ？
P,あんな苦いもん練りこんで食えるわけないだろうが！あぁこんなに珈琲豆使って…
美希,う～ん自信作だったんだけどな
P,良いか美希、物事の肝心はなんでも初めなんだ！
美希,はじめ？
P,人と人の出会いもそう、お前は初対面で嫌な奴と仲良くなりたいか？
美希,嫌な人だと思うからやなの！
P,そうだろ？料理だってそう、最初からわけのわからんことをするんじゃない！
美希,はいなの…
P,俺たちの仕事だってそうだぞ考えを最初から間違ってたら答えに行き着かないだろう？
美希,うん
P,だからだ、物事は最初が肝心…。あれ…？
美希,どうしたのハニー？
P,最初、そうか…そうだったんだ
美希,ハニー？
P,何を俺はバカ正直に…戻ってみればわかることじゃないか！
美希,え、えっと…
P,そうか…これは最初から違ってたんだ
美希,さ、最初から？
P,おい律子嬢！
律子,はいはい、今お水を…
P,そんなことは良いから！今すぐ用意してもらいたいものがあるんだ！
律子,い、今ですか？
P,美希は萩原堂に行って新太郎さんに電話を！
美希,あずさのお父さんに？何かわかったのならあずさに連絡してあげたほうがいいんじゃ
P,あずささんの為にも新太郎さんに連絡するんだ、頼んだぞ！
美希,は、はい！
P,…。まぁせっかく、作ったんだから食べてやらんとな。…。だぁぁぁぁぁぁぁぁぁぁぁぁぁ…
あずさ,あのっ、父から私に何か聞きたいことがあるという風に伺ったんですが
P,わざわざご足労いただいてすいません、人相書きの事でもう少しお願いしたいことがありまして…それと少し私どもからもお話をと
あずさ,お話と人相書きですか？でも人相書きならこの前も
P,えぇ、ですが先日書いてもらったものよりもう少ししっかりしたものを書かせてもらおうかと思いまして
あずさ,この前書いていただいた物で充分な気がするんですが…
律子,あれだとまだ判別が付きにくいですからね、時彦さんを早く見つけるためですから！
P,是非ともご協力を
あずさ,そうですね、こちらこそよろしくお願いいたします
P,それじゃあ律子嬢
律子,はい…あずささん、これが先日書いた時彦さんの人相書きです
あずさ,は、はい
律子,顔はこういう雰囲気であってるんでしょうか？なかなか時彦さんの手がかりがつかめなくて、私も自信がなくなってしまって
あずさ,とてもよく書けてますよ、本当に本人みたいです
律子,そうですか、それじゃあこの人相書きを元にして新しいものを作っていきたいと思うので
あずさ,はい
律子,それじゃあ…。こんなもんでどうでしょうか？
あずさ,もっと本人に近づきましたね、そっくりですよ
P,…
律子,そうですか、本当に直すようなところはもう無いんですか？
あずさ,はい、二回も直させていただきましたから
律子,先生？
P,ありがとうございました、それでは
あずさ,お話、ですか？
P,えぇ、今日あずささんを呼んだのは他でもありません
美希,時彦さんの事件が解決したかもしれないの
あずさ,え？か、解決ですか？
P,はい、長々とお待たせしましたがなんとか
あずさ,それは、時彦さんが見つかったということですか？
P,いえ、残念ながら私どもは時彦さんを見つけることが出来なかったんですよ
あずさ,見つからなかった…
美希,そうだよあずさ、時彦さんなんて人はこの世の中に存在していないの
あずさ,それは、もしかして時彦さんがもう…
P,いえ、亡くなったというわけではありません
あずさ,それじゃあ…
P,元より岩田時彦なんて男、存在していないんですよ
あずさ,えっと…私には貴方がおっしゃってることの意味が
P,ですから岩田時彦なん名前の人間は存在していないんです…この万代町の誰もそんな名前に覚えはなかった
あずさ,それは、彼がこの街の人間じゃないからで
P,捜索範囲を広めても結果は同じでした、それと貴方が仰っていた缶詰工場もあたってみましたが
美希,こっちもさっぱりだったの
P,この人相書きを使ってもやはり該当する人間はいませんでした、しかし顔が知られていないにしても限度がある。まるで幻でも追わされているような気分になりましたよ、顔も名前もここまで引っかからない人探しは初めてでしたから
美希,いろんなところ歩きすぎて、クタクタなの…
あずさ,そ、そんな…じゃあ、私は彼に騙されていたということですか？
P,いえ、それも違いますね
あずさ,だって、それなら…
P,先程も言いましたが、岩田時彦は名前ならず顔までも認識されていない人間なんです
あずさ,だからそれはこの街の…
P,あずささん、貴方が彼と出会ったのはこの街の映画館でしたね？それなら彼はこの街に来ているということになります
あずさ,それは最初の時だけで、それからはこの街の映画館ではなく別のところで会っていましたから…
P,しかしお父様も仰っていたように、貴方は恋人の存在をここ一年全く周囲に感じさせていなかった。それに、貴方はほとんど毎日のようにキネマ万代に通っていたようだ…百歩譲って貴方の言う通り、別の場所で会っていたというのなら
あずさ,…
P,それなら一体いつどこで会っていたというんですか？
あずさ,それは…
P,それは？
あずさ,そのっ
P,…
あずさ,…
P,はぁ…
あずさ,…
P,そもそもです…時彦という名の人間がいない時点で、偽名の可能性も限りなく低くなるんです
あずさ,な、何故ですか？
P,どこの世界に時彦なんて特徴のある名前を偽名に使う人間がいるんですか、そんな名じゃ調べられたらすぐにバレてしまいます
律子,確かに自分の素性を隠すにしては仰々しい名前ではありますね
あずさ,…
P,時彦という存在しない名前、しかし偽名の線も限りなく薄い…こうなるとひとつの考えに私は行き着きました
あずさ,考え？
P,えぇ、あずささん…貴方が仰っていた岩田時彦は存在しない。貴方が作り出した、架空の人物であると
あずさ,そんな！私が嘘をついているというんですか！
P,その通り、私は貴方が嘘をついていると思っています
あずさ,いくら時彦さんが見つからないからって、そんな無茶苦茶な！
P,無茶苦茶なのは貴方の方ですよ、居もしない人物を探せだなんて…お陰で随分と苦労させられました
あずさ,だから居もしないだなんて、貴方が勝手に言っているだけで！
P,まぁ落ち着いてください…律子嬢、人相書きを出してくれないか
律子,はい…
P,これを見て下さい、貴方に先ほど協力してもらって作った人相書きです…間違いないですか？
あずさ,えぇ、そうですが
P,右は先日書かれた物…左は今日、これを元にしてより詳しく書かれた物、そうですね？
あずさ,はい、ですからそれが…
P,今日書かれた人相書き、これを見た貴方はとても時彦とよく似ていると言いましたね？
あずさ,い、言いましたが
P,そうですか…しかしそうなると、やはり貴方が嘘をついていることを証明してしまう
あずさ,どういう意味ですか
P,実はこの右側の人相書き、先日貴方の前で書かれたものではないんですよ
あずさ,えっ？
P,この右側の物は昨日、律子嬢が先日書かれた本物から特徴を少しづつ変えた物なんです
律子,変えたといっても、本当に少しですよ？でも…
P,ただ、人相書きの全ての部分に手を加えてあるんです…一見すると右側の物と先日の物は変わらないようですが
あずさ,それなら、何も問題ないんじゃ？
P,いえ、これが問題があるんですよ…まぁ見てもらえればわかると思いますが、美希？
美希,はいなのっ！
P,これがその人相書きです
あずさ,…
P,昨日書いたものとこれを並べてみると、まぁ多少の違いはありますが同一人物の絵と見ることはできます…しかし
律子,今日書いたものとこれを比べてみると
あずさ,っ…！
P,お気づきですね？
美希,ぜーんぜん違う人になっちゃうの！
P,そう、一枚目を三名目の人相書きはまったく異なる人になってしまっているんです…手を加えたものに更に手を加えてるんですから当然ですが
あずさ,それは…
P,会う頻度が少なかったとは言えです、いくら何でもここまで違う顔が出来上がることはありえるんでしょうか？
あずさ,…
P,人の記憶というものはあやふやな物です、しかし恋人の顔を忘れるということは普通ありえない。しかしです、架空の人物であれば話は別だ
律子,あずささん…いくら架空の名前や職業を見繕うことができても、顔となると話は別なんです
あずさ,…
P,岩田時彦という名前…おそらく役者の岩田祐吉と英パン、岡田時彦からとった名前じゃないんでしょうか？。街の人間に時彦の名前を聞いて回った時、多くの人がその名前にどこか引っかかった様子だったんですが
律子,人気役者と同じ名前ならどこかで聞いたことがあるはずです
P,今回の見合い話、お父様からだいぶ強く進められていたようですね。しかし貴方はその話を受けたくなかった、とにかく断りたかった。それでもお父様から強く進められれば、理由もなしに拒絶することはできない
律子,そこでついた咄嗟の嘘が恋人の存在だったんですね？
P,だが、嘘を突き通すためにはその嘘に嘘を塗り固めていかなくてはならない
律子,名前、職業…果ては顔までも
P,貴方は焦ったはずだ、恋人がいるといえば見合いの話がなくなる程度に思っていたはずが、お父様に恋人を連れてこいと言われてしまった。何とかその場は誤魔化したかもしれませんが、そうそう長く誤魔化しきれるわけがありません。しかし嘘がバレてしまえば再び見合いを受けさせられてしまうだろう
律子,そしてまた貴方は嘘をついた、今度は恋人が行方知れずになってしまったと…
P,もちろん、まさかお父様が探偵まで使って恋人の行方探しまでやるとは思っていなかったでしょうがね
あずさ,…
P,あずささん、そろそろ本当の事を話してくれませんか…もうこれ以上嘘を付く必要なんてない
あずさ,…
美希,あずさっ、本当の事を言って
律子,あずささん
P,…
あずさ,私は
P,はい…
あずさ,私はただ、運命の人に出会いたいだけだったんです
P,運命の人？
あずさ,こんな家柄ですから、子供の頃から籠の鳥のように生きてきました…もちろんこの歳になるまで恋の一つもしたことがありません
P,…
あずさ,子供の頃は特に厳しくて、他の子供たちみたいに外で元気に遊ぶことすら許されていませんでした。でも、そんな子供時分にも唯一楽しめることがあったんです
P,それが映画ですか
あずさ,はい、それでもたまにでしたけど…父に連れられて行く映画館は、当時の私にとって本当に大きな世界だったんです。剣劇の忠臣蔵や喜劇、どれも本当に楽しいものでした…でも、その中でも一番私が惹かれたのは恋を扱った映画。その映画の中の女性は本当に綺麗で、そして本当に自由でした…生き方も恋愛も、その時の私では考えつきもしない生き様
P,…
あずさ,そんな映画を見て子供の私は思ったんです…私もいつかこんな恋がしてみたい、私もいつかこんな風に綺麗になりたいって。お恥ずかしい話ですが、この年になってもその気持ちに変わりはないんです
P,なるほど…
あずさ,自分の運命の人は自分で見つける、あの時の自分の気持ちを裏切りたくはないんです…だからっ
P,だから、こんな嘘をついてまで見合い話を断ろうとした
あずさ,はい、これまでも何度もお見合いの話を断ってきていたんですが、今回は父もなかなか折れてはくれなくて…皆さんには本当にご迷惑をお掛け致しました…
P,気にしないで下さいとは流石に言えませんが…しかしどうしてまた貴方はこんな強引な手法でお見合いを拒絶したんですか
あずさ,どうしてって…
P,貴方のその気持ちを、お父様にぶつければ良かったのではないですか？そうすればこんな事にはならなかったかもしれない
あずさ,ぶつければって…そんな事を言って父が見合いの話を断るとは…
P,どうしてですか？現に恋人の存在を知ったお父様は見合いの話を断られたじゃないですか
あずさ,それは、そうですけど
P,貴方のお父様はお父様は貴方が思っているよりもっと頭の柔らかい方ですよ、と言っても過去のトラウマが原因のようですが
あずさ,トラウマ…ですか？
P,あずささん、貴方、お父様にお姉さまがいた事はご存知でしたか？
あずさ,はい、でも父がまだ成人する前に亡くなったと…
P,亡くなった経緯まではご存知ではないようですね？
あずさ,は、はい
P,ここに来る前にお父様に会って直接伺ったんですが、実は貴方のおば様…心中しておられるんですよ
あずさ,心中…ですか？
P,えぇ、無理に見合いをさせられて恋人と離れ離れにされたのが原因のようです、見合い相手の家に嫁ぐ数日前にその恋人と川に身を投げて…
あずさ,そんなことが…
P,最愛の兄弟をこうして亡くされたお父様ですから、その辺りの事は貴方がしっかりと気持ちを伝えれば、わかってくれると思いますよ
あずさ,でも…
P,あずささん…貴方の映画好きの理由、子供の頃にお父様に映画に連れて行ってもらったからなんでしょう？
あずさ,はい
P,それなら、貴方に運命の人を見つけようとする気持ちを与えてくれたのはお父様じゃないですか、きっと大丈夫ですよ
律子,しかし今回の依頼は本当になんというか…
P,あぁ、全身から力が抜けてしまったよ
律子,でも依頼料はかなりのものでしたね、迷惑料も頂きましたし
P,新太郎さんとあずささんの、あの謝りようったらなかったけどな
美希,美希、あんなに綺麗な土下座はじめて見たの！
律子,往来でいきなりあんな事されたら、こっちの方が恥ずしくなりましたよ
P,でもまぁ、あずささんも自分の気持ちを新太郎さんに伝えられたみたいだし、とりあえずは一件落着じゃないのか？
律子,お父様もあずささんの気持ちをわかってくれて、見合いはもう受けないって言ってくれましたしね
美希,あずさも嬉しそうだったの！
P,可愛い可愛い一人娘だからな、最初からあずささんがちゃんと伝えてくれていれば新太郎さんも言うこと聞いてくれていたろうに
律子,それはそうですけどね、そのおかげで依頼料が入ったんですから
P,そういうふうに考えると本当に難儀な商売だと思うよ…よそ様の困り事で飯を食うなんて
美希,そうかな？美希はそんなに嫌なお仕事じゃないと思うよ？
P,そりゃあ、お前はそうかもしれんが…
美希,春香もやよいもあずさも、事件を解決したらみんな笑顔になったんだよ！それってとっても嬉しいことじゃない？ハニーもそうでしょ？
P,まぁ、それはな…
美希,なら探偵はとってもいいお仕事なの！
P,…
律子,先生、美希に言いくるめられてますよ？
P,た、たまにはそういう事もあるんだよ
律子,あら、誰か来たみたいですね？私ちょっと行ってきます
P,あぁ、頼むよ
美希,ねぇねぇハニー
P,ん？どうしたんだ美希？
美希,美希、前から思ってたんだけど…ハニーって秘密がとっても多いと思うの
P,秘密？お前、これだけ四六時中俺の後を付け回してるくせに良くそんなことが言えるな？
美希,むぅ～…違うの！美希とハニーが出会う前の話！
P,会う前って、そんなに大層な秘密俺には無いぞ？
美希,嘘っ！絶対に隠してることがあるの！
P,隠してることって、例えばどんなことだよ？
美希,う～ん例えば…そうだ！昔の女の子のこととか！
P,生憎甲斐性なしなもんでね？浮いた話の一つもありゃしないよ
美希,怪しいの…ハニーが皮肉を言う時は何かごまかしてるときなの
P,わけのわからんことを行ってなくていいから、お前はさっさと掃除でもしてなさい
美希,そうやってごまかして！むぅ～…
律子,先生！先生宛に手紙が来ましたよ
P,手紙？誰からだ？
律子,四条家のお嬢様からですね、近いうちに家に来て欲しいって書いてありますけど
P,
美希,おじょうさま？
P,…
美希,お掃除はやめなの、ハニー？聞きたいことができたんだけど
P,俺が喋ることは特にないんだが…
美希,美希にはあるの
P,しかs
美希,美希にはあるの
P,…
美希,じーっくり聞かせてもらうからね？ハニー、覚悟しておくの
P,か、勘弁してください…
事件３,想い人を探せ
美希,ハニー…まだつかないの？
P,もう少しだから我慢しろ、ほらっ…さっさと歩く
美希,もう限界なのっ…。ここほれわんわんなの！
P,楽しそうにしやがって…
美希,ハニーは美希のハニーなのっ！
P,お前も張り合わんでいい…
貴音,あなた様の婚約者は私なのですよ？
事件４,四条家の秘宝を探せ
