姫川友紀,…行くよ、茜ちゃん
友紀,うん…なんとか……呼吸って、素晴らしいんだね…
茜,…良かったぁ！
友紀,うわぁ、ちょっと茜ちゃん！？
茜,うぅ…っ、私っ、本当は…すごく、不安で…っ！！
友紀,……あーあー、涙なのか水なのか、これじゃ分かんないや…
茜,わあぁぁん、ゆぎざぁん……
友紀,よーしよし…。…智香ちゃんは？
茜,…！そうだ、智香ちゃん…っ！
智香,ここにいますよ♪
友紀,あ、淵に座ってる！
智香,お先してましたっ
茜,…ッ
智香,アタシが戻って来れたなら、きっと２人も大丈夫って思って…
茜,どもがぢゃあぁん……！！
智香,わっ、茜ちゃん…
茜,ともがぢゃんっ…ひとりだぁ……っ！
智香,…そうだね。アタシ、もう１人になっちゃったよ…っ
友紀,…あはは、みんな無事で良かった
智香,…また、変な感じでした
茜,変、とは？
智香,今度は、体に何か吸い込まれていくような感じ。入ってくるっていうか…染み込んでくるというか。不思議と、息苦しくなくて…何か、あったかくなるような
友紀,そっか…
茜,…きっと、返してくれたんです！
智香,返す？
茜,泉ちゃんが、正直者な智香ちゃんに。智香ちゃんたちを、返してくれたんですよっ！
智香,…うーん？そうなのかなぁ
友紀,まぁ…そういうことにしておこう？
茜,智香ちゃんたちは、きっと智香ちゃんの中にいます！
智香,…うん！そうですねっ☆
友紀,さて！いつまでも水に浸かってないで、帰ろっか！
茜,はいっ！
智香,へへ、ちゃんと３人！ですね♪
友紀,そうだね！一時はどうなることかと……。…きゃうん！！
智香,わっ
茜,友紀さんが、ずっこけたー！？
友紀,…あいったー……もう、なんなの…
智香,あれ…友紀さん、足元のそれ
友紀,うん。なんか踏んづけちゃって…。…って、あーーっ！ボール、あたしのだ！
茜,えぇっ！？
智香,ボールが、戻ってきてる…？
友紀,マジで？！うわ、うわわ…あたしのボールっ
茜,…返して、くれたんでしょうか
智香,そう、かも？
茜,…ハッ！まさか…全部、夢？
智香,そんなこと…
友紀,夢でも何でも良いよ！ボールが戻って来たなら！。泉ちゃーん、ありがとー！サカモトと同じぐらい好きーー！！。たっだいまー♪
茜,ただいま、戻りました！
智香,お疲れ様ですっプロデューサーさん！
P,おーう、お疲れ。３人揃って……。って、うーーわーーーっ！！
茜,！？急にどうしましたかっ
友紀,なになに？もしかして、優勝？キャッツが優勝したの！？
P,どうしたもこうしたもない！なんだお前らその格好！
智香,格好…あっ
友紀,…そういや、ビショビショだったね
茜,忘れてました！！
P,雨にでも降られたか！？
茜,いえっ！そこの公園で、すこしばかり水浴びを！
P,…はぁ？水浴び？
智香,はいっ！
P,…バットとグローブ持って？
友紀,ボールもちゃんとあるよ！ほらっ！
P,あ、それ使ってるんだ
友紀,へへっ
智香,えーっと…噴水が、気持ちよさそう、だったので…
P,…。い、意味分からん…。…ほんっと、３人揃って落ち着きが足りないっていうか、何というか…
智香,…３人、か
茜,っ！はい！
友紀,…そうだね！あたしたち、３人！
茜,３人ですっ！
P,…なんで盛り上がってんのか知らないけど。…とにかく、それ以上動くな…？今タオル持ってくるから
智香,ありがとうございますっ
P,あと雑巾と、着替え…は更衣室か？えーっと、誰か他に女子は…
友紀,あ、ちょっとー！あたしらの服と雑巾、一緒にカウントしないでよー
P,ズブ濡れで室内に入ってきた時点で濡れ雑巾みたいなもんだろうが
友紀,えー！ひっどーい！
P,いいから絶対動くなよ？良いな？
智香,…
友紀,…２人とも、ちょっと良いですかな
茜,おや、どうしましたか友紀さんっ
智香,？
友紀,着替えと雑巾を一緒にされて、あたしは今非常にショックを受けました。お２人はどうでしたかな
智香,へ？うーんと…
茜,…！。ふっふっふ…私も悲しいです、友紀さん！
智香,あれ、茜ちゃん？
友紀,しかも、チアフルボンバーズ３人娘を捕まえて雑巾扱いなんて…乙女心はズタズタでございます
智香,ございます？
茜,はいっ！熱血乙女も、ずたずたです！
智香,あ、こっちはあんまり口調変わってないんだ…
友紀,花も恥じらう乙女座ゆっきーの女心を弄んだ罪、どうしてくれよう…
茜,くれよう！
友紀,ふっふっふ…
茜,ふふふのふ…
智香,…あの、２人とも？
友紀,というわけで、あたしは正面から行こうと思うんだ
智香,あ、戻った
茜,ならば、私は下半身ですねっ！鍛えたタックル、プロデューサーに受けてもらいます！
友紀,おっけ！
茜,智香ちゃんは、どこにタックルしますかっ
智香,ふぇぁ！？あ、アタシ…タックルとかは…
友紀,残ってるのは、背中とか…腕とか？
智香,ぁ、あうぅ…そんなこと…
P,…ほら、タオル持ってきた…、
茜,来ました！
友紀,乗り込めーー！
P,えっ
茜,ボンバーーーッ！！！
P,ちょっ
友紀,ほら、智香ちゃんも！
智香,うぅぅ…じゃ、じゃあ…腕を…
P,や、動くな…ってぇ！こっち来んなぁ！濡れるから！
友紀,覚悟しろっ、プロデューサー！
智香,ごめんなさい！…へへっ！
茜,私たち、３人なら無敵ですよっ！
友紀,ダイビング、キャーッチ！！
