前スレ春香,仮面ライダーって寂しいね
響,仕方ないよ、検査とかいろいろあると思うし。それより今はステージステージ！
貴音,……そうですね。集中するとしましょう
響,よし、気合い入れていくぞー！
貴音,ええ。しっかりと行きましょう
響,今日は二人だけど、765プロー……ファイッ！
貴音,おー！
響,みんなー、今日は来てくれて……って、あれ？
観客,Zzz……
貴音,お、おかしいですね……皆、眠っている様子
響,す、スタッフさん？これ、どうなって……
スタッフ,Zzz……
響,うがー！こっちも寝てるしぃ！どうなってんだこれ！
トリカブト,む、まだ眠っていない人間がいたか
響,うぇ！？な、何さあれ！今日はヒーローショーじゃないぞ！
貴音,あの、貴方は一体……
トリカブト,俺はショッカーの怪人、トリカブトだ！
貴音,しょっかぁ……確か、昨日の……
トリカブト,ちっ、取り逃がした連中の内にいたのか。あの時は妙な小娘が執拗に妨害してきたからな……
響,妙な小娘……美希か！
貴音,貴方は美希に何をしたのですか！
トリカブト,ただの人間がこのトリカブト様に敵うものか。ひねり殺してやったわ！
響,な……
貴音,で、ですが、今美希は治療中と……
トリカブト,あの時は息があったにしても、俺の毒を食らった人間が生きていられるものか。どちらにせよ死んでいるわ
響,そんな……じゃあ、美希は……
貴音,……響、逃げましょう。今は、私達が危ない
響,でも……
貴音,逃げて、春香と真を呼ぶのです。あの時美希が呼べ、と言ったからには、何か対応する策が……
響,春香も真も、今日は地方さ……呼ぶったって間に合わないぞ。それに……。自分、あいつが許せない。美希を……ころ、した……あいつが……！
貴音,いけません、逃げましょう！
響,貴音、自分が時間稼いでる間に逃げて。一人が逃げる時間くらいは……
トリカブト,出来ると思うか！どちらも逃がさんわ！
響,うるさいっ！よくも、よくも美希を！
美希,ミキがどうしたの？
響,美希！こいつは、こいつは美希を……え？
貴音,み……美希……？どうして……
トリカブト,貴様は確かに殺したはず……何故ここにいる！
美希,答えは簡単なの。美希が不死身だからだよ
トリカブト,ぬ、ぬぬぬぬ……ならばもう一度、二度と蘇らんように殺すだけだ！
貴音,美希！危険です、早くこちらへ！
美希,んーん、心配しなくていいの。美希、負けないから
響,バカ言ってないで、一緒に逃げよう！せっかく助かったのに……
美希,ミキが逃げたら、ここにいる人達みんなこのままだよ？だから、ミキ、戦うの。変……身！。Ｖ！３！！
伊織,……無理ね。どう考えても
春香,でも、水無瀬グループの伝手でなんとか……
伊織,あんた達の話を全部本当だと仮定して、人体改造なんて事、一般の技術で出来るわけがないじゃない
真,そうしないと美希が死んじゃうんだよ！このわからず屋！
伊織,あのね、私は冷静に事実を言ってるの。それに、その話でリスクがあるのは私だけじゃない
真,それは……
伊織,私は勿論、グループ自体にも影響があるかもしれない。それに、私はお祖父様にもお父様にもお兄様にも頭を下げなければならないでしょうね
春香,伊織が、お父さんやお兄さんを見返したいっていうのは知ってる。だけど……
伊織,……別に、そんな事は大した問題じゃないのよ。美希の命が懸かってるんだから。けどね、私はどうしても賛成できないのよ。その、改造人間？になったとして、あの子は普通の人生を送れるの？
真,それは……
伊織,私はそうは思わない。そんな事を今意識の無い本人に黙って決めていいのかしら？
春香,……私達は、辛い目にたくさんあってきた。これからもそれは変わらないと思う
伊織,だったら……
春香,でも、それでも、生きていた方がずっと良い。辛くても、厳しくても、生きていた方がいい
真,春香……
伊織,……それが、改造人間の先輩の意見ってワケ？
春香,うん、そうだよ
伊織,……嫌になるわね、何もかも。予測通りだったってわけ
真,え、それ……どういう事？
伊織,あんた達が来る少し前にね、変な男が二人会いに来たのよ
春香,変な二人組……？
伊織,何か妙な事を言ってね、こんなものを置いて言ったわ
真,これって、腕！？
伊織,そう、義手よ。ただの義手じゃない、このカートリッジを入れ替えると……ほら
春香,変形した……
伊織,今開発されているどんなアームより精密に動くそうよ。技師が信じられないって叫んでたわ。常識外の技術ね。オペレーションアームっていうらしいの
真,それで、こっちは……
伊織,それは、あんた達の方が詳しいんじゃないかしら
春香,……真！これって
真,うん、間違いない。これ、ボクらと同系統の改造人間の……設計図だよ
伊織,必要になるだろうって、置いていったわ。それで、本題はこれからよ。美希の為に、あんた達がリスクを負う覚悟はあるかしら
春香,……
真,なんだって、覚悟の上さ
伊織,……そう言うと思ったわ。じゃあ、その体をよこしなさい！
春香,私達の……
真,体を……？
伊織,その男が言ったのよ……。あんた達の体を参考に、水無瀬の総力を上げて手術をするわ。あんた達の良いとこ取りで、最高の仮面ライダーを作ってみせる
春香,……そういう事なら、喜んで！
真,なんだ、無理とか言って本当はやる気だったんじゃないか
伊織,もしいいえって言ってたら、私達は何もリスクが無いのだからそれで良かった。ただ、あんた達の事は軽蔑してたでしょうね。はいって言っても可能かどうかもわからないリスクの塊みたいな選択。正直、気が進まない。だけど……。あんた達は、私の中で最高の仲間のままだったわ。にひひっ！。さ、時間が無いわ。今こうしてる間にも美希の体は危ない状況にある。さっさとするわよ！
春香・真,うん！
響,み、美希が……変身した？
貴音,これは……驚きましたね
美希,ごめんなの、ギリギリで。さっきまで体の調整してたから……
響,その、それはいいけどっ！勝てるのか！？
貴音,相手はあのような怪物……いくらその、不思議な体であっても……
美希,大丈夫、負けないから。ミキの体にはね……。先輩ライダーの、それも二人分の正義がいっぱい詰まってるから！
トリカブト,それがどうした！生まれたての改造人間が勝てると思うな！
美希,勝てるよ。だってミキ、アイドルだもん。響や貴音っていう観客が、ミキの事を応援してくれるなら……
響,あ、当たり前だぞ！美希ー！頑張れー！
貴音,勝ってください、美希！
美希,……ミキは、絶対に負けないの！あはっ！
春香,今頃、美希も戦ってるんだろうね
真,だろうね、さっき連絡あったし
春香,じゃあ、私達も頑張らないとね
真,営業、一緒で良かったよね
春香,ほんと、そうだよねぇ
真,まさか……今まで倒した怪人全員出てくるとはね
春香,そろそろショッカーも余裕がなくなってきたかな
真,とにかく今は……
春香,戦って！
真,切り抜ける！
春香・真,変身！！
千早,春香！春香！
雪歩,だ、だめだよ千早ちゃん！あの二人は、私達を隠す為にここに……
千早,それでも、ただ見ているだけなんて……祈るだけしか出来ないなんて、私には耐えられない！
雪歩,千早ちゃん……
千早,もう、嫌なのよ。何も出来ないのは！何も出来ず、大切な人を失うのは……絶対に、嫌なのよ！
雪歩,千早ちゃん……ごめんね
千早,何をっ……。雪、歩？
雪歩,ぐすっ、千早ちゃんのバカ……。私を……春香ちゃんを、真ちゃんをバカにしないで！
千早,何を言って……
雪歩,春香ちゃんが、真ちゃんがどんな気持ちで信じて待っててって言ってるかわからないの！？。あの二人は……私達と、歳も変わらない二人が、あんな、あんな戦いをして……。それでも、私達に笑って“信じて”って……そう言う二人の気持ちが、わからないの！？
千早,あの、私……
雪歩,もどかしいのは、私も一緒だよ。だけど、信じてって言われたから、信じる。そうすれば戦えるからって、二人は言ったから。祈るだけしか、じゃない。祈ることが出来る。信じようよ、あの二人を。それから、美希ちゃんも
千早,祈る事が、出来る……
雪歩,叩いちゃってごめんなさい。だけど、これ以上……あの二人の覚悟を侮辱されたくなかったから。苦しくても、信じ続けるのが私の戦いだって決めた、私の覚悟を……侮辱されたくなかった、から
千早,……私の方こそ、ごめんなさい。考えが浅かったわ。そうよね。あの二人は私達が戦う事なんて望んでいない。むしろ、真逆なのに……私は、何を焦っていたのかしら。今は、信じて待つ事。それが、私達の戦い。そういう事ね？
雪歩,うん。だから、応援してようよ。二人のことを。だって二人はアイドルなんだもん
千早,応援してくれるファンの前で、情けない姿は見せない……わね
死神博士,これ以上の戦力は失えんな
被り物の男,我々の目的を達するには、やはり仮面ライダーを倒すより他無いか
軍服の男,いいだろう、潮時だ。そろそろ……決着をつけよう
死神博士,無策で挑むのは我々と言えど無謀だが、どうするのだ？
被り物の男,……アイドル、というのは、衆目に晒されるのが仕事なのだな
軍服の男,もともとそれが目的で素材にしたわけだからな。何か考えが？
被り物の男,何、ならば衆目に晒してやろうではないか。奴らの姿をな
死神博士,……なるほど、それは良いな
軍服の男,どちらに転ぼうと……次で、全てを終えるか
響,すごかったなー美希のキック！ばしーってさ！
貴音,ええ、見事でしたね。しかし美希、体は本当に大丈夫なのですか？
美希,もう全然平気なの。むしろ強くなったんだよ！
響,んー自分も改造してもらったら……
美希,それはダメなの。だって辛い事の方が多いし。それは先輩に聞いたから知ってるの
貴音,そうですよ。人で無くなる苦悩……それは想像を絶する物なのでしょう
美希,うん……だけど、ミキは信じてたの。どうなっても、みんなはミキの仲間だって
響,あったりまえじゃん！
貴音,当然ですね
美希,そう言うと思ってたの！あはっ！ただいまーなのー
春香,あ、美希……
真,……
美希,……勝ったの
真,……こっちも
春香,……ふふっ
真,へへっ
美希,あはっ
響,な、なんだよー。自分達も仲間に入れて欲しいぞー
貴音,これは……なんというか……奇妙な空気ですね
Ｐ,おーい！大変だぞ！
美希,ハニー、どうしたの？
Ｐ,うおっ、美希！体は……まぁ丁度いいか！美希のお姉さん、目、覚ましたって！
美希,……本当！？
響,やったなぁ、美希！
貴音,良かったですね、美希
美希,良かった……良かったのー！
春香,……終わりが近い……気がする
あずさ,う～ん……ここ、どこなのかしら。このベルト、意外としっくりくるわ～……でも、何に使うのかしら。あ、あらあら～？これ、生きてるのかしら、って、あら？。……えーと。どうしましょうか
