ちひろ,……。みんな、一生懸命ですね……。プロデューサーさんの引き出し、溢れそうになってますよ。でも事務所の机にこんなもの入れてちゃ、めっ、です。きちんと、お家に届けておかないと。さて。そろそろ準備しましょうか……。ふんふふ～ん……
都,ちひろさん。単刀直入にお聞きしますが……プロデューサーさんを篭絡しようとしましたね？
ちひろ,……私が、プロデューサーさんを？都ちゃんは探偵ごっこのし過ぎかしら？
都,とんでもありません。貴女は、すでに私の手の内です！
ちひろ,……
都,……順を追って説明していきましょう。ちひろさん、あなたがプロデューサーさんを手に入れるためには、アイドルたちに勝たないといけない。しかし、私たちはアイドルです。歌、ダンス、おしゃれ、性格……は分かりませんけど。どれもちひろさんに負けない自信があります。でも、ちひろさんには秘策があった。それが……アイドルたちに写真を撮らせ、プロデューサーさんに贈らせること！
ちひろ,……
未央,……ね、このお菓子食べてもいいよね？
卯月,だ、ダメだよ、プロデューサーさんのだし……
都,事務所の皆は、いつもプロデューサーさんにアピールしています。いつか、彼を奪われてしまうかも……。そう思ったあなたは、アイドルたちが一線を越えないように、緩衝材をばらまきました。アイドルたちは写真を渡すことで、それ以上アピールがはばかられる……。写真ばかりで欲求不満になったプロデューサーさんに、貴女がアプローチすれば……わかるでしょう？
ちひろ,……
未央,なるほど……巧妙なトリックだね！
卯月,よくわかりませんけど、すごいですね……！
凛,……
都,……どうです？
ちひろ,ふふふ……すごいわね、都ちゃん
都,ということは……！
ちひろ,大正解ですよ。私は皆を出し抜いてプロデューサーさんを独り占めしようとしました
都,やっぱり……
未央,しぶりんも食べる？
凛,遠慮しとく
未央,気になるあの人と熱い夜を過ごせる！媚薬入りボンボンチョコだって
凛,……
ちひろ,でも、それがわかっても、都ちゃんたちに私は止められませんよ
都,……どういうことです？
ちひろ,プロデューサーさんは既に、皆の姿を見飽きているんですから……
都,……ちひろさんが有利と、そう言いたいわけですね
ちひろ,ふふふ……わかっているのなら、そこを通してくれますか？
凛,……玄関は通さないよ
未央,アパートの２階じゃ、逃げ道が無いよね？
卯月,ちひろひゃんも、クッキーとか食べまふぇんか？
ちひろ,……隣の屋根、ちょうどよさそうな高さですね
未央,隣家の屋根に逃げる気だ！
卯月,屋根からですか！？
凛,都ちゃんベランダ塞いで！
都,通しませんよー！
ちひろ,都ちゃん！プロデューサーさんが変態怪盗だったらどうしますか！
都,えっ！？。あわ、あぁぁ……
ちひろ,ではみなさん、ごきげんようですね！
凛,あっ、逃げた……！
卯月,都ちゃん？都ちゃーん？
未央,な、なんか嬉しそうに混乱してる……
ちひろ,まだまだお子様ですね凛ちゃんたちも……
真奈美,そうか、なら大人同士で話をしよう
あい,素晴らしいね。真奈美くんの言った通り、誘い込めたよ
ちひろ,……
真奈美,ずいぶんとオイタが過ぎたようだな。楽しいお説教が待っている
ちひろ,見逃しては……
あい,あげないさ……観念したかい？
ちひろ,……
真奈美,まったく、世話を焼かせてくれるね
あい,さあ、こっちに来るんだ
ちひろ,……真奈美さん。表面が強い女性ほど、内面は弱いらしいですよ
真奈美,は……？
ちひろ,あいさん。あなたが女であることをプロデューサーさんが意識したらどうなるでしょうか
あい,なにっ……？
真奈美,な、無しだ無しっ……！
あい,ふむふむなるほどー……
ちひろ,助かった……！。さっさと逃げないと……
クラリス,……申し訳ありませんが
アーニャ,モージナ……ちょっといいですか？
ちひろ,……クラリスさん、プロデューサーさんの前でだけ出せる声ってありますよね
クラリス,……！？
ちひろ,アーニャちゃんも、外国ならではの風習ってあるわよね
アーニャ,！
ちひろ,考えてみてください……
クラリス,……お告げ
アーニャ,……ハラショー
ちひろ,ちょろいですね！じゃ、そういういことで！サリュート！。プロデューサーさんが家に居ないという事は……事務所ですかね
頼子,そうですね。でも……
泉,きっと、たどり着けないと思う
ちひろ,面倒ですね……頼子ちゃん、世の中、奪うだけじゃないのよ？
頼子,……はい？
ちひろ,泉ちゃん。大好きなプログラミングを思い出して
泉,プログラミング……？
頼子,……言えない
泉,……る、るーぷするぅ……！？
ちひろ,頭が良いって悪いことなんですね……。やっと屋根から降りられましたね……
洋子,運動は大事だからねー。あ、もっとする？
渚,身体動かすのは悪くないと思うねェ……鬼ごっことかッ！
ちひろ,洋子さん、美肌の秘訣はプロデューサーさんですよ！
洋子,はへ？
ちひろ,あのね渚ちゃん！いくら運動得意でも、不得意な運動も必ずあると思いますよ！
渚,……ん？
洋子,すべすべじゃなくなっちゃう……！
渚,す、すけべ……ばかァ！
ちひろ,スポーツマンって欲求不満なんですかね……。まともなアイドルだとやり易いんですけど……
そら,ちひろちゃん発見ー！ずっきゅーん☆
唯,ちひろちゃん発見ー！ばっきゅーん☆
ちひろ,……そらちゃん、女の子のはっぴーって、男の人から貰うものなのよ？
そら,はぴっ……！？
ちひろ,あと、唯ちゃんはあんまりプロデューサーにひっつくと、離れられなくなるわよ？
唯,はひっ……！？
そら,はっぴー……！
唯,ご、ごめんなひゃい……！
ちひろ,天真爛漫でも、ほどほどでお願いしますよー！。早く事務所に急がないとー……いけないのに、ねぇ
早苗,ピピー。ちょっと職質いいかなー？
響子,逃がしませんよ、ちひろさん！
ちひろ,……あのですね、早苗さん。プロデューサーさんは婦警をも丸め込む、見境無しですよ？
早苗,え？た、確かに……
ちひろ,……響子ちゃん。お嫁さんに必須のスキルって、あるわよね
響子,それは、あの……
早苗,……た、たいほー！
響子,……こくこくっ
ちひろ,一途っていいですねえ……いや、私も負けませんよ！。やあ、こんにちは良い天気ですね！
千秋,……そんなに急いでどこに行く気？
比奈,……どもっス
ちひろ,えっとですね、千秋さん。気が強い人って攻めに弱いとかいう噂、知ってます？
千秋,はぁ……！？
ちひろ,比奈ちゃんは、いつも描いてる事が、現実で起きないとか思ってないわよね？
比奈,な、なんスか……？
千秋,……れ、レッスンよ、忍耐レッスン……！
比奈,……秘密っス……
ちひろ,二人とも大人なんだから、妄想ばっかしてたら駄目ですよー？。このまま事務所にダッシュダッシュ……！
友紀,いいぞ！いいぞ！ち・ひ・ろ、さーん！もっとダーーッシュ！！
レナ,友紀ちゃん催促じゃなくて、止めないと！
ちひろ,友紀ちゃんキャッツ好き！？でもあんましつこいと、ひどい目にあうかも！
友紀,ええー！？
ちひろ,レナさんもギャンブルはほどほどに！いたい目にあうかも！
レナ,ええー？
友紀,ごめ……きゃっつ……ごめんなさ……きゃっつ！
レナ,……も、もう１ラウンド……
ちひろ,……趣味って性癖で決まるんですか？。やっと事務所に到着……やっぱり王子様に会うためには困難を乗り越えないとですね。……でも、まゆちゃんが出てくることないですよ？
まゆ,あら、つれないですよぉ
ちひろ,……プロデューサーさんが、めちゃくちゃに求めてきたらどうするんですか？
まゆ,……ふぅん？。うふ……素敵♪
ちひろ,そういうわけでまた今……度っ！？
まゆ,逃がしませんからね？
ちひろ,な、なんで……！？
まゆ,まゆは知ってます。Ｐさんは奥手ですから……そんなことありえないですよぉ
ちひろ,しまった……！。……
まゆ,皆の所に一緒に……いきましょう？
ちひろ,まゆちゃん。これを見て
まゆ,……メモ帳ですかぁ？
ちひろ,プロデューサーさんは、日誌をつけてるんですけど……このページ
まゆ,まゆの初ライブの日……？。…………。……。……
ちひろ,……まゆちゃん？
まゆ,……
ちひろ,……なんかわからないけど、行っていいですか？
まゆ,あ、あの……このページ、貰っていいですか……？
ちひろ,え？あ、いいですよ。もう使い切ったやつですし
まゆ,ありがとうございます……♪
ちひろ,はい……あ、帰ってった……。いろいろありましたけど、プロデューサーさん、ちひろが来ましたよ！
日菜子,遅かったですねぇ……むふふふ
ちひろ,日菜子ちゃん……？
日菜子,むふふ、はぁい♪
ちひろ,どうしてここに……いや、それよりプロデューサーさんは？
日菜子,Ｐさんなら、身支度中ですよ？
ちひろ,身支度……何のです？
日菜子,それは決まってます。日菜子と愛の巣へ旅立つためです、むふ♪
ちひろ,そ、そんな、冗談を……
日菜子,冗談と妄想の区別は日菜子もつきますっ、ぷんぷん……むふふ♪
ちひろ,プロデューサーさんが日菜子ちゃんを選ぶなんて……いや、妄想ですよね！？
日菜子,むふふ……妄想じゃありませんよ。ね、Ｐさん？
Ｐ,……そうだな、日菜子
ちひろ,プロデューサーさん！
Ｐ,そういうことですので、ちひろさん
日菜子,むふふ♪
ちひろ,ま、待ってください！せめて、理由を教えてください！
Ｐ,理由……日菜子を選んだ理由ですか
ちひろ,そうです。私、このためにいろいろと考えてきたんですよ？
Ｐ,そうですね……。事の顛末は、日菜子に教えてもらいました。俺の元に連日送られてくる写真……。最初は、凛のでしたっけ。あの頃が天国でした。徐々に２人、３人と、人数が増えるにつれ、写真の枚数も……。気付けばアパートの前に、トラックが何台も停まってましたね。最近、ダンプカーがうろうろしてるのも聞いてます。……俺は疲れたんです
ちひろ,つ、疲れた？
Ｐ,日に日に枚数が増えれば、する回数も増える。郵便受けは底が抜けて、何回も修理しました。溜まった写真はアパートの床が抜けそうで、倉庫へ移しました。……でも、それを繰り返すうちにもう気力が果てちゃって。ハッ、とひらめいたんです。日菜子と話しているうちに。実際に見たりしたりするより、全部妄想すればいいじゃないか、とね
ちひろ,……！？
日菜子,……むふふ
Ｐ,妄想なら飽きないし、疲れないし、場所も時間も必要ない
日菜子,その通り……さすが日菜子の王子様♪
ちひろ,な、なっ
Ｐ,俺は日菜子に、妄想の素晴らしさを教えてもらいました
日菜子,むふふ。まだまだこれからですよ……むふっ
ちひろ,ああ……
Ｐ,とりあえず帰って妄想します……では、また明日
日菜子,むふふふ……また明日です♪
ちひろ,……。……なんてことなの
凛,……ちひろさん
ちひろ,凛ちゃん……皆も……
奈緒,そういうこと、あるだろ。でも、まだ頑張ろうぜ？
加蓮,良いことあるよ、きっと。ね？
ちひろ,ありがとう……
凛,はい。チョコ、食べなよ
ちひろ,いただきます……
凛,妄想がはかどるよ
ちひろ,そうね、それならプロデューサーさんとも……確かに……
日菜子,すぅ……すぅ……むふふふふ……♪
Ｐ,なんか、日菜子が幸せそうですね
ちひろ,いつものことですよ？
Ｐ,そうでした。まったく……妄想ばっかしてないで、アイドルらしくしてくれよ
まゆ,でも、幸せなのは良いことですよぉ♪
Ｐ,まあ、そうだけども
智絵里,しあわせ……おすそわけ、です
藍子,クローバーのアクセサリー……可愛いですねっ
Ｐ,まあ、たまには妄想も良しとするか
凛,良いんだ……
日菜子,……むふふ♪
