ジャイアント・トード,
フィオ,どうしたの、いきなり走り出して？
カズマ,ゲッ、嫌な女共だ！！
ひまわり,たーやーっ///
ミツルギ,あ、いや、これは！？
クレメア・フィオ,「えええぇぇぇーーーーーーーっ！！？」
クレメア,なに、その子は！？
フィオ,まさか、キョウヤの…！？
ミツルギ,違う。この子はいきなりきて、僕にしがみついただけで、僕も何がなんだか…
ひまわり,へへっ///
クレメア,あ、その子、顔が赤いわ！
フィオ,も、もしかして、キョウヤのカッコよさに惚れて…
クレメア,大変。ちょっと、キョウヤに触らないでよ！？
ひまわり,たあー！！
フィオ,そうよ。私のキョウヤなのよ！赤ん坊でも容赦しないわよ
ひまわり,たいやい！！
ミツルギ,ちょ、ちょっと二人とも！？相手は赤ん坊だよ、赤ん坊は流石に優しくしないと…
カズマ,なぁ、お前の妹も手違いでここに来たのか？
しんのすけ,知らないゾ
クレメア,離れなさ～い
フィオ,う～ん
ひまわり,たあーーー！！
クレメア・フィオ,「きゃあ！？」
ミツルギ,えっ！？
カズマ,！？
しんのすけ,おー…
カズマ,なぁ、お前の妹も手違いでここに来たのか？
しんのすけ,知らないゾ
クレメア,離れなさ～い
フィオ,う～ん
ひまわり,たあーーー！！
クレメア・フィオ,「きゃあ！？」
ミツルギ,えっ！？
カズマ,！？
しんのすけ,おー…
クレメア,う～ん…って、あれ、今の赤ん坊？
フィオ,え、どこ？さっきまで居たのに！？
ミツルギ,い、今、目の前で消えた…ような……
カズマ,どうなってんだ！？
しんのすけ,さぁ～？
ミツルギ,あぁ、もしかしたら、僕は疲れているのかもしれない
クレメア,キョウヤ…
フィオ,大丈夫？
ミツルギ,帰ろう。あ、サトウカズマ
カズマ,んっ？
ミツルギ,今回はこれで引き下がるけど、次またアクア様の機嫌を損なうのを見ようなら、また来るから
カズマ,あー、分かった分かった。
めぐみん,何だったのでしょうか？
ダクネス,さぁな
カズマ,なんか、今日は色々な奴に会うな。
？,お、カズマじゃないか。クエストの帰りか？
カズマ,この声は、ダストにキースだな
ダスト,おう。気分はどうだ？
カズマ,まぁまぁだよ
キース,お前も最近、大変らしいな？
カズマ,あぁ、そうなんだよ
ダスト,どうだ？今回も例のあそこ、行ってみるか？
カズマ,おぉー、いいねぇ♪
キース,あそこは男の楽園だからな
しんのすけ,男の楽園……えへへ、なんだかやらしい響きですなぁ～///
ダスト,うおっ！？
キース,な、なんだ、誰だ！？
カズマ,おい、男同士の会話にいきなり割って入るのはよくないぞ！
しんのすけ,オラだって、男だゾ！！
カズマ,た、確かにそうだけどよ
ダスト,お、おい、カズマ？
カズマ,どうした？
キース,こいつ、お前の知り合いなのか？
カズマ,あぁ、こいつは……
ダスト,なんだよ、カズマの親戚のガキかよ…
キース,預かってるのか？
カズマ,あぁ
ダスト,だったら、しょうがないねぇが、ひとまずガキが居るとあそこには行きにくいんだよな
キース,そうだな。俺らの歳は許されるが、年下の子供はアウトって話だからな
カズマ,どうするんだよ？
ダスト,しょうがねぇ。今日は諦めるわ。悪いな、カズマ
カズマ,いいよ。また、今度一生行こうぜ
キース,あぁ。その時は今日楽しめなかった分の倍、楽しめるようにしよう
しんのすけ,えぇーー、やらしそうな場所に行かないの～？綺麗で、セクシーなおねいさんに会えるって想像したのに～
ダスト,カズマの親戚のガキも悪いな。だが、ガキがいずれ俺らと同じ歳まで成長したら、その時は一緒に連れてってやるよ
しんのすけ,ほんとおおぉーーーっ///
キース,もちろん。カズマの親戚なら、尚歓迎だ。それに同じ男同士って事もあるし、それまでお楽しみにしておくといい
しんのすけ,お兄さんたち、ふともも～♪
カズマ,それを言うのなら…太っ腹！。いいのかよ、そんな約束して？
ダスト,いいんだよ。男の楽しみは、男同士で共有するのが一番だしな
キース,それに同志が増えるって事も嬉しい事だからな
カズマ,それもそうか。じゃあ、いっか
しんのすけ,ほほーい、じゃあ、男どうしのお約束しようよ
ダスト,はぁ？
キース,んっ？
カズマ,なんだ、男どうしのお約束？
しんのすけ,こうやるんだゾ。男どうしのお約束
ダスト,あはは、なんだそりゃ
キース,だが、案外悪くないかもな
カズマ,ポーズが変だけど、男どうしのお約束って言葉はいいな
しんのすけ,ねぇ、やろうよやろうよやろうよぉーー！！
カズマ,どうする？俺は構わねぇが？
ダスト,まっ、たまにはガキに乗ってやってみるのも悪くないな
キース,俺もいいぞ
カズマ,んじゃあ、決定だな
しんのすけ,おーー！！。では…
しんのすけ・カズマ・ダスト・キース,「「「男どうしのお約束！！！！」」」
ダクネス,…………なんなのだ、あれは？
めぐみん,カズマたち男共が考えてる事は、女性の私にはさっぱりですよ…
カズマ,それにしても、しんのすけってユニークというか、面白いよな。さっきのダストとキースも気に入ったって言ってたし、案外凄い奴なのかもしれないな、お前は
しんのすけ,いやぁ～、それほどでも～///
カズマ,で、アクアはまだ落ち込んでんのか？
アクア,………
めぐみん,えぇ。さっき程から声を掛けてはいるのですが、まだ立ち直らないようでして
ダクネス,まったく、あれぐらいで、長く落ち込むとは…メンタルが弱いにも程があるぞ
アクア,仕方ないじゃないの！？それによって、子供のしんのすけからも怒られるし！！
ダクネス,お、立ち上がったな
めぐみん,ようやくですか…
カズマ,それくらいの勢いがあるなら、もう歩いても大丈夫だろうさ。行こう…
？,カズマさぁーーーん！
カズマ,この声は…
？,はぁはぁ。ようやく見つけましたよ、カズマさん及びパーティメンバーたちの皆さん
カズマ,ルナさん、どうしてここに？普段はギルドの中だけなのに？
ルナ,いや、それがですｎしんのすけ「おおぉぉーーー、おねいさぁ～ん///。えっ！？
しんのすけ,ねぇねぇ、おねいさんってお風呂上りはフルーツ牛乳、それともコーヒー牛乳？///
ルナ,え、えぇと…カズマさん、この子は一体…？
カズマ,あぁ。実はですね……
ルナ,成る程。親戚の子供さんでしたか…。
カズマ,はい
ルナ,事情は分かりました。それで、カズマさん達にお話しというのは他でもありません……。。実は……
アクア,まったく、クエストでもないのに、どうしてジャイアント・トードの討伐なんか…
カズマ,仕方ないだろ。急にジャイアント・トードが目覚めて、一斉に暴れるようになったって訳アリみたいで、そんで討伐に定評のある俺らが駆り出されたって訳だしな
めぐみん,ですが、クエストとは関係なしに特別報酬は出るみたいですし。カエルは苦手なのですが、まぁやりましょう…爆裂魔法の為に！
ダクネス,あぁ……///ずっと出来なかった念願のジャイアント・トードの討伐が出来る日が来るとは、こんなにも嬉しい事はないぞ…いや、早く粘膜まみれに、攻撃も…///
アクア,そういえば、しんのすけは？
カズマ,子供は危ないから、ギルドｎしんのすけ「呼んだ？。っ！？……って、うわぁ、なんでお前、ここに居んだよ！！？。ギルドで大人しく待ってろって言ったはずだろ！？
しんのすけ,カズマお兄さんたちだけで、ずるいゾ！！オラも面白そうな、エンストってものをやってみたいゾ！
カズマ,アホ。エンストじゃなくて、クエストだ！大体、面白いもんじゃねぇよ！！！
しんのすけ,やりたいゾ！
カズマ,ダメだ。小さい子供には危険すぎる！！
しんのすけ,オラ、子供じゃないもん！ちゃんとした大人だゾ…ほら、あそこだって…
カズマ,脱ぐなよっ！？ってか、子供が大人って言っても何も変わらねぇし、子供は子供はだろ、お前は！！
めぐみん,というか、しんのすけはなぜ、そこまでジャイアント・トードの討伐に加わりたいのですか？
しんのすけ,もちろん、ルナおねいさんに褒めて貰いながら、頭を撫でて貰いたいからだゾ///
カズマ,やっぱ、そういう魂胆かよ！！？
しんのすけ,やりたいやりたい～！
カズマ,ダメだ！今からでも間に合う、街に戻れ！
しんのすけ,やりたいやりたいやりたいやりたい～～！！
カズマ,うるさい。しつこいぞ！！
アクア,ねぇ、カズマさん…
カズマ,なんだ？
ダクネス,今、しんのすけを街に戻しても間に合わないかもしれんな…
カズマ,な、なんでだよ？
めぐみん,う、後ろ……
カズマ,後ろ？
ジャイアント・トード,…
カズマ,うわあああぁーーーー！？
アクア,カズマの後ろだけかと思ったけど、今度は見てよ…周りを！
ジャイアント・トードたち,………
カズマ,うわあああぁーーー、いつの間にこんなに！！？
めぐみん,恐らく、先ほどのしんのすけとカズマの大きな声に反応をして寄ってきたようですね
ダクネス,にしても、この数…期待できるじゃないか///
しんのすけ,おぉーー、おっきなカエル！最初に見た時とおんなじのだゾ！！
カズマ,仕方ねぇ、このまま討伐するぞ。めぐみん、爆裂魔法の準備だ。ジャイアント・トードの足止めは俺とアクアでなんとかしておく。ダクネスはしんのすけを守れ！
めぐみん,分かりました
アクア,さぁ、やってやるわよ
ダクネス,しんのすけ、私から絶対に離れるなよ
しんのすけ,ほい、ダクネスおねいさん！
アクア,食らいなさい。私が最近、身に付けた…片手にゴッドブロー、もう片手にゴッドレクイエム！！
カズマ,一遍に発動できるのか……って、待てぇーー？！その両方は、ジャイアント・トードには！？
ジャイアント・トード,………
アクア,ふぎゃ！
カズマ,やっぱりか。以前、両方の技はジャイアント・トードには効果が無かったからなぁ…。
しんのすけ,おー、アクアちゃんって意外に弱いのですなぁ…。
めぐみん,エクスプロージョン！！
しんのすけ,おおおぉぉーーーー、凄い凄い！！
めぐみん,フッ。子供から喜ばれた…今回もナイス爆裂
しんのすけ,あれ、めぐみんちゃんは、なんで寝てるの～？
めぐみん,よくぞ、聞いてくれました、しんのすけ。私は、爆裂魔法が絶大な魔力を消費する故、発動後はこうして力を使い切って倒れてしまう訳です
ジャイアント・トード,………
カズマ,あ～ぁ、また食われたよ
しんのすけ,おー、やれやれ。めぐみんちゃんも凄いのやら凄くないのやら、分かりませんなぁ～
ダクネス,カズマ、まだジャイアント・トードがいるぞ
カズマ,分かってる。アクアとめぐみんも食われたまんまだ。助けないと……って、おい、ダクネス！？
ダクネス,なんだ？
カズマ,近くにジャイアント・トードが迫ってるぞ！？
ジャイアント・トード,………
ダクネス,なんと、これはめぐみんを食べた奴ではないか！？
しんのすけ,ほほーい。大きなカエルだぁ～
ダクネス,あ、しんのすけ！？
ジャイアント・トード,………
しんのすけ,おっ…
ダクネス,危ないっ！？。にゃあぁっ！？///
カズマ,ダクネス！？
しんのすけ,ダクネスおねいさぁーん！？。ダクネスおねいさん、大丈夫？
ダクネス,あぁ、大丈夫……だが。イイ～ッ♡///
しんのすけ,おっ！？
ダクネス,イイぞ///これがジャイアント・トードが使う舌の威力か……中々だ///
カズマ,あ～ぁ、これはこれで、ダクネスの悪い病気が始まったぞ、また
ジャイアント・トード,………
カズマ,ヤバい、また来るぞ！？
ダクネス,うぅ…///
しんのすけ,ダクネスおねいさん、危ないゾ！
カズマ,危ない！？
しんのすけ,
ダクネス,あ……あぁん…！？♡♡/////
カズマ,っ！？
ダクネス,ハッ、なんなんだ…今、耳に温かい息が…///
ジャイアント・トード,！！
カズマ,舌が切れて、ジャイアント・トードが苦しんでる……今、ダクネスの剣の攻撃が舌に当たったのか！？
ジャイアント・トード,…
カズマ,今度は飲み込む気か！？
ダクネス,うぅ…///
しんのすけ,
ダクネス,あ……あああああぁぁぁぁん……♡///
ジャイアント・トード,！。
カズマ,ええええぇーーーーっ！？
ダクネス,こ、こら…し、しんのすけの、仕業か！？/////
しんのすけ,うん
ダクネス,いきなり耳に息なんか吹きかけて……癖になったらどうする！？///
しんのすけ,だって、ダクネスおねいさん、震えて緊張してたみたいだから、ロレックスしてあげようかと
ダクネス,ろれっくす？？
カズマ,それを言うなら、リラックスな。それより、今度はダクネスの攻撃がジャイアント・トード本体に当たって、ジャイアント・トードを倒した。。まさかダクネスの攻撃が当たる日が来ようとはな。いや、これはしんのすけのおかげか…。。普段のダクネスは剣を握る時に力が入って、攻撃する時も集中的だった。だけど、しんのすけがダクネスの耳に息を吹きかけた事で力も集中力も緩み、喘いだ勢いで振った剣の攻撃が自然に当たったって事か！
ジャイアント・トード,
ダクネス,って、いつの間にジャイアント・トードが倒れてる！？一体誰が！？
カズマ,気が付かないとはいえ…お前だよ、ダクネス
めぐみん,
カズマ,おっ、めぐみんが出て来た…。じゃあ、後は…
ジャイアント・トードたち,
カズマ,アクアを食べた一体と、残り2、3体だけだな
しんのすけ,ほほ～い
ダクネス,あ…
カズマ,って、また勝手にジャイアント・トードに近付きやがって！？
ジャイアント・トード,
ダクネス,ヤバいぞ、ジャイアント・トード達の舌が一斉にしんのすけに！？
カズマ,逃げろおおおぉーーー！！
しんのすけ,ほい
カズマ・ダクネス,「っ！？」
しんのすけ,ぶりぶり～、ぶりぶり～、ぶりぶり～
ダクネス,な、なに！？
カズマ,えっ、なんで尻を出した！？
しんのすけ,ぶりぶり～、ぶりぶり～
ダクネス,げ、下品だが、ジャイアント・トードの攻撃を全て交わしてるぞ！？
カズマ,な、なんちゅう、身のこなしだ…。身軽というか、なんというか…
しんのすけ,おっ！
カズマ,あっ？！
ジャイアント・トード,
カズマ,しんのすけ、危なぁーーい！？。よっ！。いってぇ！？
しんのすけ,おー、カズマお兄さん
カズマ,まったく、お前は手を焼かせやがるぜ。大丈夫か？
しんのすけ,うん、平気平気～
カズマ,そうか。それより、しんのすけ？
しんのすけ,ほい？
カズマ,一応お前に渡しておいてやる。
しんのすけ,なにこれ？
カズマ,短剣…つまりは、短めの剣だ。さっきから危ない目に遭ってるからな。危なくなったら、これを使え
しんのすけ,おぉーー、つまりはオラもやってもいいって事？///
カズマ,違う。これは、あくまで護身用で……
しんのすけ,ほほ～い
カズマ,って話を聞けよ！？ってか、ジャイアント・トードに立ち向かうな、戻ってこーい！？
ジャイアント・トード,
しんのすけ,むぅ～
ダクネス,子供でも無茶だ！？離れるんだ、しんのすけ！！
しんのすけ,大丈夫。さぁ、来い……シャイニング・コード
カズマ,ジャイアント・トードな！！って、おい…本気なら止めろ！？
ジャイアント・トード,
しんのすけ,おわっ！？
ダクネス,ジャイアント・トードの舌で、剣が宙に舞った！？
カズマ,本当にヤバいぞ！！
しんのすけ,大丈夫。
短刀,
しんのすけ,ほい！！
カズマ,し、尻で短刀を！？
ダクネス,キャ、キャッチした、だと！？
ジャイアント・トード,
しんのすけ,ほい！
ジャイアント・トード,
しんのすけ,はい！
ジャイアント・トード,
しんのすけ,とお！
ダクネス,なんと、ジャイアント・トードの舌の攻撃を、余裕で跳ね返しているぞ！！
カズマ,さっきのといい、しんのすけは尻を出すと強いのか！？
しんのすけ,オラ、お尻の力には自信があるゾ
ダクネス,ほぉ、お尻の力か…。それはそれで凄いな！！
カズマ,って、感心するなよ！？（でも、まぁ、小さいのに大した奴だよ…しんのすけ）
しんのすけ,もう飽きた。これでおわりね
ダクネス,？
カズマ,なんで鼻をつまむんだよ？
しんのすけ,ほい
靴下,
カズマ,なんだ、いきなりポケットから靴下が！！
しんのすけ,あ、鼻をつまんでて！
ダクネス,なぜｄ………！？
カズマ,ぐおおおぉぉーー、くっせぇ！！？
しんのすけ,くらえ。父ちゃんの激臭靴下攻撃！
靴下,
ジャイアント・トード,っ！！！
カズマ,じゃ、ジャイアント・トードが苦しそうに暴れてるぞ…！
ジャイアント・トード,。
ダクネス,見ろ。一気にジャイアント・トードが全滅したぞ
カズマ,まさか、しんのすけが出した、あの靴下の嫌な激臭がやったのか！？
しんのすけ,えっへん。やったゾ///
ダクネス,なぁ、しんのすけ
しんのすけ,なぁ～に、ダクネスおねいさん？
ダクネス,ポケットから出した、あれは一体なんなんだ？今まで嗅いだ事のない、凄い臭いだったが…
しんのすけ,お～、これのこと～？
靴下,
ダクネス,ぐおっ！？
カズマ,がああああぁぁーーー、くっせぇ！？頼むから、早くポケットにしまってくれえぇーーー！？
しんのすけ,いまのは父ちゃんの靴下…嗅いだら絶対に気絶する程の凄い臭い付きだゾ
カズマ,父ちゃん、つまりは父親のか。でも、なんでポケットの中に父親の靴下があるんだ？
しんのすけ,知らない。気が付いたら、いつの間にか入ってたの
カズマ,なんだそりゃあ…
ダクネス,なぁ、今、嗅いだら絶対に気絶する程の凄い臭いって言っていたが、どれくらいなんだ？
しんのすけ,う～ん、たくさんの人かな？うぅん、きっと世界が終わるくらい恐ろしいゾ
ダクネス,なんとっ！？
カズマ,世界が終わるって……確かにあの臭いはかなり強烈だけどよ、靴下の臭いだけで世界滅亡ってどんだけだよ！？
ダクネス,それならば、ぜひ私も試してみたい…///
カズマ,はぁっ？！
ダクネス,さぁ、私に向かって、その凄い臭いの物を投げろ///それで、私をボロボロにしゅりゅんだあああぁぁーーーーーっ////////
カズマ,止めろ！お前の場合、無茶して気絶じゃ済まなくなる…むしろ、命とられそうで怖いぞ！？
めぐみん・アクア,「う～ん」
カズマ,おっ、起きたか
ダクネス,二人とも大丈夫か？
しんのすけ,よっ！
めぐみん,カズマにダクネス、それとしんのすけ。えぇ、なんとか無事です
アクア,あれ、ジャイアント・トードは？
カズマ,もう倒したよ
めぐみん,カズマとダクネスで、ですか！？
カズマ,あぁ
アクア,ふぅ～ん、やるじゃないの。まっ、女神を助けるのは当然の事だし、次はなるべく早く救出をお願いね
ダクネス,なぁ、カズマ…
カズマ,なんだ？
ダクネス,私とカズマじゃなくて、ほぼしんのすけがやった事だろ。
カズマ,あぁ、確かにそうだけど、まさか年下の小さな子供が討伐して、助かったのはその子のおかげなんて分かったら、多分アクアもダクネスもショックを受けるだろうし…。ひとまず、しんのすけには悪いが、本当の事は黙っておこうぜ
ダクネス,…………………あぁ、分かった
しんのすけ,？
カズマ,おい、アクア。
アクア,なに？
カズマ,そろそろ、というか、もう半日経ってるし、しんのすけに例のアレを…
アクア,あ、そうね。もう時間ね。ねぇ、しんのすけ？
しんのすけ,な～に？
アクア,中途半端だったけど、貴方はアクセルを巡って半日だけツアーをしたわ。これを元に貴方にはこれからを決めてもらうわよ
しんのすけ,これから？
アクア,忘れたの？ここにずっと住むか、このまま元の世界に戻るかって事よ。
しんのすけ,おーーー、こってり忘れてたゾ
カズマ,こってりじゃなくて、すっかりな！
アクア,さぁ、選びなさい。この世界に住む、それとも元の日本に帰る？
しんのすけ,う～ん……………
カズマ,………
めぐみん・ダクネス,「？？」
しんのすけ,じゃあ、ここで…
カズマ,えっ？！
アクア,そう。じゃあ、このままで異世界で暮らすって事で
しんのすけ,と思わせて…やっぱ、カスカベに帰りたいゾ
アクア,あらっ！？
カズマ,おっ！
アクア,ち、因みに聞くわ。理由は？
しんのすけ,う～ん。たしかにここは綺麗なおねいさんばっかでいいし、住みたいと思った。けど、やっぱりオラ、父ちゃん母ちゃんひまわりシロとまだ一緒にいたいし、皆ともまた遊びたいからだゾ。後、ななこおねいさん…とも…まだ……///
アクア,ななこおねいさん？
カズマ,しんのすけ、お前は偉い！
しんのすけ,おっ！
カズマ,そうだ、それでいいんだよ。家族に友達、大事な存在と離れたくない、一緒にいたくて遊びたい…お前は、自分の欲望よりも家族や友達を最優先した。それにお前はまだ生きてて、死んではないんだ。せっかく俺と違って元の世界に戻れるっていうのに、このまま死んだ事にして異世界に住むなんて、有る命を捨てるような勿体無い事はするな。いいか。日本に戻ったら……まず一生懸命現世を生きろ、家族や友達との大事な時間を大切にし、また絆も大事にしろ、辛くても前向きになれ……分かったか、しんのすけ？
しんのすけ,う～ん、分かるようで、分からないゾ
カズマ,なんだそりゃ！
アクア,ぷっ、カズマさんって、柄にもない事言うわね。もしや、同じ日本だから、重ねてるの？
カズマ,まぁな。しんのすけはまだ幼稚園児でも、将来なにが起こるか分からない。だけど…。俺みたいに友達でくじける、家族を困らせるような……一生懸命生きるのを辞めたり、時間を無駄にし、絆もない、辛いからって逃げることしか考えない、人間にはなってほしくないからな。それと、最期まで情けない俺みたいに……な。
アクア,ふぅ～ん。まぁ、その気持ちだけなんとなく分かるわ
カズマ,えっ？
アクア,勘違いしないでよ！？私はあくまでしんのすけが、アンタみたいなヒキニートになってほしくないからって考えで同意しただけだから！？
カズマ,おい…
アクア,でも、まぁ、たまに柄にもない事言うアンタも、たまには立派に見えるわよ、カズマ
カズマ,アクア…
アクア,じゃあ、しんのすけ。エリスが日本に返す為の手筈、整えてくれたから…今から貴方を日本に戻すわね
しんのすけ,おぉーー
めぐみん,えっ、しんのすけがやや透明に！？
ダクネス,どういう事だ！？
カズマ,………
アクア,さぁ、汝、野原しんのすけ。元の世界に戻り、引き続き今後の人生を謳歌してください
しんのすけ,おぉ、オラ…
めぐみん,消えます、消えていきますよ！？
ダクネス,しんのすけええぇーーー！？
カズマ,しんのすけ、帰れて良かったな…。日本に戻っても、頑張れよ。そして、俺の分まで…長く生きてくれよ！！
しんのすけ,カズマお兄さん、ダクネスおねいさん、めぐみんちゃんにアクアちゃん……。バイバイだゾ…
？,の………すけ………
しんのすけ,う～ん
？,しん………の……すけ
しんのすけ,う～ん…
？,しんのすけ……
しんのすけ,う～ん……
みさえ,しんのすけ！！
しんのすけ,ハッ！
みさえ,やれやれ、やっと起きたか
しんのすけ,あれ、かあちゃん？
みさえ,そうよ、ママよ
しんのすけ,ここは？
みさえ,ここは、じゃないわよ。寝ぼけてないで早く起きなさい。バスが来ちゃうでしょうが…。なによ、もう？ほら、しんのすけ…ちゃんと着替えるのよ
しんのすけ,…………オラ、戻ったの…春日部…に。かあちゃんー
みさえ,なによー？
しんのすけ,オラ、高原が広がっててモンスターが居て、よろいみたいなの着てる人とか魔法を使える人とかが居る世界に行ったゾ
みさえ,あっそ。夢の話がいいから、早く着替えなさい
しんのすけ,むぅ～。……う～ん。夢だった、のかな。んっ、何かあるゾ？
短刀,…
しんのすけ,おっ！。これは…カズマお兄さんから貰った……。うおおおぉおぉぉーーーー、夢じゃなかったああぁーーーーー！！！
みさえ,なによ、うるさいわね？
しんのすけ,あっ、かあちゃん。やっぱり、さっきのオラの話、夢じゃなかったゾ
みさえ,あっそ。もういいわ、夢の話は…。それより……。さっさと着替えなさい！！もうバスが来ちゃうじゃないの
しんのすけ,だから、オラの夢は本当にあって、夢なんかじゃなかったゾ
みさえ,しんのすけ！いい加減にしなさい。これ以上、お着替えしないで夢の話ばかりするなら、ママからおしおきよ！！
しんのすけ,ひいいいいぃぃぃーーーー、本当なのにぃぃぃーーーー！！！
短刀,…
野原しんのすけ,この素晴らしい世界にオラだゾ！。この素晴らしい世界にオラだゾ！
