ブラックジャック,ポケモンマスター？｣レッド｢・・・
ワタル,なんだとッ！？
イツキ,カリン、いたのか
カリン,ええ、まあ、ね。あら！近くで見るといい男！・・・じゃないわね。貧相で死神みたい
キリコ,・・・・・・
カリン,あたくしもっとワイルドな殿方がタイプなの、じゃね
キリコ,・・・・・・
イツキ,で、ゴールド君を探してるんだって？
キリコ(・・・・・),ええ・・・
シバ,俺達もちょうど探していたところだ
キリコ,？
ワタル,ど～してレッドといいゴールドといい、餓鬼共はさっさとチャンピオン辞退するのかねぇ！！
イツキ,ゴールド君、突然チャンピオンを辞めるって飛び出しちゃって
ワタル,まあ、チャンピオンの風格をちゃんとまとってる俺みたいなのが一番ふさわしいんだがな
キリコ,正式なチャンピオンは不在というわけか
イツキ,ええ、まあ、そうなるね
ワタル,おォいッッ！！！！！！
イツキ,それじゃあ、ゴールドを見つけたら、ここに連れ戻してくれるかい？
キリコ,フフフフフ・・・お安い御用だ。居場所が突き止められたらな
イツキ,よし！占ってあげるよ！
ワタル,今度は、はずすなよ？
キリコ,何？
イツキ,はずしたんじゃない、すでに移動していなくなってるってパターンが多いんだよ
ワタル,分かったからさっさとやれ
イツキ,・・・ったく
キリコ,・・・・・・・
イツキ,・・・・・・・。これだ！！
キリコ,・・・
イツキ,・・・・・
ワタル,どこなんだ？
イツキ,トキワシティの、ジムにいる
キリコ,！！
ワタル,なんだ、意外と近いな、だったら俺が・・・
シバ,我々はここを離れるわけにはいかん
ワタル,いや、だって最近俺のところまで挑戦者こないし
シバ,チャンピオンだろう？
ワタル,！！！
キリコ,シルバーって子も占ってもらえませんかね
イツキ,いや、それは面識ないから無理
キリコ,・・・・・・・・。くそっ！
イツキ,すいませんね、そっちの方はお役に立てなくて。なにしろ、僕自身は、エスパーじゃないもので
キリコ,・・・いいえ・・・。それでは・・・
ワタル,待て！！！！！
キリコ,？
ワタル,戦わずに帰るつもりか！！
キリコ,・・・？
ワタル,ここからは、ポケモンバトルをして、勝つか負けるかしないと出られない決まりだ！！
キリコ,急いでいるもので
ワタル,なぁに時間はとらせはしない！特別に！この俺が相手をしてやる！！
イツキ,ちょっとワタルさん
シバ,・・・・・
ワタル,リーグチャンピオンとして！！。ドラゴンつかいのワタル！！いざまいる！！
キリコ,・・・・・・・
ワタル,・・・・・・
イツキ,・・・・・・
シバ,・・・・・・
ワタル,・・・・・・・
カリン,あ、ちょっと～イブキちゃんからメール来てたんだけど～
ワタル,・・・・・
イツキ,・・・・・
シバ,・・・・・
カリン,あれ？何この空気。なんかものすごく強ーいトレーナーがこっちに向かったから。戦うんなら覚悟しとけってー
ワタル,・・・・・・
シバ,・・・・・・
ワタル,カイリュー・・・俺のカイリュー・・・
シバ,ワタル、カイリューは大丈夫だ
キョウ,にんにん・・・
キリコ,フフフフフ・・・。まあ・・・。不可抗力ってやつさ・・・。先を急ごう・・・。フフフフフ・・・
ゴールド,・・・。・・・。・・・。・・・。・・・。・・・。・・・。・・・
キリコ,・・・戻れポッポ
ポッポ,チュンチュン！
キリコ,・・・・・・。・・・。・・・・・・！。お前は・・・
バクフーン,ナキゴエワカンネェ！！
キリコ,・・・・・・
ゴールド,・・・・・・・。・・・・・・・。・・・・・・・。キリコ先生ですね？
キリコ,・・・・・・・
ゴールド,待ってました。ボクと、ポケモンバトルしてください
キリコ,・・・なぜかね？
ゴールド,あなたはボクに勝てません。絶対に
キリコ,質問の答えになってないぞ
ゴールド,なぜならボクが、この世で一番強いからです
キリコ,・・・・・・・・
ゴールド,レッドさんよりも
キリコ,・・・？。まぁいい・・・このままではこのジムを調べさせてもらえそうにないからな
ゴールド,・・・・・
キリコ,いけ、ゲンガー
ゲンガー,・・・ごほっごほっ！
ゴールド,バクフーン！！かえんほうしゃだ！！
バクフーン,コォォォオォ！！！
キリコ,ゲンガー・・・シャドーボール
ゲンガー,・・・・・・・
ゴールド,・・・！くそっ！。！！！！！。ッ！！！！！！。ッッ！！！！！！！！！。ッッッッ！！！！！！！！！！！！！！！！。・・・もう・・・。もうやめてぇーーーーーー！！！！
キリコ,・・・・・・
ゴールド,・・・・・
ブラックジャック,ゴールド君！！
ゴールド,！！
キリコ,・・・！！！
ゲンガー,・・・・！！！！
ＢＪ,なぜ私が渡したポケモンを使わなかったゴールド君！！
ゴールド,・・・。・・・。こんなはずはない・・・！こんなはずは・・・！！。ボクの実力で・・・。勝てない相手がいるわけないんだ・・・！！。こんなの・・・。クソッ！！。もう死ぬ！！。死んだほうがましだ！！！
ＢＪ,！！
キリコ,！！
ゴールド,一番じゃないなら！！！！。死んでやるーーーー！！！！！！！
ＢＪ,甘ったれるな！！！
ゴールド,！！！！！・・・
キリコ,・・おやおや・・・声を荒げてみっともないぜブラックジャック
ＢＪ,・・・・・・。なんだ、こんなところにまでやってきて。まだ将来のある若者を殺そうっていうのか？ドクターキリコ
キリコ,冗談よせ、オレの神聖な仕事をこんなクソガキに汚されてたまるか
ゴールド,・・・・・・・
キリコ,ブラックジャック、おまえがいるということは・・・奥にいるんだろう？死に掛けの患者が。どうやらここで正解だったようだな・・・
シルバー,先生、何か？・・・！！！。ドクターキリコ！！
キリコ,ゲンガー！さいみんじゅつでここにいる全員を眠らせろ！！
ゲンガー,・・・・・・・・
キリコ,おい！どうしたゲンガー！！
ＢＪ,・・！ゴールド君！さっき渡したポケモンを貸したまえ！！
ゴールド,・・・！！！
ゲンガー,・・・・・
キリコ,どうしたゲンガー！！
ゲンガー,・・・・・・ごほっ
ＢＪ,いくんだ！エーフィ！！
エーフィ,キュア！
キリコ,ゲンガー！！シャドーボールだ！！
ゲンガー,・・・・・
ＢＪ,エーフィ！！サイコキネシスだ！！
エーフィ,キュア！
ゴールド・シルバー,・・・・！！！！！！
キリコ,なっ！！
ゲンガー,・・・ごほごほごほっ！！！！！！
ＢＪ,・・・・・・
キリコ,馬鹿な！！チャンピオンのポケモンを圧倒したゲンガーだぞ！！
ＢＪ,ポケモンは、すばやさが１違うだけで先手後手が決まる。私のエーフィのほうがすばやかった。今、目の前にあるのは当然の結果だ。さあ、そのゲンガーを早くポケモンセンターに連れて行くんだ！！
キリコ,・・・・・。どうしたゲンガー・・・まだ動けるだろう？
ゲンガー,・・・・・・
キリコ,私の役に立ちたくないのか？
ゲンガー,・・・・・・・・・
キリコ,さあ！こいつら全員に催眠術をかけるんだ！！
ゲンガー(,先生
ゲンガー(大好きだった,先生
ゲンガー(,先生。先生。先生と同じ医者
ゲンガー(新しい,先生
ゲンガー,・・・・・・
ＢＪ,・・・！！
キリコ,よぉし・・・いいぞゲンガー！
ゲンガー,・・・ごほっ
シルバー,う！
ゴールド,！！！
キリコ,・・・ふう・・・。よくやったゲンガー。お前はそこで休んどけ
ゲンガー,・・・・・
キリコ,ふむ・・・
サカキ,ＺＺＺ・・・
キリコ,いや待て・・・。ポッポ！
ポッポ,チュン
キリコ,その辺にある医療器具をめちゃくちゃにしろ。メスも残らず・・・。使い物にならなくするんだ！
ポッポ,チュン・・・
キリコ,・・・言わなければ分からないか？。つつくだ！！
ポッポ,チュン！
キリコ,おっと・・・そのかけてある真っ黒いコートの中身も忘れずにな
ポッポ,チュン！
キリコ,さて・・・。ようやく仕事にとりかかれる・・・。遅くなりましてすいませんねサカキさん・・・
サカキ,ＺＺＺ・・・
キリコ,・・・・・。・・・・・！！！。これは・・・！！！
ＢＪ,無駄だキリコ。おまえのしようとしている事は殺人だ
キリコ,！！！ブラックジャック！！。もう目が覚めたのか！！そんな馬鹿な！！
ＢＪ,エーフィが起こしてくれたのさ。ラムの実をもたせておいた
キリコ,なんだと！？。いや、そんなことはどうでもいい！！。こいつの手術したのか！！
ＢＪ,・・・・・。そうだ
キリコ,それで！結果は！！
ＢＪ,とりあえずは成功だ。とはいってもまだ、完全に回復すると決まったわけではないがね・・・
キリコ,！！！。・・・・・・・
ＢＪ,どうした？。くやしくて声もでないのか？
キリコ,・・・・・・。・・・・・バカ・・・。患者が助かるにこしたことはないさ・・・
ＢＪ,！・・・・・・。ふふふふ・・・。・・・
キリコ,・・・
ＢＪ,ああそうそう。おまえさんが持ってるゲンガーはな、私が昔・・・
キリコ,！！
ゲンガー,ごぼッごボッごぼゴボ！！！！
ＢＪ,ゲンガー！！！
キリコ,！！！
ゲンガー,ゴボッ！！ゴボゴボ・・・
ＢＪ,すごい血の量だ・・・
ゲンガー,ゴボッ！！
ＢＪ,！！内臓が破裂してるぞ！
キリコ,なんだと！？
ＢＪ,それもいくつか・・・。シルバーとゴールドを起こせ！！。ポケモンセンターに連絡しろ！！。私の医療道具をとってこい！
キリコ,・・・・！！。・・・すまない・・・お前の医療道具はすべて・・・。クズ鉄になった
ＢＪ,なんだと！？。おい！！シルバー！！ゴールド！！起きろ！！
ゴールド,うん・・・
シルバー,う・・・せ、先生・・・オヤジは？・・・キリコは・・・？
ＢＪ,話はあとだ！！今すぐポケモンセンターに行って医療器具を持ってきてもらえ！！。それとありったけのゲンガーの血だ！！
ゲンガー,ゴボッ！！ゴボゴボ！！！
ゴールド,！！うわ！！！ゲンガー！？
シルバー,！！・・・キリコ！！まだいたのか！！
ＢＪ,話はあとだ！！一刻を争う！！
キリコ,・・・・・！！！！
ゴールド,は、はい！！行ってきます！！
シルバー,おい！待てゴールド！！！
ＢＪ,・・・そうだ！おまえさんは医療道具を持ち歩いていないのか！？
キリコ,・・・いや・・・今は・・・ない
ＢＪ,クソッ！！
ゲンガー,げぼ・・・・
ＢＪ,なんとか・・・腹を裂いて止血しないと・・・
ゲンガー,ゴッ！ボッ！ゴボ！ゴボ！
ＢＪ,おい押さえろキリコ！！
キリコ,・・・・・。もう無理だ、間に合わん
ＢＪ,！！！
キリコ,医療道具はないが・・・。眠らせる道具なら。ある
ＢＪ,貴様！まさか！
キリコ,もう無理だ。助からないよ
ゲンガー,・・・・・・・・ごぼ
ＢＪ,・・・！！！。あきらめるな！！！！
キリコ,！！
ＢＪ,こいつは必死に生きようとしている！！。そんなやつを目の前に・・・助からないだと！？
キリコ,・・・！！！
ＢＪ,ふざけるのもいい加減にしろ！！。何か手があるはずだ！！何か！！
キリコ,・・しかし・・・・！
ゲンガー(,先生。先生
ゲンガー(せっかく,先生
ゲンガー(,先生
ゲンガー(助けて,先生
ＢＪ,何か！！何か方法はないのか！？
キリコ,・・・・・・
ムサシ,何かないのか？と聞かれたら
コジロウ,答えてあげるが世の情け
ムサシ,世界の破壊を防ぐため
コジロウ,世界の平和を守るため
ニャース,省略なのにゃ！！
ＢＪ,なんだお前達は！！見せ物じゃないぞ！！どこか行け！！
キリコ,！！・・・お前達は・・・！！
ムサシ,はぁ～い先生、お元気？
コジロウ,まだお金返ってきてないけど・・・
ニャース,預かってたものをお返しするにゃ！！
キリコ,・・・・！！！
ＢＪ,！！！！！キリコ！！貸せ！！！
キリコ,！！！
ゲンガー,ゴボッ！！
ＢＪ,心配するな、ただの麻酔だ
ゲンガー,・・・・・・・・
キリコ,ブラックジャック・・・！
ＢＪ,ああ、助けるんだ！！俺達の手で・・・！！
キリコ,・・・！！！。こいつの体の中・・・ぼろぼろじゃないか・・・！！。どうして今まで・・・
ＢＪ,ゲンガーの体は元々、頑丈にできている。いくつかの内臓が壊死しても何不自由なく動けるほどに
キリコ,・・・ということは・・・。体調が悪さのあらわれは・・・すでに相当のダメージが体内に蓄積されてるってことか？
ＢＪ,ああ、だがそれにも限界がある。心当たりがあるのか？
キリコ,・・・。出会った頃からセキをしていた・・・
ゲンガー,ごぼ・・・
ＢＪ,・・・！
キリコ,・・・！！
ＢＪ,なんだ・・・？
キリコ,・・・・・
ＢＪ,！？
キリコ,！お前も聞こえたか！
ＢＪ,・・・・・・
キリコ,・・・・・・・・
ゲンガー,ゴボッ！。・・・・・・・・・・
キリコ,・・・・・・・・
ＢＪ(,自立
ＢＪ(お前自身の能力で、感謝,される
ゲンガー,・・・！！！！！
ゴールド,先生！！
シルバー,医療班が到着しました！！
ＢＪ,・・・・・・・・
キリコ,・・・・・・・・
ムサシ,よかったわねーボスが助かってー
ニャース,ロケット団の復活もちかいのにゃあ！
コジロウ,そういえば・・・あっちの方はどうなったんだ？
ニャース,助かったって聞いたにゃ
ムサシ,あらあら、なんだかとっても
ムサ・コジ・ニャ,いい感じ～～～～！！！
ゲンガー,・・・・・・・
ＢＪ,・・・
ゲンガー,・・・。・・・・・
ＢＪ,私はもう行く
ゲンガー,！！・・・・・
ＢＪ,私をもっと必要としている患者が待ってるからな
ゲンガー,！！！・・・・・・。・・・・！！！！！！
ＢＪ,・・・ん？。！・・・・・。！！・・・・・・・・。・・・！
キリコ,！。よう、また会ったなブラックジャック
ＢＪ,・・・
キリコ,自分の腕でポケモンを救った気分はいかがかね？
ＢＪ,・・・私が救ったのではない。本人の意思の力だ
キリコ,・・・・・本人の力？とんでもない、謙遜するな
ＢＪ,・・・・・
キリコ,・・・・・・・。また会おう、ブラックジャック。・・・。おや・・・？
ゴロウ,・・・・・・
タケシ,おーいゴロウ！！勝手に出歩くなっていっただろう！！。おまえはまだ絶対安静・・・。あ・・・
キリコ,・・・・・・
タケシ,あなたは・・・
ゴロウ,・・・？
キリコ,・・・・・・・。調子は・・・いかがかね？
タケシ,あ、はい！一時はどうなることかと思ったんですけど・・・。このとおり日に日に良くなってます
ゴロウ,・・・この人誰？
タケシ,おいこら！お前が怪我した時診てくれた先生だ！！
キリコ,・・・・・
タケシ,ほんとに・・・あなたのおかげですよ！！。ほらゴロウ！お礼だお礼！
ゴロウ,ありがとうございました！
キリコ,・・・・・・・。フフフフフ・・・。それでは・・・
シルバー,ありがとうございました先生。オヤジは少しずつ、良くなってます
ＢＪ,ああ・・・
ゴールド,先生！。先生のエーフィは・・・
ＢＪ,ああ、ある人から借りてきた
ゴールド,その人は・・・
ＢＪ,・・・・・。シロガネ山の頂上に向かうといい。そこに、君より少し年上の少年がいる
ゴールド,！！！！
ＢＪ,きっと気が合うはずだ
ゴールド,・・・・・はい！ありがとうございます！！
ＢＪ,ん・・・？
キリコ,ん？
ＢＪ,またお前か！！
キリコ,こっちのセリフだ。はやく先に行け。今お前の顔を見ると気分が壊れる
ＢＪ,！・・・。お前の患者だった男・・・
キリコ,？
ＢＪ,ロケット団の元ボスだったらしくてね
キリコ,そいつは初耳だ
ＢＪ,２度と再興できないよう全財産をむしりとってやった
キリコ,！！。フフフフフ・・・
ＢＪ,どうです？一杯これから・・・
キリコ,！。冗談よせ。また会おう、ブラックジャック
ＢＪ,さっきも聞きましたがね、そのセリフ
キリコ,・・・・・・
ブラックジャック,ポケモンマスター？｣レッド｢・・・
ドクター・キリコ,ポケモンマスター？」サカキ「・・・
