詳しくは→サトシ,ポケモンハンターXXか
アマージョ,アマッジョ！
サトシ,ろ、ロトム！
ロトム図鑑,………サトシ、今からボクの言うとおりのことをスイレンに言うロト
サトシ,！
スイレン,うぅ……
サトシ,スイレン！俺の話を聞いてくれ！
スイレン,いや！言い訳なんて聞きたく………
サトシ,…スイレン、さっき言っただろ？俺、ポケハン上手くなりたいって
スイレン,それは聞いた！だからなに？それが私を追い出した理由と……
サトシ,………見せたくなかったからさ……。スイレンに……俺のカッコ悪いとこ
スイレン,…………え？
ピカチュウ,ピカァ
スイレン,サトシ、それってどういう……
サトシ,へへっ、言った通りだよ。俺さ？下手くそでカッコ悪いとこをスイレンに見せたくないんだ…だからさ？。待っててほしい！俺が強くなってギルドに帰ってくるのを
スイレン,サトシ……
ロトム図鑑,そして……今度はゼンリョクでスイレンを俺に守らせてほしいロト
サトシ,そして……今度はゼンリョクでスイレンを俺に守らせてほしいロト！
スイレン,ロト………？
ピカチュウ,ピカピ…
サトシ,スイレン！待っててくれ！俺、絶対に強くなるから！
スイレン,！。う、うん……わかった////。私、待ってる！
サトシ,……へへっ。……あっ、そういえばリーリエは？
カキ,……今日も休みみたいだな？
マーマネ,昨日もポケハンはやってたみたいなんだけど……ギルドには来なかったんだよね、リーリエ
サトシ,…………え？
スイレン,♪
アシマリ,アウアウ
サトシ,よっしゃー！いっけー！Z狩り技！。これが俺たちのゼンリョク！！
ミュウツー,ぐあっ
サトシ,や、やった……！！
ピカチュウ,ピカピ…
ロトム図鑑,サトシ！よく頑張ったロト！。これでついに伝説のポケモンを討伐した証の勲章コンプリートロトー！
サトシ,ああ！。へへっ！そうだ……！最後まで付き合ってくれたプリンセスちゃんにお礼言わなくちゃ！。プリンセスちゃん！最後まで付き合ってくれてありがとう！。プリンセスちゃんのお陰で勲章コンプリートできたよ！
プリンセス,おめでとーサトシ！。でも、勲章コンプリートはサトシがゼンリョクで頑張った証。プリンセスはなんにもやってないよ♪
サトシ,プリンセスちゃん……本当にいい子だな……
マツリボン,そう、これはキミの実力だ。私たちはなんにもやってないよ
サトシ,マツリボンさん……最後まで剥ぎ取りにしか参加してなかったな
ロトム図鑑,マツリボンは本当に何もやってないロトね
ピカチュウ,ピカァ
サトシ,本当にありがとう！プリンセスちゃん
プリンセス,えへへ、サトシー！もうプリンセスたちフレンドなんだし気にしないでよー
マツリボン,そうそう
サトシ,でも俺、本当にプリンセスちゃんには感謝してるんだ
プリンセス,んー…だったら次はプリンセスのクエ手伝ってもらおうかなー？
サトシ,もちろんだよ！喜んで
プリンセス,えへへ、やったね♪
サトシ,へへっ
マツリボン,じゃあ、私のも！
サトシ,あーうん。へへへ
ロトム図鑑,サトシ。楽しそうロト
ピカチュウ,ピカァ
マツリボン,あっ、そうだ。私たちがこうやってずっと一緒に。絵を描いてたのもなにかの縁
プリンセス,マツリボンちゃんは剥ぎ取りしかしてないけどね
マツリボン,オフ会しない？
サトシ,！
ピカチュウ,ピ？
ロトム図鑑,どうしたロト？サトシ
サトシ,い、いや……
バーネット,サトシー
サトシ,？なに？バーネット博士！
バーネット,電話よ？
サトシ,電話？こんな時間に？。ごめん！電話きたみたいだからちょっと待ってて。もしもし？。！
アセロラ,えへへ～アローラ♪久しぶりだねー♪
サトシ,アセロラ！？。久しぶり！急に電話なんてどうしたんだよ！
アセロラ,うーん…サトシ何してるのかなーと思ってねー。それとも……用が無かったら電話しちゃいけなかったかなー？
サトシ,ハハハ、そんなことないよ！俺も久しぶりにアセロラと話せて嬉しいよ！
アセロラ,えへへ。ところでサトシ……突然なんだけどね？
サトシ,なに？
アセロラ,………ポケット・モンスターハンターオンラインってゲーム知ってる？
サトシ,！。知ってる！知ってるよ！今俺、すげーはまってんだ！
アセロラ,やっぱりねー
サトシ,え？
アセロラ,えへへ、なんでもないよー
サトシ,もしかしてアセロラもやってんの？
アセロラ,うーん……ナイショだよー♪
サトシ,ナイショってなんだよ……
アセロラ,……サトシ、今週の日曜ってヒマ？
サトシ,……ヒマだよ？なんで？
アセロラ,……ふふっ、なんでもない！
サトシ,？
アセロラ,サトシ！久しぶりにサトシとお話できて嬉しかったよ！。また電話するね！それじゃ
サトシ,お、おい！アセロラ？。…………切れてる…
ロトム図鑑,サトシー！アセロラはなんの用だったロト？
ピカチュウ,ピー？
サトシ,うーん……よくわかんない…。……あっ、そうだ！それよりオフ会の返事しなきゃ！
ククイ、バーネット,
サトシ,………なに？
バーネット,サトシィ、なかなかやるじゃない？
ククイ,まったく、お前もスミにおけないな？
サトシ,は？。たくー、ククイ博士もバーネット博士もニヤニヤしてなんだよ。………えーと、オフ会の返事しなきゃ！。ごめん！お待たせ！
プリンセス,サトシー？誰と電話してたのかなー？。もしかして……ガールフレンドかなー？
マツリボン,ガールフレンド…おーおー
サトシ,アハハ、違うよ。友達だよ
プリンセス,ふーん
マツリボン,オフ会、どうする？
プリンセス,日曜日なんてどうかなー？
サトシ,俺は大丈夫！
マツリボン,私も
プリンセス,じゃあ日曜で決定だねー！
サトシ,ならさ！場所は俺が。へへへ。日曜日オフ会かぁ……プリンセスちゃんに会える…。プリンセスちゃん…どんな子なんだろ？楽しみだぜ！
ロトム図鑑,サトシ
サトシ,なに？
ロトム図鑑,……いや、何でもないロト
サトシ,？
ピカチュウ,ピカピ…
サトシ,……あっ、そうだ…勲章もゲットしたし、久々にギルドに顔出しておこうかな？。…………。…………リーリエ、大丈夫かな？明日土曜だしお見舞い行こうかな。…………とりあえずギルドギルドっと……。………………ん？。え！？リーリエが引きこもり？
ピカチュウ,ピカ！？
ジェイムズ,そうなんでございます。お嬢様がお部屋に引きこもられてからもう１週間……
サトシ,で、でも病気じゃないんなら良かったよ…
ロトム図鑑,サトシー！全然良くないロトよー！
サトシ,そ、そうだな！良くないな！
ピカチュウ,ピカ！
マオ,あの……リーリエが引きこもりって……食事とかはどうしてるんですか？
スイレン,トイレやお風呂も
ジェイムズ,………食事は毎日私がお嬢様のお部屋に三回運んでおります。お風呂は……お嬢様の様子を見る限りでは入ってる様子はございません
サトシ,リーリエ……１週間も風呂入んないなんて、体痒くないのかな？
カキ,そういう問題じゃないんじゃないか？
マーマネ,あの清楚なお嬢様のリーリエが１週間お風呂に入ってない……
カキ,なんでお前は興奮してるんだ
マオ,あの、ジェイムズさん。他にリーリエの様子はどんな感じでしたか？
ジェイムズ,どうやらお嬢様は……ずっとゲームをやっている様子で…
サトシ,ゲーム？ポケハンかな？
マオ,そういえばリーリエ……ギルドには顔出さなかったけど、ずっとログインはしてたもんね…
スイレン,あー…リーリエが引きこもってる理由、なんとなくわかったかも
マーマネ,僕も
カキ,だとしたら、引きこもってる理由が少しめんどくさいかもな…
ジェイムズ,それと……謎の黄色い液体が入ったペットボトルが部屋に散乱しておりまして……
サトシ,謎の黄色い液体が入ったペットボトル？
カキ,それでエネルギーを補給してるってことか？
スイレン,サトシ、それきっと元気ドリンコ的なやつ
サトシ,あー
スイレン,……今度サトシにも持ってきてあげ…
ロトム図鑑,スイレン。やめロト
スイレン,むぅ
ジェイムズ,………情けない話ですが、お嬢様は私たちの言葉は聞き入れてくれません。ルザミーネ奥様はお仕事で忙しく手が放せないご様子…グラジオ坊っちゃんも屋敷にはおりません。勝手なお願いで申し訳ございませんが、あなたたちだけが頼みなのです！
サトシ,ジェイムズさん…
ジェイムズ,リーリエお嬢様もお友達の言葉なら……どうか…。……お嬢様をお部屋から出していただきたい
サトシ,…………ジェイムズさん、頭あげてよ！
ジェイムズ,！
サトシ,……へへっ、リーリエは大事な友達だ！頼まれなくたって最初からそのつもりさ！。リーリエを部屋から連れ出す！必ず！だからオレたちに任せてよ！。な！みんな！
スイレン、マオ、カキ、マーマネ,もちろん！！
ロトム図鑑,ボクたちにお任せロトー！
ピカチュウ,ピカー！
ジェイムズ,みなさん……
サトシ,へへっ！。おーいリーリエー！部屋から出てこいよー！
ピカチュウ,ピッカー！
マオ,リーリエ！またみんなで一緒にスクールであそぼうよー！
マーマネ,マラサダも食べにいこうよー！
カキ,リーリエ！ポケハンもやろうぜ！
スイレン,だからリーリエ！出てきて！
ロトム図鑑,返事がないロトねー
マーマネ,……寝てるのかな？
カキ,い、いや…まだ昼間だぞ？
スイレン,………まさか……
マオ,ちょっとスイレン！縁起でもないこと言わないでよ！
スイレン,ご、ごめん…
サトシ,………こうなったらピカチュウ！アイアンテールでドアを……
ピカチュウ,ピカー！
マオ,やめてよ！
全員,！
リーリエ,…………頭に響くんでドアをガンガンするのはやめてください
シロン,ゴーン
全員,！？
リーリエ,……何か用ですか？論理的結論から言いますと、私…今ポケハンで忙しいんです
シロン,ゴーン
リーリエ,……なんですか？ジロジロ見ないでください。不快です
マオ、スイレン,ご、ごめん……
マーマネ,リーリエ……
カキ,なんでお前はドキドキしてるんだ……
サトシ,どうしたんだよリーリエ！？髪の毛もボサボサだし……しかも何か臭うぞ！
カキ,直球で言うなアホ！
リーリエ,しんでください
マオ,あ、あのリーリエ……本当にどうしたの？心配したんだよ？
スイレン,それに……なんか窶れて疲れてる感じもするし…
リーリエ,……あー、ここ２日ほど徹夜でポケハンやってましたんで
スイレン,２日徹夜！？
リーリエ,あなたたち遊びでポケハンやってる人たちとは覚悟が違いますんで
マオ,な、なに言ってるのよリーリエ！そんなことやってたら死んじゃうよ！
サトシ,な、なぁリーリエ！部屋から出てこいよ！。それでさ、またみんなでバトルしたりポケハンやったりしようぜ？
ピカチュウ,ピカー！
リーリエ,……………。嫌です
サトシ,………え？。お、おいリーリエ！嫌ってどういう……
リーリエ,……用がそれだけならば私はもう部屋に戻ります。今狩りで忙しいんです。いきますよシロン
シロン,ゴーン
サトシ,ま、待って……
リーリエ,あっ、そうそう
サトシ,え？
リーリエ,私……ギルド抜けますんで
全員,！？
サトシ,お、おいリーリエ！
マーマネ,ギルド抜けるってどういうこと！？
リーリエ,そのままの意味です
スイレン,そんな……リーリエが作ったギルドなのに…
ロトム図鑑,リーリエはギルドマスターロト！それは少し勝手……
リーリエ,ギルマスならマオに譲ります。それでいいですか？
カキ,な、なんでマオなんかに！？
マオ,………なんか？
カキ,あ、いや！そういう意味じゃなくてだな？
サトシ,どういうことだよリーリエ！
スイレン,勝手すぎる！理由を聞かせて！
リーリエ,………………
マオ,リーリエは寝不足で疲れてるだけだよね？またみんなで一緒に楽しくポケハンやろうよ！
リーリエ,………論理的結論から言いますと……前にも言いましたよね？私はポケハンの頂点に立ちたいんです
全員,！
リーリエ,…………"みんなで楽しく"なんて言っているようなあなたたちとは目指している先が違います
マーマネ,そんな……
マオ,リーリエ……
リーリエ,……私は、私と同じ志を持った仲間を見つけました。共にポケハンの頂点を目指す真の仲間を。私は今いるギルドを抜けて…その方たちとギルドを作るつもりです
カキ,真の仲間って……なら俺たちは……
スイレン,………酷い…
リーリエ,……さっき言った通り、今のギルドはマオにあげますから好きにしてください。…………では、私は忙しいので
シロン,コン
サトシ,お、おい！リーリエ！待っ……
スイレン、マオ、カキ、マーマネ、ロトム,………………
サトシ,リーリエ……
ピカチュウ,ピー……
リーリエ,………………
邪王魔神,もうミュウツーも相手にならないな
軍鶏キング,楽勝すぎてつまんないかも
Ｅ・ポッチャマー,このメンバーなら。もうすぐアップデートされる大型クエスト"ウルトラネクロズマの狩猟"もダイジョーブ
リーリエ,フフフ……あのミュウツーを５分針で…論理的結論から言いますとこのメンバーはやはり最強です
シロン,コーン
マーメイド,確かにこのメンバーは最強よでも
軍鶏キング,でも…なに？
マーメイド,頂点を目指すギルドなら……もっとたくさん手練れのプロハンメンバーを集めるわよ
リーリエ,そのうえ向上心もある…これこそ私の求めていたもの…
Ｅ・ポッチャマー,だったら一人心あたりがあるわ！。まどかってハンター！一回一緒に狩りしたけど、かなりダイジョーブな腕だった
軍鶏キング,私も……プニちゃんってハンターが強かったから声かけてみるかも！。ちょっと変人だったけど
マーメイド,なら私はカロス女王(仮)に声かけてみるわ
Ｅ・ポッチャマー,(仮)って…そいつダイジョーブ？
マーメイド,マフォクシー一式のハンターだったわ。腕は確かよ
邪王魔神,ゼンリョクで頂点に
マーメイド,そうね
リーリエ,……………最強に……
シロン,コーン！？
リーリエ,あ、大丈夫ですシロン……少しクラッときただけですから…
シロン,コーン………
リーリエ,フフフ……頂点に立つためです！これくらいなんてことないです！。楽しい……楽しい……
シロン,コン……
リーリエ,………楽しい……。……………………
サトシ,…………
ピカチュウ,ピカー
ロトム図鑑,サトシーどうしたロト？
サトシ,え？
ロトム図鑑,せっかくのオフ会なのに元気ないロト！今日はやっとプリンセスちゃんに会えるロトよ？
サトシ,そ、そうだな！いやぁ…プリンセスちゃんに会うの楽しみだなー
ロトム図鑑,………………
ピカチュウ,ピカピ
サトシ,えーと……プリンセスちゃん(とマツリボン)との待ち合わせの席はっと。………ん？
アセロラ,えっへっへー
ミミたん,ｷｭｰ
サトシ,………アセロラ？
ピカチュウ,ピ
サトシ,アセロラ！なんでメレメレ島に？
アセロラ,さーて、なぜでしょ～？
サトシ,なんだよー！来てんなら言ってくれれば……って…ん？
アセロラ,どーしたの？サートシー？
サトシ,い、いや……アセロラの座ってるその席って……
アセロラ,ふっふっふ～。えへへ、アセロラが"プリンセス"だよー♪"サトシ"くん？
ミミたん,ｷｭｰ
サトシ,……………え……。えーーー！！！？
アセロラ,あー、やっぱり気づいてなかったんだ…ちょっとショック
ロトム図鑑,サトシだから仕方ないロト、アセロラ
ピカチュウ,ピカピ……
サトシ,え？え？アセロラがプリンセスちゃん！？
アセロラ,そうだよー♪
サトシ,な、なんで！？つーか、アセロラは俺に気づいてたの！？
アセロラ,んー……まーねー。なんとなーくだったけど。でも…確信を持てたのは電話の時かなー？
サトシ,なんで気づいてんなら言ってくれなかったんだよ！
アセロラ,んー……面白かったから？
サトシ,なんだよそれ…
アセロラ,ふふふ。……可愛かったなー"サトシ"くん…
サトシ,！？
アセロラ,………こんな下手くそな俺に最後まで付き合ってくれてありがとう。プリンセスちゃんは最高……
サトシ,うわぁぁぁ！！やめてくれー！////
ロトム図鑑,サトシ、情けないのは今さらロト
ピカチュウ,ピカ
アセロラ,もぅー！サトシー！今さらアセロラの前でカッコつける必要なんてないでしょー？
サトシ,うぅ……でも……
アセロラ,だいたい……アセロラはサトシがおじさんに負けて泣きべそかいてたもっと情けない姿だって知って……
サトシ,もぅやめてくれよー
ピカチュウ,ピカピ…
ロトム図鑑,サトシ……情けなさすぎるロト……
アセロラ,……それに…
サトシ,……え？
アセロラ,……たとえどんな高い壁にぶつかったって……ゼンリョクで頑張るぞーっていうカッコいいとこだって知ってるよ
サトシ,アセロラ……
アセロラ,……サトシ…
サトシ、アセロラ,？
マツリカ,ひょっとして……"サトシ"と"プリンセス"？
サトシ,……マツリカさん？
アセロラ,今いいとこだったのに(サトシ、知り合い？)
ロトム図鑑,心の声が漏れてるロトよーアセロラ
マツリカ,………おーおー、そうだったか。キミが"サトシ"だったか
サトシ,え？え？
ロトム図鑑,まさか……
マツリカ,うん、そのまさか。アローラアローラ。操虫棍使いの私はマツリボン、改めてよろしく
アブリボン,リボボーン
サトシ,えぇ！？
マツリカ,そして……そこの小さくて可愛いキミがプリンセスだね？よろしく
アセロラ,うん、よろしくね？マツリボンちゃん♪(この人が剥ぎ取りマツリボンちゃんかぁ)
サトシ,
ロトム図鑑,どうしたロト？サトシ
サトシ,い、いや……世間って狭いなって思って
ピカチュウ,ピカ…
リーリエ,zzz
シロン,コン
リーリエ,………ん？。………！！わ、私としたことが寝オチを！？。く、クエストは！？
マーメイド,ちょっとアンタ。どういつもり？
リーリエ,………え？
マーメイド,アンタ今のクエ中ずっと動かなかったわよね？。ひょっとして寄生？
邪王魔神,ちょ、ちょっと寝オチを…
軍鶏キング,言い訳とかありえないかも
Ｅ・ポッチャマー,寝オチでも何でもいいけど。一人で２乙はだいじょばなーい
マーメイド,やる気のないやつと弱者はいらないわ。アンタ、クビよ
リーリエ,そ、そんな……クビ！？少し寝オチしただけで…！？。乙っただけで……やる気がない……弱者……そんな……。酷い……酷すぎ……
シロン,コーン！
リーリエ,！シロン………
シロン,………コン
リーリエ,………………！。………ふふっ、そうだね…私、なにやってるんだろ。………そういえば…私も同じことをサトシに……みんなに言ったんだった……。…………サトシもこんな気持ちだったのかな…？
シロン,コン……
リーリエ,…………………。…………今さら気づいても…もう遅いよね…
アセロラ,でねー？その時サトシがねー
ミミたん,ｷｭｰ
マツリカ,うんうん
サトシ,もうやめてくれよアセロラー
アセロラ,えー？なんでー？
サトシ,だ、だってさー
ピカチュウ,ピカピカ
マツリカ,うーん…なんていうか……
サトシ、アセロラ,？
マツリカ,意外とモテるんだね？
サトシ,へ？
アセロラ,
マツリカ,青春の絵、描けそうだ
アブリボン,リボボーン
アセロラ,あ、アハハー、そんなことよりー……。………サトシ、なんかあったの？
サトシ,え？
アセロラ,………うーん…だってサトシ……さっきから元気ない顔してるよー？
サトシ,………………
アセロラ,………これはクチナシおじさんにボロ負けしちゃった時と同じ顔だねーミミたん
ミミたん,ｷｭｰ
サトシ,………ボロ負けボロ負け言うなよ……
アセロラ,………でも…何かあったんなら相談してほしいかなー
サトシ,アセロラ……
アセロラ,えへへ、サトシー？困ったらいつもみたくプリンセスちゃんに頼っていいんだよー？
サトシ,……………
マツリカ,うん、その子の言うとおり
サトシ,マツリカさん……
マツリカ,………前にも言った。私たちはフレンド。………一緒に…同じ絵を描いた仲間だ。私たちはもう家族みたいなもの！家族に遠慮することなんかないんだ
アブリボン,リボボーン
サトシ,………家族か……。………へへっ…ロトム！
ロトム図鑑,！。ヒビッ！了解！ボクに任せロト！サトシ！
サトシ,頼んだぜ！
ピカチュウ,ピカー！
アセロラ,………？ロトム…どこ行ったの？？
ミミたん,ｷｭｰ
マツリカ,ふふっ
リーリエ,…………………
シロン,コン……
リーリエ,……え？。この声……サトシとピカチュウ？
シロン,コン？
アセロラ,うわぁー！でっかいお部屋だねーミミたん
ミミたん,ｷｭｰ
リーリエ,…………………
サトシ,おっ！。これが噂の元気ドリンコかぁ
ピカチュウ,ピカァ
マツリカ,おーおー
リーリエ,！。ちょ、ちょっと！やめてください！///
サトシ,え？。なんでだよー！リーリエー
リーリエ,な、なんででもです！この変態！///
サトシ,変態！？
スイレン,…………サトシ、元気ドリンコなら私が……
アセロラ,やめなよ変態
リーリエ,うぅ……いきなりみんなでゾロゾロと……。い、いったい何しに来たんですか！
サトシ,！
リーリエ,私はもうギルドを抜けました！みなさんとはもう何の関係ないんです！
マオ,リーリエ……
リーリエ,うぅ……
サトシ,……………へへっ
リーリエ,………！それは……スイッチ……？
サトシ,なぁ、リーリエ！ひと狩り行こうぜ！
ピカチュウ,ピッピカチュウ！
リーリエ,か、狩り……
ロトム図鑑,サトシー！それなら丁度いいクエストがあるロトー！
サトシ,マジかよロトム！
ロトム図鑑,丁度今日アップデートされた大型狩猟クエスト"ウルトラネクロズマの狩猟"これなら10人まで一緒に狩りができるロトー！
サトシ,おーっ！いいなぁ！それみんなで行こうぜ！
ピカチュウ,ピカァ！
リーリエ,………………。………先程も言いました……論理的結論から言いますと、私はみなさんを捨ててギルドを抜けたんです……今さらみなさんと一緒に狩りをする資格なんて……
スイレン,………リーリエはやっぱり自分勝手
リーリエ,………え？
スイレン,友達と一緒に狩りをするのに、資格とか勲章とかいるの？そんなの聞いたことない
アシマリ,アウ！
リーリエ,！
マオ,アハハ、そうだね？それにさ……。今は私がウルトラガーディアンズのギルマスなんだよ？。私、リーリエがギルドを抜けたなんて認めた覚えないよ！
リーリエ,スイレン……マオ……
カキ,ま、タイムとか……ランキングとかは期待に応えられないかもしれない、でもな？
マーマネ,とりあえずはさ？楽しく狩りしようよリーリエ！
リーリエ,カキ……マーマネ……
アセロラ,えっへっへー！大丈夫だよー！なんたってこのプリンセスちゃんがついてるからねー？。アローラの絆の力、全国の人たちに見せてあげようよー♪
リーリエ,絆……
マツリカ,………このゲームは、オンラインで全国の人たちと繋がってる………そう、いつでも何処でも誰とでも一緒にプレイできるように！。繋がってる以上は、関係なくなんかない。むしろ同じギルドにいる以上は……。私たちは家族だ
リーリエ,家族……。うぅ……みなさん…
サトシ,へへへ、リーリエ！泣くなよ！
リーリエ,サトシ……
サトシ,俺はさ、むしろワクワクしてきたよ！楽しい時は笑わなきゃ！
ピカチュウ,ピッカァ
リーリエ,た、楽しい……？
サトシ,みんな！俺たちアローラの絆の力、全国のハンターたちに見せてやろうぜ！
スイレン、マオ、カキ、マーマネ、アセロラ、マツリカ,おーっ！！！
シロン,コン
リーリエ,シロン………。……………うん、そうだねシロン…。……………はい！がんばリーリエです！
ウルトラネクロズマ,オオオ……
サトシ,うおぉぉ！！ウルトラネクロズマ……すっげー強そう！
ピカチュウ,ピカー！
マーマネ,専用BGMも荘厳で……むしろ神々しさすら感じるよ！
カキ,ああ！男なら乗り越えたくなるな！
マオ,まったく、男子は…
リーリエ,……………ふふっ
マオ,リーリエ……
マツリカ,レア素材！レア素材！
サトシ,へへっ、よっしゃー！ウルトラネクロズマ！見せてやるぜ！俺たちのゼンリョク……
アセロラ,サトシー！ストーップ！
サトシ,な、なんだよアセロラー
アセロラ,サートシー！未知のポケモンにワクワクするのはわかるけど、正面から突っ込むのはダメだよー
サトシ,あ、そっか……ご、ごめんつい……
アセロラ,もぅー！ま、そこがサトシらしいけどねー？
サトシ,へへっ
スイレン,…………………
アセロラ,サトシ！あの作戦でいこうよ！
サトシ,！あれか！
アセロラ,そう、あ～れ～。……サトシ！アセロラについてきて！。サトシとアセロラのゼンリョクの絆！ウルトラネクロズマに見せてやろーよ！
サトシ,おう！
スイレン,…………………
ウルトラネクロズマ,オオオ……
プリンセス,
海王牙,
プリンセス,
アセロラ,！？。ちょ、ちょっと！なにするのよ！こけちゃったでしょ！
スイレン,ごめん、太刀が滑った
アセロラ,太刀が滑るってなによ！
サトシ,お、おい……スイレン！アセロラ！ケンカは……
アセロラ,……これだから太刀厨は…
スイレン,…………プリンセス…思い出した
アセロラ,！
スイレン,……前にサトシにウツロイド(寄生)してたぶりっ子女か…
アセロラ,
サトシ,す、スイレン……そんな言い方は……
アセロラ,……アセロラも思いだしたよ……海王牙って確か……
スイレン,！
アセロラ,……サトシにストーカーしてた礼儀知らずの人だよねー？
スイレン,あぁ？
サトシ,な、仲良くしろよー
アセロラ,サトシも可哀想だねー？こんなストーカー女にウツロイド(寄生)されて…
サトシ,い、いや……そんなこと……
スイレン,サトシのストーカーはアンタでしょ！気持ち悪い！サトシに近づくな！
アセロラ,スイレンって太刀だけじゃなく、ブーメランも使うんだねー？
スイレン,あぁ？
カキ,な、なんでアイツらはリアルでケンカしてるんだ…
マーマネ,……もう狩りどころじゃないよ…
海王牙,
プリンセス,
ウルトラネクロズマ,…………
サトシ,！スイレン！アセロラ！ウルトラネクロズマの攻撃が！
スイレン、アセロラ,え？
海王牙、プリンセス,
ロトム図鑑,クエスト開始してすぐに２乙ロト……
マーマネ,うわぁ…
カキ,最悪だ…
リーリエ,……………
スイレン,ストーカー女！お前のせいで乙った！
アセロラ,そのセリフそっくりそのまま返すわよ！
ロトム図鑑,とうとうゲームを投げ出してケンカを始めたロト…
サトシ,スイレン……アセロラ……
マーマネ,……もうランキングどころじゃないね……
カキ,それどころ後一回でも乙ったら終わりだ。もう少しのミスも出来ん…
マーマネ,……こんな時こそアローラの絆の力を！
あまっじょちゃん,
マツリボン,
マオ,やった！レアきのみゲット！
マツリカ,……こっちはレア鉱石！
カキ,お、おい！マオ！なに狩猟中に採取してんだ！
マーマネ,あの……マツリカさん……今クエ中だし…採掘は後で……
マオ、マツリカ,！
マオ,カキ！ネクロズマの羽壊してね！役目でしょ！
カキ,えぇ……
マツリカ,私、尻尾ほしい
マーマネ,あの……マツリカさん。だったら手伝って……
サトシ,スイレン！アセロラ！ケンカはやめろよ！
スイレン,サトシ！サトシはどっちの味方！
アセロラ,サトシは当然、ベストパートナーであるアセロラの味方だよねー？
サトシ,えっと……
スイレン,サトシのベストパートナーは私！寝言は寝て言えストーカー女
アセロラ,は？
サトシ、カキ、マーマネ,…………………
リーリエ,……………
シロン,コン…
リーリエ,……………ふぅ…
サトシ、カキ、マーマネ,
マーマネ,ま、マズいよ……リーリエ絶対に怒ってるよ
カキ,なんせランキングどころか狩猟できるかも怪しいからな…
サトシ,あ、あのさ！リーリエ！
リーリエ,……………まったく、論理的結論から言いますとメチャクチャですね…
サトシ、カキ、マーマネ,うっ
リーリエ,……………でも…
サトシ、カキ、マーマネ,！
リーリエ,…………なんだか…とっても楽しいです！
シロン,コーン！
カキ,………リーリエが…
マーマネ,……笑った？
サトシ,………ははっ、リーリエ…！
ピカチュウ,ピカァ！
リーリエ,さぁ！みなさん！まだクエストは終わってません！。何としても……ウルトラネクロズマを倒しますよ！
カキ,………ああ！
マーマネ,うん！
サトシ,へへっ！よし！ゼンリョクでいくぜー！
ピカチュウ,ピッカー！！
ウルトラネクロズマ,オオ……
カキ,………なんとかここまで追い詰めたな…
マーマネ,うん！あともう少しだね！
リーリエ,……………サトシ！
サトシ,ああ！任せとけ！。いくぜ！俺のゼンリョク！
ウルトラネクロズマ,！！
リーリエ、カキ、マーマネ,いっけー！サトシ！！
サトシ,くらえウルトラネクロズマ！！これが俺の……みんなのゼンリョクのZ狩り技だー！！
ピカチュウ,ピカー！
サトシ,。あ、あり？
リーリエ、カキ、マーマネ,！？
ロトム図鑑,………盛大にZ狩り技をスカしたロト……
ウルトラネクロズマ,
サトシ,。………あ……
ピカチュウ,ピカピ……
リーリエ、カキ、マーマネ,……………
サトシ,………………
ロトム図鑑,クエ失敗…サトシー…やってしまったロトねー
サトシ,い、いや……その………
カキ,き、気にするなサトシー！
マーマネ,そ、そうだよー！失敗なんて誰でもあるよー！
リーリエ,む、むしろもう一度みんなで心を一つにしてチャレンジするチャンスが出来ました！
サトシ,カキ…マーマネ……リーリエ……
スイレン,サトシ！元はと言えば全部アセロラの乙のせい！だから気にしないで！
アセロラ,そ、そうだよーサトシー！スイレンの乙のせいでクエを失敗したんだ！サトシは何も悪くないよー
サトシ,スイレン……アセロラ………
マオ,サトシ！ウルトラネクロズマの羽は！？
マツリカ,尻尾……
サトシ,………マオ……マツリカさん……
ロトム図鑑,サトシ
ピカチュウ,ピカピ
サトシ,………へへっ、ああ………！。ごめんなさい
リーリエ、スイレン、マオ、カキ、マーマネ、アセロラ、マツリカ,…………う、うん…
サトシ,ポケット・モンスターハンターオンラインだって！？
