―――,音無小鳥です！よろしくお願いします！
小鳥,(素直……素敵……素直……素敵)
千早,美希、プロデューサーをあまり困らせてはダメよ
美希,むー、千早さんまでミキの邪魔するの？
伊織,あんたはちょっとは落ち着きなさいよね
P,あはは……それじゃあ音無さん早速お願いします
小鳥,ピヨおおおおおおおおおおおおおおおおおおお！？
P,えぇぇぇ！？。それじゃあ曲流しますねー
小鳥,……(そっか……あたし本当にステージで歌うんだ……なんか……今更になって……実感しちゃったな……)
P,音無さん？
小鳥,あ……はい？
P,いきますよ？
小鳥,は、はい……。(…………そうよね……あたし……ステージに……じゃあ……失敗しないように……アイドルらしく……)。～～～♪～～～♪
P,(あれ……？)
美希,？
千早,……？
伊織,……
小鳥,それじゃあプロデューサーさん、美希ちゃん、千早ちゃん、伊織ちゃん、お疲れ様でした
P,あ……はいお疲れ様でした。音無さん、明日も頑張りましょう
美希,お疲れ様なのー
千早,お疲れ様でした音無さん
伊織,はいお疲れ様
P,……お前達にちょっと聞きたいことがあるんだが
伊織,どーせ今日の小鳥のことでしょ？
P,ああ……
美希,曲が始まってからの小鳥、全然キラキラしてなかったの
伊織,美希の言うとおりね、あれならまだ素人のほうがマシなんじゃないの？
千早,確かに歌もダンスも何一つミスはありませんでした。むしろ全体的に見てもかなり高いレベルだと思います。ですが……
P,伝わってこない……何も
千早,……はい
P,……
伊織,あれじゃただの人形だわ。……歌も、笑顔も、ダンスも、全部作り物よ
美希,小鳥すっごくつまんなそうだったの
千早,昔の自分を見ているようでした……歌の技術だけが大切だと思っていた……あの頃の私を
伊織,……あんた、今まで何してたのよ？
P,え？
伊織,あんたは今小鳥のプロデューサーなんでしょ？今まで何も気づいてなかったわけ？
P,……様子がおかしいと感じたことは何度かあった……
伊織,それなのに何もしなかったってわけね
P,……
伊織,いい？もう一度言うわよ？あんたは今小鳥のプロデューサーよ
P,……そうだな
伊織,わかってるなら今何をしなくちゃいけないかもわかるわよね？……これ以上言わせたら怒るわよ？
P,ああ……
伊織,じゃあさっさと動きなさい、今すぐ
美希,美希はハニーならきっとあっという間に解決しちゃうって思うな
千早,ふふ……そうね……プロデューサー、私はプロデューサーを信じています
P,……
伊織,それじゃ私達はもう帰りましょう。
千早,プロデューサー、お疲れ様でした
美希,ハニー！また明日なの！
P,ああ、お疲れ様。……伊織、ありがとな
伊織,ふん、わかればいいのよわかれば
P,さて……。社長、お話があるのですが
高木,入りたまえ
P,失礼します
高木,話とは何かな？
P,音無さんのことです。……以前の話を聞きにきました
高木,……少し長い話になるがいいかな？
P,構いません
高木,うむ、ではまずそこに座るといい
P,失礼します
高木,さて……どこから話したものかな……私と黒井が音無君のプロデュースをしていたということはもう話したね？
P,はい
高木,……実はね、音無君の母親もまたアイドルだったのだよ。その彼女をプロデュースしたのも……
P,社長と……黒井社長ですか？
高木,うむ……彼女は私達が最初にプロデュースしたアイドルだった。情けない話だが当時新米プロデューサーだった私達は二人でようやく一人のアイドルを担当させてもらえたのだよ。……まあ君と違って二人とも優秀な方ではなかったからね、はっはっは！。吉澤君と知り合ったのもこの頃だね、彼もまた駆け出しの記者だった。三人でよく夢を語り合ったものだよ、私達がトップアイドルをプロデュースし吉澤君がその記事を書くと。……結局夢は叶わなかったのだがね、私と黒井はトップアイドルをプロデュースできなかった
P,……
高木,……音無君の母親だが……彼女は才能のあるアイドルだった。しかし残念なことに身体があまり強くはなくてね……加えて担当していたのは新米のダメプロデューサー二人だ。結局有名になることはなく引退してしまったよ。彼女がアイドルを引退してからも私達は友人のような関係で付き合いは続いていた。……そして、音無君が生まれたのだよ
P,あの……音無さんのお母様は今は……？
高木,……亡くなっているよ、交通事故でね……まだ音無君が小さい頃だった
P,……
高木,……彼女が亡くなる前に私と黒井はある約束をしたんだ
P,その約束が……
高木,音無君をトップアイドルにすることだよ。……約束を果たすことは……できなかったがね
P,……どうして音無さんは……その……
高木,有名になれなかったか……かい？
P,はい……これは俺の勝手な意見ですが、音無さんならトップとは言わずともそれなりに有名なアイドルになれたと思うんです。ですが……実際は全く無名のまま引退している……
高木,全て……私の責任だよ
P,え……？
高木,……私と黒井が音無君をプロデュースする頃には……私達はもう駆け出しのプロデューサーなんかではなかった、お互いにそれなりにアイドルをプロデュースしてきた実績もあった。……そんな私達が急にスカウトしてきたアイドルを二人でプロデュースするなんて言い出したら……君ならどう思うかね？
P,あまり……良い事とは言えないですね
高木,そうだ、これは完全に私達の私情だったからね。他にもプロデュースを待っているアイドルは居たというのに……
P,……
高木,そこで当時私達が居た事務所の社長はある条件を出した
P,条件……？
高木,うむ、一年以内に必ず音無君をトップアイドルにするという条件だ
P,それは……
高木,私と黒井はその条件のもと音無君のプロデュースを始めた。元からトップアイドルに育てあげるつもりだったからね、何の問題もないと……思っていた
P,……
高木,だが……私達は焦ってしまったのだよ……もし失敗してしまったら彼女との約束を果たすことができない。そのプレッシャーに圧されてしまっていたのだろうね。私達は音無君に完璧を求めた……ハードなレッスン、ミスは許さなかった
P,……
高木,音無君はそれでも耐えてくれていた……苦手としていたダンスもすぐに踊れるようになるまで成長した
P,(それで音無さんはあれ程……)
高木,しかし私達は気づいていなかったのだよ……音無君の魅力がどんどんなくなっていくことに……。私が自分の過ちに気づいた時には……既に遅かった……ただレベルの高いパフォーマンスをミス無くこなすだけ……それだけのアイドルになってしまっていたよ
P,……
高木,……君はそんなアイドルに魅力を感じるかね？
P,……伊織は今日音無さんのパフォーマンスを観て……人形のようだと言っていました。俺も……そう思います
高木,……はは、人形か……そうかもしれないね……私達は結局音無君のことなど見てはいなかったのだから
P,……見ていなかった？
高木,私達は音無君の母親……彼女との約束の為だけに……音無君をプロデュースしていたんだ……音無君をちゃんと見ていなかった……道具のように……利用していたに過ぎなかったのだよ……
P,社長……
高木,音無君には……いくら謝っても許されることではない……許してもらうつもりもない……
P,……音無さんはそんな風に思っていませんよ
高木,……
P,以前音無さんに聞いたんです。アイドルは楽しくなかったんですか？って。音無さん言ってましたよ……そんなことはなかったって
高木,！……そうか……
P,それにあのBARで歌っていた音無さんはとても楽しそうでした……あの場所を用意したのは社長じゃないんですか？
高木,そうだね……あの場所で音無君に歌うことを勧めたのは私だ。……せめてもの償いだと……好きなように歌える場所をね
P,音無さんは社長を恨んでなんかいません。そもそも音無さんはそんな人じゃない。……それを一番ご存知なのは社長のはずです
高木,……そうか……そうだね……
P,だから……あまりご自分を責めないでください……
高木,…………ありがとう
P,それじゃあ社長が今回の話を受けたのは……
高木,もう一度音無君に歌って欲しかったからだ。アイドルの音無小鳥としてね
P,しかし音無さんに黙ってエントリーするなんてまた大胆なことをしましたね
高木,いや、エントリーはしていないよ。……日高舞が指定したんだ、音無君をね
P,え！？あの日高舞がですか？一体どうして……？
高木,音無君は一度この番組に出たことがあるのだよ。……最後に出演した番組がこれだった
P,その時に日高舞に目をつけられていたと？
高木,おそらくそうだろう
P,しかし音無さんは無名のアイドルだったんでしょう？それなのにどうして……
高木,……この番組で音無君は初めて自分の意思で歌ったからだ。……私達の指示通りにただ動くだけではなくね
黒井,この番組で日高舞に勝つことができればまだトップを狙える！必ず勝つんだ！いいな？ミス無く完璧にできれば負けないはずだ！
小鳥,は、はい……
高木,黒井……そんなにプレッシャーを与えるような言い方をするな。それそんなやり方では……
黒井,……お前はこのまま終わってもいいのか高木？彼女との約束はどうなる？
高木,それは……
黒井,私はこのまま終わるなんて絶対にごめんだ、この番組で日高舞に勝つことができればまだチャンスがある。……負けるわけにはいかない
高木,しかし……
黒井,もういい、少しスタッフの所へ行ってくる
高木,黒井……
小鳥,あ、あの……
高木,ああ……すまない、みっともない所を見せてしまったね
小鳥,いえ……大丈夫です。あの！あたし頑張ります！
高木,(彼女はこんなやり方を望んでいたのか……？なあ黒井……私達は……)
???,ちょっといいかしら？
高木,え？き、君は！！
小鳥,日高舞さん！？
舞,舞、でいいわよ小鳥ちゃん
小鳥,は、はい！舞さん！
高木,……一体何の用かな？
舞,あら？あなたが小鳥ちゃんのプロデューサーさん？
高木,ああ、その通りだよ
舞,まああなたには興味ないからどーでもいいんだけど
高木,な……
舞,私が興味あるのはあなたよ小鳥ちゃん
小鳥,へ？あ、あたしですか！？
舞,そう、あなたよ。ねぇ小鳥ちゃん？
小鳥,は、はい！何でしょう？
舞,あなた……どうしてあんな風に歌うのかしら？
小鳥,え？
高木,……
舞,リハを観てたけどあなたのパフォーマンスちっとも輝いてないわよ？
小鳥,え……
舞,小鳥ちゃんがすぐに答えられないならいいわ。ねぇそこのプロデューサーさん？
高木,……何かな？
舞,どうして小鳥ちゃんをあんな風に歌わせるのかしら？
高木,……歌もダンスもレベルは決して低くないはずだ、ミスもない。……ミスなく完璧にこなしたほうがいいパフォーマンスになる
舞,ふぅん……つまらないわね、もういいわ、邪魔したわね
高木,待て！一体何が言いたい？
舞,私はね、私と競えるようなライバルを探してるの。小鳥ちゃんはもったいない、そう思っただけよ
小鳥,……い、一体なんだったんでしょう？
高木,(……もったいない……か、やはりこのままでは……)
小鳥,高木さん？
高木,ん？おお、すまない何かな？
小鳥,舞さん、何しに来たんでしょうね？
高木,私にもわからないよ。……なあ、音無君
小鳥,は、はい何でしょう？
高木,……今日は今までのレッスンを全て忘れて自由に歌ってくれないか？ダンスも踊らなくても構わない
小鳥,え、ええ！？でもそんなことしたら……
高木,構わないよ、私が全て責任を取る
小鳥,そ、そう言われても……
高木,なあ音無君。……初めて君がレッスンをした時のことを覚えているかい？
小鳥,は、はい覚えてますけど……
高木,あの時はまだ君は普通の女の子だった……だがね、私は君の歌を初めて聞いたとき……とても感動したのをよく覚えているよ
小鳥,え？ありがとうございます……
高木,あの日から……私と黒井は君をアイドルにしてきた。……しかし、私達が作り出したそのアイドルは……普通の女の子、音無小鳥よりも……ずっと輝いてはいなかった
小鳥,高木さん……？
高木,だからもう一度見せてくれないか？私達が作ったアイドルなどではなく……音無小鳥を
小鳥,……
高木,勝敗など関係ない、何も気にしなくていい……今日は自分の好きなように歌いなさい
小鳥,……いいんですか？お母さんとの約束は……
高木,君が気にすることではないよ。それに……私達は大きな間違いをしていた。……彼女が本当に望んでいたものは音無君がトップになることなどではない……そんなことはとっくに分かっていたはずなのに……君にはすまないことをした
小鳥,……謝らないでください、あたしは別に……
高木,だからこれはプロデューサーとしてではない、私個人からのお願いだ。音無小鳥君、最後に……私に君の歌を聴かせてくれないか？
司会,それでは歌っていただきましょう！音無小鳥ちゃんで空です！
小鳥,～～～♪～～～♪
司会,(あれ？リハの時と違うじゃん、ダンスも踊ってないし大丈夫なのこれ？……でもリハの時より……)
小鳥,～～～～～♪～～♪
高木,(……やはり……私達が間違っていたな……)
黒井,どういうことだ！？何故音無君はあんなことをしている！？あれでは失格ではないか！
高木,私の指示だ
黒井,何だと……？どういうつもりだ高木！
高木,なぁ黒井、私達が間違っていたんだよ……音無君の歌を聴いてみろ
黒井,ッ……！何を言っている！お前……彼女との約束はどうするつもりだ！
高木,たとえ私達のやり方でトップになったとしても……彼女は喜ばなかったさ。……なあ黒井、本当はもう分かっているんだろう？
黒井,私は……！私は間違えてなどいない！間違えてなど……！今日も音無君が完璧なパフォーマンスをすれば日高舞を破っていたはずなんだ！！
高木,黒井……
黒井,お前の……貴様のせいだ高木……！許さんぞ……貴様だけは！必ず貴様のほうが間違えていたと……！後悔させてやる……！
小鳥,～～～♪～～～♪
舞,(へぇ……）
高木,お疲れ様、音無君
小鳥,あ、高木さん……あれ？黒井さんは……？
高木,ああ、黒井は先に帰ってしまったよ……全く、仕方のない奴だ
小鳥,そうですか……
高木,素晴らしい歌だったよ
舞,そうね、驚いたわ
小鳥,ま、舞さん！？
高木,……何か用かな？
舞,小鳥ちゃん、あなたいつまでアイドルを続けるつもりかしら？
小鳥,！……あたしは……
高木,音無君はもうすぐ引退だ
舞,……何ですって？本当なの？
小鳥,……はい
舞,そう……それじゃあ私ももういいかしら
小鳥,え？
舞,何でもないわ、それじゃあね小鳥ちゃん
高木,日高舞にとって、音無君はやっと見つけたライバルだったのだろう。その後すぐに日高舞の引退が決まった
P,なるほど……それじゃあ日高舞は……
高木,ああ、音無君ともう一度ちゃんとした勝負をする為に今回の番組復活を提案したんだろう
P,……とんだ大物ですね
高木,全くだよ、しかし彼女には感謝している。彼女のおかげで音無君は最後に自由に歌うことができた……まあそのせいで黒井とは犬猿の仲になってしまったがね
P,黒井社長にもそんな過去があったんですね
高木,根は悪い奴ではないのだよ。……いつもやり方を間違えてしまうんだ、純粋であるが故にね……。……なあ、君
P,はい、何ですか？
高木,音無君を……よろしく頼む
P,……はい
高木,うむ、随分遅くなってしまったね。君は今日はもう帰りなさい
P,そうですね……それじゃ失礼します
高木,ああ、お疲れ様
P,社長
高木,うん？何かな？
P,音無さんは……日高舞にも負けないアイドルですよ。それを今回の番組で証明してみせます
高木,ふふ……。ああ、吉澤君かい？。今から呑みにでも行かないかと思ってね。いやなに……ちょっとうちの事務所の自慢話をしたくなったのさ
P,このジョギングを始めてからもう随分と経ちますね
小鳥,ふふっ、最初はすごく大変でした
P,そうですね、最初は音無さん死にそうになってましたし
小鳥,し、仕方ないじゃないですか！全然運動なんてしてなかったんですから！
P,ははっ、わかってますよ
小鳥,もう、プロデューサーさんからかってるんですか？
P,いえいえ、そんなことありませんよ
小鳥,本当は？
P,ごめんなさい、ちょっとからかってました
小鳥,やっぱり～！あたしの方が年上なんですからね！
P,ははは、音無さんを見てるとついついからかいたくなるんですよ
小鳥,もう、何ですかそれ
P,……音無さん、昨日社長に音無さんのアイドル時代のこと聞きました
小鳥,え？
P,それでですね、今日は営業に行こうと思います
小鳥,ええ！？
P,というわけで一旦事務所に戻りましょうか。行きますよ音無さん
小鳥,え？ええ？ち、ちょっと待ってくださいプロデューサーさーん！。プロデューサーさん……営業ってここですか？
P,はい
小鳥,えーと……何をするんでしょう？
P,本番の予行演習ですよ
小鳥,はい？
P,つまりですね、今日は音無さんにここでライブをしてもらいます。はい、衣装です
小鳥,え？えぇぇぇぇぇぇぇぇぇぇ！？
P,よーし！みんな集まったかー？。今日はこのアイドルのお姉ちゃんがみんなのためにお歌を歌ってくれまーす！。はーい！じゃあ早速お姉ちゃんに自己紹介してもらいましょー！お姉ちゃんのお名前は何ですかー？
小鳥,お、音無小鳥でーす！
P,みんなー小鳥お姉ちゃんって呼ぶんだぞー！
小鳥,はーい！(ふふふ、みんな可愛いわぁ……あたしにもこんな時期が……ってそうじゃなくて！）。プロデューサーさん！何ですかこれ！？
P,何ってライブですよ？音無小鳥単独ライブin幼稚園
小鳥,そういうことじゃなくて！何でこんなことに！
P,ははは、まあまあ
小鳥,ははは、じゃないですよ～
P,ほらほら、みんな待ってますよ？
小鳥,ええ？……もう
P,ごめーん！おまたせ！じゃあ早速一曲目いくぞー？。それじゃあいきますよ
小鳥,やるしかないんですね……。～～～♪～～～♪
P,みんなー！どうだったー？
小鳥,(ど、どうしたのかしら……？)。……え？。あ……
P,ごめんなー！お姉ちゃんちょっと調子悪いみたいだ、みんなー！応援してやってくれー！
小鳥,……
P,音無さん、二曲目いきますよ
小鳥,え？……はい
P,今度はどうだったー？
小鳥,……
P,ははは！みんなは厳しいなー！じゃあもう一回お姉ちゃんを応援してやってくれー！。音無さん、次いきますよ
小鳥,はい……
P,今度はどうだー？
小鳥,……。え……
P,みんなー！お姉ちゃんに教えてあげよう！お歌はどうやって歌うんだー？。……音無さん、目の前にいるのは音無さんの歌を楽しみにしている子達です。この子達にはどんな技術も通用しませんよ。けれど……音無さんさえ楽しんでいればどんなパフォーマンスでもこの子達は受け入れてくれます。だから自由に歌ってみてください
小鳥,……はいっ
P,……よーし！お姉ちゃん調子出てきたみたいだぞー！。今のはどうだったー？
小鳥,うふふ、ありがとう！
P,ごめんなみんなー！次が最後なんだー！。でも最後はお姉ちゃんがすっごく上手にお歌を歌ってくれるからなー！。よーし！じゃあその前にみんなに聞くぞー？お歌で大切なのはどうやって歌うことだー？。お疲れ様でした、音無さん
小鳥,もう……突然でびっくりしましたよ
P,ははっ！でも大成功だったじゃないですか。みんな喜んでくれましたよ
小鳥,……そうですね
P,……音無さん、俺社長に話を聞いたって言いましたよね？それでこのライブを考えたって
小鳥,……はい
P,……今日のライブはどうでしたか？
小鳥,楽しかったです……すごく
P,それは何故ですか？
小鳥,自由に……楽しんで歌ったから……
P,音無さん、大切なのはそれです。アイドルに……人を楽しませるために必要なのはまず音無さん自身が楽しむことなんです。……わかりますよね？
小鳥,……あたし、アイドルとして歌おうとするとどうしてもダメなんです。……アイドル活動そのものが楽しくわなかったわけじゃないんです……でも……どうしても失敗しないようにって……完璧にやらなきゃって……意識しちゃうんです……アイドルなんだからって……
P,音無さん……アイドルと自分を別のものとして考えてませんか？
小鳥,別のもの……？
P,……今俺がプロデュースしたいのは音無小鳥です。俺は音無さんの歌が聴きたい、音無さんのダンスが観たい、音無さんの笑顔が見たい。決められた動きをする人形なんか見たくありません
小鳥,プロデューサーさん……
P,今日、俺は初めて音無小鳥というアイドルを見ることができました。作り物の人形なんかじゃない……本物の輝きを持ったアイドルを
小鳥,……
P,今日のライブを観て俺は……どうしてもそのアイドルをプロデュースしたくなりました。だから……音無小鳥というアイドルを、プロデュースさせてもらえませんか？
小鳥,……はい。……プロデューサー
春香,プロデューサーさん！小鳥さん！て、テレビ！テレビ観てください！
P,どうしたんだ春香？そんなに慌てて
小鳥,何かあったの春香ちゃん？
春香,と、とにかく早くこっちに！
P・小鳥,？
小鳥,え？
P,ちょ、ちょっとなんだこれ！？
春香,うわー……小鳥さん一気に有名人に……
やよい,小鳥さんすごいですー！
雪歩,こ、小鳥さん大丈夫ですか？
小鳥,
雪歩,固まっちゃってますぅ！
貴音,面妖な……
千早,まあ無理もないわね
春香,プロデューサーさんは意外と落ち着いてるんですね？
P,ん？ああ……まあ驚いたけどさ、もともと日高舞に負けるつもりはなかったからなぁ
貴音,ふふ、流石はあなた様ですね
やよい,うっうー！プロデューサーかっこいいですー！
千早,それより誰か早く音無さんを起こしてあげたほうがいいんじゃないかしら？
P,こうして音無さんとジョギングするのも今日で最後ですね
小鳥,え？明日はやらないんですか？
P,ええ、明日は本番に向けてゆっくり休んでください
小鳥,はい……
P,どうかしたんですか？
小鳥,いえ、もうちょっとこうしてプロデューサーさんとジョギングを続けたかったなーなんて
P,はは、そうですね。……まあ時間があるときなら俺でよければいつでも付き合いますよ
小鳥,ふふ、本当ですか？
P,ええ、もちろんです
小鳥,じゃあお願いしちゃおうかしら
P,……本番は大丈夫そうですか？
小鳥,わかりません……でも、なんだか自分でも不思議なくらい落ち着いてるんです
P,それは何よりです
小鳥,ふふ、プロデューサーさんのおかげなんですよ？
P,え？俺何かしましたっけ？
小鳥,……プロデューサーさんと一緒なら、不思議と安心できるんです
P,そ、そうですか
小鳥,それに……実はちょっとワクワクしてます。大きなステージで歌えるんだって
P,……俺も楽しみですよ、音無さんがステージに立つのが
小鳥,……プロデューサーさん、約束覚えてますか？
P,はい、番組が終わったら何でも言ってください
小鳥,ふふっ、楽しみにしてますね！
律子,いい？あんたたち？明日は一旦事務所に集合してから武道館に向かうわよ
一同,はーい！
P,しかし……まさか本当に全員のスケジュールを調整して応援にくるとは……
律子,なーに言ってるんですかプロデューサー、そんなの当たり前ですよ
P,いや、大変だっただろ？
律子,これぐらい朝飯前です！社長も協力してくれましたし。それよりプロデューサー、小鳥さんは大丈夫なんですよね？
P,ああ、期待しておいてくれ
律子,日高舞に負けたら承知しませんよ？
P,大丈夫だ、今の音無さんなら誰にも負けないさ
律子,ふふ、それを聞いて安心しました。明日は楽しみにしてますね！
小鳥,何かあったんですかね？
P,ちょっと聞いてきますね。すみませーん！何かあったんですか？
スタッフ,ああ！７６５プロさんのプロデューサーさんですか？ちょうどよかった！
P,一体どうしたんですか？
スタッフ,それが……出演者の順番が急に変更になりまして……
P,へ？今から変更ですか！？何でまたそんなに突然……
スタッフ,日高舞さんの要望らしくて……あ、これ変更後の出演リストです！
P,あ、ああ……ありがとうございます
スタッフ,では自分はこれで！
P,無茶苦茶だな……ん？この順番って……
小鳥,えぇぇぇぇ！？あたしがトリですか！？
P,ええ、しかも日高舞の次になってます……やってくれますね
小鳥,ど、どどどどうしましょう！？
P,落ち着いてください音無さん、順番が変わっただけでやることは同じですから
小鳥,で、でもあの舞さんの次だなんて……
P,音無さん……俺は音無さんは日高舞にも負けないと思っていますよ
小鳥,プロデューサーさん……
舞,あら、言ってくれるじゃない
P,！？
小鳥,ままま舞さん！？
舞,お久しぶりね、小鳥ちゃん。そっちは今のプロデューサーさんかしら？
小鳥,お、お久しぶりです！
P,何か用ですか？
舞,別に、ただ挨拶にきただけよ？
P,え？
舞,ふーん？
P,ちょ、日高近っ……
小鳥,ま、舞さん！？
舞,ふふ、中々いい男じゃない
P,……何のつもりですか？
舞,小鳥ちゃん、ちょっと賭けをしない？
小鳥,え？賭け……ですか？
舞,そう、今日の番組で私が勝ったらこのプロデューサーをもらうわ
小鳥,え、えぇぇ！？
P,何を勝手に……
舞,うちの娘が今アイドルやってるのは知ってるわよね？あの子にもしっかりしたプロデューサーをつけてあげればもう少しマシになるかと思ってね～
小鳥,そ、そんなのダメに決まってますよ！！
P,そうですよ！それにそんなこと簡単にできるわけが……
舞,あら？私はやると言ったらやるわよ？
P,……
舞,それに、そんなにプロデューサーを渡したくないんだったら負けなければいい話じゃない。それとも私に勝つ自信がないからビビってるのかしら？ねぇ小鳥ちゃん？
小鳥,そ、そういうわけじゃ……
P,……
舞,それじゃあいいわよ？私が負けたら……まあそんなことないと思うけど、何でも欲しいものをあげるわよ？
P,……こっちは何もいりませんよ。ですが……音無さんが勝った場合は頂点からは降りてもらいます
舞,あら……言うじゃない
小鳥,プロデューサーさん……
P,こちらも負けるつもりはありませんから
舞,いいわねぇ……ますます欲しくなったわ。それじゃあそろそろ失礼しようかしら、小鳥ちゃん、あなたのパフォーマンス楽しみにしてるわよ？
P,……なんか、すごい人でしたね
小鳥,プロデューサーさん……なんであんな賭けを……
P,言ったでしょう？もとから負けるつもりはありません
小鳥,でも……もし負けたら……
P,俺は音無さんを信じてますから、音無さんなら大丈夫です
小鳥,プロデューサーさん……
P,ははっ、なんてちょっとプレッシャーになっちゃいますかね？
小鳥,……いえ、そんなことありませんよ、ふふ
P,……一緒に日高舞を倒しましょう！音無さん！
小鳥,はい！プロデューサーさん！
司会,イェーイ！！野郎ども！！盛り上がってるかぁぁぁ？！。それじゃあいくぞぉ！！アイドルチャレンジ！！スタートだぁぁぁぁぁぁぁぁぁぁぁぁぁ！！
小鳥,い、いよいよ始まりましたねプロデューサーさん
P,ええ、しかしすごい盛り上がりですね
小鳥,当時の人気番組ですから
P,集まってるアイドルも当時のトップレベルのアイドル達……しかもその頂点にいた日高舞の一夜限りの復活……この盛り上がりも当然か
小鳥,あ、あたし本当にそんな中で歌ってもいいんでしょうか……？
P,音無さんなら大丈夫ですよ
小鳥,うぅ～何でプロデューサーさんはそんな風に言い切れるんですかっ
P,ははっ……この三ヶ月音無さんが頑張ってきたのは知ってますし、それに音無さんは今あの日高舞のおかげで有名人ですから、みんな期待してますよ
小鳥,プロデューサーさんのせいで余計に緊張してきました
P,え！？す、すみません音無さん！
小鳥,ダメです許しません！……なのであたしの出番まで手を握っていてください
P,……え？
小鳥,……何やってるんですかプロデューサーさん？早くしてください
P,あ、ああ……はい
小鳥,……ふふ、安心します……
P,そ、それは良かったです
司会,それでは次はいよいよぉぉ！！伝説のアイドル！！日高舞の登場だぁぁぁぁぁ！！！！
舞,はーい！みんなお待たせー！
司会,それでは早速歌っていただきましょうぉぉぉぉぉぉ！！曲はもちろぉぉぉぉぉぉぉん！！！ALIVE！！！！
小鳥,すごい……
P,(流石伝説のアイドルだ……今でもその力は健在か……)
小鳥,ふふ……
P,音無さん？
小鳥,プロデューサーさん、今あたしすごくワクワクしてます……目の前であんなにすごい人が歌ってて……しかもその人と勝負しなきゃいけないっていうのに……
P,……
小鳥,今は……早くあそこで歌いたい……ただそれだけを考えてます。ふふっ
舞,ありがとー！！
司会,いやー！！いいねぇいいねぇ！！！舞ちゃんさいっこぉぉぉぉぉ！！！お前らもそう思うだろー？！。それではぁ！！続いて登場するのはぁ！！なんと！！あの舞ちゃんがライバル視しているアイドルだぁぁ！！！登場していただきましょう！！本日最後のアイドル！！音無ぃぃぃぃ！！小鳥ぃぃぃぃぃ！！
小鳥,それじゃあいってきますプロデューサーさん
P,……よし！全力であのステージを楽しんでこい！！
小鳥,(あ……ふふっ……プロデューサーさんったら……はい……楽しんできますプロデューサー！)。よろしくお願いしまーす！！
美希,きたきた！小鳥なの！
真,小鳥さーん！
響,ぴよ子ー！ファイトだぞー！
亜美・真美,「ピヨちゃーん！！ちょ→イケてるよ→！！」
伊織,小鳥ー！いい感じよー！
律子,小鳥さーん！頑張ってくださーい！
やよい,うっうー！小鳥さん素敵ですー！
千早,頑張ってください！音無さん！
貴音,小鳥嬢、ふぁいと！です！
雪歩,小鳥さーん！綺麗ですよー！
あずさ,うふふ、音無さん頑張ってくださ～い！
春香,小鳥さん！ファイトですよ！ファイト！
司会,それじゃあ早速歌っていただきましょぉぉぉぉ！！曲はぁぁぁぁ！！！
P,終わりましたね……
小鳥,ええ……終わっちゃいました
P,……
小鳥,……
舞,やっほー、小鳥ちゃん
P,うわっ！
小鳥,きゃっ！
舞,何よ、そんなに驚かなくてもいいじゃない
P,……日高さんが突然現れるからですよ
舞,あら？邪魔しちゃった？
P,……何か用ですか？
舞,共演者にお疲れ様って言いにきちゃダメかしら？
小鳥,舞さん……お疲れ様でした
舞,ふふ……お疲れ様小鳥ちゃん、あなたの歌素晴らしかったわ
小鳥,……ありがとうございます
舞,ああ、そうそうそれから……次はこんな風にはいかないわよ？
小鳥,え？つ、次はって……
舞,それだけよ、それじゃあまたね小鳥ちゃん
高木,お前がここにくるとはな、黒井
黒井,高木か……ふん……ここにきたのはただのきまぐれだ
高木,この前の音無君のステージを観たのだろう？
黒井,さぁ、どうだろうな
高木,素晴らしいステージだっただろう？……どう思った？
黒井,……音無君ならあれぐらい当然だ
高木,全く、お前は素直じゃないな……彼女に何を話していたんだ？
黒井,貴様には関係ない
高木,……なあ、黒井よ……彼女は今、笑っているかな？
黒井,……知らん
高木,……
黒井,……
高木,……私達は本当に馬鹿だったな
黒井,……そうかもしれんな
高木,……過去の過ちを変えることはできない、だがな黒井……今を変えることはできるぞ
黒井,……ふん、私は自分を変えるつもりなどない。私は私だ
高木,そうか……相変わらずだなお前は
黒井,……だが……高木、今度貴様の事務所の弱小アイドル達とへっぽこプロデューサーと話をさせろ
高木,？……何故だ？
黒井,……私は奴らにやらなければならないことがあるだろう
高木,！……ふふ、そうか……わかったよ
黒井,この私がわざわざ出向いてやるのだ、ありがたく思えよ。それから勘違いはするな……これはただの気まぐれだ
高木,ああ……
黒井,……貴様には今度高い酒をおごってやる。それで我慢しろ
高木,ははっ！楽しみにしているよ
黒井,それではもういく、私は貴様と違って暇ではないからな
高木,そうか……私は彼女と……少し話をするとしようかな
黒井,……ふん
小鳥,ふふ、プロデューサーさん、早速付き合ってくれてありがとうございます
P,いえ、俺もちょうどいい運動になりますから
小鳥,気持ちいい天気ですね
P,ええ、本当に
小鳥,……プロデューサーさん？
P,なんですか音無さん？
小鳥,あの約束、早速使っちゃってもいいですか？
P,ああ……はい、もちろんです
小鳥,ふふふ……それじゃあ何をしてもらおうかしら～？
P,あの……あまり無茶なものは……
小鳥,え～何でもしてくれるって言ったじゃないですか～
P,う、それは……わ、わかりました。俺も男です！何でもどーんときてください！
小鳥,ふふふっ、流石プロデューサーさんです。……それじゃあですね……
P,……
小鳥,……プロデューサーさんは今度から……
P,こ、今度から……？
小鳥,あたしのことを小鳥って呼んでください
P,……へ？
小鳥,どうしたんですか？プロデューサーさん？
P,い、いや……そんなことでいいんですか？
