ジャイアン＆スネ夫,のーびー太ーくん
古泉,カラオケの事ですか？詳細によると、どうやら音楽事務所の人間が採点をし最も得点の高かった者を優勝とするシステムのようです。割と単純ですね
ジャイアン,音楽事務所！？じゃあ俺それに参加しまーーす！！
ドラ＆のび＆スネ,えぇ！！？
ハルヒ,あら、ジャイアンは歌に自信があるの？
ジャイアン,勿論です！こっちは任せてください！！
ハルヒ,いいわ！じゃあカラオケ大会はジャイアンで決まりね！
スネ夫,い、いや････それは止めといた方が･･･
のび太,優勝どころか最下位に･･･
ジャイアン,何か文句あんのかぁ！？
のび＆スネ,うぅ、無い
ハルヒ,でもまぁ一人だけってのも心配ね。みくるちゃん、あなたも参加しなさい
みくる,ふぇ～！？わ、私がですか！？
ハルヒ,そっ♪その美貌と美声で審査員をメロメロにしちゃいなさい♪
みくる,わ、私人前で歌なんか歌えませ～ん
ハルヒ,大丈夫よ！みくるちゃんボイスならきっといい線行くと思うわ！頑張りなさい！
みくる,ふぇ～････
ハルヒ,あと何か、これは自分がやるんだってのがあるなら言ってちょうだい！
のび太,じゃあ僕は射的をやろうかな
ドラえもん,そうだね、のび太くんは射的の名人だし！
ハルヒ,へー、それは期待できそうね！私もやりたいから射的はのび太とドラえもんと私ね
古泉,では僕は水泳をやりましょう
ハルヒ,古泉くんが水泳っと♪
ジャイアン,ホームラン競争も俺に任せてくれ！スネ夫も行くだろ！？
スネ夫,勿論！あと僕はゴルフもやってみようかな。一応経験者だし
ハルヒ,OK♪ホームラン競争はジャイアンとスネ夫、そして私っと！スネ夫はゴルフもね
キョン,随分スムーズに決まっていくなおい！ところで長門は何かやりたいのはあるのか？
長門,･････････ゴルフ
キョン,おぉ･･･これはまた何と言うか･･･一番意外なのをもってきたな
ハルヒ,有希もゴルフっと
キョン,じゃあ俺は残ったクイズかポーカーのどれかだな
ハルヒ,アンタはどっちも出なさい！
キョン,Why？何故？
ハルヒ,一番下っ端のアンタが一種目しか出ないなんて許されるとでも思ってるの！？
キョン,(あまり言いたくは無いが、一番の下っ端は仮団員であるこいつらじゃないのか？)
ハルヒ,キョンはポーカーにクイズっと
キョン,言っておくが、俺はクイズと名のつくものは大の苦手だぞ
ハルヒ,安心しなさいよ、私も一緒に出てあげるから♪ポーカーの方はドラえもん、あなたがキョンをサポートしてね！
ドラえもん,え？は、はい
キョン,すまないがそういう事らしい、よろしく頼むなドラえもん
ドラえもん,いえ、こちらこそ！
ハルヒ,早速各競技の登録名簿を出してくるわ！大会は明日30日の朝9時から夜の7時までよ！今日はこの後みんなでご飯を食べたら解散！自分の部屋でゆっくり英気を養いなさい！ぜーーったいに優勝するわよ！エイ、エイ、オーーッ！！
のび＆スネ＆ジャイ,エイ、エイ、オーーッ！！
キョン,････以外と子供受けするんだな、あいつは
古泉,そのようですね。これなら閉鎖空間出現の可能性は回避できそうです
長門,･･･････
キョン,ん？。まさかこんなにいくとはな････9人分支払って会計が3万･･･。はぁ～。はい？
古泉,僕です。少々よろしいでしょうか？
キョン,開けていいぞ
古泉,突然すいません
キョン,何のようだ？夕食代に3万も使わされた俺を哀れみにでも来たのか？
古泉,いえ、実は今少々面倒な事になっていましてね。あなたの耳にも入れておいた方がいいと思いまして
キョン,これ以上何の面倒事があるっていうんだ････
古泉,ここでは涼宮さんが来てしまう可能性がありますので、場所を変えましょう。僕について来てください
キョン,はぁ～
古泉,彼をつれてきました
キョン,おい、こんな所勝手に入っていいのか？
古泉,いいとは思いませんが、非常時ですので
キョン,お前な～････ん？ドラえもん達もいるのか！？
ドラえもん,僕達も急に古泉さんにここへ連れてこられたんです
キョン,そりゃ災難だったな････てっ、そこで泣いているのはもしや朝比奈さんでは！？
ジャイアン,この人さっきからずっと泣いてんだぜ
スネ夫,何があったのか聞いても何も言わないし
キョン,おい古泉！お前まさか････
古泉,か、勘弁してください。朝比奈さん、彼らに説明をお願いします
みくる,ふええ～、キョンくん私、未来に帰れなくなりました～
キョン,･････へ？
ドラえもん,未来に帰れなくなった！？
古泉,白状してしまいますと、つまりですね、こういう事です。我々は同じ時間を延々とループしてしまっているのです
のび太,ループってどういう意味？
ドラえもん,つまり、同じ事を何度も繰り返してるって事だよ！
スネ夫,えぇ！？
キョン,･････おい古泉、お前は自分が何を言っているのか分かってるのか？
古泉,解っていますよ。これ以上ないと言うくらいにね。さっき朝比奈さんと話し合ってみたんですけど
キョン,(呼べよ、俺も。その話し合いに！)
古泉,その結果、ここ最近の時間の流れがおかしくなっている事に気付きました。これは朝比奈さんの功績と言ってもいいでしょう。お陰で僕にも確信が持てましたよ
キョン,何の確信だよ
古泉,我々は同じ時間を何度も繰り返し経験しているという事をです
キョン,それはさっき聞いた
古泉,正確に言えば、僕らがオーベロン号に乗船する前の日の8月27日から船を下りる予定の8月31日までの間をですね。つまり僕達は終わりなきクルーズの真っ只中にいるわけですよ
スネ夫,さっきから何を言ってるんだ！！そんな話信じられるわけないだろう！
キョン,(同感だスネ夫)
ドラえもん,何でそんな事が言えるんですか？
古泉,その辺に関しては、朝比奈さんに説明してもらった方がよろしいかと
みくる,うー、ええと････、禁則事項でいつも未来と連絡したり禁則事項したりしてるんですけど････一昨日くらいから禁則事項がないなぁ、おかしいなぁって思っていたの。そしたら禁則事項･･･････私凄くビックリして慌てて禁則事項してみたんだけど全然禁則事項で････。うう、キョンくん！私どうしたらいいでしょうか？
一同,･･････････
キョン,(どうしたらいいのか俺にも解りませんが、禁則事項の連発のせいでドラえもん達がポカーンとしてますよ朝比奈さん)
ドラえもん,あの、つまり･･･とれるはずの未来との連絡が取れないからその疑いがるって事ですか？
古泉,えぇ
のび太,ドラえもんも確かめてみたら？
ドラえもん,そうだね、じゃあ未来電話ー
キョン,ぬおっ！！な、何だそりゃ！？
ドラえもん,これは現在過去未来何処へでも電話をかけることのできる道具です
キョン,そういう事を聞いてるんじゃない！何でそんなもんがその小さなポケットから！？
のび太,ドラえもんのポケットは四次元空間に繋がってるんです
ジャイアン,そっ、だからなんでも入るんだ
キョン,四次元空間だと･･･？今更だが、お前は本当に未来のロボットなんだな
のび太,何処に電話かけるの？
ドラえもん,取り敢えずドラミにかけてみる
のび太,ドラえもん、どう？繋がった？
ドラえもん,そんな馬鹿な！？繋がるどころか呼び出し音すら鳴らない！！
のび太,えぇ！？
スネ夫,じゃ、じゃあ本当に僕らは同じ時間をループしてるって事！？
ドラえもん,この電話はどんな状況でも絶対に相手に繋がるように出来てる。それが全く機能しないってことは、未来そのものが無くなっているとしか･･･
スネ夫,ママーーーー！！！
古泉,決して終わらないエンドレスクルーズです。この世界には秋どころか9月が来ない。8月以降の未来がないんですよ。朝比奈さんやドラえもんさんが未来との連絡が取れないのも道理です。理にかなってますね。あなたの言うとおり、未来との音信不通は未来そのものがないから当然と言えます。
ジャイアン,いったい何でそんな事になっちゃったんですか？
キョン,何でそうなったかは流石の俺でも察しがつく。ハルヒだろ？
古泉,恐らく
キョン,俺達はハルヒの作った変な世界に閉じ込められてるのか？あの閉鎖空間の現実的バージョンとかさ
古泉,世界を再生させたわけではありません。涼宮さんは時間を切り取ったんですよ。8月27日から31日の間だけをね。だから今のこの世界にはたった5日間しか時間が無いのです
ドラえもん,それって、昼間に古泉さんが説明してくれた願望を実現に反映させるっていう能力によって引き起こされてるんですか？
古泉,そうです。勿論涼宮さん自身は無自覚でしょうが
スネ夫,でもやっぱりおかしいよ！本当にループしてるんだったら、僕らに前に経験した時の記憶が残ってるはずじゃないか！！でもそんな記憶何処にもないよ
古泉,それも全てリセットです。それまでの5日間に得た記憶は無かった事となりまた最初からやり直しとなるのです。
スネ夫,そ、そんな････
キョン,まとめると、つまりこうか。時間が8月31日の24時ジャストになった瞬間全人類の記憶が一気にリセットされて、また27日の早朝辺りからやり直し。そしてそれらの事象はハルヒが原因････
古泉,えぇ、その通りです
キョン,何でお前はそんなに嬉しそうなんだ？俺を含めたお前以外の7人はみんな顔面蒼白だというのに
古泉,ここ暫く僕を悩ませていた違和感の元が明らかになったものでね
キョン,違和感？
古泉,恐らくここにいる全員がそうだったのでしょうが、一昨日の27日から今日まで不定期に強烈な既視感がありました。今思えば、それは前回以前のループで経験した記憶の残滓(ざんし)としか言いようがないですね。リセットからこぼれ落ちた部分が僕達にそれを感じさせていたのでしょう
ドラえもん,確かに何度もあった、強烈な既視感！
のび太,僕も！
ジャイアン,俺もだぜぇ･･･
ドラえもん,ひょっとしてそれは全人類が感じてるんですか？
古泉,それはないようです。僕やみなさんは特殊な事例なんですよ。涼宮さんに近しい人間ほど、この異常を感じ取れる事になっているようです
キョン,ハルヒ自身はどうなんだ？
古泉,全く無いようですね。してもらっては困るというのもありますが････
キョン,何て幸せな奴なんだ･･･
ドラえもん,いったい僕らはこれまでに何回くらいループを繰り返してるんでしょう？
古泉,この中に一人だけ、我々とは違い記憶のリセットを受けずにここまでの記憶を全て蓄積している人物がいます
キョン,なに！？そりゃまさか････
古泉,えぇ、長門さんです
キョン,本当なのか長門？
長門,････････そう
キョン,それで、俺達は何回くらい同じ5日間をリプレイしてるんだ？
長門,今回が、15498回目に該当する
キョン,なっ･････
ドラえもん,い、15498回！！？
のび太,そ、そんな～
ジャイアン,う、嘘だろ～････母ちゃーーん！！
スネ夫,ママーーーーー！！！
キョン,長門、それはマジな話なのか？
長門,そう
古泉,同じ5日間を1万何千回です。自分がそんなループに囚われていると自覚して記憶もそのまま蓄積するのだとしたら、通常の人間の精神では持たないでしょう。涼宮さんはたぶん我々以上に完璧な記憶抹消を受けていると思われます。
キョン,するとだ、明日俺達がやる予定になっている事も、既に俺達は過去においてやってしまっているのか？
長門,必ずしもそうではない
キョン,どういう事だ？
長門,過去15497回のシークエンスにおいて、涼宮ハルヒやあなた達が取った行動は全て一致しているわけではない。15497回中、船には乗ったがドラえもん達と出会わなかったパターンが2回ある。出会ったが合流しなかったパターンは234回が該当する。この船には今のところ毎回乗っている。明日開催される大会にはドラえもん達と合流した場合である15261回全てにおいて参加している。今回の競技内容は全7種類だが、これが9種類あったパターンが2039回、11種類あったパターンが8567回ある。各競技に誰が挑戦するかも多数のパターンがある今回のように涼宮ハルヒが3種目、射的・ホームラン競争・クイズに挑戦するパターンはこれまでに3449回あり、その他にも
キョン,いや、もういい！
みくる,ふえ～～ん
キョン,(俺も泣きたいですよ朝比奈さん････)
のび太,もう駄目････頭が爆発しそう
ドラえもん,だ、大丈夫のび太くん？
キョン,しかし何でまた長門にだけ記憶が残ってるんだ？
古泉,長門さん、と言うよりも情報統合思念体が、時間も空間も超越している存在だからでしょう
キョン,さっきまでの不気味な笑顔が消えたな。流石のお前も想像を絶する数値に驚いたか
古泉,正直これほどまでとは思っていませんでしたからね。僕ものび太くん同様現状頭が痛い状態です
キョン,ん？待てよ、じゃあ長門！お前はこの5日間を15498回もずっと体験してきたんだよな？
長門,そう
キョン,待てよ、15498回だぞ･･･しかもそれを×5日間だ。のべ日数は77490日････約212年分だぞ！それだけの時間をお前は記憶を残した状態のまま過ごしていたってのか････
長門,そう
キョン,お前･･･
ドラえもん,何で何度もループしているのが分かっているのに今までずっと黙っていたんですか？
長門,私の役割は涼宮ハルヒの観測だから
キョン,なるほどな･･･
スネ夫,に、212年も僕らは同じ事を繰り返してるなんて･･･
のび太,何でハルヒさんはそんな事をやっているんですか？
古泉,推測ですが、涼宮さんはこの旅行を終わらせたくないんでしょう。無意識の内に頭の何処かでそう思っているからこそ、現実にこのような形で反映されているんだと思います。ですね長門さん？
長門,････そう
キョン,俺達はどうすればいい？
古泉,彼女はこの船旅でやり残した事があると感じているのでしょう。それをせずに新学期を迎えるわけにはいかない。それをしないと心残りがある。そのモヤモヤを抱えたまま8月31日の夜を迎えて眠りにつき
キョン,目を覚ましたら綺麗さっぱり5日分の時間を巻き戻してるってわけか･･･
古泉,えぇ
キョン,何というか、愛想も呆れも尽き果てるとはこのとこだな。何でもする奴だとは思っていたが、だんだん非常識レベルがランクアップしてるんじゃないか？いったい何をすればあいつは満足してこのループから抜け出せるんだか･･･
古泉,さぁ、それは僕には。長門さんは解りますか？
長門,解らない
ドラえもん,つまり、涼宮さんがこの船旅でやり残したとされる事を僕らが実現させればこのループから抜け出せるってことですよね？
古泉,そうです。しかしご覧の通り、そのやり残した事とやらが皆目検討もつかない状況でして
キョン,ドラえもんは何か心当たりはないか？
ドラえもん,さぁ、僕らは涼宮さんと今日知り合ったばかりですし･･･
キョン,だよな～
ドラえもん,あの、長門さんはこれまでの記憶を全部持ってるんですよね？だったら過去にあった出来事やパターンを聞けば、やり残していることも少しずつ見えてくるんじゃないんですか？
古泉,なるほど、確かにそうですね。長門さん、僕達が今回のように途中で時間のループに気づいたのはこれで何回目ですか？
キョン,(今回が初めてであってくれ････)
長門,8769回目。最近になるほど、発覚の確率は高まっている
キョン,orz
ジャイアン,えぇ！？じゃあ俺達は8000回以上もこの事に気付いてるのにループを脱出できずにいるってことかよ～
古泉,････そのようですね
のび太,そんな～
スネ夫,8000回以上も駄目だったのに、今回に限って脱出できるわけないよ！
古泉,しかし、そう諦めていてはいつまでも活路を見出せません。とにかくできる事を考え、実行するしかありません
キョン,できる事ったってな～
古泉,長門さんの情報を整理しますと、15497回のシークエンスにおいて一貫している事はこの船に乗っているという点です。そして次に多いのがドラえもんさん一行と合流し、合流した際は全てにおいて明日行われる予定の超人選手権なるものに出場している。どうやらこの辺りに脱出の糸口があるように思います
キョン,長門、これまでに俺達が明日の大会で優勝した事はあるのか？
長門,ない。大会に出場した15261回の内、最も成績が良かったのは総合2位
キョン,おい！だったらこれで決まりじゃないか！！明日の大会で優勝さえすればこの無限ループから脱出できるんじゃないか？
古泉,確かにその可能性は高いですね。しかし････長門さん、彼が今と同じ質問をしたのはこれが何回目ですか？
長門,8769回目。ループに気付いた全てのパターンにおいて質問している
キョン,なっ･････
古泉,つまり、我々はそこまで解っていながらも、8000回以上も明日の大会で優勝出来ずにいるという事ですね
キョン,どうすりゃいいんだ････
のび太,ドラえもんの道具を使えば簡単に優勝できるんじゃない？
ドラえもん,うん、確かに！
キョン,道具？
のび太,ドラえもんはさっきの電話みたいな便利な道具を沢山持っているんです！
古泉,それを使えば簡単に優勝出来ると？
のび太,はい
古泉,ドラえもんさんの道具を使えば難なく明日の大会は優勝できるわけですか。ただ････
キョン,あぁ、確認すべき事があるな
古泉,これまでのシークエンスにおいて、ドラえもんさんの道具を使用して明日の大会に出場した事があるのか無いのか。もしあったのだとしたら、我々はそれを使用しても尚優勝できずにいるというわけですから、益々打つ手が無くなります
キョン,確かに、これもアウトとなると流石に厳しいな。ただ8000回以上も繰り返しておきながら、今回に限ってドラえもんの道具を使用するってパターンが都合良く出てくるとも思えないが････
古泉,僕もそう思いますが、その可能性に賭けるしかありません
キョン,だな･････。聞くが長門、これまでにドラえもんの道具を使って明日の大会に挑戦した事は何回ある？
長門,･･････
のび太,ｺﾞｸｯ････
スネ夫,神様･････
キョン,どうなんだ長門？
長門,ない。のび太がさっきのような提案をしたのは今回が初めてのケース
キョン,そ、そうか！！
のび太,やったー！！
みくる,うぇ～ん、よかったですぅ～
古泉,確認しますが、あなたの道具を使えば明日の大会は絶対に優勝出来るのですね？
ドラえもん,勿論です！
ジャイアン,やったなスネ夫～！これでループから脱出できるぞ～
スネ夫,やったー！！
キョン,これで今回は何とかなりそうだな
古泉,えぇ。のび太くんに救われましたよ。ドラえもんさん、では早速明日の対策を練りましょう
ドラえもん,そうですね！
古泉,まずはポーカーですが････
ドラえもん,ポーカーならこれを使えばきっと勝てますツキの月ー！
キョン,何だこれは？
ドラえもん,これを飲むと3時間、信じられないほどの幸運がおとずれるという道具です！
古泉,運の要素の強いポーカーにおいて、その道具は最良かもしれませんね。ポーカーに参加するのは確か、あなたとドラえもんさんの二人でしたね。どちらが飲むんですか？
ドラえもん,この道具は普段からついてない人の方がよく効きます！
キョン,･･･じゃあ俺だな
古泉,おや、僕にはとてもあなたが不運は人間には見えませんが？
キョン,高校入学以来ハルヒのメタクソイベントに付き合わされてるだけで俺は十分不運だ
ドラえもん,じゃあこれはあなたに渡しておきます！ポーカーが始まる前に飲んでください
キョン,分かった
古泉,次はカラオケですが、これはどうしますか？
ドラえもん,ジーンマイクー！
古泉,なるほど、これなら確かに優勝できそうですね。カラオケは朝比奈さんとジャイアン氏でしたね。どちらが使いますか？
スネ夫,それはジャイア
ジャイアン,俺には必要ないっ！！
スネ夫,えぇ！？
ジャイアン,それは朝比奈さんに使わせてやってくれ！俺には必要ない！
のび太,必要無いって、まさか普通のマイクで歌うつもりぃ？
ジャイアン,当たり前じゃねーか！
スネ夫,そんな事したら死人が出るぞ･･･
ジャイアン,おぉ！？何か言ったかスネ夫！！
古泉,ではジャイアン氏は普通のマイク、朝比奈さんがそのマイクを使ってください
みくる,わ、分かりましたぁ～
ドラえもん,あの、ジャイアンに普通のマイクなんて使わせて本当にいいんですか？
古泉,今回の大会は団体戦です。彼が駄目でも朝比奈さんが優勝さえすれば何の問題もありません
ドラえもん,もしジャイアンが普通のマイクでなんか歌ったら、朝比奈さんも同じSOS団チームって事でかなりの減点が予想されます！！
キョン,そんなに酷いのかあいつの歌は？
のび太,そりゃあもう
古泉,そうですか････。では回避した方がよさそうですね。朝比奈さん、明日彼が歌う前にこっそりとマイクを入れ替えておいてください
みくる,はい、やってみます！
古泉,次は射的ですね。参加者は涼宮さんとのび太くんにドラえもんさん
ドラえもん,これは何もしなくても大丈夫です！
古泉,何故です？
ドラえもん,のび太くんは射的の天才なんです！！
のび太,ｴｯﾍﾝ！！
ドラえもん,他に取柄はないですけど！
のび太,も～、ドラえもんはいつも一言余計なんだよ～！
古泉,では射的は君に任せます。次はホームラン競争ですね参加者は涼宮さんとスネ夫くん、そしてジャイアン氏ですが
ドラえもん,黄金バットー！
キョン,しかしまぁよくこうも都合のいい道具が次々と出てくるもんだな
古泉,ではこのバットを三人で回して使ってください
スネ夫,え？涼宮さんにも使わせていいんですか？
古泉,問題ありません。ホームランが連発する形になったとしても涼宮さんはそれを自分の力だと思い、何かを疑おうなどとは絶対に思いませんから
キョン,いつも根拠の無い自信で満ち溢れてる奴だからな
古泉,次は僕が出る水泳ですが、これはどうしますか？
ドラえもん,着せ替えカメラー！。これに人魚のデザインを入れてシャッターを押せば、古泉さんを人魚にする事ができます！
キョン,古泉が人魚だと？それは下半身だけ魚になるって事か？
ドラえもん,そうです
古泉,････あの、別の道具はないのでしょうか？
ドラえもん,ありません
キョン,面白そうではあるが、ただそれじゃ現地で半魚人姿を衆目に晒す事になるぞ？
のび太,バスタオルでも巻いとけば大丈夫じゃないですか～？
キョン,かなり怪しまれるだろうが、まぁ他に手が無いってなら仕方ない。諦めろ古泉。万が一バレたら、大騒ぎになってその時点で大会自体が中止になるかもしれんから気をつけろよ
古泉,･････えぇ
キョン,次はゴルフだな。参加するのはスネ夫と長門か････これも何もする必要ないな
ドラえもん,え？どうしてですか？
キョン,長門は何でもこなせるスーパー超人みたいなもんなんだ道具無しでも文句なしで優勝できるさ。そうだろ、長門？
長門,･････
キョン,最後に俺とハルヒが参加するクイズだが･･･
ドラえもん,これに関しては良さそうな道具がないんです
キョン,なに？じゃあ自力で何とかするしかないのか？
ドラえもん,暗記パンー！世界クイズ全集！スモールライトー。この世界クイズ全集の全ページを暗記パンに写して食べればたぶん何とかなると思います･･･
キョン,全ページって、これ500ページ近くあるんじゃないのか？そんなに食パンなど食えんぞ･･･
ドラえもん,このスモールライトで世界クイズ全集を小さくすれば一枚のパンに多くのページを写す事ができるはずです！
キョン,しかし500近くあるページ数を全て食パンに写すというだけでも結構な重労働だな。何だかんだで今夜は眠れそうにない･･･
みくる,それにしても凄いですねぇ、ドラえもんさんの道具は！こんなに便利なものばかりあるなんてビックリです！
キョン,ん？朝比奈さんはドラえもんの未来よりも更に未来から来たんですよね？だったら今までに出た道具の事だって知ってるはずじゃないですか？
みくる,それは･････禁則事項です
キョン,？
古泉,取り敢えずこれで明日の大会は何とかなりそうですね。何としても優勝して、このループから抜け出しましょう
ジャイアン,もうこれ以上同じことを繰り返すのは御免だぜ！
スネ夫,そうとも！記憶はないけど212年以上もママに会ってないなんて耐えられない！
のび太,みんなで頑張ろう！
キョン,やったな長門、どうやら今回は抜け出せそうだぞ
長門,･･････
キョン,長門？
長門,楽観視はできない
キョン,他にも何か問題でもあるのか？
長門,分からない。････ただ可能性はある
古泉,ではみなさんそろそろ私室に戻りましょう。明日は早いですしねゆっくり休んでください
スネ夫,あっ！もう12時だ！
ジャイアン,俺ももう眠くて駄目
のび太,ドラえもん、僕らも戻ろう
ドラえもん,そうだね
キョン,じゃあ俺も戻るとするか。世界クイズ全集とやらの問題と回答を丸暗記せにゃならんからな
みくる,私も戻りますぅ～
ハルヒ,おっはよーみんな！いよいよこの日が来たわよ！
キョン,朝から元気な奴だな･･･
ハルヒ,当たり前じゃない！SOS団の存在を全世界に知らしめるチャンスなのよ！あんた何でそんなに疲れた顔してるのよ？ちゃんと寝た？もっと気合を入れなさい！
キョン,(人が優勝する為に徹夜で頑張っていたというのに･･･)
ハルヒ,あなた達も気合入れなさいよ！昨日も言ったけどぜーーったいに優勝するの！
ジャイアン,あったり前だ！今度こそ絶対優勝してやる！
ハルヒ,今度こそ？あんた前にもこの船に乗った事あるの？
キョン,あ、いや････こいつら先週小学校の野球大会で優勝出来なかったんだとさ
ハルヒ,そうなの。だったらその悔しさを全てこの大会にぶつけなさい！！私が許す！
キョン,ふぅ～
ハルヒ,古泉くんやみくるちゃんもいいわね！絶対に勝つの！ただ優勝するだけじゃつまらないわ！目指すのは完全優勝！7種目全て勝つのよ！！
キョン,(またハードル上げやがって･･･)
ハルヒ,有希もいいわね！？
長門,･････
ハルヒ,遂に始まるのね！ポーカーはキョンとドラえもん。カラオケはみくるちゃんとジャイアンね！絶対に勝つのよ！！
キョン,やれやれ、じゃあ行くか
ドラえもん,はい
のび太,ドラえもん、頑張ってね！
みくる,じゃあ行ってきますぅ～
ハルヒ,みくるちゃん！頑張るのよ！ジャイアンも！
ジャイアン,おう！任せとけ！
キョン,それにしても凄い数だな。これみんな参加者か？
ドラえもん,何たって賞金1000万円ですからね
キョン,15000回以上も同じ大会に出場しているとも知らずに･･･
ドラえもん,僕達で何とかするしかありませんね
キョン,そうだな
司会,超人選手権に参加の皆様！これよりポーカー大会を開始致します！。この大会には全28チームが出場しています！ポーカー挑戦者数は83名！優勝者の所属しているチームには10pt、2位と3位の方の所属しているチームにはそれぞれ5pt、2ptずつが加算されます
キョン,各チームごと競技に出してる人数が違うようだが、これは不公平じゃないか？参加者を多く出してるチームの方が上位に食い込む可能性は高いだろ
司会,1つの競技につき参加できる人数の上限は3名と明記しておりました。ですので、1名や2名のみで参加のチームに関しましては責任をとれません
キョン,(んな事書いてあったのか･･･)
ドラえもん,ポーカー参加者が83名って事は、3人出してないのは僕達のチームだけですね
キョン,偉そうに問題提起したが上限分出してないのは俺達のチームだけか････俺だけじゃなく、まさかハルヒや古泉まで見落としていたとはな･･･。水泳なんてあいつ一人しか登録してないじゃないか
ドラえもん,大丈夫ですよ！僕の道具がありますから！
キョン,そうだったな。頼りにしてるぜ
司会,では早速一回戦を開始いたします！チーム名と個人名を読み上げますので呼ばれた方は指定されたテーブルへと向かってください！
ドラえもん,いよいよだ
司会,4番テーブル、チームSOS団キョン様！
キョン,お、呼ばれたか。じゃあ行ってくる
ドラえもん,ツキの月を飲むのを忘れずに！
キョン,あぁ、分かってる
司会,11番テーブル、チームSOS団ドラえもん様！
ドラえもん,あ、僕も行かなきゃ！
進行役,みなさんよろしいでしょうか？
キョン,ちょ、ちょっと待ってください！
貴族風の男,ははは、それは栄養ドリンクかね少年？ｗ
ギャンブラー,へっ、ギャンブルにおいてそんなもん糞の役にも立たないぜｗ
貴婦人,今からでも遅くないから、坊やは棄権したらどう？ｗ
キョン,あははは･･･(今に見てろよアホ共！)
進行役,もうよろしいですか？
キョン,えぇ、お願いします
ギャンブラー,さっさと始めようぜ！
進行役,では最初のゲームを開始します
貴族風の男,ほうほうなるほど。諸君、悪いが最初のゲームは私がもらったｗ
ギャンブラー,言ってろ！
貴婦人,(なかなか良い感じね♪これなら勝てそう)
キョン,(なんてこった････････)
進行役,手札は2回変える事ができますが、この段階でチップを賭ける方はいらっしゃいますか？
貴族風の男,では取り敢えず2000円分賭けるとしよう
ギャンブラー,俺はパス。様子見だ
貴婦人,私もパスよ
進行役,あたなはどうしますか？
キョン,全チップ賭ける
貴族風の男,なに！？
ギャンブラー,ハハ、正気かよお前！？
貴婦人,若いわねｗ
進行役,本当によろしいのですか？これで負けた場合、第2、第3ゲームを待たずしてあなたの一回戦敗退が決定しますが？
キョン,えぇ、構いませんよ。後俺は交換もしないんでこのままでいいです。そっちで勝手に進めてください
ギャンブラー,ハハハ、いかれてやがるぜこいつｗ
貴族風の男,余程今の手札に自信があるのだろうが、まぁ吼えていられるのも今の内だけだ。直ぐに現実の厳しさを教えてやる
進行役,では手札を公開する前にチップを賭けてください
貴族風の男,先程2000円分ベットしたが、そこに8000円分を上乗せしよう
ギャンブラー,何だよオッサン、あんたまで早くも全額勝負かい？
貴族風の男,若者が大勝負に出ているんだ。私がチマチマと小額を賭けるわけにはいかんだろう。それに、最初から全員が全額を賭ければ長々と3ゲームも消化せずに済む。時間短縮だ
ギャンブラー,へ、プライドだけは一級品だな。まぁいいだろう！本当の強者ってのは1度キリの勝負をものにするもんだ。俺も全額行くぜ！
貴婦人,では私も
進行役,承知いたしました。では一斉に手札を公開してください
貴族風の男,フルハウス！！
ギャンブラー,フルハウス！！
貴婦人,ふふ、フォア・カード♪
貴族風の男＆ギャンブラー,な、なに！？
貴婦人,残念ですけど、この勝負私の勝ちですわねｗ
進行役,いいえ、あなたも負けです
貴婦人,はぁ！？何言ってるのよ！？どう見たって私が一番じゃな･･･
進行役,彼はロイヤルストレートフラッシュです
キョン,いや～、すいませんねぇ
貴族風の男,ば、馬鹿な！！ノーチェンジでこんな役が出るわけ････
キョン,現に出ちゃってますからね～
ギャンブラー,なんて野郎だ････信じられねぇ
キョン,この人たち手持ちのチップ無くなっちゃったみたいですしこれは俺の勝ちって事でいいんですよね？
進行役,その通りです。チームSOS団キョン様、2会戦進出でございます
キョン,(こりゃ凄い道具だ。これなら余裕で優勝できる！そういえば、朝比奈さんとジャイアンは大丈夫だろうな･･･)
ジャイアン,いよいよだ！何か緊張してきたな
みくる,大丈夫ですよたけしくん！ほら、深呼吸しましょう
ジャイアン,す～～は～～、す～～は～～
みくる,どうですか？少しは緊張が解れましたか？
ジャイアン,はい！だいぶ楽になりました！
みくる,じゃあ次は目を閉じて、ゆっくり深呼吸してみましょう
ジャイアン,はい！。す～～は～～～
みくる,ふふ、これできっと緊張する事無く歌えますよ！
ジャイアン,ありがとうございます朝比奈さん！
司会,それでは次の方に参りましょう！エントリーNo49、チームSOS団の剛田たけしくんによります、オリジナルソング俺はジャイアンです！どうぞ！！
ジャイアン,おーれーはジャイアーーン♪がーきだいしょー♪てーんかむーてきーのおーとこーだーぜー♪
会場,おぉぉぉ！！！
審査員,これは素晴らしい･･･なんて美しい声なんだ
みくる,わ～、凄いですたけしくん！何だかジーンとしてきちゃいましたぁ
ジャイアン,(あれ？みんな感動して泣いてるぞ･･･もしかして俺って本当に凄い歌手なのかもしれない･･･)
関係者,競技に参加される方は急いでくださーい！
古泉,さて、そろそろ行かなくてはならないようですね
のび太,だから早く撮りましょうよ！この着せ替えカメラのシャッターを押せば古泉さんは人魚になれるんですから！そうすれば優勝間違いなしですよ？
古泉,分かってはいるんですけどね･･･やはり多少抵抗がありますよ
のび太,ドラえもんの道具なんですから大丈夫ですよ
古泉,そうかい？････では、お願いします
のび太,いきますよー！ハイ、チーズ
古泉,これは････いざそうなってみると我ながら気味が悪いですね
