魔族兵B,い、今“魔王”様って言ったのか？
魔王,いや、エルフさんも協力してほしい。無属性のボクが暴れても大したことはないと思うけど、念には念を……。みんな……よろしくね。いくよっ！。あああああっやあああ！！！。ぬけた……
女側近,ーッ
魔少女,……ッ
魔道化師,ぃぃ……ッ
エルフ,－－－ッ
魔王,……。……あれ？
魔少女,何も起きない？
女側近,……魔王様？
魔王,い、今のところ何ともないね
魔道化師,1分経過っ！
エルフ,何故じゃ？
魔王,……
魔少女,ひょっとして無属性は大丈夫とかかな？？
女側近,身体に異変はありませんか？
魔王,うん、それもそうだし、この剣に凄い力があるようにも感じないなぁ
魔道化師,ふぁ……何もないのか～緊張して損した
魔王,まだ油断は……。まって……。身体の奥が……。何か来る
女側近,魔王様！？
魔王,があああああああああああああああああああああああああああぁぁぁぁあああっ！！！。がががががあああああっ！
魔少女,まおーさまっ！！
女側近,魔少女っ夢魔の準備をっ！
魔王,ががが……。が
女側近,魔王様？。はああああっ！
魔王,……カラダ……カラダ
女側近,魔少女っ！
エルフ,ふんっ！
魔少女,はいな！ピエロ、身体お願いね
女側近・エルフ,なっ！！
魔王,ウットウシイ。カカカ……
女側近,？。－－－－－－－－－－ッッッあぁぁあ……
エルフ,ゴホッ……。魔剣めぇぇ
魔道化師,うひひひぃー……なんて速さ。ま、マオぉぉっ！
魔王,ナ、ナンダコノカラダハ？。マリョクガナイ……
女側近,はぁはぁ……速すぎる
エルフ,くそ……女側近、受け取れ超回復薬じゃ
女側近,くっ……
エルフ,魔王の身体を気遣って手加減してると、こちらが殺されるぞっ全力で行け！
女側近,魔王様……
魔王,カカカ……コロス。ミンナコワス
魔道化師,こ、殺さずに拘束？？むひゃ～
魔王,やるんだぁぁああっ！！！！
女側近,くっ……
魔王,グア……グア……
エルフ,はぁはぁ……動きが鈍くなっておるぞ
魔道化師,あ……あ……
女側近,魔王様が自我を取り戻し始めてるの……か？
魔王,ウットウシイぃぃいっ！。クラウカヨッ！！
女側近,魔王様……っ。ゴフッ……
魔王,シネ
女側近,捕まえた……
エルフ,女側近っ！！
魔王,キサマカラサキニコロス
魔道化師,マオっ！！戻ってこいっ！マオぉぉ……
女側近,ピエロッッ……死にたいのかっ！離れろっ
魔道化師,マオぉぉぉ……
エルフ,ピエロ、時間は……
魔道化師,い、1時間だ……よ。マオぉぉぉあああああああああああああっ！！
女側近,……っ
エルフ,……
女側近,そんな……
魔王,ハァアアアアッ……カカカ。モウコノカラダモラッタ
エルフ,女側近、予定通り魔王を殺すのじゃ。行けるか？
女側近,……ェ
エルフ,……なんじゃ？
女側近,ダメッ！
魔王,ハァアアアアっ！
女側近・エルフ,うわああああっ！！
女側近,魔王様は……きっと戻られる……。はぁはぁ……
エルフ,もう無理じゃ……殺さないと、わらわ達が殺されるぞ。それだけじゃない。あやつは魔界全てを殺してしまう
女側近,奴の動きは少しずつ鈍ってきている……あと少し
エルフ,……
魔道化師,マオ……
女側近,エルフ……精霊薬は持っている？あなた達の一族に伝わる秘薬。私に
エルフ,お主アレがどんな薬かわかっておるのか？
女側近,わかってるわ、潜在魔力を引き出す薬。このままじゃ抑え込めないっ！はやくっ
エルフ,精霊薬とは名ばかりで、生命を消費して魔力を強化する………お主の身体がどうなるかわからんぞ
女側近,魔王様を拘束できるなら構わない
エルフ,……
女側近,はやくっ！今の魔力ではもう保たないっ！どんな代償でも構わないっ！
エルフ,……。ここへきて、何という澄んだ瞳じゃ
魔王,グガガガ……
エルフ,よかろう……。お主の亡骸はわらわが拾ってやろう
魔王,コワス……コロス……
女側近,……。ああああああああああっ！！
魔王,……ぅんん
魔少女,あ！ああああああっ！まおー様っ
魔王,魔少女……さん？。……ここは？？
魔少女,よかったぁぁうぇぇん……
魔王,魔少女さん、落ち着いて……
魔少女,ぇぐ……ぇぐ……ごごはぇぶぶのもじだじょ～。みんなょぶでぐるぅ……ｸﾞｽﾝ
エルフ,ようやくお目覚めじゃな
魔王,エルフさん……。ピエロ……
魔道化師,マオぉぉぉおおお……おぃおぃぃ…
魔少女・魔道化師,「ふぅぇぇぇん」
魔王,ここはどこですか？みんな無事ですか？どうなったんでしょう？
エルフ,うるさいぞー2人とも。少し外に出とるんじゃ。ここはエルフの森じゃ。わらわの街、一応皆無事じゃ
魔王,一応？
エルフ,魔剣を抜いてから１４日たっておる。お主は一度は魔剣に支配されたが、女側近と魔少女のおかげで無事生還、魔剣を手に入れたというわけじゃ
魔王,……。魔剣に触れてからの記憶が……ない。女側近さんは？？無事なんでしょ？？
エルフ,……
魔王,え……？
エルフ,ついてきなされ
魔王,目は……どうしたの？
エルフ,彼女はお主を抑え込むために精霊薬を飲んだのじゃ
魔王,精霊薬を？！？
エルフ,うむ、精霊薬とは魔族の生命そのものを消費して強化する魔法薬じゃ。一時的に潜在魔力を最大限発揮する。しかし、副作用がある。身体、魔力、生命は繋がってる。生命を消費するとは身体の何かが壊れるということじゃ。今回の場合は目じゃ
魔王,え……。え、で、でも魔法で回復すれば目は治るんでしょ？？
エルフ,魔法で治せるのは傷だけじゃ、消費した生命を回復させることはできん
魔王,……
エルフ,つまり、彼女の瞳に……。視力は二度と戻らない
魔王,……。う……うそ……だ……
エルフ,本当じゃ、もうほとんど傷はふさがっている。もう2、3日で目を覚ますじゃろう。意識は戻っても、光を見ることは出来んがな
魔王,ボクのせいで……。ボクのせいで……。うわあああああああああ……
長老,同盟？
魔王,はい……エルフ一族と友好的な関係を築きたいのです
長老,先の“魔王”が我一族にした罪はどうなる？
魔王,私が現王として我父の罪を謝罪します。申し訳ありません
エルフ,長老様、我々エルフの瞳には、この“魔王”に嘘や企みがないのはお分かりいただけるでしょう？
長老,うむ、魔王よ何が望みじゃ？魔法か？薬か？
魔王,何かを求めて友好関係を築きたい訳ではありません。強いて言えば、エルフ達あなた方が隠れずに我らの町や冥都に足を運んでいただければ幸いです
長老,それでお主らに何の得がある？
魔王,……ボクには友人があまりいませんが。友達は多い方がいいでしょう？
長老,ふっ……はははははは
エルフ,フフフフッ
魔王,あ、あはははは
長老,面白い王じゃな……良かろう。お主を信じてみよう
魔王,あ、ありがとうございます！！
長老,魔剣を解放してくれた恩義も返さなければあるまい
魔王,……この魔剣……。この剣は何なのでしょうか？。強力な武器であり、“魔王”しか触れることが出来ず、ゲートの鍵であって、触れたものを支配してしまう。なぜこれをエルフさんは守っていたのですか？
長老,うむ、そうじゃな……
魔王,はい
長老,人間界には聖剣というものがある。魔剣と対となる武器じゃ
魔王,はい
長老,魔剣と聖剣はもともとは１つの剣であった……“神剣”と呼ばれていたそうじゃ。約７０年前、人間達はその神剣を使いゲートを作り魔界へ攻めてきた。突然異世界から攻めてきた人間達に魔族は苦戦した。その危機が冥都に迫るほどに苦戦を強いられた。神剣があまりに強過ぎたのじゃ
魔王,戦争が始まったころの話ですね
長老,しかし、戦況を変える若き騎士が現れたのじゃ。剣一本で人間兵を斬りまくり、ついには“神剣”をも破壊した。破壊された神剣は魔剣と聖剣に別れて……魔界と人間界に。神剣を失った人間達は魔界から退却を余儀なくされた。負の力を受け継いでしまった魔剣は触れた魔王を破壊者へと変貌させる剣となってしまった
魔王,……
長老,その魔力があまりに強いため、我らエルフはその若き騎士に頼まれ魔剣が暴走しないよう守っておったのじゃ。お主のおかげでようやく魔剣を解放することが叶ったのじゃ
魔王,ゲートを作ったのが神剣。魔剣と聖剣が交わるとゲートが閉じる……
長老,ゲートを閉じるつもりか。戦争を終わらすにはそれが良いかもしれんな
魔王,その為なら自分は何でもやります
長老,私等エルフ族も協力しよう。魔界の平和……あの若き騎士の願いでもあった
魔王,その若き騎士さんはどうなったのですか？
長老,戦争で亡くなったと聞く。彼にはとても助けられた。あやつは勇敢な若者で、魔王軍に所属してはいたが種族を超えた我が友だった
魔王,友達……そうでしたか。“勇”敢な若“者”……か
長老,彼がいなければ魔界は人間に支配されていたじゃろう。そういえば彼も無属性であったな。何かを成し得るのに魔法や魔力は関係ない、お主を見て改めて思ったよ
魔王,……。ボクは……何かを成し得ることができるのだろうか？
魔少女,まおー様っ！どうだったのー？長老さんに会えたの？
魔王,うん、何とかいい返事もらえたよ
魔少女,さっすがまおー様っ
魔王,でもボク一人じゃ、この先の同盟に関する細かい話し合いはできない……
魔少女,うん
魔王,ボク、１４日も寝てたんだよね？
魔少女,そだよー心配したんだから
魔王,執務ヤバイ……どうしよ
魔少女,あれ？ピエロだ。何してんのー！？
魔道化師,マオっ！魔少女っ！
魔王,ピエロ……何してるの？新しいサーカスの練習？
魔道化師,うひゃ、オイラも強くなれるように修行ひゃっ
魔少女,ププ……そんなんで戦うって、あははは
魔道化師,お、オイラも弱いままだとマオの役にたてないからな
魔王,む、無理に戦わなくていいよ。ボクだって戦えないし
魔道化師,何言ってんだよー魔剣手に入れたんだから！もう凄いんだろ～？
魔少女,あ、そっかーそうよね
魔王,……いや……なんかこの剣にチカラなんてあるように思えないんだけど
魔道化師,マオも魔少女しゃんも意識無かったから知らないだろうけど、その剣すげーのよ！！！一振りしただけで、衝撃波が……ぶっびゃびゃひゃーどっばーっんって感じで
魔王,本当に？
魔道化師,ちょっと振ってみろ。うひゃ
魔王,うん。……
魔道化師,ありゃ？？？なんでー？
魔少女,直接斬ったらすごいとかじゃない？
魔王,よし。あた！手首が……
魔道化師,……
魔少女,……
魔王,……。これ……ボクには使えないのかな？いや、でもボクしか持てないし。？
魔道化師,マオ？
魔王,ん、なに？何か特別な使い方があるのかな
魔少女,剣からは何も感じないわね
魔王,いや、いま……なんか……
エルフ,魔王、いたいた！女側近の意識が戻ったぞ！
魔王,！！。……ッ。本当に……視力が……
女側近,魔少女……ピエロ……
魔少女,お姐ぇぇぇえええ……
魔道化師,うひゃひゃひゃ……みんな生きてて良かった～
魔王,女側近さん……
女側近,！……魔王様？
魔王,ボクのせいで視力が……
女側近,魔王様、お気になさらずに。魔剣を手に入れ、皆無事ですので最高の結果でございます
魔少女,ふぇぇええん
魔王,……
魔道化師,魔少女しゃん、ちょっと二人にしてあげよーうひゃ
魔少女,……ぅん
魔王,……
女側近,……
魔王,女側近さん……ごめん……ぅぅ……
女側近,魔王様、自分を責めないでください。これは命令では無く、私の判断で精霊薬を飲みました。魔王様が心を病む必要はありません
魔王,命令とか、判断とか……そんなんじゃないよ
女側近,……
魔王,女側近さんが光を失ってしまったことが悲しい……
女側近,……魔王様は
魔王,……
女側近,魔力の流れをご存知でしょうか？。魔力というのは至る所に存在し、空気のように空間に漂っています
魔王,え？……？
女側近,強い魔力は瘴気のように視覚化します。しかし、見えなくとも何処にでも存在し漂い、流れています
魔王,……
女側近,私はその魔力の流れを感じることが出来ます。例えば……。部屋の扉の向こうで、魔少女とピエロが聞き耳を立てているですとか。そこの窓際でしょうか？小鳥が二羽とまっていることですとか
魔王,……っ！
女側近,慣れれば戦うこともできるでしょう。だから……。そんなに生活に困ることはありません。大丈夫ですよ
女側近はニッコリ微笑んでもう一度,大丈夫ですよ
女側近,魔剣は手に入りました。後は人間と和平を結べばゲートを閉じることが出来ます。ここまで来れたのは魔王様のチカラです
魔王,うん……
女側近,あと少しです。城へ帰りましょう
魔王,そうだね……迎えは魔伯爵さんに頼もうか？？
女側近,？……なぜでしょう？
魔王,……いや、だって……危険な目に遭ったし、目のことも言わなきゃだし
女側近,魔王様……何かを勘違いされているような……
魔王,あ、魔伯爵さんから直接聞いたんだ！幼馴染で許嫁なんでしょ！もー言ってくれれば、遠距離恋愛にならないように……
女側近,あ、あの！
魔王,……はぃ
女側近,ご、誤解でございます。魔伯爵は確かに幼馴染で兄のように慕ってはおりますが……恋人ではありません
魔王,……いや、だって最果ての町の泉のほとりで見たよ
女側近,アレは……魔伯爵が一方的にしてきたこと。私は彼と番になるつもりはありません
魔王,そ、そうなの……？なんで？？
女側近,魔伯爵には許嫁が何人もおりますので、私である必要がありません
魔王,えーーーー？！？。何人もいるって……そんなハーレムみたいな
女側近,これが側近一族なのです……
魔王,……
女側近,私は魔伯爵より強かったので拒否権がありました。この私は魔王様に尽くすのみでございます
魔王,な、なーんだ。ボクの勘違いだったのかぁ
女側近,はい
魔王,なんだか……わからないけど。嬉しい……なんでだろ。はは
女側近,私も……。嬉しいです。誤解が解けたからでしょうか？分かりませんが
魔道化師,うひゃ……鈍感同士、もどかしいひゃ
魔少女,うん。でも、よかった……
魔道化師,よかったのか？
魔少女,愛する者の幸せを願うのは当たり前でしょ
魔道化師,いてっ！。魔少女しゃん切ないな。オイラが慰めてやるよー
魔王,えーーーー？！？。め、冥都が襲撃された？！
魔族兵,はい、すぐに城にお戻りいただくよう魔執事様から迎えを命じられました
女側近,襲撃はいつ？城は大丈夫なの？！
魔族兵,襲撃は７日前です。城に被害はありません。詳しいことは城に戻ってからお伝えします。転移魔法陣は魔界全土、再起動させてあります
魔少女,じゃすぐ戻れるのね！
魔道化師,うひゃ、急ぐぞ！
魔執事,魔王様、ご無事でなにより。やっとお戻りっー訳っすね、おかえりなさいませ
魔王,魔執事さんっ……状況は？！
魔執事,いや、やばかったっす。城に被害はねぇっすけど……スラム、第１、第２層はほぼ壊滅状態、第５層にも被害があるっす
魔少女,下位層が……
魔王,か、母さん
女側近,詳しく
魔執事,っーわけです。人間達を引き連れていたのは、以前黒魔城まで攻めてきた“あの時の勇者”
勇者,あの……転移魔法陣で飛ばした人間？！
魔王,あの少年勇者が言っていた“帝竜”という勇者……今回の襲撃は少年勇者は知ってたのだろうか？。今度は城じゃなくて街を襲った……？なんで？
魔執事,魔王様をおびき寄せる為っ……すかね？
魔王,やはりボクがいないのを知っていたのか？
女側近,よく勝てたわね……
魔執事,倒したのは俺じゃなくて
魔伯爵,倒したのは我デスよ
女側近,伯？！
魔王,魔伯爵さん！どうして冥都に……人間界へ戻ったんじゃ？
魔伯爵,人間達の不穏な情報を耳にしましてね、冥都へ戻ってみたのデス。結果、勇者達を迎え撃つことができました
魔王,そうかぁ……ありがとう。しかし、下位が……
魔執事,魔王サマのお母様は無事っすよ。護衛をつけていたので
魔道化師,く、黒のサーカス団は？！
魔執事,残念だが………
魔道化師,－－－っ！！
魔王,ピエロっ！。なんで……こんなことに
魔伯爵,魔王サマ、こちらへ。こちらをご覧ください。ご存知デスよね？
魔王,……！
魔伯爵,“帝竜”の勇者に間違いないデスか？
魔王,うん……
魔伯爵,そうデスか。後は、裏切り者の黒魔術師さえ捕まえれば、魔界の脅威は無くなりマスね
魔王,下位の被害は？
魔伯爵,かなり大きいデス。はっきり把握出来てはおりませんが、恐らくは最下層、2層は80%ほどは破壊されたかと
魔王,－－ッ
魔伯爵,第5層の被害は大したことありません。ご安心を
魔王,ボクが……。ボクが……冥都の守りを手薄にしたせいだ……
魔伯爵,今魔王軍を総動員して復興作業にあたっていマス。一番奥の部屋にお母様がおられマスよ
魔王,うん……。母さん……
魔執事,被害が下位だけだったのか幸いっすね
魔王,……
魔伯爵,復興自体はそれほど問題ないでしょう。ただ問題が
魔王,問題？
魔伯爵,今回の件で民の人間達への憎しみが非常に強くなっておりマス。この状況では和平はかなり難しいかと
魔執事,それと部下幹部達の魔王様への不満もかなり深刻っすね……和平に反対の声が
魔王,……ボクがチカラのない“魔王”というのも知れ渡ってしまったから、余計に
魔伯爵,魔剣はどんな具合デスか？
魔王,使い方の問題なのか？わからないけど、ボクには使いこなせないみたい……
魔伯爵,そうデスか……
魔王,“帝竜”の脅威がなくなったから良かったけど
魔執事,帝竜？
魔王,あ、魔伯爵さんが倒してくれた勇者のこと。あ……。そういえば女側近さんは？？
魔執事,失った視力を戻せないか、医者に診てもらってますよ。まぁきびしーっつうのは分かってますがね
魔王,そうだよね……。前に女側近さんが言ってたっけ。せっかく魔剣を手に入れたのに。危険な状況だよ。こんな状況で人間と和平するなんて言えない。いったいどうしたら？。ボクは魔王だ。父さん、何でボクに“魔王”を継ぐように遺言を残したの？。ボクに魔力が無いのは知っていたんでしょ？。何で？。ボクはこの仕事を全うしたい。戦争を終わらせる。沢山の犠牲があったけど……やはり人間との和平が正しい選択だと思う。その為には……。成し遂げるには必要なんだ。ボクの役目なんだ……。ボクの代わりに“魔王”になってくれ。キミに“魔王”の座を譲ろうと思う
魔伯爵,魔王サマ……
魔王,頭のいい魔伯爵さんなら、ボクが何故この結論に至ったか分かるよね？
魔伯爵,………戦争を終わらす為。ゲートを閉じる為デスね
魔王,そうだよ。冥都でのボクの支持はかなり低い。人間の襲撃を防げなかったこと。ボクにチカラがないことが原因だ
魔伯爵,……
魔王,魔伯爵さんはチカラもあるし、今回の人間達を倒したことで冥都の救世主として、民や部下達から絶大な信頼を得たと思う
魔伯爵,滑稽な思考デスよ。何かあるとすぐに誰かの責任にしたがる。悪を決めると、その反対の正義を祭り上げる。集団心理とは愚鈍の極みデス
魔王,ボクが和平や停戦を命令しても、魔界情勢は悪くなってしまう。最悪、反乱が起こるかもしれない。ボクは責任を取って生前退位する。魔伯爵さんなら戦争を終わりにすることができる……。ボクの代わりに“魔王”になってくれ
魔伯爵,……我が“魔王”に……
魔界の根本理念,弱肉強食」「絶対的上下関係
魔王,ボクの代わりに“魔王”になってくれ
魔伯爵,魔王サマのご意志を持って新たな王となりマス。……かしこまりました
魔王,うん……。魔剣だよ。これは“魔王”しか触れることが出来ない。解放したから、もう暴走することもないよ
魔伯爵,……
魔王,こんな剣を持てても王として……ボクは何も変えられない。民の気持ちや兵士達の信頼、そっちの方がよっぽど重い。キミこそ王として相応しい。この魔剣と共に王位を託します。受け取ってください……
魔伯爵,……はい。魔剣……これで我が
魔王,……
魔伯爵,“魔王”だ……
魔王,……残念だよ。魔伯爵さん
魔伯爵,？。これは……魔剣ではない？！！
魔王,キミが黒幕だったんだね。それは魔剣ではなく、エルフさんに作ってもらった呪いの剣
エルフ,おぬしの魔法は封じ込めた。この結界も特別仕様じゃ
魔執事,……オメェを尊敬していたのにょ
女側近,……伯
魔伯爵,……
魔王,キミの策略は終わりだっ！
魔伯爵,最初から……我に“魔王”の座を譲る気など無かった
魔王,うん……ごめん、ハッタリだよ
魔伯爵,我が裏切り者ということデスか？なぜ？
魔王,ずっと分からなかったよ……側近が裏切るとは考えもしなかった。最初に違和感を感じたのは……帝竜の勇者。帝竜とは、あの勇者の人間界の通称だ
魔伯爵,……それが？
魔王,ボクは少年勇者から聞いていたから知っていたんだけど、魔伯爵さんは彼を倒した時、自分で帝竜と口に出した
魔伯爵,……
魔王,それは前から彼を知っていたということ。そう考えると辻褄があうことが沢山あったんだ。少年勇者が知っていた情報だ。ゲートのある浮遊島を出た後、襲撃する計画。女側近さんの氷属性を打ち破る装備。そして、ボクが下級魔族であることを想定した作戦。少年勇者はもう一人の裏切り者である黒魔術師から情報を得ていた。黒魔術師は当然ボクらの位置や女側近の氷属性を知っていただろう。でもね。ボクがチカラのない下級魔族というのを知っているのは、一緒に旅した魔少女、ピエロと側近の3人だけだ
魔伯爵,……魔執事にも同じことが出来たと思いマスが？
魔王,いや、魔執事さんは帝竜の勇者に殺されかけた。それに帝竜という意味を知らなかった
魔伯爵,女側近では？
魔王,彼女はずっとボクと一緒にいた。そもそも、魔王の座を狙っているならボクを殺して部下全員を従わせればいい。先代魔王様がいなくなって彼女が魔界最強。こんな策略する必要がない
魔伯爵,……なるほど
魔王,だからキミが裏切り者だ
魔伯爵,……魔王サマ
魔王,……
魔伯爵,我は裏切っていません。何かの間違いデス、信じて下さい
エルフ,嘘じゃ。エルフには嘘は通じん。観念しなされ
魔伯爵,ククク……ハハハッ
魔王,覚悟したよ
魔伯爵,ではどうするのだ？戦いの嫌いな坊ちゃん魔王が我を殺すことが出来るのか？
魔王,キミを殺すよ。戦いは嫌いだけど、秩序は必要だ。キミの罪は重過ぎる
魔伯爵,ククク……下級魔族が偉そうに
魔王,みんなっ！行くよっ！
魔伯爵はマントの奥に無数の剣を隠し持っていた。あの,帝竜
魔伯爵,あの訓練を思い出す。なぁ女側近
女側近,なぜっ？！なぜ裏切ったの？！
魔伯爵,キミには分からないよ。考えるのを放棄したキミにはね
女側近,先代魔王様を尊敬していたんじゃないの？！その意志を……
魔伯爵,尊敬していたさ
女側近,はあぁぁぁっ
魔伯爵,ほぅ……よし、2本目。尊敬していたからこそだ。先代魔王様の弱肉強食という教えを、我は体現したまで
女側近,魔王様が弱いから裏切ったと？
魔伯爵,そうだ。キミも弱肉強食こそが魔界の在り方だと思っていたはずだ。強さ……強さが全てだ！
女側近,強さ……とは、戦闘力だけではない。そう教えてくれたのは貴方よ
魔伯爵,その通りだ。だからこそ、我が王に相応しい
女側近,魔王様の強さを、貴方は知らないだけよ
魔伯爵,弱いさ。キミも弱い……視力を失ったせいか？動きが鈍いぞ
女側近,では止めてみせろっ！はあぁぁぁっ！
魔伯爵,ふん、こちらの視界も奪い奇襲するつもりか。次、姿を見せたら仕留めてやる
魔執事,うらあああああっ！！
魔伯爵,なっ！！
魔王,やった。作戦通りだ。女側近さんの視力が無くなったせいで、魔界で1番強いのは魔伯爵になってしまった。そこで、エルフさんが造った呪い剣で魔法を封じ、女側近さんが剣技で時間を稼ぎ、その間に魔執事さんが弱点の火属性魔法を詠唱する
女側近,まだです……まだ仕留めていません
エルフ,ほれ
魔執事,次は仕留めるぜ
女側近,伯……
魔伯爵,く……我を殺すのか？
女側近,魔王様の命令は絶対です
魔伯爵,そうか……。では……3本目
魔執事,ぐあああ……
魔伯爵,4本目
エルフ,が……あああああっ
魔伯爵,5本目
女側近,きゃあああっ……
魔王,え？？
魔伯爵,さぁ１対１だ。ラストバトルを始めようか。ククク……
魔王,……
魔伯爵,なぜ？と言った顔だな
魔王,剣が……？？
魔伯爵,これは魔法ではない。“念道力”。触れずに物を動かす能力だ。優れた戦士や武道家は、攻撃の際に衝撃波や波動を放つことが出来る。我はそれを研究し、自ら応用し使用することが出来る
魔王,な、なんだよそれ……
魔伯爵,弱肉強食……魔界の根本理念であり、全ての在り方だ。その強さとは“魔力”。お前自身よくわかってるだろうが、魔力が強いか弱いかによって、その人生は順位付けられ、勝者と敗者、上か下か、全てが決まる。その圧倒的頂点にいたのが、お前の父……先代魔王様だ
魔王,父さん……
魔伯爵,先代魔王様のあまりに強過ぎる魔力は、何千年かかっても超えられるものではなかった。そこで我は考えた。魔力以外のチカラで対抗できないだろうか？。考えたよ。どうすれば先代魔王様に勝てるか……そこで目をつけたチカラが“念動力”だ。この念動力は魔法魔力によるものではない。魔法を封じられても、魔力を使い果たしても使える。優れた魔族は周りに漂う空気中の魔力を感じ取り、相手の行動を把握、先読みし戦う。女側近が戦えるのはその為だ。しかし、念動力は魔力を使っていないので先読みが難しい。何より視力のない女側近には“念動力”の攻撃はまったく認識することができん。今はまだ剣3本を動かせる程度だが、奇襲や不意をつけばこの通り。魔法を封じられても女側近に勝てる
魔王,女側近さん……。……
魔伯爵,我が“魔王”となる！
魔王,くあああぁぁ……
魔伯爵,貴様に敬語を使うのがずっと苦痛だった
魔王,はぁはぁ……
魔伯爵,甘ったれた王政にもウンザリしたよ。だから、上手いこと勇者を使って最下層とスラムも掃除してやったんだ……一石二鳥だったろ。なんだ？その目は？下級魔族め身の丈を脇わえろ
魔王,それがキミの本音か……はぁはぁ。ぐはぁ。はぁはぁ……
魔伯爵,ククク……なんだ？その剣で戦うのか？
魔王,そうだ
魔伯爵,ククク……ハッハハハハ！笑わせる
魔王,言ったはずだっ！覚悟は出来ていると
魔伯爵,ふん
魔王,ボクが……キミを殺す覚悟だっ！。が……が……
魔伯爵,？
魔王,ががが……来い……魔剣。ががががががががががががががががががががががががががががあぁぁぁ
魔伯爵,な、なんだ？！。まさか……魔剣を使えるというのか？
魔王,がががが……ぢがゔ。魔げんがボグをづがゔんだ。ががあぁぁぁっ！！！！
魔伯爵,？。？！
魔王,カラダ……カラダ……｣ﾆﾔ338:◆Ks1JsTemxeE/2017/05/13(土)00:39:2985ID:D5l3WST1O魔伯爵は浮遊剣で攻撃！ビュッッンッ魔王（魔剣っ！避けてっ。あいつを殺すんだ
魔伯爵,速過ぎる……これが魔剣のチカラだと言うのか？
魔王,いけっ！魔剣っ。グアアあぁ
魔伯爵,くっ。ぐああああっ
魔王,カカカ……タタカウタタカウ
魔伯爵,く……
魔王,カカカカ……イイゾ、コロス、コロス
魔伯爵,なんて攻撃だ、5本の剣でも防ぐので精一杯
魔王,モットタノシマセロ……カラダカラダ……ラダ
魔伯爵,くそっ！
魔王,カカカカァッ。いけるっ！
魔伯爵,強い……認識し直そう。貴様を甘く見ていたようだ
魔王,ア？
魔伯爵,自由は目の前にある。我こそが“魔王”だ
魔王,戦争を終わらす！それが“魔王”として為すべきことだ。ボクは負けるわけにはいかないっ！。カカカ
魔伯爵,はあああっ
魔王,魔剣っ攻撃だ。カカカ……タノシイ
魔伯爵,ハッ
魔王,魔剣っ！なんで攻撃しないんだ？！。ウルサイッウルサイッ
魔伯爵,？
魔王,ジャマスルナ、モットタノシマセロ。言うこと聞いてくれない。ガアアアアアアッ。……カカカカ
魔伯爵,くらえっ。効かないのか、ならば。これならどうだ……
魔王,っ！！
魔伯爵,女側近の命が惜しければ魔剣を捨ててもらおうか
魔王,カカカ……シラン
魔伯爵,ぐああああああっ
魔王,やめろっ魔剣！。ウルサイ、ダマレ。やめろっ魔剣！女側近さん達に当たっちゃうっ。カカカカッ
魔伯爵,くそぉぉおおっ
魔王,カカカカッシネェ。グアアアアアアアアアアアアアアアァァァァッッッ！！！！
魔伯爵,ぐぁ……ぁ……
魔王,カカカカカカカカッ！！！。地獄だ……戦いなんて真っ平だ。魔剣、とどめをっ。ウットウシイナ……オマエ。魔剣……言うことを聞かないなら身体は返してもらうぞっ。イヤダ。ボクの許可なしでは身体は使えないっ！言うことを聞かないなら二度と外には出れないぞ。……カラダカラダ。わかったらトドメをさせ！。ジャマスルナアアアアッッ。ココカラダセェェッ。ダメだ……封じこめよう。ぐああああああああぁぁっっ！！！。はぁはぁ……。痛い……痛い痛い……でも。トドメを刺さなきゃ
魔伯爵,ぐぞぉぉ……
魔王,ぐぅ。はぁ……はぁ……戦いは……これで終わりだ
魔伯爵,ぐ……
魔王,平和な魔界を……造るんだ……はぁ……はぁ……
魔伯爵,弱肉強食の世界……貴様が我を殺すのか
魔王,……ボクが世界を変える
魔伯爵,変わら……ないさ……先代魔王様の言った通りだ。強き者が頂点に立つ
魔王,……
魔伯爵,戦いはなくならない
魔王,……
魔伯爵,それが先代魔王様の望んだ世界だ
魔王,ちがう。父さんは……先代魔王様は魔法の使えない、戦えないボクを“魔王”にした
魔伯爵,……
魔王,確かめることはできないけど……きっと。戦いのない世界を望んだんだ
女側近,魔伯爵にとっては用済みでしたので、すでに殺されてしまったと考えるのが妥当かと
魔王,そうかな
女側近,少年勇者ですが……1人で人間界に帰してしまって大丈夫だったでしょうか？
魔王,うん。彼は人間の王に和平を受け入れるよう説得すると約束してくれた。それを信じるよ
女側近,我らに捕まった状態ではそう言うしかないでしょうから……再び仲間を引き連れて攻めてくるかもしれません
魔王,和平とはお互いの信頼がないと成立しないもん。まず、こちらの信用を見せないと
女側近,……
魔王,？……変？。正しい選択だといいんだけどなぁ
女側近,そこが、先代魔王様と最も違うところですね。魔王軍の兵は人間界の魔大陸へ派遣しました。前線から引いておりますが、何かあれば、すぐ侵略出来ます
魔王,人間達にしてみれば……物凄い兵力が睨みを効かせられた状態で“和平”を持ちかけられる。信用っていっても結局脅しに違い……。それでも、お互いにとって戦争を終わらすことが最善。きっと人間達もわかってくれる
女側近,魔王様、少年勇者が人間界より戻りました
魔王,うん、いよいよだ……通して
女側近,かしこまりました
少年勇者,よう、魔王。ちゃんと俺っち1人で戻ってきたぜ
魔王,待ってたよ、どうだった？
少年勇者,うにゃ、あせんなって。人間界は王が沢山いるから揉めまくったよ、でもちゃんと決まった。手紙を預かってきた。これが人間の王達の結論だ
