ギルドの偉い人,つうわけでゴア・マガラ倒してきてね
城島,これは長瀬が教えてくれた乗り攻撃や！
長瀬,リーダー…！
ゴア・マガラ,オオッ！？グルオオ！！！？
城島,残念やな！今回はお肉食べてきてスタミナは万全や！これは山口が教えてくれたんや！そう簡単には振り落とされへんで！
山口,リーダー…
城島,それ！もう一息や！
ゴア・マガラ,グルオッ！！
太一,ニャー(リーダー！やるときはやるって思ってたよ！！)
AKIO,上出来だあ
城島,昭雄さん！今です！！
AKIO,任せろ
ゴア・マガラ,グルアアアアア！！
山口,よし！角をへし折ったぞ！！
AKIO,よし
城島,さすがです昭雄さん！僕も…鬼人化！！。うおおおおおお！！！
ゴア・マガラ,グルオオオオオ
城島,…！！。これが鬼人強化状態やな！みなぎるでぇ！！
AKIO,もう少しだあ。トドメは筆頭リーダーさんに渡そう
城島,昭雄さん…！ありがとうございます！！
山口,いっけえええリーダー！！！
長瀬,リーダーかっこいいよ！！
太一,ニャー(リーダー！)
城島,そしてこれが…
山口,あ、あれは
城島,松岡が教えてくれた…。モドリ玉だああああ！！！
長瀬,
太一,
山口,ははっ、リーダーらしいや
松岡,リーダー達大丈夫かな…。うわっ！びっくりした…ってリーダー！？
城島,なんか良いところで間違えたわ…
松岡,間違えたって…モドリ玉ってこんなところまで戻れるもんなの？
城島,なんか戻れたわ…
松岡,そ、それより皆は…！？
城島,ああ、昭雄さん居るし大丈夫なんちゃう…？
松岡,そ、そうっすか(明らかにテンション下がってるなあ)
看板娘,おーい！
松岡,…！あれは
城島,山口！長瀬！太一！…それに、昭雄さんも！
AKIO,ふう
長瀬,リーダーいきなり消えるからびっくりしたよ！
山口,なんかやらかすとは思ったけど…あそこまでとは
太一,ニャー(リーダーはやっぱリーダーだね)
城島,あんま言わんといてや…。あれ？これ戻れへんの？
太一,ニャー(ダラ・アマデュラ倒したら戻れるかもね。リーダーなら余裕でしょ？)
城島,はよ土いじりしたいなあ…。え？ゴア・マガラ？なんやそれ
