道具屋,全部で２万ゴールドになります
末姫,この星神の冠は、魔法効果を打ち消す効果があるの。どうよ、賢いでしょ！
王子,冠の効果を知っていれば普通に考えつく手段だと思うがな……
末姫,ええぇー
王子,まぁお前にしてはよく頭が働いた方だ
末姫,えへへー
うさぎ,……
王子,？どうした、うさ
うさぎ,フンッ！
王子,いたっ
末姫,お兄様…モテモテだね
王子,？？？
末姫,この通路の先に魔王がいるって神器が訴えてる～！よーし追い詰めたぞー！
うさぎ,可哀想に…今頃怯えてるだろうなぁ、魔王
王子,ここから先はお前と仲間で進め。俺たちは足を引っ張るだけだ。大丈夫だよな、うさ？
うさぎ,うん、もう罠の気配はないよ
末姫,おっけー♪避難しといて、お兄様！じゃあ皆、気合入れて行こーっ！
王子,さて戻るか……
うさぎ,……ん？何か、フロア全体が…
王子,どうした、うさ？
うさぎ,こいつぁーヤバい！早く避難しなきゃ！
王子,まさか罠か！全員、うさを追うぞ！
うさぎ,！！！。いてて、うーん……。あちゃー、はぐれたか。魔物を避けながら探すか……。！！
悪魔,よ～ォ、うさぎ姫様？今まで、よくもやってくれましたねェ？
うさぎ,うげげ……私狙いかよ！
悪魔,お前のせいで、魔王様があの化物勇者にブッ殺される。俺たち魔物は、新たな魔王が現れるまで、また何百年も待つ羽目になるわけだ
うさぎ,部下に負け予想されてる魔王って……あいや、末姫相手なら仕方ないけど
悪魔,忌々しい血族の血は、１７年前に絶やしたと思ったが……
うさぎ,？
悪魔,まさか、その末裔が生きてたとはなあぁ！！だが今度こそ、その血を絶やしてやるよおォ！
うさぎ,ひいぃーっ！。ヤベェのに目ぇつけられたーっ！怖い怖い！
悪魔,待てやァーっ！！
うさぎ,あいつも素早い！逃げ切れんの、これ！？
悪魔,オラァ！
うさぎ,ぎゃっ！。死ぬんかい、私……。けど――
悪魔,覚悟したか…
うさぎ,せめて死ぬ前に……
悪魔,死ねや――」ｺﾞｵｵｵｫｫﾝ「ゲファッ！？
うさぎ,！？
黒うさぎ,間に合いましたね
うさぎ,う、うさぎ一族！？
悪魔,いてっ、いてぇっ！
黒うさぎ,大丈夫でしたか、うさ様
うさぎ,あ、ありがとう…。助けに来てくれたの？
黒うさぎ,貴方様だけを危険な目に遭わせるわけにはいきませんからね
うさぎ,でも、うさぎが集まって勝てる相手じゃないと思うんだけど……
黒うさぎ,ぬかりはありません
うさぎ,え？
王子,待て待て～、うさちゃん達ぃ～
うさ三等兵,例の男を連れて参りました！
うさぎ,お、王子！
王子,んなっ！？うさちゃんズが魔物を攻撃している……！！
悪魔,このうさぎ共、いい加減に……
王子,うさちゃんズに手を出すなあぁ――っ！！
悪魔,グハァ！！
うさぎ,王子ぃーっ、ナイスイケメン！
王子,あ、うさ！無事だったか！
悪魔,チッ、勇者の血縁の者か…。そのうさぎを消す邪魔をするなら、テメェも消すぞ…！
王子,…
悪魔,！？
王子,ちっ、討ち損ねたか
悪魔,何の迷いもなく殺しにかかってきたな…！？
王子,うさぎの敵は俺の敵。何を迷う必要がある
うさぎ,流石うさ萌え男、ブレねーな
王子,覚悟ォ――ッ！！
悪魔,くっ
王子,やるな…！
悪魔,こっちの台詞だ！
うさぎ,剣と爪の打ち合い…実力は互角か
黒うさぎ,あれでは、王子殿の方が不利ですね
うさぎ,え、どゆこと……
悪魔,こうなったらぁっ！
王子,っ、上空に逃げたか
悪魔,逃げたわけじゃねぇよッ！！
王子,！！。くっ……！
黒うさぎ,奴には、翼がある…
うさぎ,猛スピードの急降下での、切り裂き！？あんなん、どうやって防ぐんだよ！？
悪魔,何度でも行くぞオォッ！！
王子,またか…！
黒うさぎ,狙うタイミングがあるとしたら、上昇中ですかね
うさぎ,王子の遠距離攻撃は私が知る限り、魔法を吸収しての放出のみ。けど悪魔は攻撃魔法を使わないから、その手段が取れない…！
黒うさぎ,我々も援護のしようがありませんね…
うさぎ,何かないか、何か……！。あ、あれは…！
悪魔,オラアァ！！
王子,がはっ！！
黒うさぎ,なるほど、あれを使って…
うさぎ,……無理だ！この体じゃ……
黒うさぎ,うさぎの体では…ということですか？
うさぎ,うさぎの体じゃ力が足りない、どうすれば…
黒うさぎ,ならば――
うさぎ,………え？
悪魔,４回も耐えるとはなァ。見た目に反して、頑丈じゃねぇか
王子,一応、子供の頃からあの末姫と兄妹喧嘩してたからな……！
悪魔,だが、いつまでも持ちはしねぇだろうなァ！よっしゃ、もう１回行くぜぇっ！！
王子,ぐ……。――えっ？。――
悪魔,――え？
盗賊,これぞ、壁ドン矢発射トラップ。どうよ！
王子,盗賊……？
黒うさぎ,"擬人化の術"というものが御座います。これを貴方に使えば、貴方は人間の姿になるでしょう
うさぎ,やって、それ！
黒うさぎ,本当に構いませんか？…正体がバレますよ
うさぎ,あぁ、構わないよ！。とにかく王子を助けることが最優先だろ！
黒うさぎ,了解しました。では…擬人化の術ッ！！
悪魔,バカな……
王子,……。その首のリボン……
盗賊,ん？
王子,俺がうさに結んだものだ……
盗賊,……うん
王子,うさの正体は――盗賊、だったのか？
長老うさぎ,ちょっと違あぁう！！
盗賊,うわぁ！？
王子,うさぎが喋った！？
長老うさぎ,ワシはうさぎ一族で唯一、人語を話せるのじゃ。２人とも、よーやったのぅ
王子,口調からして恐らく年寄り…！けど可愛い……！
盗賊,うさ萌えバカめが
長老うさぎ,王子殿、我らの姫を守ってくれて感謝じゃ
王子,姫？うさ…じゃなくて、盗賊が？
盗賊,ん？
逃げるのに必死で深く考えなかったが、自分に,忌々しき血族の末裔
盗賊,どういうこと？
長老うさぎ,先ほど、王子殿は言ったのう。うさ姫の正体が盗賊、と
王子,あぁ、言ったな
長老うさぎ,逆じゃ。盗賊の正体がうさ姫、ということじゃ
盗賊,……へ？
王子,ん？
長老うさぎ,覚えておらんのも無理はない。うさ姫に擬人化の術をかけたのは、まだ姫が赤ん坊の頃じゃ
盗賊,え…えっ！？っつーことは私は……
長老うさぎ,うさぎの姿こそ本来の姿じゃ
盗賊,ちょっと待て、意味わかんない！何で、どゆこと、私は何！？
王子,すまない、順を追って説明してくれないか
長老うさぎ,わかった。あれは１７年前じゃ――。我々は魔物に立ち向かうこととなったが、正直、勝ち目はほとんど無かった。だから、せめて幼き姫だけでも魔物の手から逃れられるよう、擬人化の術をかけたのじゃ
盗賊,それが、私……
長老うさぎ,魔物に勘付かれてはいけないので、我々は擬人化してからの姫をお守りすることができなかった…。しかし、ご立派に成長されたようで…これほど嬉しいことはないのう
王子,何故、魔物達はうさぎ一族の王の血筋を狙ったのだ？
長老うさぎ,それは代々、王の血筋に受け継がれている力のせいじゃよ
盗賊,代々、受け継がれている力……？
長老うさぎ,そう。それは、いかなるダンジョンの攻略法も見抜く特殊能力じゃよ
盗賊,……！！。それじゃ私がダンジョン探索を得意としていたのも、うさぎになってからその能力に磨きがかかったのも…
長老うさぎ,王の血筋の力、じゃな
盗賊,なるほどね…。でも何で擬人化の術が急に解けたんだろうな？
王子,星神の冠のせいじゃないか？ほら、末姫が言っていただろう
盗賊,え？えーと……
末姫,この星神の冠は、魔法効果を打ち消す効果があるの
盗賊,………あ
王子,星神の冠が擬人化の術を解いてしまったのだろうな。そうか…うさは盗賊だったのか
盗賊,な、何だよ。ガッカリした？
王子,まさか。ずっと、君の件について後悔していたのだ。だが、君は生きていた。それだけで俺は嬉しい
盗賊,～っ、こいつはまた、こういうことをサラッと……。か、かっこつけてんじゃないっての！うさぎの前では"あんなん"なるくせにさぁ～！
王子,………！！
盗賊,あ、こいつ今更気付いたか、自分が恥晒したことに……
王子,うわああああぁぁぁぁ！！
盗賊,！！？崩れ落ち……
王子,死ぬしかない死ぬしかない死ぬしかない…あんな姿をバラされるくらいなら死ぬしか
盗賊,バラさねーから！！落ち着けよ、な、な！？死ぬな！？
王子,ほんとだな！？な！？
盗賊,マジで見てはいけないモンだったんだな、あの姿は…
長老うさぎ,さて。これは先ほど、一族全員で話し合ったことなのじゃが…
盗賊,ん？
長老うさぎ,またいつか新たな魔王が現れ、我々一族を襲うじゃろう。だが、時代の流れと共にうさぎ一族と魔物の実力差は開いていき、次こそ本当に一族は滅ぼされかねん
盗賊,そうだね…
長老うさぎ,じゃが、王の血筋に代々受け継がれている力だけは守っていかねばならぬ。そこで、姫様や
盗賊,はい？
長老うさぎ,姫様には、より強い種族の者と子孫を残して欲しいのじゃ
盗賊,それって……
長老うさぎ,そうすれば、より強い子孫にその力が受け継がれていく。…姫様には、相手もおるようじゃしのう？
王子,……
盗賊,ち、ちちち、ちげーし！！王子はそういうんじゃないしぃーっ！！
長老うさぎ,わしは王子殿とは言っておらぬが？
王子,……っ
盗賊,ハメやがったな、このジジうさぎ……
長老うさぎ,ちょろいのう、姫様や
盗賊,だ、駄目だよ！だって王子は中央国の王子様なんだよ！色々と、しがらみのある立場だし……
王子,いや、俺は第三子だしな。割と自由になるぞ
盗賊,あ、いや、そういう問題じゃなくて
王子,それに君はうさぎ一族の姫君。身分的にも、問題はないだろう
盗賊,いや、だから、そういう問題でもなくて……
王子,…なら、こう言えばいいか？
盗賊,――え？
王子,――君に恋をした。君が良ければ、交際から始めないか
盗賊,！！！。な、何で……？
王子,こういうのは理屈ではなく、感覚的なものだからな…。まぁ１番は容姿か
盗賊,私、育ちは悪いし品のない女だよ！？きっと、王子に沢山恥かかすよ！？
王子,こちらは、既に恥を晒しているしな……
盗賊,あ、あと…えっと……
王子,君の気持ちは？
盗賊,…え？
王子,君にも選ぶ権利がある。俺など嫌なら、そう言ってくれればいい
盗賊,…また、そういうこと言う。……後悔しても知らないからな。私、尻に敷くぞ
王子,構わん。知っての通り、俺は好きな相手には割と被虐的なのだ
盗賊,恥の部分、既に開き直ってんな！
王子,もっと俺を知って欲しいからな。嫌か？
盗賊,…嫌なわけない。そういうとこも含めて、あんたのこと、その……
王子,ん？
盗賊,……何でもない！！
王子,？
長老うさぎ,いやぁ、初々しいのう
王子,そうと決まれば城に帰るか。白兎騎士団の者はもう城外に避難を済ませているはずだ
盗賊,あっ
王子,うさぎ一族も来るがいい！全員、城で世話しよう！。ああぁ…うさちゃん達が群れをなして俺の後をついてくる……
盗賊,おい。…まさか、うさぎ目当てで私に交際を申し込んだ？
王子,安心しろ、それは理由のひとつに過ぎん！
盗賊,安心できるかあぁ！！
長老うさぎ,おや
盗賊,どうした？
長老うさぎ,上の階での戦闘音が止んだ。どうやら、勇者殿が魔王を討ち取ったそうじゃぞ
盗賊,あ。……完っ璧に、魔王戦のこと忘れてた
王子,今日はめでたい日だな。しばらくは祝いが続くぞ
盗賊,お、美味しいもん食べれる！？
王子,あぁ、勿論だ。君は食いっぷりがいいからな
盗賊,に、人間になったら自重すっし！うさぎの時と違うしー！
王子,そうかそうか
盗賊娘,ハンターラビット
