周りの人々,キャーお助けえー頃されるー
美希,すまーとれでぃにならないかって言われたけど、てーちょーにお断りしてきたの！
P,うん、お前はうちのアイドルだからな
美希,えへへ、ミキえらい？
律子,はいはい、無駄話はそれくらいにして。今日は雑誌の記者とカメラマンさんが来るからしっかりやってね
P,はい社長。どうぞー
門矢士,カメラマンの門矢士だ。お前ら、写真を撮らせろ
夏みかん,士くん、失礼ですよそんなこと言ったら！
P,わあ、なんだか変な人達だなあ。アハハハハハ
鳴滝,アイマスの世界もディケイドに破壊されてしまった……！
響,うぎゃー！プロデューサーがオルフェノクだったぞー！
