シャーリー,何の為に？
ルルーシュ,尋問をした機間の人間は知らなかったが、恐らく涼宮ハルヒのその力はギアスによるものだろう。何か心当たりはあるか？
C,ないな。少なくとも私は女と契約した事など一度もない
ルルーシュ,では別の契約者がいるという事か･･･。まぁいい、そいつも一緒に篭絡してやる
C,なるほど、お目当ては涼宮ハルヒの力だったか。だから嫌々SOS団の活動に参加していたというわけか
ルルーシュ,あいつのギアスがあれば、日本の開放もブリタニアの破壊も洗脳次第で容易に達成できるからな。藤堂以上に得難い存在だ今思えば、俺があいつに将棋で勝てなかったのは当たり前だったんだあいつが勝ちを望んでいた以上、俺に勝ち目などハナから無かったんだからな
C,篭絡するのは簡単だろう。お前が先にギアスをかければ済む話だわざわざ団の活動に参加する必要は無いんじゃないか？
ルルーシュ,勿論最終的にはあの女にギアスをかけるつもりだ。だがその前に、それの妨げになるであろう障害を何とかしなくてはならない
C,機間か？
ルルーシュ,機間だけじゃない。聞けば長門有希と朝比奈みくるも涼宮ハルヒの監視や保護を目的として存在しているようだからな。少なくとも三つの勢力を無力化してからでないと、あの女には手を出せない
C,その連中もギアスで操ってしまえばいいだろ
ルルーシュ,機間はかなり大きな組織だ。それに長門有希のように涼宮ハルヒの監視を目的とした宇宙人は数多く存在している。そいつら全員にギアスをかけろと？未来人の一派など、その規模を考えるだけで頭が痛くなる
C,全員殺すよりは時間はかからんと思うがな
ルルーシュ,下手に手は打てないさ。何しろ相手はブリタニアよりもタチの悪そうな連中だ機間の方は俺を監視していた奴全員にギアスをかけ、徐々に掌握しつつあるが宇宙人と未来人･･･こいつらもある程度無力化せねば、仮に涼宮ハルヒにギアスをかけたところで、俺が殺されて終わりだ
C,何だ、結局全員にギアスをかけるんじゃないか
ルルーシュ,全員にかける必要は無い。取り敢えず末端の人間を掌握する事ができれば黒の騎士団を使って残った連中は容易に始末する事ができるはずだその為にはやはりあの三人！古泉、長門、朝比奈を何とかするのが先だな
C,忙しくなりそうだな。頑張れよルルーシュ
ルルーシュ,なに、すぐに終わらせてやるさ(ベストは宇宙人の勢力、未来人の勢力超能力者の勢力を一気に黒の騎士団に吸収させる事だが、流石にそこまで上手くはいかないだろうとにかく涼宮ハルヒの力さえ手に入れば、それだけでいい)。チェックメイト
古泉,どうやらまた僕の負けのようですね
ルルーシュ,･･･お前、わざとやってるんじゃないだろうな？
古泉,とんでもない、僕は毎回本気でやっていますよ
ルルーシュ,どうだか
キョン,ルルーシュは強すぎるし、古泉は弱すぎる
古泉,だそうですよ
ルルーシュ,フン
古泉,そういえば涼宮さんがまだ来てませんね。今日は掃除当番か何かなのですか？
キョン,さぁな。ホームルームが終わるなり物凄いスピードで教室を出て行ったから少なくとも掃除当番ではないと思うが、何処で何をしてるかは知らんまたよからぬ事を企んでなければいいが･･･
古泉,この時期は涼宮さんが目をつけそうなイベントが目白押しですからね文化祭に体育祭、大人しくしておけというのが無理な話です
キョン,はぁ～、やれやれだ
ハルヒ,やっほー！みんなお待たせ！！
ルルーシュ,噂をすればだな
ハルヒ,噂？
ルルーシュ,いや、何でもない。こっちの話だ
キョン,この時間まで何処で何してたんだ？
ハルヒ,ちょっと生徒会室までね！
ルルーシュ,生徒会室？何の用があってだ？
ハルヒ,そんなの、文化祭でやる出し物の申請に決まってるじゃない！
ルルーシュ,文化祭の出し物だと？あぁ、お前のクラスでやる出し物の申請か
ハルヒ,クラスの出し物なんて興味ないわ！私が申請してきたのはSOS団の出し物よ
ルルーシュ,おい、何をやるつもりか知らんが、俺達は何も聞いていないぞ！
ハルヒ,当たり前じゃない。今から発表するんだから
ルルーシュ,(相変わらず自分勝手な女だ！)
キョン,で、何をしようってんだ？
ハルヒ,いいわ、じゃあ発表するわね！みくるちゃんと有希もちゃんと聞いておくのよ
みくる,は、はぁ～い
長門,････
ハルヒ,今年の文化祭、我がSOS団は！！
キョン,(どうか普通の事であってくれ)
ハルヒ,超巨大ピザを作ります！！
キョン,(祈るだけ無駄だったか･･･)
ルルーシュ,巨大ピザだと？
ハルヒ,甘いわルルーシュ！超巨大ピザよ！
ルルーシュ,･････超のあるなしはそんなに重要か？
ハルヒ,当たり前じゃない！巨大ピザなんてそこらのチェーン店だってメニューとして取り入れてるわ！私達が作るのは未だかつて誰も見たことがないような超巨大なピザなのよ！
みくる,あの～、どのくらい大きいものを作る予定なんですか？
ハルヒ,そうね～、直径12mくらいかしら！
キョン,そんな大きなピザ作れるはずないだろ
ハルヒ,やってみないと分からないじゃない
ルルーシュ,やらなくても分かる。仮に直径12mのピザを作るとしてそれだけの大きさの生地を作るのに必要な強力粉や薄力粉はどこから調達するつもりだ？細かく言えば他にも様々な材料が必要になる。それらを購入するだけの金は何処にある？
ハルヒ,文芸部の部費で何とかなるんじゃない？
ルルーシュ,なるわけないだろ！学園内にある全ての部活の部費を合わせても不可能だ！
キョン,(いいぞルルーシュ、もっと言え)
ルルーシュ,まだあるぞ、12mもある超巨大なピザをどうやって焼くつもりだ？それ相応の巨大オーブンが必要になるが、そんなもの恐らくこの世の何処にも存在しない考えれば考えるほど不可能だ。どうせ申請は通らんだろうな
古泉,確かに現実的に考えると少々厳しいかもしれませんね
ハルヒ,はぁ～、アンタもまだまだねルルーシュ
ルルーシュ,何だと？
ハルヒ,若い内からそうやって何でもやる前から出来るわけがないって決め付けてると将来つまらない大人になってつまらない人生を歩む事になるわよ！若い内はどんなに失敗しても取り返しがつくんだから、どんどんいろんな事に挑戦しないと駄目なの！
キョン,言いたい事は分かるが、金銭的な事を考えると現実的に厳しいのは事実だろ？
ハルヒ,大事なのは最初の一歩を踏み出す事よ！お金の問題なんて踏み出して壁にぶち当たってから悩めばいいの！踏み出す前からあれこれ考えてそのまま立ち往生なんて愚の骨頂だわ！
ルルーシュ,！！(そうだ、最初は不可能だと思っていたブリタニアとの戦争だって今は･･･)
キョン,踏み出さない勇気というのも時と場合によってはだな
ルルーシュ,いや、涼宮の言うとおりだ
キョン,へ？
ルルーシュ,やりもしない内から諦めるのは確かに良くない
キョン,おいおい正気か？途中で頭打ちになるのは目に見えてるぞ？
ルルーシュ,それが行動の結果なら意味はある。だが、行動する前に諦めていては何の意味もない。俺は涼宮に協力する
ハルヒ,よくぞ言ったわルルーシュ！そう、何事も行動する事が大事なのよ！みくるちゃんと有希も協力してくれるわよね？
みくる,はい、勿論です
長門,･･･
古泉,えぇ、協力させていただきます
ハルヒ,古泉くんは？
キョン,(なんだなんだ、急に俺だけ一人になっちまったぞ･･･)
ハルヒ,みーんな協力してくれるそうよ！アンタはどうするの？
キョン,･･･分かったよ、俺も協力する
ハルヒ,フフーン♪じゃあ決まりね！
キョン,ただ俺たちの意見がまとまっても生徒会に出した申請書が通らなかったら何の意味もないぞ。どうするんだ？
ルルーシュ,問題ない。俺が何とかしておく
キョン,そういやお前は副会長だったな･･･
ハルヒ,じゃあ申請書の件はルルーシュお願いね！それから他にも決める事がいっぱいあるから今週の土日は泊りがけでみんなで作戦会議をしましょ！
キョン,泊りがけって、これだけの人数何処に泊まれる家がある
ハルヒ,アンタん家は？
キョン,夏休みの時に一回来た事あるだろ？六人も寝られん
古泉,ルルーシュさんの家はどうでしょうか？
ルルーシュ,俺の家？
古泉,えぇ。クラブハウスの中ですし、大人数が寝るスペースもあるのではないかと思いまして
ルルーシュ,(こいつ、単に俺の部屋やクラブハウスの中に入って直接調査がしたいだけだな。まぁ調べられたところで何も出ないが)
古泉,どうでしょうか？迷惑なようでしたら別の所を探しますが
ルルーシュ,別に構わないぞ
ハルヒ,本当！？じゃあ週末はルルーシュの家でお泊りって事で！みんないいわね？
みくる,分かりました～
キョン,やれやれだ
ルルーシュ,泊まるのはいいんだが･･･前にも言ったが俺には妹がいてな目と足が不自由で音に物凄く敏感なんだ。だから出来るだけ大きな音を立てないように注意してくれると助かる
ハルヒ,妹がいたのは知ってたけど、目と足が不自由だなんて始めて知ったわ･･･大変ね。分かったわ！みんなも大丈夫よね？
キョン,あぁ、勿論さ
古泉,了解しました
みくる,分かりましたぁ
長門,分かった
ルルーシュ,ありがとう･･･助かるよ
C,お泊り会だと？
ルルーシュ,あぁ
C,この部屋にもそいつらは来るのか？
ルルーシュ,まぁ、そうなるだろうな
C,その間私はどうしていればいい？
ルルーシュ,恐らく機間の連中は俺の家にお前が出入りしている事を知っているだろうだがギアスの媒介者とまでは知らないはずだ。ギアスの存在自体知らないだろうしな精々俺の恋人程度にしか思っていないだろうから、別にいてもいなくても構わんぞ
C,じゃあお言葉に甘えてここにいさせてもらおう
ルルーシュ,ただし、あいつらの前では俺の恋人役を演じてもらう
C,･･･なんだと？
ルルーシュ,他の連中はともかく、古泉一樹は恐らく俺とお前の関係を探りたがっているここ数日俺を監視した事で得た唯一の情報と言ってもいいだろうからなだから誤魔化す必要があるんだ、頼んだぞCC
C,別に構わんが、私の愛は少々過剰な上に情熱的だぞ？覚悟はあるんだろうな？
ルルーシュ,寧ろそのくらいの方がいい。中途半端な演技では見破られる
C,フフフ、そうかそうか。よし、任せておけ
ルルーシュ,(これで古泉への対策は万全だ。調べたければ好きなだけ調べればいい。その分お前の俺に対する疑いは薄くなる)
ハルヒ,キョン！遅刻よ！！
キョン,時計を見ろ、待ち合わせの時間より20分も早いじゃないか！お前達が早すぎるんだ
ハルヒ,うるさいわね！とにかく一番遅く来たんだから罰金よ罰金！
キョン,へいへい
古泉,では全員揃った事ですし、チャイムを鳴らしましょうか
ハルヒ,あっ！待って古泉くん！
古泉,何でしょう？
ハルヒ,妹さんは音に敏感だって言ってたでしょ！ルルーシュに電話して着いたから開けてって言えばいいんだし、鳴らさなくていいわ
古泉,そうですね。流石涼宮さん、僕は配慮が足りませんでしたね
ルルーシュ,入っていいぞ。それにしても思ったより早かったな
キョン,集まりの速さだけが取り柄のような団だからな
ルルーシュ,フッ、確かにそうだな
ハルヒ,おっ邪魔しま～～す！！
みくる,お邪魔しますぅ
ハルヒ,へ～。クラブハウスの中って初めて入ったけど、やっぱり広いわね～！
ルルーシュ,ここは俺達兄弟以外はアッシュフォード家の人間しか使用していないから殆どのスペースが空いている状態なんだ。文化祭の作業をするには持ってこいだろう
ハルヒ,えぇ、素晴らしいわ！
キョン,お前の部屋やらは何処にあるんだ？
ルルーシュ,二階だ。そこにお前達が今日泊まる部屋や妹の部屋リビング、キッチンがある。これから案内する
ハルヒ,ねぇ、もしかしてあそこにいるのがルルーシュの妹さん？
ルルーシュ,ん？なっ･･･(いくらなんでも登場が早すぎるぞCC！！)
C,よく来たな、私はCC
ハルヒ,シーツー？変わった名前ね。シーツー・ランペルージって言うの？
C,いずれはそうなるだろうな
ハルヒ,いずれ？
ルルーシュ,こいつは妹じゃない。俺の妹はもっと品のある顔をしている
キョン,(まさかこの人が古泉の言ってたルルーシュの同棲相手か？)
ハルヒ,じゃあ誰なの？
ルルーシュ,俺の･･････俺の彼女だ
ハルヒ,えぇ！！？
みくる,ふえぇぇ！？
ハルヒ,ルルーシュ、アンタ･･･彼女なんていいたの！？
ルルーシュ,ま･･･まぁな
ハルヒ,そんな大事な事なんで今まで黙ってたのよ！水臭いじゃない！
キョン,(そりゃお前には言いたかないだろうよ。あれこれ引っ掻き回されるのがオチだからなそれにしても、古泉の言う通り本当に美人だな･･･)
C,付き合っているだけではないぞ、既に同棲している
ハルヒ,えぇ！？
みくる,ふえぇぇ！？
ハルヒ,本当なのルルーシュ？
ルルーシュ,ま･･･まぁな
みくる,まだ高校生なのに同棲なんて･･･凄いですね
ハルヒ,アンタやるじゃない！いっつも女子にそっけないからもしかしたら実はあっち系の人なんじゃないかって心配してたのよ！正常で安心したわ
ルルーシュ,･･･それは何よりだ
古泉,ちょっとよろしいでしょうか？
C,何だ？
古泉,ルルーシュさんとはいつ、何処で知り合ったのですか？
C,今年の春先だ。こいつが私をナンパしてきてな
ルルーシュ,なっ････！
ハルヒ,えぇ！？ルルーシュ、アンタってそんなキャラだったの！？
ルルーシュ,名誉の為に言わせて貰う、断じて違う！CC、適当なことを言うな！
C,街を歩いていたらで急に呼び止められてな一目惚れしたので付き合ってほしいと求愛されたんだ
キョン,まるで谷口だな･･･
古泉,これは意外ですね。アナタにそのような一面があったとは
ルルーシュ,おい、お前達人の話を聞け！！
C,照れるな照れるな。顔が真っ赤だぞ
ルルーシュ,顔が真っ赤なのは怒っているからだ！照れているわけじゃない！
C,そうかそうか、ではもっと真っ赤にしてやろう
ルルーシュ,なに！？うわっ、何を！！
ハルヒ,え、えぇ！！？
みくる,ひゃ･･･ひゃゃゃぁ///
キョン,お････おぉ
長門,････
ルルーシュ,ぬっ･･････････
C,何故放す？これからが本番だというのに･･･
みくる,ほ･･･本番///
キョン,あ、朝比奈さん！！
ルルーシュ,きゅ、急に何をするんだこの魔女！！
C,何を焦っているんだ？いつもやっている事じゃないか
ルルーシュ,くっ･･･(こいつ、さては最初から俺を困らせるのが目的だったな)
キョン,いつもやっているのは構わんが、人目くらいはばかってくれよ朝比奈さんがショートしちまったじゃないか
ルルーシュ,いつもなどやっていない！
C,それは失礼した。その娘には少々刺激が強すぎたなん？お前は平気なようだな？
ハルヒ,へ？ま････まぁね
キョン,(ハルヒも珍しく動揺してるな。まぁあんなもん目の前で見せられたら無理もない)
C,この通り、私達は何人の立ち入る隙もないくらいにラブラブだ他に何か質問はあるか？
古泉,いえ、ありません。それにしてもアナタが羨ましいですよこのような美しい人に想われていて
C,だろう？こいつはその辺の認識が全くなくてな。困った奴だ
ルルーシュ,お前･････
C,私はこれから少し出かけてくる。お前は早くそいつらを部屋に案内してやれいつまでもこんな所で立ち話もなんだろう
ルルーシュ,出かける？何処へ？
C,秘密だ。ではな
ルルーシュ,全く、変な女だ
ハルヒ,それにしても何ていうか･･･凄い情熱的な人ね！まさか人前であんなことするなんて、ちょっとビックリしちゃったわ
ルルーシュ,あいつは頭の方が少し弱いんだ。あまり気にしないでくれそれより部屋に案内する、着いてきてくれ。右が古泉とキョンの部屋で、左が長門有希、朝比奈さん、涼宮の部屋だ
ハルヒ,みくるちゃん、いつまで寝てるの！早く起きなさい！
キョン,おいハルヒ！そんな起こし方があるか！もっと優しく起こしてやれ！
ハルヒ,うるっさいわね！何言っても起きないだから叩くしかないじゃない！
キョン,何でお前はそう極端なものの考え方しかできないんだ
ハルヒ,アホキョンは黙ってなさい！私には私の起こし方があるの！
キョン,お、おい！！
ルルーシュ,･･･何でもいいが、部屋に荷物を置いたらリビングに集まってくれよ妹を紹介したい
ハルヒ,分かったわ！みくるちゃんが起き次第向かうわね
キョン,だから止めろっての！！
みくる,zzz
キョン,あれ？ルルーシュはいないのか？
みくる,妹さんを連れてくるって言ってさっき出て行きましたよ
キョン,朝比奈さん、やっと目が覚めたんですか
みくる,はい、心配かけてゴメンねキョンくん
キョン,いえいえ(二階まで朝比奈さんをおぶっている時背中に感じた胸の感触は一生忘れまい)
ハルヒ,何ニヤニヤしてるの？どうせ変なこと考えてるんでしょ？気持ち悪い
キョン,(こいつはエスパーか！)
ルルーシュ,ん？全員揃ってたのか。紹介する、妹のナナリーだ
ナナリー,初めまして、ナナリー・ランペルージです。
キョン,お････(流石ルルーシュの血を分けただけの事はある！なんて可憐な少女だ)
ハルヒ,めっっちゃくちゃ可愛いじゃないの！！女の私でも思わずフラつくほどの可愛さだわ！初めまして、私がSOS団の団長涼宮ハルヒ！よろしくねナナリー
みくる,朝比奈みくるです。よろしくお願いしますねナナリーちゃん
古泉,古泉一樹です。どうぞよろしく
長門,･････長門有希
キョン,俺は
ハルヒ,こいつはキョンよ！
キョン,(何で毎回俺の紹介をお前がするんだ)
ナナリー,ふふ、みなさんよろしくお願いしますね
ハルヒ,それにしても可愛すぎるわ！！ルルーシュ、アンタって本当に幸せ者ね！美人な彼女にこんな可愛い妹までいて！
ナナリー,へ？彼女？
ルルーシュ,な、何でもないよナナリー！
ハルヒ,この可愛さは尋常じゃないわ！決めた、ナナリーをSOS団7人目の団員として迎え入れる事にするわ！！
ルルーシュ,それだけは絶対に許さん！！
ハルヒ,何でよ！？兄弟揃ってSOS団の団員なんて歴史的快挙よ？誇るべきことだわ！
ルルーシュ,何が快挙だ！とにかく、ナナリーだけは絶対に駄目だ！
ナナリー,ハルヒさん、是非私も仲間に入れてください！
ルルーシュ,なに！？
ハルヒ,勿論大歓迎よ！本人がそう言っているんだからアンタも文句はないわね？
ルルーシュ,考え直せナナリー！こいつに、この団に関わってもろくな事ないぞ！
ナナリー,でもお兄様いつも楽しそうですよ！私も不思議探しをしてみたいですそれに、SOS団に入ればお兄様と一緒にいられる時間も増えますし･･･
ルルーシュ,ナナリー･･･(最近色々と忙しくて帰りが遅くなる日が多かったからなナナリーも寂しがっていたのか)
ハルヒ,安心しなさい！これからはいつでも一緒にいられるわよ！ルルーシュ、今度から部室に来る時はちゃんとナナリーも一緒に連れてくるのよ！
ルルーシュ,･････あぁ、分かったよ
ナナリー,ありがとうございます、お兄様
ハルヒ,じゃあ早速ナナリーの願いを叶える為に不思議探しに行きましょう！
キョン,おい、俺たちは今日何をしにここへ来たんだ？
ハルヒ,ん？何だっけ？
キョン,文化祭の計画を立てる為だろ
ハルヒ,あ、そういえばそうだったわね！じゃあナナリー、不思議探しは別に日って事で！
ナナリー,SOS団は文化祭で何をやるんですか？
ハルヒ,よくぞ聞いてくれたわ、我がSOS団は超巨大ピザを作るのよ！ナナリー、あなたにもいろいろと手伝ってもらうからそのつもりでね！
ナナリー,はい、何でもお手伝いします
古泉,その超巨大ピザの材料ですが、知り合いに頼めば何とかなりそうです
ハルヒ,本当！？直径12mのピザの材料よ！？お金は大丈夫なの！？
古泉,えぇ。企画の話をしたら面白そうだから協力してやると言ってくださいましてね。無料で提供してくれるそうです
ハルヒ,凄いじゃない！なかなか話の分かる人ね！是非今度お会いしたいわ
古泉,ピザの材料の件は問題なし、後はそれを焼くオーブンですね
ルルーシュ,その件も問題はない。既に手をうってある
キョン,手をうってあるって、まさか直径12mもあるピザが焼けるだけのオーブンを作るとでもいうのか？
ルルーシュ,そのまさかだ
キョン,んな金が何処にあるんだ。高校生が出せるような金額じゃないぞ
ルルーシュ,金の心配はない。放蕩貴族が無償で提供してくれるとの事だ
キョン,貴族が？それも無償って･･･どんなマジックを使ったんだ？
ルルーシュ,なに、ちょっと頼んだらすぐにOKしてくれたよロイド・アスプルンドという男だ。爵位は伯爵
キョン,(どんな頼み方をしたらそんな意味不明な要求に対して即座にOKを貰えるんだ？古泉の言うとおり、段々普通の高校生に見えなくなってきたぜ)
ハルヒ,二人とも凄いわ！これで二つの大きな壁を乗り越えたわね！最早この企画は成功したも同然！みんな驚くわよ！
キョン,よくテレビなんかで料理人が手で回しながらピザ生地を伸ばしてるのを見るがあれはどうやってやるんだ？12mだぞ？
ハルヒ,そんなの決まってるじゃない！ナイトメアを使えばいいのよ！
キョン,そのナイトメアをどこで調達するつもりだ？仮にあったとしてもそんな器用な操縦何処の誰が出来るっていうんだ。少なくとも俺は無理だぞ乗ったことすらないんだからな
ルルーシュ,問題ない。アッシュフォード家ならナイトメアの一機くらいあるはずだ文化祭を盛り上げる為だと言えば会長が貸してくれるだろう
キョン,操縦は？
ルルーシュ,枢木スザクを知っているだろう？あいつに頼めば問題ない
キョン,枢木スザクって、ユーフェミア殿下の騎士じゃないか！？うちの学校に通ってるってのは知ってたが･･･お前友達だったのか？
ルルーシュ,あぁ、クラスも同じだ
古泉,あのランスロットのパイロットですから、ピザ生地を伸ばすくらいわけないでしょうね
ハルヒ,流石ルルーシュだわ！ユーフェミアの騎士の枢木スザクがやるとなればマスコミだって取材にくるはずよ！SOS団の名を世に知らしめる絶好の機会じゃない！
古泉,ここは幸いにも人種差別もなく、外に対してオープンな学園ですしね日本人の誇りとも言える枢木氏が来るとなれば、多くの日本人の方も来場してくれるでしょう
キョン,ナンバーズでありながら今やユーフェミア殿下の騎士だもんな･･･
みくる,でも世間では裏切り者って言ってる人もいますよね････何だか可哀想です
古泉,そういった意見にはゼロの存在が影響しているのでしょうね。彼と枢木氏は対極ですし
キョン,あんな仮面で顔を隠してるような奴よりは、爽やかな顔してる枢木の方が断然好感を持てるがな
古泉,個人的にはゼロの方が魅力的に見えてしまいますね。ブリタニアをここまで苦しめる事が出来るのは世界中に彼だけでしょう。EUも中華連邦も今では第二皇子の手の平だそうですし。涼宮さんはどうです？
ハルヒ,私？どっちでもいいわそんなの。今日本人が置かれてる状況には勿論腹が立つからその現状を変えてくれるんだったらどっちでも応援するわよ
キョン,お前らしい意見だな
ルルーシュ,話が脱線しているぞ。取り敢えず当面の問題は全て解決したそろそろ暗くなってくる頃だし、俺は夕食を作ってくる
キョン,夕食？お前が作ってくれるのか？
ルルーシュ,そのつもりだが？
ハルヒ,ルルーシュって料理も出来るの？アンタ何でも出来るのね
ナナリー,お兄様の料理は本当に美味しいですよ！いつも作ってくれるんです
ルルーシュ,まぁ、最近は忙しくて作れない日の方が多いんだけどな
キョン,(目と足が不自由な妹の為に何でもやるようになったって事か優しい兄貴なんだなこいつは)
みくる,あのぉ、私もお手伝いしますぅ
ルルーシュ,いいですよ。今日は俺がホストですから、先輩は座っていてください
みくる,分かりましたぁ
キョン,で、待ってる間何してる？ルルーシュがいないんじゃ何も決まらんだろうし大富豪でもやるか？実はトランプを持ってきたんだ
ハルヒ,修学旅行の夜じゃあるまいし、何で大富豪なんてやらないといけないのよ！
キョン,大富豪を甘く見るなよ、普通の日にやっても意外と盛り上がるんだぞ？
ナナリー,あの、私これまでのSOS団のお話が聞きたいです！
ハルヒ,あらそう。いいわ！結成からこれまでに至るSOS団の偉大なる軌跡を話してあげる！。ナナリーは寝たの？
ルルーシュ,あぁ、もう遅いからな。いつもはこんな時間まで起きていないんだが･･･みんなといるのが余程楽しかったんだろう。最近は一人にする事が多かったしな
ハルヒ,アンタあんな可愛い妹一人に留守番させて夜な夜な何処で何してるのよ！？ナナリーが言ってたけど、最近は朝帰りも珍しくないみたいじゃない！
キョン,な、なに！？朝帰りってお前･･･彼女さんとは同棲してるんじゃなかったのか？
古泉,同棲相手がいるというのに朝帰り、これは妙ですね
ハルヒ,･･･あんたまさか浮気してるの？
ルルーシュ,するか！！
ハルヒ,じゃあ朝帰りの原因は何なのよ！？
ルルーシュ,CCと一緒に出かけているんだ。それ以上は聞かなくても分かるだろ！
ハルヒ,なっ･･･///
キョン,･･･なるほど、寝ているとはいえ妹と同じ屋根の下でイチャつくのは確かにな
ハルヒ,フン、この変態！！あんまりナナリーを一人ぼっちにするんじゃないわよ！
ルルーシュ,言われなくても分かっているさ
ハルヒ,それにしてもナナリーは本当にいい子ね！アンタの妹にしとくには勿体無いわ私が養子にもらいたいくらいよ！
キョン,(お前の与太話をあんな笑顔で聞いてくれるのはこの世であの子だけだろうしな)
ルルーシュ,ナナリーもさっきお前との会話は楽しいと言っていたが随分とウマが合うようだな。性格は真逆なのに･･･
ハルヒ,そう？私とナナリーって結構似てるところ多いと思うけど
キョン,何処だが
ハルヒ,可愛いところとか？
キョン,･･･もう何も言うまい
ハルヒ,ところでルルーシュ
ルルーシュ,何だ？
ハルヒ,ナナリーの足と目が不自由になったのって何が原因なの？
キョン,おい、あんまりそういう事はだな。そ、そうか
ルルーシュ,足が不自由になったのは、ブリタニアと日本の戦争の際流れ弾が足に当たったのが原因だ。目が不自由になったのはその時同じく流れ弾が当たり亡くなった母の死を目の当たりにした事による精神的ショックだそうだ
ハルヒ,そうだったの･･･
ルルーシュ,前者はもう治療の余地はないと言われたが、後者は精神的なものだからな時間が経てば解決すると思っていたんだが････あれから何も変わっちゃいない
みくる,うぅ、可哀想ですぅ
古泉,カウンセリングはしたのですか？
ルルーシュ,勿論いろいろな病院に行って様々な事を試したさただ相当心の傷が深いらしくてな、なかなか良い方向へは進んでいないんだ
ハルヒ,そんなの単にそいつらが藪医者なだけよ！私が治してみせるわ！
ルルーシュ,･･･はぁ？
ハルヒ,足の方はどうにもならないにしたって、目の方は精神的な問題なんでしょ？だったら私がナナリーをこれでもかってくらい楽しませて、過去のトラウマを消し去ればいいだけの話じゃない！簡単だわ！
キョン,また無責任な事を･･･
ハルヒ,無責任なんかじゃないわ！そうね･･･文化祭までにはきっとナナリーの目を開かせてみせるわ！
ルルーシュ,文化祭って、丁度二週間後の今日じゃないか･･･そんな短期間で何が出来るって言うんだ
ハルヒ,甘いわねルルーシュ！何が出来るかじゃなくて、何をするかよ！明日から文化祭までの二週間は、ナナリーを連れてみんなで遊びにいくわよ！！ナナリーを存分に楽しませて、嫌な思い出なんて記憶から消去させましょう！
キョン,おいちょっと待て！明日からと言うが、明日も明後日も学校は通常営業だぞ？
ハルヒ,そんなの休めばいいだけの話じゃないの
キョン,なに！？
ハルヒ,二週間休んだくらいで進級が危うくなるわけでもないんだし、問題ないわインフルエンザをこじらせて肺炎にでもなったって嘘つけばそのくらい簡単に休めるわよ
キョン,そんな嘘すぐにバレるだろ
ハルヒ,うるっさいわね！アンタは新入団員の身体と、自分の出席日数とどっちが大事なの！？
キョン,いや･･･それは勿論前者だが
ハルヒ,だったら文句言わずに従いなさい！
キョン,本当に二週間たらずの努力でナナリーの目が見えるようになるってんなら俺だって協力するさ！だがお前の言ってる事にはなんの根拠もないだろ？
ハルヒ,根拠や裏付けなんて私には必要ないの！信じなさい！！二週間あれば十分、でもそれには団員全員の協力が必要なの！いいわね？
キョン,やれやれ･･･分かったよ。俺もナナリーには今以上に元気になってもらいたいしな
ハルヒ,みんなもいいわね？明日から二週間、学校はお休み！
古泉,えぇ、分かりました
長門,･･･
みくる,あの～でも文化祭の準備はどうするんですか？
ハルヒ,勿論併用してやるわよ！そうじゃないとナナリーに超巨大ピザを見せれないし
ルルーシュ,ナナリーに？
ハルヒ,そう。あの子ピザ計画の件を物凄く楽しみにしてたのよ！だから出来上がったピザを自分の目で見せてあげたいの！
ルルーシュ,お前･･･
古泉,なるほど、だから文化祭までという明確な期間を示したのですか
キョン,同時進行でやるのはいいが、二週間も休んでたら生徒会にSOS団は出し物無しと判断されちまうんじゃないか？
ハルヒ,生徒会にだけ事情を説明すればいいわ！ルルーシュは副会長なんだしあの会長は物分りが良さそうだからきっとOKしてくれるわよ！
古泉,二週間休むのに普通の風邪ではあれですので、涼宮さんの言うとおり全員インフルエンザという事にしましょう。知り合いの医者に頼めば診断書を書いてくれるでしょうから、忌引扱いになり出席日数には影響ありません
キョン,偽造診断書の作成は犯罪だぞ
古泉,子供が学校をズル休みしたいという程度の理由で作るのですから神様も大目に見てくれますよ
キョン,神は大目に見てくれても、法律はそうはいかないぜ？
古泉,御安心を、絶対にバレるような事はありません
キョン,(こいつが言うと妙に説得力がある･･･どうせその医者ってのも機間の人間なんだろうから本当に問題はないんだろうが)
ハルヒ,問題は家族に何て言うかね･･･
キョン,文化祭が近いから当日まで学園のクラブハウスに泊り込むとでも言えばいいんじゃないか？
ハルヒ,珍しく冴えてるじゃないのキョン！それでいいわ！！
ルルーシュ,･･･本当にやるつもりなのか？
ハルヒ,当たり前じゃない。今更何言ってるのよ？ナナリーの為なのよ？
ルルーシュ,いや、その気持ちは凄く嬉しいんだが･･･その、お前達に迷惑がかかるだろう？だからそこまで無理しなくても･･･
ハルヒ,はぁ？何わけの分からない事言ってるのよ。この中に迷惑だなんて思ってる奴は一人もいないわよ？
ルルーシュ,！？
古泉,涼宮さんの言うとおりです
みくる,みんなで頑張りましょうね！
キョン,新入団員の為だもんな、長門もそう思うだろ？
長門,･･････そう
ハルヒ,ほらね？
ルルーシュ,･･････ありがとう、礼を言う。じゃあ、よろしく頼むよ･･･
ハルヒ,任せなさい！絶対にナナリーの目に光を戻して見せるわ！！
キョン,で、具体的には何をするんだ？遊びに行くっていっても近場じゃ遊べそうな所はあまりないぞ？
ハルヒ,大丈夫よ、もう決めてあるから！北は北海道から南は沖縄まで行って遊びつくすわよ！！
