母,じゃあ、姉妹三人で仲良くするのよ
めがほむ,私が頭が悪いから何でしょうか！私が体が弱いからなんでしょうか！？。私だって二人の力になりたい！。私は私は！。ぅあ？
まどか,ううん、きっと、そんな事、無いよ
めがほむ,鹿目さん？
まどか,ほむらちゃんはきっと、あなたに危険な目にあって欲しくない。だから、突き放してるだけ
めがほむ,でも！そんなのおかしいじゃないですか！。私たちは姉妹なんですよ！？それなのに！
まどか,。姉妹だから、じゃないかな
めがほむ,！
まどか,私は2人が抱えてる辛いことなんて何も分かんないよ。でもきっと、ほむらちゃんたちは。帰ってきた時に、あなたがいること。それが、掛け替えのない大切なものだって思ってるんじゃないかな
めがほむ,うううううぁ！
リボほむ,あなたが抱え込むことはないわ
さやか,あ！不登校！
リボほむ,ふ、不登校！？
めがほむ,お姉、ちゃん
リボほむ,。。あなたは、まるで自分に何の取り柄も無いような自己評価をするのね
めがほむ,？
リボほむ,確かにあなたは、頭が悪いかもね、体も弱い。他人から見たら頼りなく映るかもしれない。でも、勘違い、しないで。そんな事が理由で、あなたの存在を、あの子は軽く扱ったりしない。馬鹿ね。誰かのために、そう言えるあなたの優しさが、取り柄じゃないわけないじゃない。あの子のことは、任せなさい。あなたは、そうね。今日の献立でも、考えておくのね
ほむら,随分遅かったじゃない
リボほむ,まどかがいい事言ってる最中だったのよ
ほむら,？
リボほむ,さぁ、さっさと倒してしまいましょう
ほむら,ええ
リボほむ,ところで、あの3人にはどう説明するつもり？
ほむら,やっぱり説明は免れない、わよね
リボほむ,そうね眼鏡の方は空気を呼んでくれそうだけと。さやかは、とことん問い詰めるでしょうね
ほむら,いいわ。まずは、倒してから考える
リボほむ,
ほむら,
リボほむ,気が付いた？
ほむら,ええ
リボほむ,あなたにとっては一ヶ月前でも私にとっては。とても、懐かしい魔力だわ
ほむら,。巴マミ！
リボほむ,
マミ,どこかで会ったかしら
ほむら,人に武器を構えておいて、下ろせなんて要求が通ると思う？
マミ,私はあなたに危害を加えるつもりは無い。私は、ね
ほむら,
マミ,
リボほむ,ねぇ、睨み合ってるところ悪いのだけど、私達もあなたに危害を加えるつもりは無いの。通してくれないかしら
マミ,
リボほむ,私達が何者かなんてどうでもいい、ええ、そうね。魔法少女が魔女を前にしてやる事なんて一つしかないでしょう？
マミ,そうね
リボほむ,お互い素直じゃないものね
マミ,確かにあなたの言う通りだわ。今は、魔女を倒す方が先ね
魔女,
ほむら,
リボほむ,本当に、あの時のままね
マミ,
ほむら,私達には手の内を見せられないそういう事？
マミ,いいえ、私が心配してるのは後ろから狙われないか、だけよ
ほむら,随分嫌われたものね。いいわ、ここは私が
リボほむ,13発中、10発明中。駄目ね、少し感覚が鈍っているみたい
ほむら,はぁ
魔女,ｱｱｱｱｱｱｱ！！！
リボほむ,トドメはお願いするわね
マミ,。
さやか,あ、出て来た！！。って、増えてる！？
ほむら,
さやか,ねぇねぇ！あれって何なのさ！？何で消えたの！？あの恥ずかしい姿ってコスプレ！？それとも
ほむら,あぁもう、うるさい。後で話すわよ、まずはどこか落ち着ける所に行きましょう
まどか,あはは、行こ？焔ちゃん
めがほむ,は、はい
ほむら,あなたも来なさい、巴マミ
マミ,！。信用すると思って？
ほむら,一般人が三人もいるところであなたを襲おうとしない
マミ,ええ、分かったわ
さやか,へー、じゃあほむら達はその魔女ってのを倒すための正義の味方なんだ
ほむら,どこをどう解釈したらそうなるの？
さやか,え？だってそうでしょ？
ほむら,私達は、こんな事やりたくないわよ
めがほむ,
さやか,て事は、そっちの美人な人も？
マミ,。挨拶が遅れたわね、私は巴マミ。彼女達と同じ、魔法少女よ
さやか,へー、よろしくお願いしますね、マミさん
マミ,ええ、よろしくね
リボほむ,
さやか,でもかっこいいじゃん、正義の味方っぽくて。ほむらたちってそんな事やってんだね
ほむら,本題は、ここからよ
さやか,え？
めがほむ,？
まどか,？
ほむら,魔法少女は、魔女と戦うという使命を負う代わりに、一つだけ願いを叶えることが出来る
さやか,！
ほむら,もちろん素質がある人しか魔法少女になる事は出来ない。そして、あなた達にはその素質がある
さやか,マジで？。だってさ、まどか！！何でも一つ願い事が！
ほむら,勘違い、しないで
めがほむ,ひっ
ほむら,私は、あなた達に、魔法少女になって欲しくない
さやか,何でさ？
ほむら,あいつは、願いを叶える事と、魔法少女の使命を対価なんていうけれど。そんなもの、釣り合っていない。あなた達には、これからの人生全てを戦いに捧げてまで叶えたい願い事が、ある？
さやか,
ほむら,今はそういうものがあったとして、その気持ちが風化しないと言い切れる？。後悔しないと、言い切れる？
リボほむ,
マミ,
さやか,。ほむらは。ほむらは、後悔してるの？
ほむら,。私の願いはまだ叶ってすらいない。後悔するかしないか、それはまだ分からない
さやか,そっか。出会ったばかりの、私達のこと、考えてくれてるんだね
ほむら,！違っ！
さやか,あはは、照れるなよー。そっか、そういう事なら、この話は聞かなかったことにするよ。まどかも、焔も、それでいいかな？
めがほむ,
まどか,私は、いいよ
ほむら,分かってくれて、助かるわ。あと、まどか
まどか,へっ？
ほむら,忠告が無駄にならないようにね。あなたは、自分に何の取り柄もないと考えるかもしれないけれど。あなたの優しさに、助けられた人もいる。そんなあなたの優しさが、取り柄じゃないわけないんだから。
リボほむ,
マミ,
ほむら,さて
リボほむ,
ほむら,そして、あなたは何が聞きたいのかしら？
マミ,。いえ、もういいわ
ほむら,は？
マミ,正直、あなた達のことは信用しきれない
ほむら,
マミ,でもきっと、あなたは何か大きな目的の為にそうならざるを得なかったんでしょうね。きっと、冷たくならざるを得なかったんでしょうね
ほむら,
マミ,彼女達を魔法少女にしたくない、そういったあなたの声は確かに本物だった。これは予感なんだけど、あなたはきっと悪い人じゃない。信じるわ、あなたじゃない、あなたが言った言葉
ほむら,そんな、簡単に
マミ,何？疑って欲しいの？
ほむら,違う違うわよ！
マミ,これから宜しくね、同じ街の魔法少女として
ほむら,うんうん！
リボほむ,
恭介,ぐっ。。動かない、か
さやか,よっ、恭介
恭介,さやか
さやか,検査、もういいの？
恭介,うん
さやか,そっか、あ！見てこれ！珍しいＣＤが手に入ってさー！
恭介,。
さやか,いい曲だね。恭介にはさ、感謝してるんだ。だってさ、きっと恭介に出会わなかったら私みたいな奴がこんな曲を知る事なんてなかった。こんな世界、きっと知らなかった
恭介,。ありがとう、さやか
さやか,うん、また来るよ
めがほむ,縄張り争いですか？
ほむら,そうよ、魔法少女はグリーフシードを集めないと。。魔法を使えなくなってしまう。そうならない為に、一応見返りと呼べるものがあるのだけど
リボほむ,魔女がグリーフシードを落とすかどうかはまさに時の運ってわけなの
さやか,はー、だから魔法少女同士の縄張り争いね。結構シビアな世界なんだね
ほむら,それにしても、突然どうしたの？。聞かなかったことにするんじゃ無かったの？
さやか,あ、あははー、いやー、なんとなく気になっちゃってさ、だ、大丈夫だよ！誰かに話そうとか、そんなんじゃないから！
ほむら,
リボほむ,
マミ,はい、紅茶
まどか,わ、私も手伝いますマミさん！
マミ,あら、いいのよ、折角のお客様なんだから
まどか,で、でも、いきなりこんなに大勢で押しかけちゃって！
マミ,ふふ、気にしないで。嬉しいのよ、私のティーカップ、私しか使っていなかったから
さやか,でも、ほむらたちはどうなの？。三人も居たんじゃ、グリーフシードの取り合いにならないの？
ほむら,私はここへ来る前に予備は沢山持っていたし。それに、しっかり魔法少女同士でルールを決めれば、十分に行き渡る。縄張り争いなんて言うのは、そもそも滅多に怒らない
リボほむ,起こすとすれば、自己中心的で、誰とも組もうとしない、そんな人よ
マミ,
ほむら,マミ。マミマミ！
マミ,！
ほむら,どうしたの？気が抜けているんじゃない？
マミ,ごめんなさい、少し昔のことを思い出してて。年上がこんなのじゃダメよねさ、行きましょう
使い魔,ｷｰ!ｷｰ!
ほむら,使い魔
マミ,どうやら近くに魔女はいないようね。これが魔女になる前に、さっさと片付けておきましょう！。ティロ・フィナーレ！！
使い魔,ｷｰ!
マミ,！？。佐倉さん！
杏子,見たことない奴らだな、そいつが噂のイレギュラーかよ？
ほむら,
リボほむ,
杏子,使い魔を倒すだなんて、無駄なことやってるな
マミ,あなたには関係ない話でしょう
杏子,関係ない、ね
マミ,っ！
杏子,関係なくねーんだよ、なぁ。あんたがその使い魔をやっちまったら、あたしに回ってくるかもしれない取り分が無くなっちまうだろ？。余計なこと、しないでくれるか？
マミ,ぐうっ！。私は、人に危害を加える可能性のある使い魔を！。ほうっておく事なんて出来ない！
杏子,へー。あんたが弱くなっちまったのは、その腑抜けた考えのせいなのか？。いや、違うな、あんたは元々そんなやつだった。。だとしたら、あそこの2人のせいか？
マミ,なっ！
杏子,背中を任せちまったせいで、訛ってんじゃねぇのか、おい。魔法少女なんてもんは、どうせ1人だ。仲間なんてもんは、存在しねぇ。そりゃ、あんたの勘違いって奴だよ
マミ,うるさいっ！うるさいっ！！！
杏子,
マミ,あっが
杏子,ははは！。あんたがこの調子じゃ、この街ももうあたしのもんみてーだな！。仲間に守られてるお陰で弱くなっちまったらどうしよーもねーな！！！マミィ！！！。ははは！はははははははははは！！！！
マミ,うっあ
杏子,あたしはトドメは刺さねーよ、自分の首を絞めるのは。きっと、あんた自身だからさ
マミ,う、ぁ。佐倉さん
ほむら,
めがほむ,
QB,どうだったかな？
杏子,大したことないね
QB,そうかな？あの2人はまだ戦っていなかったけれど
杏子,はっ、私くらいになりゃ誰が強くて、誰が弱いかなんて見ただけでわかるのさ。それとも何？あんたもしかして、あたしが負けるとでも思ってるの？
QB,
杏子,ま、安心しなって、一応目的は果たしたからさ
QB,目的？
杏子,はは、あんたに言う必要、あるか？
QB,無いね。これからどうするつもりだい？
杏子,んー、まぁ取り敢えずはあいつらの目に止まらないようにこの街で暇を潰すさ
QB,意外だね、風見野に帰ると思っていたけれど
杏子,。ふん、別にいいだろ、あたしがどこで何をしようが。それに、あいつももうじき死んじまうかもしれねー。。そうなった時、あたしがこの街の魔法少女だ
QB,そうかい
杏子,。あぁ、そうだよ
さやか,っ。恭介？
恭介,さやかはさ、僕のことをいじめているのかい？
さやか,そ、んなこと
恭介,いつもいつも、僕の好きな曲ばかり持ってきてくれたね。でもね、さやか。僕は聞くのが好きなんじゃない弾くのが好きなんだ。もう！自分で弾けもしない曲なんて、聞きたくないんだ！！！
さやか,っ！。そ、そんなこと無いよ！頑張ってリハビリすればきっと！
恭介,諦めろって、言われたのさ。もう、この腕は動かない！。バイオリンは、諦めろって言われたのさ！！。。もう、この腕は動かない。。奇跡か魔法でもない限り
さやか,！！！。恭す！。っ
恭介,帰ってくれ
さやか,
恭介,。くそ！くそっ！
さやか,後悔、か。。辛いよね苦しいよね恭介。。QB？
QB,やあ
さやか,！。本当に、居た！
QB,何のようかな？
さやか,。あんたが、QB？
QB,その様子だと、僕の役割も知っているみたいだね
さやか,。ねぇ、あんたは、私の願いを叶えてくれるの？
QB,もちろん、そこまで知っているなら話が早い
さやか,それってその願いって！例えば私自身の願いじゃなくてもいいの！？
QB,それは他にんのために願うことが出来るのか、という意味かい？。出来るか出来ないかで言えば、出来るよ
さやか,！！
QB,実際に他人の為に願った魔法少女は、沢山いる
さやか,それじゃあ！！。
QB,あぁ、ごめんよ、杏子。たった今契約しようとしていたところなんだ
杏子,。おいおい、勘弁してくれよ。何人この街に魔法少女が増えるんだよ
QB,済まないね、でもこれは彼女自身の問題なんだ
杏子,そうか、さっさと済ませな
QB,さやか、君は、何を願う？。君はどんな祈りでその魂を輝かせるのかい？
さやか,。私の友達
杏子,！
さやか,私の友達の、上條恭介の腕を！
杏子,おいおいおいおいおい！！待て待て待て待て！！
さやか,っ！？
杏子,お前あっち行ってろ、オラ
QB,きゅっ！
杏子,何だ？あんた今何を願おうとしたんだ？
さやか,な、何よあんたに関係ないでしょ？
杏子,他人の為に、願おうとしたのか？
さやか,っ
杏子,馬鹿かお前！！
さやか,
杏子,他人の為に願うなんて、馬鹿のやることだ！。あんたはいつかきっと、それを後悔する！
さやか,あ
杏子,あんた、魔法少女のことを誰から聞いたんだよ巴マミか？。そいつは、そんな事も教えてくれなかったのか！？
さやか,う、うるさい！。あんたにとやかく言われる筋合いなんて無い！大体誰なのよ！
杏子,。ちっ。行くぞ、QB
QB,ちょっと待っておくれよ、まだ契約が
杏子,。あんた、今ここであたしに殺されるのと、殺されないの、どっちがいい？
QB,
杏子,頭冷やして、一晩よーく考えるんだね！
さやか,
QB,心配しないでいいよ
さやか,！！！
QB,今は君にだけ話しかけている。また時間がある時にでも、彼女の目を盗んで君のところに来る。その時速やかに契約に移れるように、もう一度僕との契約内容を確認しておいて
さやか,。何なのよあいつ。。教えて、くれたよ。でも、私には、耐えられない。恭介の、辛そうな顔、見てられないよ。あ、雨。これじゃ、明日も雨かな。上手だね、バイオリン
恭介,。僕は、こんなの、弾きたくないよ
さやか,どうして？
恭介,こんなの、やりたくない。女の子みたいじゃん
さやか,でも、私はすごく綺麗だと思う
恭介,！
さやか,お名前、なんて言うの？
恭介,恭介
さやか,そっか、じゃあ、恭介
恭介,？
さやか,私は、恭介のバイオリン、好きだな
恭介,。また、聞きに来てもいいよ
さやか,ほんとっ！？
恭介,うん
さやか,わー！来る来る！きっと来る！
恭介,
さやか,恭す、け。。。
まどか,さやかちゃん、元気ないね
ほむら,何かあったのかしらね
まどか,ねぇ、ほむらちゃん
ほむら,？
まどか,ほむらちゃんは、何か知ってる？
ほむら,さぁ
まどか,私、さやかちゃんの、ために
ほむら,馬鹿なこと、考えてる訳じゃないわよね？
まどか,出来ること、無いかな？
ほむら,そばにいて上げなさい
まどか,うん
ほむら,
めがほむ,どうしたん、でしょうか？
ほむら,自分の願いを、見つけてしまったのよ
めがほむ,！。ほ、ほうっておいて良いんですか！？
ほむら,。魔法少女は誰かに強制されてなるものでも、拒むものでもない。結局の所、最後には自分の意志なのよ
めがほむ,彼女を諦めるってそういう事ですか？
ほむら,私は伝えたわよ、魔法少女はには危険が伴うこと。それを伝えてなお成りたがるなら、もうどうしようもないじゃない
めがほむ,
ほむら,。この場合の、最善と言ったら
めがほむ,最善は。最善は！これ以上魔法少女が生まれない事じゃ無いんですか！？
ほむら,。。あなたは、愚直ね。まっすぐ過ぎて、まるで誰かを思い出す
めがほむ,どうして、そんなに偽悪的なんですか！
ほむら,
めがほむ,本当は、心が痛いはずなのに本当は辛いはずなのに。どうして全部背負い込んで。どうして、何も感じないフリをするんですか！
ほむら,。今まで、さんざん私は人の気持ちを踏みにじってきた。今更、なんて事無い。魔法少女なんて、その気になれば痛みさえ消すことが出来る。だからなのかしらね、人の、人間の気持ちが分からなくなってくるのは
めがほむ,。バカ！
ほむら,。ひどい、雨ね
杏子,ずぶ濡れじゃねーか、前にもましてひでぇ顔してるな
さやか,また、あんた？
杏子,どーにもこーにも気になってね、あんたの事
さやか,付いて、来ないで
杏子,色々聞いたぜ、あいつバイオリニストなんだってな
さやか,
杏子,。お前は、あいつのバイオリンが好きなのか？
さやか,そうよ！。悪い！？その為に願う事って、間違ってる！？
杏子,あんたは結局、そいつに感謝されたいだけじゃねーのかよ
さやか,何、ですって？
杏子,だからさ、あんたはそいつの恩人になりたいだけじゃねーのかよ
さやか,！うるさい！。人のために願うことの何がダメなのよ！！？
杏子,。付いて来いよ
さやか,はぁ？
杏子,あんたに見せてやるよ、人の為に願ったバカの、末路ってやつをさ
さやか,ここって
杏子,ここなら雨宿りにも、まあ、申し分ないだろ。風見野教会跡地。あたしの、家だ
さやか,！
杏子,あたしの家、飯食うにもこと欠くくらい貧乏でね。それでも、親父はあたし達のために、そんで世の中のために色々説いてたよ。毎日毎日新聞の記事を見て涙するような。そんな、お人好しだった。そんなお人好しだったからさ、ある時、無いことまで説法しちまった。それが、上の耳に入った時、親父は破門を食らった
さやか,
杏子,納得いかなかったよ、確かに親父は違うことを言っちまったかもしんねー。でも、間違ったことは言ってないはずさ。せめて親父のいうことに耳を傾けてくれるやつが一人二人いれば、結果は違ったはずなんだ
さやか,
杏子,そう、あたしさ。だからあたしは契約した。誰でもいいから親父のいうことに耳を貸してくれってね。次の日からは掌を返したようにぞくぞくと人が集まった。あたしはそれを見て嬉しかった。嬉しかったから、魔女狩りも頑張れた。親父にそのからくりがバレちまう迄はね
さやか,
杏子,笑っちまうよな、あたしに向かってお前は魔女だ、なんて言うんだぜ。そこからは早かった。親父は酒に溺れ、最後にはここに火を付けて心中を図った。生き残ったのはあたし1人。
さやか,
杏子,何がダメなのかって、言ったな。あたしがダメなんだ。人の為に願った奴から、脱落するようにこの世界は出来てる。あたしが、見ていられないんだよ、あんたみたいなヤツ
さやか,っ。私は！私は！！！
杏子,な、お前さ。本当に、あいつのバイオリンが好きなのか？。違うだろ。お前は、あいつが、好きなんだろ
さやか,っ！！！
杏子,魔法少女になんてもんになって、逃げようとすんなよ。お前は、あいつに、どうあって欲しいのさ？
さやか,
杏子,行ってこいよ、魔法少女じゃない、お前自身の願いを、伝えてこい
ほむら,
杏子,野暮、だったかね。安心したよ、マミの野郎は無事なようだな
ほむら,。素直じゃ、無いのね。あなたはただ単に、巴マミの安否を確認しに来ただけでしょう？。それなのに、あんな敵対するような事を言って
杏子,はは、あたしとマミはそれでいいのさ。それくらいが、丁度いい。なぁ、あんた、マミと仲間なんだろ？
ほむら,
杏子,出来ればあいつ、守ってやってくれねーか。年上のくせにどーにも頼りないんだよ、あいつ
ほむら,
杏子,ここまで付けてきたのも、あの青髪が心配だったんだろ？。あんたなら
ほむら,そんな面倒なこと、ごめんよ。私には私の目的がある、そんな事のために時間を割いてる余裕はない
杏子,そうかよ
ほむら,だから、あなたが守ればいい
杏子,！
ほむら,あなたが、巴マミを、守ってあげればいい
杏子,はは、何言ってやがる。そんな事、出来るわけねーだろ
ほむら,本当に、素直じゃ、無い
杏子,いまさら、どの面下げて、なんて言いに行きゃいいんだよ
ほむら,。あなた自身の、願いを伝えてこい、でしょう？
杏子,！
ほむら,
杏子,ああ。そう、かもね
恭介,あ
さやか,
恭介,さ、やか
さやか,恭介
恭介,な
さやか,いい、何も、言わないで
恭介,
さやか,
恭介,
さやか,私さ、すっごいムカつく奴に出会った
恭介,？
さやか,人のこと、バカにして。私のことなんにも知らないくせに、知った口叩いて。。ごめん。恭介の事、なんにも分かってなかったね
恭介,っ。どうして！どうして君が謝るんだ！
さやか,
恭介,怒鳴ってくれよ。最低なやつだって、罵ってよ！。僕は君を
さやか,そいつに言われて、少しだけ考えてみたの。私は、恭介のバイオリンが好きだったのかな。違う、私は、バイオリンを弾く。恭介が、好きだった
恭介,！！
さやか,恭介は、恭介だよ。バイオリンがあっても無くても。私は、恭介が、好きだよ
恭介,ごめんっ！。僕が、悪かった！。君は僕のために、沢山してくれたのに！僕があの時かけた言葉がどれだけ君を傷つけるか、分かっていたのに！！。僕は！僕は！！
さやか,もういいよ、許す。雨、止まないね
恭介,？
さやか,恭介にも、願ってて欲しいな、この雨がいつか、止んでくれることを
ほむら,
リボほむ,
めがほむ,
ほむら,どう、思う？
リボほむ,
ほむら,
リボほむ,そうね、一つだけ、言うとするなら。まぁ、私たちが存在してるから、当たり前といえば当たり前なのだけど。こんな時間軸、私は経験したこと、無かったわ
ほむら,
リボほむ,もちろん、巴マミと、佐倉杏子が戦力になってくれれば、いい。更に言うなれば、まどかとさやかが契約してくれなければもっと良い。でもそれは、私がいくら思い描いて行動しても、上手くいくものではなかった
ほむら,そうね、そうよね。
リボほむ,あんまり難しく考える必要は、ないんじゃないかしら。あなたはこの世界を何度も繰り返して、ようやくそのチャンスが巡ってきた。人生の分岐点に、居るのよ
めがほむ,。あ
ほむら,？
リボほむ,？？
めがほむ,人生の分岐点その言葉どこかで聞いた気がします
リボほむ,どこで？
めがほむ,ええと、お姉ちゃんが私にここで待ってなさい、って言った時
ほむら,。誰から聞いたの？
めがほむ,覚えてません
ほむら,
リボほむ,興味深いわね、詳しく聞かせて
めがほむ,たっ、大したことじゃないんです！。それに、記憶も朧げだし。ただ、私達がどんな選択をするのか見ておくって
リボほむ,。ねえ
ほむら,ええ、随分と俯瞰的な意見ね。まるで、神様のよう
めがほむ,いえ。本人は、悪魔だって言っていました
ほむら,ふん、悪魔だなんて、中二病もいいところね
リボほむ,全くだわ、きっとその人はサイコな電波さんって奴なんでしょうね。でも。私たちの選択が、あなたの行く末を決めるというのなら。やっぱり、私の仮説は間違っていなかった。あなたはきっと、別の結末を辿る。あなたは今度こそ、きっとまどかを救う事が、出来る。共闘は、申し込んだの？
ほむら,いいえ、でも、近々聞いてみるつもりよ
デビほむ,どうかしら？私の話は？
QB,にわかに信じられる話ではないね。君の言うその、記憶操作も、魔法少女なら不可能じゃない。世界改変とやらだって、この世界で行うことが出来ないんじゃ、確認のしようがない
デビほむ,
QB,そうだね、なにか確認が取れるようなアクションを起こして欲しいな、そうすれば君の言うことを信じることが出来る
デビほむ,あなたは私の話を聞いておいて、私があなたに協力すると思っているの？
QB,まさか、どんなアクションでもいいよ
デビほむ,そうね。私は、彼女の目的が達成する手助けは出来ない、それは話したかしら
QB,うん、世界の制約、言い換えれば運命の力、だったかな
デビほむ,ま、そんな認識でいいわ。だけど、彼女の邪魔ならある程度はできるわよ
QB,へぇ、それは興味深いな
デビほむ,だって彼女の目的は達成されない。まどかを救おうとしてる私には、まどかを救うことが出来ない。それがこの世界の運命なんだもの。あの２人、不確定要素であるあの2人が関わって確かにその運命は揺らいだわ。それでも、彼女が目的を果たすことは難しい
QB,
デビほむ,なら、今からする私の行為は、歴史の修正とも呼べる。理解出来た？
QB,うん、まぁ、ある程度はね
デビほむ,どうにも、煮えきらない言い方ね
QB,その運命の力とやらは、理解出来たよ。ただ、僕には君がどうして彼女の邪魔をしようとするのか、それが理解出来ない。人間は、こういう時手助けをするものじゃないのかな？。出来ないとしても、邪魔をしようとは思わないんじゃないかな？
デビほむ,。そうね。確認したいのよ
QB,？
デビほむ,私のしたことは間違っていなかった。私がまどかを救うためには、この方法しか、無かった。それを、改めて確認したいのよ
QB,なるほどね
デビほむ,それに、彼女達は最早人間じゃない、私だって、ね
QB,
デビほむ,神を欺いて、神を蹴落として、神を汚してそんな存在を、何と呼ぶか分かる？
QB,さぁ。ただ、僕には魂のありかに拘る君たちが理解出来ないよ。僕の意見を言わせてもらうよ、君のいうその存在。長い歴史を見て答えるなら、それは間違いなく人間だ。神を欺くのも、神を蹴落すのも、神を汚すのも、いつだって人間だろう？
デビほむ,ふん。知った口を聞くもんじゃないわ、出歯亀野郎。いいえ、私は悪魔よ。まどかを欺き、蹴落とし、汚した。ふふふふ、それが私
ほむら,
リボほむ,
めがほむ,だからなんで、そんな悔しそうな顔するんですか？
デビほむ,幸せそうなその顔が、辛苦に歪むその様を私は眺めていてあげる。私はあなたの邪魔をする。それで綺麗さっぱり諦めて、私に証明してちょうだい。私が正しかったということをね
ほむら,っつ
めがほむ,～♪
リボほむ,どうしたの？
ほむら,いえ、少し頭が！。ぐっ！？
リボほむ,なかなか酷いようね、今日は休みなさい
めがほむ,えっ？
リボほむ,残念そうな顔しないの
ほむら,い、いえ大丈夫よ。あの子達に心配なんてかけられないでしょ
リボほむ,
ほむら,あっ
リボほむ,ほら、言わんこっちゃない。今日は休んで、私とニー活でも楽しみなさい
ほむら,
リボほむ,ほら
ほむら,済まないわね
リボほむ,仕方ないわね、今日は私が行くわ
めがほむ,えっ！？
リボほむ,そんなに目を輝かせないでちょうだい。ほら、だからあなたは休みなさい。決戦前に病気でダウンなんてしたら、承知しないわよ
ほむら,
リボほむ,それに、私も、たまには気分でも変えたいしね
めがほむ,～♪
リボほむ,随分と機嫌が良いのね
めがほむ,だって、一番上のお姉ちゃんと登校するの、久しぶりなんですよ。まぁ、本当は三人で行きたかったですけど
リボほむ,。はぁ
マミ,だから、家に居ていいと言ってるでしょ
杏子,うるせえ！あたしの勝手だろうが！
リボほむ,あれは？
めがほむ,マミさん、と怖い人
マミ,全く
杏子,大体関係ないだろ、あたしがどこで何しようとさ！
マミ,だからって、魔法を使って学校に忍び込むなんて許しません！
杏子,なんだよ！マミのケチ！
マミ,わ、私はあなたの為を思って！
リボほむ,朝から痴話喧嘩を聞かされる私の身にもなって欲しいわね
杏子,あ、ほむって、あんたは一番上の方か
めがほむ,お、おはようございます
杏子,あー？誰だこいつ？
マミ,暁美さんのところの、末っ子よ
杏子,マジか！？顔似すぎだろおい！
めがほむ,ひっ
杏子,あんたんところマジで変な姉妹なんだな。しかも妹の方は性格まで正反対だ
めがほむ,あのその
杏子,んだよそんなに怯えんなよ。ほれ
めがほむ,？
杏子,食うかい？名前はなんて言うんだ？
めがほむ,ほ、焔です
杏子,。多分、お前んとこの親、頭おかしいわ。ま、いいや、よろしくな、焔
リボほむ,
さやか,あ、マミさん！
まどか,おはようございます
マミ,ええ、おはよう
さやか,ちょっと、杏子あんたマミさんに迷惑かけてないでしょうね？
杏子,はあ？。何言ってんださやばか、おいマミ、あたしがあんたんちでどれだけ充実した生活送ってるか教えてやってくれ
マミ,昨日も夜遅くまでお菓子を食べながらテレビを見てたわ
さやか,それ見なさいよ！
杏子,おいマミ！
まどか,あはは
めがほむ,あはは
リボほむ,ふふ
ほむら,っつ。まずいわね。本当に、耐えられなくなってきたわ。ぐぅぅあぁあ！！。はぁっ！はぁっ！。。っ効く気がしないわね。寝ましょ。
まどか,ほむらちゃん
ほむら,まどかっ？。どうして？え？
まどか,
さやか,ほむら
マミ,暁美さん
杏子,ほむら
ほむら,？！？。な、何！？何なの！？
まどか,私たちを、助けてよ
ほむら,えっええ！助ける！助けるに決まっているでしょう！。ね、ねえ！聞いてよまどか！今度こそ、あなたを助けることな出来るのよ！！？。あの2人が居てくれて、私のために協力してくれ！
まどか,違うよ。今の私を、助けてよ
ほむら,ま、どか？
さやか,ねぇ、転校生、どうして私を止めてくれなかったの？
マミ,どうして見殺しにしたの？
杏子,なぁ、答えろよ
ほむら,うっええぇえぇえぇ！！
さやか,あんたのその頭痛、単なる病気じゃないんじゃないの？
マミ,きっと、その頭痛の原因はあなた自身
杏子,お前が今まで見殺しにしたあたし達への
ほむら,や、めて
まどか,罪悪感からくる、ささくれみたいなもの、じゃないの？
ほむら,ぐぅ！ぐぅあああぁ！！！
まどか,許さない、許さない、許さない。私たちは、あなたが私達にしたことを決して忘れない。それを知った時、今の皆は何を思うんだろうね？
ほむら,ぅ、あぁあぁぁあ！
まどか,今までみたいに、ほむらちゃんのこと、認めてくれるかな？。今まで通り、ほむらちゃんのことを友達だと思ってくれるかな？
ほむら,私は、悪くない！悪くない！悪くない！。悪くないっ！！！！！
まどか,ううん。あなたが、悪い
ほむら,ああぁぁぁぁぁぁぁーっ！！！！！！。はっ！はっ！。はぁっ！はぁっ。ゆ、夢。。何て、嫌な夢！
さやか,うっひゃあすっごい雨だねぇ
杏子,鬱陶しいな、本当に
さやか,いっつも屋上でお昼食べる私達の身にもなってよね
杏子,お前は食えたからいいじゃねーか、あたしなんかおあずけだぞ
さやか,そりゃあんたがマミさんの教室で食べるわけにはいかないからでしょ！
マミ,もう、しつこいわね、今日の夜はあなたの好きなものにしてあげるわよ
杏子,やったぜ
さやか,マミさーん、絶対こいつ計算してましたよ
リボほむ,
まどか,ほ、炎ちゃん？
めがほむ,どうしたんですか？
リボほむ,いえ、別に
杏子,さーて、お前らは帰った帰った
さやか,なんだよそれ！
杏子,へへ、あたし達は今から作戦会議するんだよ。マミんちで魔法少女会議だ。なぁマミ？うまい菓子出してくれるんだろ？
マミ,。ええ、そうね。あなたも来るでしょ？炎さん
リボほむ,いや、私は
杏子,来るよな？
リボほむ,え、えぇ
さやか,ちぇっ、いいよー、それなら私たちは3人で楽しんでくるもん！。さっ、行こう、まどか、焔
杏子,あいつ今日休んでるんだよな？
マミ,そうね、こんな時間にフラフラ出歩くとは思わないけれど
杏子,でもよ、何でだよ？
リボほむ,私に聞かれてもわからない
マミ,彼女、本当にただの風邪なのよね？
リボほむ,さぁ、頭が痛いとはいっていたから大事をとって休ませたけど
