王1,近頃魔物たちが行商などを襲撃しており相当の被害を受けておる。そしてその魔物はすべて魔王と呼ばれる存在が人間を生贄にして生み出したものだという。。さらに奴はわしの娘をも攫っていった。勇者よ、魔王を倒してまいれ！
魔王,ああ。我が滅ぼしたことにされている国が他にもあったらしくその生き残りの兵が王1をその場で捕縛、拷問しようとしたので助けてやった
姫,お父様なんて頃してしまえばよかったのに
魔王,そういうな姫よ。頃すよりもいい方法なんて山ほどあるのだからな
姫,なにそれ？
魔王,それは後でな
勇者,俺何もしてないような
魔王,まあ良いではないか。帰るぞ
勇者,よう魔王
魔王,勇者か、久しぶりだな。そういえば姫が新しい国王になるらしいな
勇者,そうそう。俺とハーピーが補佐しても終わらないくらい仕事が山積みでもう嫌になってる
魔王,前王の悪事の補償に国民への説明、さらに我々と1国民との関係改善か。大変だろうな
側近,これで私達も堂々と国へ行けますね
勇者,で王1はどうしたんだ？
魔王,魔物錬成術の実験台になってもらった。今頃研究員がやっている頃であろう
研究員,人間を材料にした場合でも他に入れる素材次第で姿をいじれるらしいですねぇ
王1,な、何をする気だ！？
研究員,私好みの魔物にしてやろうかと
王1,ひぎゃあ!うえ!!ヘギィ!!ふえぎゃあ!!
猫耳幼女,はぁ…はぁ…我は一体…ん？声が…なんじゃこりゃーー！！！
研究員,すばらしい…では王様、死ぬまでその姿を楽しんでください♪
猫耳幼女,ぬわあああああああ！
魔王,創る魔物が全部女の子になってしまう
