第一話,三すくみな奴ら
トカゲ,ああ、人間に襲われた……！どうにか逃げ切ってきたがな……
ナメクジ,よかった……
カエル,尻尾は大丈夫なのか？
トカゲ,体力は使うけど、再生できるからな
ナメクジ,襲ってきたのはどんな奴だったの？
トカゲ,いかにもワルって感じの人間だったよ……。逃げるので精一杯だった……
ヘビ,心配すんな……人間は俺らがブッ倒してやる！
ナメクジ,それに、みんなを助け出さないとね！
カエル,ならば、なんとしても人間の居場所を特定せねば。トカゲから話を聞いて、人間がどこにいるか推理するしかあるまい
トカゲ,いや、それなら大丈夫だ
ヘビ,え？
トカゲ,ケケケ……あっちにある俺の尻尾のところに行けば……
ナメクジ,切れた尻尾が方向を指し示してる……！
カエル,あの方角に人間は去って行ったということだな
ヘビ,トカゲ……ナイス“尻尾切り”だぜ。絶対に無駄にはしねえ！。よぉ～し、さらわれた連中を助けに行くぞ！
ナメクジ,うん！
カエル,うむ
子分,いやぁ～、さっきは惜しかった！。トカゲをペシャンコに踏み潰そうと思ったのに、逃げられちまった！。しっかし、いっぱい捕まえることができましたねえ！
大男,おうよ。ボスによれば、こいつらを売りさばけばだいぶ金になるそうだ
子分,ド田舎でムシケラどもを捕まえるだけで金になるなんて、いい商売っすね！
ボス,……今、俺たちのような連中は暴対法の強化などで危機に瀕している。色んな金儲けの方法を考えていかなきゃならねえ。学者だのマニアだのペットショップだの、珍しい生物を欲しがってる奴はいくらでもいる。時にはこんな虫取りの真似ごとみてえなこともしなくちゃな。これからの暴力団は人ではなく、自然相手に暴力を振るう時代だ。しばらくはここを拠点に、荒稼ぎしていくぞ
子分,ムシケラどもを取り尽くしたらどうするんで？
ボス,そしたら……この土地を強引にブン取って、また商売を始めればいい
子分,さすがボス、もう先の先のことまで考えてらっしゃる！
大男,この人はこうやって組でものし上がってきたからなぁ！
父ガエル,ワシとしたことが、あんな連中に捕まるとは……不覚ッ！
妹ガエル,お兄様……
エスカルゴ,……オスクール（助けて）！
カメ,このままどこかに売られてしまうのか……。またウサギとかけっこしたかった……
キジ,鳴いてしまったがために、捕まってしまった哀れなキジでございますッ！
子分,わっ！？
大男,なんだ！？
ボス,…………
子分,今の声……どっからだ！？どこだ！？
大男,まさか、同業者か！？
子分,――どこの組のもんだァ！？
ヘビ,俺たちか？俺たちはな……
ヘビ＆カエル＆ナメクジ,三すくみだよ！！！
子分,ヘビと、カエルと、ナメクジ……？こいつら、口をききやがるのか！
大男,たった三匹でオレたちに挑もうってかァ！？
子分,どうします、ボス！？
ボス,金にはなりそうだが、あの三匹、生かしておくとろくなことがなさそうだ。……踏み潰してやれ
子分,へい！。なぁ～にが三すくみだ、ビビらせやがってぇ！
ヘビ,……来やがったぞ！
カエル,手はず通りに
ナメクジ,うん！
ヘビ,俺が足に巻きつく！
子分,うおっ！？
カエル,私が顔に飛びつく
子分,わぶっ！
ナメクジ,……トドメだ！。サマーソルトキック！！！
子分,ぶげぁぁっ！？
大男,ほぉ～、ナメた真似してくれるじゃねえか
ヘビ,うおっ、でけえ！
大男,いっとくが、オレはさっきみたいなチンケな攻撃じゃやられねえぜぇ！？。まとめて蹴散らしてやる！
ヘビ,うげっ！
カエル,ぐっ！
ナメクジ,うわぁぁぁっ！
ヘビ,あのデカブツ……ヘビーな攻撃だぜ
カエル,まともに戦ったら、こちらの攻撃は届かんな
ナメクジ,だったらさ……
大男,オレはケンカじゃ負けたことがねぇんだ！。このでかい石で、まとめて潰してやるよォ！。え！？。三匹が空を飛んだ……！？
ヘビ,高度は十分、と
ナメクジ,うん！
カエル,ヤツの頭めがけて落ちるぞ
ヘビ,この攻撃は……ちょいとヘビーだぜ！
大男,ゲッ、落ちてきた！――う、うわわぁっ！
ヘビ,さぁ、残るはてめえだけだな！
ボス,なるほど、三すくみらしからぬ……いや、三すくみだけあって大したチームワークだ。ムシケラを少々侮ってたようだ。だが、さすがにこれには敵うまい？
ナメクジ,な、なにあれ？
カエル,拳銃だ！弾丸を発射する人間の武器で、あれを受けたらひとたまりもないぞ！。さっきみたいに飛んでも、撃ち落とされてしまうだろう……
ヘビ,だったら、俺がトグロ巻いてウロコではじき返してやらぁ！
ボス,無駄だ……弾丸を弾けるわけがない
カエル,――ならば！
ナメクジ,――だったら！
ボス,――な！？
ヘビ,こ、こわっ……なんつう武器だよ……
カエル,だが、ヘビの体に私の油とナメクジの粘液を塗りたくったおかげで。銃弾はうまくウロコを滑っていったようだな
ナメクジ,これなら何発撃たれてもへっちゃらだね！
ヘビ,いやいやいや、今の絶対ただのラッキーだって！もう一発来たらヤバイ！
ボス,ちっ、今度こそ撃ち殺してやる！
カエル,ゲロゲロゲロクワクワクワァ～♪。ゲコッ、ゲコッ、クワッ、クワッ～♪
ボス,なにいきなり歌い出してやがる！しかも、結構いい声じゃねえか！
ヘビ,シャーッ！
ボス,クソヘビがァ！。……やったか！
ヘビ,今当たったのは、脱皮した俺の皮だよぉ～ん
ボス,……ちぃ！
ナメクジ,塩まいてやる！
ボス,ぐわっ！？ぺっ、ぺっ、ぺっ！しょっぺえ！。この……ムシケラどもがぁッ！
カエル,二匹とも……時間を稼いでくれ！。ゲロッ、ゲロッ、ゲロッ～♪クワッ、クワッ、クワッ～♪
ヘビ,シャーッ！
ボス,おっとォ！
ヘビ,ぐわっ！
ナメクジ,もういっぺん塩！
ボス,もう喰らわねぇよ！
ヘビ,くぅ……ここまでかよ
ナメクジ,塩投げ切っちゃったよ……
ボス,手こずらせやがって……三匹まとめてあの世に送ってやるよ！
カエル,……いや、間に合ったようだ。ヘビ、ナメクジ、よくやってくれた
ボス,は？
ヘビ,へへへ……
ナメクジ,アハハ……
カエル,聞こえないか、この音が
ボス,なにこれ？なんの音だ？
カエル,お前たちが我々にやったことが……そっくり“返る”音だ
ヘビ,カエルはな……ずっとここに悪党がいるぞみんな集まれって歌ってたんだよ！
ナメクジ,もちろん、人間には分からないようカエル語でね！
ボス,……へ
カエル,さぁ、この一帯の動物や虫たちの怒りを思い知るがいい！
ボス,うおっ！？。ちょ、ちょっと待って……。やめろ！やめてくれ！。うわあああああああああああああっ……！！！
ヘビ,やったな！いやぁ～、ヘビーな戦いだったぜ！
ナメクジ,うん！ボクらみたいな小さな生き物をナメてかかるからだよ！
カエル,あれだけの目にあったのだ……もうあの人間たちの野心が蘇ることもあるまい
カメ,君たちのおかげで、またかけっこが出来そうだ……
ドジョウ,坊ちゃんのもとに戻れるなんて夢のようだ……どうもありがとう！
メダカ先生,このことはぜひ子供達に話したいと思います！
キジ,たとえ撃たれても、君たち三匹は決して屈しなかったね！
エスカルゴ,メルシー！
ナメクジ,あ……エスカルゴ
エスカルゴ,このたびハ、本当にありがとうございましタ！。よかったラ、今度フランスに遊びに来ませんカ？
ナメクジ,うん、機会があったらぜひ……一度パリに行ってみたかったし……
ヘビ,ナメクジの奴、さっそく国際交流してやがる！
カエル,これで少しはカタコンを克服できればいいがな
父ガエル,……息子よ
カエル,父上！ご無事だったんですね！
父ガエル,うむ、よくあの悪しき人間達を追い払ってくれた
カエル,今回のことで……私はやはり井戸を離れるべきではないと思いました。近いうちに帰りたいと――
父ガエル,いや、帰るな！帰ってくるな！
カエル,え？
父ガエル,お前とあのヘビとナメクジの戦いぶり……見事だった。カエルが空を飛ぶところなど、はじめて見させてもらったぞ。ハッハッハ！
カエル,父上……
父ガエル,ワシはまだまだ生きるつもりだし、お前などよりよほど頼れる娘もおる。お前は井戸のことなど気にせず、もっと羽ばたいてみせろ！
妹ガエル,そうですよ、お兄様！。お兄様は、もっともっと世界の広さを知るべきです！
カエル,二匹とも……ありがとう
ヘビ,カエルの奴も、急いで帰る必要はなくなったみてえだな
ナメクジ,三すくみはひとまず安泰だね！
ヘビ,ふん、お前らとは意見が合わねえな！
カエル,私の意見を採用しないお前たちが悪い
ナメクジ,素直にボクのいうこと聞けばいいのにさ！
トカゲ,ケケケ、お前たち相変わらず仲悪いな。声が外まで響いてるぜ。せっかくここら一帯の英雄になれたってのに、ちっとも進歩がねえ！。で、なんで喧嘩してるんだ？
ヘビ,たまにはみんな一緒のもん食おうって決めたんだけど、全然まとまらねえんだよ！
カエル,困ったものだ……
ナメクジ,だーかーらー、塩にしようっていってるのに！
トカゲ,アホらし……
ヘビ,……ま、いいか。無理に合わせなくても
カエル,ああ、それぞれ好きなものを飲み食いしよう
ナメクジ,だってボクたち三すくみだもんね！
ヘビ,ゆで卵うんめぇ～～～～～！！！
カエル,いい酒だ……
ナメクジ,塩は最高だね！
