主人公,おい、そこまでにしておけって。
ゴールド,…なに、旅慣れをしているような顔に見えたから訊いただけだ。
サイドン,皆さんのような、お“仲間”とご一緒できるなんて夢のようっす。向こうの世界では、いい加減見慣れた面で飽き飽き…
ワタッコ,…あー。まさる、あのね。
サイドン,？
ゴールド,…やまびこ、もういい。俺たちはまがりなりにも、…仲間だ。
全員,！！
ゴールド,…そんな顔をするなって。ほら、まさる、話の続きを聞かせてくれ。
サイドン,う、ういっす。それで俺は向こうで―
ワタッコ,ゴールドも丸くなったものね。ゴールド自身が丸くなったのかしら、それとも。
ネイティオ,いや、まさるが、エアーズロックのようにとてつもなく硬く巨大な岩であるゴールドの心を打ち砕いたのさ。いわくだき、ってな！
ワタッコ,アメリカンなら何でも通じると思っているお前に、いわくだきよ。
ワタル,ドラゴンつかいのワタルいざまいる！
ネイティオ,（おいおい、ワタルさん、台詞間違えてるよ！ドラゴンつかいじゃなくて、チートつかいだろ！）
ワタッコ,（どこかの町で、人に向けてビームを放っていたわね。その時点でこものシリーズと違わない臭いを感じたけど、まさかね…）
ガーディ,（このような腐った男は生かすのはいざしらず、天に代わり我が天罰を喰らわしてやりたいが、ここは老体なりの配慮として敵への壁となることで後続への繋ぎを入れるガウ。）
ゲンガー,（素直にれいとうビーム。）
ワタル,…聞こえる。なにか聞いてはいけない呪念のようなものが。
プレイヤー,やっと倒したよ。肩こったなあ。お、エンディングだ。
ネイティオ,はーい！エンディングはいりましたー！
オーダイル,よし、みんな帰る準備をするぞー！ゴミは持ち帰れよー！
全員,おー！
ワタル,戦闘中にお菓子食ってたのかよ、お前らは…
ゴールド,…たく、終わりの余韻を少しは感じさせてほしいけどな。
ワタッコ,あらゴールド。電源がついたままだというのに、あなた動けるのね。
ゴールド,エンディングだけは特別みたいだ。まあエンディングが終わったら、一回タイトル画面まで戻るしな。電源切れの扱いなんじゃないのか。それは製作会社さんにでも聞いてくれ。
ネイティオ,おらおら若人諸君、はやくこのイケメンな鳥さんにつかまらないと、お家まで軽いジョギングをすることになるぜ！泳ぎつきでな！
オーダイル,そいつはご遠慮願いたいね。
ワタッコ,それと、今日は帰ったらオールよ！！みんな寝かせないわよ！
ネイティオ,ひゃっほー！
ゴールド,…お前ら、また飲むのか。懲りないな。
オーダイル,今度はお前も参加みたいだな。やまびこの目がそれを物語っているよ。
ゴールド,壮行会の次はなんだ？ジョウト制覇お疲れさん会、とかか？
オーダイル,そうだね。…皆が“仲間”になった記念すべき日を祝う会、と、いうのはどうだろう？
ゴールド,…だから俺はお前が苦手なんだ。
ヤナギ,いやー。皆で飲むのって楽しいものじゃの。
マツバ,おい。誰か爺さんを見張ってた方がいいぞ。いつ、そのまま往生するかわかったもんじゃねえ。
ネイティオ,年寄りの冷や水が冷酒になるってか！
ウツギ,あっははー。いや、シャレがうまいね皆。
ミカン,おじさん。四天王だかなんだか知らないけど、シャンパンもう一本空けて持ってきて。至急ね。
キョウ,はい。よろこんでぃー！
サイドン,…だからですね。そのゴローン先輩が、これまた良い人で、飲みに行ったときなんか…
オーダイル,さっきからこいつの口をついて出てくるゴローン先輩って誰なんだ？
ガーディ,まさるよ、貴様は飲みすぎだガウ。いくら可愛い後輩タイプのキャラを装ってその口調を続けていても、いずれ化けの皮が剥がれるガウ。
サイドン,ああ。誰に似ているかと思ったら、その回りくどい言い方はミュウツーさんに似ているっす。
オーダイル,だから誰なんだよ…
アカネ,ジョウト制覇おめでとうございます。
ゴールド,あ、ああ。でも、俺は何もしてないし、俺に礼を言うのは筋違いだと思うけど。
アカネ,いえ、仲間の皆さんを率いてきたゴールドさんは十分すごいと思います。
ゴールド,…そうなのかな。
アカネ,ゴールドさんは、もうコガネシティには寄らないんですか？
ゴールド,え？あ、ああ。…できれば寄りたくはない。
アカネ,え…
ゴールド,い、いや違う！そういう意味で言ったんじゃなくて、つまり、あの町には苦手なものがあるんだよ…
アカネ,苦手なもの？なんですか、それは？
ゴールド,…この酒、おいしいな。
アカネ,んもー。
ワタッコ,ゲンガ―、あんたの言いたいことはわかるわ。だから少しの間だけ黙っていなさい。
ゲンガー,そんなにドラマを食い入るように見るのは、この世界でお嬢さんぐらいですよ。
ライバル,…おい。
ゴールド,おお、マック！久しぶりだな、元気にしてたか。
ライバル,…それより、何か言うべきことがあるんじゃないか、この俺に。
ゴールド,え、特に見当たらないなあ。じゃあ、これで。
ライバル,どうして祝賀会に誘ってくれなかったんだよおお！！
ゴールド,え、お前いなかったけ？ごめんごめん、今度呼ぶわ。じゃあ、これで。
ライバル,今度っていつだよ！ゴールド、今から飲みに行こうぜ！
ゴールド,面倒くせえな。代金はお前持ちな。
サイドン,この町の感じ。向こうと変わらないっす。
ゴールド,ああ。そういえば、このカントー地方は向こうの世界を映したものらしいな。
サイドン,そうは言っても、向こうより随分と狭い感じをうけるっす。セキチクシティなんか、サファリパークがない有様っす。
オーダイル,サファリパークだっけ？話で聞く限り、凄い有用的な場所だったみたいだね。
サイドン,いやー、あそこは良い宴会場でしたっす。“奴”がいない日は皆でこぞって飲みに行ったすよ。ああ、ゴローン先輩元気にしてるっすかねぇ…
ゴールド,…まだ酔っているのかよ。それに、ゴローン先輩とやらなら、お前がいなくたってしっかりやっているだろうさ。
プレイヤー,いつになったら、あいつ出てくるんだ。
ネイティオ,（オー！俺の故郷に帰ってこれるとは！）
オーダイル,（あんた、進化しても、その口調なんですね。）
ウインディ,（今度は何の用であるのかガウ？
プレイヤー,きたーｗハッタリ野郎だ。…そうだ！ニックネームもそれにしてやろう。
ハネッコ,（名前がハッタリだなんて…恐ろしいわね）
オーダイル,（ハッタリ野郎ならもう周りに沢山いるんだけどね…）
プレイヤー,あ…
ドーブル,（…）
全員,（…）
ドーブル,（…はっとりです。よろしくお願いします。）
全員,（よろしくお願いします。はっとりさん。）
アリゲイツ,絵をお描きになっているんですか。
ドーブル,ええ。それを生業としていますので。
ゴールド,絵描きにエセ詩人か。とんでもパーティだな。
ドーブル,へえ。ビルゲイツくん。あなたが詩人ですか。
ゴールド,そうだ。こいつは、この世界の景色・風景が美しいと言いだすとんでも野郎なのさ。
ドーブル,ほう。それは特別な感性をお持ちのようだ。あなたとは気が合いそうですね。
オーダイル,恐縮です。
ゴールド,やれやれ。…ところで、水墨画っていうものはキャンバスに描くものなのか？
ドーブル,描けますよ。なんでも描ける。たとえキャンバスでなくとも、道端や、壁、はたまた自分の頭で描いたものは、全て芸術ですね。
ゴールド,やはり才能ありきの世界だな。その考え自体が才能だ。
プレイヤー,そういえば前にあった自転車ってどこで手に入るんだ？ハナダに行っても手に入らなかったしな…
ゴールド,…
ワタッコ,（自転車、そんな便利なものがあったのね。）
サイドン,（そういえば他の主人公さんは皆自転車に乗ってたのに、何かおかしいと思ってたっす。）
ウインディ,（いつも歩いていたゴールドも、これで浮かばれるガウ。）
オーダイル,（ああ。そうだね。なのに、どうしてゴールドはどうしてあんなに浮かない顔をしているんだろう？）
ドーブル,結局、“奴”は見つからないといってこのゲームを半ば投げ出してしまったね。こんな近くに目的の店があるというのに。
ポポッコ,あら、綺麗な自転車ね。本当に使われていなかったのね。
オーダイル,ああ。早速…あれ、ゴールドは？。どうしたんだゴールド。店の前で突っ立ってて。今日食べたナースさんのクッキーがそんなにも不味かったのか。
ゴールド,…ああ。それもあるが。いや、なんでもねえよ。いや、なんでもあるが…う。
オーダイル,？
ゲンガー,彼の言いたいことを代弁して差し上げましょう。俺は自転車に乗ることができない、ああ、でもこんな恥ずかしい事を仲間に言いたくない、しかし“奴”は自転車に俺を乗せようとしている、ああ、どうすればいいんだ！彼が言いたいことは詰まる所このような感じでしょう。
ゴールド,お前！どうしてそれを…あ。お、お前ら一体いつからそこにいたんだ！
ワタッコ,ガスが演説をしているところからかしらね。
ネイティオ,水臭いぜ、ゴールド！なんでそんな重要なことを俺様に言わないんだよ！
ドーブル,ゴールドさん。隠すことではないよ。誰でも最初はできないものだよ。
サイドン,そうっす、そうっす。
ウインディ,はっとり御老人の言うとおりであるガウ。練習するガウ！我々を何だと思っているのか。我々は…仲間だガウ！
ゴールド,…お前ら。
オーダイル,想いは皆同じだね。ゴールド、覚悟はできているのかい？
ゴールド,…望むところだ。
プレイヤー,うひょおお。やっぱり自転車は爽快だな。
ゴールド,…
ワタッコ,（補助輪付きでも案外わからないものね。）
オーダイル,（ね。）
ウインディ,遂にこのような所まで我々は来たガウ…
ドーブル,良い風景だ。絵になるよ。
オーダイル,この中には、一人のトレーナーが俺たちを待ち構えているようだよ。
ゴールド,へえ。こんな辺境の地にねえ。そいつの名前はなんていうんだよ。
オーダイル,…ゲーム内外でも伝説のトレーナーとして謳われている男、レッドさ。
レッド,…………
プレイヤー,レッドだ…
ワタッコ,（なんだか気味が悪いわね、こいつ。）
ネイティオ,（でも、黙っているゴールドもなかなか気味が悪いぜ！）
ワタッコ,（ああ、本当ね。灯台もと暗しというやつね。）
オーダイル,（レベルは…８１！？強いなあ…あ。まさるがやっつけた。）
ワタッコ,（次は私の出番のようね。行ってくるわ。）
ウインディ,（皆がとても勇ましく思えるガウ。あ。ふぶきでやまびこが斃されたガウ。）
ワタッコ,（いたた…誰かサロンパス持ってないの？）
ドーブル,（生憎だけど、ここに来る途中で最後の一枚をエセキング君に貼ってしまってね。）
ワタッコ,（皮ごと剥いであげましょうか。）
ウインディ,（最近は歩くたびに、足腰が悲鳴をあげるようになってしまったガウ…）
ネイティオ,はーい！エンディングはいりまーす！
オーダイル,またエンディングだ。よし皆、帰ろう！
全員,おー！
ゴールド,…お前、こんなところに居て大丈夫なのか？…ほら、飯とか、目とか、うがいとか…
レッド,……
ゴールド,って、プログラムだからそんなこと関係なかったな。…実はそんな突っ込みを待っていたりしたんだけどな。
レッド,……近いうちに…
ゴールド,！？
レッド,……また、会うかもしれないな。
ゴールド,…どういうことだ？
レッド,……
ネイティオ,レッド、時間がないぜ！“奴”が面倒だからといって、いきなりムービーをスキップしやがった！ちくしょう、今日は厄日だぜ。
ゴールド,ああ、今行くよ。。ふぅ。やっと平和な時代が訪れたな。
オーダイル,お前の平和の指している意味はわからないけど、まぁ俺とお前が今、芝生の上で寝転がっているぐらいに、のんびりできるようにはなったね。。ああ、そうそう。いつかの話の続きだけど。
ゴールド,…。たとえばここに配置されている花のグラフィック。あそこに敷かれている海のグラフィック。たしかにお前の言うとおり、どれもプログラムの一つにすぎない。…だけど、よく目を凝らして見るとさ、本当の美しさというか、美の観点が…っておーい。耳を塞ぐな。。…わかったよ。綺麗というか、よくできているとは思うな。
オーダイル,なんだろうな…確かによくはできている…この景色をゲームがつくっているのもわかってる。でも、そうじゃない。単純に、美しいと思うんだ。
ゴールド,…お前は本当に不思議な奴だな。プログラムであるのにも関わらず、物の美しさがわかるなんてねえ。はっとりもその点ではお前と同じだけど、なんだかなあ。あいつよりも、お前はもっと根本的に物の、その美しさとやら、を捉えているような気がするんだよな。特別なのかもしれないな、お前は。
オーダイル,特別じゃないさ。それに、お前にも俺みたいな特別なことがあるんじゃないのか？
ゴールド,はん！俺にはそんなこと…ない、とは言い切れないんだが。
オーダイル,？どうしたんだ？
ゴールド,…最近、夢を見るようになった。
オーダイル,夢か。夢って、大脳皮質とやらが自分の頭の中に映し出すシステムのことだろう。それって、人間だけしか見ることができないんじゃなかったのか。何時から見始めたの？
ゴールド,エンジュシティの辺りからだった気がするな。…おい、そんなにニヤけた顔をするな。
オーダイル,お前も人が悪いね。その頃は、お前は反抗期真っ盛りで、しきりに俺を批判してたくせに、自分自体が、夢なんて、およそ周りの誰もが見ないような高尚なものを見ていたなんてね。
ゴールド,…うるせえな。認めたくなかったんだよ。夢と、一応表現しておくが。夢の中身は、俺たちと同じ一つのパーティがこれまた俺たちと同じく毎日毎日旅を続けている、というものだった。ただ、俺たちと違う個所は、そのパーティは皆が皆、お互いを信頼し合っていてな、本当に楽しそうだという点のみだったんだよ。俺は、そんな夢を認めたくなかった。でも、セピア色の夢の中でいつまでも続いていく、その代わり映えのない旅を何時も見ていて、ある時こう思った。こんな旅も、悪くないのかもしれない、ってな。
オーダイル,…夢に感謝しないとね。その夢がなければ、今こうして俺とお前が話し合う構図も無かったかもしれないしね。
ゴールド,俺はお前とあまり話しをしたくないけどな。。…それにしても、最近ゲーム内の時間の進み方がおかしいと思わないか？時計の短針の進み方がやけに遅いような…
オーダイル,そうか、気にしすぎじゃないのか？それに、のんびりしている程度が、お前にとって丁度良いんじゃなかったのか？
ゴールド,…ああ。そうだ。俺の取り越し苦労だといいんだけどな…
ゲンガー,そろそろお目覚めでしょうか。
ゴールド,…起きて一番にお前のその顔を見るのは、何よりにも勝る恐怖だな。ここは…ポケモンセンターの…ソファか。
ゲンガー,驚かせてしまったのなら謝りましょう。ただ、あなたが苦痛に悶えているような表情を見せていたので。
ゴールド,…なんでもねえよ。
ゲンガー,夢、ですね。
ゴールド,…ゲイツが話したのか？
ゲンガー,彼は関係ありませんよ。それに私に話してもいない。安心なさい。この場には今、私と坊やしかいませんよ。
ゴールド,…こんなことを言ったら笑うかもしれないけど、俺は寝ながらにして夢を見ている。プログラムなのにも関わらず、だ。
ゲンガー,それは大きな偏見ですね。プログラムだからといって、夢を見ないとも限らない。大いに有りうることなのではないですか？
ゴールド,…夢を見始めたのは随分前からだ。最初は、凄くはっきりした夢でな、周りの色が白と黒の二色しかなかった。それでも夢は、夢の住人の表情の変化なども見て感じ取れるほど鮮明だった。だけど、最近…夢がぼやけつつあるんだ。
ゲンガー,関わりが、終わろうとしているんですよ。
ゴールド,なんだって？
ゲンガー,夢の住人は坊やに理由があって、坊やの頭の中の夢に留まりつづけたのではないですか？何か伝えたいことがあったのかもしれませんね。
ゴールド,伝えたいこと？…見た限り、ばか騒ぎしかしていないように見えたけどな。その住人とやらは。…ん。
ゲンガー,おやおや。今日の夢の内容を忘れてしまいましたか。忘れるということは、生きていく上で当然の動作です。寧ろ忘れるという動作をしない生き物など存在しえません。全ての行動・言行を記憶しておくことなど、生きていく上では到底不可能であり、我々もまた例外ではありません。メモリーが決まっているからです。余分な情報を削ぎ落し、必要な情報のみを記憶しておく。度忘れという動作によって失われた記憶を思い出すという動作は、いわばメモリー内に再び記憶を構築するということなのです。坊やの今日の夢の記憶は、メモリーから云わばザルにかけられて落とされてしまったのです。再構築されることを願いましょう。
ワタッコ,暇ねえ…最近はめっきりボールの中に入る時間が減って嬉しい半面、前と違って皆と楽しめなくて悲しいわ。
サイドン,皆さんがどこにいるのかわかるだけまだマシっすよ。俺が生活してた所では、音信が途絶えてしまった仲間が何人もいて、それはもう…
ワタッコ,へー。馬鹿そうな顔しているあんたも、意外と苦労しているのね。
ウインディ,貴様はいつまで経ってもその口の悪さが直らないのだな。まったく紅一点だからと少々期待しておったのに、蓋を開けてみればパーティ内で一、二を争う程の毒舌キャラになってしまったな。我は悲しいぞ。
ワタッコ,あらエセキングじゃないの。その口調はどうしたの。
ウインディ,我は自分の過ちに気付いたのだ。いつまでもあのような口調で、自らを照らしてはいけない、とな。♂であるならば、正々堂々と中身で勝負すべきである、と自覚したのだよ。
ワタッコ,そうなの？私は前の口調のほうが、愛嬌があって良かったと思ったけど。ねえ、まさる？
サイドン,っす！っす！
ウインディ,うぐぐ…我はそのような詭弁にはのらんぞ。
ワタッコ,昔の口調の方が若々しくて毅然とした態度のように見えたわ。ねえ、まさる？
サイドン,っす！っす！
ウインディ,…今日一日だけ口調を直してみることにするガウ。
ワタッコ,…男って本当に馬鹿ね。
ゴールド,…！！
ゲンガー,おやおや、またポケモンセンターのソファで寝ているとは。時間は無尽蔵にあるから、自室のベッドで寝ればいいものを。
ゴールド,…今度は忘れねえぞ。外で話そう。ここは狭苦しい。。…知っていたのか。
ゲンガー,はて？なんの話でしょうか。
ゴールド,とぼけるなよ。このゲームの“寿命”について、だ。
ゲンガー,おやおや。坊やは私が何でも存知の博識者であるとでも思っておいでですか？それは大きな間違いですよ。どのような根拠がおありでそのような方便を。
ゴールド,…わからない。“奴等”の言うところの、勘だ。でも、そんな確信を俺は持てる。
ゲンガー,勘とは、人間の第六感を指すもので…わかりました。そのような怖い顔をなさってはこれ以上私も方便を垂れることは難しい。よろしい、私の知っている事実内でお話をしましょう。。坊やも夢の中で、断片的に聞いたやもしれませんが、このゲーム、製品タイトルは金銀ですが、その金銀には赤、ピカチュウといった過去の製品より優れた点が数多みられる。
ゴールド,…
ゲンガー,まず、大きな変更点は白黒と呼ばれるものからカラーに返還されたことでしょうか。ポケモンに道具をもたせられるようになった、ステータスの一種であるとくしゅの二分化。あと、なんといっても金銀には時計という機能が採用されました。
ゴールド,…
ゲンガー,ゲーム内の時間が、現実世界と並行して進む。この機能に、数多くの者が胸を躍らせたのは間違いないでしょう。プログラムの一端である私も、この機能は大変素晴らしいものであると称賛をおくることを惜しみません。ただ、この機能はとんでもない時限爆弾を備えていた。
ゴールド,…内部電池の浪費。
ゲンガー,その通り。この機能は内部電源を喰うことによって命を長らえる存在であったのです。内部電源というものはゲームの肝。これがあって初めてゲームというものが動作を始める。内部電源はいわば脳のメモリーです。この内部電源が上手く動作しなくなると、…メモリーは紛失、当然中に入っている記憶は闇へと消え去るでしょう。
ゴールド,…いったい俺たちはあとどれくらい、今のままでいられるんだ？
ゲンガー,その質問には流石に返答することはできかねます。ただ、坊やもここ最近のゲーム内での時間の経過の速度については既に疑問を持っているはず。それが答えと言っても、過言ではないでしょう。
ゴールド,…くっ。どうすればいいんだ！
オーダイル,おお、ゴールド。こんなところにいたのか。今日久しぶりに皆で集まって飲もう、ってワタッコが言ってたよ。…ゴールド？
ゴールド,…ああ、大丈夫だ。行くように伝えておいてくれるか。
店長,お客さん方は、喫煙室でよろしかったでしたっけ？
ゴールド,…いや、禁煙室だ。
オーダイル,それにしても皆久しぶりだな！
ハネッコ,本当ね！アメリカン、あんたまた太ったんじゃないの？
ネイティオ,オーオー！言ってくれちゃって！そういうあんたこそ前にも増して、ころころが増えたんじゃないのか？
ハネッコ,それは綿よ。本体は真ん中よ。
オーダイル,はっとりさん。絵は上手くいってるの？
ドーブル,芸術というものは気まぐれだからね。上手くいくもいかないも、モデル自体にかかっているのさ。首を長くして待つことこそ、私の最近の行いだね。
サイドン,すごいっすはっとりさん！俺なんか3年も待つことなんて到底無理っすよ！
ウインディ,貴様、3年という時間を計ることなどできるのか？
サイドン,無理っす！
ゴールド,…
オーダイル,どうしたゴールド？さっきから元気がないように見えるよ
ゴールド,ああ、それは違うなゲイツ。この後の、二次会の候補地を模索してたんだよ。
ネイティオ,オー！ゴールドはとんだ早漏だぜ！まだメインディッシュに手をつけてないのに、もう次の女に夢中でら！！
オーダイル,おいおい。飲みすぎだぞ、ゴールド。
ゴールド,飲みすぎじゃないね！まだ飲み足りない気分だ、3次会に繰り出そうぜゲイツ。
オーダイル,さっき四次会まで行ってきただろう。ほら、そこの河原で一休みするぞ。
ゴールド,ありがとうございますであります！仰向けは気持ちいいであります！
オーダイル,はぁ。心配だな。少し風にあたって頭を冷やせよ。
ゴールド,あいあいよー。
オーダイル,なあゴールド。俺は今までお前に幾度も高尚めいたことを言ってきたかもしれない。お前に言ってきたことは全て本心さ。でも、ほんの少しだけ不安めいた部分を俺は抱えていた。お前が常日頃から語っていた、“プログラムごときが～”という言葉さ。
ゴールド,…
オーダイル,プログラムには、与えられた命令を遂行することしか設定されていない。ましてや、プログラムに“感情”なんていう、高価なものは組み込まれていない。俺はお前の意見を俺の意見に置き換えて説明しながらも、完全に否定をすることはできなかった。でも、今日久しぶりに皆と顔を合わせて、心の底から喜んでいる自分に改めて気付いた。確かに、俺たちは“奴等”の模倣をしているだけなのかもしれない。そもそも、今こうして俺たちが自由気ままに動いていることは、きっと奇跡だけど。それでも、この感情は本物だよ。
ゴールド,…酔いが醒めちまったな。
オーダイル,もう一回飲みに行くかい？
ゴールド,いや、いい。…ゲイツ、これから凄く重要なことを言う。無い耳をかっぽじってよく聞いてくれ。
オーダイル,…それは本当なのか？
ゴールド,酔っ払いの戯言だというのなら、そう思ってくれればいい。ただ、俺はもう酔いから醒めているし、真剣だ。
オーダイル,俺たちが…もうすぐ消えるのか？
ゴールド,…この事実をゲンガー以外の仲間に知らせる気は毛頭なかった。だけどお前には、…親友のお前には、言っておきたかった。
オーダイル,ゴールド――
コラッタ,おやびーん！お久しぶりっす！
オタチ,げ…ゲイツ。随分と大きくなったな。
ゴールド,…さて、と。与太話も済んだ事だし、また一件、梯子するか。
オーダイル,そうだな。親友。
コラッタ,わーいわーい！
ゴールド,こんな真昼間から呼び出して飲むのか。心構えはいいことだと思うけど、早すぎねえか？
ワタッコ,そうね…でも今日は、こないだとは訳が違うわ。皆、そうでしょ？
オーダイル,どうしたんだよ皆。そんな辛気臭い顔して。
ワタッコ,ゴールド。ゲイツ。あなた…私たちに隠していることがあるわよね。
ゴールド,…いつか使ったおまえのへそくりなら、耳を揃えて返しただろう。
サイドン,ゴールドさん。…俺たちは真剣っす。
オーダイル,…何の話だか。話の方向性がよく見えないよ。
ワタッコ,昔からそうだけど、嘘の付き方が2人とも下手ね。いいわ。単刀直入に言わせてもらう。私たちはあと、何時までの命なの？
ゴールド,はは。何を言っているかと思ったら。命なんてあるわけないだろ。俺たちはプログラムだぜ？
ウインディ,ゴールドよ。あの会合の夜、貴様はゲイツとともに河原で涼んでいたそうであるなガウ。その時に、どうやら重要な話をしたそうではないかガウ。
ゴールド,…隠しカメラでもつけたのかい？
ネイティオ,結果的にはそれ以上の、お喋りカメラになったってことだ。ほら、いただろ。お節介みたいな煩い奴等が。
ゴールド,…こものブラザーズ
ワタッコ,この二人はどうやらあなたが話した重要な話を一字一句逃さずに聞いていたそうよ。私がこの間会ったら、こいつらの挙動がおかしくてね。問い詰めたら事の次第がわかったというわけよ。
オーダイル,お前らは本当に面倒くさいことしかしないな…
ドーブル,ゴールド君。この話は本当なのかい？
ゴールド,…ああ。本当だ。
ワタッコ,…どうして、どうしてよ！どうして私たちが消えないといけないのよ！
オーダイル,やまびこ、落ち着いて。まだ直ぐに消えるわけじゃないよ。
ワタッコ,でももうすぐ消えるんでしょ！私は気付いていたわ！最近のこの世界の異変に。空が明るくなったり、かと思えばすぐに暗くなったり、最近じゃまともに時間を確認できなくなった。それでも私は希望を持っていた。ただの動作不良で、すぐに元に戻るだろう、とね！
ネイティオ,どうして俺たちが“奴等”よりも先に消えるんだい。親は子より長らえる、というのが原則だろうが！俺はまだやり残したことが多いぜ！
サイドン,ゴールドさん。その話に嘘偽りかなにかは交じっていないんすか？
ゲンガー,その質問には私が答えましょう。坊やがはなたれ坊やに話したことは全て真実です。内蔵電池はもはや限界の域にまで達しているはずです。
オーダイル,…
ドーブル,ゲンガー君。もし、もしもだよ。その内蔵電池とやらを交換して新しいものにしたら、このゲームはまだまだ生きていけるんじゃないかね？
ワタッコ,！！そうよ、その考えがのこっていたわ！さすがはっとりさんよ！
ゲンガー,貴方のおっしゃる通り、交換をすれば我々は長らえることも可能でしょう。交換をすれば、の話ですが。
ネイティオ,なんとか“奴”に内蔵電池を交換するようにこっちから伝えればいいってことだろ！
ゲンガー,ええ。若しくは、彼が自分で気づくか、どちらかです。ただ、貴方の意見は物理的に考えて無いと言っていい。問題は彼自身の手にかかっています。
オーダイル,もうこのゲームを起動しなくなった“奴”が、今更このゲームの問題性に興味を示すとも思えないよ。
ゴールド,ゲイツの言うとおりだ。それに、“奴”を見る限り、その筋に強い奴というわけでもない。自力で気づくことはほぼ不可能だろうな。
ワタッコ,どうしてそう平然と言い切れるのよ！！消えるのよ！！私たちはもうすぐ消えてしまうのよ！！
ゴールド,…だから、どうしたんだ。どんな生物だって何時かは死ぬだろう。これは万物の掟、とやらじゃなかったか。
ネイティオ,こんな時まで恰好をつけるんじゃない！生きるか死ぬかの問題なんだぞ！怖くないのか、俺は怖いね！怖くてたまらない！こうやってよく回っている口も、消えれば動かすことすらできなくなるんだ！
ウインディ,…皆、落ち着くガウ。
サイドン,この状況を静観できる奴は、よっぽど頭が堅いか、それとも馬鹿かどちらかっす。俺も消えたくないっす。移転に移転を重ねて、死に場所が遥か遠い地だなんて冗談でも笑えないっす。
ワタッコ,あなた！！私たちは仲間じゃなかったの！？結局は、私たちもただ一緒にいるパーティメンバに過ぎない、というわけなの？それだけ泣きごとを言うのならゴローン先輩とかいう奴に泣きつきに行けばいいじゃない。
サイドン,客観的な事実を述べただけっす。それに俺たちはあなたのことを仲間と思っているっす。ただ、馬鹿にされていることは気にくわないっす。
ゴールド,消えていく事態を前に何もできない俺たちは確かに間抜けかもしれない。ただ、こうも考えられる。俺たちだけが犠牲になれば…後世にこの事実が伝えられれば、このような惨事は二度とおこらないだろ。俺たちは救世主になるのかもしれないな。
サイドン,救世主？笑わせるっす。俺たちが救世主になるわけじゃないっす。この事態を見つけた俺たち当事者でない誰かが救世主になるっす！
ワタッコ,ゴールド！あなた前に言ったわよね！プログラムには感情が備わっていない、って。なら私たちがいま！こうして消えようとしている瞬間でも！他のゲームの奴等はのうのうと毎日を過ごしている！これが悔しい以外の何の感情だというのよ！
ドーブル,滅びの美学、という言葉があるだろう。こんな時だからこそ、冷静に物事を見つめなおす時ではないのか。
ネイティオ,あんたは心まで老人で、死期が近いからなんだっていえるさ！でも、俺たちはまだまだこれからだ！その出鼻をくじかれようとしているんだ、冷静になれだ？ふざけんじゃねえ！芸術家なんて糞の集まりだ！
オーダイル,お前、今の言葉を取り消せ！！
ウインディ,いい加減にしないか！！。お前たちのいつもの平静さはどこへいった！今のお前らは言いたいこと、述べたいことを述べ、気に食わない事があるとすぐに言い返す。本能に従って生きている貴様らを、我は決して良い心持で見ることはできない。我々は仲間ではなかったのか？そうとも、お前たちはいつもお互いに罵り合い、非難し合い、それでも心の底では全員が全員、仲間を思っていた。今のお前らは鎖の外れた狂犬だ。叫びたい者も、それを宥める者も今一度お互いの事を理解するべきだ！…ほらほら、いつものように我を罵るといいガウ。貴様らは全く何時まで経っても、お子様だガウ。
ワタッコ,…今日はもう帰らせてもらうわ。
ネイティオ,俺もそうしよう。
サイドン,…もう終わりっす。
ゴールド,…エセキング、お前…
ウインディ,…いいガウ。年寄りが堅苦しくて、的外れなことを言うことも万物の掟だガウ。我はどんなに貶されようとも、馬鹿にされようと、それでいいガウ。ただ、我ごときが望ませてもらえば、今一度、皆が笑顔を介して談笑する機会が来てほしい。…我も今日は帰るガウ。
ゴールド,…
ドーブル,私も行かせてもらうよ。作品がまだ、完成していないんだ。
ゲンガー,いやはや、興味深い時間でした。貴方方は人間によって創られた、人間の特性を取りはらった創作物に過ぎない。だが、今の貴方方の行動は、人間の特性である“無駄な感情”を持った、人間そのものだ。人間臭さを持った、人間味のないプログラム。おやおや、これは傑作だ。
ゴールド,お前、いい加減に…
オーダイル,…ゴールド。やめにしよう。ゲンガーも、今日はもう帰ろう。
ゴールド,…ああ。俺はもう少しここにいる。。空が、暗い。…いや、黒い、か。。…なあ。時間は決して無為には過ぎないんだ。時間の概念がわからなくても、な。。…時間の流れと同じだな、これは。早く帰りたいときほど、途方もない時間がかかる。…補助輪なしで、こげるようになったというのに、浮かばれないな。
レッド,……別れは終えたのか？
ゴールド,粗方な。だけど、俺はこんな湿気た所で終わる気はねえけどな。
レッド,……再度ここにくるまで、陽は何回周った？
ゴールド,知らないね。それに、ここには陽はない。時間が来ると、勝手に空が白くなって、夜が来たら勝手に空が黒くなるだけだ。前から聞きたかったんだが、ここに居る間お前は何をしているんだ？
レッド,……夢を見ている。
ゴールド,寝てしかいないのか。というか、お前もか。
レッド,……お前たちに酷似した集団が旅をしている夢だ。集団の中心にいる奴は、お前の瓜二つといってよかった。名前も同じだったしな。
ゴールド,…色は白黒だったりするか？
レッド,……いや、色はそのほかにも付いていたが、どうしてだ？
ゴールド,なんでもない。不躾なことを聞いた。
