第一話,フードコートで水ばかり飲んでるクソ女
男,このたびは……本当に、本当に申し訳ありませんでしたっ！。謝って済まされることではありませんが……。この埋め合わせは必ずします！どうか、今度とも弊社と……私とお付き合いを……！
取引先,…………。……君
男,は、はいっ！
取引先,まさか、ウチみたいな小さな会社のために。あんたらみたいな大きな会社の社員がこんなに動いてくれるとは思わなかった。……よくやってくれたよ
男,えっ！
取引先,今回のミスは……とりあえず、何とかなったから。もう、気にしないでいいから。今後とも、よろしく頼む
男,は、はいっ！
取引先,埋め合わせは……うまい店でも紹介してもらおうかな
男,それなら、いいフードコートがあるんですよ！
取引先,フードコートときたか……！
部長,今回、君が独断でことを進めて、とんでもない事態を引き起こしたそうだが……。どうやら挽回できたようだな
男,は、はいっ！
部長,よくやった。人間、ミスをしないのが一番だが、ミスをしてしまうことは絶対ある。ミスをどう挽回するか、これもとても大切なことなんだ。これからも頑張ってくれたまえ
男,ありがとうございます、部長！
課長,…………
先輩,…………。あいつ、まさかあそこから挽回するなんて……！
課長,ヤケ起こすとか、ノイローゼになるとか、もっと面白いものが見られると思ったんだがねえ。いったいどうやって立ち直ったのか……
先輩,そういやあいつ、いつも夜は外食してるみたいなんですよ。そこで元気をもらってる、とかいってたことがあります
課長,ふうむ……。だったら、そのささやかな生きがいを奪ってしまえば。もっといじめがいができる、ということか
先輩,そういうことです
女,解決したんですか！よかったですね！
男,おかげさまで！……本当にみっともないところを見せちゃったね
女,そんなことないですって……トラブルになったら落ち込むのは当然です。じゃあ、今日はお祝いにめいっぱい豪遊しましょう！
男,そうさせてもら――。！？。ゲ、課長、先輩！？
先輩,ゲ、とはなんだよ。上司と先輩に向かって
男,あ、いや……（なんでここに……）
先輩,なるほどな。フードコートに入り浸って、お前と同じようなチンケな奴らとメシ食って。傷のなめ合いしてたわけだ
課長,情けない……私は上司として恥ずかしいよ
男,す、すみません
先輩,ったく、こんなだからあんな間抜けなミスするんだよ！
課長,そうだな。これからはこのフードコートに来ることも禁止しなければならんなぁ
先輩,ですよねえ……。また同じミスするかもしれませんし
男,そ、そんな……
女,ちょっと待って下さい！
先輩,なんだ、あんた
女,何の権限があってそんなこと……いくらなんでも横暴すぎます！
先輩,横暴ゥ～？。出来の悪い後輩叱って、なにが悪いんだ！？
課長,その通りだ。あの納品ミスは決して許されないものだよ。部長には改めて君の不手際を報告して、なんらかの処分を下してもらうことにするよ
男,ううっ……
中年男,その通りだ！なんらかの処分が必要だわな！
先輩,お？底辺っぽいおっさん、よく分かってんじゃねえか
中年男,ただし、お前ら二人にだがな
課長,？どういうことだ
中年男,納品ミスを仕組んだのは……お前らだろ？
課長,な！？
先輩,なんでそれを！……あっ！
課長,バ、バカ！
中年男,やっぱりな……。オレも無駄に長生きしてねえし、こういうことは分かるんだよ。こいつがそんなしょうもないミスするとは考えにくいし、絶対裏があると思ってたぜ
男,先輩、課長……あなたたちが……！
先輩,ふ、ふざけんな！やってねえ！――なんの証拠もないだろうが！
受験生,証拠ならありますよ
先輩,は！？どこにだよ！？
受験生,今までの発言、全てボクのスマホに録音させてもらいました。こんな明らかなパワハラの“証拠”……どこに持っていってもいい材料になりますよ
先輩,知った風なこというな、クソガキが！。どうせ、ろくな大学に入れもしねえくせに――
受験生,ボクは四月から△□大学に入学します。これ、証拠の合格通知です
先輩,…………！。日本トップクラスの大学……！なんでこんな奴がフードコートに……
受験生,分かりましたか？ボクとあなたじゃ、偏差値が違うんです
先輩,あぐぐぐ……
男,あの生意気さが、今はやたら頼もしい……！。…………
中年男,さて、オレらの出番はここまでだ。あとはお前がやるしかねえ！
男,おっさん……
受験生,クビになってもご安心を。もしボクが将来起業したら、無条件であなたを雇ってあげますよ
男,お前……そんなこというと、本当にあてにしちゃうぞ……
少女,ここで決めなきゃ男じゃないよ！
母,私に笑顔をくれた時のように！
男,二人とも……
女,会社に居づらくなったら辞めればいいんです！あなた一人ぐらい養ってみせますから！。いいたいことを、いっちゃって下さい！
男,ああ……いわせてもらうよ！。課長、先輩……
課長,な、なんだ……
男,あなたたちが俺でストレス解消してたのは、なんとなく分かってた……
先輩,くっ……
男,俺はもう、あなた方にいびられても、我慢しないし、泣き寝入りはしない！。逆らって、あがいて、訴えて、戦ってやる！。理不尽にはとことん立ち向かってやる！。あんたたちには負けないッ！！！
先輩,ぐぐっ……！
課長,な、生意気な……
少女,はい、これ
先輩,なんだ？
少女,フードコートの店員さんたちから、差し入れ
課長,カレーうどん、エスプレッソ、レタスバーガー……？
先輩,ふん、こんなチャチなフードコートでメシ食うかよ！
少女,分かんないの？。頭文字を取って、か・え・れってことだよ！
課長,うぐぅ……！
先輩,店の奴らまで……！
母,コラッ！とっとと帰りなさい！！！
課長＆先輩,ひっ！
課長,い、行くぞ！
先輩,ちくしょう……！
男,…………。スッキリした……。あの二人にあんなに意見したのは初めてだ！これもみんなのおかげだ！。……ありがとう！
女,とてもかっこよかったです……
受験生,及第点というところですかね。○×大出にしてはね
中年男,いいツマミになったぜ！おかげで酒がうめえや！
少女,グッジョブ！
母,うふふっ、ざまあなかったですね
女,それじゃ、気を取り直して、フードコートでお食事しましょう！
男,……うん！よーし、まずはラーメンだ！
先輩,くっそぉ～……あんなフードコートの奴ら如きに！。どうします、課長！
課長,もちろん、このままでは済ません。こうなったら、これまで以上に彼には厳しく接してやる！
先輩,それだけじゃぬるいっすよ！。たとえば、机の引き出しに誰かの持ち物を入れて、窃盗犯に仕立て上げたり……
課長,おおっ、それいいね！。それと、他の客どもにも仕返しをしたい。ショッピングセンターに、フードコートに不快な客集団がいるから追い出せと。クレームを入れてみるか
先輩,いいっすねえ！。どんな手を使ってでもあの野郎を追い詰めてやる！
課長,…………？
先輩,なんだ、ババア
清掃女,あたしはあのフードコートの清掃員さね。あたしゃあいつらが好きでねえ……できればあいつらに不幸になって欲しくないんだよ。だからこれ以上あいつらに手を出すと、あたしが容赦しないよ
先輩,なにいってやがる、ババア！
清掃女,ほいっ
先輩,わわっ！？。なんだ、今の動き……忍者かよ
清掃女,まだまだ長生きしたいだろう？
先輩,ひっ！
課長,ううっ……！
清掃女,ここだけの話だけど、あたしの裏社会での通り名は≪掃除忍≫さ
先輩,そ、掃除……
清掃女,……せいぜいいい上司と先輩になるこった。あたしに“掃除”されたくなきゃね
先輩,わ、分かりましたぁっ！
課長,すみませんでしたぁっ！
清掃女,……よしよし。手を出すのは野暮かと思ったけど、あたしも少しぐらい役に立ちたいからねえ。これでフードコートの掃除、ひとまず完了ってもんさ
学生,どうも！
男,お、遅かったな
学生,今日は講義がみっちり入ってたんで……
少女,彼女はできた？
学生,今は勉強に忙しいから、彼女を作るつもりはないよ
少女,作るつもりがないんじゃなく、“できない”んでしょ
学生,うぅぅ……図星だよ……
母,コラァッ！！！
少女,ごめんなさい！
中年男,そういや、あのクソったれ上司と先輩はどうしてる？
男,いやぁ～あれからすっかり大人しくなっちゃって……。まるで牙を抜かれた獣のようになっちゃいましたよ
女,よほど、男さんの一喝が効いたんでしょうね！
中年男,ちょっと効きすぎな気もするがな
男,俺もそう思うんですよねえ……
清掃女,…………
学生,それで……今日、全員集合させたのはどういう用で？
女,実は……新作イラストが出来上がったんです！
男,おおっ、見せて見せて！たしか、テーマは≪食事≫だったよね？
女,ではさっそく……。ジャン！
男,こ、これは……！
少女,フードコートの絵だーっ！うまーい！
学生,描かれている人物たちはもしかして……
男,俺たちか！
中年男,この酒飲んでるヤツは……オレかぁ？どこぞの紳士みてえだな！
学生,ぶ厚い本を読んでる青年は、ボクですかね。実に賢そうだ
女,そうです！
男,自分で賢そうっていうなよ
少女,だいぶ美化されてな～い？あっ、あたしもいるー！お母さんも！
母,こんなに美しく描いて頂いて……また笑いが止まらなくなりそう
清掃女,ホウキを持った魔女はあたしかねえ？
男,ベレー帽被った絵描きは女さんで、隅っこでみんなを眺めてるイケメンはもしかして……
女,もちろん、男さんです！
みんな,美化しすぎ！！！
女,そうですか？
男,みんな、ひでえよ……。でも、本当にいいイラストだよ！これは絶対評価される！
女,よかった……嬉しいですし、ホッとしました
男,こういうのは、やっぱり自宅で描いてるの？
女,そうです。自宅に機材があって……
男,ふうん、面白そうだなぁ。……よかったら今度、仕事してるとこを見せてもらってもいいかな？
女,！も、もちろん！大歓迎です！
少女,おっ、告白ターイム！押し倒しターイム！子作りターイム！
男,ちょっ……！
女,まぁ……
母,コラァッ！いいところで邪魔すんじゃないの！
男,と、とりあえず……今の話の続きはご飯を食べてからということで！
女,は、はいっ！
中年男,精のつくもの食えよー！……なーんてな！
少女,ヒューヒュー、いい年こいて純情カップルー！
学生,くそう……ボクも彼女欲しい……。参考書で恋愛の勉強しなきゃ……
女,もう、みんなったら！
男,それじゃ、注文しに行こうか！。こうして俺は、今夜もフードコートでメシを食っている。俺はまだまだフードコートに入り浸るのをやめられそうにない
