少女＆女友人,ん？
小動物,よもやここまで……我が出るしかあるまい……ッ！。少女よ、みすみす死なせはせんぞッッッ！。──むッ！？
魔法少女,…………
小動物,あの目……“手を出すな”といっている！。しかし、あそこからどうやって逆転を！？──不可能だッ！
極魔人,なにィ！？
小動物,むう！？
実況,なんだァ～！？女の子があっさりとチョークスリーパーから脱出したァ！。いったいどんな手品を使ったんだ！？
魔法少女,ふうっ
極魔人,な、なんだ……今のは！？まるで糸か何かのように……！
魔法少女,絞め技から脱出するため、“糸”の動きをしてみたの。やってみたら案外簡単だったけどね。だって、裁縫糸に極められる関節技も絞め技もないもんねえ
極魔人,キサマ……ッ！。だが、その満足に動かぬ手足で私を仕留めることはできんぞ！
魔法少女,たしかにそうね。なら縫って……動かせるようにすればいい！
極魔人,なんだとォ……！？
魔法少女,痛みは当然残るけど、動かすには問題ないわ
実況,女の子、先ほど折られたはずの腕と足を動かしているッ！。こ……こんなことがありえるのでしょうか！？
魔法少女,裁縫……完了
極魔人,キサマ……本当に人間か！？
魔法少女,人智を超えた拳法、それすなわち“魔法”なりッ！
極魔人,うぐぐ……！。お、おのれぇ……！。うおおおおおおおおおおっ！！！。む、無念……ッ！
魔法少女,オスッ！
実況,謎の女の子ＶＳ謎の怪人、女の子の大逆転勝利だァッッッ！
小動物,あやつめ……戦いの中で進化しておるわッッッ！
投魔人,へっ、そろそろくたばったか？
貴公子,う～ん……
投魔人,！？
貴公子,この程度で投げ技が得意とはおめでたいね
投魔人,コイツ……どんなタフネスしてやがんだ！？
貴公子,せっかくだし、ボクが最強の投げ技ってやつを教えてあげるよ
投魔人,うっ！？（このヤロウ、なんて馬鹿力だ！）
貴公子,砲丸投げ
投魔人,あ、あがが……
貴公子,まだまだいくよ。円盤投げ。ハンマー投げ。ヤリ投げ
投魔人,こ、これが……最強の投げ技か……！。ちくしょう、オレの柔道技なんかとはケタがちげえ……！
貴公子,なにいってるんだい。今までのはただのウォーミングアップさ。次にやるのが、“最強の投げ技”だよ
投魔人,マジかよ……！？いったい……どんな技だってんだ！？
貴公子,決まってるだろう？。背負い投げだよ
投魔人,へ！？
貴公子,四天王……だっけ。少しは楽しめたよ。どうもありがとう
小動物,二人とも、よくやったッ！。これで四天王は全滅した……残るは闇格闘組織首領である大魔神のみ！。傷を癒してから、本拠地に乗り込むことになるが──。小僧、キサマも手伝ってくれんか
貴公子,いいよ。ただし条件がある
魔法少女,条件って？
貴公子,全てが終わったら……魔法少女、君と決着をつけたい
魔法少女,望むところよ！
貴公子,ボクは君のことを世界で二番目に愛してるよ
魔法少女,私もよ
小動物,こやつらもしや……未だに互いの正体に気づいておらんのか？。まぁ……別にどうでもいいがな
女友人,ちょっとちょっと、手足に包帯巻いてるけど大丈夫なの！？
少女,うん、ちょっとこけちゃって
少年,だ、だ、大丈夫かい！？なんなら早退した方が……！
少女,ありがとう、少年君……。やだ、また心配してもらっちゃった……。貴公子もけっこういい男だけど、やっぱり私は少年君が一番好き！
少年,最近やたらケガをしてるけど。こんなにドジな娘だったっけな、少女ちゃんって……。だが……それがいい。それもいい。また好きになる理由が増えた
少女,えいっ、やっ、たあっ！
小動物,えらく気合が入っておるな
少女,そりゃそうですよ。なんたって最終決戦なんですから！
小動物,では、とっておきのものをくれてやろう
少女,この免状は……！？
小動物,免許皆伝だ……もはや我とキサマは五分。これからは我の教えに縛られず、自由に戦えいッッッ！
少女,ありがとうございます、師匠ッ！。お父さん、お母さん！私、絶対世界を救ってみせるからね！
父,？
母,？
父,ゲームの話か？
母,ゲームの話でしょ？
少女,そ、試合（ゲーム）の話！
父,なぁんだ
母,やっぱりね
小動物,人生とは、遊戯（ゲーム）なりッ！
＜,闇格闘組織
小動物,ぬうう……ッ！大魔神め、総力戦に出よったか……！。この人数を相手していては、消耗が激しすぎる！。それに大魔神と戦う前に、手の内を晒すことにもなりかねん……ッ
貴公子,なら、彼らはボクに任せてもらおうか
小動物,だが、これを一人で相手するのは大魔神との一騎打ちより苦難やもしれぬッ！
貴公子,苦難……いい響きだね。退屈よりよっぽどいい。それにボクは大魔神より強い人との試合を控えてるんだ。これぐらいへっちゃらさ
魔法少女,！。ありがとう、貴公子……。じゃあ任せたわ！
貴公子,がんばってくれ
大魔神,待っていたぞ、小娘！。……やはりキサマの手引きだったか、小動物！
小動物,そのとおりだ……
魔法少女,師匠の手引きって、どういうこと？
大魔神,かつてワシは闇格闘組織を脅かす芽を摘んでおこうと。人間界とは別次元の世界である“拳法界”を滅ぼした……。その時の生き残りが、この小動物なのだ！。生き残ったコイツは拳法界に伝わる拳法“魔法”を人間界に託すため。小娘……キサマに近づいたのだッ！。ようするにキサマは、まんまとコイツの復讐に利用されたというわけだ！
小動物,……否定はせん
魔法少女,…………
小動物,我は我の復讐のため、一般人だったキサマを拳法家に仕立て上げた……。我を恨むがよい、魔法少女……いや少女よッ！
魔法少女,全然！
小動物,！
魔法少女,だって私が魔法少女にならなかったら。どっちにしろ次のターゲットだった人間界は滅んでたし。それに私、こんなに強くなれた！。師匠を恨んだり憎んだりする理由なんかどこにもない！
小動物,泣かすことをいいおって……
大魔神,ふん、三文芝居を……ッ！。リングに上がれいッ！ここで小動物もろとも葬り去ってくれるわッッッ！。ぬおおおおんッ！
魔法少女,ううっ……！
小動物,さすが大魔神……ッ！。超一流のフィジカル、パワー、スピード、コンビネーション！。格闘に必要な要素全てを兼ね備えた、パーフェクトファイターといえる！。だがあやつの強さはそれだけではない……ッ！
魔法少女,打撃じゃ不利かもしれない！だったら組み技で──。え！？
大魔神,あいにく、ワシのボディを掴むのは不可能だ。ぬんっ！
魔法少女,ぐはあっ……！
大魔神,喰らえッ！
魔法少女,口から……毒霧ィ！？。し、しかも……。これ、苛性ソーダ！本当に猛毒じゃないッ！
大魔神,あらかじめ、口の中にカプセルを仕込んでおいたのだ。拳にメリケンサックをつけて、と……メリケンナックルゥ！
小動物,恵まれた体躯から繰り出される、反則技のオンパレードッ！。奴はあれで、正々堂々を重んじる拳法界を滅ぼしたのだ……ッ！
魔法少女,痛いし、辛いし、苦しいし、気持ち悪い……ッ。だけど……負けるもんかッ！。だああああっ！
大魔神,ぐぬ、ぬ……ッ！
魔法少女,だりゃ！
大魔神,ぐぬぬ……ぬんっ！
魔法少女,くっ……（振りほどかれた！）
大魔神,ワシの首の鍛え方を甘く見るなよ、小娘ッ！
魔法少女,はああっ！
大魔神,ぬおおおおっ！
小動物,ふむ……ほぼ互角ッ！。ならばこの勝負──。より前へ出た者……すなわち、より未来を見据えている方が勝つッッッ！
魔法少女,闇格闘組織の首領だけあって、たしかにこの人は強い。パワーも、スピードも、テクニックも、スタミナも、申し分なし。反則技だってえげつない。だけどね、悪いけど今の私にとって──。あなたは貴公子の“前座”に過ぎないッッッ！
大魔神,おごぉ……！？。こ、小娘ぇ……！
魔法少女,あれ？いくら魔神でもキンタマを狙われるのはまじぃんですか？。──なぁ～んてね。日頃反則ばかりしてる人は、いざ自分がやられると脆いものよね
小動物,おおっ……！
魔法少女,ミシン針のように──刺すッ！刺すッッ！刺しまくるッッッ！
大魔神,図に乗るなよォ、魔法少女ォッッッ！
小動物,くっ……あれをまともに顔面に受けてしまっては……ッ
大魔神,フハハッ、決まっ──
魔法少女,…………
大魔神,なっ！？
魔法少女,よかったよ、今のパンチ……。じゃあこっちも、すごい技で返さないとね。リングに縫いつけてあげるッッッ！。おっ、出てきたわ
大魔神,ぐぎゃああああああああああっ！！？
魔法少女,ふんふんふ～ん。魔神アップリケ……完成ッッッ！
小動物,成長しおって……ッ！
魔法少女,……待たせたわね
貴公子,待ったよ
魔法少女,ところで……あなたって結局何者なの？
貴公子,ボクは生まれつき超人的な運動神経を持っていた。色んなスポーツを試みたが、特に気に入ったのは格闘技だった。だから“格闘貴公子”を名乗り、強敵を求めてたんだけど……。これまで、ボクの相手になれる人間はいなかった
魔法少女,！。そうか、私の町で不良や格闘家を狩ってたのはあなたね？
貴公子,そのとおり。ボクの退屈を紛らわせるために、彼らには悪いことをした……。だけど今日……ボクはようやく退屈から解放される！。君という好敵手と戦えるのだから……ッ！。ボクは宣言する！。この戦いが終わったら、ボクは一番好きな人に告白すると！
魔法少女,じゃあ私もそうする！
貴公子,フッ、君がボクの一番好きな人でなくてよかったよ。そうでなきゃ、ボクは攻撃すらできず、負けてしまうだろうからね
魔法少女,フフ、私だってそうよ
貴公子,じゃあ始めよう
魔法少女,師匠、合図をお願いします！
小動物,うむ……両者、心置きなく死合えい。始めッッッ！！！
魔法少女,先手必勝！針のように突き刺すッ！
貴公子,ぐっ……！。なんのアメフトタックル！
魔法少女,うっ！
貴公子,ダァーンクッ！。シュート！シュゥーット！シュゥゥゥゥットォッ！。あうっ！
魔法少女,でやああああっ！
貴公子,くうっ……！。フッ、やるじゃないか！胃液ってこんな味だったんだね！
魔法少女,あなたこそ！もう口の中がズタズタだわ！
小動物,ふむ……。よき試合だ……
魔法少女,でやあああっ！
貴公子,だああああっ！
少年,やあ、お待たせ！
少女,ううん、今来たところ！
少年,じゃあ二人で……少し歩こっか！
少女,うん！
少年,せっかくだし……手を繋がない？
少女,う、うん！
少年,……ところで、最近ますます傷が増えたね
少女,あ、ええとね……。ついつい階段でこけちゃって……
少年,ああ……ますますドジになったけど、そんなところもステキだ
少女,少年君こそ……前よりアザが増えたけど……
少年,あ、これは……スポーツをやってると、どうしてもね……ハハ
少女,ううん、傷は男の勲章っていうもんね！。まさか裁縫だけが取り柄の女の子にすぎない私が
少年,まさかなんの変哲もないスポーツマンであるボクが
少女＆少年,裏では血で血を洗うような格闘技をやってるなんて──。世界で一番大好きなこの人だけには──。絶対知られちゃならないッッッ！
小動物,奴らめ……戦いの時以外では、なんと鈍感（にぶ）いのか。まぁよい。奴らは奴らで好きにするがよい。もうあの二人に、我は必要ないのだからな……。それに我は我で──“拳法界”再興のため、子孫を繁栄させねばならぬ！
メス猫,ニャア～ン
メス犬,クゥ～ン
メスライオン,ガルルゥ～ン
小動物,おう、よしよし。そう盛るでないわ、我が愛人たちよ。すぐに種付けしてくれるわッッッ！
魔法少女,さあ、勝負よ！
貴公子,望むところさ。今のところボクの１７８勝１７７敗だから、今日で差をつけさせてもらうよ
魔法少女,そうはいかないわ！
貴公子,フッ……じゃあさっそく始めようか？
魔法少女,ええ！。人智を超えた拳法、それすなわち“魔法”なりッ！。人智を超えた拳法、それすなわち“魔法”なりッ！
