戦士♂,そうだ。お前はひのきのぼうだ
賢者,西の町に？あそこは戦士を多く輩出することで有名な地ですね
商人,さすがは賢者殿、よくご存知で。何でも、あそこに伝説の剣があるとの情報を得ましてな
賢者,おお、伝説の剣！我々の旅には無くてはならないものですね。天に選ばれた勇者のみ装備できるという、聖なる力を宿した退魔の極致。早急に手に入れ、勇者様の手に馴染ませておくべきでしょう
勇者,え？う、うん……
戦士,……魔王を倒すことのできる剣、か……
商人,さて、今夜も遅くなったことですし――
賢者,明日に備えて、早めに床に就きましょう
商人,あ、あれ？異郷の名産品を肴に、一杯やりませんか？
勇者,……ボクはいいや。今日は何だか疲れちゃった……
賢者,私も遠慮しておきます
商人,あちょっと皆さん！あ、戦士殿は
戦士,俺もいらん。余計な出費をかけた分は、自分で処分するのだな。ではお休みだ
僧侶,こんにちは
主人,いらっしゃい。おお、お前は！ということは勇者も帰ってきているのか？。勇者もいるなら、全品半額だ！ウチの店をひいきに頼むぜ！
僧侶,いいえ。僕はパーティーを外されたんです。つい昨日の夜、一人で帰ってきたばかりです。勇者はまだ旅の途中です
主人,……なんだ。お前一人か。つまらねえ
僧侶,ごめんなさい。今日は食べ物を買いにきたので、見せてくださいな
主人,ああ？ちゃんと金はあるんだろうな？……ん？。その腰に差してる杖、ちょっと見せてみろ。値打ちモンか？
僧侶,これはひのきのぼうです。僕の装備です
主人,ひのきのぼうぉ～？仮にも勇者についてった奴が、ひのきのぼうを装備だって？。だははは、そりゃパーティーをクビにされてもしょーがねえやな！だはははは！！
僧侶,ひのきのぼうは、僕にぴったりの武器なんですよ
主人,だははははははは、そりゃ傑作だ！じゃお前これからひのきのぼうだ、ひのきのぼう！
僧侶,はい、戦士さんにもそう言われました
主人,すでにあだ名になってたか、そりゃそうだわな、だははははは！！
僧侶,このパンをください。それからバターと……お野菜も少し
主人,だははははは、いい話のネタができたぜ！だははははは！
僧侶,はい、選びました。全部でいくらですか？
主人,だははははははは！
僧侶,あのう
主人,ん！？オイてめえ何勝手に商品取ってんだ！その汚ねえ手をどけろ！
僧侶,ごめんなさい
主人,全部で２００Ｇだ２００Ｇ！金がないならとっとと戻しやがれ！
僧侶,はい。２００ゴールドです
主人,なんだ、ちゃんとあるじゃねーか。始めから金を出せばいいんだよ
僧侶,ありがとうございました。それじゃあさようなら。ただいま。ふふ。２００ゴールドかけて、ちょっと多めに食べ物買っちゃった。残りの全財産は３９０ゴールド。切り詰めればひと月は過ごせる。でも、早めに働き口を探しておいた方がいいかな。少し旅を経験したから、簡単な護衛くらいはできるかもしれない。あ、もしそうなら魔力を鍛えたり、武器の扱い方も特訓した方がいいかな。よし、そうしよう。思い立ったが吉日。さっそく今から特訓を始めよう。いってきます。あ、そうだ。その前に寄りたいところがあった。先にそっちに行こう。神父さん、ただいま帰りました。……僕は神父さんから色んなことを教わりましたけど、。結局、勇者の役には立てませんでした。ごめんなさい。その代わり、勇者は立派に頑張っています。あの調子なら、きっと魔王を倒せます。だからどうか天国から、みんなを見守ってあげてください。僕も毎日、お祈りを捧げます。だから、お願いします。……。よし。……よく見ると、全然お墓のお手入れされてないな。僕と勇者と交代で掃除してたけど、これからは僕一人でやらなきゃなあ。あっすごい。最後に勇者が植えた花が、こんなに成長してる。僕も頑張ろう！。えいっ！やっ！。やっ！えいっ！。うーん。やっぱり振り回すより、突いた方が強いんじゃないかな。下手に叩きつけると、棒へのダメージが溜まっていつか折れちゃうかもしれないし。でも正確に一点を突くのって、難しいんだよなぁ。やっ！。ほら。ちょっとずれるとカス当たりになっちゃって、てんでダメだ。でも百発百中までになったら、きっと頼もしい武器になるぞ。あのひのきのぼうが本当に頼もしくなったら、ちょっぴり愉快だね。よーし練習あるのみだ。やあっっつっ痛っ！。突いた拍子で筋を痛めちゃった！ホイミホイミ。ん……？軽い装備だから、もう片方の手で呪文も使えるな。これも練習しておこう――。やあっ！。……よし。武器の特訓はこのくらいにしておこう。気付けばもうこんなに暗くなってる。ちょっと夢中になっちゃった。次は魔力の鍛錬だ。林の奥まで行こう。……よし。この辺りでいっか。それにしても林の空気は気持ちいいなぁ。まずは腹式呼吸から……。次に……魔力が身体全体を伝うイメージ……。……。……。………………
町民Ａ,――おっ。ウワサをすれば、あれはひのきのぼう
町民Ｂ,へえ、あれが勇者様のパーティーから逃げてきたひのきのぼうか
町民Ａ,あれ目つぶって何やってんの
町民Ｂ,黙祷とかけまして木刀もくとう
町民Ａ,うひゃひゃひゃ、全然上手くねえ――！
僧侶,………………
子供Ａ,あっ、ひのきのぼうだ！
子供Ｂ,魔王に怖気づいて逃げてきたおくびょーものだ！
子供Ａ,やーいおくびょーもの！
子供,逃げろー！
僧侶,………………
兵士Ａ,……む。あれはなんだ？魔物か！？
兵士Ｂ,いや……違う。ありゃー例のひのきのぼうだな。ほっとけほっとけ
兵士Ａ,へえ、あんなのが戦士殿と共に旅をしてたのか。見る限りとても釣り合わんな
兵士Ｂ,勇者様にも釣り合わんな。絶対にだ
兵士Ａ,お前勇者様の大ファンだもんな
兵士Ｂ,へへ。あそこまで可憐さと凛々しさを持ち合わせた女の子、そうはいないぜ
兵士Ａ,確かにそれは俺も認めるが、あの器量ならとっくに他の男とくっついてるんじゃないか
兵士Ｂ,バカ野郎、勇者様は魔王を倒すまで不純なことはしないんだ！アイドルを汚す発言は慎め！
兵士Ａ,お前こそ大声を慎め。俺達は一応仕事中だぞ
兵士Ｂ,なぁに平気平気。こんだけ網張ってれば、例の盗っ人も簡単に町から出られんさ――
僧侶,………………。……。よし、瞑想おわり。うわ、もう夜中だ！家に帰らなくちゃ。ただいま。さてさて、今日のお楽しみ。お食事の時間。今日は運動もしたからお腹がぺこぺこだ。ぺこぺこー。パンふた切れにバター塗って……あと、お野菜も少し添えて……できあがり！。いただきます。パンは朝にふた切れ、夜にふた切れで我慢すれば、一ヶ月はもつ。昔に比べたら、毎日朝晩食べられるから幸せだ。バターも野菜もあるからご馳走だし。……そういえば旅してたとき、あそこの宿屋で食べたご飯はおいしかったなぁ。頑張って働けば、毎日あんな食事ができるかもしれない。そう考えただけでやる気が出ちゃう。でもだめだめ、今は我慢して、自分をもっと鍛える時期なんだ。そもそも現状でも満足だしね。ごちそうさま。おいしかった。じゃあやることもなくなったし、寝よう。考えてみれば安心して眠れる場所があるのも、幸せなことだねぇ。よいしょ。ふう。これから毎日鍛えて、ルイーダさんの酒場のギルドに登録して。護衛や採集なんかの仕事をたくさん引き受けて。お金を稼いで、一人で安定した生活を送れるようになって。……それからどうしようかな。導師さんにでもなろうかな。回復呪文と薬だけは得意だし。うん、世界中を旅して回る大僧侶ってのも、かっこいいかもしれない。そうしたら、少しは勇者の知り合いとして、恥ずかしくない人間になれるかな。……いまごろ勇者たちは元気にしてるかな。病気になったりしてないかな。ううん、僕なんかよりすごい賢者さんがいるから、きっと大丈夫だよね。勇者と、戦士さんと、商人さんと、賢者さんが無事でありますように。おやすみ……。……。Ｚｚｚ……
【砂漠,南の港町～西の町
商人,ううう……日差しが厳しい……
勇者,地面から熱気が揺らいでるね……頭がクラクラするよ……
戦士,ふん。これしきのことで参るようでは、打倒魔王などもってのほかだぞ
賢者,……戦士殿も少し足がふらついてますよ……
商人,ううむ。よりによって荷を溜め込んだ直後に、こんな砂漠が広がっていようとは……
勇者,みんなこまめに水分取るんだよ
戦士,ぐびぐびぐび
賢者,……戦士殿、結構飲まれますね……
商人,ああしんど！次の日陰を見つけたら、少し休憩させてくだされ
勇者,商人さん、ボクが少し持ってあげるよ。だから頑張ろう
戦士,当然だ。一刻も早く西の町に向かわねば、伝説の剣が消えてしまうかもしれん
賢者,……屈強な戦士たちの町の、伝説の剣。すんなり手に入るとは……
勇者,必ずボク達が手に入れよう。そして一刻も早く魔王を……
戦士,なにっ！岩陰から！？
勇者,！！みんな、モンスターが――
商人,ひいっ！いてぇ！
賢者,うわあああっ！！
勇者,賢者さん！
戦士,くそっ、まずは一体集中で数を減らせ！
商人,に、荷物だけは死守しますぞ！
賢者,敵に奇襲を許すとは……不覚……
勇者,……こんなこと、今までなかった……。賢者さん、うしろ！
賢者,ぐっ。ここは回復が無難……！
商人,どおりゃあ！！
戦士,そいつで最後か！
勇者,ふう……やっと片付いたね……
商人,すかさずゴールドを多めに回収！。いやあ、思わぬ苦戦を強いられましたなぁ……
勇者,そうだね。でも、みんな無事でよかった
戦士,……しかし、勇者と賢者の魔力は、無駄に浪費させられたな
賢者,浪費だなんて。私の魔力はまだまだ豊富に残っていますよ
戦士,これが魔王城だったらどうする。とても後がもたんぞ！
勇者,ご、ごめん……
賢者,勇者様の責任ではありませんよ。あの時、誰も奇襲に気付けなかった
戦士,俺が言いたいのは、我々が奇襲を受けたことなど記憶になかった点だ。つまり前と比べて、明らかに危機感が薄らいでるのだ！無論、俺も含めて！！
勇者,そ、それは違うよ。それは全部……僧侶のおかげで……
商人,ま、まぁ、一度や二度の奇襲じゃ、我々はびくともしませんて
賢者,それに、気配が悟れぬほど魔物のレベルが高くなっている、という見方もありましょう
戦士,ふん。ならばなおさら、兜の緒を締めねばならん。さぁ、もう行くぞ。時間が勿体ない
勇者,……たった一度の戦闘で、一気にパーティーの空気が乱れてしまった。ああ……ボクはなんて頼りないリーダーなんだろう……。……
戦／商／賢,……………………
勇者,……思えば……。今までパーティーに揉め事があったら、最終的に僧侶が責められることで解決していたな。戦士さんも商人さんも……そしてごくたまにボクも……。イライラの捌け口があったから、パーティーのバランスが取れていたのかもしれない……。……今は僧侶はいない。もし、お互いのイライラがぶつかり合ってしまったら、どうしよう。パーティーが解散するようなことになってしまったら、どうしよう。やっぱり、僧侶がいないと不安だよ……僧侶……。……魔王と戦う前に、一回くらい、会いに行ってもいいんじゃないかな。もしボクが死んじゃうようなことがあれば、おみやげも手渡しできなくなっちゃうし……。……おみやげのいのちのゆびわ……。……宿屋で賢者さんが迫ってきたとき、怖かったな。何でだろう。今でも分かんない。……年頃の女の子はレンアイをするものだって聞いたけど……それと関係あるのかな……
商人,お。見えてきましたな――
戦士,――
賢者,――
勇者,……。……賢者さんは、顔立ちもカッコいいし、呪文にも長けてて頼もしいし。……いつもボクに気を遣ってくれて優しいし。絶対、悪いヒトじゃないんだけど……。ボクには……。……ボクには？あれ？なんだろ？。……違う、だめだ。ボクは勇者だ。意識を切り替えて、みんなを引っ張っていかなきゃ……。魔王を倒せるのは、選ばれし勇者だけ……ボクしかいない……
賢者,――？――？
勇者,……なんだか頭がぼうっとする……賢者さんが……何言ってるのか分からない……。賢者さん……ゆびわ……ボクは勇者で……。……僧侶……
賢者,！？勇者様！？勇者様――！。……ただの熱中症のようです。大事には至らないとはいえ、安静にしておかねば
戦士,ふっ。みなが同じ条件にも関わらず、情けないな
商人,戦士殿は、ワシの荷物を持ってくれませんでしたぞ……
賢者,それにこれは、知恵熱のようなものも混じっているかもしれません。勇者として、パーティーを率いる責務や……その他に悩みがあった可能性も
戦士,俺達の最終目標は何だ？負うものの大きさを考えろ。甘ったれたことは一切言ってられん。行くぞ、商人よ
商人,ど、どこへ……？
戦士,伝説の剣の在り処を探すのだ。一刻でも早く、この町での目的は完遂させる
賢者,戦士殿、お願いします。――ただし。いつの歴史も、勇者は唯一。ゆめゆめお忘れなきよう
戦士,ふん。何が言いたいのか分からんな
商人,ああちょっとワシも着いていく話では！
勇者,
賢者,勇者様……。寝顔だけ見れば、戦いとは無縁な年頃の少女そのもの。勇者という責は、この小さな体躯にどれだけの重圧をかけていることだろう……。……
勇者,
賢者,……美しい。勇者様のすべてが愛おしい。ああ、運命とは残酷なものだ。色恋沙汰にはまるで無関心だった私が、はじめて恋に落ちた相手が……。天に選ばれし勇者だとは。しかも……すでに想い人がいるなど……。……。やはり、決行しよう。今こそ好機だ。恋愛とて修羅の道。であれば、私がやろうとしていることにも正当性はある。徳の道からは外れようとも、代わりに私にも機が得られるならば、安いもの。さぁ、愛欲にまみれた下賎な魔術師の汚名を被ろう。私の価値は、私自身が決めるのだ――
宿の女,……あら賢者様。お連れの方のお加減は……
賢者,すまない、今から薬を作る。厨房をお借りする
宿の女,……お薬でしたら、わたくしがご用意いたしますが……
賢者,急を要するのだ、ご厚意だけ感謝する。また私が薬を作る間、立ち入らないでもらいたい
宿の女,……はい。さようでしたら、そのように……
賢者,……。行ったか。誰もいないな。これは私が好奇心で研究していた呪薬の一つ。調剤過程はまだ秘匿だ。まずは普通の解熱剤を作る。これは聖水と薬草を使って、簡単に作ることができるが――。さらに、時期を見計らって回復呪文をかけることで、効果が増強される――。……完成だ。さて、私の下心が芽生えなかったなら、この時点で切り上げるところだが。ここからが本番だ。ベースは同じ聖水だが、主成分はきえさりそうを使う。よく煮込み、かき混ぜる――。次に――これを使う。以前、あの僧侶が装備していたローブだ。これの切れはしを使う。心の臓に近い、胸の部分がよかろう。……ひのきのぼうとの判を押された、憐れな少年よ。勇者様のおそばに寄ったのは、余りにも早すぎたのだ……！。……。罪悪感は押し殺す。私はすでに決断した。……灰となったローブを、きえさりそうの混ざった聖水に加え、よく混ぜる――。そして一定のタイミングを見計らい、最大魔力でこの呪文をかける。……ふう……。仕上げに、あらかじめ作っておいた解熱剤と混ぜ合わせる。……完成だ。あとはこれを、勇者様に飲んでいただくことで……。私の望む状況が生まれる。……勇者様。目を覚まされたのですね
勇者,あ……賢者さん
賢者,窓の外になにか？
勇者,うん、ここの宿の女の人が、麦を運んでて。この町、女性もよく働くんだなって
賢者,ここ西の町は戦士の町。女性も気丈でなければ、荒くれ者の伴侶もままならないのでしょう
勇者,ふうん……ボクも頑張らないとなぁ……
賢者,それより、ご容態は
勇者,もう、平気。心配かけてごめんね
賢者,正直に仰ってください。まだ鈍痛が続いているのでは
勇者,……うん。賢者さんに嘘をついてもしょうがないね。ホントは、まだ少し……
賢者,今しがた、解熱剤を作りました。こちらをお飲みください
勇者,ありがとう。賢者さんは、優しいね。まるで僧侶みた……あ、いや、何でも……
賢者,……。お早いうちに、お薬を召し上がりください。どうぞ……
勇者,分かった。じゃ、ありがたく……。……！
賢者,？どうかされましたか？
勇者,……このお薬……何度も似たのを飲んだことがある……
賢者,！
勇者,……その、今まで飲んできた薬は、びっくりするほどよく効いたけど……。これは、ちょっと香りが違う気がする……
賢者,……僧侶殿が作った解熱剤の話ですか？
勇者,……
賢者,なぜ。なぜ私を信用して下さらないのですか？
勇者,えっ
賢者,私とて専門外とはいえ、薬に関してはそれなりの自負はあります。恐縮ながら私は……魔王打倒を目指す同志として……。すでにパーティーには、勇者様には信用を勝ち得ていたものと思っておりました……
勇者,そ、それは……そんなつもりは！。ボクは、賢者さんを疑ったりなんかしないよ！
賢者,勇者様
勇者,賢者さんは、仲間だ。仲間の作ってくれた薬を飲めないリーダーなんかいないよ。ほら、飲んだよ！だからもう……。！！！。あうああああ？？。あ……頭が……。あ……なにこれ……消える……消えちゃう……。ボクの頭の中から……大事なものが……消えていっちゃう……！。やだ……怖い……いやだ……。助けて……――！。――？？あれ……――！？――。――――――――――――――…………
賢者,……成功だ。これで勇者様の記憶から、僧侶に関する情報はすべて消えた。二度と……以前の想い人の名を、口にすることはないだろう。……神罰が下っても構わない。だが、私が間違っているとも思わない。私はこの恋の成就を、一から組み立てていくつもりなのだ。そのつもりであれば、勇者様を意のままにする手段など他にあった。だがそれでは意味がない。勇者様が本心から、私を見てくれるようにならなければ。……僧侶には多少気の毒だが、後悔はしていない。幼馴染の想い人など、ましてや孤児の誼など、計り知れぬ太さの絆ではないか。もはや第三者の参入など、勝ち目がないではないか。勝負の場にさえ立てないではないか。だから私はふりだしに戻しただけだ。もし僧侶が勇者様を想うならば、同じ状況に立つべきだ。……死に物狂いで求めるべきだ。私がこのような手段を取ったように……。……。我ながら何たる詭弁尽くしだ。言い聞かせなければ、不安なのか。笑止な。いま一度、我が胸に刻もう。私には、一片たりとて後悔はないと――
商人,――では、一体いくらで手を打つおつもりですか！？。我々には一刻も早く、その剣が必要だというのに！
師範,この伝説の剣は、私の宝だ。金などで量れる代物ではない
戦士,国王の証書は見せたはずだ。私心を押し通すならば、反逆罪になりかねんぞ
師範,さて、その証書は果たして本物かどうか。よしんば本物だとして。お前たちが真に勇者一行であるか否か。この町の者は、誰も証明できない
戦士,ならばどうすればよい、このまま平行線で水掛け論を続けるつもりか
師範,いや……話はすぐにつけられる。この伝説の剣を手にする資格があるかどうか。実力で示してもらおう
商人,なぜそのような回りくどいことをせねばならん！こうなったら王に直訴して――
戦士,待て。……お前と立ち合って、勝てば剣を手にする資格があるというのだな
師範,そうだ。さすがは北の城、随一の兵つわもの
戦士,ふん。すべて知った上でか
商人,ちょ、戦士殿いけませんよ、こんな流れで得失を賭けた勝負なんて馬鹿らしい！
戦士,商人よ、礼を言う。後はこの町の武具でも品定めしてくるといい
商人,ちょおっと……もう、ワシゃホントにそうしますぞ！
師範,勝負を受けるようだな。よかろう。本来ならば勇者当人に出てきて欲しいところだが――。熱で寝込んでいるようでは、代役で辛抱せざるを得んだろう
商人,な、なぜそれを――！
戦士,地獄耳め。道場の主が、よくもそんな下らないことまで……
師範,いや、それはこの伝説の剣が教えてくれた
商人,！？な、何ですと？
師範,これはお前たちが思っている以上に不思議な剣でな。特殊な事情がある
戦士,ふん……真の勇者の居場所をも、感知するとでもいうのか
師範,何を不貞腐れている。平常を装っているつもりだろうが、野心が丸見えだぞ
戦士,抜かすのは剣だけにしろ。我々には時間がないのだ
師範,時間？お前の場合は、心の余裕がであろう
弟子たち,
商人,お、多い……
師範,私から一本でも取ることができれば、お前の勝ちでいい
戦士,何。どういう意味だ
師範,そのままの意味だ。……師範代、合図を
大男,はっ。……始めっ！
戦士,こんな辺境の地で、無名の剣士に舐められてたまるか！。うおおおおおっ！
師範,ぬううん！！
戦士,なっ……！？
弟子,＼オオオオオォォォッス！！／
商人,あわわわ……つ、強い……
師範,これで終わりではあるまい。新しい木刀を
戦士,くっ……その通りだ、こんなことで終わりではない！
大男,始めっ！
戦士,うおおおおおっ！
師範,あからさまな兜割りだな。たやすく斬り払える
大男,――始めっ！
戦士,うおおおおおっ！
師範,横一閃には縦払い！
大男,――始めっ！
戦士,うおおおおおっ！
師範,下からの斬り上げならハエのように叩き落せる！！
戦士,……な……ならば……
大男,――始めっ！
戦士,これはどうだ！
師範,そう。刺突ならば、線ではなく点の攻撃。ゆえに容易に捉えられることもない……。だが、及び腰だ！慣れない攻め方に、身体が怖がっている！
戦士,うっ……
師範,そんな腑抜けた突きなど、余裕でかわして仕留められる
戦士,俺が……腑抜けているだと？笑止な！。俺などより、あの勇者の方がどれほど温いか。あの小娘がこの場に立てば、お前から一本取るなど、永劫叶わぬだろうよ
師範,そうかな。勇者の本領は勇気であると聞く。私の予測では、この戦いでお前と同じように突きまで辿りつき。それと同時に一本取ってしまうような気がするのだが。勇気ある突きをもってな
戦士,……ほざけ。もう一勝負だ！
師範,ふっ。その姿勢は果たして不屈か、はたまた意固地か――
大男,始めっ！
戦士,うおおおおっ！！
師範,凝りもせず分かりやすい袈裟斬りか。こんなもの――
幼児,パパー！
師範,！？
弟子,こ、こら、いま入ってきちゃダメだ！
師範,ぐああああああっ！！
弟子,師範！。師ハーンッ！！
幼児,パパ！！
戦士,……ふん。俺の木刀を折れば、その刀身が飛んで危険だったということか？。軟弱に極まる！。いかなる事情であれ、真剣勝負に気を逸らすなど言語道断。今のは瞭然たる一本。伝説の剣は渡してもらおう
弟子,貴様ァ！それでも漢かァ！。詫びの一つもなしに、何だその言い方はァ！！
幼児,パパ、だいじょうぶ！？
師範,ああ……。……みんなよく聞け。戦士殿の言い分は正しい。真剣勝負の場に、私情を持ち込んだほうが負けなのだ。改めて肝に銘じよ
弟子,師範……
師範,戦士殿。これが伝説の剣だ。勇者様に渡してくれ
戦士,うむ
師範,この剣は……私の命より大切なものだ。くれぐれも大切に扱ってくれ
戦士,分かった
幼児,ダメーッ！
戦士,！？
幼児,だってそれ……ママが大事にしてた……
師範,こら。大人しくしてなさい
戦士,ふっ、なるほど。お前の妻の、忘れ形見といったところか。何やら事情があるようだが、そんなことに興味はない。俺はこの剣さえ手に入れれば、それで良いのだからな
師範,！な、何を……
戦士,真の勇者のみ抜き放つことができるという剣……。俺にその価値があるかどうか、確かめさせてもらう！！。ぬ……抜けん……！？
師範,無理だ。……その剣は、誰にも抜くことはできない
戦士,なぜだ。なぜ俺に抜けんのだ！？俺が一番。俺がこの国で一番、魔王を討ちたいと思っているのだ！！
師範,戦士殿！……もうここに用はないはずだ。お引き取り願おう……
商人,ただいま戻りましたぞ
勇者,あ……おかえりなさい、商人さん！
商人,おお勇者様、もう容態はよろしいので？
勇者,うん、賢者さんのおかげですっかり治っちゃった！迷惑かけてごめんね
賢者,……商人殿、どちらに？伝説の剣は手に入りましたか？
商人,いやあ、見つけたには見つけたのですがね。どうにも所有者の融通がきかなくて、商談にも持ち込めなかったんですよ
勇者,ええっ。商人さんの交渉が通じないなんて……
商人,戦士殿と勝負して、勝ったら譲るという話ではありますが……。いやはやその師範がべらぼうに強くて！戦士殿じゃ相手にならないくらいです
賢者,なんと。それは始末に終えませんね……
商人,ワシはこりゃダメだ、他の方法を考えようと、途中で抜け出してきましたわ
戦士,ふん。愛想をつかされる体たらくで悪かったな
商人,！？あわわわ戦士殿！
戦士,待たせたな。これが伝説の剣だ
商人,おおっ！！
勇者,わぁ！戦士さん、ありがとう！
賢者,さすがは百戦錬磨の雄。お見事です
商人,ちょ、ちょっと確認させてくだされ。ふむ……ふむふむ。うーむ、ワシは現物を手に取るのは初めてですが。本物で間違い無さそうですな。収拾した情報とほぼ一致しております。後は刀身を見せてもらえば、確信に至れるのですが……
戦士,！
賢者,では勇者様、さっそくお手を
勇者,ボ、ボクがこれを抜くの？緊張するなぁ。……なんだか、不思議な力を感じる。ちょっと冷たいけど。それじゃあ……
戦士,待て！！
勇／商／賢,！？
勇者,な、なに？戦士さん
戦士,その剣を抜くのは、別の機会にしてもらいたい
商人,な……何故ですかな？
戦士,仮にも伝説と称される武器だ。簡単に抜いていいものではなかろう。どうしても抜く必要に迫られたときに、初めて抜剣すべきだ
賢者,……ですが、早いうちに手に馴染ませておくという必要性が、既にありませんか？
戦士,最初から頼ってしまっては、もしその剣が使えなくなったときに困るだろう。ここはいざというときまで温存し、必要が迫るまでは、現状の装備を保つべきだ
賢者,偽物だったらどうするのです。確認するくらいは良いでしょう
戦士,ならば天下の大商人を目指す男の目が、曇っていたということだ
商人,ワ、ワシの目利きは偽物などに誤魔化されたことはありませんぞ！
戦士,ならば本物と断定できるのだな
商人,少なくとも、外見を見る限りは！ええ、刀身など確認せずとも！
賢者,……どうされますか？勇者様。決めるのは貴方です
勇者,……う～ん。それじゃあ……。とりあえず戦士さんの言うとおりにしよう
戦士,！
勇者,戦士さんがいなければ、この剣は手に入らなかったもん。だから今回は、戦士さんの言い分を尊重したいな
賢者,……勇者様がそう仰られるのであれば
戦士,ならばその日が来るまで、この剣は俺が預かっておこう。構わんな？
勇者,うん、構わない
賢者,勇者様、それはさすがにどうかと。商人殿に預かってもらうべきです
商人,ワ、ワシがですか
勇者,ううん、いいよ。この剣はそもそも、戦士さんが手に入れたものでしょ。何だかボクがそれをほいほい受け取っちゃうと悪いし、すっきりしないんだ。ね？
賢者,……勇者様がそう仰られるのであれば
戦士,勇者よ。感謝する
勇者,そんな、お礼を言われるようなことは何にもないよ
賢者,……
商人,ところで、次の目的地はどこですかな。明日の行き先は
勇者,うん、それなんだけど、すでに賢者さんと決めてあるんだ
賢者,はい。我々は次に、北の城へ向かう途中にある、雪山へ向かおうと考えています
商人,ふむ。構いませんが、ご説明願えますかな
賢者,はい。伝説の剣を入手してしまえば、この旅の目的は残り一つ。すなわち、魔王城への侵入経路の発見です
戦士,そういえばもうじき大陸を一周するが、結局道らしき道は見つけられず仕舞いだったな
商人,辛うじて南の港町からの陸続きのルートがありましたが、ありゃ無理ですもんな
賢者,どこにも道が見つからなかった場合、そのルートを使うことになりますが。まだ足を踏み入れていない地域があります。それが次の雪山です。万一そこにも手がかりが無かったなら、そのまま雪山を越えて北の城に向かいます。大陸の王都であれば、今なら何らかの新たな情報が集まっているかもしれません
勇者,うん、ちょうどみんなの故郷だしね！ボクも魔王と決戦の前に、一度家に帰りたいし
商人,えっ。ああー……
戦士,むう……それは……
賢者,僧侶殿のことなら、心配いりませんよ
商人,！？ちょ、ちょっと
戦士,賢者、どういうつもりだ？
勇者,？。僧侶って、誰のこと？
商人／戦士,！？
賢者,あぁ勇者様、ちょっとした知人です。我々のパーティーには関係ありませんよ
勇者,ふうん……？誰だろ……
戦士,……
商人,……ほ、ほほう。さすがは賢者殿。何やらうまくやりましたな
賢者,いえ。これは魔王打倒のためにも、必要な処置だと思ったまでです
戦士,ふん。まぁ、確かにそうか
賢者,とにかく、これで何の気後れもなく、北の城まで向かえるということです
勇者,……？ねえ、何の話？
賢者,大したことはありませんよ。それでは最後に、地図でおさらいをしましょう。我々は今まで、北の城からぐるりと時計回りに旅をしてきました。もっとも私がパーティーに参入したのは賢者の村からですが
勇者,今いるのがこの西の町でしょ。だったら雪山を越えたら、ちょうど一周するね
商人,魔王城の周りは高い山、そして海……もはや空から乗り込むぐらいしかありませんな
戦士,ルーラやキメラのつばさを応用して、乗り込めないのか
賢者,不可能ですね。少なくとも、一度足を踏み入れなければ
勇者,……うん、分かった。明日雪山に行って、そのまま北の城に行って。いずれにも魔王城に乗り込む糸口が見つからなければ、南の港町からの陸路を使おう。それじゃ、今日はもう暗くなってきたし、解散――！。……何だか熱を出してから、やけに胸の中がすかすかする気分。変なの……。ううん、そんなこと気にしてる場合じゃない。明日は山越え、しっかり休まなくちゃ……
戦士,この伝説の剣……やはり抜けぬ……。ふん……仮に最後まで抜けなかったとしても……魔王を倒すのはこの俺だ……
商人,いまの軍資金はこれだけ。魔王を倒しさえすれば、これを元手にもっと増やせる。その時の商戦はすでに考えてある……ぐふふ、世界一の大商人になる日は近いぞ……
賢者,勇者様の、私を見る目が変わった……私に、確かな機会が与えられたのだ……。あとは何があろうとも必ず勇者様を支え、お守りし、魔王を倒す。それだけの箔がつけば、何者も口は挟めないだろう……そして、その暁には……
僧侶,ふう……ただいま。おなかすいたな。パンを食べよう。パンふた切れにバターを塗って……あと少し野菜も。いただきます。ん……おいしい。しあわせ。ごちそうさま。さて……寝よっかな。……今日もたくさん特訓したぞ。僕、結構強くなったかも。そろそろギルドに登録してもいいかもしれない。そしたら、勇者も驚くかな
＊,――！
僧侶,……ん？なんだろ。外が騒がしいな……行ってみよう。なんの騒ぎだろう……
盗賊,だからオレは何も盗ってねえって！
兵士Ｂ,くそ……おかしいな、荷物には何もないぞ
兵士Ａ,おい、ボディチェックだ！
盗賊,くっ……待て！。お前ら、そこまでオレを疑うってことは覚悟はできてるんだろうな！
兵士Ｂ,何ぃ
盗賊,この国は、ヨソ者の亡命にも慈悲深いと聞いてやってきたが――。夜中の出入りは禁止だなんて話、昨日の今日で知る機会がなかったんだ！
兵士Ａ,こいつ何日も隠れてた分際でよくもそんなデタラメを……
盗賊,いいか、もしオレの身体を調べて何も出てこなかったら、お前たちを……。国を訴えてやる！訴訟だ！それなりの賠償を要求してやるぞ！
兵士Ｂ,お、おいどうする？
兵士Ａ,こんな露骨なその場しのぎにたじろいでお前がどうする！さぁ服を改めろ！
僧侶,あのう……
盗賊／兵士Ａ／Ｂ,！？
僧侶,もう夜中ですし、ケンカはやめませんか？
兵士Ａ,な、なんだお前は
僧侶,僕は近くの小屋に住む者です。こんな時間に言い争うのは、つまらないからやめましょう
盗賊,あっ！お、お前！
兵士Ａ,ま、待て！逃げる気か！
盗賊,違う！こいつだ、こいつがアレを盗んだんだ！そうに違いない！！
僧侶,えっ？
兵士Ｂ,何をでたらめを……
盗賊,でたらめなんかじゃねえさ、見ろ、こいつのポケットの膨らみを。オレが証明してやる！！
