デクシオ,“こちらデクシオ。この場所にあると思われるジガルデ・セル、回収できましたか？”
ヨウ,…ああ、もうこんな時間なんだ…？随分、話し込んじゃった。……そろそろ帰ろうかな…
ドド…！,土砂降りの音
ヨウ,……知らない間に、外…、凄い雨が降ってる……。…おす、まい？…あっと…、えーっと…？(…ククイ博士の家とは、言いづらいな…)
ｱﾆﾎﾟｹﾘｰﾘｴ,？…どうぞ。
ジェイムズ,失礼いたします…
ロトム図鑑,ありゃりゃロト～
ｱﾆﾎﾟｹﾘｰﾘｴ,…えぇ…、そんな…。…こんなことになるなんて…。ごめんなさい、…ヨウ…。
ヨウ,謝らないでよ。リーリエが悪いんじゃないんだから。…………
シロン,くー…くー…
ｱﾆﾎﾟｹﾘｰﾘｴ,…………
ロトム図鑑,～～ロ、ロトッ！！///
ヨウ,ふふっ！……ありがとね、ロトム…。…ちょっと…リラックス…できた…
ロトム図鑑,…………。……きっと…、あっちのみんなも今頃、心配してるロね…
ヨウ,……。………うん…。……だからこそ…今、できることを…できるかぎり…、頑張らなきゃ…！
ｱﾆﾎﾟｹﾘｰﾘｴ,……ヨウ…？ロトム…？
ヨウ＆ロトム図鑑,！！？
ｱﾆﾎﾟｹﾘｰﾘｴ,まだ……起きていらっしゃるんですか……？
ヨウ,リ…、リーリエ…！？ど、どうしたの？
ｱﾆﾎﾟｹﾘｰﾘｴ,…………。…………。……眠らない、おつもりなんですか…？
ヨウ,…あ、いや、ちょっと、寝付けないだけで…
ｱﾆﾎﾟｹﾘｰﾘｴ,…………。…………ごめん…、…なさい……
ヨウ,えっ？。！。…それは違う
ｱﾆﾎﾟｹﾘｰﾘｴ,……………わたくしの…、所為です………
ヨウ,絶対違う。ああ、そうさ…。……ん？
ロトム図鑑,さぁ、リーリエ！こっちに！ヨウが寝付くまで一緒に見張ロート！
ｱﾆﾎﾟｹﾘｰﾘｴ,ロ、ロトム！触れるのは、あ、…！？
ロトム図鑑,さ、ヨウ。リーリエにこれ以上、泣かれたくなかったら早く寝るロト…？。～♪
ｱﾆﾎﾟｹﾘｰﾘｴ,…
ロトム図鑑,…。
ｱﾆﾎﾟｹﾘｰﾘｴ,…。
ヨウ,…ん…
ロトム図鑑,…。
ｱﾆﾎﾟｹﾘｰﾘｴ,…。
ヨウ,………くぅ……くぅ…
ｱﾆﾎﾟｹﾘｰﾘｴ,……も、もう寝てしまいました…？。…あ…、いえ…そんな…。元はと言えばわたくしが…
ロトム図鑑,……………………
ｱﾆﾎﾟｹﾘｰﾘｴ,…………。………嫌いになんて…、なるはずがありません…。…わたくしも…、……………？
ロトム図鑑,むにゃむにゃ…
ｱﾆﾎﾟｹﾘｰﾘｴ,…………え？。…………えぇ…？……ロトムも、寝て、しまっているのですか？…いつ…から…？
ロトム図鑑,ふが。…ヨウ…。こうなったらボクがヤツとたたかうロ～…！むにゃ…
ｱﾆﾎﾟｹﾘｰﾘｴ,………………。…………ふふ、きっとロトムも気を張ってたのね…。……おやすみなさい。
ヨウ,……………………リー…リエ…
ｱﾆﾎﾟｹﾘｰﾘｴ,…！
ヨウ,………リーリ、エ…。…ごめ…ん…………。………くぅー……くぅ…………
ｱﾆﾎﾟｹﾘｰﾘｴ,………まるで魂が惹かれるみたいに、この人が気になってしまう…。……………。…………………不思議な人………
ヨウ,……リーリエ…、ごめん…。…僕は…ほしぐもちゃんを…、守れなかった。
―――,がう～♪
ヨウ,…え！？
ほしぐもちゃん,がーう♪
ヨウ,！！ほ、ほしぐもちゃん！？…夢か？あ、夢の中なんだろうけど…、ほしぐもちゃんは…本物？
ほしぐもちゃん,が～う～♪。…がう
ヨウ,？…何か、伝えたいのか？ほしぐもちゃん？
ほしぐもちゃん,がう！
ヨウ,…わかった。その時に必ず、きみを取り戻してみせる…。
ほしぐもちゃん,がうがう～♪
ヨウ,ふふふ！心配だからそれまではこうやって夢の中で僕に話しかけてくれる？
ほしぐもちゃん,がう～♪
ヨウ,うん！おやすみ、ほしぐもちゃん！。…う…、ううん…。…朝？……。……リー、リエ？…リーリエだ…。リーリエがいる…
ｱﾆﾎﾟｹﾘｰﾘｴ,……すぅ……すぅ……
ヨウ,…いや、リーリエじゃない…。…この子は別世界のリーリエ…。…。…って！ええっ！！？
ｱﾆﾎﾟｹﾘｰﾘｴ,………すぅ……すぅ……
ヨウ,？！？…な…、なんで…一緒に…ベッドで…、寝てるん…だ…！？
ｱﾆﾎﾟｹﾘｰﾘｴ,………………………ん……、ぅ…
ヨウ,…！？…
ｱﾆﾎﾟｹﾘｰﾘｴ,……………ぅん…？
ヨウ,…………
ｱﾆﾎﾟｹﾘｰﾘｴ,………ぅぅ…
ヨウ,……リーリエ…？
ｱﾆﾎﾟｹﾘｰﾘｴ,………？
ヨウ,…あ……、アロー、ラ…。…お、おはよう……。………起き、…た…？
ｱﾆﾎﾟｹﾘｰﾘｴ,……んぅ…？…、………。……へ…？
ヨウ,…………
ｱﾆﾎﾟｹﾘｰﾘｴ,……、…え…？……ええ…、………えええええ！！？///
ヨウ,………だ…大丈…夫…？
ｱﾆﾎﾟｹﾘｰﾘｴ,…あ…、あああああ…わ、わたくし…？！……わた、くし…！！///////
ヨウ,…………
ｱﾆﾎﾟｹﾘｰﾘｴ,…………
ジェイムズ,…………。………………リー…リエ、さま…？
ｱﾆﾎﾟｹﾘｰﾘｴ,……？………？？はっ！
ヨウ,し、執事さん！！？
ｱﾆﾎﾟｹﾘｰﾘｴ,いやー！ジェイムズー！
ジェイムズ,………はっ！！
ヨウ,びっくりしました！
ロトム図鑑,びっくりだロ！
ｱﾆﾎﾟｹﾘｰﾘｴ,それは良かった…！
ジェイムズ,よ…、よかった…！？
ｱﾆﾎﾟｹﾘｰﾘｴ,あ！いえ…、あなたが無事なようで良かった、という意味です…
ｱﾆﾎﾟｹﾘｰﾘｴ＆ヨウ＆ロトム図鑑,……！！…
ヨウ,……あ、でも、倒れた時に頭とか打ってないようで、それは本当に安心しました…。…。…し、しまった……
ｱﾆﾎﾟｹﾘｰﾘｴ,い、いえ！どうぞ、ゆっくり…休んでくださいね！……
ｱﾆﾎﾟｹﾘｰﾘｴ＆ヨウ,……な、なんだか、心が…痛い…っ！！
ロトム図鑑,…な、なにやってるんだロ…二人とも……
運転手,いってらっしゃい、リーリエお嬢様。ヨウ様。
ｱﾆﾎﾟｹﾘｰﾘｴ,ご苦労様でした。また帰りのお迎えお願いしますね。
ヨウ,…いってきます。ありがとうございました。……車…、直って良かったですね…
ｱﾆﾎﾟｹﾘｰﾘｴ,……。……。……。……ご…、。…ごめんなさい！ごめんなさい！ごめんなさい！！ごめんなさいーっ…！！//////
ヨウ,！！…わ、わかったから…！も、もうちょっと、声を抑えて…！？
サトシ,なんでそんな謝ってんの？
ピカチュウ,ぴかちゅう？
ｱﾆﾎﾟｹﾘｰﾘｴ＆ヨウ,ひっ！？
サトシ,アローラ！リーリエ。ヨウ。……珍しいなぁ、リーリエ？もう遅刻寸前だぜ？
ｱﾆﾎﾟｹﾘｰﾘｴ,…そ！そう！そうでした！早く教室に急ぎましょう…！
サトシ,……昨日、添い寝したんだ
ｱﾆﾎﾟｹﾘｰﾘｴ＆ヨウ,……！！！？
サトシ,……ピカチュウとモクロ―とイワンコと…。…ど、どうしたんだよ、二人とも！？
ヨウ,アローラ。ククイ博士。…昨日は泊まらせてもらう用意してもらっていたのにすいませんでした。！？あ…、あなたは…！？。…！…ククイ博士…！
ｱﾆﾎﾟｹﾅﾘﾔ,ようし…！なら、とりあえずはその方向で話を進めるとしヨーギラス！
ｱﾆﾎﾟｹｸｸｲ,？何だ？何でも遠慮せずに言ってくれ？
ヨウ,あ、はい。…オーキド校長先生。本当にありがとうございました。…失礼しました！
ｱﾆﾎﾟｹﾅﾘﾔ,うむ！成功を祈っテールナー！
ｱﾆﾎﾟｹｸｸｲ,…。…どうだった？校長も君にとってはすでに知人だったみたいだな。…驚いた顔してたぜ？。？…どうした？…何か…、深刻な話か…？。……へ？。…というわけで、わずかな間だが一緒に授業を受けることになったヨウ君だ！
ヨウ,…………。
ｱﾆﾎﾟｹﾏｵ,…君は！
ｱﾆﾎﾟｹｽｲﾚﾝ,きのうの…！？
ｱﾆﾎﾟﾏｰﾏﾈ,ヨウ！
ｱﾆﾎﾟｹｶｷ,まさか本当に転入生だったのか？
サトシ,…あれ？ヨウ。授業でんの？
ピカチュウ,ぴかぁ？
ヨウ,……あ、あの…、博士…？
ｱﾆﾎﾟｹｸｸｲ,ん、どした？
ヨウ,…スクールに居させてほしいというのは、こ…こういう意味では、無かったん…ですけど…？
ｱﾆﾎﾟｹｸｸｲ,え？…マ、マジか！？てっきり！！…すまん…！
ｱﾆﾎﾟｹﾘｰﾘｴ,…ヨウ…？どうして？授業を受けるなら、言って下されば良かったのに…！
ｱﾆﾎﾟｹﾘｰﾘｴ以外のクラスメイト,おおっ！！
ｱﾆﾎﾟｹﾘｰﾘｴ,……！
ｱﾆﾎﾟｹﾘｰﾘｴ以外のクラスメイト,……！！？…
ヨウ,あ…、ありがとう…
ｱﾆﾎﾟｹﾘｰﾘｴ,いえいえ！うふふっ！……？………どうされました？…みんな？
ｱﾆﾎﾟｹｽｲﾚﾝ,…え？…あ…えーと、なんか、リーリエとヨウっていちにちですっごくなかよくなったね…
ｱﾆﾎﾟｹﾏｰﾏﾈ,というか、リーリエが…、やけにヨウに懐いたな、的な…
ｱﾆﾎﾟｹﾏｵ,…ふふふ！変なリーリエ！…ヨウ。ククイ学級へようこそ！みんな大歓迎だよ！！
サトシ,ああーあれかー。早くも懐かしい気がする
ピカチュウ,ぴかちゅうー
ｱﾆﾎﾟｹｸｸｲ,おいおい？校庭に変なポケモンが出るから危ないって言ったのは君たちじゃないか？
ｱﾆﾎﾟｹﾏｵ,ごめんね、ヨウ。いつもはこんな物騒なところじゃないんだよ？
ヨウ,大丈夫。わかってるつもり。…えー、ええっと、わかりました…。出来るかな…？
ｱﾆﾎﾟｹﾏｰﾏﾈ,今日、調子良かったねぇリーリエ。ボク、ヨウからの問題、全然回答できなかったよ…！
ｱﾆﾎﾟｹｶｷ,ああ。大したもんだ。張り切る理由でもあったのか？
ｱﾆﾎﾟｹﾘｰﾘｴ,ななな…！ろ、論理的な結論としてわたくしは張り切ってなどございません！
ｱﾆﾎﾟｹｶｷ,あ…？そ、…そうか？…別にやる気あるのは良いことだと思うが…？
ｱﾆﾎﾟｹｽｲﾚﾝ,ヨウのポケもんだい、すっごくおもしろかった！
ｱﾆﾎﾟｹｸｸｲ,そうだな！実体験に基づいた良い内容だったぜー
ｱﾆﾎﾟｹｽｲﾚﾝ,ほとんどはリーリエがこたえてたけど。ふふふっ！。…て、てれるからやめて…///
ｱﾆﾎﾟｹﾘｰﾘｴ,………あ、あれ？
ｱﾆﾎﾟｹｽｲﾚﾝ,ヨウはアーカラじまのせせらぎのおかのみずうみでつりしたことある？
ヨウ,…！…、…あるよ…。…とてつもなく恐ろしいポケモンがいるんだ。そいつの名前は、
ｱﾆﾎﾟｹｽｲﾚﾝ,そうそう！そのこのなまえは“ヨワシ”！！
ヨウ＆ｱﾆﾎﾟｹｽｲﾚﾝ,…！
アシマリ,あうあう！！
ｱﾆﾎﾟｹﾏｵ,あれ？リーリエ？なんか涙目になってない？
ｱﾆﾎﾟｹﾘｰﾘｴ,はい？
サトシ,ほんとだ、どっか痛いのか？？
ｱﾆﾎﾟｹﾘｰﾘｴ,…、…へ？？
ヨウ,…？……リーリエ…？
ｱﾆﾎﾟｹﾘｰﾘｴ,……！？……！！？
ヨウ,リーリエ…？だ、大丈夫？…どうか、した？
ｱﾆﾎﾟｹﾘｰﾘｴ,・・・！！！……な、なんでも、ありま……！。………！
ｱﾆﾎﾟｹﾘｰﾘｴ以外,ええええ…っ！！？
ｱﾆﾎﾟｹﾘｰﾘｴ,………っ…！！
サトシ,だ、大丈夫かっ！？
ピカチュウ,ぴかぁ！？
ヨウ,リ、リーリエ…！？
ｱﾆﾎﾟｹﾏｵ,……！？……な、なんか、ヨウが来たら堪えられなくなったって感じだった…。これは…？
ｱﾆﾎﾟｹｸｸｲ,………。
ｱﾆﾎﾟｹｽｲﾚﾝ,う、うん！！
ｱﾆﾎﾟｹﾏｵ,大丈夫、リーリエ？
ｱﾆﾎﾟｹﾘｰﾘｴ,…ごめんなさい。落ち着きました。もう大丈夫です…。……！！///
ｱﾆﾎﾟｹｽｲﾚﾝ,え！わ、わたしのせい！？ごめん！リーリエ！。…？？
ｱﾆﾎﾟｹﾘｰﾘｴ,……
ｱﾆﾎﾟｹｽｲﾚﾝ,……そ…、それって、つまり…？
ｱﾆﾎﾟｹﾏｵ,(…うぐ、言っちゃっていいものか…？)…え、えっと、その、ようするにリーリエは…、
ｱﾆﾎﾟｹﾘｰﾘｴ,………/////////
ｱﾆﾎﾟｹｽｲﾚﾝ,……！…
ｱﾆﾎﾟｹﾘｰﾘｴ,……！！…！……！！…うぅ…それは…、そのう……///。…////。……////。………/////////
ｱﾆﾎﾟｹﾏｵ,…！(きゃー)////
ｱﾆﾎﾟｹｽｲﾚﾝ,…！(きゃー)////
ｱﾆﾎﾟｹﾘｰﾘｴ,……！！
ｱﾆﾎﾟｹｽｲﾚﾝ,あ…、ご、ごめん…！
ｱﾆﾎﾟｹﾏｵ,…………
ｱﾆﾎﾟｹﾘｰﾘｴ,…………マオ…。…………
ｱﾆﾎﾟｹﾏｵ,…そうだね…。スイレンの言う通りだ。それは私も同じだから。リーリエ
ｱﾆﾎﾟｹﾘｰﾘｴ,………。……ちょっと…、考えて、みます…、……二人ともありがとう…
サトシ,ヨウ？今日こそはククイ博士ん家に泊まるんだろ。
ピカチュウ,ぴかちゅう！
ヨウ,うん、そのつもり。ちょっとスクール内を色々観させてもらった後、行くよ
サトシ,へへへー！楽しみだぜー！んじゃあ俺、先に戻ってんね！
ｱﾆﾎﾟｹﾘｰﾘｴ,？あれ？ヨウ？ひょっとして泊まるところが無かったのですか？
ヨウ,ああ、うん。実は。だから昨日はすごく助かっちゃった
ロトム図鑑,ククイ博士には申し訳ないケド、正直今日もリーリエのおっきい家に泊まりたいロ！
ｱﾆﾎﾟｹﾘｰﾘｴ,ふふふ！…。ロトム、本当に泊まっていきますか？…。
ロトム図鑑,冗談ロトよ～。…リーリエは本当良い子ロト～！
ヨウ,……？
ロトム図鑑,ヨウ？そろそろ行くロ！…リーリエ、アローラ！また明日ロト！
ｱﾆﾎﾟｹﾘｰﾘｴ,……ええ！アローラ！…また明日！…。
ヨウ,……。
ロトム図鑑,どうしたロ？ヨウ？早く行こうロ！
ヨウ,…リーリエ？
ｱﾆﾎﾟｹﾘｰﾘｴ,…はい？
ヨウ,…えっと、その…、リーリエ…？…何か、あった？
ｱﾆﾎﾟｹﾘｰﾘｴ,…あ…、や、休み時間の時は…その、ご心配をお掛けしました…///
ヨウ,あ、ううん。そうじゃなくて…。…リーリエ、今…、何か困ってるんじゃない？
ｱﾆﾎﾟｹﾘｰﾘｴ,え？……べ…、別に、何にもありませんけど…っ？
ロトム図鑑,？？…何言ってるロ？ヨウ？
ヨウ,……。………本当に？
ｱﾆﾎﾟｹﾘｰﾘｴ,………。………
ヨウ,…今日は、ジェイムズさんも休みにしてしまったんだった…
ｱﾆﾎﾟｹﾘｰﾘｴ,……はい…。元々、あの屋敷は最小限の人員で管理していて…
ロトム図鑑,…ということは、リーリエ……、今日あのデカい家に一人ってロと…？
ｱﾆﾎﾟｹﾘｰﾘｴ,……うっ…、だ、大丈夫ですってば。わ、わたくしは負けません…
ヨウ,……ふ、。……ふふ…っ
ｱﾆﾎﾟｹﾘｰﾘｴ,？………ヨ、ヨウ…？
ヨウ,…こんなことで強がらなくたっていいのに。無理される方が却って心配するよ…！ふふふっ
ｱﾆﾎﾟｹﾘｰﾘｴ,！…わ…、笑う事ないじゃないですか…！///
ヨウ,ふふ…っ！大したことじゃなくて良かった…。…もう早く言えばいいのに…。…くくっ…！
ｱﾆﾎﾟｹﾘｰﾘｴ,も、もう…っ！///笑いすぎですよ…！…よ、ヨウったら…いじわるです…！///
ヨウ,…………。……リーリエ？…もう一回聞くけれど、…本当に大丈夫？
ｱﾆﾎﾟｹﾘｰﾘｴ,…………
ヨウ,もちろん！ゼンリョクを尽くすよ！
ロトム図鑑,…それにしてもよく気付いたロトね？ヨウ？
ｱﾆﾎﾟｹﾘｰﾘｴ,…………
ロトム図鑑,…おそらくヨウはリーリエのこと、いつもよく見てるからロ…。リーリエマニアだロ…！
ｱﾆﾎﾟｹﾘｰﾘｴ,…え、そ、そうなのですか…！？！？////
サトシ,んなのカンタンじゃん。リーリエもククイ博士んちに泊まりに来ればよくない？
ピカチュウ,ぴかちゅ
サトシ以外,サトシ！？
サトシ,…忘れ物して戻ってきちゃった…。へへへ
ヨウ,……ああでも、ククイ博士の家っていうのは良い考えかも。…どうかな？リーリエ？
ｱﾆﾎﾟｹﾘｰﾘｴ,……ごめんなさい。勝手に家を空けて外泊するのは、できればちょっと…
ロトム図鑑,なら、逆転の発想ロト！ボク達がリーリエの家にお泊りしに行くロト！
ｱﾆﾎﾟｹﾏｵ,なら、私も参加する！どうかなぁ？リーリエ？
ｱﾆﾎﾟｹﾏｵ以外,マオ！？
ｱﾆﾎﾟｹﾏｵ,私も忘れ物で戻ってきちゃったりして…！えへへ…！
ｱﾆﾎﾟｹﾘｰﾘｴ,……！。…わ、わたくしはその、やりたいかもです…！お泊り会…！。ヨ、ヨウは来ないのですかっ！！？。当たり前じゃないですか…っ！お待ちしてます…！
ｱﾆﾎﾟｹｽｲﾚﾝ,て、てんしょんたかっ…！！
ｱﾆﾎﾟｹﾏｰﾏﾈ,休み時間のは何だったのさ…。まー、元気になったなら良かったけど！
ｱﾆﾎﾟｹﾘｰﾘｴ,実は前からこういう事、一度はやってみたくて、憧れたんです…！
ピカチュウ,ぴーか
ｱﾆﾎﾟｹｶｷ,……サトシのこれまでの詳しい経歴がたまに知りたくなるんだが。俺は…
ｱﾆﾎﾟｹﾏｵ,それしても、カキまで参加できて本当に良かったよ！配達、大丈夫？
ｱﾆﾎﾟｹｶｷ,ああ。折角だし明日はいいって、親がな。…まぁこんな機会、中々無いだろうしな
ヨウ,お泊り会やるのってやっぱり珍しいんだ？
ｱﾆﾎﾟｹｶｷ,そういう意味じゃ無いさ。ヨウがいるってことが、凄く貴重だろ？
ヨウ,あ…！…ありがとう…！。え？カキ、妹居たの？……知らなかったな
ｱﾆﾎﾟｹｽｲﾚﾝ,あ、ちなみにわたしにもいもうとがいるんだよ
ヨウ,ホウとスイっていう双子の妹でしょう。それは知ってる
ｱﾆﾎﾟｹｽｲﾚﾝ,…………いや、ぎゃくになんで、しってるのかな…！？。いいね！たのしそう！！どう？リーリエ？
ｱﾆﾎﾟｹｶｷ,……ああ
ｱﾆﾎﾟｹﾏｰﾏﾈ,……うん
ヨウ,……いってらっしゃい
サトシ,おう！あ、リーリエ？この○ンテンドースイッチ、やらせてもらっていい？
ｱﾆﾎﾟｹﾘｰﾘｴ,ええ。もちろん良いですよ、サトシ。…マオ、スイレン。待ってください。今、行きます。
ｱﾆﾎﾟｹｽｲﾚﾝ,リーリエのいえのおふろ、すっごくおっきそう！…およげるかな！
ｱﾆﾎﾟｹﾏｵ,こらこらもー！スイレンったら！…リーリエ！背中流し合っこしようよっ！
ｱﾆﾎﾟｹﾘｰﾘｴ,…そういうのは恥ずかしいですってばぁ…！///…うふふっ！///
ｱﾆﾎﾟｹｶｷ,…。
ｱﾆﾎﾟｹﾏｰﾏﾈ,…。
ヨウ,…。
ｱﾆﾎﾟｹｶｷ,…なんと、いうのか…
ｱﾆﾎﾟｹﾏｰﾏﾈ,……
ヨウ,……
ｱﾆﾎﾟｹｶｷ,適切な表現かは…、わからないが、
ｱﾆﾎﾟｹﾏｰﾏﾈ,……
ヨウ,……
ｱﾆﾎﾟｹｶｷ,…何か、こう…空気が、…いたたまれない…っていうか…
ヨウ,わかるよ
ｱﾆﾎﾟｹﾏｰﾏﾈ,…ま、まーね。……。女子たち…、ちょっと…あれはデリカシーにかけていると思う…
ヨウ,…サトシはすごいな
ｱﾆﾎﾟｹﾏｰﾏﾈ,…こうなりたいとは…、何でかまったく思わないけど…
ｱﾆﾎﾟｹｶｷ,…ああ
アママイコ,あっまーい♪
ｱﾆﾎﾟｹｽｲﾚﾝ,おいしそう！
ｱﾆﾎﾟｹﾘｰﾘｴ,そうですね！…この前の試食会のシチューも美味しかったです！
サトシ,10万ボルトシチューは勘弁だったけどな！
ｱﾆﾎﾟｹﾏｵ,たはは…！今日の料理の味は自信をもって保障するから安心してちょうだい！
ｱﾆﾎﾟｹﾏｰﾏﾈ,ねぇ、はやく食べようよぉー！
ｱﾆﾎﾟｹｶｷ,ああ！腹が減った！
ヨウ,…！(…マ、マオの…料理かー…！)。……………！。……はっ！。……！！
ｱﾆﾎﾟｹｽｲﾚﾝ,おいしー！
ｱﾆﾎﾟｹﾏｰﾏﾈ,おかわりー！マオー！
ｱﾆﾎﾟｹｶｷ,はやっ！早いぞっマーマネ！
サトシ,ウマいなー！またレベルアップしたんじゃないのか、マオ！
ｱﾆﾎﾟｹﾘｰﾘｴ,本当、流石ですね…！…わたくしにもお料理、本格的に教えてもらえないかしら？
ｱﾆﾎﾟｹﾏｵ,…んー、何かイメージしてた風味とちょっと違うような…だけど、まーこれはこれでアリかなー
ヨウ,！？……みんな、だ、大丈夫なのか…？
ｱﾆﾎﾟｹﾏｵ,？ヨウも食べて食べて！……ヨウのお口にも合うと嬉しいなっ。にへへ！
ヨウ,……！……。……うん…、…いたただきます…！。…！？……おい、しい…！。うん…！おいしい！…その、何か謝りたいくらい…！…凄い！…マオの料理！おいしい！
ｱﾆﾎﾟｹﾏｵ,…え？…、あ…、ヨ、ヨウは何か凄く…大げさだなぁ…？
ヨウ,だって本当に凄いよ、マオ…！。感激だ…こんなにマオが凄いなんて…！
ｱﾆﾎﾟｹﾏｵ,だ、だめ、だってばぁ…/////
ヨウ,こんなマオの料理なら毎日食べたい…！
ｱﾆﾎﾟｹﾏｵ,……………ふぇ？……///////
ｱﾆﾎﾟｹﾘｰﾘｴ,……………マオ？
ｱﾆﾎﾟｹﾏｵ,…はっ！
ｱﾆﾎﾟｹﾘｰﾘｴ,………………。……マ、マオ…？……ま…、…まままま、ま…さか…！？
ｱﾆﾎﾟｹﾏｵ,…あ、いや！違うの！違うよ…！////
ヨウ,………？
ｱﾆﾎﾟｹﾏｵ,………？
ｱﾆﾎﾟｹｶｷ,……………………………………！！！くるくるくる！
ヨウ,………………。
ｱﾆﾎﾟｹﾏｵ,………………。
ｱﾆﾎﾟｹｶｷ,……………………………………！！！ぐるぐるぐる！
ヨウ,……？カキの様子が…おかしい…？どうしたんだろう…？
ｱﾆﾎﾟｹﾏｵ,…何かファイヤーダンスを踊ってるね…！…黙々と…！怖い！
ヨウ,…………これはまるで…正気を失ってしまっているような…？。そ、それって、ぜ、全部“こんらん”作用のあるきのみじゃないか…！…なんでそんなものが…
サトシ,ああ！メブンリョウだろ！だから、めぇいっぱい入れてやったぜぇ！！
ヨウ＆ｱﾆﾎﾟｹﾏｵ,えええええええぇ…！！？
ｱﾆﾎﾟｹﾏｵ,…ば、ばかぁーっ…！じゃあ絶対、それのせいだよー！！。うん！大丈夫っす！！私には全然効いてないでっす！
ヨウ,…………。…………マ、マオ…？
ｱﾆﾎﾟｹﾏｵ,…アレ？おかしいな？やっぱ、ダメかもしれないでっす…！ふふふふふ…！
ヨウ,…………！。…はっ！！………ス、スイレン、マーマネは！？
ｱﾆﾎﾟｹｽｲﾚﾝ,大丈夫です！釣りをなさりたい気持ち…スイレンにはよーく解ります！
ｱﾆﾎﾟｹﾏｰﾏﾈ,大丈夫。マーマネは強いコだから……
ヨウ,……。…！そ、そうだ……サトシは？
サトシ,すっげぇ気分いいぜぇぇっ！もう、俺！歌でも歌っちゃうから！！～♪
ヨウ,……おくちあんぐり…。……………………ッ！
ロトム図鑑,ぐぉぉ、むにゅむにゅ…
ピカチュウ,ちゅうちゅう
他のみんなの手持ちポケモン達,ぐーぐー
ヨウ,ほにゃあ！寝ておる！。………！！
ｱﾆﾎﾟｹﾘｰﾘｴ,……///
ヨウ,…リ。……リーリ、エ…！？
ｱﾆﾎﾟｹﾘｰﾘｴ,……///
ヨウ,…？
ｱﾆﾎﾟｹﾘｰﾘｴ,…///
ヨウ,…！！
ｱﾆﾎﾟｹﾘｰﾘｴ,～～//////
ヨウ,……！！(…あわわ！予感はしてたけどやっぱりリーリエも混乱してる！///)。…リ、リーリエ…あの、どうしたの…、かな…？
ｱﾆﾎﾟｹﾘｰﾘｴ,……、わたくしは正気です…
ヨウ,わがまま言わないで？良い子だから…。…！ご、ごめんごめん……、………う！。……うう、ううう……。…………
ｱﾆﾎﾟｹﾘｰﾘｴ,……？
ヨウ,……。……リーリエ…？あいたかった、リーリエ…でも、どうして…ここに…？？
ｱﾆﾎﾟｹﾘｰﾘｴ,………？どうして、って？こ、ここは…わたくしのお家だから、ですけど…///////
ヨウ,………………？
ｱﾆﾎﾟｹﾘｰﾘｴ,……？
ヨウ,…………。………………！。………っ！？意識飛んでた…
ｱﾆﾎﾟｹﾘｰﾘｴ,……む、むぅ…！
サトシ,少しずつだけどっぉ！♪
ｱﾆﾎﾟｹﾘｰﾘｴ以外のクラスメイト達,たいぷわいっ！！
ヨウ,……なにしてやがるみんな。このまま起きてるとかない！
サトシ,ええー？どうして？こっから良いとこなのにー？
ｱﾆﾎﾟｹｶｷ,なっ、なんということだ！
ｱﾆﾎﾟｹｽｲﾚﾝ,あらまあ
ｱﾆﾎﾟｹﾏｵ,勝負の味も色々だね！！
ｱﾆﾎﾟｹﾏｰﾏﾈ,ヨウさん、頑張ってる！
ヨウ,いいからーはやくねるのー。……ううん…
ロトム図鑑,ヨウ！…ヨウ！起きるロト！もう朝ロト！！今日もスクールに行くんだロ？
ヨウ,……朝…？もう…？
ｱﾆﾎﾟｹﾘｰﾘｴ,……すぅすぅ…
ヨウ,また一緒に寝てる…！
リーリエっ…！起きて…！他のみんな、起きてきちゃうよっ…！？,小声
ｱﾆﾎﾟｹﾘｰﾘｴ,……ふにゃ…
ロトム図鑑,みんなぁーっ！！早く起きるローっ！！スクールに遅刻するロトー！！
ヨウ,ち、ちょっと待って！！ロトム！！///
ｱﾆﾎﾟｹｽｲﾚﾝ,…なんかきづいたら、あさになってた…
ｱﾆﾎﾟｹｶｷ,…途中から飯を食い終わった後くらいから何があったか全然覚えてない…
ヨウ,……僕もそんな感じ…
ｱﾆﾎﾟｹﾏｵ,なんか勿体無い…
ｱﾆﾎﾟｹﾏｰﾏﾈ,ま、まーね…
ｱﾆﾎﾟｹﾘｰﾘｴ,どうしてこうなったのです…？
サトシ,……………………
サトシ以外,良くない！！
ｱﾆﾎﾟｹﾏｵ,……くぅー…！みんな！こうなったら、お泊り会、リベンジするしかないね！
ｱﾆﾎﾟｹｽｲﾚﾝ,うん！そのとーり！
ｱﾆﾎﾟｹﾘｰﾘｴ,楽しかったなら、またやりましょう！是非またやりたいです！お泊り会！
ｱﾆﾎﾟｹｶｷ,いつもはストッパーのリーリエがこれじゃあ、またやるしかなさそうだな
ｱﾆﾎﾟｹﾘｰﾘｴ,ふふふ！だって、楽しかったんだから仕方ありません！
ヨウ,ふふ
サトシ,……。……そんときはさ、もちろんヨウもまた一緒だからな？
ピカチュウ,ぴっかちゅう！
ヨウ,…………。…うん…！ありがとう…
ｱﾆﾎﾟｹｽｲﾚﾝ,…あれ？。…？こうもんのまえにだれかいるね？
ｱﾆﾎﾟｹﾏｰﾏﾈ,！？あ、アイツは！？
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,………………
ヨウ,……
