男…26歳ゲーム開発会社勤務,グラフィック担当
男,うーむ。うーん。そうだったか？まあそうだった様なカンジも。取り敢えず、軽く返信…。送信！ふ～
後輩女,先輩、お疲れ様です
男,お、お疲れさん帰り？
後輩女,はいちょっとお話、いいですか？
男,何？。そうだね
後輩女,いいんでしょうか？
男,不安？
後輩女,はい。んー、不安です…。えー。そうですね…。…はい、よろしくお願いしますそれじゃ、お先に失礼します
男,はい、お疲れ様。あ、メール返信かな。うーん…。…。…。…送信！
あひる,ｸﾞｧ～
男,そう言うなよ悪かないと思うぞ
後輩女,…はい、よろしくお願いしますそれじゃ、お先に失礼します
男,はい、お疲れ様。あ、メール返信かな。うーん…。…。…。…送信！
あひる,ｸﾞｧ～
男,そう言うなよ悪かないと思うぞ。は～、定時で帰れるなんてのも今の内だけだな
女,こんばんは
男,うお！っと、女さん、こんばんは驚いた
女,すいません、帰ってきたっぽかたので、ちょっと出てきちゃいました
男,どうかしたんですか？
女,いえ、あの、ほら、メールで…
男,ああ、ああ、別にいいのに
女,ちょっと、ウチで話せませんか？
男,え、もう大丈夫なんですか？部屋
女,イスとテーブルが出せる位にはなりましたもし、良かったら、ですけど
男,んー、いいっすよ早めの帰宅だし。やっぱものすげーな、この部屋…この倉庫感
女,はい、どうぞコーヒーですが
男,どうもです
女,…
男,…
女,…
男,で、。解りましたもういいですって。ああ…
女,それにあの時、崩した本の傷の方が気になって
男,ああ…、崩れたの、大事な本なんですか？
女,全部大事です！
男,…
女,あ…ごめんなさい、私また
男,本、好きなんですね～。うーん、まあ
女,とにかく、嫌な態度取っちゃってごめんなさい！
男,うん、はい、ＯＫ！謝り過ぎは良くない
女,…はい
男,それにしても、改めて見てもズゴイ部屋ですね
女,やっぱり、引きますか。どんな人が居るんですか？。ええ。は～。それは～、私が言うのも何ですが～。男さんは、何か置いてないんですか？
男,俺は～、バイクミニカーを色々と…
女,あはははは
男,仕事中にたまに眺めて、和むんですよ
女,みんな色々置いてるんですね。ああ、はい、確か後輩女さん。あはははは、何かかわいいですねそれ。わかりましたふふふ。そういうものですか
男,そういうもんです女さんの本は、小説が多いですね？。俺は時々文庫だけだなぁ。そういうのも見るのか～
女,で、文庫版が出ると読む用にまた買っちゃったりするんですよ
男,ハハハ、女さんマニアックだなぁわかるけど
女,マニアックですか…うふふ、そうですね
男,それで、この部屋ですか
女,ええ…まあ
男,背の高い棚で壁を全部覆っても足りなさそうですね、これは
女,どうしたものか、て思ってるんですが
男,はっはっは、性分ですねもう直らないんでしょうね
女,…男さんて
男,はい？。会社でオタク慣れしてますからね俺もですが
女,あははっ
男,…ちょっと、聞きたい事あるんですけど、良いですか？
女,何です？
男,消えた２ページていう本知ってます？児童書なんですけど
女,知ってますよ
男,ええ！？即答ですか。ええ！？おおおー、それ、見せて貰っても良いですか？
女,良いですよちょっと捜すんで、待ってて下さい。…その本、探してたんですか？。なるほど～
男,ここの本の山見てたら、いきなり思い出したんですよ
女,あ、ありました…これですね
男,おお、ん、あれ
女,あれ、違うのでした？
男,いや、なんか…でもタイトルは同じだし…
女,それって、背表紙のここんところが赤いのじゃないですか？
男,あ！そうだ！それです
女,残念お役に立てなくて…
男,いやそんな別の版がパッっと出て来るだけで凄いですよ
女,それ、貸しますよ持って行って読んで下さい
男,え、そうなんですか。あら～、残念だ
女,…もし、見つかったら、欲しいですか？
男,そうですね～、買いたいかな
女,古書でもいいですよね
男,全然、構いませんよ
女,ちょっと、私の方のルートで探して見ますよ
男,本当ですか！嬉しいな
女,見つかるかどうか、わかんないですよ？。はい、じゃあ、見つからなかったら改めてお貸しますね
男,いやー、楽しみが出来たな
女,ふふふ、私もお礼が出来そうで嬉しいですよ
男,あ、ちょうど良いかもですね
女,…あの、メールで、
男,はい？
女,…メールで友達相手に遠慮はなんてかいてあったじゃないですか
男,ああ…
女,あれは嬉しいですよぐっと来ます
男,そりゃ良かったです
女,…
男,ああ、そろそろ時間遅いですね長々お邪魔しちゃって
女,え、あー、そうですねお仕事の話も聞いてみたかったんですけど
男,あ、そういや前、本屋の仕事話も聞けず終いでしたよ
女,そうですねー今度また、是非
男,ええ、じゃあ、お邪魔しましたまた
女,じゃ、おやすみなさい
男,おやすみなさいそれじゃ…
女,あ、男さん
男,はい？
女,…色々、ありがとう
男,友達か…。うん、悪くないよな悪くない
■金曜日,昼過ぎ
後輩女,先輩、ちょっと良いですか？
男,お、なんすか
後輩女,このレイアウトどうでしょう？ちょっと見てもらえますか…
男,んーこれの前の画面の仮レイアウトあったでしょ確かそれ見せて
後輩女,はい…これです。はい
男,んん？んー、あー、そうかもなぁ
後輩女,今日はそんなに怖い感じじゃなくなってます
男,そうかいやまてよ、俺いつも機嫌悪いって思われてたのか
後輩女,そう見えるんですよ…
男,女さん
女,…
男,女さんこんばんは
女,…
男,聞こえないんかヘッドホンしてる訳でもなさそうなのに。女さんってば
女,ひっ、あれあ、男さん？お疲れ様です仕事帰りですか？
男,ええ、女さんもですよね
女,はいそうかー、電車使うと、会う事もあるんですね
男,…一緒に帰ります？
女,歩くの遅くなっちゃいますけど、いいですか？
男,ええ
女,すみません、じゃあ一緒に行きましょうか
男,スゴイ集中して読んでましたね
女,ごめんなさい読んでると色々鈍くなっちゃって
男,危ないですよ…何読んでたんですか？。いや、知らないですどんなのですか？。ふーん。変わった話ですね
女,私、読み終わったら、どうですか？男さん
男,あ、是非通勤中結構暇なんですよ。捻挫でしたっけ、前より良くなって来ました？。ん、じゃあ上香坂で降りて、ちょっと歩きません？
女,え、そんなわざわざ付き合わなくっても。ん、じゃあ、ていうか、一緒でいいんですか？。んー、丁度いいかなそれじゃあ、ご一緒させて下さい…
男,そんなにかしこまらなくても俺から言い出したんだし
女,ふふ、そうですね。暗いですねーここいつもここ通るんですか？
男,ああそうか男１人だと気にならないんですよ良くなかったですか？
女,いえ、今は１人じゃないから平気ですいつもは１人なんですか？。アハハ、わかりますわかります
男,あ、歌っつったら、いつか
女,あ
男,女さん風呂場で
女,止めて下さいアー！恥ずかしい！
男,わははははごめんなさい
女,スゴイ恥かしかったんですよ、あの時
男,ははは、俺もちょっと、しまったなあって折角の歌を歌止めちゃって
女,もうー
男,ははは、あの時あれ、歌ってたのってGRAPEVINEの？
女,あ、多分そうですGlareですああ、恥かしい
男,俺も好きですよ、その曲だからつい反応しちゃったっていうか
女,そうなんですかー凄～っく好きなんです私、あの曲
男,散らばっ～てーいた～光は～ですよね。上手いな…
女,青になって～手をかざして～
男,そうだ、見～上ーげたら～もう行くのかい～
女,あー、誰かに聞かれたら恥かしいですね
男,俺、たまにジョギングしてる人とかに聞かれます
女,あはははは
男,でも、声出すとスッキリしますよ。高くて嫌なんですよ、自分の声。ん、嫌いじゃないですよ、俺は
女,また～。凄いマジっぽいですね
男,信じてくれましたか
女,ふふ、それはもう
男,…俺は真の馬鹿なんじゃないだろうか。そういやそうですね
女,男さんは、こっちは長いんですか？。私はまだ全然ですよ
男,適当にぷらぷらしてれば、その内覚えるんじゃないですかね
女,着いたー
男,足、どうですか？
女,平気ですこの位の距離って、ちょうどいいかも
男,そりゃ良かった
女,えー、また
男,はい？。いえ、いつもと同じですあ、それじゃ、おやすみなさい
女,おやすみなさい
男,うーん…じゃあまた一緒にが出せないな俺は。…歌はやばかった手を繋ぎたかったな
■日曜日,昼前
男,ううう、呼び鈴め俺の睡眠を
女,こ、こんにちわー、女ですー
男,何ィ！ダッシュだ！
女,おはようございます
男,おはようぎざいますどしたんですか？
女,はい、こないだ、男さんに本探しを頼まれたじゃないですか？
男,ええ。どんな人なんですか？その人って。すみません
女,じゃあ、ちょっと電話かけて来ますね
男,はーい。お待たせしました
女,はい、電話入れときました待ってるそうです
男,良かった家が近いって、どの辺なんです？
女,吉墨２丁目だから、歩いて１５分位？歩きでいいですか？
男,いいすね、天気良いし
女,はいじゃあ、行きましょうか
男,いきなり２人でお出かけする事になるとは、超不意打ちだな。そういや女さん、前、眼鏡掛けてた事無かったでしたっけ？
女,あれ？男さんの前で掛けてた事ってありましたか？
男,いつだったかなぁ見ましたよウチに来た時だったかな
女,そうでしたか？ウチで本読む時だけかけてるんです
男,いつもはコンタクトなんですか？
女,コンタクトは怖いですよ、目の中に入れるなんて。ここの家です
男,短いおでかけだったな。ふーん
女,御免下さーい女です
古,…はいはい、ちょっと待っててな。お久しぶりですね、女さん元気そうだねそちらの方は、初めまして
男,初めまして男といいます
古,まー、取り敢えず上がって下さい
女,はい失礼します
男,お邪魔します
女,これ、つまらないものですが、お孫さんとどうぞ
孫,ちょっと待って～すぐ行くよ～
古,…失礼そう言えば、この前来たのは、いつでしたっけ？
女,確か蝉の女王とかの時だったと思います。はいいつもお願いばかりですが
古,ははは、まぁ商売でもあるしねじゃあリストをお預かりします
女,これですよろしくお願いします
古,拝見…相変わらずの趣味ですね女さんは
孫,どうもこんにちわ！ハイどうぞ、粗茶ですが
女,ありがとうごさいます
孫,こちらの方、はじめてですねどうぞ
男,初めまして頂きます
女,…今日はもうひとつ、お願いがあるんですよ
古,お願いですか何ですかね
女,…こちら、私の友人なんですが、彼の探し物をお願いしたいんです
古,…ほう失礼ですが、男さんでしたかご職業の方は何を？
女,…
古,なるほどわかりました、お話伺います探し物の本のタイトルは？
男,理論社名作の愛蔵版消えた２ページ寺村輝夫です。はい、急ぎません。はい、わかりましたよろしくお願いします
古,今日はこんな所ですかね？
女,はいよろしくお願いします
男,あ、はい、お願いします
女,では、その様にお願いしますよろしくお願いします
男,よろしくお願いします
古,承知しました
女,それじゃ、今日はこれで失礼しますね
古,また是非、いらして下さいよ
女,はい、ありがとうございますでは、また
男,ん～なんか変わったカンジだったなぁ
女,ですよねでも良い方なんですよ
男,それはわかりますあの、職業聞いたのって、何なんですか？
女,あれは…あのおじいさん、結構趣味人で偏屈な所があるんですよ
男,偏屈っつーと…。下らない、てのは？。ふうん。俺の仕事は平気だったのか～。ええ！意外。俺とした事が、緊張して見てなかった…。ふ～ん。変わった人だなぁでも面白いなどこで知り合ったんですか？。あ、それで先生なのかなるほどなぁ。なんか、かっこいいな
女,アハハ、そうですね
男,今日はもう、帰るだけですか？
女,そうですね…あ、あの、男さん、おひ、お昼ご飯、済んでますか？
男,まだです起きたばっかだったんですよどっかで食べて帰りましょうか
女,そうしますか…どこがいいですかね～
男,イイ休日だ…やっぱ休日は休まないとな
■翌週木曜日,昼過ぎ
後輩女,なんでこのデザインじゃ駄目なんですか？。…。…解りましたちょっと休憩入りますね
男,了解
同僚Ａ,センパ～イ、怖いですセンパ～イスウェ～んプワ～ィ
男,うざーい！！つうか、いちいちネタにしないで下さいよ
同僚Ｂ,いや、本当に怖いですよ
男,まじですか
同僚Ａ,ワシだってマジ言っとるよ
男,うーん
同僚Ａ,真顔が悪い笑え
男,わはははははは！うひー
同僚Ｂ,男さん
男,すんませんでも真顔が悪い言われてもなぁどーもそこらへんは
同僚Ｂ,何にしろ、男さん以外がちょっとフォローしといた方が良さそうですね
同僚Ａ,お、いいな突撃だ
男,ああ！ちょい！下手な事しないで下さいよ！
同僚Ｂ,上手くやっておきますよ
男,すんません、お願いします。うーん
上司,まあ、あれよ
男,はい？
上司,強引に笑顔とか、返ってキモイ結果になるから、無理はすんなよ
男,そーですねー
上司,微妙に気遣いは入れとく様にその位は出来る様になっとけよ
男,了解です。とか言いつつ、ニガ手もいいところいつもながら困ったな
同僚Ｂ,戻りました
同僚Ａ,うぃ～っす
男,お帰りっす
後輩女,ただいまです
男,お帰り
後輩女,さっきのデザイン、もう少しネタ出しに時間つかっても良いですか？
男,良いけど、遅らせた分の時間は取り戻さんといかんよ
後輩女,了解ですありがとうございます
男,じゃあ、週明け辺りにでも、もうちょい詰めた話をしよう
後輩女,解りました
男,頑張ってくれよ。と、ここでこういうのを常にサっと口に出せないのがダメなのか、俺は。とは言えまぁ、タイミングは逸したな
後輩女,それじゃ、私お先に失礼します
男,はい、お疲れさん
同僚Ｂ,お疲れ様でした
同僚Ａ,うぃ～っす
男,ふ～～っ。メール…女さん。…。じわっと来たなタイミングだなこれは。もう帰るか…いや。送信…もうちょいキリのいい所までやっとかにゃな。この１時間をフル活用して、後輩支援のネタ繰りだ、やるぜー
女,こんばんは男さん、お待たせしました
男,あ、こんばんはちょうど電車も来ましたよ
女,急行乗っちゃって、平気なんですか？。そうですよねー。直前でいきなり声掛けたりしたら悪いかな、とも思ったんですけど
男,んー、
女,友達だし、いいですよね気軽に声掛けても。そうですねでも残念とは思いますよ
男,まー、そりゃ仕方無いですよね
女,お仕事でお疲れってカンジですね
男,また顔に出てますか
女,なんとなく話し方とか…
男,締まらんなぁ、俺は
女,ここは話してスッキリしましょうよ
男,そうですねあ、俺じゃなくて、後輩の方の話なんですよ
女,あ、この間の…。へ～、デキる後輩なんですか。センパイも大変ですね時々優しくしてあげると良いですよ
男,苦手なんだよなぁ～
女,そうですか？
男,仕事だとどうにも
女,またまたぁ
男,本当なんですよこれが…
女,男さんって
男,はい？。居ませんよ、仕事ばっかです女さんはどうです？
女,仕事場じゃ、全然そんな感じにはなりませんね
男,ええ、そうなんですか？
女,私なんか、上手くいきませんよ
男,何だ？
女,男さんの方こそ、職場に女の人とかってさっきの後輩さんとかは？。あはは、そうですねでも
男,はい？
女,失敗したのを責めすぎたらだめですよ
男,う～ん、そうですね…
女,そうですよ
男,ああ、それとあれだ
女,なんですか？
男,俺、顔が怖いって言われるんですよそいつに
女,ええ？
男,俺って普段から顔怖いですか？
女,そんな事無いですけど…どっちかって言ったらニコニコしてますよ
男,うーん、職場だと言われまくるんですよ
女,…男さんマジメですね
男,全然、んな事無いですよ
女,なんか結構趣味的なのに根がマジメ、ていうか
男,それ、全然関係無いですよ
女,そうだ、ちょっと仕事話してみて下さいよ怖くなるかテスト
男,え、女さんに？
女,そうですいつもと顔が変わるかどうか
男,仕事の話っつっても、脈絡無いからなぁ難しいですよ
女,どうぞ
男,面と向かわれてもなぁ
女,…
男,…
女,…ﾌﾟｯ
男,ぶっ
女,あはは、なんで笑うんですか
男,はははは、女さんの方が先でしょ
女,あはははは、やっぱり全然怖くないですあはは
男,くくく
女,あははは、あ～
男,…
女,…？
男,好きです
女,え
男,ん、あれ
女,…
男,俺、なんか言いましたね
女,言いました
男,ブっはァァァァァアアア！！！！
女,…
男,何故言う俺！物事の脈絡はどこへ！
女,あの…
男,はい…
女,やっぱり、早めに言った方が良いですよ
男,ん？
女,そういうのは、本人に
男,はい？
女,あはは、それじゃあ、おやすみなさい！
男,あ、おやすみです…。んー…。あれええええええええええ？？？？？！！！！。…女さんを後輩女さんに見立ててこわい顔テストをしていた。それに向かってイキナリ好きですと発言。それに女さんはそういう事は本人にと返す。つまり女さん相手に後輩女さんに告る練習をした、と取られた。俺の言った事のハズさ、誤解の内容、それを素で受けられた事。…。…。…ムッ。ッッッはあああぁぁぁあああぁぁあぁあああぁああぁあァァアッァ！！！！
■５月初旬水曜日,午後
あひる,ｶﾞｰｶﾞｰ
男,呑気だなあ、こいつらは。いやでも、こいつらにはこいつらなりの様々な問題が…
後輩女,先輩、お疲れ様です
男,あれ、お疲れ
後輩女,この子達、名前あるんですか？
男,アフラッ太君とアフラッ子ちゃんだよ
後輩女,え、本当ですか
男,今考えた
後輩女,…休憩、いつもここなんですね
男,吸わないしねあと、こいつら見てると和むんだ
後輩女,ちょっと微妙なお話があるんですが、いいですか？
男,なんすか微妙って戻ってからじゃ駄目？
後輩女,はい…ちょっと、すみません
男,長くなったりする？
後輩女,なるかも知れません。はい、わざわざすみません
男,ん、じゃあ今日は7時辺りで仕事切ろうか
後輩女,はい
男,何の話なんだかなぁ。女さんの誤解は厄介だな…つうか、俺が後輩女さんをなぁ…。かわいい奴ではあるんだけど、仕事の後輩だしな。何より向こうにその気があるってのが有り得ん。とは言え、ああ言われると何かちょっと意識しちゃうよなぁ。俺は腹が減ったよいきなりメシっぽいの頼んで良い？
後輩女,あ、私も
男,じゃあ、ここの店おでんがウマイからおでん食おう
後輩女,おでん、いいですね
男,まずは大根だな…何が好き？
後輩女,しらたきですかね
男,しけたもんが好きだなぁ俺はあと、たまごとじゃがいもを
後輩女,私あと、ちくわぶと昆布巻きを
男,なんだとちくわぶは敵だ
後輩女,何ですかそれじゃがいもなんて、おでんの具じゃないです
男,ひたすらネタの嗜好が合わないな…
後輩女,本当においしいですね、ここ
男,つうか、何か話があったんでは
後輩女,…そうですえー、
男,言いづらい話？
後輩女,まあ、そこそこに
男,仕事関連ではあるの？
後輩女,えーと、間接的に…
男,間接～？歯切れ悪いなズバっと言っちゃいなよ
後輩女,実は…実は、私…
男,まさか…
後輩女,その、なんと言うか、ですね
男,…
後輩女,す…好き
男,ｷﾞｸﾘ
後輩女,同僚Ｂさんの事が好きになってしまいまして！！
客,おいちゃーん、ここスキマ風が来るんだけど
オヤジ,ああ、そこ、窓の立て付けが狂っててすみませんね～
男,…
後輩女,…あの…
男,続きをどうぞ
後輩女,いやその、先程も申し上げた通り…
男,うん
後輩女,ど、どう、同僚Ｂさんが…、あれで…
男,うん、わかったそんで？。駄目じゃん、それじゃ
後輩女,あーーーーもーーーー
男,おい、落ち着けよ
後輩女,すみません、こんななんですどうしたら良いですか、私。スレ？。ああー
男,…お前は～
後輩女,申し訳ないです…
男,う～～ん。そもそも、後輩女さんはどうしたいのさ
後輩女,うー
男,配置転換して欲しいとか、他のラインに
後輩女,それは困ります！こんな半端な仕事しか出来てないのに
男,仲を取り持つ、でもないし、上司さんに報告する、も違うよな
後輩女,…
男,後は～、やめとけとか言って欲しい、なんて訳はないよな
後輩女,はい…。…。先輩に
男,ん？
後輩女,先輩に聞いて貰えれば、それで良かったのかも知れないです
男,なんだそれは
後輩女,そうすれば、私がダレても叱ってくれるじゃないですか
男,なんだその甘ったれつうか、それ知らなくてもダレてたら怒るから
後輩女,そうですけど、もう言わずにはいられなかったんです…
男,うーん、本人に言うとかはどうなの？
後輩女,そんな、絶対困らせちゃいます
男,オレオレ、俺も超困ってるよ、今
後輩女,すみません…
男,まあ君が困らせるなら俺の方がまだマシかぁ
後輩女,…
男,取り敢えず、聞いた聞いて現状了解したそれでいいの？
後輩女,はい、聞いて頂いて、ありがとうございました…
男,そもそも、同僚Ｂさんのどこにグっときたのさ。そうすかーそうねー。そりゃどうも
後輩女,また煮詰まったら、相談してもいいですか？
男,…いいけど、俺からもちょっと頼みがあるんだが
後輩女,なんですか？
男,やたらと怖がらないでくんない？
後輩女,そんなの無理ですよ
男,コイツ…。何を相談するつもりにしてもさぁ
後輩女,はい。そうですね…そうですよね～
男,そうだよなぁまあ飲んどきなよ
後輩女,はい、頂きます
男,その種の問題関連の俺のキャパはもう完全にオーバーだ…
後輩女,どーもごちとーさまでしたー
男,喋りが覚束無いな大丈夫かよ
後輩女,へーきですぅ
男,足取りは確かだが…。まあそれが良いな１人で平気？
後輩女,へーきですぅ
男,送ってくかどうかは微妙だが…
後輩女,そでじゃーおつかれさまでした
男,帰ろう
後輩女,ろうかいですん
男,…やっぱヤバイな
後輩女,こっちなんですけど～。ここでしたー
男,本当に近いな15分とかからずに着いた
後輩女,ふ～。ほつかれさまでした
男,ふ～～～。…世話かかりすぎ。こんなん付き合うのも、新人の間だけだと思っとけよ。…などと本人の前で口に出したりは、今はしない。ああ、そういう事なのかもな狭量にならん様にしないとなぁ。帰るベーふぁぁ…もう終電が近いでやんの。寝よう逃避的に
■木曜日,朝
男,酒によって得た眠りは、充分になる手前で途切れてしまう。…今日は流石に俺が一番乗りだろ後輩女さんはあんなだったしな
後輩女,おはようございます
男,うお！おはようございますよく起きられたなぁ。いやいいよ自分で歩いたし、吐いたりしなかったし
後輩女,はい色々馬鹿言ってすみませんでした仕事気合入れます
男,了解。今ある素材だと限界あるな…持って来所をどうするか…
後輩女,あの…
男,ん、何？
後輩女,先輩は、どうやっていつも精神安定させてるんですか？。すぐに回復して、すごい集中力だったじゃないですか
男,今の俺の心中の不安定さをコイツに教えてやりたいが…。ここで同じラインに降りて行くのは何かちょっと違うと思うので、強がる。どうせ怖い顔だとか思われてるんだわからんだろ
後輩女,はい？。そうですか…。えええ！？
男,文句あるのか
後輩女,え、そん…ああ、いえ、ありません頑張ります
男,よし集中しなよ思考がループしてるなと思ったら質問する様に
後輩女,はい、解りました
男,こんな所か…元々やる気はあるヤツだし、まぁ平気だろ。そろそろ上がります
後輩女,あ、私も
男,進みはどう？
後輩女,そこそこでしょうか？明日、ちょっとまとめて見てもらえますか
男,お？了解自分でも見直しといてな
後輩女,解りました。男先輩って、彼女とかいないんですか？
男,居ないなあ
後輩女,私もあんな言っちゃったんだから、先輩もぶっちゃけて下さいよ
男,勝手な…
後輩女,本屋の人ですか？
男,…何で解るの君達はそういうの
後輩女,なんとなくですウチが近所なんでしたっけ？
男,部屋が隣なんだよ
後輩女,良いじゃないですか～
男,まぁなぁ
後輩女,それじゃ、お疲れ様でした
男,はいお疲れ様。最近、女さんと帰りに一緒になってないなぁ。あんな話になった後、どっちが誘いづらいかと言えば…。…むしろ向こうかもないい時間だし、メールしてみようかな。送信。ふ～～～～
あひる,zzz…
男,くそ…平和だなこいつら。お、もう返信か。送信…ふ～ＯＫ。俺は女さんが好きなんだろうか？。そりゃ好きなんだけど、本気か？真剣なのか？。いた、女さんベンチで…また何か本読んでらはははっ。女さん
女,あ、男さんこんばんは、お疲れ様です
男,お疲れ様ですちょっと久しぶりですね
女,そうですね隣に住んでるのに、変ですよね
男,ですねえあ、これに乗っちゃいましょう。さっきの本、何読んでたんですか？。いや、例によって知らないですすんません。今読んでるのって、どんな話なんですか？。ふーん読み終わって、お勧めだなと思ったら貸してくれますか？
女,良いですよ！読んだら感想聞かせて下さいね
男,もちろん
女,いいですね～午後勤の出勤の時とか、来てみようかな
男,足、平気ですか？
女,あ、はい歩く速さ、これ位なら遅くないですか？
男,話しながらなら調度良いですよ
女,はい
男,…
女,…
男,どーすっかな…
女,あの…
男,ん、はい。ああ…。いや、それはいいんですんー、実は
女,はい
男,この前、俺、言っちゃったじゃないですか
女,えーと
男,好きだとか
女,あ、はい
男,あれ、その後輩の事じゃないんです
女,ええ！？
男,それ所か、ソイツから社内恋愛相談を受けちゃったりしてですね
女,えええ！？
男,最近の困り所って言ったら、そんな所ですね
女,あら～、どうするんですか？問題無いんですか？。それは、アドバイスに困りますね。…やさしく慰めてあげれば良いですよ
男,そういうの苦手なんですよ、俺は
女,そうですか？
男,仕事が絡むと、本当に苦手です
女,あー、そうですねそうですよね～。そうなんですか？。なんかいいですね、そういうの
男,そうですか？それなりのストレスにはなりますよ。ん、でも働いてる姿を見てて惚れる、とかありそうじゃないですか。一目惚れとかって、無いんですか？
女,…あまり解らないですね～
男,そんなもんですか
女,そもそも自分の恋愛話って、苦手なんです上手く行きませんって
男,それ、前も言ってましたよね上手く行かないってなんで？
女,…
男,…。あんなのは別に…。…そんな卑屈にならなくてもいいんじゃないですか？。参ったな。女さんはあれだね、俺を見る目の無い奴だと言ってますね
女,え、いや、そんな。…
男,言った、ていうか思わず口から出ちゃったんですが
女,…さっきも
男,はい？
女,言ったじゃないですか、上手く行かない、って無理なんですよ、私
男,狭量で嫌な奴だから、て話？
女,…そうですよ
男,…
女,…。でもどうせ、後で私の言った通りだったって解る事になるんですよ！。ああもう。…
男,泣かないで下さいよ
女,ご、ごめんなさい…
男,何で、そんなに悲観的なんですか？
女,話したくないです
男,…じゃあ、それはいいですこれからもずっとそのままなんですか？
女,…
男,…
女,…そんな、勝手な話。そんな意見、要りません。…
男,泣かせたかった訳じゃないんですごめんなさい
女,…
男,女さんが、何をどうして嫌がってるのかわからないんです
女,…
男,今日はもういいかこんな話ばっかしてたら、疲れちゃいますよね
女,…ごめんなさい…
男,いや、何か、俺もムキになって突っ込み過ぎました
女,…
男,そのままなんとなく話がフェードアウトして、家に着いちゃったが。流れ上出てきて言葉とは言え、シャットアウトかな。くそ。…。ああ、やっぱり俺は女さんが好きだな面倒な人だって解っても。自覚した所で、殊更どうなるって話でもないが。…なら、どうしようどうしたもんかね
■翌週火曜日,昼過ぎ
あひる,ｸﾞﾜｯｸﾞﾜｯ
男,俺の安らぎはお前らだけだよ、あひる…
あひる,ｸﾞﾜ～
後輩女,何やってるんですか、先輩
男,後輩女さんか…お疲れさん
後輩女,お疲れ様です同僚Ａさんが探してましたよ先輩の事
男,ああ、了解ありがとねサボりすぎた、戻ろう
後輩女,はい
男,調子どう？
後輩女,調子ですか？ん～、普通ですかね
男,普通なら良いか
後輩女,ひょとして、その、同僚Ｂさんの事ですか？
男,まあ、そういうのも込み込みで
後輩女,仕事には響かせません先輩、そういうの許さないですよね
男,俺はそんな事人に言えねーよ～見てるだろ～色々
後輩女,…でも、最後にはなんとかしますよね
男,なんとかするよ
後輩女,ですよね
男,なんか、俺が励まされてるみたいだな？
後輩女,そうですか？
男,ありがとね
後輩女,はい。先輩…あの
男,何？
後輩女,私、同僚Ｂさんに、言ってみようと思うんです
男,…好きだとか、そういう話？
後輩女,はい
男,付き合ってくれとか？
後輩女,はい
男,自分が、この話でどれくらい調子崩したかは自覚してるよね
後輩女,はい
男,相手の調子も崩すかも知れない、てのも考えた？
後輩女,はい
男,俺がやめろって言ったらやめる？
後輩女,やめますそう思って先輩に聞きました
男,そういうの、人に投げるなよ
後輩女,…
男,んー、まあ、好きにすると良いよ
後輩女,はい、ありが…いえ、はい
男,あ、ひとつ
後輩女,何ですか？。辞めません
男,そこは頼むよ
後輩女,…はい
男,でも、言っちゃうからには、いい結果を願ってるよ
後輩女,はい…ありがとうございます。了解です
上司,お前ら注目ーちょっと聞いてくれ
同僚Ａ,今忙しい仕事で
同僚Ｂ,どういった内容で？
同僚Ａ,ははは、ワシが遅れるなんてそんなワハハ
後輩女,…新規ラインそんな話があったんですか
男,うん、前々からアレコレ調整してたんだよ
後輩女,まさか、先輩が移動になったりはしませんよね
男,んー、まーそこらへんも発表される筈だから、取り敢えず聞いてみてよ
後輩女,なんですか！あの話って！
男,何怒ってんの？
後輩女,何で私がいきなり新規ラインのセクションリーダーなんですか
男,ああ、それは俺が推したから
後輩女,な！何でですか！？
男,まあ、そうだけど
後輩女,解ってるなら、何で出来るとか言うんですか、そんな適当。…。先輩がヘロヘロなんて、想像付きません。そういう細かい話じゃないんです
男,細かいって…
後輩女,そうなんですか？
男,俺らが今やってるこれを上げて、ちょっと休んで、その後だね。ちょっと、落ち着いてまあ聞いてよ
後輩女,…。…ハイ。だからって…。やった事も無いのに、出来るなんて。どういう事ですか？。…。…。…。先輩に
男,ん
後輩女,男先輩に、色々聞きに来てもいいですよね。先輩、冷たいですよ
男,仕事だからなー
後輩女,心細いんですけど
男,会社を移る時よりは心細くないよ
後輩女,先輩って、どうして前の会社辞めたんですか？
男,そこはまあ、いつか機会があったら話すよ
後輩女,けちですね
男,新規ラインで一本上げたら話す
後輩女,それは大変ですよ。…はい
男,そんじゃ、頑張んな取り敢えずは今のタイトルだね
後輩女,はいそれじゃ、今日はお先に失礼します
男,はいおつかれー。ふ～。ああ～いろいろ疲れた俺も帰ろう
■翌週水曜日,夜
男,そういや、１人で音楽聴きながらここ歩くのも、久しぶりだなぁ。月がでっけーな、今日は。メールか…何となく開き難いカンジが。暗い道で、着信ランプだけが明るい…妙な感覚だな。後輩女さんか…珍しいな。そうか…。どう返信したもんかな。…
男メ元気出せ,送信
男,早い返信だな。…。返信は…。もっと励ませる様な、何か言葉があれば良いんだが。…そんな都合の良い言葉は俺には捻り出せないそっとしとこう。あれ、またメールまだなんかあるんか。！。女さん。そういや、そんなのもあったな。…
後で俺の方から取りに行きますよ,送信…
男メ道のり半分て所かな？,送信、と
男,…ふーっ暗い道、１人で平気かな。着信音変えるかなそんなにレベルアップばっかしても困る。ん？…あれか携帯の光が見える。近付いてくる…向こうばっか歩かせるのも何だな俺も行くか。こんばんは
女,こんばんは
