男,うっはー！！やっぱ初月ちゃんかわええーー！！もっかい！。やばい！やばいって！脳が蕩ける！！……も、もう我慢できねえ。ふうっ……あぁぁ……。やっぱ初月ちゃんはかっこ可愛い……。あ、アレ？視界が……なんだ？頭……が……。う……？痛い？違……う。おも……い……た……すけ……。あ、う…………。は……づづ……き……
田中,ご、ごめん
提督,…………
天龍,よー初月。最近調子いいみてーじゃねえか
初月,て、天龍。なんだ、いきなり
天龍,いやぁ、ちっとばかしエース様と一緒に風呂でもどうかと思って誘いに来たんだよ
秋月,そうよ、初月。いっつも個人風呂ばっかりだから、今日こそはって思って……ダメ？
初月,それは……
天龍,俺もお前から色々対空のやり方とか聞きてえしさ。今度改二になれるじゃんか、俺
秋月,そうでした、おめでとうございます天龍さん！
天龍,まあ、もちっと練度上げなきゃいけないらしいからまだ先の話なんだけどな。ってなわけでやろうぜ初月。裸の付き合いって奴をよ
初月,そ、それは……
天龍,ん？
初月,ご、ごめんっ……
天龍,……そっか。じゃあ、また都合のいい時にな
初月,本当……ごめんっ
天龍,…………
秋月,初月…………
初月,はぁ、はぁ…………
田中,……ごめん
初月,…………
田中,その、自分ではコントロールできないんだよ……
初月,……いい、分かってる
田中,嫌らしいところを想像したわけじゃ……
初月,分かってるって言ってるだろ！
田中,…………
初月,どうせ、コントロールできても一緒に居られない……
田中,…………
初月,……悪い、言い過ぎた
田中,……ああ、分かってる
初月,分かってる？今そう言ったのか？
田中,ああ
初月,分かってるもんか！お前に、僕の気持ちが！。この一か月間、ずっと一緒に居た。だから分かってるとでも思うのか？お前と一緒に居るせいで、他の人に何時バレるかひやひやしながら生活しなきゃいけないんだ！。まともに姉さんたちの顔も見られやしない！悪い事をしてるわけじゃないのに、僕は、僕はぁ！！
田中,……もう、いっそ話してみてもいいんじゃないか？
初月,そうだな。姉さんたちが僕を嫌うなんてあり得ない。でも、僕を見る目がきっと変わる。……こんな、こんなものが付いてるって……異常だって……。なんで、なんで僕なんだ！。勝手に生えるなよ！生やさないでくれよ！。僕だって……僕だって女の子なんだ！ショックじゃないわけないだろう！？。それなのにそのおかげで戦績は上がって……褒められて。……僕が否定されてるみたいだ……
田中,…………
初月,……はぁ……はぁ……
田中,あのさ……
憲兵,失礼
初月,わひゃっ
憲兵,一人でそんなに怒鳴って、どうかしましたか？
初月,…………いや、なんでもない。少し嫌な事があったから叫んだだけだ。もうすっきりしたから行くよ
憲兵,待ってください
初月,なんだ、放せ。僕はもうここに居る必要はないんだ
憲兵,私が貴方の悩みを解決できるとしたら？
初月,え？
憲兵,失礼ですが、少々調べさせてもらいましたよ
初月,な、何を言っているのか僕にはさっぱり……
憲兵,お困り何でしょう？そのブツに
初月,なっ
憲兵,私ならばそのブツをなんとかできるかもしれない、というお話ですよ。興味ありませんか？
初月,……詳しく、聞かせてくれ
憲兵,……場所を移しましょうか
田中,おい、どう考えても……
初月,黙れ
憲兵,何をなさっているんですか？こちらですよ
初月,すまない、すぐ行く。ずいぶん遠くまで行くんだな
憲兵,ええ、なるべく他人に聞かれたくないですから。こっちです
初月,倉庫……か？
憲兵,早くしてください。誰かに見つかったら怪しまれる
初月,分かった。それで、お前は本当に僕を元の体に戻せるのか？
憲兵,……目的のものが手に入ればすぐにでも
初月,……目的？どういうことだ？
憲兵,貴方自身が知っていればいいんですが、恐らく貴方はただの被験者だ。どうやってその体になったのかご存じないでしょう
初月,そう……だな
憲兵,だから、貴方のその体から聞くことにしました
初月,うぐっ！
憲兵,艦娘初月……いえ、艦息子初月！
初月,な、何を言っているんだ……
憲兵,隠さなくてもいいんですよ？どうせすぐにばれる事だ。
初月,止めっ///
憲兵,フハハハハ！！その雄々しい象徴！艦息子初月！貴様は男性型艦娘の成功被検体なのだろう？
初月,ち……が……
憲兵,この資料にもブツがはっきり写ってるだろうが！
初月,それは……違うんだ！
憲兵,嘘をつくなぁ！！
初月,うぁぁぁっ！！
憲兵,おっと、暴れられないようにこの手錠で両手両足を拘束しておくべきか
初月,きさ……ま……
憲兵,ふんっ、あまりの痛みで気絶してもおかしくないだろうに。さすがは艦息子というわけか。これは期待が高まるな
初月,そんなもの……ない……
憲兵,股の間にそんなどでかい証拠をぶら下げておいてか？馬鹿も休み休み言え。いいか？貴様は実験道具にすぎん。貴様の体を切り刻んで、艦息子を生み出す技術を陸軍が手に入れるためのな！
初月,あうぅぅっ
憲兵,分かったらその口を閉じて大人しくして居ろ。迎えが来るまでな
初月,く……そ……
憲兵,……こちら憲兵、こちら憲兵。機関、応答願います。くそ、雑音が激しいな……。機関！聞こえるか？どうぞ！。……チッ、いいか、くれぐれも逃げようなんて考えるなよ？貴様の存在はもう陸軍に知られている。逃げた所で今度は別の方法で圧力がかかるだけだ。諦めろ！。……もしもし……聞こ……る…………だ……
初月,く……そ……
田中,なあ……
初月,なんだ……
田中,危険だって言っただろ
初月,だからって僕にどうしろって言うんだ！クソッ、外れない
田中,ま、そうだよな……。なあ、初月
初月,…………
田中,お前は、いつもの初月に戻った方が良いと思う
初月,……っ。だからこうやって……
田中,思い出したんだ……
初月,何を……だ？
田中,俺、死んだんだ
初月,……は？
田中,うん、思い出した。俺、病気で死んだんだよ。しかも異世界だ
初月,何冗談言ってるんだよ。今はそんな時じゃないだろ
田中,まあ、そう思うよな。でも真実なんだよ。それでその世界ではな、お前たちの活躍が、艦隊これくしょんってゲームになってるんだ
初月,ふざけた世界だな。曲がりなりにも僕らは命をかけて戦ってるんだぞ
田中,それでな、俺はそのゲームで一番好きなのが、初月、お前だったんだよ
初月,なっ///
田中,死ぬ直前にもお前の事見ててさ。だからさ、死ぬときにお前の事が見えてさ。死にたくない、助けてくれって思ったんだ
初月,…………
田中,そしたらこうなってたんだよ。まあ、当時は忘れてたんだけどさ
初月,……きっと、お前の好きな初月が助けてくれたんだろうな……
田中,かもな
初月,…………
田中,でもよ。俺が来て、そのせいで俺の好きな初月が変わっちまうのはさ。俺の本意じゃねえんだよ
初月,おい、まさか……
田中,こうすればさ、いつもの初月に戻れるだろっ
初月,ぐっ……何……を……？田中……田中？
田中,……手錠ってのは、結構簡単な造りになってて、針金とちょっとした知識があれば外せるようになってる
初月,田中……お前……血まみれじゃないか……ああぁぁぁ……
田中,聞け！幸いここは倉庫だから針金位はあるだろ。いや、さっきの書類をまとめてたクリップがあったはずだ
初月,田中、田中……田中が死んじゃう……
田中,しっかりしろ！
初月,でも……
田中,俺の知ってる初月は、いつでも冷静でカッコよくて頼りがいがあって……でも傷つきやすい女の子だ。最後の所はこうならないと分からなかったけどな。……お前は、俺が惚れるぐらいカッコいい艦娘じゃなかったのかよ！。頼む、最期の頼みだ。俺に本当の、いつものお前を見せてくれよ……
初月,田中……。……分かった。針金かクリップだな？待ってろ！
田中,…………
初月,あったぞ、これをどうすればいい？
田中,真っすぐにして、先だけを曲げてくれ
初月,……できたぞ。それから？
田中,俺に持たせてくれ
初月,……持たせる？
田中,穴があるだろうが。そこにぶっさせ
初月,……分かった。行くぞ？
田中,来い
初月,えいっ
田中,ぐぁぁぁっ
初月,だ、大丈夫か？
田中,このくらいどうってことねえよ。ちょっと気合入れただけだ。後ろ向いて鍵穴を近づけてくれ
初月,頼む
田中,…………っと、この……
初月,……信じてるぞ
田中,……へっ
初月,あっ
田中,足もだ
初月,すまない
田中,よっこら……せっ
初月,取れた……すごいぞ、さすが田中
田中,…………
初月,田中？
田中,…………
初月,返事しろよ！田中ぁ！。くそっ、絶対死なせないからな！。お前はいつもの僕に成れって言った。でも、お前が居ないといつもの僕に成れるはずないだろぉ！
憲兵,まったく、時間かかりすぎだ……あっ、いつの間に！
初月,どけぇぇぇ！！
憲兵,ぐはぁっ
初月,田中……しっかりしろ……
提督,……今日の任務は……っと
初月,提督！
提督,どうしたはつ……血まみれじゃないか！？何があった？
初月,僕の事は後でいい。田中が……田中が……
提督,田中君……？千切れたのか？
初月,僕を助けようとして自分から離れたんだ！。頼む、田中を助けてくれよ。僕に出来る事なら何でもするからぁ
提督,分かった。まずは明石の所に行ってからだ。それからお前は入渠だ。お前も血が出てるじゃないか
初月,こんなの、田中に比べたら……
提督,比べられるか。どちらも大事だし、どちらも助ける
初月,提督……
提督,急ぐぞ！
初月・提督,明石！
明石,はいはいなんですかっと。ちょっと徹夜続きなんで大きい声は勘弁してもらえませんか
初月,田中を助けてくれ！
明石,田中……ってうわっ！なんでこんなことに
初月,いいから早く！
明石,えっと……提督は冷凍庫からありったけの氷を。初月ちゃんはこっちのトレイに田中さんを寝かせて
提督,分かった
初月,後はどうすれば？
明石,とりあえず艦娘の一部だから高速修復材が効くかもしれません。他にも色々考えていた案があります
初月,何でも手伝う。だから……
明石,いいえ……残念ながら初月ちゃんに出来る事は何もないわ。それより初月ちゃんもさっきから血を流しっぱなしじゃない
初月,こんなの……
提督,そうだぞ、今すぐ入渠して来い
初月,…………。……分かった。田中を頼む
明石,任せなさい。それが私の仕事よ
提督,ついでだ、バケツを使え。名目は訓練中の負傷でな
初月,ありがとう。提督、入渠場に行くまで付き合え。事情を説明する。……というわけだ。あのクソ憲兵を捕まえてくれ
提督,私の家族を誘拐とはいい度胸だ……
初月,提督？
提督,……大淀か？あの憲兵を今すぐ全員で探索しろ。そして私の前に連れてこい。何故か、だと？初月の誘拐未遂だ。そうだ。本当だ。生きてさえいればいい。加賀たちにも連絡をして彩雲を使え
初月,……僕が殴る分は残しといてくれ
提督,了解。半殺しまでは許可しておこう
天龍,よいしょっと、コイツでいいのか
提督,おお、早いな
天龍,倉庫入口の所でのんきに昼寝してやがったからそのまま持って来たぜ
初月,あ……
提督,大淀、捜索終了をみんなに伝えてくれ
大淀,了解しました
提督,それじゃあ……よっ
憲兵,う、うぅぅん……
提督,お目覚めかな？
憲兵,…………はっ、ここは！？
提督,執務室だよ。君には今艦娘の拉致未遂疑惑がかけられている。悪いが緊急逮捕させてもらったよ
初月,未遂？拉致監禁したじゃないか
提督,まあ、自分で脱出したからとりあえず未遂という事さ。調べて容疑が固まったら未遂が取れる上に罪状も増えるだろうな。もうすぐ憲兵隊長が来られる。申し開きは彼にするといい。天龍、下がっていいぞ。ありがとう
天龍,おうよ。今度お礼に何か奢ってくれてもいいんだぜ？
提督,考えておこう
天龍,やりい
提督,まったく、ナニを考えて艦娘の拉致何ぞやらかしたのやら……
憲兵,拉致だと？私は拉致などしていない！
初月,貴様、言うに事欠いて……
提督,まあ、落ち着きなさい、初月。彼の言い分を聞こうじゃないか
憲兵,私は暴こうとしただけだ！そっ、そのために被験体として彼を連れて行こうと……
提督,彼？一体何を言っているんだね？
憲兵,しらばっくれるつもりか！
提督,はぁ？
憲兵,隠し立てしても無駄だぞ！もう資料の写しは機関に送っているんだからな！
提督,何を言っているのかさっぱりわからないんだが……
憲兵,男を艦娘化する方法だ！ソイツはその被験体だろう！これを隠すなど、貴様ら海軍は世界の敵、人類の裏切り者だ！。わ、私はそれを世間に公表しようとしたのだ！拉致などでは決してない！私は正義の為にやったのだ！
提督,良くは分からんが、初月が男だと言いたいわけだな？
憲兵,そっそうだ！
提督,大淀、初月が男に見えるか？
大淀,いいえ。私には可愛い女の子に見えます
初月,なっ///
提督,だよなぁ。ちょっと胸もあるし。大鳳より大きいんじゃないか？
大淀,提督、それはセクハラです
提督,すまん。まあ初月が男など、精神鑑定も付け加えた方がよさそうだな
大淀,了解しました。報告書に付け加えておきます
憲兵,そうまでして隠すか、汚い海軍め！胸など詰め物でもすればいいじゃないか！それよりも私はもっと確実なものをこの目で見たんだ！
提督,……まあ、一応聞こうか
憲兵,ソイツの股の間には剛直が屹立していた！
大淀,ぶっ
憲兵,笑うなぁぁ！エコーの記録などもあったぞ、間違いない！
提督,……それは住居侵入と窃盗も認めるということだな？……スパイ防止法が欲しいな、まったく……
憲兵,ほら、貴様は私が何を言っているかすぐにわかったじゃないか！資料の存在を知っていたのだろう？
提督,この鎮守府でエコーのある場所なんて明石の所しかないだろうに。そしてそれらは勝手に見られないはずだ
憲兵,だ、だがそんな所にそんな資料があるなど尋常ではないはずだ！その資料は何故そこにあった！？。隠す為だろう！？ほら、貴様らには秘密があるんだ！そしてそれは……艦息子に関わる事なんだぁ！！
提督,ふむ……大淀
大淀,はい？
提督,秋雲に連絡を
大淀,今日は非番なので、館内放送であればすぐに呼べるかと
提督,それなら、オータムクラウド先生、今すぐ初月の薄い本とその設定資料を持って来なさいと言ってくれ
大淀,…………
提督,大淀、まさか……
大淀,ナ、ナンノコトカシラー。う、薄い本？そう言えばいいんですね。了解しました
提督,君の言う資料はコレかね？
憲兵,ま、まさか……
初月,おい、こ、コレは何だ一体！？ぼぼぼ、僕が……///
提督,いわゆるBL本というやつだな。まあ、野良犬に噛まれたと思って諦めなさい。私なんて憲兵隊長と絡まされたことがあるんだ
大淀,こっこうなっていたの！？えっ、これが！？
提督,まあ、人に見られて恥ずかしい物を、基本的に自分しか使わない場所に隠していた、とそういうことだろうなぁ。あとで厳重注意だな
憲兵,嘘だ……嘘だ……
提督,というわけ……ん？
大淀,//////
提督,というわけでっ
大淀,ああっ……
提督,全ては貴方の妄想だったというわけだ
憲兵,私は騙されないぞ……。そうだ、私はこの目で見たんだからな、間違いない……
初月,ダメだコイツ。こっちの話を聞いちゃいないぞ
提督,自分の信じていた、というより縋っていたものを叩き折られたらそうなるだろうなぁ
大淀,…………
提督,さて、後は憲兵隊長に引き渡せば終わり……
憲兵,私は見たんだぁぁぁぁぁ！！
初月,なっ
憲兵隊長,失礼します
憲兵,うわぁぁぁ！
初月,////////////
提督,……パイ……
大淀,…………
憲兵,な、ない……
初月,きゃぁぁぁぁぁっ！！
憲兵隊長,きさまぁぁぁ！！強制わいせつ罪の現行犯逮捕だ！！
憲兵,た、確かに付いてたはずなんだ……確かに……
憲兵隊長,何訳の分からん事をほざいている！！来いっ！！。誠に申し訳ありません！私たちの身内からこの様な……。今後陸軍から正式に謝罪があると思いますが、私からも謝罪いたしますので平にご容赦を！！
提督,まあ、部下の暴走はどうしようもない面もあるから。そこは分かっていますよ。私も困る時はありますから
憲兵隊長,ありがとうございますっ。……ほら立てっ！行くぞ！
憲兵,そんなないなんてぜったいおかしいわたしがおかしいわけがないんだせかいがおかしいんだ……
大淀,さて、一件落着ですね
提督,ん～、まあ、そうだな
大淀,む～
提督,見たいのか？
大淀,い、いいえ。どんな風俗が世間では流行っているのか参考にしたいな、と……
提督,……さて、初月。明石の所に行くか。大淀はどうする？
大淀,わ、私はもう少しこちらで仕事をですね
提督,そうか、なら行こう初月
初月,あっ、おい、その本に描かれてるのは僕なんだぞ。だから……
提督,いいから行くぞ
初月,ま、待て。僕にはその本を処分する権利があるはずだ……
提督,痛くなくなった腹を探られるのも嫌だろう。行くぞ
初月,あっ……うん……。田中！
提督,明石、どうなった？
明石,あ……初月ちゃん……提督……
初月,ま、まさか……田中は？田中はどうなったんだ？
明石,…………
初月,そんな……
明石,力は尽くしたんだけど……
提督,そうか……。……初月……
初月,……田中ぁ……。僕は……まだお前に謝ってないじゃないか……あんなに酷いこと言ったのに……。それなのに僕を命がけで守って……。これから僕はどうすればいいんだ！。お前、僕の相棒だったんだろ！？。勝手に居なくなるなよ、ばかぁ！
長10㎝,泣いてちゃカッコ悪いぞ。涙ふけ
初月,泣いて悪いか、長10㎝！ぼく……は？あれ？
長10㎝,よお
初月,長10㎝が、しゃべ……え？って事は……？
明石,ふっふっふっ……この長10㎝砲、実は元田中さんです
提督,ま、まさかこんなことやってのけるとは……
長10㎝,さすがマッド工作艦明石だよな～……いやホント凄い
明石,えっへん
初月,…………
長10㎝,初月？
初月,田中？本当に田中なのか？
長10㎝,ああ
初月,よかっ……たぁ……。よかったよぉ……
長10㎝,初月///
明石,ふふふ……存分にほめたたえていいんですよ～
提督,どうやったんだ、本当に……
明石,そりゃあもう、急遽91式高射装置から94式と改修しましてね……
提督,え、それって改修資材が30以上必要なんじゃ……
明石,ふーんふーん
提督,ぐぁぁぁっ！ネジがほとんど無くなってる！！
明石,ま、まあ初月ちゃんの笑顔が守れたと思えば
提督,や、安いもんだな
明石,提督カッコいいー！
初月,なあ、田中
長10㎝,なんだ？
初月,これからお前の事どう呼べばいいんだ？やっぱり長10㎝か？いや、それだともう一人とごっちゃに……
長10㎝,なんだ、そんな事か
初月,そんな事ってなんだよ。重要な事だろう？
長10㎝,あら？もしかして思ってたのは俺だけだったのか？これは寂しいな
初月,何がだ……ってあ、お、お前
長10㎝,ちょっと照れ臭いけどな。俺はお前の事そう思ってるんだぜ
初月,わ、分かったよ。じゃあそれで行く
長10㎝,今呼んでくれないのか？
初月,なっ、良いだろ。必要になったら呼ぶよ
長10㎝,俺は今呼んで欲しいなぁ
初月,そ、それは……
長10㎝,もしかして初月はそう思ってくれて無いのか？
初月,い、いやそんな事はないけど……
長10㎝,じゃあいいじゃん
初月,あ、改まって言うとなると恥ずかしいだろ
長10㎝,命かけたのに……
初月,うっ
長10㎝,お前の為に命かけたんだぜ。ちょっとくらいご褒美くれたっていいじゃんかよぉ
初月,わ、分かったよ。で、でも恥ずかしいからせーので同時に言うんだ。それならいいぞ
長10㎝,…………
初月,ほら、お前も恥ずかしいんじゃないか
長10㎝,そ、そんな事はないぞ！そんな事はないからなっ！言ってやる、言ってやるぞ！
初月,え、おま、ちょっ
長10㎝,せーのっ！
