みんながウナギを楽しむ,一部例外あり
ニーナ・アリーナ,か、カヂューシャ隊長！！助けてけろー！！！！！！！
カチューシャ,ノンナ？クラーラ？・・・どこ行ったのかしら。それにしても、次のうなぎはいつ出るのかしら・・・。ふふっ、楽しみ！
ミッコ,うーん・・・。アキ、そっちにいた？
アキ,えーっと・・・。あ！そっちに行ったよミッコ！！
ミッコ,なに！？あ、ほんとだ！！とりゃあ！！
アキ,やったぁ！獲れたぁ！！！
ミッコ,よしよし、これをこの魚籠の中に入れて・・・
ミカ,ミッコ、左！
ミッコ,え？あ！ほんとだ！！とりゃあ！！！獲ったどー！！！
アキ,すごーい！！今年は大漁だね！！
ミッコ,いやあ、近くに川があってよかったなー！今年はこれでうなぎがお腹いっぱい食べられるぞー！！
アキ,ミッコ、頑張ってもっとうなぎ獲ろうね！
ミッコ,よしきた！
ミカ,・・・
アキ,・・・ミカ？
ミカ,え？あ、ああ。そうだね。風のせいだね、きっと
アキ,・・・？
ミッコ,あ、あそこにもいる！よーし・・・
アキ,え、ほんと？わたしがこっちから追い込むね！
ミカ,・・・
ミッコ,いや～、一人一匹ずつなんて、今年はいっぱい獲れたな～！！
アキ,ほんとだね！ミッコ、うなぎ掴むの上手くなったもんね
ミッコ,えっへへ、だろ？
ミカ,人は上達を繰り返すものだからね
アキ,あ、そろそろいいんじゃない？
ミッコ,よーし・・・、いっただっきまーす！はむ！むぐ！ん～、うーまーいーぞー！！
アキ,どれ、わたしも・・・。はふ、はむ、はむ・・・。おいし～い！！
ミカ,蒲焼きが、囁いてるね。わたしをどうぞって
ミッコ,っはー。おいしかった～！！
アキ,じゃあ、ちょっとジュース持ってくるね
ミッコ,あ、あたしも行く！！
ミカ,・・・。・・・あと少し
アキ,とってきたよ～
ミカ,・・・
ミッコ,コーヒーにコケモモジュース、いっぱい大学選抜が貸してくれたから助かるな～！
ミカ,・・・。随分、早かったんだね
アキ,え～、そうかな？・・・あれ？
ミカ,・・・
ミッコ,どしたの、アキ？
アキ,わたしたち、白焼きなんて作ったっけ・・・？
ミッコ,うんにゃ、全部蒲焼きにしたはずだけど・・・
アキ,じゃあ、なんで七輪の上に白焼きが・・・
ミカ,・・・風が運んできたのさ
ミッコ,あ！ひょっとしてミカが獲ったの？
アキ,すごいじゃんミカ！わたし、白焼きも食べたい！！
ミッコ,あたしもー！！っていうか、もう焼けそうじゃん！！
アキ・ミッコ,はーやーくー！！はーやーくー！！
ミカ,・・・
ミッコ,・・・どうしたんだ、ミカ？
アキ,・・・あ、ひょっとしてミカ、独り占めしようと思ってずっと隠してたんｊ
ミカ,トゥータ！！！
ミッコ,あ゛ーーーーーー！！！！！全部食べたーーーーー！！！！！
アキ,ごらぁミカ！！！！またそうやって独り占めしてーーーー！！！！！！
ミカ,ふぉふふぉふぁふぃふぁふぃふぁふぁふぁふぇふぁふぉふぁ
ミッコ,何言ってるかわかんないし、ずるいぞミカー！！！
アキ,今日という今日は、もう許さないよー！！！！
ミカ,・・・
ミッコ,・・・
アキ,・・・
ミカ,。トゥータ！！
ミッコ,あ、逃げたぞ！！！
アキ,待てー！！ミカー！！！！！
ミカ,うなぎには、人生に大切なすべてのものが詰まってるんだよ
アキ・ミッコ,まああああてええええええ！！！！！！
まほ,・・・今日は丑の日か
小梅,そうですね。隊長、うなぎ、好きですか？
まほ,ああ。それなりにな。昔はよくみほと一緒に食べたものだ・・・
小梅,そうだったんですか・・・
まほ,・・・
小梅,・・・
エリカ,隊長、次の練習試合ですが・・・。隊長？
まほ,・・・小梅、今日はうなぎを食べようか
小梅,え？で、でも・・・
まほ,お金のことなら気にしなくていい。強化選手として、いくらか連盟からもらっているからな
小梅,い、いえいえ！そういうわけには・・・
まほ,みほにも、いつも食べさせてやってたんだ。・・・今日ぐらい、その時の気分を味わわせてくれ
小梅,隊長・・・。はい、わかりました。ありがとうございます
エリカ,隊長・・・？一体、何の話ですか？
まほ,なんでもない。それよりエリカ
エリカ,はい、なんでしょうか。隊長？
まほ,商店街のうなぎ屋を三人分で予約しておいてくれ。わたしと小梅とエリカで、今日はうなぎだ
エリカ,え？あ、は、はい。わかりました
小梅,・・・
エリカ,うなぎ屋ねえ・・・。隊長も、突然いろんなことを言いだすわね。うなぎ屋うなぎ屋、うなぎ屋の電話番号・・・っと。・・・ん？チラシが・・・。隊長、この店がその店です
まほ,ほう・・・この店が
小梅,・・・
まほ,ほう・・・
小梅,あっ・・・
エリカ,特上三人前で予約してあります。入りましょう、隊長！
まほ,ほほう・・・、面白いことを言うな、エリカ・・・
小梅,・・・・
エリカ,？隊長、どうしたんですか・・・って、そ、その顔・・・。あれ？小梅？え！？
まほ,ちょっと、話がある。わたしの家に来ないか・・・？
エリカ,ええ？ちょ、小梅！ちょっと！どこ行ったのよ！！小梅！！！
まほ,大丈夫だ。お母さまも菊代さんもいる。すぐに片付く・・・
エリカ,え、ちょっと、片付くって何が・・・、え、き、きゃああ！！た、助けて、元副隊長！！！いやあああああああ！？！！！！！！！！！！
安藤,ふふ・・・、さ、帰るか
押田,おい
安藤,む、なんだ
押田,キミ、随分とご機嫌じゃないか。何かあったのか？
安藤,別に。ただ、今日うなぎを食べるからな。それで機嫌がいいだけだ
押田,うなぎ・・・？。・・・おい、まさかとは思うが、うな重じゃないだろうな
安藤,ああ。そのつもりだが、どうかしたのか？
押田,そんな庶民的な料理をどうして食べるんだ！？もっと我らがBC自由学園らしいものを食べたらどうなんだ！
安藤,はああああ！？ふざけるな、うな重がどれだけ高級品かわかっているのか貴様は！？
押田,そんな話をしているんじゃない！いかにも日本的な庶民的なものを、この高貴な街並みを持つBC自由学園でよく食べようと思うな、と言ったんだ！！
安藤,丑の日にうなぎを食べるぐらいいいだろうが！
押田,ふん、まあ好きにすればいい。うなぎがキミにとってそんなに楽しみなのならばな
安藤,この・・・
押田,・・・
安藤,フゥー・・・、落ち着け・・・
押田,・・・
安藤,・・・ああ、楽しみさ。じゃあ、失礼する
押田,・・・。お、おい。ちょっと待て
安藤,なんだ、まだなにかあるのか
押田,ち、ちなみにだが・・・、そのうなぎというのは誰と食べに行くんだ？
安藤,？一人で食べに行くつもりだが・・・
押田,そ、そうか
安藤,ああ
押田,・・・
安藤,・・・
押田,そ、それは今から一人増えたとしても大丈夫なのか？
安藤,店が混んでるかは知らないが、大丈夫なんじゃないか？
押田,そ、そうか
安藤,？ああ
押田,・・・
安藤,・・・
押田,・・・
安藤,なあ、もう帰っていいか？はやくわたしはうなぎを・・・
押田,し、しかたがないな！！キミ、一人で行くのも寂しいだろう！！
安藤,は？
押田,わたしが一緒に行ってやると言っているんだ！ありがたく思うんだな
安藤,・・・行きたいのか？
押田,なっ・・・、別にそんなことは言っていないだろう！ただ、キミが一人で店に入るのを憐れに思っているだけだ！！
安藤,はぁ・・・
押田,な、なんだ？
安藤,・・・好きにしろよ
押田,ああ、好きにさせてもらおう！！さあ、行くぞ。すぐに行かないと席が埋まってしまう。なぜなら今日は丑の日だからな！！
安藤,うなぎ好きで食いたいなら最初からそう言えよ・・・
押田,う、うなぎだ！それに安藤といっしょだ！！こんなうれしいことがあるだろうか、いやない！！
マリー,・・・。どうしてわたしの出番がなくならなきゃいけないの～！？
