理事長,音ノ木坂を廃校にします
あんじゅ,ん～、本当に敬遠なのね。このまま歩かされるっていうのも、なんだかつまらないわ？
海未,貴女の雑談には付き合いませんよ、優木あんじゅ。これでスリーボール。敬遠球を失投、というのもままある事。気を抜いてはいけませんよ、ことり
(・8・),大丈夫、わかってるよ海未ちゃん
あんじゅ,えい
海未,えっ、振った？
あんじゅ,う～ん、当たらないわね？
海未,なんですか、この方は…一体何を考えて
(・8・),ダメだよ海未ちゃん、惑わされずに。もう一球行くよ
あんじゅ,やあっ。当たらないわね？うふふ…
海未,ふむ…勝負しろ、と言いたいのでしょうか。誘いには乗りませんよ
穂乃果,ことりちゃん海未ちゃん！ツーストライクだよ！ラッキーラッキー！
(・8・),ふふ、穂乃果ちゃんかわいいなぁ
海未,難しく考えてしまいそうな場面、穂乃果の明るさには本当に救われます…。シンプルに、シンプルに。さあことり、もう一球ボール球です！
(・8・),わかったよ、海未ちゃん！
あんじゅ,ツーアウト満塁、そしてフルカウント
海未,優木あんじゅの動きは気にせず敬遠するまでの事。振るなら振りなさい、バットが届かず三振でゲームセット。それまでの事です！
(・8・),えいっ！
あんじゅ,これ以上ないほど完っ全にフルハウス…！
海未,な、完全にフルハウス…！？
英玲奈,…勝ったな
海未,そんなっ！
希,片足をラインギリギリまで踏み出して、片腕を伸ばして敬遠球を叩いた！？あ、ありえんやろ！
花陽,ライトに打球がぐんぐん伸びて！絵里ちゃん！
絵里,お、追い付けないっ…っていうか、これ…！。……打球がファールポールに当たったわ。これは…
にこ,……ホームラン。逆転満塁サヨナラホームランよ
ことり,あ、ああ…
海未,や…やられ、ました…っ
あんじゅ,劇的ね～。嬉しいわぁ
英玲奈,よくやったぞ、あんじゅ
海未,ごめんなさい、ことり…私が敬遠などと言い出さなければ、こんな事には…
ことり,……ううん、海未ちゃんのせいじゃないよ…。私も敬遠に賛成したんだから…
穂乃果,海未ちゃんっ！ことりちゃんっ！
海未,穂乃果…っ
ことり,…ごめん、打たれちゃったよぉ
穂乃果,二人とも……お疲れ様っ！！
海未,ほっ、穂乃果っ！？
ことり,穂乃果ちゃぁん？
穂乃果,初めての試合でこんなに頑張れるなんて二人ともすごい！すごいよ！まあ、最後は打たれちゃったけどさ？でもでも、とっても格好良かったよ！
海未,……ありがとうございます。穂乃果にそう言ってもらえると、幾分慰められます…
ことり,っ……悔しい…穂乃果ちゃん、悔しいよぉ…
穂乃果,よしよし…青春青春！……あんまり泣くと、穂乃果まで泣きたくなっちゃうよ？
絵里,良かった、穂乃果が上手にフォローしてくれたわね…。さすがキャプテンね
にこ,ほらアンタたち、試合終わりの挨拶よ。整列行くわよ！
絵里,さて、挨拶も終わったし、使わせてもらった場所の片付けをしてから帰りましょうか
海未,学校へ戻ったら反省会ですね。敗戦を糧にしなければ！
穂乃果,うええ、海未ちゃん真面目～。今日は疲れたし明日で良くない？
海未,駄目です。鉄は熱いうちに叩け！今胸の中にある悔しさが冷めないうちに自らを省みる事で一層の成長が得られるのです！
穂乃果,ええ～…
凛,かよちん真姫ちゃん、ベンチ裏のジュース美味しかったからもう一杯飲んでおこうよ
真姫,ちょっと、今から片付けって時にゴミを増やしてどうするのよ
花陽,あはは、すぐに片付ければ大丈夫じゃないかな
英玲奈,ああ、どうせ掃除は業者がやってくれる。片付けなどは気にしてもらわなくて構わないぞ
花陽,ほら、英玲奈さんもこう言って……って英玲奈さんっっ！！？
真姫,む…なによ、敗者に慰めの言葉でも掛けに来たわけ？そんなのいらないわよ
英玲奈,そんなつもりではないさ、西木野さん。少しばかり、君たちに話があってね
絵里,話、ですか？
あんじゅ,そ。あと、宣戦布告のお返事もね？
ことり,宣戦布告って…
希,にこっちと真姫ちゃんがしたんやったね
にこ,生意気な口利いて申し訳ございませんっしたぁっ！！
凛,出たァ！にこちゃんのフライング土下座にゃ！
花陽,すごい速い！残像が見えたよぉ！？
にこ,真ァ姫ちゃん！アンタも頭下げなさい！
真姫,いッ、嫌よ！悪い事なんてしてない！っていうかにこちゃん卑屈すぎ！
英玲奈,頭を上げてほしい、矢澤さん。我々に対して真っ向勝負を挑んでくるその姿勢、とても嬉しかったんだ
あんじゅ,そして、口だけのチームでもなかった。今日の試合、とっても楽しかったわ
英玲奈,君たちチーム全員に見るべき点があった
花陽,えっ、全員…？わ、私にもですか…？。ほ、ほ、褒められちゃったぁ…英玲奈さんに…
ことり,花陽ちゃん、良かったね～♪。わぁ、ありがとうございます！
英玲奈,全員逐一挙げていたのではキリがないが、本当に、それぞれに特徴のある良いチームだと感じたよ。お世辞などではなくな
あんじゅ,うふふ、まだまだ粗削りだったけどね？
穂乃果,えへへ、チームを褒められて悪い気はしないね～！
海未,それで…お話がある、というのは？
英玲奈,ああ。私とあんじゅから、君たち音ノ木坂学院に頼みたい事がある
真姫,私たちに頼み？
希,ん、足音？
あんじゅ,あら…？ベンチ裏の通路から誰か出てき……えっ？
ツバサ,英玲奈、あんじゅ、ヤッホー♪
希,……綺羅、ツバサ？
にこ,え？……きっ、きゃあああああ！？ツバサ！ツバサよ！！！
花陽,ほ、ほ、ほ、ほ、本物の生ツバサさんッ！！！？？生ツバサさんの生声を拝聴させていただいてもよろしいんですかッ！？？
真姫,二人ともうるさい
絵里,これが綺羅ツバサ…以外と小さいのね。身長…にこと同じぐらい？
海未,魔術師綺羅ツバサ、ですか…
ツバサ,来ちゃった！
あんじゅ,え…な、なんで！？
英玲奈,つ、ツバサ…！君は完全休養日のはず…何故ここに？
ツバサ,なによその反応はー。腐れ縁のチームメイト二人が二軍戦に出てるって言うから寮からすっ飛んできたんだから？
英玲奈,……そうか…あ、ありがとう
希,え、なんや…これ。英玲奈とあんじゅの二人が怯えてる…？
ツバサ,で、で？なんとか学園とは何回コールドだったの？
英玲奈,音ノ木坂学院、だ
あんじゅ,あ、あのねツバサ…試合はコールドじゃなくて…
ツバサ,えーっと、スコアボードは～……８対６…？なにこれ、大接戦じゃない。二人とも出てたのよね？
英玲奈,……私は五回から
あんじゅ,わ…私は最初から…でもホームランは二本打ったのよ
ツバサ,ふーん……ま、打つ方は８点取ってるなら最低限かしら。物足りないけど。で、英玲奈が出場した五回以降は無失点、か
あんじゅ,そ、そうなの！私と英玲奈はベストを尽くしたわ！
ツバサ,あー初回に４点も取られちゃったのね。で、もう２失点…
英玲奈,……佐藤さんが立ち上がりを打ち込まれてしまった。彼女には既に三軍への降格が通達されている
佐藤,………
ツバサ,え、佐藤さん？誰だっけ、それ
佐藤,……ッ！？
英玲奈,……おいツバサ、同級生の佐藤さんだ。一年の頃から切磋琢磨してきただろう？
ツバサ,へぇ～
あんじゅ,つ、ツバサ…そんな、へぇ…って
ツバサ,佐藤さんね…忘れちゃった。ま、いいわよね。三軍なんて覚えてなくっても
佐藤,ブチッ！。綺羅ツバサぁぁア゛ア゛ア゛ッッッ！！！！！
英玲奈,やめろ！佐藤！
佐藤,死゛ね゛ェェッ！！！
にこ,あっ顔面にボールを！
あんじゅ,ツバサ！危ない！！
ツバサ,え、何が？
あんじゅ,……嘘ぉ
佐藤,そ、そんな…っ…！
英玲奈,至近距離から顔面への速球を…おもむろにボールペンで打ち返してスタンドへ、か……。相変わらず、凄まじい
ことり,えっなにちょっとあれありえなくない？ボールペンだよ？硬球だよ？？
海未,し、信じられません…
絵里,…なんで内ゲバの現場に居合わせちゃってるのかしら…気まずいわ
希,この発言権のない雰囲気、苦手やなぁ…
穂乃果,お腹減ったなぁ…
凛,穂乃果ちゃん穂乃果ちゃん、帰りラーメン行こうよ
穂乃果,凛ちゃん！直接脳内に！？
ツバサ,あっぶなー…このボールペンが金属製じゃなかったら怪我しちゃってたかも。そこの投げてきた人、あなた誰？危ないじゃない！硬球って石みたいに硬いんだから！
佐藤,あ…ああ…あ…
あんじゅ,佐藤さん…心が壊れちゃったのね。可哀想だけれど…もう駄目ね
英玲奈,…ツバサは決して嫌がらせで発言しているわけではない。本気で佐藤さんの事を記憶していないんだ。自分が興味を持てないものへの記憶に脳の容量を一切割いていない。そうして、常人よりも大幅に余った脳の力の全てを野球の能力に注ぎ込んでいる
あんじゅ,そしてそれはもちろん、私と英玲奈も対象。ツバサから取るに足らない存在だと思われてしまったその時…私たちはツバサの認識から消える。私も英玲奈もツバサの事は好き。子供みたいに楽しそうに野球に向き合うツバサをそばで見ているのが大好き。この小柄な天才がどこまで行けるのかをずっと見守っていきたい
英玲奈,だからこそ、私たちはツバサが恐ろしい。忘れられないため、切り捨てられないために……私たちは確実に結果を残し続けなければならない
ツバサ,もう、二人ともなんか表情硬いわよ？試合で疲れちゃった？
あんじゅ,大丈夫、大丈夫よ…うふふ
ツバサ,そう？ならいいけど。……ん？。そこのアナタ
英玲奈,な！？ツバサが見ず知らずの他人に興味を示した！？
穂乃果,ねえ、穂乃果は今日はピリ辛の担々麺な気分だよ、凛ちゃん
凛,凛は二郎でガツンと大豚W気分なんだけどなー
穂乃果,あ、それもいいかも？
ツバサ,ねえアナタ、サイドテールのアナタよ
穂乃果,ふぇあ！？ごめんなさい！ラーメンの事を考えるのはやめます！！
真姫,何言ってるのよ、穂乃果…
ツバサ,ねえあなたの名前は？
穂乃果,わた、私ですか！こ、高坂穂乃果です！
ツバサ,学年は？ポジションと打順は？打席と利き腕は？パン派？ごはん派？
穂乃果,え、ええ！？二年で五番サードで右投右打で断然パン派です！
ツバサ,そうなんだ！そうなのね！ね、ラーメン食べたいの？
穂乃果,えっ食べさせてくれるの！？
英玲奈,おいツバサ…その辺りにしておけ
海未,こら！穂乃果！失礼はやめなさい！
凛,い、いいなー！凛もラーメン食べたいです！
ツバサ,私は高坂さんと話をしているの。その他は黙っててね
凛,え…あっ…ごめんなさい…
花陽,い、いくらツバサさんでも凛ちゃんに失礼な口を利いたら許しませんよ！測定してやる！スチャ。野球力2000…いや2500…3000…！5000…！？13000…？！！ええっ！まだ上がっちゃうのぉ！？
凛,ああっ！かよちんのスカウター眼鏡が粉々に！
真姫,は、花陽…！？野球力13000以上って…な、なによそれ、桁が違うじゃない！
ツバサ,穂乃果さん、お友達になりましょ？ＵＴＸのカフェテリアに美味しいラーメンがあるの。ご馳走するわ
穂乃果,え、ええ、えっ？でもみんなが…
ツバサ,穂乃果さん、あなたＵＴＸに入ってよ。私が働きかければすぐに転入手続きも済むわ
穂乃果,つ、ツバサさん！？なにを、ほ、穂乃果…頭がついていかないんだけど…ひ、引っ張らないで…
海未,あなた、いい加減にしてください。私の友人が困っています
ことり,ほ、穂乃果ちゃんから手を離してください！
ツバサ,………
穂乃果,海未ちゃん、ことりちゃん…なんかよくわかんないけど助けてー…
にこ,あの、ツバサさん。このアホ、これでも音ノ木のキャプテンなんで。引き抜きとかそういうのは困るんです。うちとそちらは、敵！なんですから。おら穂乃果！こっち来なさい！
希,お、にこっち言うやん！ほら穂乃果ちゃん、ウチの後ろに隠れとき
穂乃果,うう、希ちゃーん…
ツバサ,……ちょっとちょっと穂乃果さん。私は仲良くしたいだけよ？みなさん退いてもらえる？そんなバリケードみたいに立ち塞がっちゃって
絵里,ねえ、やめてもらえますか？穂乃果は困っているわ。それ以上音ノ木坂の生徒を困らせるようなら、私は生徒会長として穂乃果を守ります
真姫,いきなり転入とか…頭沸いてる？
あんじゅ,ね、ねえツバサ…いきなりどうしちゃったのよ…迷惑かけちゃってるわ？
ツバサ,…はー、めんど
絵里,な、なんなの…！この人の迫力は！？
希,なんや…これ！気圧されて…体が痺れたような！
真姫,ヴェエ…！なんかあいつだけ世界観違うんだけど？！
花陽,こ、声が出ないよぉ…！
ツバサ,……穂乃果さん
穂乃果,っ、つ、ツバサさん…？なんで、穂乃果の顔に手を…？
ツバサ,クスッ…やっぱり。あなたは動けるのね、私のプレッシャーの中で
にこ,えっ？ちょ、穂乃果の顔にツバサさんの顔が近付いて…！？
ことり,えっ！えっ？えっ！？やめてやめてやめて！！！
海未,嘘でしょう！？嘘でしょう！！？やめてください後生ですから！！！
あんじゅ,つ、ツバサぁ！？
英玲奈,やめるんだ！ツバサ！
穂乃果,！！？？！？！？？！？！
ことり,ぴいいっ！！？！このアマっ！！やりやがった！！ビッチ！！アバズレ！！ことりのおやつにしてやろうか！！？
海未,あああああ…このチビ女…このデコ女…！私の穂乃果になんてことを…！穂乃果がに、に、妊娠してしまいます…！！！
凛,凛たち、野球しにきたんだけどなぁ
穂乃果,え、あ…あ…ぅ…/////
ツバサ,穂乃果さん。私、ようやく見つけたの。私と同じ高みに立てる人を
穂乃果,たか…み…？
ツバサ,試合の中で、英玲奈やあんじゅのプレーを見て、あなたも思わなかった？大したことないなって
英玲奈・あんじゅ,ッ…！
穂乃果,た、大した事ないとは思わないけど……同じぐらいのことなら、穂乃果もそのうち出来るよ…って
希,そ、そうなん…！？
ツバサ,でしょうね。あなたの潜在能力は私に匹敵するんだもの。当然よ
絵里,穂乃果が！？そうなの！？
ツバサ,英玲奈、あんじゅ。勘違いしないでね？決して二人を貶めているんじゃないの。二人の事は大好き。プレイヤーとしても尊敬している。……けどね、二人と私は、決して同格じゃない
英玲奈,………その通りだ、残念だが
ツバサ,私はね、恒星なの。英玲奈とあんじゅ、他のチームメイトたちは私に連なる惑星。種類が違う。だけど見つけたわ、穂乃果さん。あなたも私と同じ恒星。自ら光を放てる太陽よ
希,太陽…穂乃果ちゃんのタロット…
穂乃果,……太陽とか惑星とか…よくわかんないけど…
ツバサ,わからなくていいわ。私が言いたい事はただ一つ。一緒に来なさい、穂乃果さん
穂乃果,………。……ツバサさんの気持ちはわかりました。多分だけど…私なら、ツバサさんと高めあう存在になれる
ツバサ,穂乃果さん！わかってくれるのね！じゃあ！
海未,ぅ、うう！うぁあ゛！
英玲奈,園田海未！プレッシャーを破った！？
海未,穂乃果！！行かないでください！
ことり,チ゛ュ゛ン゛ッ゛！そうだよ穂乃果ちゃんっ！ダメっ！行っちゃだめ！！
あんじゅ,南ことりも！？
穂乃果,……私は、ツバサさんの孤独、なんとなくだけど、わかってあげられると思います
ツバサ,そうよね穂乃果さん。あなたも本質は私と同じよ
穂乃果,……だから！私はツバサさんを倒してみせます！音ノ木坂のみんなと一緒に！
ツバサ,え…？は！？話の前後が繋がってないわ！ダメよ、UTXに来なさい！
穂乃果,だって、一緒の学校じゃ、大会でツバサさんと勝負できませんから！
ツバサ,……勝負？
穂乃果,多分だけどツバサさん…、野球は大好きでも、野球での勝負を楽しんだ事ってないよね？
ツバサ,勝負を楽しむ？ええ、ないわ。負けるはずのない相手を圧倒し、ねじ伏せて、叩き潰し、勝つべくして勝つ。それが勝負よ
穂乃果,やっぱり！それってすっごくもったいないよ！私がツバサさんに勝負の楽しさを教えてあげる！それでね、もし負けたらツバサさんの言う通り、ＵＴＸに転入します！
絵里,穂乃果…何を…
ツバサ,…勝負。……ねえ穂乃果さん、それじゃ大会が終わっちゃうの。一緒に野球ができないわ
あんじゅ,そう、私たちは三年。次の夏の大会で引退…
穂乃果,私ね、野球じゃなくたってツバサさんとは友達になれると思うんです
ツバサ,……友達に
穂乃果,だから、約束します！もし負けて穂乃果が転入したら、ツバサさんが卒業するまでの残りの半年を最高に楽しい時間にしてみせるって！
ツバサ,………
穂乃果,けど、負けません！絶対に！
ツバサ,ふぅん…？要するに、負ける気はないってワケだ。その素人の寄せ集めチームで
穂乃果,うん、負けません。穂乃果がいなくなったら寂しくて死んじゃうかもなあって感じの、愛が重い幼馴染みが二人もいるから
海未,穂乃果ァァ！！
ことり,ハノケチェェン！！
ツバサ,ふふ…あっはははは！穂乃果さん、言ってる事はよくわからないけど、やっぱりアナタって面白い！いいわ、その条件飲んであげる
希,なんか偉そうやけど…この子、終始めちゃくちゃな事しか言ってないなぁ…
ツバサ,そして、約束するわ。必ず音ノ木坂を叩き潰して、貴女を迎えに行くと。それじゃあ、また大会で会いましょ
穂乃果,勝負だよ、ツバサさん。私、負けませんから！
ツバサ,ふふっ……あ、そうだ。参考までに教えてあげる。私の野球力は53000よ
凛,ご、５３万！？
花陽,53,000だよ凛ちゃん。フリーザじゃないよ
ツバサ,バイバイ
英玲奈,……ツバサは野球に、自身の才能に取り憑かれている。私たちから恥を忍んで頼む
あんじゅ,ツバサを…敗北させてあげて。お願い…
凛,暇だよ～…
穂乃果,暇だね～…
ことり,雨、止まないねえ
真姫,……
絵里,今週はずっと雨ね…せっかくＵＴＸ戦で色々な経験が積めたのに…
凛,テンション下がるにゃ～
希,筋トレも今日の分は終えちゃったしなぁ。オーバーワークは逆効果やし……パキン
凛,ま、またやられたにゃー！？
穂乃果,おお～
ことり,希ちゃん野球盤上手だねぇ
真姫,………
ことり,真姫ちゃん？体調悪いの？
真姫,あんたたち全員うるさいのよっ！！穂乃果はせんべい！凛と希の野球盤！ことりのハンドグリッパー！絵里の宿題！
絵里,私は宿題やってるだけなのに！？
真姫,あ…ま、まあ、絵里の宿題はいいわ。他よ！特にことり！それうるさい！
ことり,ご、ごめんね？でも、試合終盤に変化球のキレが落ちてたから握力を鍛えなさいって言ってこれをくれたのは真姫ちゃん…
真姫,今はうるさいの！
希,あれやんな？真姫ちゃんはここ数日にこっちと全然会えてないからイラついてるんよね？
真姫,べっ、別に！違うわよ！なんでにこちゃんなんか！
凛,なぁんだ、いつものかにゃ。それなら凛だって、かよちんと放課後バラバラで寂しいよ～
穂乃果,だったら穂乃果だって！海未ちゃんが視聴覚室に籠っちゃってて寂しい！
ことり,だよね～…
絵里,この雨で練習できないしで、野球に詳しいにこと花陽、捕手の海未の三人でずっと色んな映像とかデータをまとめてくれてるのよね
希,ウチはさっき差し入れ持っていったけど、あの部屋には長居できないなぁ…スクリーンで試合の映像が延々と流れてて、大量のスコアシートとかが机の上に散乱してたよ
凛,凛はあんな数字とかデータまみれの部屋にいたら一時間もしないで頭がおかしくなっちゃうよ！
真姫,UTXのここ数年の試合データとかを全部集めたみたいね。どこから持ってきたんだか…
絵里,作業を手伝おうとしたんだけど、OPS、IsoDとかWHIPだとか、データが細かすぎてね…にわか知識じゃかえって邪魔になりそうで退散したわ
穂乃果,数字の海って感じだったね。ぞっとしないや…。あーもう、海未ちゃんと会いたいよ～！
海未,私がどうかしましたか？
穂乃果,あっ、海未ちゃんっ！
ことり,うふふ、穂乃果ちゃんは海未ちゃんが大好きって話だよ
海未,なっ、わ、私のいないところで何の話をしているのですか！
穂乃果,海未ちゃんっ！君を愛してるぅっ！
ことり,ことりも～
海未,は、恥ずかしいです！やめてください！
希,と、言いつつ頬がゆるゆるやね
にこ,ほら、どいたどいた！ったく、アホの二年生トリオは入口でイチャついてんじゃないわよ
花陽,みんなお待たせ～。試合データとかのまとめがやっと終わったよ！
凛,かーよちーん！！寂しかったよぉお！
花陽,り、凛ちゃぁん！ごめんねぇ！
真姫,別に、毎日教室で会ってるじゃないの…
絵里,ほら、真姫もにこに抱きつかなくっていいのかしら？
真姫,う゛ぇぇ！？わ、私は別にっ！
にこ,なに？真姫ちゃんったら、にこにーと会えなくて寂しがってたわけ？
真姫,チガウワヨ！
にこ,ふふん、可愛いとこあんじゃないの。まっ、にこにー分を摂取できなくて禁断症状を起こしちゃうのは当然っちゃ当然だし？別に驚かないっていうか？とりあえず頭撫でといてあげる。ほら真姫ちゃーん、よしよーし♪
真姫,ヴェエ…！イ、イミワカンナイ！
希,嬉しそうやねぇ
にこ,さて、全員で視聴覚室に行くわよ。映像見せながら説明する事が色々あるから
海未,えー、ゴホン！それでは、先ほど花陽が言ったようにデータの解析が終わりました。その多くは捕手である私と、投手のことり、絵里が知っておけばいい内容なので、それについては後で二人に資料を渡そうと思います
ことり,はーい
絵里,了解よ
海未,と、それは一旦置いておきまして。優木あんじゅのフルハウス打法の概要が掴めましたので、全員で共有しておこうかと思います。花陽、映像をお願いします
花陽,ええっと…じゃあみんな、スクリーンを見てね
穂乃果,お、あんじゅさんの打席の映像だ
希,これはこの前の試合？
にこ,そうよ。まあ映像はイメージしやすいように流してるだけだから、しっかり見なくても大丈夫よ
ことり,あ、これは最初の打席だね
にこ,絵里の落球は面白かったわよね～
絵里,もう、にこ…からかわないでよ。あれ恥ずかしかったんだから…
穂乃果,あはは、あの打球はしょうがないよ～
真姫,………エラーチカ
希・ことり,ブフッ！
絵里,ちょ、ちょっと真姫！希とことりも！
真姫,ご、ごめんエリー。思いついちゃって、つい
希,いやぁ…ごめんごめん
ことり,ごめんね絵里ちゃん、ついつい…
絵里,はぁ…
海未,さて、説明を始めますね。長々と講釈を垂れてもみんなが疲れるだけでしょうし、結論から述べます。フルハウス打法とは、フルカウント時、または満塁時の打率が十割となる、というものです
真姫,ええっ！？なにそれ！嘘でしょ！
にこ,本当よ。にこも知らなかったけど…っていうか、メディアでもまだ取り上げられてないはずよ
花陽,あんじゅさんが新しい打法を完成させたって雑誌のインタビューで書かれて以降の試合結果を集めて、三人で調べてみたんだ。そしたら満塁の時と、フルカウントの時の打率が十割だったの
穂乃果,十割？…って、100%でいいんだよね？すごっ！なんで有名じゃなかったんだろ
にこ,女子高校野球の細かい指標まで見てるメディアってあんまりないから。今まで知られてなかったのはそのせいよ
真姫,十割って、バカげてる！そんなの超能力じゃない！
……ですが、統堂英玲奈は希のオカルト打法を破った時に,そんなオカルトなどありえない
ことり,なるほど～。チームメイトのあんじゅさんの事はよく知ってるはずなのに、英玲奈さんがオカルトはないって言うって事はそういう事だよね
海未,ええ、その通りです。さらに綺羅ツバサの言動、統堂英玲奈と優木あんじゅの態度。あれらを見るに、優木あんじゅは綺羅ツバサの球をあまり打てないと見て問題はないはず
凛,なんか怖がってたもんねー
海未,ですね。となれば、優木あんじゅのフルハウス打法は超能力ではなく、相手が優れていれば打てなくなる、常識の範囲内の能力だと考えられます。“女子野球レベルの球であれば”ほぼ十割打てるという事でしょう
希,なるほどなぁ…確かにホームランを打った二打席はどっちもフルカウントとか満塁やったね。でも、フルカウントと満塁でだけめちゃくちゃ打てるようになるってのはどういう事なん？
凛,そういう細かいイメージトレーニングって陸上でもするよ。頭の中でゴールまでの歩数を何度も何度も考えてみたり、順風の時と逆風の時をイメージして走ってみたり
穂乃果,はえー、そんなことするんだね
海未,ええ、弓道でも似た事はしますよ。長々と話してしまいましたが、要約するとフルカウント、満塁時に超集中してゾーンに入る。おそらくは、それがフルハウス打法の正体です
絵里,なるほど…超集中、ね…
花陽,あ、でも絵里ちゃんのロシア打法もすごく集中して見えたし、ゾーンに入ってるような感じだったと思うよ
絵里,えっなにそれ
真姫,エリー、この前の試合でいきなりロシアぶってたじゃない。で、ヒット打ってたでしょ？あれ、私たちで勝手にロシア打法って呼んでるの
絵里,やっ、やめてよ！なんか格好悪いじゃない！
穂乃果,嫌なの？じゃあ…ハラショー打法！
絵里,それもなんか嫌よ！やっぱり格好悪いわ！
ことり,そうかなぁ？絵里ちゃんらしくてかわいいと思うけどなぁ
絵里,ね、ねえみんな、一旦冷静になりましょう？全部になんとか打法って名付けなくっていいのよ？
海未,私はその手のキャッチフレーズって大好きなのですが…
にこ,まあ海未はね…
凛,とりあえず絵里ちゃんは知ってるロシア語をもっと増やすべきだと思うにゃー
希,すぐハラショーやったもんなぁ
絵里,もう！この話はおしまい！話を進めてちょうだい！
真姫,優木あんじゅの事はわかったわ。で、他にも話があるんでしょ？
海未,ええ、ここからはにこ、お願いします
にこ,それじゃあ～？今からぁ～にこにーがあなたたちにぃ～女子高校野球のヒ・ミ・ツをぉ～
凛,それ寒いからさっさと進めるにゃー
にこ,ちょっと凛！ひっぱたくわよ！ったく…えーっと、話ね。今からあんたたちに女子高校野球ってものを一から説明してやるわ
穂乃果,え、にこちゃん何言ってるの？もうみんな野球やってるのに
にこ,甘い！今の音ノ木坂野球部はただ野球をやってるだけ！女子高校野球のスタートラインにも立てていないわ！花陽、映像プリーズ！
花陽,了解にこちゃん！
希,これもUTXの試合？でもなんか随分賑やかやね
花陽,うん、これは春の全国大会の決勝だよ
絵里,へえ、男子の甲子園とは違ってドーム球場で開催されてるのね
花陽,うん、女子の大会は決勝だけがアキバドームで開催されるんだ。まだ歴史の浅い大会だから、他の試合は普通の球場でやるんだけどね
絵里,華やかね…歓声に鳴り物の応援に、なんだか見てるとわくわくするわ
凛,あ、綺羅ツバサが投げてるよ
真姫,131キロ…！流石に速いわね、男子レベルじゃない
にこ,女子野球での130キロは一つの壁って言われてたの。なのにツバサは平均球速で130オーバー。完全に怪物よ
花陽,しかも、ツバサさんの球は打席に立つともっと速く感じるんだって。左投手は５キロ増して見えるなんて話もあるし、手元が見えにくいフォームでスピン量も多いから、ストレート自体が魔球なんて言われてるんだよ
にこ,故に、魔術師綺羅ツバサってね
ことり,ふぇ～すごいね……あ、三振。チェンジだね
にこ,ここからよ。UTXの攻撃、よーく見ておきなさい
ことり,えっ、音楽？
絵里,これって場内放送よね？これは…プロ野球みたいな登場曲ってこと？
にこ,そうよ、女子高校野球では出囃子の使用が認められているの。それだけじゃないわ
希,わぁ、応援の迫力すごいなぁ…応援も今の曲を使っとるんやね
花陽,私はこの映像、何度も見てるんだけど…明らかに相手のピッチャーが応援に委縮しちゃってるんです
海未,確かに、この場にいたら圧倒されてしまうでしょうね…。あっ、ホームラン…
にこ,……と、まあ映像を見てもらったわけだけど。男子高校野球との違い、わかってもらえたわよね
ことり,音楽が流せるってところ？
にこ,それは表面的な部分に過ぎないわ。大事なのは、女子高校野球は男子と比べて、興行性が強いって点
海未,興行性、ですか？
真姫,…誰を筆頭にって？
にこ,何よ！文句ある！？
穂乃果,んー、でもにこちゃん、アイドルっぽく人気があってファンが多かったら試合で有利になるってわけじゃないでしょ？
にこ,はい甘い。いい？穂乃果。私たちアマチュアのプレーってのは研鑽を重ねたプロとは違う、とても不安定なものよ。雰囲気、メンタルに大きく左右されるのなの。アンタ、男子の甲子園大会はよく見る？
穂乃果,あんまりちゃんと見たことないなぁ。お父さんが夜に熱闘甲子園見てるのをたまに隣で見るぐらいで
にこ,甲子園でね、沖縄代表って結構勝ち進むことが多いの。指導者がいい、温暖で冬場も練習しやすいとかの理由も大きいんだけど、試合でモノを言うのはあの応援よ
ことり,あ、それ見たことあるよ。指笛を吹いたり民謡を演奏したり、応援が独特ですごいよね♪
にこ,そう、それなのよ。ハイサイおじさんが演奏され始めるとガラリと流れが変わっちゃうの。魔曲なんて呼ぶ人もいるぐらいよ
花陽,他にも智弁和歌山のジョックロック、常総の神風、龍谷大平安の怪しいボレロとか…挙げていったらキリがないぐらいあるんだよ
にこ,にこ的には横浜高校の第５応援歌がイチオシね～！あの軽快なスネアに乗って延々攻撃が続くんじゃないかって錯覚しちゃうわ！
花陽,ぅああぁ！横浜の第５いいよねぇっ！あのリズムを脳内再生しちゃうよぉ！うーん私は挙げるならレッツゴー習志野かなぁ！
にこ,習志野！あれはもう純粋に演奏レベルがズバ抜けてるわよね～！統率された音の暴力って感じ？レッツゴー以外でもエスパニアカーニからのエルクンバンチェロなんかも鳥肌よ鳥肌！
花陽,ふぁぁああ！たまらないよねえぇぇえ！あ、前橋育英の高速アルプス一万尺とかもいいよね！
にこ,あれは攻撃力高いわよね～！！個人的にはジョックロック並にエグいんじゃないかと思ってるわ。智弁和歌山だとシロクマもかっこいいわよね～！
花陽,わっかるなぁあぁ！！！あとあと定番シリーズだとサウスポーも外せないよね！
にこ,もっちろんよ！ザ・王道よね！！
真姫,二人で盛り上がってるけど、全然ピンと来ないわね…
凛,凛は楽しそうなかよちんが好きだよ
希,応援歌ねー。甲子園の魔物ってやつ？
穂乃果,なるほどー、なんとなくだけどわかったよ。あのUTXの曲とかかっこいいなぁ…って思ったもん。っていうかあれって歌ってるのツバサさんたち？
凛,凛も思った！あれ、あの三人の声だったよね！
にこ,正解よ。あのshockingpartyって曲はツバサ、英玲奈、あんじゅの三人が歌ってるわ
凛,どういうこと？野球の練習をして歌の練習までしてるの？
