キャプテン・アメリカ(以下キャップ),う……。……ここは……？
クラピカ,あの戦いまでヒソカはお気に召す実力者と対峙していない。嬉々として戦うかと思ったが……譲られる形で合格とは
レオリオ,なあ、あいつらダチ公かもしれねーぞ
キャップ,その可能性は高い。類は友を呼ぶということか
クラピカ,だとするとキルアが危うい。あのギタラクルがヒソカと同等の実力者だとすれば……
キャップ,……ああ。しかしそれ以上に
レオリオ,！キルアもグルってことか？
キャップ,というよりキルアの行動を読み透かしているといったところか
クラピカ,……読み透かす？
立ち合い人,最終試合……はじめ！！
キルア,そんじゃーよろしくな
ギタラクル,キル、気づかなかった？
キルア,？………！！
ギタラクル,……オレだよオレ、大事な弟が家出したからさ。連れ戻しに来たんだ
キルア,……イルミ……兄貴……！！
イルミ,帰ろうか、キルア
ネテロ,なるほどのう
リッポー,兄弟対決、というわけですか……
サトツ,それ以上の目的が彼にはありそうですがね
メンチ,やけにオーラ濃いなと思ったけど……頭変形させてたわけ！？
ブハラ,あの頭みたらチャーシュー食いたくなってきた……
イルミ,仕事の関係でハンターの資格が欲しかったんだけどさ、キルアがここにいるのを見つけたんだ。まさかハンターになりたかったとはね。偶然だけどよかったよ。さあ家に帰ろう。母さんが心配して待ってるよ
キルア,……くそ……誰が……！
レオリオ,あのキルアが……あんなに動揺するなんて……
キャップ,ああ
イルミ,帰りたくないの？お前に他に行く場所なんてないよ
キルア,あるさ……
イルミ,ははは。ハンターになってどうするんだ？お前はゾルディック家の後継ぎだ。暗殺者になるんだよ。お前は希望を持たない空っぽの闇人形だ。そうなるように育てられたんだ
キルア,……くっ……
イルミ,何も欲しくない、何も望まない。それがお前だ
キルア,……嫌、だ。オレだって行きたい場所はある……望む人はいる！
イルミ,……ふーん。ゴン、とか言ったっけ？
キルア,！
イルミ,滝壺の洞窟で友達になるとか言ってたよね
キルア,……聞いてたのか！
イルミ,お前に友達ができるわけがないだろ。お前に外の友達なんか必要ない。それにもし友達になってくれたとしても、お前はいつかゴンを殺したくなるよ
キルア,！！
イルミ,それを感じていないかったか？いつまでも一緒に居られるわけがない。お前は生粋の殺し屋なんだから
レオリオ,野郎……！！
クラピカ,……
キャップ,……。洞窟だけなら
キルア,……！
キャップ,キルア……思い出すんだ
イルミ,さあ、もう無駄なことはやめて帰るんだ。お前はゾルディックを継ぐ……
キルア,オレたちは
イルミ,……？
キルア,勝算や結果などに関係なく、自分の信念のためにこそ立ち上がらねばならない……。"そこをどけ"と言われたならば。世界に……キサマに向けてこう言ってやる。お前がどけ……！！！。ゴンはオレの友達だ！！
イルミ,……
キャップ,……
レオリオ,その通りだ！！！。やれ！やっちまえキルア！そんなクソ兄貴かっこよくさっぱりぶっ飛ばしてよ！そんでまたゴンのところに行ってこい！！
クラピカ,やれやれ……しかし
ハンゾー,いいぞボウズ！さっきはダチの足折ってごめんなー……
ボドロ,そうじゃ！やってやれぬことはないぞ！わしなんかこの歳で合格じゃ！
ポックル,あんたには感謝してるんだぜ！完全に漁夫の利だからよ！やったれ！
ネテロ,……ほう
リッポー,……彼、ですね
サトツ,……おそらくその影響でしょう
メンチ,ふーん……
ブハラ,面だけ食い……いでででで！！
レオリオ,はっ倒せよ！キルア！
キルア,うるせっつの……バカおっさんが
キャップ,(結局、キルアはイルミに敗北した。全力を出し切りボロボロになったキルアは、それでも満足気な顔をしていた)。今度ばかりはヒソカに感謝するべきかな……。(不合格者はキルア一人となり他は全員合格)。(晴れてハンター試験は終了した)。(僕がハンターになるまでの足取りはここまでだ)
ハンゾー,おめでとおおおおお！！無礼講じゃ無礼講！
レオリオ,イエーイ！ついに俺もプロハンターだぜ！飲め飲め！おらっもっと飲めよ！スティーブ・ロジャース！
キャップ,はは……僕は体質的に酔えないからね
クラピカ,やめろレオリオ、みっともない
レオリオ,いいじゃねえか！今日だけは無礼講よ！
キルア,イエーイ！飲め飲めー！
レオリオ,ってお前未成年だろうが！受かってもないし！
クラピカ,というか確か君も未成年…
キルア,はあー！？俺の舐めプのおかげでプロなれたんだろー！本気でやってたらマジ一発KOだから！レオリオもそこのおっさんも！
キャップ,キルア、未成年で飲酒はやめとくんだ
キルア,アルコールなんか効かねーよ！おれもおっさんと同じだっつーの！体質的に……酔えないからね……ブハッ。イエーイ！飲め飲めー！
レオリオ,ってお前未成年だろうが！受かってもないし！
クラピカ,というか確か君も未成年…
キルア,はあー！？俺の舐めプのおかげでプロなれたんだろー！本気でやってたらマジ一発KOだから！レオリオもそこのおっさんも！
キャップ,キルア、未成年で飲酒はやめとくんだ
キルア,アルコールなんか効かねーよ！おれもおっさんと同じだっつーの！体質的に……酔えないからね……ブハッ
ゴン,もー、キルアは本当に照れ屋だなあ
キルア,はあ！？照れてねーし！ゴンもくらえ！ビールかけ！
ゴン,ちょっ！オレは普通に酔うんだってば！なんだ……よ……う……
キルア,よっわ！反吐じゃんヘド、たぶんこいつの父ちゃんも酒全然飲めないぜ。会う日が楽しみだ
ゴン,キルア～！ぐらええええーー！
キルア,ちょっえっいででで！
クラピカ,あれはアジアに伝わるという伝説の秘法……酔拳！？
キルア,バッ、誰か助けろって！おい！
キャップ,子供は元気があっていいなあ
キルア,ギ……ギブ……
ゴン,ふへへ……
レオリオ,あーもーしょーがねーなー！なんだかんだいってガキなんだもんな！お前ら二人！
クラピカ,君も大概だがね……。……
キャップ,なんだい？クラピカ
クラピカ,……君に一つ頼みがある
キャップ,もちろんだ
クラピカ,……！
キャップ,ただし条件がある
クラピカ,……言ってくれ
キャップ,事前調査を徹底することだ。彼らに関して全て調べ上げてから…そのあと行動に移す。一体なぜそれをやったのか。誰がそれをやらせたのか。なんの目的と意味があったのか……。やるならば後悔やあと腐れはまったくない状態にする。もしも事前認識と異なる結論が出たら、報復行為はやめる。単なる捕縛に切り替える。先走ることが聡明で明晰な君の欠点だ。君の考えることはよくわかる。僕も……同じだからね
クラピカ,……そこまでやってくれればあとは私一人で十分だ
キャップ,そうもいかない。なら正義を味方につけた方がいいだろう？。たとえ向かう先が復讐だとしても
クラピカ,復讐者たち、か
ソー,アズガルドにわけのわからない手紙が届いたんだが……おそらくスティーブがキューブの力を使ったんだろうな
ブルース,今地球にキャプテン・アメリカはいない
トニー,……ウルトロンの開発を急がねば
ナターシャ,……(スティーブ……)
ファルコン,……オレとあのソーが同じ扱いとは
ホークアイ,……寿司でも行くか？
ファルコン,その前に寄るところがある
シャロン,……
コールソン,僕にはなにもないの？縦読みとかじゃない？
メリンダ,あのダサいスーツのせいね…
？？,……
