レスキネン,マホ、こんなに遅くまで随分と熱心だね
レス,Oh……口に合わないのかな？しかし、その割りにグイグイいっているようだけど
真帆,私自身、それほど他人との付き合いが得意なタイプではないことは自覚してる。そんな私があんな状況下にあって、それでも出会った二人の人間が持つ法則性を看破してみせた？。…………。無理な話ね。それこそファンタジックな御伽噺の世界だわ
レス,マホ？
真帆,とは言え、よ。昨夜の二人。どちらも言動が始終不可解なものばかりだったことには違いないし、それで面食らいはしたけど……。それでも彼らが、話の通じない狂人の類というわけではないと、心のどこかで感じていた気は……今にして思えば、なくもない。もっとも、混乱が招いた勘違いって可能性も十分にあるけど。でも……
レス,マーホー
真帆,最初に会った男性の侵入者。どういうわけか、彼からは私を救い出すみたいな奇怪コンセプトがかもし出されていたし……。続く激しかった二人目の彼女にしても、そう。使命がどうとか言うのなら、私ごとサーバーを銃で撃ち抜けばいいのに、でも結局そうはしなかった
レス,マーホーさーん
真帆,あの侵入者たちの正体は……誰？。何故、私のアマデウスを消そうとしていたの？。どうして私の事を、サリエリのオリジナルと呼んだの？。あの人たちの言う使命とは……何？。…………。ああもう本当に、分からないことばかり！特にあれよ、何ていうのかしら？感情とか心情とかもうね！脳科学なら得意分野のはずなのに、どうしてこうも手を焼くことばかりなのよ、世の中は！。人の心とかも数学的に０と１で構成されていれば、もう少し身近に感じられる……って、それがアマデウスだったわね。アマデウス……。結局私のアマデウスとは、尻切れトンボになった議論のとき以来、まだちゃんと話せていないのよね。彼女、今頃どうしているのかしら？
レス,大丈夫かい、マホ？
真帆,あ……。す、すいません、つい考え事を
レス,やはり少し疲れているようだね
真帆,いえ、そういうわけでは
レス,もし辛いなら、しばらく休んでもいいんだよ？
真帆,大丈夫です。本当の本当に、もう大丈夫ですから
レス,無理をしてはいけない
真帆,いえですから、無理なんてしていませんって
レス,Hum、その言葉……信じていいのかな？
真帆,もちろんです
レス,そうか分かった。ならば、これ以上のおせっかいは止めておこう
真帆,はい、そうしてください
レス,それではマホ。私はそろそろ大学に戻ろうと思う。悪いけど、先に失礼させてもらうよ
真帆,あ、報告ですか？
レス,Yes。上の連中も痺れを切らしているころだろうからね
真帆,なんだか、すいません
レス,だから、気にしなくていい。今回狙われたプロジェクトの責任者は、私なのだからね
真帆,……そうですか
レス,そう。自分の見通しが甘かった落ち度を部下のせいにするほどに、私は落ちぶれてはいないつもりだ
真帆,……別に、教授に落ち度があったとは思いません
レス,そうとも言い切れない。断言こそできないが、しかし。昨夜の騒動は恐らく、度々我々の研究に嫌悪感を表していた人権団体によるものの可能性が高そうだ。基本的には穏やかな組織だが、中にはそういった過激な一派もあるときく
真帆,そ、それは……
レス,彼らがあれほどに横暴な行動にでる可能性を、私は予見できていなかった
真帆,いや、その……
レス,狙われたアマデウスにも、そして運悪くその場に居合わせてしまったマホにも。私は責任者として、改めて謝罪をしなければならないだろう
真帆,あうう……どうしよう。多分、今の教授の考えは、的を大きく外している気がする。あの二人の発言を考えると、彼らの行動が人権どうのこうので動いていたなんて、とても思えない。でもじゃあ何が正しいのかなんて、私にも分からないわけで。それどころか……。私が教授に伝えたザックリした内容だけだと、そんな考えに帰結するのも当然といえる状況。最悪だわ。言う？言っておく？アマデウスの事をサリエリと呼んだことや、私の事をサリエリのオリジナルと呼んだこととか……。………。……。…。無理。説明の仕様がない
レス,ではマホ。後のことは任せてもらうよ、いいね？
真帆,あ、いやそれは……
レス,当事者の君が、一枚噛みたいと思う気持ちも分からなくはない。でも、ダメだからね
真帆,いや、そうじゃなくて……
レス,相手は、我々の大学をハッキングして警備システムを機能不全に陥れることができるほどの手練れのようだ。事実、防犯カメラの記録映像が何の役にも立っていなかったわけだからね
真帆,ええと、そのですね……
レス,マホ。これ以上は危険で、そして君の出る幕ではないんだよ。理解してくれ。じゃあ、私は行くよ
真帆,あ……あ……。あう……行かせてしまった。ど、どうしよう──。！？。わ、私の携帯……？何よ、驚かせないでよ。ええと……。紅莉栖の……アマデウスから？。どうしたの？随分慌てているように見えるけど？。落ち着いて。何かあったの？。え？それは知っているけど？だからこそ、あなたを通じて連絡事項を伝えてもらっていたはずよね？。え、そうなの？でもどうして？。いきなり？何の前ぶれもなく？あなた何か、彼女を怒らせるようなことをした？。やっぱり怒らせたのね？。困ったものね。あなたも、そっちの私も。状況？どういうこと？。妙なパスワードって何よ？。スタンドアローンということ？そんなバカな話。あーもう分かった分かった。とりあえず、私もこれから帰宅しようと思っていたところだから、着いたら家のPCからアクセスしてみるわ。……そうね。了解したわ、じゃあ後で結果を報告するから。…………。仕方ない。とりあえず、一度家に帰りましょ──。んな！また紅莉栖から？。後で連絡するって言ったでしょ？まだ外だから、帰るまで少し待っていて
紅莉栖,え、先輩。今外にいるんですか？というか、連絡って何でしたっけ？
真帆,え？あれ？……あ。オリジナルなほうの紅莉栖だった！。ええと、ごめんなさい。ちょっと人違いしたわ
紅莉栖,そうなんですか？まあいいですけど
真帆,それで、どうしたの？何か用かしら？
紅莉栖,はい。ちょっと相談したいことがあって。できればこれから、どこかで会えませんか？
真帆,これからって……これから？
紅莉栖,はい、よければ今からすぐに。可能であれば、できるだけ人目のない場所で
真帆,人目のない……場所？
紅莉栖,その、ちょっと込み入った話になりそうなので
真帆,……そうなの？何の話かしら？。紅莉栖の声、随分とトーンが暗いけど、込み入った用件って一体？
紅莉栖,すいません電話ではちょっと。でも、とても大切な相談なんです。ダメでしょうか？
真帆,困ったわね。私はちょっとやる事ができて、これから家に帰るつもりだったんだけど
紅莉栖,でしたら先輩の家をうかがいますから、そこでと言うわけには行きませんか？
真帆,それは……構わないけど
紅莉栖,ありがとうございます！確か先輩のアパルトメントは、大学の西側にある外壁がオレンジ色の建物でしたよね？
真帆,そうよ。前に来たときから時間が空いているけど、どの部屋かはまだ覚えている？
紅莉栖,はい。確か５０３号室でしたよね？
真帆,そうよ。本当に今からすぐにくるの？
紅莉栖,そのつもりです
真帆,分かったわ。待っているから着いたらインターホンで呼び出して
紅莉栖,了解です。ええと、ちなみになんですけど、その
真帆,どうしたの？
紅莉栖,先輩のお部屋。その……特にお変わりはありませんか？
真帆,？別に、取り立てて何かが変わったと言うこともないけど、どうして？
紅莉栖,あ、いえいいんですっ！大丈夫です！
真帆,そう？それならよいのだけど
紅莉栖,それと、先輩。厚かましいついでに、もう一つお願いしたいことが
真帆,はいはいはい、今度は何？
紅莉栖,実は……先輩に会わせたい人がいまして。それでその人を、一緒に連れていきたいと考えているんですけど、構いませんか？
真帆,会わせたい人？誰よ？
紅莉栖,誰……と言われると、返答に困ってしまうんですけど、でも先輩も知っている人です
真帆,私が知っている人？それならわざわざ紅莉栖に紹介してもらう必要もないと思うのだけど
紅莉栖,あ、いえ……何というか、知っているというか知っていたというか……
真帆,何だか歯切れが悪いわね。あなたにしては珍しいわよ？
紅莉栖,す、すいません、私もちょっと混乱気味で。でも、とにかく見れば誰だか分かると思います、先輩なら
真帆,何それ？ひょっとして、テレビやネットの有名人とか何か？
紅莉栖,お願いします、先輩！
真帆,え、ええ。あなたがそこまで言うのなら、OKよ。連れていらっしゃい
紅莉栖,ありがとうございます！じゃあ、準備してすぐに向かうようにしますので！
真帆,…………。なんだか、急に忙しくなってきたわね。これは……何？。あっちの紅莉栖が言っていた“妙なパスワード”って、これのことね？。なるほど、確かに妙だわ。アマデウスへのアクセスルートに、こんなステップは無かったはずだけど。ええと、そうね。とりあえず適当に……。ダメ、か。さてさてふーむ、どうしたものかしら。知らない間に増えていた、パスワード入力の画面。これをクリアしない限り、誰も私のアマデウスと通信することは不可能だ、と。つまりはそういう事になるのでしょうけど。パスワード……パスワードねぇ……。ぱっと思いついたワードや、研究員同士で共有している合言葉の類は全部試したけど、どれも外れ。一体全体、どうなっているのかしら？。……ふぅ。合鍵の有無を問われるこの場面。しかし私は、そんなシャレた鍵なんて代物は、あいにくと持ち合わせていない。この状況を素直に解釈するならば……。鍵なしの私には、自分のアマデウスへアクセスする資格すら無い、と？。中々ふざけてくれるじゃない。それにしてもよ。誰が何ために、こんな手の込んだ事をしたのかしら？。そもそも、アマデウスのプログラムに手を加えられる存在なんて限られているはず。真っ当に考えるならアマデウス研究に従事している人間か、そうじゃなければ最低でも私たちの研究に深く関わっている人物。……そうね。仮に、この追加パスが何らかの研究の一環として設けられたものなのだとしたら。それならいくらなんでも、私のところに一報くらいはあるはずよ？。百歩譲って、私に連絡がなかったとしても、それでもレスキネン教授のところには確実に報せが行く。でも。教授はこんな話、一言も口にしてはいなかった。つまり。研究の一環という仮説は、現状からして否定されるべき可能性である、と。だとしたら、パス追加犯はいったい……。って、パス追加犯って何よ。さてさて、これで研究者関連の線は消えたと仮定して。後はどんな可能性が在り得るかしら？。後。あと……あと、か。そうね、しいて上げるなら──。……アマデウス、本人？。…………。どうだろう？。この画面に到達するまでのルート具合からして……。パスボックスを割り込ませるために加筆されたプログラムは、恐らくアマデウスが格納されているのと同じサーバー内に在りそうな感じはする。もし私のその見立てが間違っていなければ、それならアマデウス自身にだってパスボックスを追加改竄することは不可能ではない……けど。でも、アマデウスにそんな事をるす理由なんてあるの？。よくよく考えてみれば、私がアマデウスと連絡を取れないという状況は、何も今に始まった事ではないはず。実際のところ、今回のアマデウスを新規で構築しなおしてから、まだ一週間程度しか経っていないけど。そんな短い期間の中で、あの四人での話し合い以来、彼女が外部との連絡を制限し始めた事はもちろん私も把握している。だからこそ、未だに私も彼女とほとんど対面できないわけで。……ふむ。では仮にだけど。もし仮に、私のアマデウスがその程度の隔絶ではもの足なくなってしまったのだとしたら？。彼女は、今よりも更に完璧な孤独を得ようとした。追加パスワードという現状は、そのために生まれた一つの結果。もしも、そうだったのだとしたら……。………。……。…。それはとんでもない人見知りだわ。というか、何を考えているのかしら、私。これは恥ずかしい。今の思考は、ちょっと人には聞かせられないわね。軽く憤死できるレベルだわ。まあ、何にしてもよ。理由が知りたいなら本人に聞くのが一番手っ取り早いでしょ。どうせシステムエラーの一種か、そうじゃなければ誰かの手違いでってオチなんだろうし。まあ、こういう時のための強制アクセスなわけだから、とりあえずさくっとアクセスして原因を突き止めてしまいましょうか。さて、準備は完了っと。んじゃ行きますか。悪いわね、向こうの私。ちょっとお邪魔するからね。え？。何？またパスワード？え、さっきと同じ画面じゃない……？。ル、ルートを間違えたのかな？よし、もう一度……。うそ……。何これ？強制アクセスのシステムにすら入れない……。つまり、アマデウスのプログラム的な問題が、こっちにも影響を？。ありえない。強制アクセスのシステムは、アマデウスとは完全に分離して稼動するように設計されているはずなのに……。ど、どうなっているの？ええと、とりあえず……。そうだ、システム内でパスボックスを生んでるコマンドを、直接消去してやれば……。よし。は？。コードの参照すらできないとか。お……お……面白いじゃない！だったら正面からパスを解析した上で、アクセスシステムをプログラミングしなおしてやる！。見てなさいよ！。！？。そうだった！紅莉栖が来るんだった！。……調度いいわね。この際だから、手を貸してもらいましょう。ああ、はいはい！今行くわよ！。…………
？？？,うぉい助手よ……貴様、何を企んでいる？
紅莉栖,企むって何の話よ？っていうか、先輩の前では助手って呼ぶなとあれ、ほ、ど……
？？？,しらばっくれるな、スパイキング・ザ・バットガール！
真帆,！？
紅莉栖,声でかい。ついでに呼称の意味が分からない
？？？,おのれ貴様、抜け抜けと！くぉの潜入パタパタこうもり女めが！目的は何だ！？。よもや貴様、我がラボの中枢たるこの俺様を、亜空間に封印でもする腹積もりではあるまいな！？
真帆,なによ……何なのよ……
紅莉栖,あんた何をトンチンカンなこと言ってるの？いいから少し落ち着いて、とりあえずここ座れ、岡部
真帆,おか……べ？
岡部,だが断る！誰が着座などするものか！貴様こそ、その半分居眠りでもしているらしき両の目をかっぽじって、よく見回してみるがいい！
紅莉栖,かっぽじったら失明するだろ
岡部,じゃかましいわっ！貴様の目には映っていないとでも言うつもりか、この見渡す限りに積み上げられた、ゴミの山が！。もはやこれでは部屋の中にゴミを詰め込んだのか、ゴミの山を壁で囲ったのかすら分からんではないか！
真帆,…………
紅莉栖,おま……言い過ぎ……
岡部,大体だ！そのような場所に腰を据えろなどと、笑止千万！さては貴様、この鳳凰院凶真をゴミ山とフュージョンさせるつもりではあるまいな！？
紅莉栖,あんたねぇ、いい加減に……
岡部,さあどうなんだ答えろ、クリスティー……いや、廃棄物の女王クズスティーナよ！
紅莉栖,ク、ズ……こんの……。………。……。…。……ふぅ。ねえ岡部。何がそんなに気に食わないの？私、先に忠告しておいたわよね？結構ショッキングだから心の準備はしておいてって
真帆,……ｼｮｯｷﾝｸﾞ
岡部,笑わせるな！あのような説明ごときで、この惨状に応する心構えなどできるものか！？
紅莉栖,言いたいことは分かる。分かるけど、でもここは抑えて、ね？だいたい、そんな態度じゃ初対面の先輩に対して失礼すぎるとは思わない？。だからここは、私の顔を立てると思って──
岡部,ふん、なぁにが先輩だ。そんな輩がどこにいると言う？
紅莉栖,はあ？どこに目を付けてるのよ、岡部。ここにいるでしょ
真帆,あう……
岡部,んな！？まさか貴様にも見えていたと言うのか、その座敷わらしが！？
真帆,ざ……し……
紅莉栖,ちょ！。いい加減にしなさい！あんた失礼にもほどがあるわよ！
岡部,なんだ何を怒っている？それは海外出張中の日本妖怪ではなかったのか？ではあれだな、コロボックルとかブラウニーの類だったか、それは悪かった
真帆,…………
紅莉栖,どうしてそうなる！？
岡部,……いやしかし。ブラウニーお掃除の妖精
紅莉栖,ファンタジーから離れなさい、厨ニ病患者！
真帆,…………
岡部,っておい助手よ見てみろ！コロボックルが悲しそうな表情でどこかへ行くぞ！
真帆,…………
紅莉栖,あ、先輩！どこへ！？
真帆,…………
岡部,おお？なにやらビニル袋を持って帰ってきたが……なんだと！？
真帆,…………
岡部,片づけを！ゴミの片づけを始めたではないか！
紅莉栖,あうう……せんぱい……
岡部,これは見事なブラウニー！！！。見ろ！やはりこいつはブラウニーお掃除の妖精
紅莉栖,やめて……もう止めてあげて岡部。先輩のライフはもうゼロよ
岡部,しかしだ。先ほどから気になっていたのだが……おい貴様！
真帆,…………
岡部,？聞こえていないのか？
真帆,…………
岡部,…………
紅莉栖,…………
真帆,…………
岡部,ふむ。では……自称米ロリ研究者非業
真帆,！？
岡部,ふん。やっとこっちを向いたな、サボタージュ・ブラウニー。やはりそうであったか
真帆,……あ……あなた、あの時の
岡部,ふむ。どうやら貴様と会うのはこれで二度目だということになるな
真帆,そ……そうね。うそ……でしょ？受けた仕打ちがあまりに酷すぎて、今まで気付けなかった。けどこの男、間違いない！
紅莉栖,お、岡部あんた！気付いてるなら気付いてるって言いなさいよ！
岡部,ふん。何も最初から気付いていたわけではない。騒ぎの最中に何となくそうではないかと思って、かまを掛けてみただけだ。しかし……。助手の話が本当であれば、貴様は世界最高峰を誇る大学の研究者だという事になるが……
真帆,助手って……紅莉栖のことよね？
岡部,貴様は本当に、ヴィクトル・コンドリア大学の研究スタッフなのか？
真帆,……ほ、本当よ
岡部,そう、か
真帆,…………。何がどうなっているの？今私の部屋で、何が起きているの？。これは何かの冗談なの！？。紅莉栖！あなたまさか、昨夜の侵入者と……顔見知りだったわけ？
紅莉栖,……はい
真帆,じゃあ……。あなたも昨夜の騒動に何らかの形で関わっていたり……とか？
紅莉栖,……はい。その通りです
真帆,なんて……こと
紅莉栖,で、でも先輩、これには分けが！
岡部,そんな瑣末な事情など、どうでもいい。それよりもだ、サボタージュ・ブラウニー
真帆,サボ──
岡部,貴様、もっと以前に俺とどこかで会ったことはないか？
真帆,……え？
岡部,……ふむ。いや、違うな。貴様と会うのは昨夜が初めてで、間違いはないだろう。となると……
真帆,な……何よ……
岡部,なるほど。どうやら貴様は、他の世界線で我がラボに住み着いていた、おさぼり掃除屋の妖精だったと……その可能性が高そうだな
紅莉栖,どこから出てきた発想だ！
？？？,いや。岡部倫太郎の想像が丸っきりの的外れだとは言えないね
真帆,……！？
？？？,他の世界線において、彼女が岡部倫太郎の片腕としてラボラトリー活動していた歴史は、確かに存在していたらしいから
真帆,また誰か来た！？しかも勝手に入ってくるとか！
岡部,ほほう。やはりこいつ、我がラボのメンバーであったか
？？？,そ。もっとも、それは何処とも知れない世界線での話らしいけどね
真帆,って、この人も昨夜の！しかも、銃を持ってた方の……
？？？,それよりも、酷いじゃないか二人とも。頃合を見て呼んでくれるって約束だったから、今まで外で待っていたのに
岡部,ああ、そう言えばそうだったな。すっかりと忘れていた
？？？,ちょ、本当に忘れていたのかい？酷いなぁ
紅莉栖,ごめんなさい、阿万音さん。この馬鹿が変に場を混ぜっ返してきたから、つい遅くなってしまって
？？？,別に構わないよ。どちらにしても、ボクは最初から一緒に乗り込んだほうが手っ取り早いと思っていたからね
真帆,次から次へとぞろぞろと。本当に何だと言うのよ、この状況は……
？？？,それから……やあ、比屋定真帆
真帆,！？
？？？,これで出会うのは二度目かな？もっとも、昨夜はとても出会ったなんて言えるような穏やかな状況でもなかったけどね
真帆,そ……そうね、同感だわ
？？？,それじゃあ改めて。初めまして、比屋定真帆。ボクは阿万音鈴羽。２０３６年の未来からやってきたタイムトラベラーだ
真帆,……え。なんだか凄まじいワードをぶち込まれた気が……。……えっと
紅莉栖,…………
真帆,………。……。…。……はい？
紅莉栖,以上が、私が立てたタイムトラベル仮説の基礎理論になります
真帆,何てものを……
紅莉栖,ざっとした概要のみの説明になりましたけど。でも先輩なら、私の仮説の存在が如何にこの世界に対して悪影響を及ぼすのか、それを想像いただけるのではないかと思うのですが
真帆,…………
紅莉栖,どうでしたか？
真帆,……そうね。紅莉栖あなた、この理論を論文か何かに仕立て上げて、どこかで発表とか……した？
紅莉栖,いえ、していません。本当なら、父との共同論文として学会に発表するつもりだったのですけれど……でも。去年の夏に父と迎合した際、それは思いとどまりました
真帆,そう。じゃあ今後、別の場所で発表するつもりは？
紅莉栖,ありません。できることなら、このまま世に出さずに葬り去ろうと考えています
真帆,そう、それが……良いでしょうね。ちょっと勿体無い気もするのだけど、そんなこと言っていられるレベルの話でもなさそうだしね
鈴羽,それでどうなんだい、比屋定真帆。ボクたちの話、もう少しまじめに聞く気になってくれたかい？
真帆,ええと、ごめんなさい。少し考える時間がほしい
鈴羽,構わないよ。まだ次のタイムリミットまで時間はあるはずからね。何日かを思考に割くくらいの猶予なら与えられると思う
真帆,何日もは不要よ。今、少しだけで良いから頭の中をまとめさせてほしい。そういう意味
鈴羽,そうかい？それならこちらも助かるな。まだまだ肝心な本題に入れていないからね
真帆,な！？これだけの話で、まだ本題に入ってすらいないというの？
鈴羽,そうだよ。今の段階を……そうだね、例えばここに積まれた書籍の一冊を、ボクたちの知る物語に見立てたのなら……。今は調度、こうして最初の方を適当にめくったくらいのものかな
真帆,じょ……冗談でしょ？
岡部,残念ながら、冗談などではない。今クリスティーナが話したタイムトラベル理論も、先に聞かせた電話レンジやＤメール、タイムリープマシンについての存在過程も。……そして。ディストピアが待ち受けるα世界線や世界大戦が勃発するβ世界線。それらをめぐる、俺の妄想のようにしか聞こえない与太話も。そのどこにも、ただの一片の冗談すらありはしない。すべて本当にあった事であり……本当に起きていたかもしれない歴史だ
真帆,……怖い……顔。雰囲気がまるで違う。さっき威勢よく吠え立てられていた時とはまったく別の重さを感じる
紅莉栖,先輩。私も科学者の端くれだから、先輩のお気持ちは分かります
真帆,紅莉栖……
紅莉栖,これまでにお聞かせした夢物語のような話の数々。その全てに確かな実証なんて何一つない。私のタイムトラベル仮説に対する正誤も、世界線という名の歴史の在り方も。それ以外の信じられないような数々の何もかもも。その全部の根底は、ただ私たちの中のに……いえ、違いますね。根底として提唱できるものは、そこにいる彼の中にしか、存在しまていません
真帆,岡部さん、だったわよね
岡部,…………
真帆,この人は一体……
紅莉栖,だから。私の尊敬する科学者である先輩が、そんな曖昧なものに足場を設けるような愚行を容易く受け入れられないことは、重々に承知しています。でも……でも
真帆,でも、何かしら。それでも私に、あなた達の話を信じろ、と？
紅莉栖,はい。どうにか信じていただけないかと
真帆,はぁ。むしろ私の方こそ聞きたいくらいよ
紅莉栖,何をですか？
真帆,ねえ紅莉栖。あなた程の人がどうやったら、こんな絵空事を真に受けて、あまつさえ協力しようなんて気になったの？
紅莉栖,先輩……
真帆,あなたが科学者として紡ぎ上げる理論は、いつだって美しかったわ。それはあなたの考えがいつだって、最初と最後をしっかり見据えた上で、ただ前を向いて歩き続けるような、とてもまっすぐな思考ばかりだったから。でもね。今聞いた話はどう？最初と最後の辻褄さえ合えばいいと、紆余曲折を重ねて力任せに目的地へと向かう。そうして着地はできるのでしょうけど、でもね。そこに、いつもの牧瀬紅莉栖が見せる輝きはみられない。これじゃあまるで……まるで……。まるで、私が紡ぐ思考みたいじゃない
紅莉栖,先輩？
真帆,あ……いえ、ごめんなさい。とにかくよ。信じろというのなら信じてもいい。でもそれにはせめて、あなたが彼らを信じるに至った“何か”を、私にも教えてもらわないと……何も決められないわ
紅莉栖,…………
真帆,だからもう一度聞くわね、紅莉栖。あなたはどうして、協力しようと決めたの？
紅莉栖,………。……。…。岡部っ！
岡部,何だ
紅莉栖,話しても……いい？やっぱりダメだ。こんなのフェアじゃない。あんたには悪いけど、でも
真帆,なに？
岡部,必要なのか？
紅莉栖,必要よ
岡部,そうか、なら好きにするといい
真帆,何なの？
紅莉栖,先輩……
真帆,…………
紅莉栖,私は彼らに協力なんてしているつもりはありません。私は協力者なんかじゃいられないんです。だって私もまた当事者の一人……だから
真帆,当事者……？
紅莉栖,そうです。先に彼が話してくれた、未来にディストピアが生まれるα世界線と、そして第三次世界大戦の起こるβ世界線。この二つの歴史における違いは、実はまだ他にもあります
真帆,どんな違いがあるというの？
紅莉栖,βと名づけられた世界線。その歴史の中で、私は……私は、死んでいました
真帆,え？
紅莉栖,２０１０年の７月２８日。その世界の歴史における私は、その日、久しぶりに再開した父の手によって……
真帆,…………
紅莉栖,刺し殺されました
真帆,……！？。な、何よ今一瞬だけ浮かんだイメージは……
紅莉栖,だから。β世界線という場所にはもう、私という人間は存在しません
真帆,たちの悪いジョーク……よね？
紅莉栖,ジョークだったら良かったんですけどね。でも、覚えているんです。思い出したんです。ハッキリとではないけど、でも。あの日。日本の秋葉原という場所を訪れた私の身に、いったい何が起こったのか。それはまるで夢の中のできごとのように、形のないあやふやな体験だったけれど、でも
岡部,…………
紅莉栖,刺されたショックは強い刺激となって、私の中に強烈な印象を残し続けている。今までも、そしてきっとこれからも……それは変わらない。そんな私を救ってくれたのが、彼です。彼は、α世界線で椎名まゆりという幼馴染を助け、そしてβ世界線で私を救い……。そうしてようやく辿り着けた場所。それこそが、このシュタインズゲートと呼ばれている世界の歴史なんです
真帆,…………
紅莉栖,そして今、また彼は再び世界線と向き合わなければいけない事態に陥ってしまった
真帆,…………
紅莉栖,その理由は……って先輩、ど、どうされたんですか？
真帆,え？
紅莉栖,だって、先輩……涙が……
真帆,は？。え、あれ？何で？これ私が？どうして……
鈴羽,……ふぅ。シュタインズゲート世界線へと辿り着いたはずの岡部倫太郎が、どうして再び世界線という名の化け物に相対しているのか。その理由はね、君だよ比屋定真帆
真帆,わ……たし？
鈴羽,そうだ。結論から言おう。この世界線の歴史において、比屋定真帆、君は今から約二ヶ月後の２０１１年の４月１０日に、この世から消える
真帆,……え？
鈴羽,そしてそれが起こってしまったなら、この歴史はもうシュタインズゲート世界線ではいられなくなってしまう
真帆,……何を……言っているの？
鈴羽,その世界の未来に、人類の希望はない
真帆,ちょっと待ちなさいよ……
鈴羽,そしてね。その光の射さない暗い歴史のことを、ボクのいた未来ではこう呼んでいた……。ってね
真帆,サリエリ世界線……か。なるほどね
鈴羽,どうかな。少しは信じてくれる気になったかい？
真帆,ええ、信じるわ
紅莉栖,そ、それじゃあ！
真帆,と、言ってあげたいところだけど、ごめんなさい。これだけでは、まだ半信半疑のレベルにすら達していない、というのが率直な感想かしら
紅莉栖,……先輩
真帆,タイムマシンを利用しての、歴史の改竄。世界線とやらの移動。岡部さんだけが持つという、観測者としての能力。そして、あなた達がシュタインズゲートと呼んでいるらしい世界線。そういったものに、“サリエリ”という固有名詞や“私の死”がどのように関わっているのか、興味がないと言えばそれは嘘になるけども。でも、それら一切合切を心底信じられるのかと問われたら……。………。……。…。やっぱり無理ね。聞いた話の何もかもが、余りにも荒唐無稽で突飛すぎる。例えそこに“私の死”とかいうワードをチラつかされても、それでおいそれと全てを鵜呑みにする気にはなれそうもない
鈴羽,それは……参ったね。さっきのあの雰囲気だったら、４月１０に訪れる君の消失やサリエリ世界線という言葉を出せば、勢いで押し切れるかもと踏んでいたんだけど……。どうやら考えが甘かったみたいだ
真帆,悪いけど、これでも私だって科学者の端くれなの。だからあまり安くみないでもらえるかしら
紅莉栖,…………
岡部,ふん。まあ元々が与太話のような代物だ、その反応もいた仕方ないだろう
鈴羽,オカリンおじさん……
岡部,どのみち、これだけの説明で俺たちの話を全て鵜呑みにしてしまうような間抜けでは、世界線を相手取るのに不足だと思っていたところだしな
紅莉栖,何もそんな言い方……
岡部,本当のことだろうが
真帆,それは褒められていると受け取って良いのかしら？
岡部,好きなように考えるといい。それで……結局、どうしたら信用してもらえるのだ？
真帆,それを私に聞かれても困るわ
岡部,ならば具体的に、俺たちの話のどこが信用できなかった？
真帆,どこかと聞かれたら、ほとんど全部と答える他ないわね
岡部,ほとんど、か。つまり……。裏を返せば、話の中のどこかしらには、わずかだが信用に値する部分もあった、という事だな？
真帆,んっ！揚げ足を取られた！？。……そ、そうね。そういうことになるのかしら？
岡部,では、それはどこだ？
真帆,どこ……と聞かれても……そうね。ええと。驚いた。この人、意外と鋭い……というよりも、こういう状況に手馴れているように見える。まるで、何度も何度も繰り返し、他人に絵空事を説いてきたかのような……そんな“慣れ”みたいなものを感じる
岡部,どうした何かないのか？。信じるに値しない“ほとんど”から外れた箇所。できるなら、そこを説得の足がかりにさせてもらいたい
真帆,しょ、正直な人ね！普通、そういう狙いは腹の底で思っていても口には出さないものじゃないの？
岡部,しつこくて悪いが、我慢して欲しい。何せこちとら……。α世界線で“あの”牧瀬紅莉栖を説得するという無理難題を幾度となくこなしてきたのだ。なればこそ。信じられませんはいそうですかなどと簡単に引き下がるつもりは毛頭ない
真帆,意味は分からないけど、静かな迫力だけは感じる……。そ、そうね。しいて上げるなら、という程度の指摘でも構わないのよね？
岡部,ああ、それでいい。頼む
真帆,……分かったわ。あなた達がした話の中で、辛うじて私の信じられそうだった部分。多分だけどそれは……紅莉栖
紅莉栖,？
真帆,あなたの話した、タイムトラベル理論の内容くらいのものだと思う
紅莉栖,……私の理論ですか
真帆,そう。少なくとも私の聞いた限りでは、紅莉栖の仮説に論理的な破綻は見当たらなかった。もっとも。ちゃんと内容を精査した分けではないのだから、あくまで私の直感だけが基準なのだけれどね。でも……。確かに、タイムトラベルは可能かもしれないって……そう感じた
鈴羽,かもしれないじゃなくて、可能なんだ。現にこうしてボクがこの時代に存在していることが、何よりの証拠じゃないか
真帆,……ええと、そういう事ではなくて
紅莉栖,無理よ、阿万音さん。現状ではあなたが未来人だということを立証できるだけの材料が足らない。あなたが未来人であるという立証ができない以上、そこから私のタイムトラベル仮説の正当性を主張することはできない
鈴羽,そ、そうなの？ややこしいなぁ、もう……
紅莉栖,でも先輩。それでも一応は、私の仮説に可能性を感じてはくださったんですよね？
真帆,ええ、それは否定しない。聞いた内容に少し怖くなったくらいだし
紅莉栖,だとしたらですよ？。私たちの話の根本は、とどのつまりは時間を遡行することから起きる、タイムパラドックス現象を土台とした一連の事象に根付いています
真帆,そのようね
紅莉栖,そして先輩は、絵空事なお話の中にあって、それでも事象全体の土台となるタイムトラベルの正否については、ある種の可能性を感じてくださった。これはつまり、私たちのお話が事実である可能性を感じた……という事にはなり得ませんか？
