学園都市を舞台にして平成二期ライダー,本編の都合上鎧武を除く
アンク,なんならお前がオーズに誤射した回数分殴り付けてやるが？
後藤,なるほど、その品性の欠片もない発言…いかにもグリードだな
アンク,おいケンカ売ってんのか！
映司,まーまーまー！二人とも落ち着いて、ね？
アンク／後藤,チッ
映司,また復活した！
アンク,あいつらクズグリードには爬虫類系メダルが一セットずつ入ってるからな、しぶとくて鬱陶しい
後藤,倒す方法はあるのか？
アンク,もちろんコアを抜きとるのが一番だが……《コレ》で行く。オエージ！《コレ》使え！
映司,ッ！。これ…いつの間に？
アンク,この身体を作ったヤツは始めから《コイツ》をお前にぶつけるつもりだったらしいな。全部の系統のメダルが一セットずつ入れてあった
映司,変身ッ！
後藤,さすがにそこまで間抜けじゃないだろ……そもそも突っ込むところが違うような
アンク,行け映司！オールコンボだ！
Rウヴァ,ウヴァの怯える声
後藤,火野！大丈夫か？！
アンク,チッ、さすがクズグリード。コアメダルどころかセルメダルすら落とさないなんてなぁ
後藤,おい！お前身体が！？
アンク,……所詮クズメダル、よく持った方だろう。それにこんな出来損ないの身体…こっちから願い下げだ。……オイ、映司。手ぇ出せ。ッ……。さあな……鴻上に聞いて来い。映司…これで貸し《三つ》だ。返したかったら……とっとと俺を復活させろ。あともう二度とメダル盗られるな。フン……《またな》
後藤,《また》……か、全くグリードがそうやすやすと復活されるとこちらとしては困るんだぞ
オーズ,またなアンク！
フォーゼ,ファイアーステイツが解けた……吸収出来ないほどの炎……！？
フェニックス,′
メテオお前の運命,さだめ
フェニックス,俺の…剣を受け止めた！？。な、なんだ……身体が動かねえ！？
卓,…………
メテオ俺の運命,さだめ
卓,ハァ…ハァ…
ﾌｪﾆｯｸｽ・ﾉｳﾞｧ,アノガキナンデイキテ――
卓,ハァ…ハァ…で、出来た！
流星,立てるか？
卓,あ、ありがとう……。き、如月くん……ごめん。如月くん……。……こちらこそ
流星,俺からも礼を言う。ありがとう
卓,俺も…ありがとう
流星,弦太朗の友なら、俺の友も同然だ
卓,ははっ……一気に二人も増えたや……ッ
流星,大丈夫か？肩を貸してやる。すぐに病院へ行くぞ弦太朗
卓,待っ……て…。俺が…あの完全に怪物になってる時見たんだ……この地下に酷い目に遭わされてる女の子が……くっ
流星,ああ、任せろ……それとこれを持って行け。嫌な予感がする。油断するな弦太朗
ウィザード,声をかけても反応は無し…か。仁藤自身の意識はなさそうだ。というよりは抑え込まれているのか？。……仁藤を救うには、一度あいつのアンダーワールドに入る必要がありそうだ。抜け出すには……！
御坂？,
┌,┌＾o＾
仁藤,…………。まあ、あいつを捕まえられるってわかっただけでも儲けもんか。ん、その娘達は……？。俺を連れ去ったファントムも同じ顔してたぞ？。んなもん俺が知るかよ。って……ちょっと待てよ？お前が俺のアンダーワールドに入ってからどれくらい経った？
御坂？,ん……っ…
仁藤,お！晴人、当たりだ！他の娘もそれで
御坂？,…………
仁藤,三人とも大丈夫そうだな。ヨッシ！ならここはもう俺に任せて行ってくれ。おう、すぐ会えるさ
(O\l|アクマイザーの一件での中心人物。通称指輪の魔法使い,ウィザード
(O\l|答えてくれるよね？……今回の騒動の首謀者、マッドサイエンティスト《天井亜雄,あまいあお
天井,ウヒヒ……ウヒャヒャヒャ！デヒィデヒィデヒィデヒィィイ！ようこそ仮面ライダーの諸君ンンンンッ！。ウェルカム！ウェルカム！ウェルカムウェルカムウェルカムウェルカムウェルカムウェルカムウェルカムウェルカムウェルカムウェルカムッ！！！。ヒャーーー！私をあんな《出来損ない》と同じにしないでくれたまえよ！私がこんなにも気持ちが昂ぶっているのは……
機械に繋がれた少女,……………
天井,私の愛しい愛しい愛娘を君たちに紹介出来るからだよぉ～デヘヘヘェ。そう！そうそうそう！紹介しようライダーの諸君！この子こそ我が野望の始まりにして終わり！学園都市のLevel5御坂美琴のクローン！そしてオリジナルをも凌駕する至高の存在！。ミサカ00000号フルチューニング。ゲヒャヒャヒャヒャ！その通り！そしてもはや君たちには私の野望を止めることは出来ない！必要なものは全て揃った！あ～と～は～。揃えた《コレら》を使ってこの子を無敵の能力者に改造するのみ！ウェ…ウヒャヒャヒャ！。おおおっとぉ！
ミサカ00000号,～～ッ?ぁ…ぁぁっ……?
天井,いけないなぁいけないよぉ～この子はねえコレに繋がっていないと呼吸をすることすら叶わないんだ今は説明のために快感を与えたが……さあて、次は何をしようかにゃー？ゲヒヒ、言ってる意味がわかる～？。んあーーーー！今のは傷付いたよチミィ！な～の～で～
ミサカ00000号,ッ！。アアアアアアアアアアアアーーーッッッ！！！
天井,彼女には《絶望》してもらおう！。動くにゃァああああッ！。ハハハハ！貴様らごとき半端な正義の偽善者ゴッコをしてる分際が止められるわけがないだろう！目の前の《怪物》は殺せても！目の前の《人間》を見殺しには出来ない！そうだろう～？ん～？。大人しくその特等席で指でもナニでも咥えて見ていろゴミがァッ！ゲヒャヒャヒャヒャ！
ミサカ00000号,……ォ…ァ…
天井,お前も死にかけてんじゃねえよクソが！だいたいお前がゴミみてえな結果しか残せねえから俺はこんなに苦労してんだぞ！ゴミゴミゴミゴミゴミゴミゴミ！
(O\l|,まだ動かないでくれ！
オーズ,でも！
|l/O),ああ今回ばかりは俺も自分の感情が抑えきれねえぜ
(O\l|,だが今君たちが飛び出してあの男を阻止したとしても彼女は救えない！チャンスは必ず巡って来る…それまで何とか堪えてくれ
天井,ウェヒヒヒヒヒヒ…まあいい、はじめよう！。過去の記憶……この街の能力者の記憶！メモリーメモリを首筋のコネクタに！
ミサカ00000号,…ァ…ァ……ギィ……
天井,胸のメダル投入口には現在いま
ミサカ00000号,アアアアッ！
天井,未知なるエナジーを注ぎ込み、内なる魔力を解放するッ！！！
ミサカ00000号,あ…ぁ……た……け……嫌……イヤ！
天井,あふん！。ガッ…！
ミサカ00000号,…………
天井,バカ！やめろーーー！。だって意味がないからーーーー！！！ウッヒャーーーッ！。
ミサカ00000号,くか。くかきけこかかきくけききこかかきくここくけけけこきくかくけけこかくけきかこけききくくくききかきくこくくけくかきくこけくけくきくきくきこきかかかーーーーーー！!。ガ…！ァ…ギィ…！。ゥゥ…ニ……ゲテ…。…………
オーズ,アンク…チカラを借りるぞ！
アンク,映司…このメダル…使うなら頭は《コイツ》を使え……いいな……これで貸し《三つ》だ
天井,ぐ…！まだだ！私の絶対能力者Level6。超ーーー変ッ身ッ！！！。ぎゃふんっ。ッ……。おお！我が娘よ！私がわかるのか！！！。美しい！まさしくLevel6に相応しい完全な――
天／井,
ミサカ00000号,…………。ッ…！。…………。ッ…！ァ…くっ……！
ミサカ0000号,助けて！
ミサカ00000号,助けて！
天井,ヒュイー…ヒュイー…！クソ、ライダー共め！私の野望の邪魔を！。許さん…学園都市もライダーも！私を裏切ったあのクローン共も！
？？？,大きな声を出さないでくれ
天井,な、何だお前はっ！何をしている！？
？？？,失礼、なかなか帰って来なかったから、勝手にワインを頂いているよ
天井,にゃにものかと聞いているんダァ亞ああああッ！！！
？？？,しかし、最悪な味だったよ。すっかり酸化して…まるで飲めやしない。ワイン自体は上等なものだったから本当に残念だ
天井,キイイイイ！どいつもこいつもバカにしやがってえええ！殺してやる殺してやる殺してやる殺してやる殺してやる殺してやる殺してやる殺してやる殺してやる殺してやる！
？？？,本当に…残念な味だ。今、僕のヴィンテージが芳醇の時を迎える！！。変身！
フィリップ,翔太郎、優雅にコーヒーを飲んでいるところ申し訳ないんだけど……また猫探しだよ
翔太郎,…………ハァ、仕方ねえ。どんなだ？
フィリップ,灰色で
翔太郎,ほうほう
フィリップ,ブリティッシュ・ショートヘアの
翔太郎,…………
フィリップ,年齢は12歳
翔太郎,ミックじゃねえか！！！
フィリップ,さすが翔太郎だ。じゃあさっそく探しに行こう
翔太郎,ハアァ……腹減ったら帰ってくんだろ、あいつ頭良いし
フィリップ,もう昼食なんだけど帰って来ないんだ……
翔太郎,わかったわかった。大事な相棒の大切な家族だ、すぐ支度して――。あー……んー
フィリップ,……いや、僕の都合で依頼者を待たせるわけにはいかないから
翔太郎,悪い、依頼者の話聞いてからな
フィリップ,ミック！
翔太郎,お前！？。はは……はははっ！
鴻上,後藤君から聞いてるよ！今回も随分と活躍してくれたそうじゃないか！
映司,あはは、後先考えずレプリカで変身してたんで病院で検査受けることになっちゃいましたけど……そ、そんなことよりありがとうございます！ミサカちゃん達のことを保護して色々と面倒見てくださって
鴻上,構わないとも火野映司君！ちょうど世界中で同時期に大規模なプランを実行しようと思っていたところだからね！！
映司,あはは、そうなんですか～。い、嫌な予感しかしない！
ミサカΦ号,も、もう食べれません…とミサカ達は深刻なエラーを……
ミサカΧ号,出来る出来ないじゃない、やるんです！とミサカ達は一度トイレでブチまけるかどうか真剣に検討しながら宣告します
ミサカΦ号,く、各地に飛び回っている他のミサカが羨ましい……特に伊達おじさまのところで助手をしているミサカ雷鳥号と今頃翔太郎さんのところに行っているΩ号め
ミサカΧ号,逆に考えるんだ！ミサカ達はいつでも映司さんに会えると！とミサカ達は映司さんにバチコンとウィンクします
鴻上,では火野映司君！次はブラジルで発掘作業を手伝ってくれたまえ！！何よりキミの欲望のために！
映司,はい！ありがとうございます！
ミサカΧ号,なん…だと！？
ミサカΦ号,ざまあーーー！！フィリップきゅん派のミサカ達に死角はなかった！とミサカ達は全力のバク食いを見せます！
ミサカΧ号,クソッタレがーーー！とミサカ達は負けじとやけ食いに走ります！
里中,……定時まであと二時間か
翔太郎,全員生きてた～？
ミサカΩ号,ええ、何だか黒い仮面ライダーの人がベルトをピカーンっとしたら、身体の損傷が比較的少ないミサカ達24人の身体におよそ417体の意識が同化して無事生還を果たしました。とミサカ達はない胸を張りながらドヤ顔します
フィリップ,無事…？そんなに何人もの意識が混同すればおかしくなりそうなものだけどね
ミサカΩ号,その辺りはバッチリです。翔太郎派、フィリップ派、照井派、映司派、後藤派、伊達派、如月派、朔田派、操真派、仁藤派など個人の意見を尊重し同化しましたので
翔太郎,なんだそりゃ……
ミサカΩ号,本のジョークです。とミサカ達は面白味もクソもないリアクションのスケベやろーに呆れてやれやれです
翔太郎,こんの！…………で、それ言いに来ただけか？それにしちゃやけに大荷物だ
ミサカΩ号,ああ、今日からここに住むのでその荷物です。着替えとか歯ブラシとか
翔太郎,……は？
フィリップ,ほう
翔太郎,いやいやいやいや！無理だろ！？何考えてんだお前！
ミサカΩ号,ミサカいずホームレスなう。びこうずミサカいずクローンあんどデッドマン。とミサカ達はネイティブアメリカンのごとくペラペラと英語で説明します
翔太郎,いやいやいやいや！ナントカファウンデーションで保護してもらってんだろ！？
ミサカΩ号,ミサカ達はされてません
翔太郎,はぁ！？
ミサカΩ号,絶賛住所不定無職、このままでは怪しいお店で働くしかありませんね
翔太郎,いや！でも！
ミサカΩ号,あと、ミサカ達の裸見ましたし
翔太郎,
ミサカΩ号,その後乱暴もされました
翔太郎,
ミサカΩ号,その事実について照井竜被告との交渉の後、その妻亜樹子、もといこの事務所の所長さんから正式にここに住む了承を得ました
翔太郎,
フィリップ,ああ、これはもう完全に僕らの負けだね
翔太郎,ふっ……
ミサカΩ号,ふふ、探偵さん。堕天使にハイジャックされる覚悟は出来ましたか？
翔太郎,不幸だーーーーー！！！
晴人,少し休憩するか。ふう、なんだかんだであの一件からもう一ヶ月ぐらい経つんだな。お前の最後の願いを早く叶えてやりたいけど、なかなかいい場所が見つからないよ。もしかしたら、俺は逃げているのかもしれないな。ああ……綺麗な青空だ。コヨミ……
弦太朗,というわけで！卓に教わった造形技術をとくと見やがれ！
人の形をしていそうなもの,
ユウキ,芸術だ！
賢吾,爆発済みだがな
友子,ステキ
JK,こ、これ何をモデルにしたんすか弦太朗さん？
弦太朗,もちろんフォーゼだ！
ユウキ,た、確かに！頭三角だし見える！よね？！
賢吾,……俺に質問するな
弦太朗,まあとにかく！俺が学園都市で過ごした二週間の土産話はまだまだいっぱいあるからな！今日の仮面ライダー部の活動は新しく出来たたくさんのダチの話だ！
JK,うへ～もう聞き飽きましたって～
弦太朗,いや！今日は中でもとびきりの話だぞ！削板っていう超能力者と根性と青春の殴り合いの末友情を築いた話だ！
賢吾,帰るか
友子,あの……
弦太朗,お、なんだ？
友子,が、学園都市の都市伝説とか聞きたい
弦太朗,おお！都市伝説！そういえば都市伝説好きの女の子とも友達になったぞ！ちょっと危なっかしい子だったから……今頃怖い目に遭ってなければいいんだけどな
佐天,初春ちゃ～ん！まだ終わらんのかね～？
初春,も、もうちょっとですから！
佐天,早くしないと弦ちゃんのアドレス教えてあげないよ～？
初春,もうちょっとですから～！
佐天,あっはっはっは！冗談だってば、おとなしく待ってるから頑張ってね
初春,はぃい～ありがとうございます佐天さん
佐天,まあ、あんだけ大規模な事件だったからね。結局《一部の能力者の能力の暴走による集団催眠と破壊活動》ってことになったんでしょ？
初春,怪物が街で暴れ回ったなんてみんな信じられないんで、なんだかんだで無理やり納得してる状態ですけどね。でも、そのせいで忙しいのなんの……固法先輩も白井さんもあっちこっち大変そうです
佐天,ほうほう
初春,って全然聞いてないじゃないですか！
佐天,はよやれ
初春,……はい
佐天,さてさて、何か新しい都市伝説でも増えてないかな～？あんなことがあったんだし、陰謀説ぐらい流れてても……っと、面白そうなブログ発見。これは…うわあいかにも自分に酔ってそうな文章だ。けどま暇つぶしにはちょうどよさそうかな
初春,佐天さん終わりましたよ！
佐天,お！じゃあ行きますか～御坂さんのお見舞い！
初春,はい！って、また都市伝説のサイト……
佐天,始めはブログ漁ってたんだけどあまりに痛々しくて結局こっちに
初春,もぉ、嫌ですよまた厄介事に巻き込まれたりしたら…本当に心配するんですからね！
佐天,あはは…行かないよ。さすがに今回で懲りましたぁ……
初春,本当かなぁ……
次来た時に落ちてたら,あ、出なかったんだな
鳴滝,我らがズヴィズダーの光を、あまねく世界に！
士,鳴滝……お前ってヤツは……
鳴滝,ヴィニエイラ様！こいつです！こいつがディケイドです！
ケイト,おまえがディケイドか、ここはわたしたちがせいふくするせかいだ！おまえなんかにこわされてたまるものか！
鳴滝,おのれディケイドォオオオオ！お前がこの世界も破壊してしまうのだぁああ！
ケイト,だまれなるたき！
鳴滝,へい！
ケイト,んっ……
士,ユウスケ、お前もか
ユウスケ,いくら士でも、こんな小さな女の子に手を出すのは認められない！
士,はあ…だったら力ずくで止めてみせるんだな。変身！
ユウスケ,変身！
明日汰,……超帰りてぇえ！
後藤,とりあえずレプリカグリードの残した砂状の物をサンプルとして回収済みです…はい、了解。それでは。って、どうして俺は鴻上ファウンデーションの研究サンプルを回収させられてるんだ……
伊達,まあ、なかなかそういうクセは抜けねえわな
後藤,伊達さん！
伊達,よっ！
ミサカ雷鳥号,～～♪
後藤,…………
伊達,待ってよ後藤ちゃん！
後藤,パシリクセは抜けなくとも俺は警察官なんで、さすがに目の前で犯罪が横行しているのを見逃すわけにはいきません
伊達,違うんだって！そういうんじゃないって！
後藤,いやもうその絵面は援助こ――
伊達,ダメだって！自分でも思ってたけどさ
ミサカ雷鳥号,ーーッ！
後藤,大丈夫か！？伊達さん！
伊達,違う違う違う！
ミサカ雷鳥号,ばら撒かれました
伊達,ばら撒かれた？
後藤,写真を！？伊達さん！
伊達,おいムッツリ青年いい加減にしろよ！
後藤,あれは！？
伊達,あの工場から飛んで行ったぞ
ミサカ雷鳥号,博士の復讐が始まったようです
後藤,復讐？
ミサカ雷鳥号,はい、今ばら撒かれたのはレプリカのT2ガイアメモリとゾディアーツスイッチ、そしておそらくレプリカグリードによって作られていたヤミーも活動を始めたはずです
伊達,おいおい、そりゃヤベーんじゃない？
後藤,行きますよ伊達さん！ライダーのチカラがなくても、出来ることはあります！
伊達,へっ、そうこなくっちゃな！おっしゃ！戦うドクター伊達明……いっちょやってやりますか！
ミサカ雷鳥号,お供します
仁藤,おーい、そろそろ起きねえと風邪ひくぞー！
ミサカ,黄メイジ
仁藤,呑気なもんだぜ……全く。～～～！！！な、なんだ！？工場の地面が爆発しやがった！！。ウソだろ！？おい！ヤバイ起きろって！
ミサカ,…ん……
仁藤,あああーーーもう！どうすりゃいい？二人なら抱えて走れたんだけど！。うわああああああ！！！。んなっ！？
照井,ハァ…！ハァ…！
仁藤,おい！刑事の人！大丈夫か！？
照井,俺に質問するな……お前こそ無事か
仁藤,自分は聞いてくんのかよ。まあ、あんたのおかげで助かった、ありがとな
照井,そうか……この娘達は
仁藤,ああ、晴人……俺のライバルが倒したんだ
照井,……生きているのか？
仁藤,何とか…この先どうなるかわかんねえけどな
照井,そうか…
仁藤,それより工場の中で何があったんだ？急に爆発して
照井,ああ、俺もよくはわからないが、確かなことが一つある
仁藤,なんだ？
照井,街の人々が危ない！
上条,ガッ…ゲェ……。クソッ…こいつらを病院の中に入れるわけには！。センセイ！御坂は？
蛙医師,僕を誰だと思ってるんだね？必ず助けてみせるし、傷跡だって残さないさ
上条,そ、そうですか……よかったぁ
蛙医師,だけど危険な状態なことに違いはないからね、悪いが話はここまでにして失礼させてもらうよ
上条,よかった……それにしてもあの怪人は一体、俺が殴ったら人に戻ったってことは超能力や魔術ってことなのか？。あれを見てやけに冷静だったな。弦太朗やあの人は……。あー！わけわからん！。…なんか今窓の外を通り過ぎたぞ。な！あれは！？。ウソだろ！。オラァ！。このUSBメモリみたいなやつ……それにもう一人が押したスイッチは
卓,もう俺は戻れない……！！
弦太朗,やめろォおおっ！
上条,これが怪人にさせてるのか！しかもあの感じだと……。他にも大勢怪人がいるってことですよねーーー！。くっ！。デタラメな力だ直撃したら一発でおしまいだな…けど、指先でもこの右手が届けば無力化出来る。来い！怪人共！。このっ。ちょ、速っ…！。勝手に当たってくれた！あんまり頭は良くない？。っ！ああああッ！。ゲホッ！ゲホッ！っ……！それでもこんな強けりゃ厳しいな……。青ピや土御門を先に帰らせててよかった……。くっ…おらああ！。病院に！行かせてたまるか！。ハァ！ハァ！クソッ…これは、マジで、ヤバい……。けどな……俺だってこんなところでぶっ倒れるほど柔じゃねえんだよぉおおッ！！！。ハァ！ハァ！ハァ！ぐ…ッ！……これで……全員！。なっ！。ッ…ぐ、アアアアアアッ！！。ヒュー……ヒュー……。身体が動かねえ……なんでだ！動け！動いてくれよ！
ﾒﾝﾀﾙｱｳﾄDP,アンテナとリモコンの怪人
ﾒﾙﾄﾀﾞｳﾅｰDP,ミラーボールと砲台の怪人
上条,こんなところで終わるのか！？こんなところで、約束も果たせずに！。俺は…！
一方通行,ったく…案の定特に何も問題ねェじゃねェか。騒ぎ過ぎなンだよ。そンでこの病院俺の気に入ってるコーヒーが裏手の自販機にしか売ってやがらねェぞクソが。あーマジであれだわ、これなら家で寝させてりゃよかったな。ああ？
レールガンDP,発電機とレールの怪人
アクセラレーターDP,全身白タイツに青い矢印のマーク
一方通行,なンですかァ？仮装パーティでも始めるンですかァ？。チッ…イイぜ、ちょうどこっちは機嫌が悪りィンだ。憂さ晴らしがてら愉快なオブジェに変えてやるよォおおおッ！。ぎゃはははは！ンだよノープランかよ。真っ正面から突っ込ンでくっから何かあンのかと思ったじゃねェか。ったく、とンだ雑魚が引っ掛かったな。あン？。こいつァどォいうことだ…？顔を見られたくねェから奇抜なコスプレしてンのかと思ってたが……まさか全員肉体変化メタモルフォーゼ。ーーッ。この声……！。チッ。オラァああああ。かッ…！？。何だ！何が起きた！？俺は確かに電極のスイッチを入れて……。くっ……！。反射が効かねェなら単純な質量のゴリ押しだ！。潰れろォおおおおッ！！！。ハァ…ハァ…！。やったかァ…？。チッ！。瓦礫が浮いて…あれは磁力か！？。ッ……舐めンじゃねェぞォおおおおっ！！！。勝手にほざいてろ三下ァアッ！！。ッ…！。てめェのつまンねェサービスなンかいらねェよ……。やめろ。来ンじゃねェ……。来るな！。ちげェ…赦されたなンて俺は思っちゃいねェ……。やめろ！。ッ！。ガァッ…！ァァ……！。ギッ！。ぐっ！。～～ッ。ガァアアーーッ！。ーッーーッ。……もォあいつらが何て言ってるか聞こえやしねェ…痛みも、何もわからねェ……視界が霞む…死ぬのか俺は？。何だ、思ったより清々しィじゃねェか。《死ぬ》ってのは……。けどよお……本当にイイのかこれで？。こンなクソッタレな俺にも…何かあったはずじゃなかったか？。大切な……誓いが。ラスト…オーダー……
［第七学区-某警備員,アンチスキル
黄泉川,クソッ！どうなってるじゃん！
警備員A,どうもこうもご覧のありさまで
黄泉川,あれが照井達の言ってた怪人。しかも、言うとおりだとすれば関係ない子達が無差別にどんどん怪人になって行くじゃん！
警備員A,先駆けて制圧に向かったB班は、怪人化もしくは怪人により負傷し全滅したとのこと
黄泉川,あ～～！照井ぃいい！さっさと連絡寄越すじゃん！
佐天,な、なんかすごいことになってるよ～！。黄泉川先生も怖い顔でここにいろって言ってたし、あの話の感じだと街中にあの化け物がいるってことだよね。初春大丈夫かな……メール送ったけど帰って来ないし。みゃ！
黄泉川,はい！もしもし！……照井！
照井,黄泉川！今どこにいる！
黄泉川,こっちはまだ事務所じゃん。それより情報は！
照井,よし、なら今から言うことを伝えろ！一般人は建物の中に入り扉や窓、外に通じるところをできるだけ塞げ！そしてスイッチを拾わず、全身隈なく肌の露出をなくせ！これで強制的に怪人になることは防げるはずだ！
黄泉川,わかったじゃん！すぐにこちらも出動するから、それまで死ぬなよ照井！
照井,誰に向って言ってる、俺は死なない！！！
黄泉川,なんでちょっとキレてんじゃんよ……。まあいいじゃん。聞いた通り他のアンチスキル支部やジャッジメント、学校に連絡！残りはさっそく装備を整え出動するじゃん！。あと、最近配備された《アレ》を出すじゃん！
警備員A,し、しかし《アレ》はまだ調整中で！
黄泉川,今使わないでいつ使うじゃん！
警備員AtoZ,え、AIG！
佐天,うう……何もできない自分が悔しいな…
黄泉川,何言ってるじゃん
佐天,あ…先生
黄泉川,お前があの怪人達を見つけてくれたおかげで早期発見に繋がったんじゃん。まあ、そういう危険なところに行ったことはあんまり褒められないけど
佐天,でも……
黄泉川,それにこんなことが起きてる中可愛い生徒がケガなく無事でいる。教師としてこれ以上嬉しいことはないじゃん
佐天,先生…！
黄泉川,けど当然これが解決したらお前の中学校の担任に連絡させてもらうじゃん
佐天,先生ェ……
黄泉川,わかったらここで大人しく待ってること！
佐天,は、はいぃぃ……
黄泉川,よし！それじゃ行ってくるじゃん！
佐天,あ、あの！
黄泉川,ん？
佐天,街を…よろしくお願いします！
黄泉川,任せろじゃん！
少女,ヒック…うえええ……！
黒子,逃げ遅れた女の子を保護いたしましたの
教員,何度もありがとう。後は任せてれ
黒子,はい、お願いいたします。また、見つけ次第連れて参りますので
教員,ああ、助かる…すまない、君のような子どもにこんな危険を強いてしまって
黒子,いいえ、私は風紀委員として活動しているだけですの。それに先生のその言葉とお心だけで十分報われます
教員,どうか無事でいてくれ、これはここにいる全ての者の願いだよ
黒子,もちろん…ですの。くっ…。完全に能力のオーバーワークですわね…脳が揺れているようですの。電話…初春
初春,白井さん！
黒子,ッ…あんまり大声出さないで欲しいですの…頭に響く
初春,はう…すみません……でもよかった、連絡がないから心配してたんですよ
黒子,それは本当に申し訳ありませんの。逃げ遅れた人を優先に行動していたので
初春,まあ、白井さんのことだからそうだろうなとは思ってましたけど……っと、そんなことより伝えないといけないことが！
黒子,そんなこと……まあいいですの。それで伝えることとは何ですの？
初春,アンチスキルが本格的に制圧に動き始めました。あと、怪人化を防ぐためには肌の露出を無くして、スイッチは絶対拾わないようにと
黒子,今更ですか。それに露出を無くせって……まあ、わかりましたの。とりあえず一度そっちに戻りま――。ーーッ！。くっ！。ハッ！ハッ！ハッ！。危なーー！携帯吹っ飛ばされただけで済んでラッキーでしたの。さて…これは犬、狼かしら……どちらにせよ逃げさせてもらいますの！。一先ず上空に脱出…正直キツイですが何とか支部まで。なっどうして！？。ッ！。…くっ…ぁぅ…。ふふ…ただの跳躍……全くデタラメにも程があるってもんですの……。ここまで……まあ上出来でしょう。お姉様……！。え…？。い、一体…地面が盛り上がって壁に！？
卓,はぁ…はぁ…流星君！
流星,上等だ！
黒子,ハァアッ！？
卓,大丈夫ですか
黒子,え、ええ…っ！？あなた！お姉様をキズつけた！
卓,っ……あの娘の友達か。本当にごめん！あの時の俺は弱くてチカラに逆らえなかった、償いは必ずする。もう二度と自分の弱さを人のせいにしない！そして、これが償いの一つ目だ…あの娘の友達を守る！
黒子,倒した……ですの？。まさか…死んでませんわよね。え、ええ…大丈夫ですの。それにしても……あなたは何者？それにこの忌々しい眼鏡男
卓,ぐっ……
黒子,にわかには信じられないような存在ですが…今は信じるしかなさそうですわね。それでは怪物退治のエキスパートさん、私は風紀委員ジャッジメント。単刀直入に申し上げます。私達があの怪物達に勝つにはどうすればよろしいのか教えていただきたいですの。……ですが。あなたも……そうですの？
卓,これを言い訳に自分のしたことの責任から逃れるつもりなんてないけど……俺はあの時自分の中の《みんなに認めて欲しい》っていう欲望が暴走させられていた……んだと思う
黒子,それがどうしてお姉様をキズつけることと繋がりまして？
卓,わからない。あの時はただ超能力者の第三位が堪らなく憎くて……
黒子,洗脳……ということなのでしょうか。……越谷さん、でしたっけ
卓,うん…何
黒子,あなたのこと一先ず信用しますの
卓,……ありがとう
黒子,信用しますから、そこの狼さんを私と一緒に避難所まで運んで下さいまし
卓,わかった。任せてくれ
黒子,それと仮面ライダーさん？。先ほど《俺達》とおっしゃっていましたけど、他にもお友達がいらっしゃいますの？
後藤,よし、これでまたメダルを補給出来た。本質的なものじゃないでしょうか。ヤミーはセルメダルで構成されているから、レプリカでもセルメダルが取れるといった風に。絶対わかってないですよね伊達さん
ミサカ雷鳥号,お二人とも前方よりまた来ます
後藤,この学区が広くて人口が多いこともあるかもしれませんが、どうにも怪しい感じですね。怪人達の動きもまるで何かを探しているようですし。もちろん！
ミサカ雷鳥号,わ、私もいますよおじさま！。では、そういうことで！
後藤,逃げるな！
ミサカ雷鳥号,は、離してくださいムッツリスケベ……
後藤,貴重な戦力を逃がすわけないだろ
ミサカ雷鳥号,絶望した！結局兵士扱いされることに絶望した！
後藤/雷鳥号,逃がすかぁあ！
後藤,ゆとり世代なんで
ミサカ雷鳥号,生まれたてなもんで
後藤,ッ…！
ミサカ雷鳥号,ハアッ。おじさま！？
後藤,伊達さん！？
仁藤,なんで訛ってんだよ……。誰だよそれ！
黄メイジ,だからこそ……私達は
仁藤,へっ、皆まで言うな。おっさんも元気そうだな。しんどくなったらすぐ交代してやるぜおっさん。ーーーーッ！！！
後藤,それで照井さん、地下では何が。はい！
ミサカ雷鳥号,あなた達は……。っ……。ま、待ってください！あなた達…まさか……！。彼女達は！私に魔法使いの力を与えて死ぬつもりです！
後藤,なんだって！？
仁藤,……ああそうだ、こいつらはその…俺が知ってるヤツと同じなら定期的に魔力を補充しないと生きられない。晴人は別にそんなつもりで！
ミサカ雷鳥号,待っ――
白い魔法使い,以下白魔
インデックス,ーーッ！ーーーッ！。ーーーー！ーーッ。……ッ………ッ…。
上条,～～ッ。あれ…？。風が護ってくれた…？いや違う！俺の前に誰かいる！？。は、はい！。がががが骸骨！？。ッ……な、なんとか。え、ちょ！。圧倒的だった。突然現れたその人は、俺が手も足も出せなかった怪人を簡単にあしらう。俺はその光景を、まるで映画を見ているように、現実感もなくただただ呆然と眺めてしまっていた。っ！が！？ァアアアアアッ！！！。ガ…！ギ、ゲエエ！！。これじゃ本当に足手まといじゃねえか！。オオオオオオオオッ！！！。アアアアアアッ！！！。ハッ！ハッ！ハッ！。あ…あの！。ッ……。危ない！。……お、俺も戦う！。わっかんねえよ！けど！身体が勝手に動いちまう！相手が誰だろうとなんだろうと……そいつが危ないなら困ってるなら！駆け付けないと気が済まねえ！。そうだ、勝てないからって諦めてどうすんだよ！戦えよ上条当麻！怪人？怪物？上等じゃねえか！。相手がどんな強くたってめちゃくちゃだって！俺はいつもこの身体一つで立ち向かって来た！。それで死にかけたことだって一度じゃねえ！そんな…不幸なことを！今更誰かに押し付けて逃げようだなんて……。そんな幻想！俺は絶対ぶち殺す！。ハァ…ハァ…。え……？
荘吉,お前には覚悟があるか
上条,覚…悟
