氷川紗夜,はぁ……
紗夜,北沢さんはますます何に対して謝られているのか分からなくなったのか、思案顔で首をひねっていた。その様子を見て、髪の毛を撫でるのは馴れ馴れしくて失礼だという思考が自意識過剰だったなと思う。……いえ、何でもありません。気にしないでください
はぐみ,うん、分かったよ！
紗夜,北沢さんは元気よく返事をして私から身を離した。細かいことを気にしないというか、本当に純真無垢というか、それがやっぱり美しき思い出の中にいる小さな日菜に被るというか……。そういう姿を見せられてしまうとどうにも彼女を構いたくなるような衝動が自分の中に芽生えてしまうのだった
花音,ふふ……
紗夜,そしてそんな自分の心境を見透かしているかのように、松原さんがやけに温かな視線を送ってきているのが目に入る。……どうかしましたか、松原さん
花音,ううん、なんでもないよ
紗夜,…………。明らかに微笑ましいなぁと思っている顔で、松原さんは首を横に振る。私はそれに少し気恥しい気持ちになり、わざとらしく咳ばらいをした。……それでは、ライブの日時も、演奏する曲も決まりました。期間は短いですが、頑張りましょう
香澄,はい！
はぐみ,うん！
イヴ,これがいわゆる修羅場、というものですね！頑張ります！
花音,イヴちゃん、それはちょっと違うと思うな……
紗夜,各々の反応を見て私は思う。ここまで協力してくれるみなさんのためにも、機会をくれた湊さんのためにも、あと１週間はより一層練習に励もう、と。それからふと気付く。ついこの間まで悶々と抱えていた悩みも、いつの間にかどこかへ消えてなくなっていた。今はただ、目の前のメンバーとギターを奏でるということにとても集中出来ている。それがなんだか不思議だった。それから瞬く間に時間は過ぎていった。この１週間の多くは、スタジオで、あるいは北沢さんと松原さんに案内された弦巻さんのお宅で練習を重ねた。その度に、ちぐはぐだった音がどんどん１つに合わさっていくような感触を得られた。それがとても楽しい。ギターを弾くことが純粋に楽しい。ロゼリア以外のメンバーとも音を合わせられることが楽しい。初めてギターを手にした時も多分こんな気持ちだったと思う。遥か遠い記憶という訳ではないけれど、それでも心地の良い懐かしさに胸がくすぐられる。今なら素直に自分のことが見れる。そして気付く。私は変われていたんだな、と。小さな出来事の積み重ねだから気が付かなかった。でも１年前の自分と今の自分はほとんど別人に見えるし、きっと半年前の、もっと言えばひと月前の自分と比べてもまた違って見えるだろう。そう思うと、何か目の前が拓けたような気がした。今よりももっと高みへいけるような気がした。それはきっと私は前へ進めているんだ、という自覚が持てたからだろう。本日はよろしくお願いします、湊さん
友希那,ええ。お互いに精一杯のもの出しましょう
紗夜,ライブ当日。楽屋で湊さんと顔を合わせ、握手を交わす。同じバンドとしては何度もここへやってきたけれど、こうして別のバンドとして楽屋に入るのは初めて会った時以来だった。……それにしても、日菜がいないのは意外ですね。湊さんが率いる羽丘バンドの面子を見る。ベースに今井さんは想像していた通りだった。それからドラムには大和さん、ギターは瀬田さんと美竹さんの２人がいた
友希那,今回の件はいわゆるサプライズというものだから。日菜を誘うと紗夜に話が漏れそうだったし、敢えて候補にしなかったのよ
紗夜,……確かにそうですね。あの子ならすぐに私に口を滑らせるでしょう
友希那,他にも理由はあるんだけどね。私も今回はキーボードを弾く訳だし
紗夜,えっ？
友希那,そんなに驚くようなことかしら。ロゼリアで作曲をしてるのは私でしょう？
紗夜,それはそうですが……
友希那,キーボードやギターだって、燐子や紗夜ほどではないけれど弾けるわ。それに、たまには私もリサと同じように楽器を演奏したいのよ
今井リサ,さーよっ。今日はよろしくね～
紗夜,何故かしたり顔で頷く湊さんにどう言葉を返すべきかを考えていると、今井さんがやってきた。私はそれに挨拶を返す。はい。よろしくお願いします、今井さん
リサ,友希那がキーボードって、驚いた？
紗夜,ええ、少し
リサ,あはは、やっぱそうだよね。アタシも驚いたな～
紗夜,今井さんは晴れやかな笑顔を浮かべる。やけに上機嫌だった。そのまま湊さん、今井さんと言葉を交わしつつ、楽屋の中を見回す。みなさんはそれぞれ、普段同じバンドを組んでいる人と話をしているようだった。その中で、同じバンドメンバーがこの場にいない戸山さんは美竹さんに抱き着いたりしてじゃれついている。美竹さんはそれを困ったように笑いながら受け止めていた
友希那,……そろそろリハーサルの時間ね
紗夜,そうですね。では、私たち花咲川が先攻ということで、先にやらせて貰います
友希那,ええ。主役は遅れて登場するものだから、悔いのないようにやるといいわ
紗夜,湊さんたちが登場する前に決着がついていなければいいですけどね
友希那,あら、紗夜も言うわね
紗夜,負ける気は一切ありませんから
友希那,ふふ、私もよ
紗夜,普段は協力し合う仲だけれど、今日は向かい合って競う相手だ。挑発的な言葉には同じような言葉を返して、それを聞いた湊さんは楽しそうな顔をする。……私も同じような顔をしているだろうことを自覚しながら、私は花咲川のみなさんに声をかけるのだった。リハーサルも滞りなく終わった。間もなく開演の時刻で、先攻の私たちは舞台袖で輪になっている
香澄,うー、すっごくドキドキしてきた！
はぐみ,うん！えへへ、今日も楽しいライブにしようね！
イヴ,はい！
紗夜,相変わらず元気一杯な３人を横目に、私は松原さんに声をかける。松原さん、緊張はしていませんか？
花音,う、うん、大丈夫だよ。私がこのバンドの柱、だもんね。しっかり頑張るよ
紗夜,ええ。ですが、いざという時は私もフォローできますので……そんなに気負わないでください。このバンドで１番大切なのは、きっと楽しむことですから
花音,うん。ありがとう、紗夜ちゃん
紗夜,はい
香澄,紗夜先輩っ！ステージに出る前に掛け声やりましょう！
紗夜,掛け声、ですか？
香澄,ポピパだといつもやってますし、その方が気合入りますよ！
紗夜,……そうですね。では、音頭は戸山さんがとって下さい
香澄,はーいっ！じゃ、みんな真ん中に手を合わせて～
紗夜,戸山さんはそう言って右手を輪の中心に差し出す。私はそれに自分の手を重ねる。続いて北沢さん、若宮さん、松原さんの順で手を重ねていった
香澄,……掛け声、どうしよ。ポピパじゃないからいつものじゃ違うしなぁ……
イヴ,えい、えい、おー……ではダメですか？よくヒマリさんがやっていますよ？
香澄,んーよし！じゃあそれでいこう！
紗夜,戸山さんは１つ咳ばらいをして、大きく声を出す
香澄,みんなっ！今日は一緒に楽しもーっ！せーの、
紗夜,私と松原さんは遠慮気味に、戸山さんと北沢さんと若宮さんは思いっきり。そんな５人の声が合わさる。ライブ前の独特の緊張感と高翌揚感が煽られた。ロゼリアではやらないけれど、たまにはこういうのもいいかもしれない
イヴ,あ、もう時間ですね！そろそろ参りましょうか！
紗夜,若宮さんの声に全員が頷く。遂に開演だ。私たちは舞台袖からステージへ足を進める。そこからの光景はいつもと変わらない。見慣れた、とも言えるものが広がる。ギターとアンプを繋ぎ、軽く音を鳴らす。いつもの私の音だ。それからステージ上へ視線を移す。全員楽器の調整が終ったようで、互いに顔を見合わせて頷いた。観客席に向き直る。ほぼ満員のそこに宇田川さんと白金さんの顔を見つけた。目が合って、宇田川さんに大きく手を振られる。私はそれに小さく手を振り返した
香澄,みなさーん、こんにちはー！
紗夜,戸山さんの声が会場に響く。演奏前のＭＣは全て戸山さんに任せてあった。あなたがボーカルなのだから、好きなように喋ってほしいと伝えてある。私はただそれに耳を傾ける
香澄,今日はギターの紗夜先輩に誘われた、花女の特別編成のバンドです！いつもとは違うメンバーだからちょっと新鮮な気持ちです！あ、有咲ぁ～！みんなぁ～！
紗夜,戸山さんは観客席の中に市ヶ谷さんを始めとしたポッピンパーティーの姿を見つけ、大きく手を振った。よく見るとガルパに参加したバンドのメンバー全員が会場にいるようだった。北沢さんと若宮さんも同じバンドのメンバーに対して手を振ったり、言葉を投げている
香澄,えへへ、ここからポピパのみんなの顔が見えるとなんだか不思議だなぁ。……でも、こうやって歌うのもちょっといいかも。出会ってからずっと一緒にステージに立ってたもんね
紗夜,戸山さんは１度言葉を切り、それから少し間を開けて再び口を開く
香澄,……昔、星空を見て、星の鼓動を聞いて、キラキラしてドキドキしてるものを探してました。春は出会いと始まりの季節です。ちょうど１年前の春、ポピパのみんなに出会って、バンドを始めて、たくさんの素敵な友達が出来て、私はそれを見つけることが出来ました。きっとみなさんにもそういう出会いや、キラキラしててドキドキしてて、とっても楽しくて素敵な出来事がいっぱい待ってると思います！。今日、このメンバーで演奏するのはそんな始まりの歌です！聞いてください、流星群！
紗夜,戸山さんは言い終えると、一度俯いて息を吸う。それから顔を上げて、歌を紡ぎだした。ライブは大盛況で終わった。湊さん率いる後攻の羽丘バンドの演奏も素晴らしいものだった。結局どちらが勝った負けたということはなくなり、最後は２つのバンド全員でクインティプル☆すまいるを演奏することになった。北沢さんの希望していた曲を演奏できないのが少し残念ではあったけれど、全員がとても楽しそうで、私も楽しかった。だから、それで良かったのかもしれない
友希那,いい勝負だったわ
紗夜,ええ。ライブの片付けも済んだあと、私はカフェテリアの一席で湊さんと言葉を交わす。湊さんの顔には充実感のようなものがあるように見えた
友希那,どう、紗夜？悩みはなくなったかしら
紗夜,はい。音楽を楽しむことを思い出せました。それと、余裕を持つことを知りました。……今考えてみると、悩んでいたのが馬鹿みたいに思えますね。少しの自嘲を含んだ笑みが浮かぶ。それを見て湊さんは微笑んだ
友希那,なら良かった。私も今日は楽しかったわ
紗夜,ええ、私も。……それにしても、キーボード、お上手なんですね
友希那,ふふ、ありがとう。紗夜のギターも素晴らしかったわよ
紗夜,ありがとうございます。どういう風の吹き回しだったんですか？
友希那,楽屋でも言った通りよ。こういう機会でしか楽器を持ってステージに立つことはないもの。リサと同じような立場で、目線で、あの子の隣に並んで立ちたかった。それだけよ。それに、今回の曲は美竹さんが選んだものだけど……たまたまキーボードの目立つ曲だった。特にＣメロなんかは私とリサの音が目立つし、演奏していて新しい発見があったような気がするわ
紗夜,……そうですか。穏やかな表情をする湊さんを見て思う。彼女も私と同じように変わっているのだ、と。人は変わる。変わらないと思っていても、変わっている。１年前の私と湊さんであれば今のような言葉を交わすことなど絶対になかっただろう。それが良い傾向なのか、はたまた悪い傾向なのか。正しいのか、正しくないのか。そんなことを考えても、それが分かるのはどうせ未来だ。なら今は自分が思うように走ればいい。戸山さんが歌った歌を思い出す。彼女の明るい声にも教えられたことが多くあったように思える
香澄,紗夜せんぱーい！あ、友希那先輩もここにいたんですね！
友希那,お疲れ様、戸山さん。ライブ、とても良かったわよ。素晴らしい歌だったわ
香澄,えへへ、ありがとうございますっ！友希那先輩、楽器も弾けるんですね！
友希那,ええ。紗夜や燐子ほどではないけれど、ギターとキーボードはそれなりにね
香澄,へーっ、友希那先輩ってやっぱりすごいなぁ～！私も負けてられないっ！
紗夜,戸山さん、何か用事があったのでは？
香澄,あ、そうだった。紗夜先輩、友希那先輩、このあと時間ってありますか？。実はですね、せっかくだし、一緒にステージに立ったみんなで打ち上げをしようって話になってるんですよ！。どうですか？他のみんなは大丈夫だって言ってますよ！
紗夜,ええ、分かりました。私も参加します。湊さんはどうですか？
友希那,私も大丈夫よ
香澄,ホントですか！？わーいっ！それじゃあみんなにも伝えてきますね！
友希那,……戸山さんはいつでも元気ね
紗夜,元気よくＣｉＲＣＬＥの中へと走っていく背中を見送りながら、湊さんは呟く。私もそれに頷いた。戸山さんと、さらに北沢さんと若宮さんがこちらのバンドにはいましたからね。みなさんはとても騒がしくて、とても元気で、とてもいい人たちです。……松原さんと私は、彼女たちが元気すぎて困ることが少しありましたけど
友希那,ふふ、そうみたいね。でも……あなたも楽しそうな顔をしているわよ。いい経験だったんじゃない？
紗夜,言われて、自分の顔に笑みが浮かんでいることに気付く。……ええ。とても素敵な、楽しい経験でしたね。しみじみとそう思う。彼女たちが手伝ってくれたからこそ、私はこうして笑うことが出来るのだ。ライブの翌日、火曜日の朝。私はいつものように、登校してくる生徒の服装チェックを校門で行う。行いながら、昨日カフェテリアで思ったことを考える。人は変わる。変わらないと思えたことでも変わっている。それをなんと言葉にするべきなのか。おはようございます。登校してきたクラスメイトに挨拶を返しながら、それは成長と呼べるものではないだろうか、と思い至った。変わらない、成長しないと思っていた私の音。だけど、それは私の思っている以上に変わっていて、成長していた。……そうであれば嬉しいし、そうでなくてもそれはそれでいい。多分、私が余裕を持つことが出来たからこういう風に考えられるようになったのだろう。そう結論付けたところで、北沢さんと若宮さんが並んで登校してくる姿が見えた
はぐみ,おはようございまーす！
イヴ,おはようございますっ！
紗夜,はい。おはようございます、北沢さん、若宮さん。北沢さん、今日はちゃんと制服で登校してきていますね。言ったことを守ってもらえて嬉しいです
はぐみ,もう失敗はしないよ、紗夜先輩！
紗夜,そうですか、それはよかった
はぐみ,えっへん！
紗夜,ふふ……
イヴ,んー……
紗夜,……若宮さん？どうかしましたか？
イヴ,やっぱりサヨさんは、ヒナさんがいつも仰ってる通りの方ですね！
紗夜,日菜が？
イヴ,はい！とっても優しくて、面倒見がよくて、なんでも出来るおねーちゃんだってよく仰ってます！
紗夜,あの子はまたそんなことを……。私はそんな出来た人間ではありませんよ、若宮さん
イヴ,いえいえ！私、一緒にバンドを組んで思いました！サヨさんはとても優しい方だなって！。みんなにアドバイスを与えてくれて、カノンさんと共に私たちの支えになってくれていました！。紗夜さんには義があって、仁があって、礼があって、誠もあって……とても立派なサムライのように見えます！
紗夜,そ、そうですか。ありがとうございます。……多分、若宮さんなりの誉め言葉なんだろう。そう思ってその言葉を受け取る
はぐみ,あ、イヴちん。１時間目体育だし早く行って着替えなきゃだよ
イヴ,そうですね、遅刻になってはいけませんね。それではサヨさん、失礼します
はぐみ,またね、紗夜先輩！
紗夜,ええ。外はともかく、廊下は走らないで下さいね。その言葉に北沢さんと若宮さんは元気よく返事をして、昇降口へと小走りに向かっていった。２人の後ろ姿が見えなくなってから、私はなんとはなしに中庭の木に目を移す。桜は既に全て散ってしまっていた。木々には緑色の葉桜が茂っている。……去年の私はその景色の移り変わりに何を思っていただろうか。少し考えて、それらに目をやる余裕もなかったか、と苦笑した。……未来は続く明日の先へ。北沢さんが望んだ曲の１フレーズを口ずさむ。今年はどんな出来事が起こるだろうか。どんな人たちと巡り合えて、どんなことを経験できるだろうか。楽しいこともたくさんあるだろうし、逆に嫌なことだって起こるだろう。でも振り返ればそれらも良い思い出になるのかもしれなかった。今は私を待ち受ける全てのことが少し楽しみに思える。これもきっと成長と言えるのだろう。そう思ったところで、緑の匂いをした、柔らかくて温い風がふわりと頬を撫でていく。……春、ね。それがいつになく心地よく感じられて、私は目を細めるのだった
流星群はミリマスのジュリア,ＣＶ：愛美
