池袋晶葉,……ふぅ
P,運が良かっただけですよ。私は何もしていません、恐縮の極みです
スタッフ,彗星のごとくアイドル界に現れ、その圧倒的なパフォーマンスやトークで大活躍！それなのに歌うのは他の方の歌ばかりで不思議に思っていましたが、曲ができる前にデビューだったんですね
P,はい、それまでの時間も惜しかったので
スタッフ,なるほ……ああ、長話になってしまい申し訳ない。ウチはバラエティですが、掛け合えば1曲くらいの時間は作れるかもしれません。いつか、お待ちしてますね。それでは
P,ありがとうございます。その機会をお待ちしています
杏,ふぁぁ……疲れた～……
P,杏さん
杏,いいじゃん別に～
P,まあ、そうですが……
杏,今の人、いい人だったね
P,"業界人は横暴だ"なんていう知識が入っているのなら、修正した方がいいですよ
杏,まさか。それくらい杏が注目されてるってことにしておくよ
P,最近はレッスンを見れていませんが、調子はいかがですか？
杏,ふつーだよ。ふつー
P,絶好調ということですね
杏,補聴器買ってあげようか？
P,その権利は老後に取っておきますね
杏,別にいいけど……。まあ、今から披露ってなっても対応できるくらいかな
P,頼もしい限りですね。本当に
杏,じゃ、そこのアメ取って～
P,少し手を伸ばせば届くように見えますが……どうぞ
杏,さんきゅー♪
？？,……
杏,……？
P,どうかしましたか？
杏,……そこ、ドアちょっと開いてるけど
P,え？……ああ、さっきのスタッフさんが閉め忘れたんでしょうか
杏,……そうだね
P,では、戻りましょうか
杏,……うん。……おはよ。やられたね
P,……話が早くて助かります
杏,朝はネットニュースと電子版の新聞を流し込むことから始まるからね
P,そうだったんですね。道理で時事ネタトークにも強いと思いました
杏,お披露目、明日の夜だよね？
P,スタジオ入りやリハを考えると、残された時間は明日の昼過ぎまででしょうか
杏,このまま通す？
P,……
菜々,ち、ちょっとちょっと！何なんですかこの記事！
晶葉,よりによって発表の前日に！
P,ああ、2人とも、おはようございます
杏,おはよ～
晶葉,言っている場合か！！
菜々,そうですよぅ！この記事！！！
杏,酷いねえ
P,全くですね。私はマネージャーではなくプロデューサーなのですが……
晶葉,そこじゃないだろう！！！
菜々,ど、どうするんですか！？
晶葉,ネットでは少なからず、失望の声が広がっているな。……少し話題を攫うのが早すぎたんだ。そりゃあ足を引っ張ろうという輩も現れるさ
杏,"この日は具合が悪かった"って言い訳は通るんじゃない？
菜々,そ、そうです！幸いにも見られたのは昨日だけですし！
P,いえ、それは本質的な解決にはなりません
晶葉,まあ、そうだろうな。今回は切り抜けても、次からより一層、必死になってボロを探そうとするだろう
菜々,そんな……
杏,あんまり言いたくないけど、いつかはバレるのかな
P,その可能性が高いです
晶葉,……
菜々,晶葉ちゃん？
晶葉,やはり私のせいだ……私が……
杏,はい、それは言わないお約束
晶葉,もごっ！？
P,そのアメ、昨日の楽屋に置いてあったんですが、なかなか美味しいですよ
杏,あれ、プロデューサー、食べてたっけ？
P,こっそりと
杏,プロデューサーよりドロボウの方が向いてるんじゃない？
P,褒め言葉として受け取りますね
晶葉,し、しかし……
P,……チャンスと、捉えましょう
菜々,え？
P,何にせよ、世の中はアイドルらしいアイドルで溢れています。それと一線を画すチャンスです
菜々,で、でも、パステルピンクな恋は正統派なアイドルソングで
P,……捨てます
晶葉,……は？
杏,……やっぱりそうなるんだ。……めんどくさ
P,パステルピンクな恋は、捨てます
晶葉,はあ！？
菜々,だ、だってもう杏ちゃんは振り付けだって完璧で
杏,代わりの曲はあるの？
P,……こちらに
杏,準備が良すぎない？
P,……杏さんに会った初日から、この可能性は考えていました。想定より早いのは言うまでもないですが
杏,聞かせて。1回で完璧にするから、イヤホンも
P,どうぞ
菜々,な、ナナたちは……
晶葉,……菜々、レッスンの時間だ
菜々,で、でも！
晶葉,杏を信じられないのか？
菜々,晶葉ちゃんはいいんですか！？
晶葉,私だって見届けたいさ、でも、私たちには私たちのやることがある
菜々,……
晶葉,今はレッスンだ。大丈夫、ウチのプロデューサーと、私の杏は完璧だ！
菜々,……わかりました
P,2人共、レッスン、頑張ってください
晶葉,そっちこそ、頑張ってくれ
P,もちろんです
杏,ありがと、覚えたけど面白い歌だね。……あれ、2人は？
P,レッスンです
杏,あ、なるほど。……この曲、振り付けは？
P,決まっていません
杏,……はい？
P,隠しても仕方がないですから。パステルピンクな恋とは違い、こちらは急遽作って頂いた楽曲です。今この瞬間、曲として目の前にある幸福に感謝しなくてはいけません
杏,どうするの？棒立ちで歌う？……なわけないよね
P,……やむを得ません。トレーナーさんに全て話して、今日中に振り付けを作り、明日の発表を迎えていただきます
杏,普通に言ったけど、わけわかんないね
P,リハが始まるのがだいたい16時で、本番を終えて挨拶を済ませ、充電が切れても大丈夫な状態――つまり車に乗った状態――になるのが、恐らく22時前です。5時間なら、充電が完全でなくても間に合うと考えています
杏,アンドロイド使いが荒いってば
P,すみません、これしか方法がなく……
杏,はいはい、面倒だけどやらなきゃ進めないんでしょ。はあ……
P,……ありがとうございます
ベテトレ,失礼する。どうした？双葉の方針で相談とは。まさか、話題になっている件と関係があるのか？
杏,……最初からそのつもりだったんじゃん
P,早めに手を打たないと危なかったので。……四姉妹で助かりました
杏,聖さんが空いてたのね。じゃあ今2人にレッスンしてるのは明さんかな？
ベテトレ,……双葉、そのだらけ方、そして口調……噂は本当だったのか
P,そこからは、私がお話しします。初めに、隠していたこと、また、これから無茶なお願いをすることをお許しください
ベテトレ,……？
P,晶葉、そろそろです。充電は
晶葉,大丈夫だ。日付が変わるくらいまでは問題なく動ける
菜々,杏ちゃん、起きてください
杏,……はいよ。一応聞くけど、サボっちゃだめ？
P,では、先に車に向かってます
杏,返事もないなんて、杏、泣いちゃいそうだよ。……ふわぁ
晶葉,気をつけてな
杏,杏よりプロデューサーでしょ。結局ほとんど徹夜だったじゃん
P,私は表には出ませんから。それに、先ほどまで仮眠はさせていただきました
杏,ふーん。ならいいけど
P,そういえば晶葉、菜々さん、映像は見てくださいましたか？
菜々,あ、見ましたよ！なんというか……
晶葉,ああ、凄い曲だな……
P,振り付けに違和感は？
晶葉,あるわけがない
菜々,はいっ！まさかあれが一晩で作られたなんて思いません！流石です杏ちゃん！
杏,ありがと。でも、褒めるならトレーナーさんだよ。今度何かしてあげなよ？
P,はい、今度、食事をご馳走しようかと
杏,わお、隅に置けないねえ
P,いえ、聖さん以外の3人にも杏さんのことは話さなければいけませんから、そのついでにでも、と
杏,……プロデューサー、モテないでしょ
P,……アンドロイドに言われるとは、ダメージが大きいですね
晶葉,言ってる場合か。早く出発しろ
P,では、行って参ります
菜々,いってらっしゃい！
晶葉,事務所で見ているぞ
杏,じゃーね～
司会,では続いて、今話題のアイドル、双葉杏ちゃんでーす
杏,ふわぁ……よろしくお願いしまーす
司会,杏ちゃん、リハの時も思ったけど、ちょっとキャラ変わったねえ
杏,そんなことないですよ～？アイドル双葉杏は、今日がデビューですからっ
司会,そうなんだ。これまでは？
杏,うーん……仮入部みたいな？
司会,ははは、部活じゃないんだから
杏,ふふっ、でも、本当の杏はちょーっとだけ、面倒くさがりなんですよね
司会,最初っから、デビュー曲と一緒にそのキャラにする予定だったの？
杏,はいっ！
司会,へぇ、じゃあ、曲の説明を
杏,この曲は、杏みたいな面倒くさがりさんに捧げます！一緒に叫んでねっ！
司会,では、よろしくお願いします
杏,はーい。面倒くさいけど、ここで失敗したらまずいからね。……本気でやらせてもらうよ
P,戻りました
菜々,あっ！おかえりなさい！
晶葉,おかえり。……素晴らしいパフォーマンスだった
杏,そりゃ、杏だからね
P,いえ、本当に素晴らしかったです。裏からでも観客の熱気が伝わってきましたから
晶葉,充電は大丈夫か？
杏,もうちょい平気かな
菜々,……なんとか、切り抜けましたねっ
杏,ってか、キャラはあれで大丈夫？
晶葉,ああ、てっきり、完全に怠け者キャラでいくのかと思ったが、少し崩しただけだったな
P,ええ、その方があの歌が際立ちますし、やりすぎは印象も良くないですからね
杏,まあぶっちゃけ、始まっちゃえばスイッチ入ってるから、どんなキャラでも杏的には大差ないよ
晶葉,今朝の噂でグラつきかけた評判も見事にV字回復だ。誰もあのパフォーマンスを見て"バレたからぐうたらキャラに急遽舵を切った"なんて思うわけがない。信じるさ。最初からこの流れを想定していたって言い分もな
菜々,それに、そもそも盛り上がってましたから！むしろ親近感が湧いて、ファンが増えたんじゃないですか？
P,それなら災い転じて……ということになりますね
杏,災いなんて無い方がいいよ
晶葉,ごもっともだな
P,ここからは、あんずのうたを使って、更に活躍をお願いします。明日にはいくつか、お話も届くでしょうから
杏,はいはい。もう今日はいい？
P,はい、もちろんです。明日の午前のレッスンもありませんので、ゆっくり充電してくださいね
杏,……だからさ、充電しちゃえば疲れが持ち越されるとかないんだから、別に予定があっても
P,でも、面倒でしょう？
菜々,そうですよ！たくさん頑張ったんですから！
杏,……ありがと
菜々,おやすみなさいっ
晶葉,おやすみ、杏
杏,へーい。おやすみ……か。充電するだけなのにね。凄い新人アイドルがいるんだってさ
P,……自画自賛ですか？
杏,今回は違うよ
P,もちろん、耳には入っています。まだ見たことはありませんが……
杏,ありませんが？
P,今届いてるオファーの中に1件、その方と共演することになりそうな仕事がありますね
杏,バラエティ？
P,いえ、普通に音楽番組です
杏,期待の新人なんて杏だけで十分なのに
P,業界は盛り上がっていますよ。"当たり年だ！"なんて
杏,晶葉が10人いれば、毎年を当たり年にできるよ
P,晶葉が10人いたら開発なんてさせずに10人ユニットで売り出しますよ
杏,頭が固いねえ
P,……生まれつきなんです
杏,それより、取材の記者さん、まだかな？
P,そろそろのはずですが……ああ、噂をすれば、足音が。切り替えてくださいね
杏,はいはい、面倒くさいなあ。どうぞー
P,お疲れ様です。杏さん
杏,あ、来れたんだね。てっきり今日は来ないものかと思ってたよ
P,はい、前の打ち合わせが早めに終わったので
杏,別にノックしなくてもいいのに
P,他の方と歓談中ということもあります
杏,杏に限ってそれはないと思うけどね
P,ただ、来て早々に申し訳ないのですが、緊急でこの後、打ち合わせが入ってしまいまして……
杏,そうなんだ。杏より忙しいんじゃないの？
P,流石にそれはありえません。……なので、収録開始のあたりでいなくなることをご承知ください
杏,おっけ。残念だったね
P,はい、杏さんのステージを見れないことは
杏,そっちじゃなくてさ
P,……まあ、映像では見ましたから
杏,きっと、生だとまた違うんじゃない？
P,楽しみは次に取っておきます
杏,素直になっていいのに
司会,はい、双葉杏ちゃんで、あんずのうたでしたー！
杏,ふう……後は座ってるだけだから楽だね。充電も問題ナシ
司会,いやあ、可愛かったですね！さあ、続いても新進気鋭のアイドル
杏,！
司会,一ノ瀬志希ちゃんで……あれ？一ノ瀬さん？
杏,……？
司会,えっ？もうステージに？トークが先なんだけどな……。まあ、進めちゃいましょうか
杏,……変なの
司会,では、一ノ瀬志希ちゃんで秘密のトワレ！
杏,……！！！。……。……。はあ……。……杏、ため息なんて出るんだね。……。一ノ瀬志希……。お客さん、杏の時より、確実に……
一ノ瀬志希,たのもー！
杏,うわぁ！？
志希,あれれ？マネージャーさんとかいないの？
杏,な、なにさ急に！
志希,お疲れサマ、杏ちゃん
杏,……ノックくらいはしたらどう？
志希,まあまあ、1回お話してみたかったんだよね～
杏,……杏に話すことなんてないけど
志希,ヒトの匂いってさ、あるんだよね。骨と、皮と、臓物と、筋肉と。動けば顕著になって
杏,は？
志希,ヒトの音もあるの。骨が擦れる音、筋肉が動く音、足音が体内に反響してくる音
杏,……何の話？
志希,キミ、本当に、……ヒト？
杏,……何を言ってるのか、杏にはさっぱりだよ
志希,う～ん、じゃ、そういうことにしとこっか？
杏,用が済んだなら帰ってもらえる？
志希,キミってさ～？
杏,まだ何かあるの
志希,楽しくなさそうだね～？それじゃ100点は取れても120点は取れないよ？
杏,……っ
志希,それじゃ、シキちゃんはこれにて失礼～♪まったね～
杏,……。……。楽しいわけ……ないじゃん。……
P,杏さん、おかえりなさい。結局私の方が戻るのは早かったですね。迎えに行けなくて申し訳な……杏さん？
杏,……充電してくるね
P,え？あ、はい……
杏,……
P,……
晶葉,もしもし？ああ、ちょうど仕事が終わったところだ。今日？直帰する予定だが……。……ふむ。……なるほど、今から戻る。ああ、任せておけ。部屋に顔は出さなくていいな？それじゃあ。戻ったぞ
杏,……
晶葉,ああ、自分のラボに来たのに"戻ったぞ"なんておかしいか？まあいい
杏,……
晶葉,無視は少し辛いな
杏,……直帰じゃなかったの
晶葉,その予定ではあったが
杏,……プロデューサー、過保護すぎるんだよ
晶葉,大切にされるのは、悪い気分ではないだろう？
杏,……
晶葉,さて、私は回り道が嫌いだ。単刀直入に聞く。……何があった？
杏,……別に
晶葉,誤魔化せると思うか？
杏,……
晶葉,私しかいないんだ。プロデューサーにだって漏らさないさ
杏,……
晶葉,……
杏,……独り言だよ
晶葉,……ああ
杏,杏ね、今日、負けたんだ。初めて。自分より盛り上がってる会場を見たの。正直に言えば、それだけ。本当にそれだけ
晶葉,……
杏,それだけで？って思ったでしょ？
晶葉,……
杏,じゃ、ちょっとだけ、昔の話をしよっか。とは言っても1ヶ月前とか、それくらいだけど。杏が初めて意志を持って、このラボで生まれた時、最初に何を感じたか、わかる？
晶葉,……
杏,正解はね、恐怖だよ
晶葉,恐怖……
杏,そ。もちろん、目の前にいた晶葉と菜々さんに対してじゃないよ？情報は頭に入ってたから。じゃあ何が怖かったって、直感的に思ったんだ。捨てられるって
晶葉,……どういうことだ
杏,まずさ、目的を認知したよ。アイドル部門のためって。次に、自分の状態を確かめた。完璧に動けそうだし、出来ないことなんてないくらいの感覚
晶葉,……
杏,最後に、気が付いたんだ。何でもできるのに、何もしたくないって
晶葉,それは……
杏,釘を刺しちゃうけど、晶葉のことを責めてるとか、一切ないからね
晶葉,……
杏,晶葉ならわかると思うけど、機械って論理的なんだ。すぐに自分の価値を測ったよ。そして、思った。ああ、杏は捨てられるんだってね
晶葉,そんなわけ……
杏,"映像も音声も凄くクオリティが高いけど、なかなか電源がつかないテレビ"とか、"スペックも機能も申し分ないけど、クリックしてから2秒待たなきゃ反応しないパソコン"とか
晶葉,え？
杏,不良品でしょ？普通は返品して新しく買い直すよ。それが世界に1品だけならまだしも、晶葉なら次だって作れるだろうし
晶葉,次……
杏,論理的に考えるってそういうこと。ひとまず捨てられなさそうだってわかった後も、杏は怖かったんだ。"目的が果たせないとわかったら、今度こそ"なんて
晶葉,……
杏,でも、そんな杏の不安なんて吹き飛ばすくらいに、晶葉は、菜々さんは、プロデューサーは、……優しかった
晶葉,……
杏,杏のぐうたらを見ても呆れないで。杏が何をしても受け入れてくれて。杏を……仲間として扱ってくれて
晶葉,……当然だ
杏,機械にはその"当然"が難しいの
晶葉,そう……か
杏,このまま日常が続いてくれればって、本気で思うようになったんだ。……でも今日、負けた
晶葉,……
杏,だから、パニックになっちゃったんだ。"勝てない杏に価値なんてない""今度こそ捨てられる"って
晶葉,……
杏,今だって、思考回路はめちゃくちゃだよ？現在進行形で晶葉に迷惑をかけて、プロデューサーに心配をかけてる。本当は挽回しなきゃいけないんだ。でも、杏の心は……動こうとしてくれない……！
晶葉,杏……
杏,晶葉なら、もっとちゃんとしたアンドロイドだって作れるでしょ？
晶葉,……
杏,ほら、こんな失敗作でも、反面教師にはできるよ？
晶葉,杏
杏,なにさ、参考にもならない？それは流石に凹んじゃうなあ
晶葉,杏！！！
杏,へっ！？
晶葉,……
杏,……
晶葉,……
杏,……へなちょこビンタ
晶葉,いかんせん、他人を叩く経験に乏しいものでな
杏,……
晶葉,これ以上は怒るぞ
杏,……もう怒ってるでしょ
晶葉,ああ、もちろんだ。なぜなら、私の最高傑作にして大切な仲間が、目の前で馬鹿にされたんだからな
杏,傑作？当てつけのつもり？
晶葉,悔しいんだろう？
杏,え？
晶葉,負けて、悔しくて、次こそはって、思ってるんだろう！
杏,……
晶葉,その感情が、人間でなくて何なんだ？
杏,……でも
晶葉,やる気なんて無くていいんだ。そこをカバーするのが周りの役目なんだから。杏が戦う環境を全部整えて送り出す。いつも思うよ、お前は、どんどん強くなっていると！
杏,……
晶葉,こんなに誇らしいことがあるか！？アイドルとして成長していく杏に、みんなが拍手を送っている！私にとってそれが、どんなに……！
杏,……
晶葉,頼むから、言わないでくれ……！"捨てられる"なんて……、"失敗作"なんて……！
杏,……！……痛いよ。そんなに抱きしめちゃ
晶葉,……そうでもしないと、覚えないだろう
杏,大丈夫だって……
晶葉,本当か……？
杏,杏の記憶力をナメないで。傑作……なんでしょ？
晶葉,……ああ。ああ！もちろんだ！
杏,はあ……、悩んでたのがバカみたいだね
晶葉,その感覚も、誰しもがよく味わうものだ
杏,こんな嫌な気分、よく耐えられるね
晶葉,前に進めば忘れるものさ
杏,……ふうん
晶葉,明日からも、よろしく頼むぞ？
杏,……それなりにね
晶葉,十分だ。お疲れ
P,……どうでしたか？
晶葉,疑うのか？私を？それとも私の傑作を？
P,……いえ、そうですね。大丈夫に決まっています
晶葉,当然だ。次のステージも期待していろ
P,プロデューサーですから、当たり前ですよ
晶葉,まったく……本来なら菜々の方がこういう役回りは向いているだろうに
P,そんなことはないと思いますよ
晶葉,どうしてだ？
P,だって、人は心が不安定になった時、母親に安心感を求めるものですから
晶葉,……は？
P,どうかしましたか？
晶葉,聞き間違いか？
P,いえいえ、杏さんのことを1番よく知っているのは晶葉でしょう？親みたいなものですよ
晶葉,14歳なんだがな
P,大切なのは気持ちです
晶葉,いい感じに言いくるめようとするなよ。まったく……
杏,……また会ったね
志希,うんうん、いいねぇいいねぇ
杏,え？
志希,目が全然違うんだもん！パーツ変えた？あ、ごめんごめん、ヒト、だったよね
杏,そっちもたいがいヒトっぽくないけどね
志希,褒めても何も出ないよ？
杏,皮肉だよ
志希,じゃあ、生まれ変わった杏ちゃんの実力を見させてもらおっかな～
杏,杏はさ、頑張れないんだ
志希,へ？
杏,でも、誰かのためって思えば、少しくらいは……
志希,ふ～ん？……いいねぇ。ホントだ。全然違って……楽しそう♪……あれ？
司会,ありがとうございました！双葉杏ちゃんに、スタジオで生ライブを披露していただきました！番組後半、一ノ瀬さんのステージもお見逃しなく！
杏,……今までで1番……だったらいいな
志希,……ちゃん
杏,え？
志希,杏ちゃん！！！
杏,な、なにさ！？生放送中だよ！？
志希,上！！！セット！！！
杏,へ？う……え……？
スタッフ,ふ、双葉さん！！！セットが！！
P,杏さん！！！
スタッフ,一回止めろ！。おい！救急車！
杏,あいたた……だ、大丈夫、ギリギリ直撃はしなかったから
スタッフ,……
志希,……
杏,へ？どうかしたの？
スタッフ,……み、右肩が
杏,え？。やっば！機械見えてる！
スタッフ,そ、それは……？
杏,ええっと……、た、体調不良で帰ります！
P,あ、杏さん！し、失礼いたします
志希,……あちゃー、生放送でなければねえ
杏,……
P,……
晶葉,……
菜々,……
杏,……ごめん
P,いえ、杏さんのせいではありませんから
杏,どれくらい映ってた？
晶葉,……映像でも一瞬、完全に機械部分の露出が確認できた。画面のキャプチャを、皆が穴の開くように見ている頃だろうな
菜々,ど、どうなるんでしょうか
P,……少なくとも、今は何もできません
晶葉,……そうだな、アレを、世間がどう受け止めるのかによる
P,明日まで、待ちましょう
杏,たぶんさ……
晶葉,そこから先は言わなくてもいい。可能性の話だ
杏,……そだね
P,2人は帰られますか？
菜々,な、ナナは残りますよ！
晶葉,当然だ
P,では、私は別室で夜を明かします
晶葉,ああ、わかった
P,また明日
菜々,おやすみなさい……
杏,……おやすみ
P,充電は？
杏,……あんましてない。どうせ今日は外なんて出れないし、充電してるとテレビ見ちゃうからね
晶葉,やはりこうなったか
杏,まあ、人気者にアンチがつくのは世の常だよね
菜々,……
晶葉,他の事務所の息がかかった記者だっているだろう。そいつらにとって善悪なんて関係ない。とにかくウチを、ウチのイメージを崩すために攻撃を重ねてくる。1度その流れが出来てしまえばあっという間だ。世論は二度と、アンドロイドアイドル杏と、ウチの事務所を認めてはくれないさ
P,事務所の周りにもいくらかマスコミがいますね
菜々,……酷い……です
杏,怠けグセがばれた時は、まだネットニュースに留まってくれてたけど
P,一面デビュー……ですね
杏,もうちょっとマシな話題で飾りたかったよ。はぁ……なまじ杏の味方みたいな書き方なのが腹立つね
P,内容も、酷いものです。ウチの事務所をこき下ろし、あらぬ疑いをこれでもかとかけている。機械だからといって不当に過酷な労働を強いているのではないか機械であるということを利用して、不当に他のアイドルの仕事を奪っているのではないかアイドルとしてではなく、モノとして扱っているのではないかという具合に
菜々,ど、どうするんですか？
P,どうするも何もありません。会見を開いて、疑念を払拭するだけです
晶葉,できるのか？
P,……わかりません
杏,……じゃ、杏は充電しながら待ってるね
菜々,あ、杏ちゃん
晶葉,いや、杏なりに思うところがあるんだろう。1人にさせてやるべきだ
菜々,うぅ……
P,では、私は出発します
晶葉,……頑張ってくれ
菜々,お気をつけて
P,……全力を尽くします
菜々,……どうなっちゃうんでしょう
晶葉,……私たちのプロデューサーを信じるしかないな。……そろそろか
菜々,はい
晶葉,やはり注目度が高いようだな。ワイドショーで生中継とは
菜々,そう……ですね
晶葉,……
菜々,あっ、始まりました
晶葉,……
菜々,……うん、うん。プロデューサーさん……。……酷い
晶葉,……ああ、マスコミというのは――と纏めるのは危険だが――そういうものだ
菜々,……
晶葉,何が正しいかじゃない。まずは相手を見て、叩くのか、守るのかを決める。事実の確認や解釈は二の次だ。どうにでも曲げられる
菜々,……何が……わかるんですか
晶葉,……
菜々,この人たちに、杏ちゃんの何が。え？
晶葉,な……！？
菜々,杏ちゃん！？
晶葉,ど、どうして会見場に！
菜々,あ、杏ちゃん……
晶葉,……。マズい！バッテリー切れだ！
菜々,杏ちゃん……
記者,いやあ、アンドロイドアイドル双葉杏、破竹の勢いですね
杏,ありがとうございます。ファンのみんなと、ウサギの安眠枕のおかげですっ
晶葉,寝る必要はないけどな
杏,あー、アンドロイド差別ー
菜々,あ、杏ちゃん！取材中ですよ！
記者,まあまあ、次の曲は、安部さん、池袋さんと3人での楽曲になりますが。なんでも、思い出の曲だそうで
杏,はいっ！新曲なのに思い出だなんて変なんですけど、3人で歌えば負担は3分の1です！
菜々,質問に答えてませんよぅ……
晶葉,ははは、なんにせよ、私たちの新曲をよろしく頼むぞ
記者,では、最後に宣伝をどうぞ
菜々,はいっ！せーのっ
杏,カップリングは杏のアタシポンコツアンドロイドって曲だよ～。こっちもよろしくねっ
記者,では、失礼します。本日はありがとうございました
P,こちらこそありがとうございました。今後ともよろしくお願いいたします
記者,それはこちらのセリフですよ。では、私はここで
菜々,ふぅ……私たちもお仕事、増えてきましたね！
晶葉,ああ、杏には及ばないがな
杏,杏は傑作だからね。しょうがないよ
P,ええ。3人とも、自慢のアイドルです
晶葉,それはどうも。……さて
P,ああ、早速ですか
晶葉,遅らせてもいいことはないからな
菜々,？
杏,？
晶葉,3人とも、私のラボに来てくれ。ああ、メインラボじゃなくて、サブの方だ
菜々,ら、ラボって2つあったんですか？
杏,杏も知らなかったな
P,まあ、言っていませんでしたから
晶葉,ここだ。入ってくれ
杏,やっぱちょっと狭いんだね
菜々,あっ！あの奥の！
P,あれが……ですか？
杏,杏が創られた装置に似てるね……ってことは
菜々,まさか！？
晶葉,そのまさかだ！サイズは杏より一回り大きい150cm！既にインストールの準備は整っている！
杏,……楽できる？
P,お仕事は倍になるので、変わらないですね
杏,残念
晶葉,このアンドロイドも、圧倒的な能力で他のアイドルにNOを突きつける！よって私はコードネーム：乃々NO-NO
菜々,て、テンション高いですね！
晶葉,いいだろ！見せ場なんだ！……では、インストール……スタート！
P,緊張しますね
杏,プロデューサーから緊張の色が見えた事ないんだけど
P,そんなことありませんよ？
菜々,でも、ドキドキするのはわかりま……あれ？
P,？
杏,どうしたの？
菜々,……晶葉ちゃん
晶葉,……何だ？
菜々,あの……ナナの目が正しければ……その……
晶葉,……
菜々,見たことある部品が……そこに……
晶葉,……何番だ
菜々,……ええと……4です
晶葉,なんという……
P,ええと、もしかして
杏,もしかしなくても……でしょ
菜々,4のメモリは……？
晶葉,4は……
杏,！
乃々,むーりぃー……！！！
晶葉,"自己肯定感"だ
杏,……ぷっ
菜々,……ふふふ
晶葉,……はあ、笑い事じゃないぞ
P,はは、まあ、いいじゃないですか
乃々,な、なんで笑ってるんですか……いぢめですか……
P,いえいえ、……ようこそ
