ミリP,以下、P
P,社長に話しておきましょうか？
小鳥,やめて！ホントにステージで歌う事になっちゃう！
エレナ,オッハヨー！
恵美,お、おはよ……
P,おっ、エレナに恵美か。おはよう
小鳥,？なんで恵美ちゃん、ちょっと小声なの？
エレナ,それがネー？昨日プロデューサーにハグされたのが恥ずかしいんだって！
恵美,え、エレナ！わざわざ言わなくて良いから！
P,……そ、そうか
小鳥,幸せオーラで何回私は傷つけば良いんですか……っ
エレナ,プロデューサー！メグミのナヤミ、聞いてくれてありがとネっ！
P,ああ、無事解決できて良かったよ
エレナ,ネ？だから言ったデショ？。メグミはプロデューサーの事、ダイスキだって！
恵美,ちょっ、エレナ！？何言ってるのさ！？
琴葉,プロデューサー、どういう事ですか！？
P,こ、琴葉……？
エレナ,コトハ、オッハヨー！
恵美,ど、どうかしたの？
琴葉,そ、それが……！
静香,こ、琴葉さん落ち着いてください！
P,静香じゃないか、おはよう
小鳥,……あっ
P,？何か思い当たる事でも？
小鳥,い、いえ……
エレナ,エーッ、それってホント！？
恵美,…………
P,な、何があったって言うんだ……？
琴葉,……プロデューサー、正直に答えてください
P,は、はい……
小鳥,浮気がバレた旦那みたいになってるピヨ
琴葉,静香ちゃんと……キスしたって、本当ですか？
P,！？
小鳥,静香ちゃん、話しちゃったのね……
静香,琴葉さん怖かったです……
小鳥,本気で恋する乙女は怖いものよ……
P,ちょっと待て！俺には本当に覚えがないぞ！？
琴葉,静香ちゃんが嘘ついたって言うんですか！
P,そ、そう言われても……
琴葉,お話、たっぷり聞かせてもらいますからね！
北沢志保,以下、志保
矢吹可奈,以下、可奈
志保,レッスン見に来てくれないと思ったら……何やってるのかしら
可奈,……そもそも、何の話してるの？
志保,か、可奈は気にしなくて良いの！
可奈,…………？
志保,さ、とりあえずプロデューサーさんを連れ出さなきゃ
可奈,ま、待ってよ志保ちゃーん！
