白菊ほたる,……はぁ
ほたる,カメラマンさんからそう言われたあとすぐ、プロデューサーさんが私を手招きしてきました。……プロデューサーさんも、ごめんなさい
Ｐ,…………
ほたる,プロデューサーさんは大丈夫だと言いたげに首を振ってます。ですが、せっかく私なら適材だと取ってきて頂いた仕事なのに、上手く笑えない自分が嫌になります。レッスンだってしっかりやってきたのに、それが一つも身になっていないような気になってしまいます。……そんなネガティブな事を考えてしまう自分がもっと嫌になってしまいました
Ｐ,……悩みだしたらきりがないこと、よく知っているけど
ほたる,え……？
Ｐ,くだらない事考えてへこんでも明日笑えればいい
ほたる,私の肩にポンと手を置いて、言葉少なくプロデューサーさんはそう言いました
Ｐ,何があっても僕は味方だ、友達よ
ほたる,プロデューサーさん……。まっすぐな言葉がスッと体の中に入ってきました。何があっても味方でいてくれる……その言葉で何だか肩の力が抜けた気がします。ありがとうございます……ちょっと楽になった気がします
Ｐ,…………
ほたる,あの、聞いてもいいですか？
Ｐ,……？
ほたる,儚く笑うって、どういう風なものなんでしょう……？
Ｐ,……僕らが願うのは唯一つ、幸せになりたいって事。それが欲しくてもがいて、奪って。それでも笑って生きていたいと健気に海の風に微笑むあの娘は。愛する人が銃で撃たれた事をまだ知らない
ほたる,……そんな笑顔ですか？
Ｐ,…………
ほたる,……ふふ、分かりづらいです
Ｐ,…………
ほたる,でもありがとうございます。何となく分かった気がします
Ｐ,…………
カメラマン,そろそろいいかな、ほたるちゃん？
ほたる,はい、大丈夫です
カメラマン,お、憑き物が落ちたみたいな顔だね。これならいい写真が撮れそうだ
ほたる,今度は大丈夫だと思いますので……よろしくお願いします
カメラマン,あ、その笑顔いいね、それをカメラの前でもお願いするよ
ほたる,はいっ……。その後の撮影では1回でいいものが撮れました。カメラマンさんも私を気に入ってくれたのか、余った時間で、衣装を変えて予定よりも多く写真を撮影をしてくれました
ちひろ,ついにほたるちゃんの写真が載った雑誌が発売されましたね
Ｐ,…………
ほたる,撮影から2週間後、私の写真が載った雑誌の発売日です。プロデューサーさんもちひろさんも今日を楽しみにしていてくれて、プロデューサーさんに至っては同じ雑誌を3冊も買ってきて、さっきちひろさんに怒られていました。どんな出来栄えになっているのか、私も気になります。でも見たいような見たくないような不思議な感覚がします
ちひろ,さて、ほたるちゃんも来た事だし、3人で見てみましょうか
ほたる,は、はい……
Ｐ,…………
ほたる,ちひろさんは私とプロデューサーさんが頷くのを見ると、デスクの上に雑誌を開きました
ちひろ,えっとほたるちゃんの写真は……あ、ここですね！
ほたる,わぁ……。ちひろさんが開いて指した見開きの2ページに私の写真が使われていました。本当にアイドルになれたんだ、というような気持ちで感無量です
ちひろ,すごいですね。初めてのお仕事なのにこんなに大きく写真を使って貰えて。やれば出来るじゃないですか、プロデューサーさんも
Ｐ,……？
ちひろ,どうしたんですか、首を傾げて。嬉しくないんですか？
Ｐ,…………
ほたる,プロデューサーさんは勢いよく首を振った後、今回の仕事の資料に目を通しました
Ｐ,…………
ちひろ,うん？今回の仕事の詳細ですか？えーと……今回の予定枚数……3コマほど？え、じゃあこれって……
Ｐ,…………
ほたる,神妙な顔をしているプロデューサーさんとちひろさんに私は不安な気持ちになってきました。カメラマンさんの腕が良いおかげで私なんかの写真でも綺麗に取れていますが、何か私の不幸が悪さをしたのかもしれません……。な、なにか問題でもあったんですか……？
ちひろ,いいえ。逆よ、ほたるちゃん
ほたる,え……？
ちひろ,ほたるちゃんを気に入ってくれた出版社が、予定の倍以上使ってくれたみたいなんです、ほたるちゃんの写真を
ほたる,そ、そうなんですか？
Ｐ,…………
ちひろ,すごいじゃないですか、ほたるちゃん！
ほたる,そう……そうなんですね……良かった。安心するのと同時、胸の中に嬉しさがどんどん湧き上がってきました。プロデューサーさんとちひろさんが喜んでくれたのがすごく嬉しくて、出版社の人たちにも私を認めてもらえた事が誇らしいです。プロデューサーさん、ちひろさん……ありがとうございます。アイドルを諦めかけてた私を拾ってくれて……レッスンをさせてくれて、こうしてお仕事をさせてくれて……私、幸せです……
ちひろ,何を言ってるんですか、こちらこそ、ほたるちゃんみたいな子に来てもらえて感謝しかないですよ！ね、プロデューサーさん
Ｐ,あなたのおかげで生きてるんだ
ちひろ,もう、どんな感謝の現わし方ですかそれは。ほたるちゃんはこれからが大事なんですから、あなたもしっかりして下さいね？
Ｐ,この先何があったって僕らは振り向かずに走って生きたい。つまづいた昨日も助走だったと言い張るために走って生きたい
ちひろ,本当に分かってるんですかね……
ほたる,……ふふ。いつも通りなプロデューサーさんとちひろさんのやり取りに思わず笑みがこぼれます。本当に……このプロダクションに来れて、プロデューサーさんとちひろさんに会えて良かったと心から思いました
Ｐ,…………。……？。…………。……！。…………。…………。…………。……ポルノ映画の看板の下でずっと誰か待ってる女の子。ふざけた日常マフラー代わりにしてもかじかんだその未来温む事無く……。…………。…………
ちひろ,……どうしたんですか、プロデューサーさん。事務仕事してたと思ったらいきなり歌いだすなんて外でやったら通報されますよ？
Ｐ,正解でも間違いでも、それが分かるのはどうせ未来。今は走るだけ
ちひろ,はい？
Ｐ,…………。！。……自身の弱さや不成功を顧みる青の時代はとっくに過ぎたのだ
ちひろ,え、今日は一段とおかしいですよ、プロデューサーさん。大丈夫ですか？黄色い救急車でも呼びます？
Ｐ,うるせぇ背後霊
ちひろ,心配してあげたのになんて言い草ですか
Ｐ,……見てみろよ
ちひろ,今度はなんですか、手招きなんてして……ってメールですか？。差し出し人は……ああ、この前のゴシックファッション誌の……ん？。え、これって先方からのほたるちゃんへの仕事の依頼じゃないですか。しかもインスピレーション降りてきました。やりますねプロデューサーさんとか書いてある。かなりくだけたメールだ……。どうしたんですか、これ
Ｐ,…………
ちひろ,プロデューサーさんは得意げな表情をして、今までの先方とのメールのやり取りを見せてくれました。どうやら前回のモデルの仕事で先方がほたるちゃんの事をすごく気に入ってくれて、プロデューサーさんと担当の方がメールのやり取りをする仲になっていたようです。そして、またほたるちゃんにモデルの仕事をお願いしたいけれど、何か写真のテーマにいいアイデアはないか、という質問を先ほど受けたみたいで、それに対する返信が相手の琴線に大いに触れたみたいでした
Ｐ,拝啓、忌まわしき過去に告ぐ。絶縁の詩
ちひろ,やるじゃないですか、プロデューサーさん！そのドヤ顔はムカつきますし相変わらず言ってる事は意味不明ですけど、プロデュースの腕も上がったんじゃないですか！
Ｐ,……何やってんだってしらけて、どうでもいいやって居直る
ちひろ,ああごめんなさい、ちゃんと褒めるんで拗ねないで下さいよ
Ｐ,全ての人に優しくされたくて傷ついた振りをしてみたりする
ちひろ,って冗談ですか。分かり辛いですねぇ……
ほたる,おはようございます
ちひろ,あ、おはようございます、ほたるちゃん！ちょうどよかった、いい知らせがありますよ！
カメラマン,あ、どうも。ほたるちゃんにプロデューサーさん
ほたる,こんにちは。今日もよろしくお願いします
Ｐ,…………
カメラマン,はい、よろしくお願いします。それにしても顔を合わせると相変わらずですね、プロデューサーさん。メールだと饒舌なのに
Ｐ,ごめんなさい
カメラマン,いえいえ、責めるつもりはないんですよ。今回もいいアイデアを頂きましたし、ほたるちゃんのおかげで、ウチの雑誌も先週号の売り上げが良かったんですから
ほたる,え、そうなんですか？
カメラマン,ええ、そりゃもう。何故だか２０代から３０代の男性層にも今回は売れてましたからね
ほたる,そうなんだ……私でも役に立てたみたいで嬉しいな……
Ｐ,君の夢、希望はファンタジーじゃなく歩幅の延長線上にある
ほたる,……はい。ありがとうございます、プロデューサーさん
カメラマン,それじゃあ早速撮っていきましょうか
ほたる,はい、お願いしますっ。プロデューサーさんからは、今回の写真のイメージはポルノ映画の看板の下でずっと誰か待ってる女の子と言われました。私にはいまいちピンと来ないイメージでした。そういう顔をしていたからでしょうか、プロデューサーさんはギターを弾きながら、歌にして教えてくれました。旋律となった言葉を聞いていると、何となくですが、終末的な世界で佇んでいる姿というイメージが掴めました。それと同時に、あの雨の公園でプロデューサーさんと出会った時の事を思い出して、少し心が温かくなったような気がしました。……ふふ
カメラマン,お、いい笑顔。退廃的な世界、ポルノ映画の看板、それらに不釣り合いな純真で可憐な微笑み……いい具合に寂寥感があって切なくさせるな。はい、オッケー！
ほたる,ありがとうございました
カメラマン,こちらこそ、いい写真が撮れたよ。本当にほたるちゃんは絵になるねぇ
ほたる,そ、そんな事ないですよ……
カメラマン,はは、謙遜上手だね。こんなにスムーズに撮影が終わる事も滅多にないよ。それだけ君は魅力的なんだ
ほたる,あ、ありがとうございます……でもそれはきっとプロデューサーさんが支えてくれたのと、カメラマンさんの腕がいいからです……きっと
カメラマン,嬉しい事を言ってくれるねぇ……こんないい子、今時珍しいよ。ねぇプロデューサーさん
Ｐ,…………
ほたる,よく分かりませんが、プロデューサーさんとカメラマンさんがウンウンと頷きあっています
カメラマン,それじゃ、雑誌の出来上がり、楽しみにしててくださいね
ほたる,は、はい。今日はありがとうございました
Ｐ,…………
ほたる,おはようございます。今日は、この前撮った写真が雑誌に掲載される日です。初めてのお仕事の時と同じように、事務所に3人が集まったら一緒に見ようという話です
ちひろ,おはようございます、ほたるちゃん
Ｐ,…………
ほたる,私が事務所に来ると、プロデューサーさんとちひろさんがデスクで待っていました
ちひろ,いよいよほたるちゃんのお仕事第２弾の成果が見れますね
ほたる,は、はい。今回も綺麗に映っていればいいんですけど……
ちひろ,大丈夫ですよ。今回はプロデューサーさんも自信満々みたいですし
Ｐ,…………
ほたる,ちひろさんに言われてプロデューサーさんは胸を張って頷いています。……自分の関わったものが形になるといつも不安が付き纏いますが、そうやって太鼓判を押して頂けるとちょっと安心ができます。温かいプロダクションに所属出来て本当に私は幸せ者だと思います
ちひろ,それじゃ、早速見てみましょうか
Ｐ,……見てみろよ、これが世界の全てだ
ほたる,ちひろさんの言葉に頷いて、プロデューサーさんは紙袋から雑誌を取り出してデスクの上に置きました。そして一番最初に目に飛び込んできたのは……私の写真でした
ちひろ,え……これ、ほたるちゃん……ですよね
ほたる,見間違いでなければ……私が……表紙にいます
Ｐ,…………
ほたる,雑誌の表紙に大きく映っているのは、ポルノ映画の看板の下で、小さな赤い花を１輪、両手で持った白菊ほたるです。間違いなくこの前の撮影で撮った私の写真でした。呆気に取られている私とちひろさんの横で、プロデューサーさんが得意げな表情をしています
ちひろ,す、すごいじゃないですかっ、マイナーな雑誌とはいえ表紙を飾れるなんて
ほたる,は、はい……私もびっくりです……
ちひろ,……プロデューサーさん、知ってて黙ってましたね？。どうりで買ってきた雑誌をいつまでも紙袋から出さない訳ですよ、まったく
Ｐ,それでも死ななくて良かったと思う日がたまにある事を伝えたい
ちひろ,もう、舞い上がり過ぎですよ。……気持ちは分かりますけどねっ
ほたる,楽しそうに話をする2人を見ていると、私の中でも段々と実感が湧いてきました。あの時、プロデューサーさんに見守られて、カメラマンさんに撮ってもらった写真と、今こうして目の前にある雑誌の表紙の写真。同じように見えなかったそれらが私の中で結びついて、遠いおとぎ話にしか見えなかった私のお仕事の成果がすぐ触れるところにまで急にやってきたような感じがしました。それが嬉しくて、目頭が熱くなってきてしまいます
P,……希望は唯一つで、諦める訳は捨てるほど
ほたる,プロデューサーさん……？。それにすぐ気付いてくれたのか、プロデューサーさんは私と目の高さを合わせ、諭すように声をかけてくれました
P,ぬかるんだ道に立ち尽くし、行こうか戻ろうか悩んで。結局歩き続けて、その向こうで光が射して。その時僕らは思うだろう。今まで生きていて良かった
ほたる,……はい
P,その一瞬の為だったんだ。今まで積み上げたガラクタ、多くの時間、多くの挫折、数えきれない程の涙
ほたる,はい……っ。そう言って、プロデューサーさんは優しく私の頭を撫でてくれました。それにとても誇らしい気持ちが生まれて、私の目から涙が零れました。それは今までに流した寂しく冷たいものと違って、嬉しくて温かなものに感じました。プロダクションに所属して、自分のプロデューサーさんがいて、トレーナーさんにレッスンを看て貰えて、色んな人に支えられる。……もしかしたら、これはアイドルにとって当たり前の事かもしれません。だけど、私にとってはかけがえのない特別な事で、こんなに幸せでいいのかと思ってしまうほど幸運な奇跡だと感じました。この大きな奇跡に愛想を尽かされないように、プロデューサーさんやちひろさんに胸を張っていられるように、これからももっともっと頑張ろう。プロデューサーさんの温かい手に撫でられて、ちひろさんの優しい眼差しに見守られて、私はそう思いました。え……私がバックダンサーに……ですか？
トレーナー,うむ
ほたる,私が雑誌の表紙を飾る事が出来てから１ヵ月が経ちました。あれから写真モデルの仕事が少しずつ増えるようになり、そういった仕事をこなしつつ、アイドルとしてのデビューを迎える為に日々レッスンに励んでいます。そして今日のダンスと歌のレッスンが終わる頃、トレーナーさんからそんな言葉を投げかけられました
トレーナー,ダイハチのプロデューサー……から話を受けたちひろさんからか。まぁとにかくダイハチからの依頼でね。ダイヨンのユニットが今度ライブを行うから、それをサポートするバックダンサーにほたる君を推薦できないかという話があったんだ
ほたる,なるほどですね……
トレーナー,君は今日まで弱音を吐かずにレッスンに打ち込んできた。体力も、アイドルとしての実力もしっかり積まれている。今の君なら、バックダンサーではあるがステージへ送り出す事に不安はない。ここらでアイドルの舞台というのを経験する事は君にとって大きな糧になるだろう。私としては推薦をするのは賛成だ。だから、あとはほたる君の気持ち次第なのだが、どうだろう
ほたる,…………。それだけ評価してもらえているのはとても嬉しく、私としてもそれに二つ返事で応えたい、と思います。ですが、もしかしたら私の不幸で、他のアイドルさんに迷惑がかかってしまう可能性も捨てきれません。そう考えてしまうと、次のもう一歩は二の足を踏んでしまいます。でも……。……はい。私で良ければ……迷惑をかけないように精いっぱい頑張ってお手伝いしますっ。私なんかを高く買ってくれているプロデューサーさんやちひろさん、トレーナーさんに期待をされているのなら、それに応えたいという思いが私の背を押してくれます
トレーナー,うん、君ならそう言ってくれると思ったよ。だから実はもうダイヨンには話を通してあるんだ
ほたる,えっ……そうだったんですか……？
トレーナー,万が一断られたらどうしようかと考えていたが……杞憂で済んだな。よかったよかった
ほたる,そう言って気っ風よくトレーナーさんは笑います。それだけ私は信頼されているんだと思うと、もっと頑張るぞっという気持ちが湧いてきます
トレーナー,それじゃあ早速だが、明日、ダイヨンのユニットと顔合わせだな
ほたる,分かりました。……ちなみにそのユニットってどういう方たちなんですか？
トレーナー,ああ、君はまだこのプロダクションに入ってから日が浅かったな。ダイヨンの今売り出しているユニットは、宮本フレデリカ君、堀裕子君、神谷奈緒君の３人からなるユニットだ。そこにダイハチからほたる君、そしてダイキュウから君と同じく新人の鷹富士茄子君をバックダンサーに迎えたクインテットユニットをライブの中で数曲行ってもらう予定だ。レッスンの担当は変わらず私だ。明日からもよろしく頼む
ほたる,はい、分かりました。よろしくお願いします
宮本フレデリカ,宮本フレデリカでーすっ。ぼんじゅーる。今日からよろしくね
堀裕子,堀裕子と申します！特技はエスパーです！よろしくお願いしますね！
神谷奈緒,神谷奈緒です。えーっと、まぁ……よろしくお願いします
トレーナー,うむ。この３人が、ダイヨンで売り出し中の３人だ。それでこっちが……
ほたる,し、白菊ほたると申します……精いっぱい頑張りますので、よろしくお願いします
鷹富士茄子,鷹富士茄子です。みなさん、よろしくお願いします♪
トレーナー,うむ
ほたる,バックダンサーの推薦を受けた翌日、レッスンルームで全員の顔合わせ中です。なんだかみなさん、すごくキラキラしてるような気がします。一番ちんちくりんで暗めな私は少し負い目を感じてしまいそうです
トレーナー,さて、それでは早速レッスン……といきたいところだが、一時的とは言えクインテットのユニットとしてのステージだ。お互いがお互いの事を知っていないと動きも合わせられないだろう。なので、本日は自主レッスン……つまるところ、お互いの親睦を深めてくれ。私からの今日の指導はここまでだ。あとは任せたぞ、フレデリカ君
フレデリカ,はーい、任されましたーっ
トレーナー,うむ。では、そのように頼む
ほたる,そう言うと、トレーナーさんはレッスンルームから出ていきました
フレデリカ,さて……っと。それじゃあ今日１日、トレーナーさんから場を任された訳なんだけど……何しよっか？とりあえずトランプでもする？
奈緒,いやなんでトランプなんだよ……
フレデリカ,んー？みんなでババ抜きすれば仲良くならない？あ、ていうかフレちゃんトランプ持ってないや。ユッコちゃん持ってない？
裕子,スプーンなら肌身離さず持ってるんですけどトランプは残念ながら持ってないですね
奈緒,ずっと思ってたんだけどさ、スプーンを肌身離さず持ってるのってさ、なんかおかしくないか？
裕子,何を言うんですか、奈緒さん！エスパーと言えばスプーン、スプーンと言えばエスパー！これは切っても切り離せないものなんですよ！
奈緒,えぇ……
茄子,ふふ、面白い方たちですね♪
ほたる,３人のやり取りを見て、隣にいる鷹富士茄子さんは楽しそうな微笑みを浮かべています。私はと言うと、３人のやり取りに呆気に取られていました。でもこのまま黙っていてはどうしようもないので、頑張って発言します。あ、あの……
フレデリカ,はーい、なんだい、えーと……ほたるちゃん？でいいのかな？
ほたる,は、はい、大丈夫です。……それでその、みなさん方はどういったユニット……なんでしょうか
フレデリカ,よくぞ聞いてくれましたっ！。私たちは３人合わせてカプリスエスパーオトメ！。ユニット名に深い意味はないっ！ってウチのプロデューサーが言ってた！だから多分ないと思う！。リーダーはアタシ、カプリス担当らしいフレちゃんだよ～。お気軽にみんなもフレちゃんって呼んでね～
裕子,ちなみにエスパー担当は私です、エスパーユッコです！お二人もエスパーに自信があるなら、私と一緒に世の為人の為にさいきっくぱわーを使いましょう！。で、オトメ担当がこちらの奈緒さんですね！
奈緒,……ああ、あたしはオトメ担当……らしい。気が付いたらそうなってたけど、特にオトメとかそういう柄じゃないから、普通に接してくれ。見て分かる通りウチの2人はアレだから……迷惑かけるかもしれないけど……その、よろしくな
ほたる,い、いえ、そんな……私の方こそ迷惑をかけちゃいそうで……
フレデリカ,それで、ほたるちゃんと……茄子さん？
茄子,はい。お好きなように呼んでくださいね
フレデリカ,はーい。それじゃあカコさん！とほたるちゃん！今日からよろしくね～。何か抱負とか意気込みみたいなものがあれば是非どうぞー
ほたる,あ、はい……その……いきなりでこんな事を言うのも申し訳ないんですけど……私の不幸体質がご迷惑をおかけしないように頑張ります……
裕子,不幸体質ですか？
ほたる,……はい。その、私の周りには不幸が寄ってきやすいみたいで……靴ひもが切れたり、手に取ったカップがいきなり割れたり……とか、そういう可愛いものからプロダクションが倒産したりとか重い話まで……色々と……。ただこのプロダクションに来てからはそういう事は減ってきているので……でも不安は不安なので……
裕子,それはつまりほたるちゃんもエスパーだと言う事ですね！？
ほたる,えっ
裕子,大丈夫です、エスパーユッコはどんなエスパーでも受け入れますよ！ほたるちゃんが悪いさいきっくぱわーをおびき寄せたら、私の正義のさいきっくぱわーでむむむーんとやっつけますね！
ほたる,あ、はい……ありがとうございます……？
奈緒,あーほたる、ユッコの言う事はそんなに真に受けなくていいからな？全部冗談だと思って聞き流して平気だから
裕子,ひどいですね奈緒さん！ならば見せましょう、これがエスパーユッコのサイキックスプーン曲げです！。むむむむむ～……はぁー！
ほたる,裕子さんが手に持つスプーンになにやら念？を送り込み、気合十分な声を出しました。でも銀色のスプーンに特に何か起こるという事もなく、ただレッスンルームの照明を反射してキラキラしているだけでした
裕子,……どうやら今日はさいきっくぱわーが足りないようですね
フレデリカ,そんな日もあるよね～
奈緒,いやそもそもさいきっくぱわーとやらがまともに発動したの見た事ないけどな……。それで、えーと、茄子さん？からは何かありますか？
茄子,はい～。えーと、そうですね……ほたるちゃんが運が悪い……というなら、私は運がいい方……なんですかね？。あんまり赤信号とかに引っかかりませんし、電車間に合わなかったなーと思ったらちょっとだけ運行が遅れてて間に合ったりしますし
裕子,つまり茄子さんもエスパーですね！？
茄子,そうかもしれないですね♪
裕子,おおお……ほたるちゃんと茄子さんとエスパーユッコのさいきっくぱわーが合わさり最強に見える……！
フレデリカ,やったねユッコちゃん、仲間が増えたよ～！
奈緒,もうツッコミ放棄しよ
ほたる,運がいい……いいなぁ
茄子,いえいえ、運がいいとかそういうのって、結局気の持ちようだと私は思いますよ？
ほたる,そう……ですかね……
茄子,そうですそうです。例えば……運行が遅れて、私が電車に間に合ったってさっき言ったじゃないですか。あれだって急いでる人からすれば迷惑な事ですし、もしかしたら原因になった誰かが申し訳ない気持ちになってるかもしれないですよね。そうなると、私の幸運のせいで誰かに不幸な思いをさせている……って事になりません？
ほたる,……確かに……そうかもしれませんけど……
茄子,逆に言えば、その原因となった誰かのおかげで、私のようにギリギリ電車に間に合ってラッキーだったなって人もいると思うんです。ほら、そう思えば、私の幸運は誰かを不幸にしていますし、ならきっとほたるちゃんの言う不幸だって、誰かの幸運になってるんですよ。突き詰めちゃうと栓のない水掛け論になっちゃいますけどね。でも、自分の不幸のおかげで誰かが幸運になった……そう思うだけ、ちょっと幸せじゃないですか？
ほたる,…………。その茄子さんの言葉は目から鱗が落ちる思いでした。自分自身の不幸にしか目を向けていなくて、ただ俯いて下を見続けていた私の足元に光が射したような気持ちです
茄子,それに……見向きもされない希望には、生きているだけで素晴らしいと毎日言って聞かせてるって、ウチのちょっと変わったプロデューサーも言ってました
ほたる,ダイキュウのプロデューサーさん……ですか
茄子,はい♪いつもちょっとよく分からない事を言う人なんですけど、その言葉には私もすごく頷けるなーって思うんです。生きているだけで幸運だなーって。まぁでもプロダクションの中でもちょっと変わった方に分類されるプロデューサーですからね。いっつも部署の人に何を言ってるか分からないって呆れられてますし、私もそれ以外の言葉は話半分に聞き流してますけど
ほたる,……私のプロデューサーさんもそんな感じですね……ふふ。変な言葉遣いとちひろさんとのやり取りが脳裏に思い浮かんで、自然と笑みがこぼれました
茄子,あ、ほたるちゃんの笑顔……すごくかわいい
ほたる,え……
茄子,なんていうんでしょう、こう……思わず撫でくり回したくなる系の可愛さですね
ほたる,そ、そうですか……？
茄子,はい、とても素敵な笑顔を見れて、私は幸運だなって思いました♪
ほたる,あ、ありがとうございます……。そう言って微笑む茄子さんの笑顔こそ、心が温かくなるような素敵なものだと私は思いました。カプリスエスパーオトメの皆さん、それに茄子さんと顔を合わせてから、１週間が経ちました。自由気ままで奔放な人だと思っていたフレデリカさんは、やっぱりリーダーに選ばれるだけあって、とても気遣いが上手な方でした。最年少の私の事をよく気にかけて頂いていますし、５人で合わせてダンスをする時にも周りに目が配れていて、すごく視野の広い方なんだと思いました。逆に一番奔放だったのが裕子さんでした。さいきっくぱわーの高まりを感じる、という理由でちょっとダンスの振り付けを変えてみたりして、それにフレデリカさんが乗って踊って見せたりと、よく皆を笑顔にしてくれました。明るく朗らかな方で、一緒にいるととても楽しい人です。そして2人が悪ノリを始めると、すかさず奈緒さんが軌道修正をしようとツッコミを入れています。大体はフレデリカさんと裕子さんの勢いに流されてしまいますが、それでもきっと奈緒さんがいないと歯止めが効かなくなって明後日の方向に暴走してしまうのでしょう。私や茄子さんの心配もよくしてくれますし、とても優しい方なんだと思いました。だからオトメ担当なんですね、と本人に言ったらはぁ！？べ、別にあたしはそんなキャラじゃねーから！2人が暴走すると困るからやってるだけだかんな！と顔を赤くしながら返してきました。そしてそんな様子をフレデリカさんにからかわれていました。茄子さんは臨時のクインテットユニット内で最年長という事もあり、いつも落ち着いた態度でレッスンに励んでいました。私と同じ新人なのに、常に余裕のある雰囲気があって、とても頼もしく見えます。でもお茶目な一面もあり、裕子さんのエスパー講座にノリノリで参加してスプーン曲げを試みたり、フレデリカさんと一緒に奈緒さんをからかったり、手持無沙汰な時にとりあえずという感覚で私に抱き着いてみたりと、楽しい方なんだなと思いました。そんなみなさんの中に混じっている私、白菊ほたるですが……他の4人の方と比べると格段に見劣る気がしてしまいます。みなさんに余計な心配はかけさせたくないので、そういった事は顔には出さないようにしていますが、どうも裕子さん以外はなんとなく察してしまっているようです。この不安や劣等感といったものは、頑張ってレッスンに励んで、どうにか本番前までには拭いたいと思います。本番……カプリスエスパーオトメの２ｎｄライブまであと3週間です。オーバーワークにならない範囲で……頑張らないと
トレーナー,よし、今日はここまでだ。うん。ライブまであと2週間だが、なかなかいい形になってきたな。新人のほたる君と茄子君は初めてのステージになる。焦りや不安を感じる事もあるだろうが、決して無理をしてはいかんぞ
ほたる,はいっ
茄子,はい
トレーナー,一度考えてしまうと不安はずっと付き纏うものだ。そういう時は頼れる先輩方にアドバイスを貰うんだ。みんな通った道だからな、きっといい意見を貰えるだろう
フレデリカ,アドバイスは任せろ～ばりばり～
裕子,お任せください！何でも聞いてくださいね！
奈緒,……いや２人とも緊張とかそういうのから遠い人間だろ……
トレーナー,ふふ、案外これくらいの気の持ち方がいいかもしれないしな。それでは、また明日
ほたる,トレーナーさんはそう言うと、レッスンルームから出ていきました。……焦りや不安を感じる事もある。そのトレーナーさんの言葉が私の中で何度も反芻されます。レッスンもしっかりやって、多分、私が思う以上に私は出来ているとは周りに見られているのでしょうが、それでも不安は消えません。私自身の出来もそうですが、何かライブ中にアクシデントが起こったらどうしようとか、本当に考えていてもしょうがない事も脳裏に浮かんできます
茄子,ほーたーるーちゃん
ほたる,え――わっ。そんな事を考えて暗い顔をしていたからでしょうか、茄子さんの腕が私をギュッと包み込みます
茄子,あはは、ほたるちゃんは小さくて本当に可愛いですね♪
ほたる,か、茄子さん、その、レッスン後ですし汗が……
茄子,あ、ごめんなさい、私の汗、気になります？
ほたる,いえ、そうじゃなくて……私の汗が嫌じゃないかなって……
茄子,それなら気にならないから平気でーす♪。それより……やっぱり何か不安ですか？
ほたる,…………。茄子さんからの言葉に私は黙りこくってしまいました。不安も当然ありますが、同じように新人で、きっと不安や緊張も私と同じようにあるだろう茄子さんに気を遣わせてしまった事が申し訳ないです
フレデリカ,ほうほう、ほたるちゃんは明日への不安を抱え込んでるんだね
裕子,それなら私たちの出番ですね！ユッコのお悩みエスパー相談室です！
奈緒,よし、ほたるの悩みを聞くからまずはエスパーは捨てようか、ユッコ
ほたる,カプリスエスパーオトメのみなさんも私と茄子さんの周りに集まってきました。その優しさが胸に響きます。それが意固地になっている私の口を開かせてくれます。不安は……やっぱりあります。私自身の事もそうですし……やっぱり何より、ライブが無事に終わるかどうかって……ライブ中に何か問題が起こったらどうしようって……考えても仕方のないことなのに……
フレデリカ,うーん、それは考える意味があるんじゃないかな～？
ほたる,え……？
フレデリカ,ライブ中に問題が起こる事だってそりゃあるよ～。人間のやる事だもん。手配ミスとか、機材のトラブルとかさ。準備とか対策とかぜーんぶスタッフさんにしるぶぷれ～って丸々ポーイしちゃって、フレちゃんはなーんも考えませんっ！で、ライブが失敗したら悔みきれないもん。だから、アタシたち5人で、例えばこういう事があったらこうしよう、ああしようって考えるのはすっごく大事なんじゃないかなってフレちゃんは思うよん。そのきっかけをくれたほたるちゃんにはダイヨンから感謝状を贈ってもいいレベルだね～
奈緒,フレデリカの言う通りだよ、ほたる。というか、初めてのライブなのに周りの事まで心配出来るのってすごいと思うぞ。あたしなんか初めてライブの時、もう自分の振り付けとか間違えないようにってそれだけしか考えられなかったしな
裕子,奈緒さんものすごくテンパってましたもんね！歩く時、右手と右足一緒に出してましたし！
フレデリカ,楽屋で緊張しすぎてて、フレちゃんとプロデューサーがナオちゃんの髪の毛モリモリセットして遊んでても全然気づかなかったもんねー
裕子,最後に私のスプーンを簪みたいに刺しても気付かないで、そのままステージに出そうになってましたね！
奈緒,だぁー！それはもう昔の話だから忘れろよ！ていうかなんでお前らあんなに余裕だったんだよ！！
フレデリカ,いやー、あれだけ緊張してる人が間近にいると逆に冷静になっちゃうよねぇ
裕子,ユッコはエスパーやってますから！
奈緒,フレデリカはともかくユッコはワケわかんねぇ！
茄子,くすくす……やっぱりみなさんって仲良しで楽しい方たちですね♪ちょっと羨ましいです
奈緒,なら変わって下さいよ茄子さん……
フレデリカ,ひどい、アタシたちの事は遊びだったのねナオちゃん！
裕子,いやー！スプーンあげますから捨てないでー奈緒さん！
奈緒,うるせー！
ほたる,……ふふ。3人のやり取りに思わす笑ってしまいました。そのおかげで肩の力が抜けた気がします
フレデリカ,っとと、茶番はこれくらいにしておいてー、本題の真面目な話しよっか
奈緒,茶番って……
茄子,ふふ、そうですね
裕子,とりあえず何かあったら私のエスパーでどうにかする方向はどうですか！？
奈緒,いやユッコのそれは間違いなく何か問題起こす方だからな！？
フレデリカ,うーん、確かにっ
裕子,えー、そんな事ないですよ！それじゃあ奈緒さんは問題が起こったらどうするんですか？
