【地方,ローカル
ナレ,さーて、多少のハプニングはありましたが、一回戦小日向選手と雪ノ下選手の対決は会場の皆さんで判定お願いします！。お手元にある流・奉スティックのうち、ろこどるに相応しいと感じたチームのスティックを掲げてください！どうぞ！。ちなみに集計は、流川野鳥の会の皆さんが務めさせていただきます
野鳥の会,12345678…………
ナレ,どうやら集計結果が出たようです。票数は非公開とさせていただきます、ご了承ください。では発表します！男性票を多く獲得した、小日向選手の勝利です！！。雪ノ下選手は意外や意外、お子さんの票が多かったですね。相手が熊心くんだからでしょうか
雪乃,どうやら負けてしまったようね
ゆかり,お疲れ様でした
雪乃,負けたというのに、なんだか清々しい気分よ
ナレ,なお、由比ヶ浜選手、宇佐美選手の告白は特例のため、勝負には含まれません。ではでは、気を取り直してぇ～お次は由比ヶ浜選手と宇佐美選手の対決だー！
雪乃,由比ヶ浜さん、頑張って
結衣,任せて、ゆきのん
熊心,…………
魚心,モテモテっスね
熊心,人生初だがな
魚心,比企谷さん。お二人のこと、真剣に考えてるって……自分信じて応援してますから
熊心,ありがとう
魚心,だから、きっと答え……出してあげてほしいっス
熊心,……ああ。最悪の目が出たな……
ナレ,次の対決のテーマはー！。料理対決だーっ！
結衣,
奈々子,あちゃー
熊心,終わった……
魚心,由比ヶ浜さんって料理苦手なんスか？
熊心,苦手なんてレベルじゃねぇ……壊滅的だ
魚心,うわあ……
雪乃,…………頑張って由比ヶ浜さん
結衣,最悪だよ……あたし何の役にも立てない……
ナレ,お二人に作ってもらう料理は～。簡単で誰でも作れる、カレーだ！
奈々子,よかったぁ……
結衣,…………
ナレ,制限時間は一時間！その間、三回戦魚心くん対熊心くんの対決を皆さんにはご覧頂きましょう！
魚心,行くっスよ。アドリブで会場を盛り上げるっス
熊心,ああ
ナレ,捕食者と餌という前代未聞の対決
会場子供,魚心くんは食べられたりしないよー！
魚心,心配いらないよー
いろは,先輩頑張れ
みらい,ゆい先輩なら勝てます！
ナレ,宿敵熊心くんに挑む魚心くん。勝利の女神はどちらに微笑むのか！対決のテーマはこちら！。ダンス対決！
熊心,げ……。やらせじゃないのこれ。どんだけ都合よく出てんだよ
魚心,サイコロの目が全部ダンスっス……
ナレ,魚心くんといえば魚心くんソングとダンス！。では踊っていただきましょう！本日限りの熊心くんソング
熊心,黒歴史すぎるだろ……。とーれーたーてーホクホクのーサーカナーを引き裂いてー
いろは,酷い歌ですね
平塚,比企谷……
魚心,～せなかに背負って～
熊心,厳しさを忘れて～ほ～し～くな～いからぁぁ～
魚心,生まれてきたんだ～
熊心,サバイ～バ～ルで～。がおがお。がおがおがおがおクマーゴコロークン。がおがおがおがお～願いを込めて
魚心,熊心あれば～山心～
魚熊,クマクマクマーゴコロークン♪
熊心,もうヤケクソだ
いろは,なにを評価するのかさっぱりわかりませんよぉ…
平塚,成長したな、比企谷
会場子供,飽きたー
ナレ,じ、時間です！しゅーりょー！。魚心くんと熊心くん、ダンスが素晴らしいほうに点数をお願いします。なお、集計には流川野鳥の会の皆さんが、ボランティアとして参加して下さっています。集計が終わりました
熊心,……ダメだ勝てねえ……
ナレ,勝利の栄光を掴んだのは！
いろは,先輩！
ナレ,魚心くんだああああ！魚心くん圧勝！。入ってきた情報によると、熊心くんは怖かったという話です
魚心,疲労のため音声みらい
熊心,……負けちまったか
ナレ,２対０で流川市の勝利！……ではありません！
熊心,えっ？
ナレ,続いて料理対決の結果を見てみましょう！
結衣,…………
奈々子,まあ普通にカレーです
ナレ,30分前に完成していた宇佐美選手は無難な一品に仕上げてきたー！
奈々子,ありがとうございます
ナレ,一方、時間ギリギリまで粘っていた由比ヶ浜選手。見た目は普通にカレーです！大丈夫そうだー！
結衣,……が、頑張り……ました？
ナレ,料理対決の勝者には、なんと特別点が加算されます！由比ヶ浜選手が勝利した場合は同点となります
熊心,お約束か
ナレ,会場の皆さんは試食をお願いします！。それでは集計を取ります。集計は流川野鳥の会の皆さんが担当されています
雪乃,……由比ヶ浜さん
熊心,……由比ヶ浜
ナレ,集計結果が出ましたね。今回は接戦だぁ！
熊心,え？
結衣,…………
ナレ,２ポイント獲得のラッキーガールはこちら！。奉仕部！由比ヶ浜選手！
熊心,は？マジで？
結衣,よ、よかったぁ
雪乃,おめでとう、由比ヶ浜さん
結衣,ゆきのんに貰ったエプロン。嬉しくてこっそり料理の練習をしてたんだ～。簡単なカレーばっかだったけど
雪乃,由比ヶ浜さんなら勝てるって、信じていたわ
結衣,ゆきのん……
熊心,ほんとかよ。はぁ……一瞬休憩
魚心,ふぅ……熱いっス……。比企谷さん、由比ヶ浜さん勝ったじゃないっスか
熊心,……信じられん。あいつの料理が評価されるなんてな
魚心,それ、本人に言っちゃダメっスからね？
熊心,わーってるよ
魚心,それじゃステージに戻るっス
熊心,その……なんだ？……おめでとう、由比ヶ浜
結衣,ヒッ…熊心くん……ありがと
ナレ,アイドルを口説くダンディーゆるキャラ、熊心くんもデレデレのようです。さて皆さん、流川ガールズ対奉仕部の対決は引き分けに終わりました。ですが決着はつけてもらいます！。これより、互いに指名した助っ人を出し合い、最後のろこどる対決をして頂きます！
いろは,私の番来ちゃいましたか……
熊心,頼んだぞ
いろは,任せて下さい先輩
ナレ,奉仕部からはサポーターの一色いろは選手が参戦！。対する流川ガールズ＆魚心くんチームは、どなたを指名するのかーっ！
奈々子,まずいですね……野田ちゃんに頼みましょうか？
ゆかり,まずいわよね……
魚心,絶体絶命っス……
ナレ,ろこどるに大切な人徳が求められますね。流川ガールズを助けたい！という助っ人はいませんか？制限時間は５分！
みらい,ぅぅ……
熊心,……。名都借さんだったか？
みらい,……はい
熊心,なんかお前、俺と同じぼっちセンサーに引っかかってな
みらい,あの……私、別にぼっちじゃないですけど……
熊心,なら人間不信か？
みらい,いえ……恥ずかしがり屋で……人前が苦手なんです
熊心,俺はぼっちで人間不信で人前も苦手だ
みらい,そう……ですか
熊心,それが何か？みたいな顔してんじゃねぇ
みらい,ごめんなさい
熊心,俺も同じだ。この着ぐるみがなかったらあんなステージ上がったりしない、絶対にな
みらい,はぁ
熊心,以前なら着ぐるみ着ててもノーサンキューだったさ。むしろお前より酷いまである。でも、お前……可愛いじゃん。勘違いすんなよ……正直に褒めただけだ
みらい,ありがとう……ございます？
熊心,最近やっと自覚できた。この俺でも、大事な仲間って奴の存在をだ
みらい,……仲間
熊心,悔しいけどよ、雪ノ下や由比ヶ浜に頼まれたら俺は……今の俺は……きっと着ぐるみを着てなくてもステージに上がるぜ？最低最悪の気分でだけど
みらい,……
熊心,俺が弱いせいで、二人には告白までさせて恥かかせちまった。ま、普段なら絶対こんな偉そうに言ったりしねーんだが……いやほんとだよ？……むしろ出なくていいと説得する側だ。こんなんどこの上条さんだって話だぜ。でも……だ、ピンときたんだ。お前にも大事な奴らがいるんじゃないかと、な
みらい,大事な……
熊心,俺は間違ってるか？あいつら……絶対いい奴だぜ？
みらい,はい……ゆい先輩も……流川ガールズのお二人も……私にとって大切な……
熊心,答え……もう出てんだろ？一人で無理なら、俺も着ぐるみ脱いで出てやるよ……絶対嫌だけどな
魚心,……なっちゃん
みらい,ゆい先輩……。あの、ゆい先輩！私、出ます……
魚心,なっちゃん、なっちゃんは無理することないっス！
みらい,ゆい先輩、私は大丈夫だから
雪乃,比企谷くん、珍しいわね。あなたなら出なくていいと、逆に説得する側の人間だと思っていたのだけれど
熊心,ただの気まぐれってやつだ……雰囲気に酔ってるだけかもしれん
雪乃,かなり痛いことを言ってたわね
熊心,うっせ、ほっとけ
雪乃,弱さを肯定しない比企谷くんなんて、別人にしか見えなかったわ。……でも、嫌いじゃない
熊心,そうか。……まあ、俺みたいになってほしくねーんだよ……あいつには
みらい,あの……比企谷さん……
熊心,なんだ？
みらい,勇気……出ました……ありがとうございます
熊心,そうか。なら、いってこい
みらい,はい！。あの、比企谷さん。私と、友達に……なってくれませんか？
熊心,お前にはもういんだろ。大事な友達が、少なくても三人も
みらい,はい
熊心,俺なんか友達にしても何のメリットもない。悪いことは言わん、やめとけ
みらい,は、はぁ……
魚心,素直じゃないっスね
みらい,それじゃ……行ってきます
熊心,おう
雪乃,よかったの？
熊心,何がだ？
雪乃,彼女、名都借さん。あのまま頷いていれば、きっと友達になってくれたというのに
熊心,ぼっちの人間関係はな、……全く無いか狭く深くなんだよ。キャパシティオーバーってヤツだ……俺はまだ二人で精一杯だぜ
雪乃,それって……
熊心,言わせんな恥ずかしい
雪乃,ふふっ。あなたらしい捻デレね
熊心,捻デレ言うのやめろ
雪乃,あら。私と由比ヶ浜さんが大切なのよね？
熊心,はぁ？ばっかちげーし。残念でしたー。戸塚と小町ですーっ
雪乃,そういうことにしておくわ
熊心,……くっ
みらい,私、参加……します！
奈々子,みらいちゃん！？
ゆかり,これは……驚いたわね
魚心,なっちゃんが決めたことっス
みらい,三人は……大切な仲間だから
奈々子,みらいちゃん！
みらい,うぅ……苦しいです……奈々子さん
ゆかり,ありがとう、みらいちゃん
奈々子,ありがとね
みらい,……ゆい先輩、ゆかり先輩……
奈々子,あっ、泣かないで！みらいちゃん！
ナレ,緊急参戦！おーっと彼女は～流川ガールズ＆魚心くんを裏で支える名脇役！名都借みらいちゃんだぁ！
会場,誰？誰だろ？
みらい,皆さーん！こーんにちはー！///
会場男,なにあの子可愛い！
会場,流川ガールズよりかわいー！
奈々子,おいこら
会場,うおおおおお
会場男,みらいちゃん！
みらい,……皆さん
奈々子,恥ずかしがる必要はないんだよ
ゆかり,そうね。私たちもいるのだから
いろは,これはかなりの強敵ですね
みらい,ありがと……う……ござい……ます……
奈々子,みらいちゃんは、私たちのサポートをしてくれている大切な仲間です！。魚心くんの一番の親友でもあるわね
会場子供,そうなんだ～！すっげー！。みらいちゃん頑張ってー！
ゆかり,彼女はとっても照れ屋さんで、人前に出るのがとても苦手でした。でも、私たちのために無理してステージに来てくれたんです
会場,みらいちゃーん
みらい,私は演劇が好きです。でも、こんな性格だから……一生舞台なんて無理だと諦めかけていました……。これが……ありのままの、私。魚心くんではない、私としてのステージ。どうも、名都借……みらいです。う、魚心くんは……その、私の大切な……し、親友です……
魚心,……ボクの親友っス
奈々子,二人が同じステージに立てるなんて嬉しいです
ゆかり,そうね。きっと魚心くんもそう思っているんじゃないかしらね
魚心,……
いろは,名都借さん、私負けませんから。親友の熊心くんのために！
ゆかり,あらあら、いろはちゃんは熊心くんの親友みたいよ？
奈々子,おや？熊心くんが見当たりませんねぇ？ステージ裏に隠れちゃったのかな？
熊心,おぃぃ一色、何言ってくれちゃってんの？
奈々子,会場のみんなで呼んでみようか！
ゆかり,せーの！
会場,熊心くーん！！
熊心,くそっ、行くっきゃねぇ。みんなーありがとー……
奈々子,テンション低っ！
ゆかり,熊心くん、調子が悪いのかしらね？
会場子供,だいじょうぶ？熊心くーん
熊心,大丈夫だ、問題ない
いろは,声はイケメンなんですよねぇ
結衣,みんなで熊心くんに元気をあげよう！
雪乃,比企谷くん、無理矢理でもテンション上げなさい
結衣,お姉さんと一緒に元気パワー注入だ！。せーの！
会場子供,熊心くーん！！げんき出してー！！
熊心,もう全力でいくっきゃねえな……。きたきたきたーっ！！熊心くん元気百倍！！ヒャッハ～！！
平塚,それはないぞ比企谷
熊心,悪い子はいねがぁ！？悪い子は熊心くんが食っちまうぞぉ！？
会場子供,ひっ！
結衣,子供脅さない！
熊心,痛ぇ
雪乃,熊心くん？
熊心,みんなのお友達！熊心くんだよっ！？みんな仲良くしてね？
いろは,あんな先輩見たくなかった……
奈々子,熊心くんのテンションって浮き沈み激しすぎませんか？
ゆかり,だってななちゃん、彼は熊だもの
奈々子,あ、なるほどです
熊心,クマったな！宿敵にバレちゃったクマー！
会場,……
熊心,あ……れ……？
雪乃,ぷっ……ふふふふふ……
奈々子,え？
雪乃,あの比企……熊心くんが……あ、ありえないのだもの……ふふふ
結衣,今日は一生に一度の記念日かも
雪乃,ごめんなさい……ふふっ……あの寒いギャグで笑ったわけではないの
結衣,だよねー
雪乃,あの比企谷くんが、大真面目な顔であれを言っているのだと想像してしまって
結衣,意外と失礼だ？！
熊心,ボク森に帰ります……
ナレ,おーっと、熊心くんも森に帰ったようなので、お待ちかねの最終決戦！。流川ガールズ＆魚心くんvs奉仕部！これが最後の対決となります！
いろは,…………
みらい,…………
ナレ,最終戦のテーマはこちら！。演技対決！
いろは,…………
みらい,…………
ナレ,アイドルに欠かせない要素の一つですね。演技といえばドラマ、ドラマといえばラブストーリー！？では、いってみましょう！前半の悪夢再び
いろは,まさか……
ナレ,告白対決だぁ！
みらい,…………
太田,よし、これでいい。苦情がきて何か問題になっても、最初のアレも全部演技だったことにしよう
奈々子,演技って……みらいちゃん助っ人ってことになってるはずじゃ……
ナレ,告白といえば、本日モテモテだったあの方しかいないでしょう。先ほど森に帰ってしまった熊心くんを、皆さんで呼び戻してみましょう！。せーの！
会場,熊心くーん！
熊心,なにこれ拷問なの？。はーい
ナレ,熊心くんも帰ってきたことですし、さっそく告白タイム！当然演技ですからね～皆さん
雪乃,う///
結衣,恥ずかしいよぉ///
いろは,はい！私が行きます
ナレ,先手必勝！一色いろは選手が動いたぁ！
熊心,一色の告白とかなんの罰ゲームだよ
一色,…………
太田,無難に頼むぞ
いろは,熊心先輩、私の本当の初恋って……実は先輩なんですよ？
熊心,お、おう
いろは,前に葉山先輩が好きって言ってたじゃないですか。あれ、実は葉山先輩のこと……ただ私のステータス強化のための道具としか……見てなかったんです。本当に好きだったわけじゃないんですよ
ナレ,葉山先輩って誰ぇ？というか言ってること最低なんだけどぉ！？
太田,空気読んで空気！
いろは,皆から好かれるイケメンを落とせば、それは周囲の私に対する評価に繋がる。私はプライドが人一倍高くて、淡泊で、計算高くて、狡猾で、人付き合いは広く浅くで……熊心先輩にゆるふわビッチなんて言われるのも当然かもしれません
ゆかり,熊さんに告白って、なんだかシュールよねぇ
いろは,でも……先輩は私が今まで会ったどの男とも違いましたね？先輩のことが気になり出して、葉山先輩から色々話、聞いたりもしてたんです。私のために頑張ってくれた先輩。私を利用したのも先輩。なんでかなぁ……私、いつの間にか先輩が好きになってました
熊心,…………
いろは,おかしいですよねぇ？先輩みたいな駄メンズ、どこにも好きになる要素なんてないはずなのに……。私が名前を省いて、ただ先輩と呼ぶのは……熊心先輩だけなんですよ？。……恋なんて知らなかった。心のどこかで、他人なんて利用するだけの存在だと思ってたんでしょうね。こんな機会滅多にないですから、ぶっちゃけます。だってこれは……全部演技ですから。大好きです、先輩。先輩といるのが好き。先輩と話すのが好き。ちょっと引いちゃうような話を、ドヤ顔で言っちゃう先輩が好き。気づいてしまってからは先輩の全部が愛しい。こんなに私を惚れさせて……先輩どうしてくれるんですかぁ……私を弱い人間にしたのは先輩です。先輩は雪ノ下先輩や由比ヶ浜先輩から逃げ続けるような弱い人ですからね。恋人にするなら、やっぱり同じ弱い人間の私が適役ではないでしょうか？。だから、私を弱くした責任……取ってくださいね？
熊心,……っ。今の演技じゃなかったら落ちてるよ俺？てか演技だよね？なんかマジっぽかったんだけど……いや、騙されないって。これまで何度も騙されてきた俺には通じん
いろは,せんぱぁい、返事下さいよぉ？演技でいいですからぁ
熊心,まぁ……演技でいいなら。こんな俺でよければ……喜んで……とか……？
会場,
結衣,ちょっ！ヒッキー！？今のどういうこと！？
ナレ,なんなんだこれはぁー！子供の前でもやっぱりお構いなし！演技とは思えない一色選手の熱い告白！そして二人を振った二股男……熊心くんが、まさかのオーケーだぁ！
奈々子,かっこいいですね。いろはちゃん
ゆかり,そうね。ななちゃん
雪乃,え、演技よね？比企谷くん
熊心,まあな
いろは,えぇ！？酷いですよぉ先輩！私のことは遊びだったんですか！？
ナレ,比企谷！彼はもう熊じゃない！屑だぁ！……お子様の前で不適切な言葉を口にしました事、謝罪いたします。大変失礼しました。この劣勢の状況下で、名都借選手はどう動くのか！。お次は名都借選手！お願いします
みらい,く、熊心くん、聞いてください。わ、私はあなたの素顔。でも……たくさんの女性に好かれる方なのはわかりました
熊心,誰それ知らねぇ、そんな奴知らねぇ
みらい,私……は夢があります……。それは魚心くんと二人だけの秘密です。人前が……怖かった……私は臆病で、不器用な人間です……。そんな私の背中を……熊心くんはそっと押してくれました
魚心,突き飛ばしてたような気がするっス
みらい,魚心くんの隣に立って……ステージにあがる……そんな夢のような時間をくれたのは……熊心くんです。今も恥ずかしいけど、でも……気分は悪くないんです。あの……熊心くん、よかったら私と、とも、友達に……なってくれませんか？
熊心,俺と友達になっても、お前にメリットなんて一切ないと改めて言っておこう
ナレ,この熊何様だーっ！名都借選手の告白は健全すぎて逆に感動しますね
みらい,友達はメリットなんて考えない。なりたいからなるんじゃないですか？
熊心,ならお前の好きにしたらいい。お前が俺を友達だと思うんなら、そりゃもう立派な友達なんだろうよ
みらい,あ、ありがとう、ございます！
ナレ,どんだけ捻くれてるんだこの熊ーっ！。では両者終了ということで、判定のほうに移りたいと思います。時間もないことですし、今回の勝敗は私の独断と偏見で決めさせていただきましょう！。一色選手と名都借選手のこの対決。会場がすっかり静まり返る波乱の展開でしたね
熊心,静まり返っちゃうのかよ
ナレ,子供たちの前だというのにお構いなしの勇者、一色選手。どこまでも健全な名都借選手。勝者は当然！名都借選手に決定でーす！一色選手はあとで運営委員会よりお叱りが贈与されます、お楽しみに
一色,……えー
会場,あはははは
太田,悪くない反応だ。なんとか乗り切ったな
熊心,雪ノ下も由比ヶ浜も一色も三人とも俺を殺す気なの？演技でもステージで告白とか公開処刑もんだろ実際……
ナレ,見事奉仕部を打ち倒し、流川を救ってくれた救世主！流川ガールズ＆魚心くんはステージ中央へ！
ゆかり,行こ、ななちゃん
奈々子,はい！ゆかりさん
魚心,……
みらい,……
ナレ,続いて、惜しくも敗れてしまった奉仕部の皆さんもステージ中央へ！
雪乃,行きましょう、由比ヶ浜さん
結衣,頑張ろうね！ゆきのん
一色,ほら行きますよ先輩
熊心,おい引っ張るな、一色
ナレ,流川ガールズ＆魚心くんWith奉仕部で、魚心くんソング
流魚奉全員,うおうお♪うおごこーろーくん♪
奈々子,みーんなーの食卓を♪
結衣,彩る獲れたての♪
ゆかり,お魚オイカワ♪
雪乃,せなかに背負って♪
一色,やさしさを忘れて～
みらい,ほ～し～くないから
雪乃,生まれてきたんだ
結衣,ゆるゆるで♪
熊心,ぎょぎょぎょぎょっ！
流川ガールズ,うおうお♪うおうお♪
奉仕部,うおうお♪うおうお♪
みらい,うおごころ♪
奉仕部,WowWow♪WowWow♪
流川ガールズ,WowWow♪WowWow♪
奈々子,願いを込めてー♪
ゆかり,魚心あれば水心♪
全員,うおうお♪うおうお♪うおごこーろーくん♪
会場,うおおおおおお！
熊心,全員でお辞儀したあと、俺たち奉仕部は後ろに下がる。これからは彼女たちの舞台だ
結衣,歌って頂きましょう！流川ガールズソング！
熊心,俺には本物に見えた
雪乃,凄いものね、ろこどるって
熊心,まあな
結衣,あたしたちもやりたいね
一色,私たちも立派なろこどるじゃないですか。今日一日限りですけど
雪乃,……そうね
奈々子,この町は流川～♪
ゆかり,私たちの生まれた♪
二人,小さな町♪
ゆかり,いつでも元気♪ななちゃんと♪
奈々子,のんびり屋のゆかりさんと♪
二人,ゆるキャラの魚心くんもよろしくです♪。そのまませーの！。奉仕部の皆さーん！
結衣,聴いてくださーい！
雪乃,HelloAloneバンドアレンジ
熊心,俺たちは流川ガールズに張り合うようにステージ上を駆け回った。手を取り合い、４人の心が一つになった。俺の両手を宇佐美と小日向が握る。……着ぐるみ越しですげどね。同じように魚心くんの両手を雪ノ下と由比ヶ浜が握る。既に手を繋いでいた一色と名都借は、それぞれ小日向と雪ノ下と手を繋ぎ、８人が一列に繋がった
ゆかり,次の曲で本日最後となりました
雪乃,聴いてください。未来少女たち
奈々子,皆さんが喜びそうなものなんて、このデンガラ餅やみりんサイダーくらいしかありませんけど……よかったらお土産にどうぞ
雪乃,有り難く戴くわ
ゆい,お疲れ様っス！比企谷さん
八幡,よっす。三ヶ月みこぜ
ゆい,はは……ほんとに目が死んでるっスね
みらい,そうでしょうか？私は別に普通だと思います
八幡,なにこの子、戸塚二号なの？
ゆい,あぁ！ダメっスよなっちゃん！近づいたら食われちゃうっス！
八幡,食わねーよ
雪乃,……警察は何番だったかしら？
ゆかり,110番だと思いますよ？
雪乃,いえ、今のは皮肉混じりの……
いろは,愛情表現みたいなものですよねっ
ゆかり,あら、そうなのね？ななちゃん、警察呼ぼっか？
奈々子,なんで！？
結衣,あ～帰りたくないよぉ～ゆきのん！
雪乃,由比ヶ浜さん、我が儘を言うのはやめなさい。……気持ちはわからなくもないのだけれど
奈々子,よかった。この町を気に入ってくれたんですね！？
八幡,ああ。ついでに俺は流川ガールズのファンになったぜ
奈々子,あは……あはは……ありがと、比企谷くん目が怖いなんて言えないよぉ
ゆかり,でーも！ななちゃんはあげませんからね！？
八幡,え？ああ
ゆかり,ななちゃんは私のものなんだから！
八幡,もしかしてガチな人なの？お姉さまぁんっていうあの？どう反応すればいいかわかんねえよ。お、お幸せに……
ゆかり,ありがとう！八幡くんも三股はほどほどにね？お姉さんとのぉ、約束
八幡,……陽乃さんとは違った意味で苦手だこの人
奈々子,また遊びに来てくださいね？
結衣,うん！必ず来るから！ヒッキーが嫌がっても無理矢理連れてくるし
八幡,おい。……別に嫌なんて言わねーよ
いろは,捻デレですね、せーんぱい
ゆい,なるほどっス。比企谷さんみたいな人を捻デレって言うんスね
みらい,納得です
八幡,これ以上それ広めんなお前ら……
結衣,だったら素直にデレてよヒッキー
八幡,ばっかお前、俺ほど素直な奴はいねえよ？むしろ素直すぎて周囲が俺に気づかないまである
奈々子,それ胸を張ることかなぁ……
八幡,ぼっち舐めんな
みらい,友達……です
八幡,
いろは,一本取られたみたいですね先輩
ゆい,しょうがないっスから友達になってやるっス
奈々子＆結衣,上から目線だ？！
ゆかり,私はもう、奉仕部の皆さんは友達だと思っているわ
奈々子,私も！
ゆい,自分もっス
みらい,はい
八幡,俺生まれる場所ちょっと間違えたかもしんね
雪乃,あら、あなたが流川市で生まれたとしても、今と大して変わらないと思うのだけれど
八幡,いいや変わるね
雪乃,あなたのその、腐りきった精神は生まれる前からではないかしら
奈々子,うわ……
ゆかり,少し八幡くんに同情しちゃうかも
奈々子,元気出して。……サイン上げるから目怖いなぁ
ゆかり,弱った人にも優しく声を掛けてあげるななちゃん可愛い
雪乃,そろそろ行きましょう。平塚先生が車で待っているわ
結衣,うん。じゃ……みんな、ばいばい
奈々子,いつでも電話してね？
ゆい,メールで生存報告くらいするっスよ、比企谷さん
八幡,うーっす
奈々子,絶対しないよねこれ
いろは,では、一日限りのろこどる体験でしたけど、色々勉強になりました
奈々子,えっ？
ゆかり,ちょっと待っていろはちゃん。一日限りってどういう？
雪乃,私たち奉仕部は、正式にはボランティア活動を主とした部活動です。ですので、流川市からの依頼の一環としてろこどる活動をすることになりました
八幡,ボランティアっつっても、こんなのは俺たちの依頼の範疇に含まれないんだが、まあ今回は観光みたいなもんだ
いろは,私は無理矢理連れてこられました。こちらの先輩に
奈々子,あ～、私たちアイドルじゃない子たちと対決させられてたのぉ～！叔父さぁぁん！
ゆかり,ななちゃん少し落ち着こう？。でも凄いわね。あれだけの時間で歌と振り付けを覚えるなんて
結衣,えと、まぁ～うちは進学校ですからね～
八幡,お前はバカだけどな、由比ヶ浜
結衣,も～！バカっていうな！ヒッキーのバカ！
ゆい,由比ヶ浜さん、自分と同じ名前だから親近感わくっス
結衣,あ、それあたしも思ったぁ
八幡,……三ヶ月さんは先輩だぞ
結衣,ヒッキーうるさい
平塚,いい加減にしないかお前たち！
八幡,うげ……
平塚,明日まで話している気かね？私は一向に構わないのだが、その代わり君たちはここに置き去りだ。好きなほうを選べ
雪乃,わかりました。平塚先生
ゆかり,…………
雪乃,会えてよかったわ、小日向ゆかりさん
ゆかり,私もよ、雪ノ下雪乃さん
結衣,帰ったらメールするね
奈々子,うん。待ってる
ゆい,次会うときまでに答え出しておくっスよ？
八幡,……ああ。気は重いが約束する
みらい,比企谷さん、メールしてください
八幡,うん絶対する
いろは,この先輩は……
雪乃,反省会をします。比企谷くん、眠ってしまったの？まったく呆れるほど困った男ね
