魔王,ぐぅ……。ぎゃあああ……
勇者,なんでた？！何処にいやがる？
戦士,姿を消す……透明になるような魔法はないのか？
女魔法使い,そんなの聞いたことない、仮にあったとして、気配や魔力に私達が気が付かないなんてことある？
勇者,それすら消せる魔法があったら……とっくに全員殺されてる。それとも、狼狽えてる俺達を見て楽しんでやがるのか？
女兵士M,私達では敵わないよ……逃げよう
女魔法使い,そうね、少なくともみんな一か所に固まった方がいい
勇者,敵わないだと？俺様が負けることなんてありえねぇっ！必ず仕留めるっ！
衛生兵,でも何処にいるかわからないと……戦うことも出来ないッス
勇者,くそっ……
女兵士M,今朝から天候が少しずつ良くなってきてる、無理矢理だけど飛空船を飛ばせるかも……
勇者,！……おいっ！
女魔法使い,あ……
戦士,……
衛生兵,？
勇者,俺らの飛空船を調べてねぇぞ！
衛生兵,ああああ！！
女魔法使い,完全に見落としてた。修道院の外で、すぐ横に停泊してる…
勇者,バカだ、見落としてたなんてよ。あそこなら火炎魔法を身に纏う必要すらいらねぇ
衛生兵,みんなで行くッス！仕留めて帰りましょ。つ、ついた……さ、さむいッス
戦士,……そうか？わりと俺は大丈夫だな
女兵士M,あぅ、どんな鍛え方してるんですか……は、はやく中へ～
勇者,……。頭痛には波があるな……いてぇ
女魔法使い,いくよ
勇者,お、おぃ！
女兵士M,血、血です……血の跡が奥まで続いてます
女魔法使い,おし、カタをつけるよ！
戦士,……斬り刻む
勇者,魔族め、ぶっ……殺す！！
勇者達,……
勇者,なんで死んでんだよ……
衛生兵,また同じ様に切り刻まれてるッス
女魔法使い,こいつの仕業じゃなかったのかい？
戦士,この飛空船で一戦交えたようだな。周りが荒れてる
勇者,誰の仕業だ？！訳わからねぇ……。く……痛……
衛生兵,だ、大丈夫ッスか？
勇者,こいつの仕業じゃねぇってことは他の誰か？くそ……頭痛くて考えられねぇ
女兵士M,あああああっ！
勇者,どした？？
女兵士M,飛空船のメイン回路に傷が……これじゃ飛ばせません
勇者,んだと？！雪がやんでも帰れねぇじゃねーか！
戦士,……直せるか？
女兵士M,……あぅ……たぶん、直せると思います。時間がかかりそう……
勇者,ウスノロ女……兵士よりパイロットの方が向いてるな
女魔法使い,褒めてないような……
勇者,じゃウスノロ女は修理してくれ
女魔法使い,誰かが……魔族道化師を殺したんだよね？
戦士,…………そもそも、魔族道化師を逃がしてここまで連れてきた奴がいる
衛生兵,そいつが犯人ッス
女魔法使い,ひとつ、気になることがあるわ
勇者,なんだ？
女魔法使い,私、人を見ればだいたいその人が何属性かわかるんだけど
勇者,あん？
女魔法使い,この修道院の司祭や修道士達は皆、氷属性なんだよね。これだけ人がいて全員“氷”属性なんて異常
衛生兵,つまり、僕らよりずっと寒さに強いってことッスよね？
勇者,司祭のヤローなんか隠してそうだしな……ちょっと締め上げてみるか
衛生兵,僕もいくッス
戦士,俺が護衛でここに残ろう
勇者,それなら安心だな。衛生兵、女魔法使い、行くぞ。少し吹雪弱まったが、長くは外にいられねぇな
女魔法使い,あれ？入り口開かないよ
勇者,あ？
女魔法使い,鍵かかってる……
衛生兵,え、なんで？寒い……
勇者,おい！司祭さんよ！開けろっ俺達だ！
衛生兵,凍えるッス
女魔法使い,何なんだい……？
勇者,ん？
女魔法使い,？
衛生兵,ど、どうしたんですか？
勇者,気配が……
女魔法使い,囲まれてる
勇者,魔物はいなかったんじゃ？
衛生兵,え？！敵？！吹雪で視界がほとんどないッスよ
勇者,くるぞ！
修道士A,……
勇者,てめぇ……
衛生兵,う、うわあああああっ
修道士C,……
修道士D,……
修道士E,……
勇者,どーゆうつもりだ？てめぇら
女魔法使い,こ、殺す気？まさか全員グルだったのかい？！
勇者,そーゆーことなら、まとめてぶっ殺す！。ぐああああっ
衛生兵,わあああ！
女魔法使い,うわああぁっ
衛生兵,こ、凍りつく……くっ
勇者,へ、その程度で俺様に勝てるかぁぁ！。くらえぇぇ！
修道士達,…………ぅぅ
勇者,逃がさねぇぞっ！！
衛生兵,うぅ
女魔法使い,待って勇者、衛生兵が動けないわ
勇者,ちっ……二人は飛空船に戻ってろ。俺様は司祭を殺る
衛生兵,だ、大丈夫ッス……もう昔と違う
勇者,コロスッ！
女魔法使い,勇者……ま、待って
勇者,殺す、殺す、殺す……何もかも司祭の仕業だ。何の実験かは知らねーが、俺様をおちょくってた訳か。そーゆーつもりなら容赦しねぇぜ。どこだっ！司祭！ぶっ殺してやんよ。ハハッー。殺す、殺す、コロス……。なんだ？気分がいい……頭痛が綺麗に消えてる。ハハッー！おらっ！出て来いよっ！
司祭,神よ……この者は危険過ぎる……
衛生兵,司祭……お前が犯人
勇者,ふっ……観念したか。おちょくりやがって
司祭,“勇者”であっても、心の闇には勝てぬか
勇者,あ？俺様は何にだって負けねぇ
司祭,殺戮衝動に負けている。自分を保ててない
衛生兵,殺人鬼はお前達ッス。散々仲間を殺して
勇者,コロス……
司祭,なぜ、我々が仲間を殺す？
女魔法使い,……
司祭,自覚が無いなら教えてやるかの……勇者殿よ。お主が殺人鬼じゃ
勇者,……
司祭,殺された女学士が書いたお主の診断書を見つけた
勇者,俺様が……殺人鬼だと？
女魔法使い,う、うそでしょ
衛生兵,そ、そんな
司祭,自覚がなかったのじゃ、責めるつもりはない
勇者,俺様が気が付かないうちに、人殺ししていると？そんなわけあるか？！！！
司祭,“勇者”とはいえ病気には勝てん
勇者,お、俺様は何にも負けねぇっ！！！
司祭,内なる声に耳を傾けてみろ
勇者,…………親父、幻覚か。俺様が……。人間を……。この手で……。殺したのか？。俺は……
ぬいぐるみ,こ、こここ殺せー
勇者,殺人鬼だ
司祭,敵は勇者だ
勇者,殺ス……殺ス殺ス殺ス殺ス殺ス殺殺殺殺殺殺……。ぐああああああああっ！
女魔法使い,ゆ、勇者っ！！
勇者,はぁ……はぁ……コロス……ミンナコロス……
衛生兵,勇者様……？嘘ッスよね？勇者様！
勇者,うらああああっ！！。まけ……ねぇぇええっ……。ぐぅ……
女魔法使い,ゆ、勇者っ！！！
衛生兵,勇者様ぁぁっ！
勇者,狂気だと？……俺様はまけねぇ……
衛生兵,か、回復をっ！
司祭,ならん！勇者殿の覚悟を無駄にするのか
女魔法使い,勇者！
勇者,俺様を……殺せる、のは、俺様……だけだ……
女魔法使い,な、なに言ってんだい。あんたが死ぬわけないだろ！
勇者,平和な世界に……俺様……みたいなのは……必要ねぇ……
女魔法使い,だめだ！死ぬなよ！これからだろ！？私達の世界は！
衛生兵,そうっすよ！平和な世界を作ったのは貴方じゃないッスか！
勇者,俺様だけの力じゃねぇ……よ……衛生兵
衛生兵,はい
勇者,おめーは……じぶんの……新しい夢、か、叶えろ……よ
衛生兵,はい……
勇者,ハハッー…………。
女魔法使い,……うぅ
司祭,神よ……
衛生兵,戦いはもう沢山ッス。勇者様、僕は新しい道に行く。吹雪弱まってるッスけど飛空船飛ばせるかな。戦士さん、女兵し……さん？
女魔法使い,え？
衛生兵,うわああああああっ
女魔法使い,な、なんで？？！
衛生兵,な、何がどうなってる？！
女魔法使い,戦士は……どこ？。ちょ、ちょっと衛生兵！
衛生兵,うわああああああ……ああ。ヒイィ……
女魔法使い,修道士達もみんな死んでる……。ど、どういうことだい……生き残ったのは……私達と……
戦士,ウヘヘヘへ……。勇者は“狂気”、病気だったのか、ウヘヘヘへ俺もそうか
衛生兵,戦士さん……
戦士,勇者は死んだ。ウヘヘヘへヘッ……これでコソコソしなくて済む
女魔法使い,まさか……今までの殺人はすべてお前が？！
戦士,ウヘ、そうだ。俺が魔族道化師を逃した……奴の仕業に見せかけるためにな
衛生兵,あんたも同じ病気ッスか……
戦士,ウヘヘヘへ……みてぇだな。俺は自分の衝動をすぐに受け入れた。そしたら、すぐに頭痛はなくなった
女魔法使い,勇者は誰も殺してない……
戦士,我慢するからしんどいだろがーウヘヘヘへ
女魔法使い,……
衛生兵,……
戦士,なんだよ、ウヘヘヘへ……俺が笑ってると変か？。いつも無愛想っていってたじゃねーかよ！！
衛生兵,ど、どうしよ……とても勝てる相手じゃない。こ、殺される
戦士,ウヘヘヘへ……さぁ殺してやる。ゆっくり斬り刻む。しねぇぇぇええっ！！。え？ぐあああ……だ、だれだ？
？？,相棒……でめーに……あ゛ー、笑顔は、にあ゛わねぇよ
女魔法使い,ゆ、勇者！？
アンデット勇者,あ゛ー……俺様は゛、おめ゛ーを責めねぇ……
戦士,ウヘヘ……勇者、我が友よ、ウヘヘ
アンデット勇者,相棒……一緒に、だびでぎて……面白か゛ったぜ。じね……。ぁ゛ー
衛生兵,ゆ、勇者様。確かに死んでいたはず……
アンデット勇者,そうだ……俺ざまは、死んだ。何故生きてる？あ゛ー？胸に穴が空いたまま
女魔法使い,ゾンビ……
アンデット勇者,身体の感覚がねぇ……ぁあ゛ー……
衛生兵,なにが……どうなって……
女魔法使い,勇者……死して私達を守ってくれた……
アンデット勇者,あ゛ー……
王,ゾンビ勇者くん、あはは
アンデット勇者,俺様を゛……蘇らせだのは、おめーの゛仕業か
王,狂気にかかった者はバーサーカーとして、潜在能力を超えた力を出す
アンデット勇者,あ゛ー？
王,しかし、理性がなく見境なく殺してしまう。制御する為、キミを一度殺しゾンビとして蘇らせる。俺っちの下僕として。勇者くん、わかるだろ？俺っちが蘇らせた。俺っちが主だ…キミは下僕
アンデット勇者,……そうらじいな。ごれからお前の゛命令にはざがらえねぇ
王,そうだ。修道院へ送ったのは最強のキミを手に入れる為
アンデット勇者,王……いや、これがらは。“神”と呼ぶべぎか？……あ゛？
王,うにゃ。だいたい予定通りのシナリオだ、まさか自ら命を絶つとは思わなかったけどね。観てて面白い展開だったよ
アンデット勇者,……ずっと、見でだのか
王,あの二人はよくぞ生き延びた、素晴らしい
アンデット勇者,俺様は……死んでも生ぎ方をがえられながっあ゛。あ゛いづらには、あ゛たらしい道を生きてほじい……
王,キミは戦うことが一番似合っている。才能に恵まれ、求められるってのは幸せなことだ
アンデット勇者,……ごれから……何ずるつもりあ゛？
王,前の戦争でのすべての犠牲はゾンビとして蘇り、我がアンデット軍となる
アンデット勇者,……
王,再びゲートを開き、魔界に進軍するってわけよ
アンデット勇者,聖剣士……てめぇは戦いを望まねぇだろう。次会うときは敵同士かもな
王,俺っちは、すべてを反転させる……。さぁ……戦争を始めよう
[勇者,魔王倒したらやることねぇ
