このスレは,とある魔術の禁書目録
青ピ,ならカミやん。これから五人でお茶して行かへん？
上条,別にいいぜ。この面子で行くのも久々だな
姫神,上条君と一緒なら。喜んで。行く
吹寄,私も入ってるの？まぁ構わんが
土御門,あぁカミやん。どうやらそうも行かないにゃー
上条,なんで？
土御門,アレを見るにゃー
食蜂,上条さぁーん☆
青ピ,おや？常盤台の心理掌握ちゃんやないか！
姫神,......ちっ
上条,食蜂......また来ちゃったのね
土御門,ホラカミやん。行ってくるニャー
上条,え?あー分かったけど......アレ？
青ピ,なんや？
上条,いやーなんつーか、いつもだったらお前らここで上条さんを襲ってくるシーンなはずだが...
土御門,なーにを言ってるにゃー。可愛い子が待ってるのにそんな酷い事はしないぜよ
青ピ,そうそう、つっちーの言う通りや。ボク達との約束はいいからはよ行きや
上条,おっ、おう
土御門,(もうあの子の能力は喰らいたくないからにゃー)
青ピ,(さすがに操られるは勘弁だし、ここは我慢我慢や！)
吹寄,(私は秘密をバラされたくないし)
姫神,(またしても。私の出番。ここで終了)
食蜂,(そうそう。上条さんに手を出そうとすると、どうなるかおわかりのよーねぇ)
上条,食蜂
食蜂,こんにちは、また来ちゃったぁ☆
上条,結構待ったろう？
食蜂,そうでもないわよぉ。今来たばっかりだしぃ
上条,そう。んで今日は何の用でせうか？
食蜂,また上条さんの部屋に遊びに行っていいかなぁ？
上条,ああいいよ。インデックスも喜ぶし、それに...
食蜂,それに？
上条,いや何でもないや
食蜂,？
上条,(最近食蜂の事が気になるんだよな。一緒にいると楽しいし)
食蜂,今日はスーパーで買い物はないの？
上条,うーんこれといって狙ってる特売品はないからないな
食蜂,ふ～んじゃあ、このまま上条さんの寮に直行ね☆
上条,うおっ！急に抱きつかないでくれよ///
食蜂,あっ、照れてる照れてる！可愛いー
上条,コーラ！年上をからかうんじゃありません。ただいま
禁書,お帰りとうま。あっ！みさきいらっしゃいなんだよ
食蜂,お邪魔するね。インデックスちゃん
禁書,とうまお腹空いた。ご飯作って
上条,さっきホットケーキ食っただろうが
禁書,あれじゃあ私のお腹は満たされないんだよ！せめてその10万3000倍は用意してほしいかも
上条,なんでよりにもよってその数字？
食蜂,賑やかねぇ、スフィンクスちゃん
スフィンクス,にゃん
上条,とにかく、夕食までもう少し待て！上条さんには課題というデカイ壁を乗り越えなければならんのだ
禁書,えー
食蜂,課題？
上条,そうなんですよ。上条さんは人より成績があまりよろしくないもんですからよく出されるんですよ
食蜂,ふーんどれどれ......なんだぁ、こんな簡単ならすぐ終わるわよぉ
上条,え？
食蜂,いい、この式はこうして、こう解くのよぉ☆
上条,そういえば食蜂も常盤台だったな...
食蜂,何を言ってるのぉ？さっさと終わらせちゃいましょう。私が教えてあげるからぁ☆
上条,マジすか？
食蜂,勿論だゾ☆
上条,すげー30分で終わちゃったよ
食蜂,私の天才力にかかればこの程度はお茶の子さいさいよぉ。とりあえずお疲れ様
上条,サンキュー食蜂。これで堂々と提出できるぜ
食蜂,役に立ててなにより、でももっと勉強しなきゃダメなんだゾ☆
上条,善処します...
禁書,全くだね
上条,じゃあ少し早いが夕食にすっか。食蜂も食ってくか？
食蜂,勿論
上条,では料理にとりかかるか。えっと醤油は......あれ？
禁書,どうしたの？とうま
上条,醤油切らしてた...仕方がない。買ってくるか
禁書,早く戻って来てね
上条,すまんな食蜂。もう少し待っててくれ、それまでにインデックスの相手をしてくれ
食蜂,了解
禁書,ねぇみさき
食蜂,な～に？インデックスちゃん
禁書,みさきはとうまの事が好きなんだよね？
食蜂,え?な、何を言ってるのかしらぁインデックスちゃん
禁書,誤魔化しても無駄なんだよ。みさきがとうまに対する見方がどう考えても恋する乙女なんだよ
食蜂,......やっぱりわかっちゃう？
禁書,アレで気付かないのはせいぜいとうまだけかも
食蜂,ハハハ......そうよぉ私は上条さんの事が好きなのよぉ
禁書,全く。とうまって人はまた知らぬ間にまた旗を建てちゃうんだから
食蜂,もしかしてさ、インデックスちゃんも上条さんの事が...
禁書,うん！私だってとうまが好きなんだよ
食蜂,(やっぱりね...)
禁書,でも安心して、私の好きっていうのはみさきとは違うから
食蜂,え？
禁書,私の好きっていう感情は異性としてではなく家族としてとうまの事が好きなんだよ
食蜂,家族として？
禁書,実は私ね、ある事に巻き込まれて学園都市に逃げてきたの。そこで助けてくれたのが他ならぬとうまだったんだよ
食蜂,......
禁書,その後私はどこも行くあてもなく、住む場所もないからとうまの部屋に居候してもらってる。そしてとうまと一緒に住んでるといつも楽しくて嬉しい気持ちが湧いて、それがとうまに対する好きって感情が気づいたんだ。家族として
食蜂,インデックスちゃん...
禁書,みさきはとうまの事は異性として好きなんだよね？
食蜂,うん。他の男なんか考えられない程にねぇ
禁書,ただ...
食蜂,ただ？
禁書,とうまはあれでも結構モテるんだよ
食蜂,そうみたいね。なにせ私と同じ中学の御坂さんも狙ってるからね
禁書,短髪もそうだけど他に出すとしたら、あいさにいつわとかそれぐらいとうまを狙ってる女の子か居るんだよ
食蜂,すごいねぇ...
禁書,だからね、みさき。とうまの隣に立ちたいなら早く告白した方がいいかも。とうまは超がつく程の鈍感なんだから
食蜂,そうね分かったわぁ、本当だったらもう少し好感力を上げたかったけど、今日上条さんに告白するわ！
禁書,おお！迷わず決めたね
食蜂,私の決断力を舐めるんじゃないゾ☆
禁書,じゃあこの話はお終い。とうまが帰ってくるまで一緒にメタスラ3やるんだよ
心理目録,ご馳走様
上条,お粗末様でした
食蜂,それじゃあ帰るねぇ。上条さん、今回は送ってほしいなぁ
上条,食蜂がそう言うならば
禁書,とうま！ちゃんとみさきを送るんだよ。みさき！頑張って！
食蜂,ありがとねぇ
上条,？
食蜂,ねぇ上条さん。ちょっと寄って行きたい所があるんだけどぉ、いいかな？
上条,いいけど、どこに行くんだ？
食蜂,それは、着いてからのお楽しみぃ☆。到着と
上条,ここか...いつも上条さんが学校の登下校で通ってるとこだが
食蜂,こういう所なら私の勇気力も出やすいしぃ、ムードがあっていいからぁ☆
上条,ムード？
食蜂,上条さん！
上条,ん？
食蜂,これからあなたに大事な事を伝えたいの。聞いて欲しい
上条,おう...(いつになく真剣な顔だな)
食蜂,実は私は。前から上条さんの事が好きでした！宜しければ私と恋人になって下さい！
上条,食蜂、それ本気なのか？
食蜂,本気よ！嘘でこんなこと言う訳がない
上条,食蜂...
食蜂,返事聞かせて下さい
上条,(俺は...俺は食蜂の事どう思ってるんだろう)。(ただ確かなのは、食蜂といるとスゲー楽しい。もっと食蜂と一緒に居たいと思うって......あれ？)
食蜂,上条さん？
上条,(ハハハ...なんだ、そうゆうことか！)。ようやく分かったよ。俺はお前からの告白を受けて分かったよ。俺もお前が、いや食蜂操祈の事が好きだって事をな！
食蜂,本当に?
上条,実はな、前から食蜂の事が気になってたんだけど、それがなんのか分からなかったんだ。でも今食蜂が俺に告白してようやくその答えが出たんだ。もう一度言う、俺は食蜂が好きだ！
食蜂,嬉しい☆
上条,でも付き合うのが俺でいいのか？お前は超能力者で俺は無能力者。どう見ても釣りわないぞ？
食蜂,私はレベルで決めるような判断力はもってないわよぉ。それにその超能力者の能力が効かない無能力者の上条さんなら対等にいられるじゃない
上条,俺は不幸体質でもあるんだぜ？
食蜂,私はそんな不幸不幸言ってる上条さんと一緒にいれて幸せよぉ
上条,食蜂...
食蜂,もし誰かが上条さんを不幸にするならば。これで(リモコン)そんな幻想ぶち殺すわぁ
上条,食蜂......本当に俺でいいんだな？
食蜂,当たり前じゃない。両想いなんだからそこは付き合うべきじゃなぁい
上条,それじゃあ、宜しくな
食蜂,こちらこそ。ねぇ上条さぁん
上条,なんだ？
食蜂,恋人同士になったんだからこれからは名前で呼びましょう
上条,それもそうだな
食蜂,では私から、当麻さん！
上条,次は俺か、操祈！
食蜂,もう一回言ってぇ
上条,操祈
食蜂,もう一回
上条,操祈
食蜂,もう一回
上条,操祈...てか何回言わせるんだよ...
食蜂,だってぇ☆好きな人から名前を呼んでもらうのがこんなに心地良いと思わなかったもん
上条,そうかい
食蜂,えへへ
上条,(幸せそうな顔しやがって...これからはこの笑顔を守っていかなきゃな)
食蜂,当麻さん、今度の週末デートしましょう
上条,おう！いいぜ
食蜂,さて、もっとお話して行きたいけどぉ、門限が迫ってるから帰らないきゃねぇ
上条,気をつけて帰れよ
食蜂,またねー当麻さぁん
上条,またな操祈！。ついに上条さんにも春が来たぜ。これからが楽しみになりそうだ。帰ったぞ
禁書,どうだった？
上条,ん？何がだ？
禁書,みさきに告白されたんでしょう？
上条,え？何故知ってるの？
禁書,そうさせたのは私だからね
上条,インデックス......
禁書,みさきがあんなにもとうまに好き好きオーラ出しといてわからない訳がないんだよ。だから、みさきのために私が背中を押してあげたんだよ
上条,そうだったのか
禁書,それで、どうだったのかな？
上条,付き合うことにしたよ
禁書,本当に？良かったね、とうま
上条,ありがとな。これで上条さんにも春が来た訳だ
禁書,ただし
上条,ただし？
禁書,みさき以外の女の子と浮気しちゃダメ。この事をシスターの私に誓って欲しいんだよ
上条,当たり前だろう、俺は操祈一筋なんだぜ？大体上条さんは普段はモテない高校生なんだからさ
禁書,やっぱ噛んどくか
上条,いや!?何を言ってるのインデックガブ
縦ロール,はーいみなさん注目。ここで女王からみなさんにお知らせがあります
取り巻きA,なんでしょうか？女王からのお知らせとは？
取り巻きB,さぁ？わかりませんわ
縦ロール,それでは女王、お願いします
食蜂,えー皆さん、まずはおはようございます
取り巻き達,おはようございます女王！
食蜂,うむ！今日もいい元気ねぇ。早速本題に入るわよぉ。えーわたくし食蜂操祈はこの度とある高校の上条当麻さんと......お付き合いすることになりましたぁ☆
取り巻き達,......
食蜂,あれ？
取り巻き達,うおおおおぉぉぉぉ!!
食蜂,ちょ!?どうしたのぉ？
取り巻きA,おめでとうございます。女王！
取り巻きB,やりましたわね。恋愛ご成就おめでとうございます。女王！
取り巻きC,ではわたくし達は女王に胴上げして差し上げましょう
食蜂,みんなありがとう。てか胴上げ......いや、別にそこまではいいわよぉ
縦ロール,女王、ここは素直にご好意を受けましょう
食蜂,あのー縦ロールちゃん？何故ガッチリ掴んでいるのでせうかぁ？
縦ロール,さぁ、みなさん。我らが女王の恋愛ご成就にバンザーイ
取り巻き達,バンザーイ
食蜂,ちょっと待ってぇ。大学の合格発表じゃないんだから、それはやmきゃああああ?
縦ロール,バンザーイ
取り巻き達,バンザーイ
食蜂,やめてって！ああもう不幸だわぁ！。まだかな
通行人A,あの子可愛いいな
通行人B,あれって常盤台の心理掌握じゃね？
上条,ごめーん待った？
食蜂,一応時間通りだけどぉ、もう少し早く着てほしんだゾ☆
上条,悪りぃ、今度から気をつけるよ
食蜂,どうせ当麻さんの不幸とかで遅れたんじゃなぁい？
上条,......その通りでございます。行く途中に犬に追っかけられるわ、スキルアウトに絡まれてる女の子を助けたりとかで
食蜂,......相変わらずの不幸力ねぇ、でも安心して。今日は私が当麻さんの幸福力を上昇させてあげるんだゾ☆
上条,上条さんはその言葉を聞いただけでも感動ですよ
食蜂,はいはい。泣くのはまだにして、さっさと出発するわよぉ。手繋いでぇ
上条,あいよ
食蜂,まずはお茶して行きましょう
ファミレス,Joseph's
食蜂,ドリンクバーにはまったので、また来たくなっちゃったぁ
上条,その気持ち分かるよ。ここにすっか？
食蜂,いいわよぉ
浜面,あれ？上条じゃねーか
上条,ん？浜面か
滝壺,はまづら知り合い？
絹旗,浜面にまともな知り合いが居たとは超意外ですね。隣の子は...常盤台の超お嬢様じゃないですか！
麦野,浜面の知り合い？つか今上条つったな、まさか例の幻想殺しか？
食蜂,(この人って...もしかして原子崩し?)
上条,久しぶりだな。そちらの人達はお友達か？
絹旗,超違いますよ。こんな超浜面と友達なんて超嫌ですからね
麦野,しいて言うなら下僕だね
上条,浜面......お前って奴は......
浜面,違う！違うからね！いわゆるチームメイトといった所だよ。その雑用係だけど
滝壺,大丈夫、そんな下僕なはまづらも応援してる。ちなみに私ははまづらの彼女、宜しく
上条,何？浜面も彼女居たのか
浜面,まぁな、つか'も'ってことはその子が大将の彼女か？
食蜂,はぁーいその通りぃ、私常盤台中学の食蜂操祈でぇす☆
絹旗,おお?浜面の知り合いは超凄いですね。常盤台の子と付き合ってるなんて
麦野,食蜂操祈......そうか、アンタが第五位か
食蜂,そういう貴方は第四位の麦野沈利さんねぇ?
浜絹,え!?この子が超
滝壺,どうりでさっきから超能力者級の信号が出てたんだ
上条,つかこちらのお姉さんは第四位でせうか？。はいレモンティーお待たせ
食蜂,ありがとう。それにしても、浜面さんだっけ？当麻さんはいろんな友達がいるのねぇ
上条,最初は敵だったんけどな...しかしまぁ、アイツん所に超能力者第四位が居たとはね
食蜂,初めてお会いしたけど、結構綺麗だよねぇ。モデル体型だしぃ、出るとこは出てるしぃ、なんか悔しい
上条,何を言ってる。俺は操祈の方が断然綺麗だぜ！
食蜂,あらぁ、当麻さんったら。そんなストレートに言われると照れるんだゾ☆///
浜面,ちょ!?麦野?なんで鮭弁にタバスコかけてんの？
麦野,うっせー、急に辛いもんが欲しくなったんだよ！。(格下に先越されるなんて複雑だわ...)
滝壺,(はまづらもあんな事言って欲しいな...)
絹旗,浜面、アイスコーヒーを超取って来て下さい。ミルクとガムシロップは超入りませんからね
浜面,お前って無糖飲めたっけ？
絹旗,つべこべ言わずに超取って来いやァ！
浜面,分かったから蹴んないで下さい。地味に痛いから。(...それしても)
食蜂,ウフフ
上条,アハハ
浜面,(ったく大将の奴め、あんな可愛い女の子とイチャイチャしやがって、俺だって滝壺とイチャイチャしたいんだぞ!爆発しろ!)
食蜂,(いや、貴方に言われたくないわよぉ)。それじゃあ行きましょうか
上条,まずはどこに行くんだ？
食蜂,それは当麻さんに決めてもらうわよぉ。こういう時こそエスコート力が問われる所だゾ☆
上条,分かった、なら買い物に行こうぜ
食蜂,了解
上条,まずどこに行きたい？
食蜂,服が見たいな
上条,服か......あれ？常盤台って休日も制服着用義務があったんじゃないか？今操祈が着てるも制服だから...
食蜂,そうだけどぉ、こういうのはバレなきゃいいのよぉ
上条,まぁ、常盤台の校則は厳しいから破りたくなるよな
食蜂,うちの学校はちょっとやりすぎなのよねぇ。私の能力で校則を変えてやろうかしらぁ
上条,それは冗談にならないからよしなさい
食蜂,はーい。当麻さん！このスカートはどう？
上条,いいんじゃねーか？丈の長さも丁度いいし、似合ってると思うぜ
食蜂,本当?じゃあこれにするわぁ
上条,おいおい、それでいいのか？もっと選んだ方がいいんじゃないか？
食蜂,いいのいいの。彼氏が似合うって言ってくれた物ならすぐ購入しなきゃ
上条,そっか。しかし、買うのはいいとしてどこで着るんだい？
食蜂,良い所があるじゃなぁい。外はマズイけどぉ
上条,良い所って？
食蜂,当麻さんの部屋
上条,ああ、確かにそこだったら大丈夫だな
食蜂,でしょ？だから今度当麻さんの部屋に行った時に見せてあげるぅ☆
上条,そりゃあ楽しみだ
食蜂,それじゃあ会計してくるねぇ。それじゃあ次行きましょう
上条,今度は何処に行くんだ？
食蜂,そ・れ・は。着いてからのお楽しみよぉ。ここよぉ
上条,
食蜂,最近、また胸が大きくなったから新しいブラも買わないといけないしぃ。当麻さんに選んでもらいたくてぇ
上条,さて、上条さんはちょっとお花を摘みに
食蜂,そうは行かないわよぉ
上条,ちょ!?離してくれ！ここはマズイって
食蜂,それは無理☆
上条,なんでだよ？ここがどんな店なのか分かってんだろう？
食蜂,ランジェリーショップですけど何か？
上条,女性用の下着専門店に男がいたらおかしいでしょう。上条さんのヘン夕イ力が右肩上がりになるわ！
食蜂,大丈夫大丈夫♪
上条,大丈夫じゃねぇ!!周り見てみろよ。ホラ！見ろ。上条さんに対する冷たい視線とかが
食蜂,ああ。なら、こうしとけば問題なしよぉ
上条,あのー操祈さん、貴方様は何をしたんですか？
食蜂,ここにいるお客さんが当麻さんが女の子に見えるよう操作しただけ。これで当麻さんは堂々とお店に入れるわよぉ、やったねぇ☆
上条,なんでわざわざそこまでするん？
食蜂,だって当麻さんに選んで欲しいからぁ。当麻さんが選んでくれるなら、工ッチな下着だって喜んでつけるわぁ///
上条,しかしだな...
食蜂,じゃあ能力解いて通報され分かったからそれはやめて!
上条,(不幸だぁ...)
食蜂,その前に店員にも操作しとかないと
上条,抜かりねぇな。目のやり場が困る...///
食蜂,さぁ私にどんなの着けてもらいたいか選んでぇ
上条,マジで上条さんが選ばないと駄目ですか？
食蜂,うん！マジ
上条,(どうしたものか...)
食蜂,どれがいいのぉ？大人な黒？縞パン？それとも意外にもキャラパン？
上条,(仕方ない、決めるか)。俺は......これにする！
食蜂,白？
上条,そう。いたってシンプルな純白さ！操折はさそういった色が絶対似合うと思うんだ
食蜂,そう、当麻さんはこれがいいのねぇ、じゃあ買ってくる。ついでに何着か買っておこう。いっぱい買ったわぁ
上条,結構荷物あるな。どれ、上条さんが持ってあげますよ
食蜂,ありがとう。でも重くない？
上条,全然。むしろ軽い方だぜ
食蜂,当麻さんカッコいい！
上条,それは褒めすぎですよ
食蜂,だって本当のことだもん☆
上条,そりゃあどうも。じゃあそろそろ昼食にしますか？
食蜂,了解
上条,久々にお腹いっぱい食べれましたよ
食蜂,普段はインデックスちゃんに取られてばっかりだもんねぇ。でも支払いは当麻さんもちで大丈夫だったのぉ？
上条,あれぐらいならなんとかなるし、たまには上条さんが奢らないとな
食蜂,そう、でも無理して出さなくていいからねぇ。余裕力が付いて、たまに出してくれたらそれだけで嬉しいんだゾ☆
上条,ごめんよ。上条さんが無能力者だから
食蜂,はいはい泣かないのぉ。そういう風に自分を卑下しない
上条,ありがとう。操祈は優しいな
食蜂,当麻さん程じゃないけどねぇ。そうそう言い忘れたけどぉ。今夜ちょっと予定開けてくれる？
上条,ん？なんでだ？
食蜂,それがねぇ、取り巻きの子達が私と当麻さんのお付き合いを記念に勝手に交際記念パーティーを開催しちゃったのよ
上条,はい？交際記念パーティだぁ？
食蜂,そう。だから今日はデートの後に常盤台の寮に直行ねぇ☆
上条,いやいや待て！寮に直行って、上条さんを女子寮に行くってことか？それとインデックスはどうするんだ？そもそも何故そんなパーティが開かれるんだ？
食蜂,インデックスちゃんなら一緒に参加するから大丈夫。事前に説明はしたし、あの子に美味しい食べ物が出るとキーワード出しとけば100%参加力が湧くわよぉ。パーティーが開かれる理由は私が当麻さんと交際なさってると取り巻きの子達に言ったら歓喜しちゃってさ、その勢いで一人が女王の交際記念パーティーしましょうって言い出したのよ...
上条,その子達はさ、自分のように嬉しかったんじゃないか？食蜂を敬服してたんだから
食蜂,そうかも
上条,まぁ参加するのはいいとしても...
食蜂,しても？
上条,場所が女子寮って男の俺がそこに行っちゃマズイだろう
食蜂,心配しなくていいわよぉ。私の能力をお忘れで？
上条,あっ！そうだったな...なんか安心した
食蜂,じゃあ決まりねぇ。まぁ、当麻さんが来なきゃパーティーの意味がなくなるからねぇ
上条,さて午後を過ぎたし、次はどこにすっかな？
食蜂,次はどこに連れてってくれるくしらぁ？
上条,そうだな......よし！あそこに行こう
食蜂,どこなのぉ？
上条,それは着いてからのお楽しみな
食蜂,えー勿体ぶらずに教えてよぉ
上条,ダーメ。ちゃんと操祈が楽しめそうな所を今から行くんだから。分かった？
食蜂,はーい
上条,うむ、素直でよろしい
食蜂,じゃあ行きま...ん!?
上条,どうした？
食蜂,いや、何もないわぁ。いきましょう。(今誰かが私を見ていたような......気のせいか)
？？？,ふぅ、危なかったですネ。まさかね、しばらく会わない内にあの子が乙女になってたとは意外でしたネ。しかも相手が幻想殺しとは非常に興味深いものダ。まぁ頑張って下さイ
上条,到着しましたよ。ここでございます
食蜂,水族館ねぇ。当麻さんにしてはなかなか良いチョイス力じゃなぁい
上条,だろう？デートには持ってこいの場所だからな
食蜂,私水族館行ったことがないから結構楽しみだったかもぉ
上条,そうなのか？まぁ俺も行ったことがないけどな。(記憶喪失前だったら行った事あるかも知れんけど...)
食蜂,お互い初めての場所に入るのってなんか良いよねぇ
上条,そうだな
食蜂,じゃあ入りましょう
上条,おう！
食蜂,見て見て、あそこにウニいるけど、当麻さんに似てるぅ
上条,それ、絶対上条さんの頭を見て思ったろう？
食蜂,バレたぁ？そういえば当麻さんの髪型って普段ワックスかけてるのぉ？
上条,まぁな。いつも金欠な上条さんにとって雄一のオシャレなんだよ
食蜂,それだけじゃ当麻さんのオシャレ力は上がらないわねぇ。服装にも気にしなさい
上条,え？この私服ダメでした？
食蜂,ハッキリ言うけど地味なんだよねぇ。申し訳ないけどぉ当麻さんの服装はおブスファッションならぬブサイクファッションねぇ
上条,ぐはっ
食蜂,ごめんねぇ、私こういう事に関しては結構厳しいからぁ
上条,謝らなくていいって、思った事をそのまま口にしただけなんだろう？
食蜂,うん。でも安心して、今度からは私がコーディネートしてあげるねぇ☆
上条,それは頼もしい
食蜂,さぁ気を取り直していくわよぉ。ホラ！あっちに世界最大級のジンベエザメがいるわぁ。イワシの群れも凄かったし、ペンギンも可愛かったわねぇ
上条,上条さんはやっぱアッカンベーをするアザラシだな。あんな器用なアザラシがいたもんだな
食蜂,当麻さんより頭が良いんじゃないかしらぁ？
上条,操祈さん！？それを言われると結構ヘコむんですけど
食蜂,冗談冗談。ホラ、最後はイルカショー見て帰りましょう
上条,おお！すげー跳躍力だ
食蜂,10メートルぐらいは飛んだわねぇ
上条,その分飛び込んだ時の水しぶきが半端ない来るな
食蜂,だからスタンドの一番上に座ったんだねぇ
上条,それでも水しぶきは来たけどな
食蜂,そこが楽しいじゃなぁい
上条,まぁな。そういやイルカと言えば...
食蜂,どうしたのぉ？
上条,いや、なんかある人物を思い出すんだよな
黒夜,やっぱイルカは可愛いな
上条,黒夜...
黒夜,あン？誰だよ......って幻想殺しァ！
食蜂,また知り合い？今度は小学生ぐらいの女の子ねぇ
上条,何してんだよお前？
黒夜,見て分からンか？イルカショー見に来たに決まってンだろォ。つかお前の隣の女は誰だァ？
上条,彼女だけど
黒夜,ほう、お前に女が出来るとはね。つまりデート中か？
上条,そうゆうこと
黒夜,まぁ、幸せにな
上条,もう行くのか？まだショーの途中だぞ？
黒夜,何回も見たしな、それに2人の邪魔する訳には行かんからな
食蜂,あの子よく水族館に一人で来たよねぇ
上条,多分誘う友達が用事が入って行けなくなったって所だろう
食蜂,楽しかったわねぇ
上条,また来ような
食蜂,勿論
上条,もう空が暗くなりだしたな。そろそろ時間か？
食蜂,そうねぇ。それじゃあ、学舎の園へ行きましょう
上条,(ここに入るのもあの日以来だな)。そういやさ、パーティーの参加人数ってどれくらいなんだ？
食蜂,ざっと20人ぐらいはいるわよぉ
上条,結構居るな
食蜂,みんないい子よぉ。だからすぐに打ち解けられると思うわ
上条,そう？
食蜂,みんな当麻さんに会いたがってるわよぉ。王子ってどんな素敵な方ですの？とかで
上条,あの、王子って上条さんの事でせうか？
食蜂,そうよぉ。全く、みんな好き勝手に言っちゃってさ、当麻さんは私だけの王子様なのにぃ
上条,おいおい、上条さんはそんな王子様と言う柄じゃねーぜ。それを言うんだったら俺にとっての操祈は俺だけのお姫様だぜ
食蜂,あらぁ、また嬉しいこと言ってくれるぅ///
上条,本当の事ですから
食蜂,さらに元気が出たわぁ。もっとイチャイチャしたいけどぉ、時間が迫ってきてるから急ぎましょう。ここが私の住む寮よぉ
上条,へぇー。(御坂と白井が住んでるのとはえらい違いの構造だな)
食蜂,さぁみなさんがお待ちかねだから入るわよぉ
上条,おう
食蜂,ただいまー
上条,お、お邪魔します
縦ロール,お帰りなさいませ、女王！
取り巻き達,お帰りなさいませ、女王！
上条,
縦ロール,そして、いらっしゃいませ、王子！
取り巻き達,いらっしゃいませ、王子!
上条,......なんですの？これ？
禁書,あっ！とうまとみさき。デートどうだった？
上条,インデックス...
取り巻きB,このお方が女王とお付き合いなさってる王子...
取り巻きC,なんと素敵そうな殿方...ツンツンした髪型がイカしてますわ
取り巻きA,では、失礼して何枚か写真撮らせて頂きますわ
口囃子,王子！わたくしと握手して下さい
上条,え？ああ、はい
口囃子,きゃっ！王子の手をにぎっちゃいましたわ!
取り巻きB,あー口囃子先輩ズルーイ。わたくしも握手して下さい！
取り巻きC,わたくしもお願いしますわ！
取り巻きD,わたくしも！
縦ロール,コラコラ貴方達、王子がお困りですわよ
上条,
縦ロール,申し訳ありませんわ王子。なにせみなさまは王子をお会い出来ることを心から楽しみにしてたものですから
上条,別に謝ることじゃあ...
取り巻きB,あら、1番楽しみにしてたのは縦ロールさんじゃなくて？
縦ロール,なっ！？何を言いますの？///
取り巻きB,そうそう、ご自慢の縦ロールを入念にブラッシングし、今日だけでも5回シャワーに入って
取り巻きC,自室の部屋の鏡に向かって何度も挨拶する練習し
取り巻きD,決定的な証拠としてさっきから色紙のような物がスカートのポケットの中からチラチラ見えてますわよ。それで王子にサインしてもらうのではなくて？
縦ロール,なっ！なっ......///
食蜂,縦ロールちゃん...
縦ロール,女王！？決してわたくしはその......
取り巻きA,いいですわ王子、今度はすこし服をはだけていただいて...
取り巻きB,貴方はいつまで撮るつもりですの。しかも何気にちょっと過激な要求してるんですの。......ｱﾄﾃﾞｲﾁﾏｲｸﾀﾞｻｲﾃﾞｽﾜ
取り巻きC,そうですわ。王子が迷惑してますのよ。......ﾜﾀｸｼﾆﾓｲﾁﾏｲｸﾀﾞｻｲ
食蜂,オイ！聞こえてるわよぉ
禁書,みさきの友達は個性的があって面白いんだよ
食蜂,オッホン、とりあえず会場に移動しない？
縦ロール,そうですわね。では皆さん、移動しますわ
取り巻き達,はーい
禁書,ご飯ご飯♪
縦ロール,女王、荷物お持ちしますわ
食蜂,ありがとう。それと先に会場に行ってくれるぅ？私と当麻さんは後から行くからぁ
縦ロール,かしこまりました
上条,ん？すぐには行かないのか？
食蜂,先に見せたい物があるからぁ。私と縦ロールちゃんの部屋よぉ
上条,上条さんが入って大丈夫なのか？
食蜂,うん。全く問題ないわぁ
上条,そうかい。にしてもスゲーな、さすがお嬢様の寮の部屋と言った所だ
食蜂,そう？私からして見ればこんなの普通だけどねぇ
上条,うん。その台詞聞くとモノホンのお嬢様だわ
食蜂,こっちが私の勉強机ね
上条,ふむふむ
食蜂,それで、これが私のベッド
上条,随分デケーな
食蜂,そこに腰かけてちょうだい
上条,ああ、はい
食蜂,さて、私も
上条,......
食蜂,......
上条,......
食蜂,......
上条,(え？何この空気？)
食蜂,ちょっと当麻さん!
上条,はい！
食蜂,せっかく彼女がベッドに座ってんのよぉ。なんで何もして来ない訳？
上条,み、操祈さん？さすがにそういうのは早いのではないか？これからパーティーだってあるし
食蜂,そんなの関係ないのぉ。むしろ私が我慢出来ないからぁ
上条,ちょ！？待って操祈！
食蜂,と・う・まさん?
縦ロール,女王、準備が出来ましたのでお越し下さい
食蜂,(...ちっ！)。今行くわぁ。じゃあ当麻さん行きましょう、この続きはまた今度ねぇ☆
上条,ああ。(なんか良かったような残念だったような...)。ここか
食蜂,早速はいるわよぉ
禁書,あっ！とうまとみさきが来たんだよ
縦ロール,お待ちしておりました。女王、王子
食蜂,うむ
上条,(結構てのこんだ作業だな)
縦ロール,では、お二方はこちらへ来て下さい
食蜂,分かったわぁ
上条,ああ
縦ロール,お飲み物をどうぞ
食蜂,ありがとう
縦ロール,王子もどうぞ
上条,どうも
縦ロール,それでは始めます。えー我らが女王の交際記念を祝って、乾杯?
取り巻き達,乾杯?
禁書,乾杯なんだよ！
食蜂,はい当麻さん、アーン
上条,アーン
食蜂,美味しい？
上条,うめぇ
食蜂,こちらの料理は全部取り巻きの子達が作ったのよぉ
上条,そうなのか。中学生が作ったとは思えない程の出来栄えだよ！
禁書,こんな美味しい料理はおるそら以来なんだよ！
取り巻きB,所でこちらのシスターはなんですの？
口囃子,なんでも、住む所かがなく、困ってた所を王子が自分の部屋に居候させてあげたそうですわ
取り巻きD,まぁー王子ったらなんと優しいお方なんでしょう
取り巻きA,どれ、そちらのシスターにも何枚か撮らせていただきますの。それにしても凄い食欲ですわ
縦ロール,あのー王子？
上条,ん？
