・作中に原作には無い設定が出てきますが、御容赦ください,例、携帯電話など
後藤,今日も長門は元気だね～……
長門,ええい！水虫の薬を塗りながら人の話を聞くな！
後藤,いや、なに、対潜特化艦隊を編成しようと思ってねー
長門,対潜？
後藤,そ、戦艦は潜水艦に攻撃できないんでしょ？
長門,ま、まあ……水中の敵には砲撃が届かんが……
後藤,そういうワケだから、このリストに載ってる艦を連れてきてね～
長門,む？。むぅ……
後藤,戦艦が入れば戦闘海域の海流が安定して攻撃の手数が増えるじゃない？
長門,それでこの編成か……
後藤,てなワケだから、さっそく連れてきてよ
長門,……了解
後藤,何で不機嫌になるんだか……戦闘狂というワケじゃないみたいだが……
長門,連れて来たぞ、隊長
伊勢,対潜哨戒？
五十鈴,よく分からないけど、水雷戦なら、五十鈴におまかせよ！
由良,由良のいいトコ、見せちゃおっかなー……
千歳,旗艦はお任せください！
後藤,頼りにしてるよー
長門,……
五十鈴,それで、いつまでその任務を続ければいいの？隊長
後藤,んー……味方潜水艦の数が揃うまで
由良,味方潜水艦？
伊勢,へぇ……佐鎮の虎の巻にはそんな事も書いてあるのかい？
後藤,まあね～。それは潜水艦が揃ってからのお楽しみ……さっそく、任に就くように
４名,了解！
１６８,伊１６８です！イムヤって呼んでください！
５８,ゴーヤでち！
１９,イクなの～
後藤,着任お疲れさま～、いや～、もっと時間かかると思ってたけど、案外早く揃ったね～
長門,……それで、この子達に何をさせるつもりなのだ？隊長
後藤,それはそれとして……君達、仕事は好きかい？
５８,はい、ゴーヤ、お仕事大好きでち！
後藤,そうかそうか……。ある程度演習して、練度が上がったら、さっそく出撃してもらうよ
１６８,はい！どこの海域ですか？
後藤,オリョ－ル海
１９,オリョール海、なの～？
長門,なんでいまさら攻略済みの海域を……？
後藤,……みんなで幸せになろうよ？
１６８,な、なんか……
５８,悪い予感がするでち……
１９,た、ただいまなの～……
１６８,つ、疲れた……
５８,ろーどーきじゅんほーいはんでち！訴えるでち！
那智,お前達は今日もオリョール海周回か……疲れただろう、ゆっくり休め
５８,疲労がとれたら、またどーせオリョール出撃でち……
天龍,隊長も案外えげつないよなー……。しっかし、よく考えたもんだよなー
１９,それでも、攻撃が当たる時には当たるの～……
天龍,でも、お前ら、入渠時間はすっげー短いんだろ？
龍田,燃費も、格段に良いしね～
１６８,辞表の書き方って、どうやるのかしら？
天龍,まあまあ……
５８,今からでも他の基地に行きたいでち……
青葉,青葉、調べちゃいました！
天龍,青葉？何をだよ？
青葉,なんでも、潜水艦を使った資材確保は、何処の鎮守府でもやってるそうですよ？
龍田,あらあら～、そうなの～？
５８,救いは無いんでちか……？
後藤,お、ここにいたか、お前達
５８,げ
１６８,た、隊長……
１９,ちょっとは休ませて、なの～……
天龍,なんつーか……鬼だな……
５８,も、もうオリョール海は嫌でち～～～～～～～っ！！
長門,初戦突破だ！。了解した！
やる夫,千歳、中破！。ブッ！！
後藤,ん？どったの、やる夫君？
やる夫,な……なんでもありまへんお……
後藤,……マイクを外して
やる夫,す、すびばせんお……
後藤,いや、な～んも、それより、勝ったみたいだね。そこから敵主力部隊のいる場所へは行けそうもない？。ハズレルートを引いたか……お疲れさん、一旦帰投しよう。今日はお疲れさん
長門,それはいいが……准尉はどうかしたのか？
後藤,なに、ちょっと転んで鼻を打ってね……気にしない、気にしない
やる夫,隊長……すみませんお
後藤,それより、モーレイ海の手ごたえはどうだった？
長門,千歳が中破はしたものの……沖ノ島程の脅威は感じなかったな
後藤,ふむ
北上,沖ノ島みたいな複雑な海流でもないしね～
長門,了解
後藤,あ、やる夫君は残ってね～、ちょっと話があるから
やる夫,は、はいですお
長門,？
やる夫,すみませんでしたお、隊長……無様な姿をお見せしてしまって……
後藤,いいの、いいの、それより、今夜、一緒に飲みに行かないかい？
やる夫,……や、やる夫はお酒はあんまり強くない方で……。き、キレイなお姉さん……
後藤,どう？奢るよ？
やる夫,そ、そんな、悪いですお……
後藤,……泡の出るお風呂でもいいかな～……
やる夫,ぜひお供させてくださいお！
後藤,うんうん、素直でよろしい、じゃ、今夜、艦娘達に気付かれないようにな……
青葉,……青葉、聞いちゃいました！
やる夫,隊長、お待たせしましたお……
後藤,うん、じゃあ行こうか
？？,何処へ行こうというのだ？二人とも
やる夫,な、長門さん……！
長門,……。……
後藤,あー……こりゃダメだわ、相当怒ってらっしゃる……
那智,夜間の無断外出は禁じられている……部屋に戻れ、隊長
やる夫,げえっ！鬼の風紀番長、那智さん！
長門,……
後藤,まいったなー……
鳳翔,お酒の肴なら、私が作ってさしあげますから……
やる夫,艦隊のお艦、鳳翔さんまで……！
後藤,……ちなみに聞くけど、今回の話って、ドコまで広まってんの？。そりゃどーも……。諦めて、鳳翔さんの料理で宅飲みしようか、やる夫君？
やる夫,は、はいですお……
長門,……ﾊﾞｶ
後藤,ん？なんか言った？
長門,な、なんでもない！！早く部屋に戻れ！！
後藤,へいへい……。赤城の暴食を治してくれ？そりゃまたなんで？。俺は直に見たことないけど……そんなにひどいワケ？
長門,ひどいなんてもんじゃない、あれならイナゴの方がまだマシだ
後藤,仲間のお前さん方が言ったらどうなのさ、そんな事……
長門,言っても聞かんから、こうして隊長に頼んでいる
後藤,へいへい……それじゃ、まずは実態調査してみましょうかね……
千歳,お願いします、隊長
赤城,あ、隊長、お先に頂いています
後藤,おう、赤城
間宮,あら、隊長さん、食堂に来るなんて珍しいですね？
後藤,ま、たまにはね～、間宮さん、今日のオススメ、一つちょうだい
間宮,はい、今日のオススメは、豚の生姜焼き定食ですよ～
後藤,……赤城はラーメンか？
赤城,？いえ、隊長と同じメニューですけど……
後藤,ん？だが、そのラーメン丼ぶり……
赤城,あ、間宮さん、ご飯おかわりお願いします
後藤,……
間宮,はい、赤城さん、どうぞ～
赤城,？どうかしましたか？隊長
後藤,……いつもそんなに食べるワケ？
赤城,そうですね……最近、特に、演習の後なんかお腹が空いちゃって
後藤,……
赤城,あ、間宮さん、ご飯おかわりおねがいします
間宮,は～い
後藤,……ちなみに、それ、何杯目？
赤城,？七杯目ですけど？
後藤,なるほど……
羽黒,自給自足作戦……ですか？
龍驤,そないに逼迫してるんでっか？
後藤,赤城、お前に班長を任せる
赤城,私ですか？
後藤,あ～、静粛に。おー、こりゃまた立派なビニールハウスが出来たもんだね
赤城,はい、手の空いてる子が総がかりでやってくれました
後藤,そんじゃ、今日にも苗を注文するから、届いたら植えてね～
赤城,苗が届きました！さっそく手分けして植えます！
後藤,がんばってね～
赤城,明日にも収穫できるでしょうか？
後藤,んなワケないでしょ……水やりは適度にね～
赤城,は、はあ……
後藤,精が出るね～、赤城
赤城,はい、実が生るのが楽しみで……明日には収穫できるでしょうか？
後藤,バカな事を言うんじゃないよ……雑草取りはしっかりね～
赤城,……はあ
後藤,ん？どったの？赤城、ビニールハウスをじっとみつめて……
赤城,あ、隊長……野菜を育てるのって、大変なんですね……
後藤,そうだね～、農家の方々に感謝しなきゃね～
赤城,……
後藤,んじゃ、俺は雑務があるから、執務室に戻るわ
間宮,今日のオススメは、夏野菜のカレーと、トマトとキュウリのサラダですよ～
赤城,！ま、まさか、誰かが勝手に収穫して……！
後藤,んなワケないでしょ、普通に農家から仕入れた野菜だよ
赤城,あ、隊長……
間宮,赤城さん、いつも通り、丼ぶり盛りですね？
赤城,あ、い、いえ……ふ、普通盛りでお願いします……
間宮,はい、カレー、どうぞ～
赤城,あ、はい……
後藤,すまないね、間宮さん、さて、食うか
赤城,……
後藤,ん？どったの？赤城、食べないのか？
赤城,あ、いえ……い、いただきます……
後藤,そうそう、農家の皆さんに感謝しながらいただくように
赤城,ふぁ、ふぁい……
後藤,……うまいか？赤城……
赤城,ふぁい……おいひいでふ……
後藤,これで赤城も、食い物のありがたみを知っただろ
長門,何というか……婉曲的なやり方だな……
後藤,ガツンと言ったところで、喉元を過ぎたら熱さを忘れちゃうからね～
千歳,戦艦や空母達も、今回の件でそれぞれ考える事があったようです
後藤,そりゃ良かった……さて、ちょっと独りにさせてくんない？
長門,……？何故だ？
後藤,俺だって独りで考え事したい時もあんの……隊長命令だ
千歳,は、はあ……了解です
後藤,……気は進まんが……やるしかあるまい……。キス島か……長門は、怒るだろうな……
長門,電が第一艦隊の旗艦とはどういうことだ隊長！！あの子はまだ子供だぞ！！
やる夫,な、長門さん、落ち着いて……！
後藤,……。……キス島方面作戦だ
長門,何！？。だ、だが駆逐艦達はまだ幼い！子供を戦場に送る事に良心の呵責は無いのか！？
後藤,無いワケ無いだろーが……。フーッ……。知っての通り、俺は警察からの出向組だ
長門,知っている！それがどうした！
後藤,言わば、バーの雇われマダムみたいなもんだ……いつ呼び戻されるか分からん
長門,え……？
後藤,だから、後進の為に、こういう気の進まない仕事は片付けておきたいと思うワケよ
やる夫,隊長……それで北方海域を先に……？
長門,……
後藤,まあね……長門、聞いてる？
長門,……！あ、ああ……聞いている……。……！
後藤,どーぞ
長門,まず、駆逐艦隊と言っても、編成はどうするつもりだ？。……何故、その６名なのだ？。さらなる改装？千歳や北上のようにか？
後藤,そういうコト……さっきも言ったが、後の事も考えておかにゃならんのでな
長門,……
やる夫,なるほど……
長門,……無論だ！
やる夫,失礼しますお……隊長、軍部から艦娘が送られて来ましたお。今回は、新顔ですお
後藤,ん？
やる夫,入ってくださいお
比叡,比叡、入ります！金剛お姉さまに少しでも近づけるよう、頑張ります！
霧島,霧島です、艦隊の頭脳と呼ばれるよう、頑張りますね？
後藤,……ああ、金剛型の残りの娘たちだっけ……
比叡,アレ？
やる夫,金剛型四姉妹が揃った事で、第四艦隊が開放されますお
霧島,は、はぁ……
比叡,金剛姉さま、なんだかあの隊長さん、ずいぶん覇気の無い方ですね？
金剛,そんなコトないネー、ただ、今はチョット参ってるだけネー
霧島,参っている？。そうなんですか？
比叡,はぁ……
電,は、はい、大丈夫なのです
雪風,雪風も大丈夫です！
響,……問題ないよ、隊長
夕立,ワタシ、強くなったっぽい！
時雨,やるさ、見ててよ、隊長
綾波,がんばりますね？
後藤,……では、これより、キス島攻略作戦を開始する
時雨,夕立と響が中破……ちょっとマズいね……
夕立,ワタシ、まだ戦えるっぽい！
響,……問題ないよ
電,了解なのです！
長門,……
後藤,暴れるなよ、長門、特例としておおすみに乗せてやってるんだから……
長門,わ、分かっている！
やる夫,そろそろ次の敵艦隊と触接しますお……こ、これは！
長門,どうした！准尉！？
やる夫,敵エリート級戦艦確認！ほ、他の敵も、重巡など、全てエリート級ですお！
雪風,あうっ！
綾波,きゃあっ！
時雨,くっ！
電,は、はいっ！。隊長……ゴメンなさいなのです……
後藤,謝らなくていい……順番に入渠してきなさい
綾波,は、はい……
後藤,分かっていた……分かっていたが……
長門,隊長……
後藤,精神的に、相当キツイな、こりゃ
雪風,ゴメンなさい……隊長……また失敗です……
綾波,うぅ……
後藤,……気にしなくていい、順番に入渠したら、今日はもう休みなさい
時雨,うん……
後藤,けっこう詰んでるなー、こりゃ……
長門,気持ちは分からんでもないが……隊長が弱音を吐くな、士気に関わる
後藤,戦況分析か……そうだな
やる夫,南に反れれば、無傷で敵主力前のあの艦隊に挑むことが出来ますお
後藤,……
千歳,考えれば考える程頭が痛くなってくるわね……
長門,隊長、何か起死回生の策は無いのか？
後藤,……策はある……というか、一つしか無い
やる夫,本当ですかお！？
長門,策があるならば、もっと早くに言え！！。？
電,応急修理装備？
後藤,そ、いわゆるダメコンってヤツ
夕立,応急修理装備って何だったっけ？
響,……ダメコンはこの基地に６つしか無かったはず……
後藤,それを、お前達全員に装備してもらう
時雨,でも、それじゃ、この先何かあった時に困るんじゃ……？
後藤,俺も相当悩んだが……これ以上、お前達が傷つくのを見たくない
６人,！
雪風,大破さえしなければ……
後藤,ん？
雪風,大破さえしなければいいんですよね、隊長！？
後藤,まあ……そうだが……
綾波,大破しなければダメコンを消費しなくてすみます……
時雨,……やるさ！
雪風,幸運艦の二つ名は伊達じゃありません！雪風、頑張ります！
後藤,……分かった、ダメコンの積み忘れは無いようにな？
電,はいなのです！
後藤,……何？
長門,いや、子供達にはまっすぐに話すんだなと思ってな……
後藤,子供相手にひねくれた言いかたしたって、通じないでしょーが……
長門,そうだな……。……キス島、攻略できるといいな……
後藤,ああ……。よし、作戦開始！
やる夫,駆逐隊、東に流されていきますお！
後藤,東ルートか……あとは運だな
長門,……
時雨,南に海流が流れているよ、隊長！
夕立,今日の海流はよさげっぽい！
綾波,了解です！
響,了解……！
雪風,あうっ！。ゆ……雪風は……雪風は沈みませんっ！
時雨,了解！
夕立,敵艦隊、撤退するっぽい！
響,……雪風と夕立が中破、電が小破……大丈夫、いけるよ
電,まっすぐ流れてるのです！敵主力の方へいけるのです！
雪風,了解です！
後藤,さて……後は、敵戦力がいかほどの物か……
やる夫,まもなく触接しますお……こ、これは！
長門,どうした！准尉！強力な艦隊なのか！？
後藤,よくやった……帰投の準備に移れ。ふい～、もう、こんな胃に悪い戦いは御免だな……。さあね～？
長門,それにしても……本当にダメコンを使わずに勝ってしまうとは……驚いたよ
やる夫,同感ですお……
長門,フフ……帰ったら、皆をねぎらってやれ、隊長
後藤,そうだね～……俺のツケで、間宮さんのところの最高級パフェでも奢ってやってよ。あ、ヤベ。やれやれ……ま、いいか
長門,フフ……。う……うぅ……。ぐ、ぐうううううぅっ！！さ、酒匂！大丈夫か！？
酒匂,ぴゃあ……な、長門さん……酒匂は……も、もうダメです……
長門,な、何を言う！しっかりしろ！酒匂！！
酒匂,……出来る……こと……なら……平和な……時代に……生まれ……たかった……
長門,酒匂！お、おい、酒匂―――――――っ！！！！。ﾊｧ､ﾊｧ……さ、酒匂……！。……また、この夢か……
後藤,おお、長門、おはようさん、昨夜は凄い雨だったな
長門,……ああ、なんだ……隊長か……
後藤,ん？。どしたの？元気ないね～、いかんよ、若いモンがそんな事じゃ
長門,……悪いが、今は軽口に付き合ってる気分じゃない……。出撃への影響は出さない……今は、そっとしておいてくれ……
後藤,……ならいいが……。……なんだろね～？
伊勢,ああ、隊長、おはよ
後藤,ああ、伊勢、おはよう……なぁ、長門が元気ないみたいだが、原因とか知らんか？
伊勢,……あー……たぶん、また夢を見たんだろうね
後藤,……夢？
伊勢,……
後藤,何か知ってるなら教えてくれんか？部下のケアも上司の仕事だ
伊勢,……これは、アタシが言ったって、絶対言わないでおくれよ？
後藤,無論だ
伊勢,隊長も知ってると思うけど、アタシ達は軍艦の記憶を引き継いでいる
後藤,ああ
伊勢,……つまり、沈んだ時の記憶も、それぞれ持ってるってコトさ……
後藤,……ある程度は想像できていたが……
伊勢,アタシにも、呉で浮き砲台になって、後で解体された時の記憶がある……
後藤,そうか……
伊勢,長門は、特に……
後藤,……ん？ちょっと待て、戦艦長門の最期ってたしか……
伊勢,そう……。……クロスロード作戦、だよ……
後藤,……。仕事が遅いと、やんなるね～っと。キス島に続いて、アルフォンシーノ海域も攻略完了っと。今夜も雷雨か……。……誰だい？そんなトコに立ってないで、入りな
長門,……隊長……
後藤,ん？……長門？。……どうした、長門……？
長門,酒匂が……酒匂が……
後藤,酒匂……？
長門,酒匂が……何処を探してもいないんだ……
後藤,……
長門,う、うわあああああぁっ！
後藤,……よしよし、辛かったな……
長門,……
後藤,……落ち着いたか？
長門,……
後藤,……酒匂が、どの海域を落とせば来るのか、それは分からんが……
長門,……
後藤,俺の着任期間中の間は、探すようにはしてやるから……
長門,……隊長、やっぱり、いつかはここから出て行ってしまうのか……？
後藤,……たぶんな……
長門,……嫌、だ……
後藤,……
長門,……あの、な？隊長……
後藤,……ん？
長門,私達艦娘は、艤装を着けている間は、人間を超えた力を出せるけれど……
後藤,……
長門,艤装を外すと、普通の人間と変わらない力しか……出せない……
後藤,……
長門,……い、今なら、何をされても、抵抗できない……かも……
後藤,……部下に手を出したら、俺、クビになっちゃうよ……
長門,……そんなの嫌だ……！
後藤,どっちなんだよ……やれやれ……。それに……青葉がドアの陰から覗いてるぞ？
長門,！。あ、青葉ッ！！
青葉,青葉、見ちゃいました！あ、私に気兼ねなく、続きをどうぞ！
長門,で、出来るかっ！！この……！
青葉,エヘヘ……失礼しまーす！
長門,待て！逃げるな！
後藤,やれやれ……もう、大丈夫かい？
長門,う……
後藤,また心細くなったら、添い寝ぐらいはいつでもしてやるから
長門,う、うるさい！！さっきのは忘れろ！あれは一時の気の迷いだ！
後藤,へいへい……
長門,……わ、私はもう寝る！邪魔したな
後藤,ふーっ……
長門,おい！そこの男！止まれ！ここは関係者以外立ち入り禁止だ
？？,ああ、すまないね、アンタ、後藤さんの部下かい？
長門,？隊長の知り合いか？それでも、ここを通す訳にはいかん！
？？,そう言わずに……わざわざ東京から鹿児島まで来たんだから
長門,何と言われようと駄目な物は駄目だ！
後藤,あ～、長門、その人はいいの、お通しして
長門,隊長？いや、しかし……
後藤,松井さん、よく来てくれたね～、鹿児島くんだりまで
松井,まったくだよ……鹿児島県警にちょうど用事があったから良かったものの……
長門,……警察関係者か？
後藤,そ、これから大人の大事なお話があるから、ここは大目に見てよ
長門,しかし……機密保持の為……。……分かった、だが、なるべく他の子には近寄らせないようにしてくれ
後藤,りょーかい、さ、松井さん、鹿児島名産で、黒霧島でも飲みながらお話しましょーよ
松井,お、後藤さん、焼酎派に転向かい？
後藤,まあね～、こっちに来てから、いろいろウマい焼酎に出会っちゃってさー……
長門,……飲み会がしたいだけじゃないのか？
鳳翔,はい、こちら黒豚の角煮です。はい、分かりました、おつまみが足りなくなったら、いつでも呼んでくださいね？
後藤,あいよ～
松井,後藤さん……彼女も艦娘ってヤツかい？
後藤,ん～？そうだよ～、ナイショにしてね
松井,どう見ても、小料理屋の若女将にしか見えんが……
後藤,あんな見た目だけど、みんな強いんだよー、俺達なんか、一捻りにできるぐらいに
松井,本当かよ……？。ところで……ケータイ、盗聴されたって本当かい？
後藤,まあね～
松井,この部屋は大丈夫かい？
後藤,クリーニング済み……盗聴器は出て来なかったよ、俺の執務室にもね
松井,そうか……
後藤,それで、わざわざこっちに来たって事は、黒幕の目星がついたってトコ？。そうだな……小物臭いって印象を受けるな～
松井,ほう……
後藤,松井さん、内海……リチャード・王の事は覚えているかい？
松井,忘れようったって忘れられないよ……あれだけ大きなヤマは、そうそう無いからな。そうだな……。ああ、やっぱり警告だったんだ
後藤,そゆこと、んで、黒幕の正体は？
松井,シャフト・エンタープライズ・ジャパンの元専務、徳永だよ
後藤,徳永……ああ、内海の上司の、確か、裁判終わったんだっけ？。実際のトコロは？。違法なヤツ？
松井,いや、いたって合法的に献金している
後藤,グリフォン事件は、社内でも徳永を引き摺り下ろすチャンスだったろーに……。ほう……。……徳永に絞った理由は？。その、わずかな献金で飛ばされるんだから、公僕は辛いね～
松井,……
後藤,ん？どったの？
松井,後藤さん、これから後の話は、オフレコで頼むよ？
後藤,……何？。陸自で艦娘を？
松井,それに合わせて、陸軍の創設も極秘に検討されているとか……これをどう思う？
後藤,よろしくない風潮だねー……。ま、気をつけましょ、お互いに
松井,それで、カミソリ後藤には事案の全貌が見えてきているのかい？。おいおい……現役の刑事の前で、恫喝するなんて物騒な話、よしとくれよ
後藤,それもそうだ
長門,隊長、全員集まったぞ
後藤,うん、それじゃ、本日より北方海域艦隊決戦
榛名,北方海域……
赤城,艦隊決戦……
千歳,あの沖ノ島より……？
金剛,長期戦？
後藤,そうだね～、後で、俺の自腹で間宮さんのトコロのアイスでも奢ってやるか
北上,……それ、よけいに泣くと思うけど……
後藤,とにかく、戦術はいつも通りにするから、各員の奮闘を期待する、以上
６人,了解！
後藤,大淀さん、軍部にもいつも通りそう伝えといてね～
大淀,はい、了解です
後藤,頼むよ……
大淀,？
後藤,さて、どう出てくるか……
長門,どういう事だ、隊長！！明日の初出撃にＴＶ局が帯同するとは！！
赤城,私達は、極秘兵器ではなかったのですか！？
後藤,……
やる夫,お、落ち着いてくださいお、皆さん……我々も今朝しらされたばかりで……
北上,ＴＶ局が来るってホント？ヤバいね～、ちょっとは化粧しておいた方がいいかな？
長門,黙ってろ！北上！で、どういう事だ！？
後藤,……まあ、大体の見当はつく
金剛,どういうことネー？
榛名,プロパガンダ？
千歳,それは……どういう……
赤城,それはいいですが……プロパガンダとは？
後藤,謎の敵から国民を守るうら若き女性兵器達……国威発揚にはもってこいの存在だ
長門,！……我々は見世物になる為に戦っている訳ではないぞっ！！
榛名,取材を断る事は出来ないんですか？
やる夫,残念ながら、軍上層部の決定ですお……覆すのは無理そうですお……
金剛,気は進まないケド、やるしかなさそうネー……
長門,あと、聞き捨てならない事を言ったな？隊長への嫌がらせとはどういう事だ？
後藤,……まあ、今なら言ってもいいか……
長門,何だ？
赤城,何ですって！？
長門,そんな事はどうでもいい！それより、ＴＶ局の取材とは、まさか……
全員,！
金剛,そんなのにワザワザ付き合ってやる必要はないネー！
後藤,残念ながら、北方海域にＴＶクルーを乗せていくのは決定事項……軍部命令だ
長門,みすみす醜態を晒せというのか！？
後藤,おい、戦う前から敗北宣言かい？
長門,そうではない！そうではないが……！
後藤,あのな。俺は絶対勝て
長門,……
後藤,配役にミスキャストがあったら、監督は降りるぜ
やる夫,隊長……
６人,！
後藤,分かったら、午後の分の演習行ってこい
長門,了解！！気合入れていくぞ、お前達！！
全員,了解！！
後藤,……俺は薄汚い、小ズルい男だよ……それを分かってやったんだからな……
やる夫,……
後藤,やる夫君、君は俺のような人間になるなよ
やる夫,……善処しますお。それでも……やる夫だけじゃなく、皆、隊長の事を尊敬していますお……
リポーター,ＴＶの前の皆さん、こんにちは、今日は、海軍の対深海棲艦秘密兵器、艦娘
後藤,……
ょうが、実は、後藤中佐はこの基地に出向するまでは,あの
後藤,……
リポーター,それでは後藤さん、本日出撃する艦娘を紹介してください
後藤,はい、右から、長門、金剛、榛名、赤城、千歳、北上です
長門,……
リポーター,ひいっ！！
長門,失礼……うっかり副砲が暴発した
北上,……ざーとらしいよ、長門さん
後藤,あ～……不用意な発言は慎んでくださいね？彼女達は誇り高い精鋭ですから
リポーター,は、はひ……
後藤,それではこれから出撃しますので、おおすみに搭乗してください。これより作戦を開始します、ヘルメットは着用しましたね？
リポーター,はい……後藤さん、この北方海域とは、どんな海域なんですか？
やる夫,……何を白々しい……
リポーター,何か策でもおありで？
後藤,策などありませんな
リポーター,は？
後藤,私はただ、あの子達を信じて、後は天に祈るだけです
リポーター,はあ……
やる夫,艦隊、配置につきましたお！
後藤,よし……出撃！
やる夫,東に海流流れていきますお！
後藤,まずは初戦……焦らず、いつも通りの戦法で行け
やる夫,敵前衛艦隊と触接しますお！
後藤,被害状況は？。よし……進撃せよ、油断するなよ
ディレクター,……ﾁｯ
後藤,……何か？
ディレクター,いえいえ、何でもありません……
後藤,分かった、次戦に備えよ
長門,２戦目でこれか……さすが今までの海域とは違うな……
赤城,了解！開幕爆撃、いきます！
長門,よし、潰すぞ！
全員,おおっ！！
後藤,被害状況知らせ。海流は？。どうも敵主力方面に向かってるっぽいな、こりゃ……よし、索敵しつつ進撃せよ
やる夫,まもなく敵に触接しますお……こ、これは！？
後藤,どうした？
やる夫,敵フラグシップ級戦艦２隻！エリート級戦艦２隻確認！
後藤,恐れるな！制空値はこちらの方が上だ、１隻ずつ潰していけ！
リポーター,……どうかしたんですか？。！ひゃ、ひゃい！
後藤,……ま、敵がおおすみに攻撃してきた事は無いんだけどねー……
赤城,開幕爆撃！いきます！
北上,雷撃！いくよーっ！
長門,了解！全砲門斉射！てえーーーーーっ！！。私と金剛が小破、榛名、千歳が中破だ、いけるぞ！
赤城,北東へ流れています……恐らく、この先が敵主力です！
金剛,了解ネー！！
やる夫,敵フラグシップ級空母２隻確認！
後藤,戦艦は？
やる夫,いませんお！
後藤,よし！空母は夜戦で攻撃できない！随伴艦を撃破して、夜戦でしとめろ！。お疲れさん……帰ったら、宴会でもやるか……。へいへい……
リポーター,え～っと……勝利、ですか……？
後藤,ん？そうですが、何か？
リポーター,こ、今回の勝因は、ズバリ、何でしょう、後藤さん？
後藤,そうですな……。あいつらが、RightStuffだった……ただ、それだけですよ
隼鷹,飲め飲めーっ！ヒャッハー！
足柄,いちばーん、足柄、火を吹きまーす！！
後藤,やれやれ……結局こうなるのね……
天龍,おっ、隊長！飲んでるかー？
後藤,まあ、ボチボチな。ん……？それ、どっから聞いたの？俺は自分で言ってないはずだけど
天龍,青葉のヤツが調べたとか言ったなー、なんでも、はっきんぐとかいうやつで
後藤,へー……
青葉,青葉、入ります！それで、極秘任務とは何でしょうか？
後藤,よく来た……調べ物、得意なんだって？
青葉,ええ、まあ……
後藤,ハッキングも出来るみたいじゃない？
青葉,ま、まあ、嗜む程度には……
後藤,発言は正確に
青葉,大得意であります！
後藤,官公庁とかには、入れる？
青葉,軍部は少し難しいですけど……官公庁のＰＣなんて、ガバガバですよ！。はあ……大丈夫ですけど……。あ、あの……隊長……
後藤,……
青葉,こ、このデータは、ちょっと青葉には荷が重いっていうか、あの、その……
後藤,……今日、ここで見た事は記憶から抹消するように
青葉,えと、その……。りょ、了解です！！
後藤,これで点と線は繋がった……次は、こちらから攻めてみるか……。それじゃ、東京に出張してくる、留守は任せたぞ
やる夫,了解ですお！
大淀,何も隊長自ら軍部に報告に行かなくても……私が行きましたのに
後藤,なに、たまには大淀さんにも休んでもらわないとね～……野暮用もあるし
大淀,？
金剛,ソレにしても……
長門,……何だ？金剛……
金剛,馬子にも衣裳ネー
長門,う、うるさい！
やる夫,はいですお！
後藤,あ、そうそう、出かける前に、長門に渡しときたい物があるんだが……
長門,？
後藤,あ～、君、ちょっといいかな？取締役の徳永さんにお目にかかりたいんだが……
受付嬢,はい、アポイントメントはお持ちですか？
後藤,そんなもん無いよ
受付嬢,申し訳ありませんが、アポイントメントの無い方は、お通しいたしかねます
後藤,鹿屋基地の後藤が来たって伝えてよ、俺達、知らない仲でもないからさ
受付嬢,は、はあ……一応、問い合わせてみます、少々お待ちください
後藤,あっそ……じゃあ、こう伝えてよ
受付嬢,は、はあ……しょ、少々お待ちください
長門,？。……。了解した……
受付嬢,お、お待たせしました、徳永がお会いになるそうです
後藤,そりゃどうも。……いいか？
長門,構わん
後藤,これはこれは、徳永さん、こうしてお会いするのは初めてでしたな
徳永,ふん……警察畑の人間が何の用だ？また私を逮捕でもしに来たのか？。……まあ、かけたまえ
長門,……これが、隊長を貶めようとした男か……
徳永,それよりも、受付で何やら聞き捨てならない事を喋ったそうだな？
後藤,ああ、あれですか……。……イスラム国……
徳永,……
後藤,１０年前の２０１４年頃、中東で猛威を振るいましたな？
徳永,……それがどうした。……
長門,何だ……？隊長はいったい何の話をしているんだ？
徳永,……
シャフト・エンタープライズと共同で,ある物
徳永,……
後藤,……対ゲリラ戦用生体兵器、ＧＩシリーズだ
徳永,……むぅ……
長門,生体兵器……だと……？それではまるで……
後藤,ところでね、徳永さん、私は以前、幽霊とチャンバラした事があるんですよ
長門,？
徳永,……？何の話だ、急に？
後藤,いやね、霊や魂といった物に対して、一定の理解があるということです
徳永,それとこれとに、何の関係が……。……
後藤,焦っていたアメリカは、とある物
徳永,……
後藤,そうだ、兵士の魂ならいくらでもあるじゃないか……
徳永,……。……む……う……。……
長門,……まさか……
後藤,海上に漂う怨念……深海棲艦の出現だ
徳永,ぐ……
長門,！
徳永,う……。……
長門,！！
後藤,いやね、初出撃した時から疑問に思ってたんですよ
徳永,むう？
後藤,深海棲艦は、絶対に私の乗る、海自から供与された輸送艦には攻撃してこない
徳永,……それがどうした。……
後藤,それにですね
徳永,まだ何かあるのか。……何が言いたい。ぐ……！
長門,わ、私達の戦いの理由が、単なるデータ取りだと……！？
後藤,ええ、腹の立つ事にね
徳永,だったらこの話はこれで終わりだ、深海棲艦の脅威は現実に存在するのだからな
後藤,御自分のやった事をお認めにならないのですかな？
長門,何だと……！
後藤,……鷹巣大油田
長門,？
徳永,うっ……！
長門,隊長……何の話しだ……？
徳永,そ、それが……なんだというのだ……
後藤,おかげで、日本は資源輸入国から、一大資源自給国へと変貌した
