鬼瓦慎吾……呉羽ＦＣ,ファンクラブ
映画,崇めよ……！
アナウンサー,次のニュースです。本日午後２時頃、全国３か所の映画館で今日公開された映画その人を崇めよを観た観客数十名が、上映中に映画館を抜け出し、前に停まっていたマイクロバスに乗り込んで失踪するという事件が発生しました。映画の内容はその人を崇めよその人のもとに集えといったメッセージを何度も繰り返すもので、宗教団体による洗脳の可能性が高いと警察は見ています。警察は現在、失踪者の行方を調べています
山田,……
母,ああ……こんなことになるなんて……
父,夕子は一体どこに行ってしまったんだ……
コタロー,うああああああああん！お姉ぢゃああああああああん！
警察,今、警察が必死に行方を調べていますが……まったく足取りがつかめていない状況です……
山田,すみません……俺がついていながら……
父,いや、ケンちゃんはまったく悪くない……。夕子の作ったものを食べて腹を壊していたんだから当たり前だ……
母,だから男の子に食べさせるおにぎりを作る前にそんなとこ掻くなって言ったのに……！
山田,どこを掻いたんだ一体……
父,いや、むしろそのおかげでケンちゃんが洗脳されなかったんだ。不幸中の幸いだろう……
コタロー,ケン兄ぢゃん！お願い！お姉ぢゃんを捜じで！
母,もうケンちゃんの発明だけが頼りなの……！
父,僕からも頼む……！この通りだ……！
山田,今、捜索のための機械を考案していますが、すぐに実用化させることはできないでしょう……。今あるもので何とかできないものか……？
佐川急便,ちわー、佐川急便です。お届け物にあがりましたー
父,なんだ宅配便か……。あ、これはケンちゃん宛だな……。この前も間違ってうちにお隣宛のアダルトビデオ持ってきたろ、君
佐川急便,あれ、また間違ってました……？
山田,今はたまたま俺がここにいるからよかったものの……。いや待て、貴様アダルトビデオを間違ってこの家に届けただと……？
佐川急便,あ、ここにサインお願いします
山田,なに流そうとしてやがる。だいたい貴様先月も……む！この荷物は？！
母,どうしたのケンちゃん……？
山田,夕子を捜しだす妙案が浮かびました！よくやったぞ貴様！佐川急便の方には後で俺が賛辞とクレームの電話の両方を入れといてやろう！
佐川急便,あ、どうもっす
鬼瓦,うう……こんな夜中に何の用だよう……
鮫島,何でお前がクラスのライン知ってんだよう……
不動,もう俺たちのことはほっといてくれよう……
呉羽FC,うう……。山田さんに嫌われちゃった……。きっともう挨拶を返しても貰えない……。謝罪の言葉も見つからない……。てめえに対しては一つも悪いと思ってないけど……。山田さん……。もう死にたい……。うう……
山田,生きていけないとか言ってた割にピンピンしてて安心したぞ。それからややこしいから今後は呉羽に統一しろ。この一件が無事に片付けば、あいつは呉羽夕子に戻る
鬼瓦,何呼び捨てにしてんだこのタコ！
鮫島,さんをつけろよ、でこ助野郎！
山田,分かった分かった。それでお前らはまだ呉羽の身に何が起こったのかは知らないだろう
不動,……？何が起こったかって……？
鬼瓦,呉羽さんがどうしたってんだ？！
山田,お前らも映画館で洗脳された観客のニュースくらいは知っているだろう
鮫島,ああ……観客が集団で失踪したとかいう……
山田,あの中に呉羽がいた
鬼瓦,！
鮫島,！
不動,！
呉羽FC,！。！。！。！。！。！。！。！
鬼瓦,ってことは呉羽さんが行方不明ってことか？！
不動,け、警察はどうした？！ちゃんと日本中の警察が呉羽さんを捜しまわってるんだろうな？！
山田,日本中かどうかは知らんが、必死に捜査してくれている。しかし手がかりは何もつかめていないそうだ
鮫島,何やってんだよ日本の警察は！
鬼瓦,なんのために消費税収めてると思ってんだ！
山田,そこでお前らに協力を依頼したい。やってくれるな？
不動,……。でも警察ですら見つけられないのに俺たちが捜したところで……
呉羽FC,……。……。……。……。……。……。……。……
山田,……呉羽はお前らのことを、嫌いになったわけではないと言ってたぞ
鬼瓦,！
鮫島,！
不動,！
呉羽FC,！。！。！。！。！。！。！。！
山田,お前らのことをとっくに許してるとも言っていた。そんな呉羽は今頃、よく分からん教祖のおっさんを崇めて何してるんだろうな……
鬼瓦,てめえらあああああああああああああああああああああ！草の根を分けてでも呉羽さんを捜しだせえええええええええええ！そして教祖はブチ殺せええええええええええええええええええ！
呉羽FC,うおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおお！
山田,馬鹿どもは扱いやすくて助かる
鮫島,それでどう捜したらいい？！何かお前の発明品を使うんだろ？！
山田,その通りだ。先ほど洗脳マシーンオビディエンスを修理した。今からお前らは俺に洗脳され、人間の力を遥かに超えた嗅覚でもって呉羽夕子を捜しだすのだ
不動,きゅ、嗅覚って……。俺たちは犬じゃねえんだぞ……？
山田,この洗脳マシーンはただ言うことを聞かせるだけではない。対象者の内に眠っている力を洗脳によって呼び起こすことができる
鬼瓦,し、しかしそんなこと……
山田,俺も半信半疑だった。しかし見ろ！この昨日返された呉羽の英語の小テストを！期末で１２点とってた馬鹿が、今や筆記では満点！発音はネイティブ！英語ができると洗脳されてから、一度も英語を勉強していないのにだ！
鮫島,そんな馬鹿な……
山田,恐らく今まで耳にしてきた英語や、目に触れた英文を脳が総動員して思い起こしたのだろう。つまり、いつも呉羽とすれ違う度に鼻をクンクンさせていたお前らにも同じことが可能だと言える！
不動,な、なぜそれを……///
山田,安心しろ、あいつは馬鹿だから気づいていない。……それよりも、やってくれるなお前ら？
鬼瓦,当たり前だ！
呉羽FC,おう！
山田,お前らの嗅覚はどの生き物よりも優れている。遠く離れた呉羽夕子の匂いを追えるほどに
呉羽FC,俺たちの嗅覚はどの生き物よりも優れている！遠く離れた呉羽夕子の匂いを追えるほどに！
山田,どうだ？何か感じるか？
鬼瓦,感じる……感じるぞ……！
鮫島,匂う！呉羽さんの髪の匂いや汗の匂い、○○の匂いや△△の匂いだって匂うぞ！///
不動,なんていい香りなんだ……！その香りはまさに至福の一言に尽きる！///
山田,洗脳しておいてこんなこと言うのもあれだが、恐ろしく気持ち悪いなお前ら……。……まぁいい。とりあえずお前らに一台ずつバイクを用意したから、匂いを頼りに呉羽を捜してくれ
呉羽FC,おう！///
信者,教祖様ー！。教祖様ー！
教祖,私を信じよ。そして崇めよ。さすればそなたらの心の中に無限のパワーが宿るのだ
夕子,教祖様あ……
教祖,やや？！なんだか今日はやけにかわいいのが来てるぞ！///
幹部,今日の映画による布教で新しく入った信者です。名前は山田夕子だそうです
教祖,夕子ちゃんか……。なんと麗しい顔つき……そして控えめなバスト……。私の下半身に無限のパワーが宿るのを感じる……///
幹部,山田夕子、こちらに来なさい
夕子,はい……
教祖,おお、夕子よ。そなたは数多くの信者の中でも抜きんでた心の清さを持っておる
夕子,ありがとうございます……。教祖様にそう言って頂けるとは……感激の至りです……
教祖,この団体では心の清さに従って上納金を定めている。心の汚れたものは浄化をする必要があるため何百万という上納金を持って来なければならぬが、そなたのように心の清い者は１円も納めなくてもよいぞ
夕子,お金ないので助かります……
教祖,しかしだ……。いくら清いとは言ってもそなた自身、心に何らかの負い目があるはずだ。そうであろう？
夕子,はい……この前１１人の男子の睾丸を蹴り飛ばしました……。その内何人かは嫌な感触がしたので……もしかしたら潰しちゃったかもしれません……
幹部,怖っ！なんて心の汚れた女だ！
教祖,そこでだ。その少し負い目のある心を全て清くするために、そなたは清い私と共に心と体を重ね合わせる修業をせねばならん///
夕子,いえ……あたしはケンちゃんのお嫁さんなので……そういうことはできません……
教祖,？！そなたはまだ高校生であろう？！すでに結婚をしておると言うのか？！
夕子,結婚はしてないけど……お嫁さんなんです……
幹部,恐らく付き合ってる状態のことを言っているのでしょう。巷では彼氏のことを旦那と呼ぶ女性もいるのだとか……
教祖,そうであったか……。ところでそのケンちゃんとやらと私のどちらが大切なのだ？
夕子,教祖様のことはもちろん崇拝しています……。でもあたしはケンちゃんのお嫁さんです……これは揺るがない事実なんです……
教祖,こ、これはかなり強い暗示にかかってるぞ……。こんなに可愛い子を洗脳して嫁にするとは一体何者なのだ、ケンちゃんというのは……？！
幹部,どうしましょう？
教祖,ここは無理にでも修業場に連れていくしかなかろう……。すまんが最寄りの修業場の予約を取ってくれんか？
幹部,はい。ベッドのサイズはキングサイズでよろしいでしょうか？
教祖,よいよい///
鬼瓦,山田……ここから呉羽さんの匂いがするぞ……
鮫島,間違いない。僕の嗅覚もそう言っている……
不動,表向きはただの雑居ビルって感じだが、地下にはかなり広い空間があるようだ。そこから数多くの人間どもの臭いと呉羽さんの芳醇な香りが漂ってくる……
警察,君らからは若干犯罪者の匂いがするけどな……。だいたい君らの乗ってるバイク、値札ついてるけどどこで手に入れた？あと君ら、ホントに免許もってんだろうな？
山田,今はそんなことはどうだっていい
警察,まあ今はそんなことはどうだっていい。ここに必ず被害者達がいるはずだ。外に停まっているマイクロバスもいい証拠だ。先輩、俺いつでもいけますよ！。よし、突入だ！
教祖,では夕子、さっそく修行場へ向かうとしよう///
夕子,だ……だめです……それは……いけません……
幹部,こら、抵抗するんじゃない
夕子,あ……
教祖,さあ来るのだ///
警察,おらあああああああああああああああああああああ！。警察だああああああああ！全員床に伏せろおおおおおおおおおおおおおおお！。撃ち殺すぞコラああああああああああああああああ！
幹部,ひっ？！警察？！
教祖,うろたえるでない！信者たちよ！
信者,教祖様の危機だ！。教祖様をお守りしろ！。この命に代えても！
警察,ぐっ！信者たちが盾になっただと？！。どうします先輩！俺、射撃には自信あるんで信者ごと教祖を撃ち抜くことならできますよ！。待つんだ！信者たちだって被害者なんだ！殺してはいかん！。くそお！何のために俺はこれまで射撃訓練をしてきたんだ！
教祖,今のうちに逃げるぞ！
夕子,ああ……！
幹部,は、はい！
山田,教祖以外はしゃがめ
信者,。
幹部,
教祖,な、なんだと？！
警察,よし、今なら狙えるぞ！。死ねええええええ！
教祖,皆の者、立ち上がるのだ！
信者,。
幹部,
警察,ああ！また信者が盾に！
山田,しゃがめ
信者,。
幹部,
教祖,立て！
信者,。
幹部,
警察,くそう！これでは埒が明かんぞ！。先輩、俺もう我慢の限界です！次しゃがんでもっかい立ち上がったら信者ごと撃ちます！
鬼瓦,信者共をどかせばいいんだな！
鮫島,お前ら！呉羽FCの名誉挽回のチャンスだぞ！
不動,おらあああああああ！
呉羽FC,うおおおおおおおおお！呉羽さんのためにいいいいいいいいいい！
教祖,ひい！なんて迫力だ！
警察,見えた！死ねええええええええええええええ！
教祖,あっぶなっ？！
山田,待て殺すな！殺さなくても狙えさえすれば教祖を取り押さえる方法がある！
警察,し、しかし！打ち殺す以外にいったいどんな方法があるってんだ！
山田,教祖！お前は俺の信者だ！
教祖,私が……お前の信者……？
山田,そうだ！お前は山田教の信者だ！俺の言うことを聞け！
教祖,や、山田様……。仰せのままに……
山田,まずはお前の信者たちの洗脳を解け！
教祖,はい……
鬼瓦,おお！教祖が山田の言うことを聞いてるぞ！
鮫島,でかした山田！
山田,それからお前が信者から巻き上げたものは金であれ、物であれ、なんでも俺に貢ぐんだ！
教祖,はい……
不動,なんか私利私欲に走り始めたぞ……
警察,とりあえず一件落着だな
鬼瓦,教祖による洗脳はみんな解けたみたいだな……
鮫島,あとは呉羽さんに山田がかけた洗脳を解くだけだ
不動,それにしても……へへへ……呉羽さんに御礼を言われてしまった……///
呉羽FC,えへへへへへへへ……///
夕子,……なあケンちゃん。ホントに洗脳解いちゃうのか……？このままでもいいんじゃないか……？
山田,いや駄目だ。人の心を思いのままに操るなんてのは、やはりいけないことだ。今回の一件で身に染みた
夕子,……どうしてもか？
山田,……どうしてもだ
夕子,……。分かった
山田,！
鮫島,……
不動,……
呉羽FC,……
鬼瓦,みんな堪えろ……。ここで手を出したらまた呉羽さんに嫌われてしまうぞ……
夕子,……このまま洗脳を解いてくれ。そうすれば、解かれたあともほんの少しだけ近くに居られるだろ……///
山田,夕子、そういうロマンチックなのは要らん。ただ洗脳が解けた後、俺のことを殴らないと約束してくれ
夕子,約束する。絶対に殴らない……///
山田,あと関節技とかもなしだぞ。最近お前のせいで俺の体のあちこちにガタがきている
夕子,関節技もしない……///
山田,……。お前は俺の嫁ではない。元の呉羽夕子に戻れ
夕子,あたしは山田賢太郎の嫁ではない……。元の呉羽夕子に戻る……
山田,……。どうだ？洗脳が解けた気分は
夕子,やっと目が覚めたよ、ケンちゃん……///
山田,ゆ、夕子……
夕子,いっぺん死ねてめええええええええええええええええええええええええええええええええええええ！
山田,ぎあっ？！
鬼瓦,な、何と見事な巴投げ……！
鮫島,アスファルトに思い切り叩き落したぞ……！
夕子,てめえとんでもねえことしてくれたなオイ！もう恥ずかしくて学校いけねえだろうが！
山田,痛い痛い！あれはただの事故で……！それに今だって必死にお前を助けたし……！
夕子,てめえが洗脳なんかしなきゃ、映画だって観に行かなかっただろうが！
山田,痛あああああああああああああああああああああああああああああああああ！
夕子,てめえのせいで変な噂が出回ってんだぞこのヤロオオオオオオオオ！
山田,死ぬ！死んじゃう！
夕子,あたしの宿題やれ
山田,お前の宿題やる……
夕子,あたしにお茶淹れろ
山田,お前にお茶淹れる……
夕子,あたしの肩揉め
山田,お前の肩揉む
はるか,ちょっと夕子、あんたいつまで山田君をこき使う気よ
りつこ,ほとんど奴隷扱いやないか
夕子,あたしの気が済むまで。あたしが受けた屈辱は十二分に味わってもらう
はるか,ったく……いい加減にしとかないと、痛い目見るかもよ？
夕子,そんなの怖くないもーん。さーて次は何をさせようかな♪とりあえずお前はあたしの……おっと！
りつこ,何やってんねんあんた……
夕子,ダイジョブダイジョブ！ほら、こぼれたお茶を雑巾で拭け！
山田,とりあえず俺はお前の……夫……
夕子,ん？どうした？早く雑巾もってこい
山田,俺は夫……！呉羽夕子の夫……！///
夕子,ち、違うぞ？！お前はあたしの夫なんかじゃないぞ？！……おいどうしたオビディエンス？！動けオイ！
山田,大好きだ！///
夕子,さ、最悪なタイミングで故障しやがった！
