ミリＰ(以下Ｐ),シアター組総勢37名大型ライヴ！皆お疲れ様！
ひなた,いいんだよぉ、あたしからしたんだし。いいからどんどん食べるべさ
Ｐ,ムググ！？ムグ！
莉緒,ひなたちゃん赤面でプロデューサー君の口に放り込んでる...
翼,照れ隠し......
Ｐ,ハァ....ハァ....一気に食ったから体調が....
小鳥,お次は～！
Ｐ,間髪入れずに。お昼寝希望します！あぁ～！でもこれはさすがに気持ち悪がれちまう～！
宮尾美也,私はいいですよ～♪
Ｐ,えっいいの？
美也,私もお昼寝したかったですから～
小鳥,ちなみに同じベッドで寝てもらいます別室
Ｐ,アウトー！
美也,了解です～
Ｐ,いいの！？
美也,はい～
風花,それは不健全だと思います！
環,何で？
風花,あのー！そ、そのー！
美奈子,これ、マズイんじゃ...
千鶴,いえ、問題ありませんわ
ロコ,どうしてですか？
千鶴,美也の隠された特技を思い出してみなさい
ロコ,特技？確か視力が高い....
のり子,あっ、３秒間目をつむったらどこでも寝れる！
矢吹可奈,だったら同じベッドで寝ても何も起こりませんね！
奈緒,なんや心配して損したわ～
昴,これで安心だな！
田中琴葉,嫌な予感がするわ...
美也,...........
Ｐ,ごめん美也、狭くて
美也,いいんですよ～♪あのプロデューサーさん、一つ聞いていいいですか？
Ｐ,うん、なんだ？
美也,ドキドキ、してますか？
Ｐ,しないわけないだろう。こんな可愛い子と布団が一緒なんだ
美也,う、ぅ～.....///。おやすみなさーい
Ｐ,ｽｰｽｰ
未来,寝るの早！
莉緒,よっぽど疲れてたのね....
朋花,気持ちよさそうですね～♪
歩,いつも走ってばっかだしね
恵美,もう既に３秒経過してるから、美也も寝て....
まつり,まさかの半目で睡眠回避なのです―――！
海美,非常にマズイ！
莉緒,落ち着いて皆！まだあわわわわわわ
このみ,落ち着くのはあなたよ莉緒ちゃん！
志保,あばばばば
このみ,志保ちゃん！
莉緒,でも美也ちゃんがそんな積極的になると思う！？
亜利沙,妖美な獣では結構積極的なキャラでしたよ！
莉緒,あぁ！でも調子に乗ったプロデューサー君にきっと怒るわ！
このみ,ダメよ！美也ちゃんは今まで怒った事が一度もないもの！
莉緒,そうだったー！
茜,条件揃いスギィ！
奈緒,アッカ――――ン！
Ｐ,ｽｰｽｰ
美也,プロデューサーさーん♪ぎゅ～～～！
美奈子,だ、抱きついた！
静香,ひ、ひとり占め！
美也,.......。.......ｽｰｽｰ
志保,寝ました
奈緒,寝るんかいぃぃぃ！！
紗代子,はぁ....疲れた...
Ｐ,んん～！昼寝したら気分も良くなった！
美也,私もいい気分です～
Ｐ,美也、もしかして抱きついてた？
美也,はい～///
Ｐ,年頃の女の子がそういうことしちゃダメだぞ？まぁこのゲーム自体オカシイか...
美也,はぁーい♪
Ｐ,戻りました。ってか皆どうしたんだ？グッタリして
恵美,誰のせいだと思ってんのさ...
ジュリア,本当だぜ...
Ｐ,？
美也,～♪
Ｐ,お、おんぶ.....まぁそれくらいなら
恵美,おんぶとか...この年で恥ずかしいなぁ
Ｐ,ほら
恵美,ってもう準備してるし！...もうっ！
Ｐ,よっと
恵美,.....アタシ、他の子より重いと思うんだけど....どう？
Ｐ,お前さぁ....ちゃんと食べてんの？軽いよ
恵美,そ、そうかな....
Ｐ,確か47kgだっけ？
恵美,ちょ！？///言わないでよそういうの！///
Ｐ,別にプロフィールに載ってるからイイジャン！
恵美,もぉ～！///
Ｐ,ね～ん～ね～り～お～ころ～り～よ～
恵美,ちょっと.....寝ないからっ.....ふふっ♪。.......
Ｐ,恵美.....最近何か張りつめてないか？
恵美,え？
Ｐ,昔は結構頼ってくれてたのに、今じゃ一人で突っ走って.....ちょっと寂しいなぁ
恵美,もう....何言って
Ｐ,せっかく普段ない距離で話してるんだ。色々話そうよ....皆に聞こえない程度にさ
恵美,......ハリつめてると思う？
Ｐ,あぁ。お前、自分の容姿に自信がないんだっけ？まだそんなこと気にしてるのか。俺はいつもお気楽でハッピーな恵美が恋しいよ...
恵美,それ、馬鹿にしてる？
Ｐ,してないよ、１ミリも
恵美,アタシ別に他の子より可愛くないし...今でも場違いな気がするんだよね。今だにアイドルがなんなのかよくわかってないから、足引っ張ってるって
Ｐ,それでレッスンを根詰めてたってわけか....恵美って、周囲に気を使ってばかりで自分を抑え込むクセがあるよな。まつりも言ってたぞ
恵美,まつりが...？
Ｐ,恵美ちゃんが悩みを抱えてるから何とかしてあげたいって。相談されたよ
恵美,.....あの子、自分一人で突っ走る様に見えて、結構周りのこと見てるから...
Ｐ,どうもキャラがキャラじゃないから、そう見えない先入観があるんだよな。.....でもまつりだけじゃない。皆心配してる
恵美,そうなの...？
Ｐ,あぁ、その分尊敬されてるよ。尊敬されてる奴が謙虚じゃダメだ。それに恵美は魅力的で可愛いんだから、自信をなくす必要も、迷う必要もない
恵美,.....今逃げられないの知ってるクセに....カワイイとか言うのは卑怯って思う...
Ｐ,ははっ、ごめんよ。......でも、迷った時は絶対に自分一人で悩むな。相談してくれ、そのための俺だ。頼りないだろうけど、俺は頼ってあげたい。.........約束だよ？
恵美,....うんっ......うん.....ｸﾞｽｯ。...降ろしていいよ、プロデューサー
Ｐ,よしっ
恵美,ありがとね。あと、涙で背中濡らしちゃってゴメン///
Ｐ,なに、雨よりマシだ
恵美,えっへへ....。.....プロデューサー...アタシ、自分に自信もってみるよ
Ｐ,おぉ、そりゃ良かった！
恵美,それと......背中にすがり終わったら、次は寄り添ってあげるからっ
Ｐ,ん？それはどういう意味...
恵美,それくらい自分で考えてよ！///じゃ！
Ｐ,寄り添って一緒にトップになろうって事だな！そんなの当たり前よぉ！
小鳥,......ダメだわ。お次は徳川まつりちゃんで台本の読み合いです！
まつり,来たのですぅぅぅ―――！！
Ｐ,これは演技、でしょうかね
小鳥,お二人に台本を渡しますので、これでお芝居をしてもらうゲームです
Ｐ,お芝居か.....出来るかな
まつり,設定はなんなのです！？
小鳥,幼馴染です
まつり,ほ――――！！
小鳥,さ、台本は頭に入ったでしょうか
まつり,バッチリなのです！
Ｐ,う、うーん......
小鳥,設定は幼馴染！鈍感な彼に想いを伝えるシーンからスタート！
まつり,あの....プロデューサー！
Ｐ,えっあっ、はい
まつり,だ....大事な話があるのです....
Ｐ,だいじなはなし？なんだいそれはー棒
麗花,棒読み...
恵美,スゴイ大根...
桃子,....
まつり,プロデューサーと私、出会ってもう17年経つのです
Ｐ,そ、そんなにたったのかー。時はあっというまだな棒
環,ちょっとヒドイな.....
志保,完璧超人だと思っていたけど、やっぱり苦手なものはあるのね
このみ,まつりちゃんはとっても上手だわ
未来,私の時は演技力あったのになぁ
静香,囁くだけだったからよ。ほとんど演技関係ないもの
桃子,......
まつり,だから今日。ハッキリあなたに伝えるのです....！。姫はあなたの事が好きです！プロデューサー！
Ｐ,あー、おれもお前がー
桃子,スト――――ップ！！
全員,！？！？
まつり,な、何故止めるのです！？
育,どうしたの桃子ちゃん？
桃子,もう我慢できない！お兄ちゃん全っっ然演技出来てない！
Ｐ,い、いや俺はアイドルじゃないから演技なんて必要な――
桃子,今から桃子が徹底的に演技の指導してあげる！
Ｐ,あぁぁぁ桃子ぉぉぉ！！痛い引きずらないでぇぇ！！
全員,........
まつり,......ほ？
美也,帰ってきました～
Ｐ,..........
桃子,........
篠宮可憐,一件変わりはないみたいですけど...？
エレナ,でもモモコの手にかかれバ...
小鳥,で、では改めてスタート！
まつり,あの....プロデューサー！だ....大事な話があるのです....
Ｐ,大事な話？なんだいそれは...
全員,！？！？
亜利沙,さすがです桃子ちゃん！
桃子,フフン！桃子を舐めないでほしいな！まぁ一時的に演技力を磨いただけだから、すぐ元に戻っちゃうけど
まつり,ほ、ほ～.....。プロデューサーと私、出会ってもう17年経つのです
Ｐ,そんなに経ったのか。時が流れるのは早いものだ。特に、君と過ごしている時間はね
まつり,...
風花,台本にないセリフまで...！
美奈子,なんて器用な...！
海美,鈍感設定完全に無視！
まつり,だから今日。ハッキリあなたに伝えるのです....！。姫はプロデューサーの事がっ！
Ｐ,ストップ。その先は俺に言わせてほしい
全員,！？
Ｐ,まつりの第一印象は、個性的な娘、だった。周りとは違った子...。でも俺は、その個性が魅力だと思った。誰にも似つかず、愛くるしく...
まつり,あ、愛くるしっ...///
Ｐ,そして徐々に魅かれていった。一人で突っ走るタイプかと思えば、仲間を思いやる誰よりも優しい子だったんだ。まつり、恵美を心配してくれてありがとうな
まつり,ひ、姫は.....はい
恵美,....
Ｐ,だから俺は、そんなまつりが。―――大好きだ！！
まつり,っ！///。ひ、姫も....ぷ、プロデューサー...が...///。はわわっ.......ふぅんっ
恵美,まつり――――！！。まつり！意識が！
まつり,はふぅ....なんとか戻ったのです...。...プロデューサーは？
恵美,プロデューサーならアイドルの皆にボコボコにされてる
まつり,気の毒...なのです
恵美,.........まつり
まつり,はい？
恵美,心配してくれてありがとう。でもこれからは心配されないよう頑張るから
まつり,........。......はい♪
Ｐ,さ、さぁ...次は何でしょうか...
小鳥,身体はボロボロでも心は丈夫なんですね...
Ｐ,とっとと片付けましょう...
昴,ふーんだ！
エミリー,桃子さん、仕掛け人様の演技力磨きすぎです
桃子,それは桃子も反省してる。余計なことしちゃったかも
歩,もう少しで取り返しのつかない事になってたかもな
未来,プロデューサーさんかっよこかったなぁ....
小鳥,はい次に行きますよ
Ｐ,はてなボックス？
ジュリア,？
小鳥,まずこの箱の中にアイドルが入って、脇から手を入れてアイドルを誰か当てるゲームです
Ｐ,クイズですか！それは面白そうですね！
志保,セ、セクハラ！
小鳥,安心して。触るのは顔だけだから
志保,な、なんだ......ﾎｯ
小鳥,では中に入るアイドルを決めたいと思います。プロデューサーさんは別室にてお待ちください。箱に入るアイドルはこちら！！
全員,！！
Ｐ,えっと、もう入ってるんですよね？
小鳥,はい。ゆっくりアイドルの顔を触ってあげてください
Ｐ,よ、よーし....触るだけで当てるのって難しいよな....答えられる気がしない....。髪は結構長い方だな。それに結構ゴワゴワで.....リボンが。あっ、ロコだわ。完っ全にロコだわ。ロコ以外の何者でもないわ。プロデューサー50人に聞きました。箱に入ってるアイドルは誰？選ばれたのはロコでしたってくらいロコだわ。これ当てたら終わりなんだよな。それにロコ、バレないようにちょっと髪型変えてるし.....
箱,～♪
Ｐ,絶対にバレないってドヤ顔してるんだろうなぁ......即答してやるのも可哀想か.....。あー、誰だかわからないなー
箱,！～♪
小鳥,特徴をお願いします
Ｐ,ちょっとからかってみるか。髪は長くてリボンを付けてますね。そこに可愛さが感じられます
箱,！
Ｐ,きっと中に入ってるアイドルはとてもキュートな子だと思います！
箱,....///
ジュリア,.....なんだよ、リボン付ければいいのかよっ
瑞希,妬かないでください
ジュリア,なっ！？妬いてなんか！
Ｐ,この小さい顔....なぞるとしなやかな眉、小さい口...可愛いなぁ...
箱,！？///
Ｐ,それにこのリボン、俺がさっきプレゼントしたやつですね。すぐ付けてくれたのか.....優しくて本当に可愛い
箱,～～///
小鳥,さぁ、箱の中身は誰でしょうか！
Ｐ,キュートでアーティスティックで優しいアイドル。俺の大切な、ロコです
箱,
千鶴,しっかりしてくださいまし！
ロコ,わぁ～....大切なアイドルぅ.....えへへ....///
千鶴,コロちゃん！
ロコ,...なっ！コロじゃないです！ロコです！ロ・コ！
Ｐ,おっ、ようやく正気に戻ったか
ロコ,！？...あっ.....あっ......
Ｐ,ん？
ロコ,プ、プロデューサーなんて知りません―――！！///
Ｐ,ロコォ.....
小鳥,次は！翼ちゃんとホラー映画を見る！
Ｐ,うげぇ！？ホラー映画！？
翼,何～？プロデューサーさん怖いんですか？
Ｐ,こ、怖くなんかないんやで
翼,とか言って、汗ダラダラですよ？
Ｐ,さ、さっさと始めましょう音無さん！
小鳥,はいはい、では別室のシアタールームにどうぞ～
ロコ,また別室...
可憐,ホラー映画当たらなくて良かったぁ...
海美,えっ、まさか二時間待たされるの！？
小鳥,ショート映画だから、15分程度よ
海美,ビックリした～....
Ｐ,ホラー映画とか勘弁してくれぇぇ....
翼,焦ってるプロデューサーさん可愛い♪
Ｐ,か、からかわないで...。....そういえば、翼もホラーは苦手だったような...？
翼,...........
Ｐ,痩せ我慢だな。良く見ると顔が引きつってる
映画,きゃぁぁぁぁぁぁ！！
Ｐ,うわっ！？
翼,ひゃっ！？。うぅ.......ｸﾞｽｯ...
Ｐ,...翼
翼,プロデューサーさん...？
Ｐ,俺がついてるから、大丈夫。怖がらないで
翼,......。自分だって怖いのに...それを我慢してまで私を守ってくれる.....。.......罪作りな人だなぁ...
Ｐ,あ、あの翼...
翼,なんですか～？
Ｐ,は、放してくれるとありがたいんだが....
翼,ダメです♪
未来,プロデューサーさん鼻伸ばしてる....
静香,な、なに腕なんて組んでるんですかっ
Ｐ,い、いやっ、翼が放してくれなくて。いい加減放しなさい
翼,えぇ～もうちょっと～
Ｐ,こ、コラ
翼,....ﾀﾞﾒｪ？
Ｐ,..........いいよ
翼,プロデューサーさん大好き～！
静香,離れなさい翼！
未来,翼だけズルい！私も！
静香,なっ！？未来まで！
小鳥,次に移りますよー
全員,.......
小鳥,さぁ前半戦も終了の時間が近づいてまいりました
美奈子,え！？もうですか！？
小鳥,はい、現時点で16人ですから、前半戦は後３人程度です
美奈子,
朋花,大丈夫ですか美奈子さん～？
美奈子,ハッ！朋花ちゃん、当たってない者同士、後半戦頑張ろう！
朋花,私はもう当たりましたよ～
美奈子,あっそういえば
朋花,好きって言われちゃいました～♪
美奈子,
奈緒,と、朋花！何してんねん！
朋花,うふふ～♪
小鳥,前半戦終了次第、休憩の時間を設けますので、後半戦の方々は心の準備をお願いします
当たってない勢,残り３人誰が当たるかわからないから結局休めない
Ｐ,休憩時間挟めば機械の故障も直るだろう
全員,そうはいくか
未来,私達もう当たらないだなぁ....
静香,名残惜し...くないわ。えぇ、ないわ
翼,当たっても、いかにプロデューサーさんに近づけたかが問題だよね
茜,そうだろうね
紗代子,私どうなるのかな...
琴葉,まだ当たってない人って...
莉緒,私
このみ,意外に私も当たってないわ
琴葉,結構いるのね...
小鳥,泣いても笑っても前半戦最終ブロック！まずはこの人！。はい！
桃子,それでね？桃子がお芝居してる時に新人が怒られてて
育,大変だね～
莉緒,桃子、出番よ
桃子,え？.......。え！？桃子それやるの！？お兄ちゃんに抱きしめられるとか......い、嫌だから！
Ｐ,.......
千鶴,が、ガチへこみですわ
Ｐ,桃子に嫌われた.....それもそうだよな...こんなオッサンが好かれるワケ...
桃子,あっ.......えっと...。やっぱいいよ、お兄ちゃん...
Ｐ,いいんか！？
百合子,普通に復活した...
桃子,先輩として、な、なんでも出来るところを見せてあげるっ
Ｐ,よし！じゃ.....いいか？
桃子,う、うんっ
Ｐ,......なんか桃子に抱きつかれると、金が発生してる気がするなぁ
桃子,何それ...別に桃子お金欲しくないし...
Ｐ,なんとなくだよ、なんとなく
桃子,......もう...
Ｐ桃子,..........
桃子,ねぇ、お兄ちゃん
Ｐ,ん？
桃子,桃子って、迷惑かけてる？
Ｐ,どうした突然。泰然自若で確乎不動な桃子先輩がお悩み？
桃子,全部同じ意味だよそれ
Ｐ,そうだったか。迷惑ねぇ...特に何もかけてないぞ？仕事もしっかりしてるし、歌やダンスも問題ないし
桃子,.....そう、ならいいんだ
Ｐ,.......いや、かけてるな
桃子,え？。どんなこと？
Ｐ,人に迷惑をかけないようにひとりで頑張るところ
桃子,それは....人に迷惑かけない事は、大人の義務だから
Ｐ,桃子、お前は確かに大人だ。誰よりも率先して行動することが出来る。でも、本当の大人は子供みたいに視野が広い
桃子,.....
Ｐ,悩みや辛いことがあるなら、相談してほしい.....もう一人で悩まないでくれ...
桃子,...お兄ちゃん....
Ｐ,何でも一人で抱え込みやがって......少しは頼れってんだ....お前も恵美も...
桃子,.......
Ｐ,俺だって....俺だってお前の保護者なんだ...迷惑も心配もかけろ！
桃子,....っ！
Ｐ,バカ野郎....
桃子,痛いよ....お兄ちゃん...
Ｐ,少し痛いくらいがいいだろう....
桃子,.......うんっ...ｸﾞｽｯ
Ｐ,何がプロデューサーなんていらないだっ...いつも寂しそうにして悩んでるクセに....うぅ...
桃子,ちょっと...お兄ちゃんが泣かないでよっ....お、大人は...え、演技以外で泣いちゃっ.....ｸﾞｽｯ...泣いちゃダメ、なんだからぁ....ﾋｯｸ...うぅ....
Ｐ,....俺はお前のプロデューサーだ....存分に頼って、任せてくれ...
桃子,うんっ......うんっ....ｸﾞｽｯ
小鳥,..........
全員,..........
桃子,..........
Ｐ,............
小鳥,あのー.....もう10分経つんですが
Ｐ,....もう少し待ってください
小鳥,あっはい
Ｐ,桃子、そろそろ時間みたいだ
桃子,........やだ
Ｐ,...困った先輩だなぁ...
桃子,....じゃあ最後に、もっとギュッてして
Ｐ,え？
桃子,ギュッてして。早く
Ｐ,.....わかったよ
桃子,っ.......
Ｐ,よしっ、終わり。桃子、これからなるべく俺がしゃがんで目線を合わせるから
桃子,べ、別に桃子はおっきくなるもん。それに、頼ってほしかったら、もっと頼り甲斐のある大人になること！
Ｐ,手厳しいな....ハハハ...わかった。精進する
桃子,それとやっぱり桃子.....お兄ちゃんのこと、嫌いじゃないよ
Ｐ,もしかして好き！？
桃子,なっ！？///そんなこと言ってない！///
Ｐ,なんだぁそっか～。残念だな
桃子,ま、まぁ、時間の問題だけど...
Ｐ,何！？今大事なこと言わなかった！？
桃子,知ーらない。ずっとしゃがんでたら？そしたら桃子の声が届くかも
Ｐ,そんなぁ～桃子先輩～
桃子,ふふっ......ありがと、お兄ちゃんっ
奈緒,ｸﾞｽｯ.....ええ話や...
環,おやぶん抱き着いたらあったかそう
桃子,あったかいよ
亜利沙,桃子ちゃんセンパイ！もっと鮮明にお願いします！
桃子,あったかくて大きくて～
亜利沙,ほうほう！
桃子,優しくて
千鶴,なんだかんだ嬉しそうですわね
桃子,ふぇ！？///全然嬉しくない！！///。お兄ちゃぁぁぁぁぁん！！
小鳥,静粛に静粛に～、次ですよ～。さぁさぁ！次で絶対君主ゲーム前半戦最後の一人！
百合子,次で最後？あっ、前半は18人で後半は19人なんですね
小鳥,最後はだ――――れだ！！。ドン！！
全員,！！
可憐,私とプロデューサーさんがデート！？
Ｐ,これってどうするんです？今からショッピングとか？
小鳥,いえ、デートは翌日行ってください
莉緒,でもこれって、ただデートするだけよね？誘えばいくらでも出来るんじゃ...？
このみ,可憐ちゃんみたいな奥手で誘えない子にとって、チャンスなんじゃないかしら
莉緒,なるほど
朋花,そんな簡単なものでしょうか～...
美也,私もそんな気がします～
莉緒,？
小鳥,ちなみにデートプランはこちらで計画致しました
ひなた,遊園地、とかだべか？
奈緒,それなら安心やなぁ
風花,遊園地もいいなぁ
小鳥,まず朝は銀座でモーニング
全員,モーニング！
小鳥,昼は豪華客船
全員,豪華客船！！
小鳥,夜は高級ホテルでディナー！
全員,ディナー！！！
小鳥,宿泊先はプロデューサーさんの実家！！
全員,実家ッッ！！！！！！！！
可憐,ふわ.....わぁ～～～/////
昴,い、意義あり！
小鳥,はい昴ちゃん
昴,それは、えっと、実家っていうのはアイドルとして、女の子として危ない気がする！
エミリー,私もそう思います！
星梨花,どうしてダメなんですか？
茜,もちょ可愛いね～●・▽・●
星梨花,？？
小鳥,実家がダメな理由を説明して貰えますか？昴ちゃん、エミリーちゃん
昴,そ、それは.....えっと...///
エミリー,あぅ.....///
小鳥,第一！あの鈍感なプロデューサーさんが危ない気を起こすと思いますか！！
全員,！。ないなぁ.....
可憐,プロデューサーさんとデート....///
小鳥,というわけで明日デートになります。これで前半戦終了！しばし休憩時間になります！！。では皆さん、休憩時間を兼ねて食事の入れ替えを行いますので、一旦控え室で待機してください
恵美,食事の入れ替えだなんて、相当お金かけてるなぁ
琴葉,それだけ私達も売れたってことよね
美奈子,あれ、まつりちゃん、マシュマロたくさん残ってるよ？
まつり,マシュマロはぁ～、も、もういいのです！
可奈,あぁプチシュー！まだ片づけないでください～！
志保,行くわよ
可奈,あぅ～～
昴,後半戦もクレープあるかな？
Ｐ,あるんじゃないかな？昴は本当クレープ好きだな～
昴,あれ以来甘いものが好きになっちゃってさ
Ｐ,今度美味しいお店に連れてってやるからな
昴,いいの！？やった！
海美,ナチュラルにデートの約束してる..........
莉緒,さぁ皆、そろそろ控室に行くわよ。これ全員一緒なわけ？
志保,37人収容ですから、相当な広さですね
小鳥,言い忘れましたが、当たった勢と当たってない勢で部屋は分かれています
紗代子,どうしてその分け方なんですか？
小鳥,当たった勢と同じ部屋がお好みですか？
紗代子,........なるほどっ！
琴葉,確かに....一緒にすれば嫉妬しか生まれない....素晴らしい配慮、ありがとうございます小鳥さん
小鳥,速やかに～
Ｐ,俺は機械の修理にあたりますね。これだとアイドルが楽しめないので
小鳥,じゃお願いしますね～。無理よ、最初からそう設定されているんだもの。うふふっ♪
のり子,やっぱり18人分の控え室となると広いね
亜利沙,そうですね～。後半戦のためにも存分に使って、英気を養いましょう！
のり子,そうだね～
桃子,.......
美也,.......
未来,.......
エミリー,百合子さん、その辞書を貸して頂けますか？
百合子,広辞苑？いいよ
エミリー,ありがとうございます♪
未来,エミリーは偉いね。空いた時間に勉強だなんて
エミリー,勉強しておかないとこの先不安ですから
未来,ちなみに何を調べてるの？
エミリー,はい、結婚についてです♪
全員,！？！？
未来,ど、どういうこと....？
エミリー,私、若輩者故、結婚について詳しく知らないので今一度確認しておこうかと。結婚、夫婦になること....婚約、婚姻....
百合子,ど、どうしてそんな事調べてるのかな！？
エミリー,将来、仕掛け人様と結婚しようと心に誓ったので
全員,！？！？！？
まつり,エミリーちゃんはまだ早すぎるのです！１３歳には早すぎるのです！ね！？
エミリー,大和撫子....いいえ、良き伴侶になるよう今のうち勉強しておこうと思いまして
まつり,ほぉぉぉぉぉ！！
恵美,ま、まつりもエミリーも一旦落ち着ちつこうよ！
ロコ,そ、そうです！今はﾄﾗｼﾞｪﾃﾞｨな争いしか生まれません！
恵美,そそ！ロコの言うとおり！今は後半戦に向けてゆっくり休もう！
まつり,そ、そうですね....
エミリー,出過ぎた真似をして申し訳ありません
まつり,別にいいのです！姫は気にしてないのです！
瑞希,終戦です。しばらく
エミリー,皆様、コーヒーはいかがですか？
恵美,貰おうかな
静香,私もお願い
美也,.......
亜利沙,......
のり子,......
まつり,......
朋花,.......
桃子,.......
可憐,.......
昴,......
恵美,.....。.....うーん....。......やっぱ、既成事実かなぁ
全員,ﾌﾞﾌｫｫｫｫｫ！！！！
まつり,な、何を言い出すのです恵美ちゃん！
恵美,え！？口に出てた！？///
のり子,そういう事言っちゃダメだよ！
恵美,あわわわ！ご、ごめん！！
星梨花,？
ひなた,？
桃子,きせ.....何？
エミリー,きせいじじつ.....きせいじじつ....
百合子,調べちゃダメ！
エミリー,あぁ！
瑞希,皆さん、落ち着いてください
亜利沙,.........。松田亜利沙です。今ありさは前半戦部屋の椅子に座っておりまして......いえもう、単刀直入に言います。空気がヤバイです。いがみあっているワケではありません。皆さん自分とプロデューサーさんとのスキンシップを自慢したくてたまらないのです。アイドルちゃん達の色々な素顔を見るのが趣味と化していますが、本性がむき出しで怖いです
ロコ,.........
朋花,.........
星梨花,あの....私、今日の絶対君主？ゲームで思ったんですけど...
亜利沙,どうしましたか？
星梨花,私、将来はプロデューサーさんみたいな人と結婚したいなぁって
全員,
昴,ぷ、プロデューサーみたいな人だよな！わかる！
翼,なるほど！プロデューサーさんみたいな人！わかる！
星梨花,でも正直に言うと....プロデューサーさんがいいかなって....♪
全員,
亜利沙,話題を変えなきゃ話題を変えなきゃ話題を変えなきゃ話題を変えなきゃ。あっ！皆さんプレゼントは何を貰いましたか！？
まつり,亜利沙ちゃんナイスなのです！
のり子,アタシはリストバンド！
亜利沙,おぉ！のり子ちゃんに似合っててカッコイイです！
のり子,でしょー！？
亜利沙,ひなたちゃんはどんなプレゼントを貰ったんですか？
ひなた,これなんだわぁ
亜利沙,リンゴのストラップ！とっても可愛いですね！
ひなた,えへへっ.....
翼,私はネックレス貰ったよ。後でプロデューサーさんに付けてもらお～
亜利沙,おっと
まつり,ひ、姫は漫画をプロデューサーさんと一緒に読むことにしたのです
静香,私は貰ったこのピアノの楽譜をプロデューサーに教えたいと思います。私の事が好きなプロデューサーに
朋花,聞き捨てなりませんねぇ～♪
美也,はい～
亜利沙,
朋花,今のはどういう意味でしょうか～
美也,聞きたいですね～
亜利沙,二人とも笑顔だから超怖い！
未来,皆どうしたの！？落ち着こうよ！
昴,そ、そうだよ皆！プレゼントの張り合いなんてやめようぜ！
静香,......
朋花,......
昴,....？
静香,...
昴,ど、どうした静香！？オレ何か言っちゃったか！？
静香,.......もうやだっｸﾞｽｯ.....もういいもん...ﾋｯｸ....
昴,静香！？静香！！
恵美,そりゃ何も言えないよね.....
未来,静香ちゃん可愛い。お、落ち着いたかな...？
桃子,じゃあさ、聞くけど....
未来,？
桃子,未来さんは....お兄ちゃんの事、どう思ってるの？
未来,へ？
桃子,好きか嫌いか、だよ
未来,す、好き、かな
桃子,どう意味の好き？目上として？それとも男女として？
未来,そ、それは......えと、その.....
桃子,大人なら大人らしく胸を張って！ちゃんと言って！
未来,私は....！私は！！
Ｐ,皆ー、お菓子持ってきたぞー
未来,私はプロデューサーさんが大好きです！！！
Ｐ,
全員,
未来,あっ
Ｐ,俺も好きだぞー。じゃお菓子テーブルに置いとくな。それじゃ
未来,.......
のり子,み、未来
未来,わあぁぁぁぁぁぁぁぁぁ！！！！///////。私プロデューサーさんに告白うわぁぁぁぁぁ！！！！//////
桃子,桃子、本日二度目の失敗
恵美,桃子ぉ...
桃子,本当にごめんなさい
未来,プロデューサーさんが俺も好きだぞ
朋花,.........。好きって言われたのは私だけだったのに.....
亜利沙,松田亜利沙です。先程から色々観察して気付いたことがひとつあります。全員、コーヒーをブラックで飲んでいるのです。大多数がブラックで飲めないハズなのに。年少組ちゃん達も。それは“想い”と言う名の砂糖を持っているから、ブラックが甘く感じられるのです。何故そんな事がわかるかって？。なぜなら....亜利沙もブラックだからです。甘い...
杏奈,こうやって.......こうで....
育,わぁすっごーい！
環,難しそう！
ジュリア,.....
このみ,このお菓子美味しいわね～
風花,そうですね
千鶴,.......
志保,千鶴さんが家計簿書いてる....
歩,ここでターン！
海美,よっ！
エレナ,はいっ！
可奈,ひぅっ！
茜,やっぱりマイハマンのダンスには付いていけなかったか～
奈緒,そしたら私ビックリしてもうて！
紗代子,あははは！
麗花,面白いね～
美奈子,........下着はバッチリ
琴葉,！？
莉緒,...........。私、百瀬莉緒はある事に気付いた....。今この後半戦組の控え室にいるアイドル達......誰もが気にせず談笑したり踊ったりしている....。しかしそれは全て緊張をほぐすための方法にすぎない！。どうしてわかったか？そんなの簡単よ。歩ちゃんはあんなちょっと踊った程度で汗なんかかかないし、ジュリアちゃんはさっきからずっと同じコードしか弾いてない。目も上の空だわ。このみ姉さんも平然を装っているフリをして目がグルグルしているし.....皆バレバレよ。そこでイタズラっ子の私はひとつ爆弾を投下するのでした♪
ジュリア,！？
莉緒,そう！素直な心が勝る時代なのよ！でも私達はアイドル、後先考えず己の欲望のままに進めない。だから皆アプローチを拒み、気付かせたいという意識よりも気付いてほしいという意識の方が上回ってしまった！アプローチなしであの鈍感なプロデューサー君が気付くと思う！？
茜,でも莉緒やんみたいにグイグイいけない人だっていっぱいいるわけで...
琴葉,プロデューサーは逆に、素朴な子の方が好きな気がします
莉緒,そ.....素朴.....！
紗代子,自己主張が激しくなくて
風花,奥ゆかしくて
麗花,清楚で
育,けがれをしらぬ
海美,純粋なアイドル！
莉緒,純.....粋......！！。か、敵わない......！
茜,莉緒やんメッチャ純粋なの自分で気付いてないのが凄い
莉緒,....前半戦組を指をくわえて見ていたせいか、後半戦が楽しみで仕方ないわ
環,楽しみー！
ジュリア,あたしは別に、そうでもないかな
このみ,ジュリアちゃん、よーく考えてみて。学校で前の席の人が教師に当てられるっていうドキドキじゃないのよ。絶対自分も当たって、なおかつ相手がプロデューサーなのよ！
ジュリア,バカＰが相手だからってあたしには関係ないし
