愛野渚,ハッピークリスマス、プロデューサーッ！
Ｐ,そうか、そうだな。知恵の輪もあるぞ
裕子,そうやって馬鹿にできるのも、今だけですからねっ！
Ｐ,……わー、裕子の超能力だー。楽しみだなー
裕子,その反応を待ってました。それでは、サイキック雪降らし、ご覧あれ！。――ぐむむむむっ
Ｐ,どうせまた……ん、ん！？
裕子,え、どうかしました？……あ、成功ですよ！雪が降ってます、降ってますよ！
Ｐ,さ、サンタからのプレゼントかなにか？
裕子,常日頃の鍛錬の成果です。ほら一緒に外へ見に行きましょう！
Ｐ,いや、たぶん偶然――おい、引っ張るな。行く、行くから！
本田未央,――おっと、ずいぶんな遅刻だぞ？プロデューサー君
Ｐ,すまん。仕事が少し長引いて
未央,冗談、冗談♪そんなに待ってないから、今日のご飯を奢るだけで良いよっ
Ｐ,冗談になってないぞ……。まあ、言われなくても、今日くらいは奢るよ
未央,よっ、太っ腹！それじゃ、行こっか
Ｐ,ああ。それにしても、去年とは逆になったな
未央,そうだね。あ、だからって、支度の手を抜いたわけじゃないからねっ！
Ｐ,見れば分かる。気合が入ってるな
未央,二度目のクリスマスだから、そりゃあ気合も入るってもんよ！ほらほら、感想を言っても良いよ？
Ｐ,まるでアイドルみたいだ
未央,アイドルでしょ！かぁーっ、ダメだなぁ。そこはきちんと褒めないと
Ｐ,悪かったよ。似合ってる、すごく可愛い
未央,おざなりだね……まあ、許してあげるかな♪
Ｐ,よし、じゃあ走るか
未央,はい？――あ、なるほど。これは走らないとね！
星輝子,Ｐもキラキラ、私もキラキラ、キノコもキラキラ……お揃い、だね
Ｐ,なあ、これ大丈夫？熱くなったりしない？
輝子,大丈夫、えっと、火傷はしないから
Ｐ,熱くはなるんだな！？
輝子,熱くなるのも、お揃いだから……フヒヒ、お揃いっていいね
Ｐ,笑えない、笑えないぞ
輝子,今年のクリスマスも、楽しめそう……フヒッ、Ｐのおかげ……
Ｐ,そうか、それは良かった。じゃあ、これは外そうな
輝子,え、でも……お揃いじゃなくなる……
Ｐ,いや、危ないからさ
輝子,――ファーッ〇！お揃いだって言ってるだろうが！ちょっとくらい我慢が利かねぇのか！
Ｐ,落ち着け
輝子,あ、はい。うるさいですね、すいません……
Ｐ,お揃いの代わりに、鍋でも突こう、な？
輝子,鍋、フフ……いいな、それ。ボッチじゃできないし……
Ｐ,ちなみに、具は事務所の机下のキノコだ
輝子,ま、マイフレーンズッ！
槙原志保,どうです、Ｐさん。美味しいですか
Ｐ,美味い。けど、えらく甘いなぁ
志保,スイーツですから、当然ですよ♪
Ｐ,しかし、クリスマスにスイーツ巡りとは
志保,嫌でしたか
Ｐ,いや、むしろ一人で過ごさなくて済んだから、ありがたいかな
志保,良かった～。それじゃあ、次のお店に行きましょうかっ
Ｐ,それは良いが、何軒くらい回るんだ？あんまり遅いと、志保も困るだろう
志保,そうですね……開いてるお店がなくなるまで、ですね！
Ｐ,なに、それは大丈夫なのか！
志保,大丈夫ですよぉ。それに、Ｐさんに食べてほしいスイーツは、それくらいの時間じゃないと、食べれないんです
Ｐ,深夜じゃなきゃ食べれない……ううむ、どんなものなんだ？
志保,たぶん、とっても甘くて、病み付きになっちゃうくらいに美味しいものですよ♪
Ｐ,たぶんって、志保は食べたことがないのか
志保,はい。自分で自分は、食べれませんし～
Ｐ,そうか……。え？
松山久美子,ピアノ？
Ｐ,ああ、パーティーのときに、聴かせてほしいんだ
久美子,いいけど、突然どうしたの
Ｐ,前に弾けるって言ってただろ。それで、ちょっと気になってな
久美子,そっか。……ピアノに興味を持ってくれたのは、嬉しいかな
Ｐ,ピアノというより、久美子がピアノを弾くのが見たいんだけどな
久美子,そう。ふーん、私が、ね
Ｐ,あー、すまん、変なこと言ったな
久美子,全然変じゃないよ。むしろ幸せだね！
Ｐ,なに、幸せ？
久美子,ピアノを弾く私なら、きっとキレイだからさ
Ｐ,ああ、なるほど。それなら、俺も幸せだな
久美子,楽しみにしててよね。もしかしたら、見惚れちゃうかもよ！
的場梨沙,――もしもし、パパ？今日は、え……うん、そっか
梨沙,うん、待ってるね！だから、早く帰ってきて欲しいかな。それじゃあね。……ちぇっ
Ｐ,どうだった？
梨沙,なによ、アンタには関係ないでしょ！
Ｐ,パパさん、遅くなるみたいだな
梨沙,……そうよ
Ｐ,それじゃ、それまでどうする？事務所にいるか
梨沙,そうするわ。――本当に最悪！パパとのクリスマスのはずだったのに
Ｐ,仕事なんだから、仕方ないじゃないか。パパさんだって、急いでくれるんだろう
梨沙,ふんっ、分かってるわよ。パパの代わりみたく、アンタと一緒なのがしゃくなだけ
Ｐ,じゃあ、帰るか
梨沙,……それでも、一人や、他のオトナよりはマシだから、アンタといてあげる
Ｐ,はいはい
梨沙,適当に返事して――あ、またパパにメールするつもりでしょ！？
Ｐ,実は、俺もパパさんとクリスマスを過ごしたくて……
梨沙,キモイこと言わないでよ！アンタといるのは、パパが来るまでなんだから
Ｐ,ああ、だからパパさんが来たら、梨沙は先に家へ
梨沙,なんで、アンタとパパが一緒なのよ。あ、こら、メールを打つな、話を進めようとするな！
真鍋いつき,あ、あれ？プロデューサー、どうしてここに？
Ｐ,それは俺の台詞だ。トレーニングルームから声が聞こえてきたから、何事かと思ったぞ
いつき,あー……ごめんなさい。オフで落ち着かなくて、つい、来ちゃいました
Ｐ,クリスマスだっていうのに、わざわざ自主練って……
いつき,き、今日はたまたま会える人がいなかったんですー！
Ｐ,たまたまって、クリスマスなんだから
いつき,それは、そうですけど
Ｐ,……あと、その、なんだ、隠せ。直視できん
いつき,え、わ、わ、汗で透けて！？
Ｐ,プレゼント、ありがとうな
いつき,そんなつもりは、まったくありませんでしたよ！
三好紗南,くぅ、燃えてきたね、Ｐさん！
Ｐ,……俺はなんで、クリスマスにゲーセンにいるんだろう
紗南,強いて言うなら、フラグが立ったから？
Ｐ,お前が、強引に、連れてきたんだろ！？
紗南,し、仕方ないじゃん！親はついて来てくれないし、この大会に出るには、保護者が必須なんだよ
Ｐ,なんでクリスマスに大会が
紗南,いやぁ、それはそういうものだとしか
Ｐ,くそっ、出るからには優勝しろよ！せっかくのクリスマスを使ってるんだから
紗南,もちろんだよ！ゲームで負けるわけには、いかないからね。――あ、試合中は後ろで応援しててよね。どっかに行ったら、嫌だから
Ｐ,えー
紗南,Ｐさんの応援で、あたしの実力は引き出されるの！
Ｐ,ゲーム脳め……まあ、いいや。応援してやるよ
紗南,よっし！それじゃあ、優勝したら、記念にプリクラでも撮ろうね、Ｐさん？
向井拓海,おい、Ｐよォ、今日くらいもっと高いもんを奢ろうとは思わないのかよ
Ｐ,夜景の見えるレストランにでも、連れて行けばよかったのか
拓海,……アタシに合わねぇな。やっぱファミレスで十分だわ
Ｐ,まあ、なんだ、ステーキくらいなら頼んでいいぞ
拓海,言われなくても、頼むっつうの。今日は覚悟しとけよな！
Ｐ,ああ、よく食べて、よく成長してくれ
拓海,どこ見て言ってやがんだ？返答によっちゃ……
Ｐ,拓海、デザートもあるぞ！クリスマスだし、ケーキ頼むか、ケーキ！
拓海,ったく、調子の良い奴だな。――つうか、デザートはいらねぇ。Ｐも頼むんじゃねえぞ
Ｐ,でも、せっかくだしなぁ
拓海,いいから、頼むな
Ｐ,別に値段は気にしなくていいぞ。どうせファミレスのケーキだし
拓海,ああ、もう、分かんねぇ奴だなッ！作ってきたんだよ！
Ｐ,え、マジで！？
拓海,マジだ、大マジだ。――っくそ、こういうのは、もっと雰囲気があるもんだろうがよォ……
Ｐ,す、すまん。拓海の乙女心を汲んでやるべきだったな
拓海,乙女心とか言うんじゃねぇ！さっさと食って、ウチに行くぞ
Ｐ,拓海の家に行っていいのか
拓海,そ、そういう意味じゃねぇからな！ケーキ冷やしてあんだよ。それだけだからな！
村上巴,Ｐ、飾りつけは、こんなもんでええんか
Ｐ,ああ、十分だ。それより、その服、気合入れてきたんだろ？汚れたりしてないか
巴,ん、大丈夫じゃ。……そうえば、感想を聞いてなかったのう
Ｐ,服のか。よく似合ってるぞ。可愛いな
巴,そ、そうか。あー、うん、よく聞こえんかった。もう一回頼む
Ｐ,よく似合って、可愛いぞ
巴,ムズムズするけえ、何度も言うな！
Ｐ,えー……
巴,あ、そうじゃった。これ、渡しとくわ
Ｐ,プレゼントか！ありがとう。でも、すまん。俺、用意し忘れてて
巴,なんじゃ、義理の通らん奴じゃのう。……なら、約束せえ
Ｐ,ん、なんだ？
巴,うちが大人になったら、さ、杯を交わしてほしい
Ｐ,え
巴,言うな、ともかく約束せえ！指きりげんまんじゃ！
龍崎薫,せんせぇ、どうだった！？薫、上手くできてた？
Ｐ,ああ、良い音色だったぞ。よく練習したんだな
薫,この後ね、お歌も唄うんだよ。聞いててねっ！
Ｐ,楽しみにしてるぞ
薫,それでね、上手く唄えてたらね、ご褒美が欲しいなって
Ｐ,どんなのだ？
薫,せんせぇと一緒に、お料理が作りたいの！鶏のやつ！
Ｐ,……七面鳥か
薫,そうそれ！ね、一緒にしてくれる？
Ｐ,も、もちろんさ。そのためにも、お歌頑張らないとな
薫,やったー！それじゃあ、行ってくるねっ
Ｐ,おう、頑張ってこい！
薫,はぁーい、いってきまーっ！
Ｐ,……チキンライスじゃ、だめだろうなぁ
トレーナー,あの、Ｐさん。私でよかったんですか
Ｐ,なにがですか
トレ,アイドルのみんなは、Ｐさんとのクリスマスを、楽しみにしてたので
Ｐ,ええ、パーティーではみんな、はしゃいでいましたね
トレ,いえ、そうではなくて、個人的な付き合いで、ですよ！
Ｐ,クリスマスに男と二人でいたら、スキャンダルですよ
トレ,あー、それは、そうなんですが……
Ｐ,だから、これで良いんです。独身同士、一緒に憂さを晴らしましょう
トレ,独身は余計ですよ！……その、よければ一緒に独身ではな
Ｐ,皆さーん、こっちですよー！
トレ,あ、あれ？姉さんに妹も……
Ｐ,どうせなら、人数が多いほうが良いですから
トレ,あはは、そ、そうですよね……。はぁ……
キャシー・グラハム,Ｐさーん、ミカン取ってー
Ｐ,みっかんなーい
キャシー,さぶっ！
Ｐ,お前が言ったギャグだからな
キャシー,自分で言ったときも、同じこと言った気がする
Ｐ,しかし、クリスマスにコタツって……
キャシー,じゃあ、スケートにでも行くー？
Ｐ,寒いし、人多そうだし
キャシー,えー、あたし、なんか行きたくなってきたんだけどっ
Ｐ,……じゃあ、行くか
キャシー,でも、日本の冬はコタツで過ごすべきだし
Ｐ,どっちだよ！
キャシー,ジョークだよ、アメリカンジョーク♪
Ｐ,どこがアメリカなんだ……ほら、行くなら、早く行くぞ
キャシー,分かってるってー！着いたら、Ｐさんの華麗な横転を、期待してるよっ！
Ｐ,転ぶこと前提かよ！
斉藤洋子,あれ、プロデューサー。今、帰りですか！
Ｐ,おう、洋子。クリスマスなのに、ランニングか
洋子,クリスマスなのに、は余計です！新年のマラソンに向けての、特訓ですから
Ｐ,そうえば、出場するって言ってたな。……まだ、続けるのか
洋子,いえ、そろそろ終わろうと思ってますけど
Ｐ,それなら、一緒にそこら辺を回らないか。俺もクリスマスに、一人なんでな
洋子,え、でも、汗かいてますし……
Ｐ,事務所に寄って、シャワーを貸してもらえばいいさ。――あ、いや、疲れてるなら、べつに
洋子,いえ、行きますよ！さっそく、事務所に行きましょうっ
Ｐ,そうか！いやぁ、嬉しいな
洋子,ちょっと、聞いてるの？
Ｐ,聞いてる、聞いてるから
洋子,なら、こっち向けぇー。美肌のお姉さんが話してるんだぞー！
Ｐ,……居酒屋は、選択を間違ったか
財前時子,クリスマスなのに、一人で仕事なんて……貴方、男としてどうなの？
Ｐ,時子様も、ついさっきまでは仕事だったでしょう
時子,そうね。貴方がグズグズしている間に、終わらせてしまったけど
Ｐ,俺だって、もう終わりそうですよ
時子,なら口を動かす前に、手を動かしなさい。私をいつまで待たせるつもり？
Ｐ,……待っててくれたんですか
時子,貴方が愚かにも、聖夜に仕事を入れたから、私は暇を持て余しているの。早く終わらせて、せいぜい私を楽しませることね！
Ｐ,はいはい
時子,あら、なにかしら、今のおざなりな返事は
Ｐ,ぜひとも、ご一緒させてください。時子様
時子,クックック、それで良いのよ！……終わったの？
Ｐ,はい。それじゃあ、行きましょうか
時子,期待はしないけど、貴方にエスコートは任せるわ
Ｐ,とりあえず、商店街に向いますね
時子,あそこは良い場所ね……クリスマスに、私を称える歌を流すから！
Ｐ,聖歌は、時子様を称える歌じゃないです
高森藍子,ありがとうございます、Ｐさん。お散歩に付き合ってくれて
Ｐ,いいさ、いいさ。俺も仕事にうんざりしてたところだ
藍子,うふふ♪そうですね、息抜きも大事ですから
Ｐ,しかし、クリスマスなのに、昼間は静かなもんだなぁ
藍子,夜になったら、きっと綺麗なんでしょうね。……か、カップルも、いっぱいで
Ｐ,なんなら、俺の仕事が終わったら、夜にまた来るか
藍子,良いんですか！嬉しいです♪
Ｐ,はっはっは、それじゃあ、下見でもするか
藍子,はい。ゆっくり見て回りましょう
Ｐ,――と、そうえば、今は何時……な、もうこんな時間か！
藍子,あれ、そんなに歩きましたっけ？
Ｐ,ま、まずい。ここから事務所まで、少しかかる！ちひろさんにどやされる！。すまん、藍子。また夜に！
藍子,……行っちゃった。でも、また夜に、か。――今日も、日記に幸せだって書けるかな♪
土屋亜子,Ｐちゃん、メリークリスマス！プレゼントちょうだーい♪
Ｐ,事務所に来るなり、なんだお前は……
亜子,いややわ、今日はクリスマスよ？クリスマスといえばプレゼントやないの
Ｐ,だからって、催促するなよ。渡されるまで待てよ
亜子,だって、Ｐちゃんもったいぶりそうだしー
Ｐ,確かにもったいぶるけど……そうえば、泉とさくらは一緒じゃないのか
亜子,二人は、後から来るって
Ｐ,……全員事務所に集まるのか
亜子,当然！だって今からパーティーよ？
Ｐ,え
亜子,独り身で寂しいＰちゃんのために、私たちからのプレゼント！
Ｐ,それは、まあ、嬉しいな。ありがとう
亜子,お礼なら、二人にも言ってあげてね。あと、個人的なプレゼントもあるから、そのつもりで。――今日は色々、サービスしてあげるからね、Ｐちゃん♪
Ｐ,寒い、寒い！早く事務所に戻らないとな。――ただいま帰りました。まあ、俺一人のはずだけど
十時愛梨,あ、お帰りなさい、Ｐさんっ
Ｐ,……愛梨、なにをしてるんだ？
愛梨,Ｐさんに、クリスマスプレゼントを届けにきたんですよ！
Ｐ,そうじゃない！なんで服を脱いでるんだ！？
愛梨,え、あ、見ちゃダメですよっ～！
Ｐ,不可抗力だ。早く服を着ろ
愛梨,でも、先にプレゼントを
Ｐ,優先順位がおかしいぞ
愛梨,それじゃあ、着ますから……こっち見ちゃ、ダメですからねっ♪
Ｐ,見ない、見ないから早く着なさい
愛梨,よいしょっ――はい、着ましたよ
Ｐ,そうか。……おい、上を着ろ！
愛梨,えへへ、Ｐさんに私をプレゼント♪
Ｐ,後ろにケーキが見えてるぞ。早く服を着て、そっちを渡しなさいっ！
西島櫂,プロデューサーとクリスマスを過ごすとは、夢にも思わなかったな
Ｐ,俺も櫂と過ごすとは、さっぱりと思ってなかった
櫂,お互い様だねっ――わ、人が多い！
Ｐ,クリスマスに考えることは、みんな同じだなぁ
櫂,人ごみを泳ぐって感じかな
Ｐ,俺は櫂ほど泳げないから、置いて行かないでくれよ
櫂,プロデューサーも、水泳始めなよ。そしたら、私が教えてあげるからさっ！
Ｐ,はっはっは、櫂に教えてもらえるなら、悪くないかもな
櫂,でも、出会ったときみたいに、女の子目当てはダメだよ？
Ｐ,……おっと、あっちに良さそうな店が。先に行ってるぞー！
櫂,あ、待て、プロデューサー！――人ごみを泳ぐの、よっぽど得意じゃないか！
野々村そら,はろー、プロデューサー！今日ははっぴーくりすますだよ～☆
Ｐ,おはよう、そら。そうえば、今日はクリスマスか
そら,プロデューサー、くりすます忘れてたの？あたしお手柄？
Ｐ,ああ、そらのおかげで思い出せたよ。今日は事務所に来る子が少ないし、明日にでも、みんなにプレゼントを渡すかな
そら,ぷれぜんとっ、みんなに渡せばはっぴーだね！プロデューサーもほしい？
Ｐ,なにか、用意してくれてるのか
そら,もっちろん！――じゃじゃ～ん☆くりすますと言えば、そら！
Ｐ,お前はいつから、クリスマスの代名詞になったんだ
そら,間違えちった☆さあ、プロデューサー、けーきかそらか！
Ｐ,ケーキ
そら,おう、しっと！選ばれなかったそらちんは、はっぴーになるためにプロデューサーと一緒☆
Ｐ,結局、両方もらえるんだな……
メアリー・コクラン,ダーリン、どっちのほうが似合うかしら！
Ｐ,ダーリンと呼ばなかったら、選んでやる
メアリー,もう、細かいんだからっ。Ｐはどっちが似合うと思う？
Ｐ,両方、メアリーに似合ってると思うぞ
メアリー,どっちかを、Ｐの好みで選んでほしいのヨ
Ｐ,好みで選んで、両方だ。クリスマスだし、両方ともプレゼントしてやるよ
メアリー,ホント！？嬉しいワ、さすがダーリンネ♪
Ｐ,こら、ダーリンはやめなさい。店員さんに不審な眼差しを向けられるだろ！
メアリー,あら、なら言ってあげればいいワ。メアリーはダイジなハニーですって
Ｐ,不審から確信に変わるだろうが
メアリー,アタシは構わないけど？
Ｐ,俺は構う。そういうのは、メアリーがもっとセクシーになってからだ
メアリー,それなら、もうすぐネ！次のクリスマスには、アタシはＰのハニーになってるワ♪
Ｐ,言ってろ、言ってろ。――うわ、この服高い……
諸星きらり,Ｐちゃん、大丈夫？なにか飲みたかったりすゆぅ？
Ｐ,大丈夫、ちょっと疲れが出ただけだよ。……すまんな、きらり。せっかくのクリスマスに
きらり,きらりは、Ｐちゃんと一緒なだけで、とぉーってもハピハピだにぃ☆
Ｐ,そっか、そっか。俺もきらりと一緒で、幸せだなぁ
きらり,うきゃー☆嬉すぃ！今日は一緒に、ゆっくりしよーね？
Ｐ,そうだな。でも、せっかくだし、少しくらいは外に……
きらり,ダメダメ、Ｐちゃんの体調を優先するの！
Ｐ,ん、悪い。無理しちゃダメだな
きらり,きらりんパワーを分けてあげるから、きっとすぐに良くなるにぃ☆だから、良くなったらデートしよーね♪。――それじゃあ、まずはハグハグすゆー☆
Ｐ,……ちょっと苦しいけど、良いもんだ
きらり,今夜はずぅーっと、きらりとＰちゃんは一緒！うぇへへへ☆
矢口美羽,Ｐさん、パーティーで披露できるギャグって、なにかありませんかっ
Ｐ,美羽、まだ考えてなかったのか……
美羽,やっぱり、着ぐるみとかですかね？
Ｐ,着ぐるみなら、鈴帆がなにか用意してたが
美羽,ええ！？それじゃあ、コントとか……
Ｐ,笑美が、笑い収めだって、張り切ってたぞ
美羽,そんなぁ！――なら、駄洒落でいくしかないですねっ
Ｐ,そうえば、楓さんが考え事をしてたな
美羽,……ど、どうしましょう、Ｐさん！？
Ｐ,もう打ち止めかよ……楓さんと一緒に、披露したらどうだ
美羽,あ、その手がありましたね！
Ｐ,ついでに、キャシーも誘ってやれ。コタツで暇そうにしてたから
美羽,はいっ♪よーし、聖夜だし気合入れなきゃ……せいやっ！
Ｐ,美羽、今日は諦めようか
美羽,え
若林智香,あ、Ｐさん、雪が降ってきましたよっ
Ｐ,ホワイトクリスマスだな。……けど、仕事か
智香,ファンのみんなは、クリスマスでも待っていますから☆
Ｐ,まあ、確かに、ある意味では、元気づけられるファンも多いだろうな
智香,よく分かりませんけど、元気づけられるなら、嬉しいですね！
Ｐ,それでも、智香は余裕もあるし、仕事を入れなくても、良かったんだぞ？
智香,アタシがお仕事をするのは、ファンのためもありますけど、Ｐさんのためでもあるんですよ？
Ｐ,俺の
智香,はいっ！今日だって、アタシがお仕事をしなくても、Ｐさん一人で頑張るつもりでしたよねっ
Ｐ,あー……そうだな
智香,だから、アタシも一緒にお仕事をして、Ｐさんを応援するんです！一緒に頑張って、元気づけるんですよ☆
Ｐ,そうか……。ありがとな、智香
智香,アタシもＰさんに元気を貰ってますから、お互い様ですっ。えへへ☆
ちひろ,いかがでしたか！クリスマスは過ぎましたが、みんな魅力的でしたねっ。パッション以外にも、クールやキュートと、他にも大勢のアイドルがいますよ。え、彼女たちに会うには、どうすればいいかって？。それならもちろん、ガチャが一番っ！
７６５？オチ？……ほ？,威圧
