今井リサ,左手でクラッチレバーを握る。左足でシフトペダルを踏み込む
リサ,アタシが思うように……？
紗夜,ええ。今井さんが今井さんの思うように、やりたいように。……寂しいけれど、もうロゼリアはない。それなら私たちのことは気にしなくたっていいのだから
リサ,……アタシのしたいように。したいように。それなら、３年前のあの日からずっと答えは出ている。友希那のためとかアタシのためだとか、そういうのは無視するとして。そういった面倒なことを全部剥がして捨てていった先にあるのは、友希那とまた笑い合いたいという気持ちだ。だから……。アタシは……友希那ともう一度向き合いたい。あの日のことを謝って、それで、虫が良い話だけど、また友希那と一緒に笑いたい
紗夜,では、きっとそれが一番正解に近い答えでしょう
リサ,アタシの言葉を聞いて、紗夜は優しい笑みを浮かべて頷いてくれた。その表情の中には、今まで背負っていた重荷をようやく下ろせたような、そんな感情が混ざっているような気がした。あー、でも、ちょっと勇気がないっていうかなんていうか……
紗夜,この期に及んでまだそんなことを？
リサ,その優しい笑顔も救われたような感情も、アタシが続けた言葉を聞いてすぐに引っ込んで、見慣れた呆れ顔に打って変わった。い、いやいや、紗夜だって同じ立場なら絶対悩むでしょ！？
紗夜,……まぁ、そうね。否定はしないわ
リサ,でしょ？うーん、どうしよう……
紗夜,それなら、ライブに招待したらどうかしら。今井さんは大学でもバンドをやっているでしょう？
リサ,ん、まぁ……コピーバンドだけど
紗夜,であれば、湊さんをライブに誘ってみて、歌に気持ちを乗せてみるのもいいのではないかしら。焦って空回りするより、まずは誰かの言葉を借りて気持ちを伝えるのもひとつの手段だと思うわよ。面と向かっていきなり色々と話すのは無理だとしても、誘いをかけるだけならそこまで気負わないでしょうし
リサ,そっか……。確かに言われてみればその通りだ。いま友希那と面と向かってアレコレ話したら……先ほどまでじゃないにしても、テンパって変なことを口走る可能性は１００％に近い。それならロゼリアでそうしてたように、言葉ではなく音楽でアタシの気持ちを伝える方がずっといいだろう。うん、そうだね。そうしてみるよ。あ、そしたら紗夜たちも来る？
紗夜,遠慮しておきます。物事には順序がありますから。今井さんより先に湊さんと話す、というのは恐れ多いわ
リサ,…………。気を遣ってくれている、というのは分かっている。けれど紗夜にしては珍しい軽口が出てきて、それがちょっとおかしくて笑ってしまった。そんなアタシを見て、紗夜は少し気恥しいような顔をして声を出す
紗夜,不器用な私にはこういう物言いしか出来ないのよ
リサ,ううん。ありがとね、紗夜。言葉のあと、フイと背けられた横顔に向かって、アタシはお礼を言う
紗夜,いいえ。友人のためであれば当然のことですから
リサ,そしてとても優しい親友は、生真面目な口調を作ってそんな返事をくれるのだった。決心してからは早かった。紗夜にもう一度お礼を言ってから別れ、一度家に帰って準備をしてから大学へ向かう。そして軽音楽サークルのバンドメンバーに対して、多分初めてのワガママを言った。どうしてもあそこの近くでライブがしたい。そこでどうしてもやりたいことがある、というワガママ。大学から友希那を見つけた場所までは３時間くらいかかるだろう。縁もゆかりもない地方都市でのライブ。やっぱり断られちゃうかな。そう思ったけど、バンドのみんなは二つ返事でオッケーと言ってくれた。詳しい理由も聞かずにあっさりと頷いてくれたものだから、逆にアタシの方がえ、オッケーなの？。そして口を揃えて返ってきた言葉にちょっとだけ泣きそうになった。お節介。大きなお世話。みんなに対してもそうなんじゃないかと思っていたことを否定してもらえたから。ライブの日程を決めて、友希那がいた場所の近くのライブハウスをすぐに押さえる。それからどの曲をやろうか、という話の中で、もう一回だけアタシのワガママを聞いてもらった。これで残るライブの準備は練習をするだけ。……あとはアタシと友希那の問題だ。大学から家に帰って、どうするべきか、どうやって誘うべきか、頭を悩ませた。ライブに来てほしい。そう伝えるには必ず一度は友希那と顔を合わせなければいけない。もうスマホで連絡はとれない。知らないうちに機種を変えていた友希那の電話番号もアドレスも、みんな知らないから。だからまた直接会いに行くしかない。紗夜はそこまで気負わないでしょう。それなら……と一つの案を思い付いたのは午前２時。自分で作った歌詞を書き留めたノートをパラパラ捲っているときだった。アタシの気持ちを文字に起こそう。そして友希那に伝えたいことを手紙にして、それと一緒に予約を入れたライブハウスから送られてくる招待券を渡そう。そうすれば話すことは最低限で済むし、きっと意気地のないアタシでもちゃんと出来るはずだ。そうと決まれば、と早速近所のコンビニへレターセットを買いに行き、ああでもないこうでもないとまた文面に頭を悩ませ、手紙を書き終えたのが午前５時。新聞配達のバイクのエンジン音が聞こえて、なんだかんだもう２４時間以上起きていたことに気付く。すると途端に眠気とダルさが襲ってきて、アタシはパタリとベッドに倒れて、そのまま大学を２日連続でサボることになるのだった。週末。日曜日。余命いくばくもない秋の空は高々と晴れ渡っていた。太陽の陽射しは暖かいけど、バイクで走れば身を切る風は冷たい。止まると暑いけれど走ると寒い。服装を朝晩に合わせると日中は汗をかき、日中に合わせると朝晩は凍える。ちょうどいい塩梅を模索するのが大変な時期だ。こういう時は寒いに合わせるのがいい、と何かの雑誌で読んだような気がする。確かにそうだ。走っている時が一番気持ちいいのだから、そこでの不便利をなくすのが最善だろう。着こんだジャケットだって脱いでしまえば……嵩張るのは無視するとして、暑いのだって解決するし。そう思って厚手のジャケットを着こんだアタシは、東に向かってバイクを走らせる。軽排気量の単気筒エンジン。最高速度なんてたかが知れているけれど、そもそも高速にも乗れない原付二種だ。車体の軽さと低速域での加速の方が重要だろうし、アタシにはとっては十分すぎるパワーがある。最初は少し怖かった公道にも、シーソーペダルというらしいシフト操作にも、気付けばずいぶん慣れたものだ。手足のよう……は言い過ぎだけれど、大体自分の思う通りにバイクを動かせるようになっていた。寒い日はエンジンの機嫌が悪くてなかなか始動しないこともあったし、夏に渋滞にハマってオーバーヒートしかけて、やむを得ずに車の間を縫ってコンビニの駐車場を目指したこともあった。そんな風にこのバイクと一緒に友希那を探して、偶然に偶然が重なって、友希那を見つけることができた。思い返せば２年以上の付き合いだ。この子はもう半ば相棒と言ってもいいのかもしれない。そんなことを考えながら、マップアプリにピン付けした公園を目指す。本当はコンビニに直接停めればいいんだけど、アタシにはまだもう少しだけ心の準備が必要だった。あの銀杏並木を歩いて、少しでも気持ちを落ち着かせてから友希那と対面したかった。色々な言葉を書いては消して、消しては書き連ねた便箋と、ライブチケットの入った封筒。これを手渡すとき、どんな顔をすればいいのか。そもそも友希那がいなかったらどうしようか。色々と不安要素は多いけれど、それでも進もう。アタシはまた友希那と話がしたいし、出来ることなら一緒に笑い合いたいから。約２時間半のツーリングを終えて、アタシは公園に辿り着く。この前と同じようにバイクを駐車場に停めて、目的地へ向かって歩を進める。今日はいつも以上に早く時間が過ぎているような気がした。あ、そっか。なんでだろ、と少し考えて、すぐに合点がいった。目標がある、明確な目的地の決められたツーリングはこれが初めてだった。だからだろう。進むべき道に迷うこともないし、アタシの足もしっかりと地面を踏んで、前だと思える方へ歩めている。今のアタシと先週のアタシを比べると、その明暗の差に可笑しな気持ちになってちょっと笑ってしまった。ああ、やっぱり過ぎた憂鬱は喜劇的だ。この短期間でもそう思えるのだ。だからきっと、あの日の涙や後悔や間違いだって笑い話に出来るはずだ。友希那と、みんなと、またあの陽だまりのような日々を送れるはずなんだ。やっぱり公園から歩いて正解だった。少しだけ心がちゃんと整理できた気がする。そう思ったところで、目的のコンビニが見えた。少し深呼吸をして、たすき掛けしているボディバッグから封筒を取り出す。そしてお店の入り口に立って、手押しの扉を開いた。すぐにレジから明るい声が飛んできた。そちらにチラリと視線をやると、この前友希那と一緒に歩いていた女の子がレジに立っていた。店内を見回す。友希那の姿も、アタシ以外のお客さんの姿もない。日曜日の午前１１時過ぎ。駐車場には車が１台も止まっていなかったし、今は暇な時間なんだろう。やっぱり観光施設の近くじゃないと休日はどこのコンビニも暇なんだな、と思う。それはさておき、友希那がいないのは可能性として考えてはいた。いなかったら出直そうという気持ちでいたけれど、友希那に親し気に笑いかけていたあの子がいるのであれば話は別だ。ちょうど店内にはアタシとあの子だけ。もしかしたらバックヤードに友希那か他の従業員の人がいるかもだけど、いたらいたでそれはそれでいい。そう思って、アタシはレジに足を運んでその子に話しかける。あの。ぱっちりとした大きな瞳と短く切り揃えられたフワフワの髪の毛。キョトンとあどけなく首を傾げた仕草に、人懐っこそうな女の子だという印象を受けた。その子に向かって、アタシは言葉を投げる。友希那……います？。それを聞いて、女の子は少し訝しげな表情になる。それもそうか。いきなりそんなことを言われたって戸惑うだろうし、怪しまれるだけだ。これでアタシが男の人だったら通報されていたかもしれない。それは友希那はこのお店で間違いなく働いていますよ。……多分、そんな女の子だからこそ、友希那も柔らかい雰囲気で対応しているんだろう。そうなんだ。えぇっと、いきなりで何言ってるんだって思うかもだけど……これを友希那に渡しておいてもらえないかな。今井リサから、って。うん。幼馴染、なんだ。そうだよ。友希那はボーカルで、アタシはベース……だったんだ。友希那の幼馴染、と分かると、疑っていた表情もどこかへ飛んでいき、人懐っこい笑顔がパッと弾けた。それだけ友希那を慕っているんだろうけど、本当に警戒心が薄いというか純粋すぎるというか……放っておけない子だ。友希那もこんな女の子に懐かれるなら、絶対嫌な気にならないだろうな。そうなんだ……。いい話なら、いいんだけどね。……そっか。ううん、アタシが勝手に来ただけだからそれは大丈夫だよ。悪いけど、その手紙だけ渡しておいてくれないかな？。そ、そこまで気負わなくてもいいんじゃないかな……？。バンド……キミもバンドやってるんだ？。そっか。……じゃあ、その中にさ、アタシたちが来週やるライブのチケットがあるんだ。うん。良かったら……友希那と一緒に見に来てよ。２人までタダで招待できるからさ。卑怯な手だな、と思いながらそんな誘いの言葉をかける。きっとこの子に嘆願されたら友希那だって足を運ばざるを得ないだろうし、それでもなお来れないようなら……その時は、そういうことだって……泣いちゃうかもしれないけど、多分割り切れるから。友希那がこんなアタシにはとっくに愛想を尽かしていて、もう二度と顔も見たくないっていうなら……その方が傷付かずに済むから。そんなアタシの打算的な気持ちなんて知らずに、この子は明るい笑顔でお礼を言う。一点の曇りもないそれに少し目が眩みそうだった。過ぎる景色、時間は日めくり。やるべきことを決めて、それに向かって邁進すると時の流れはあっという間だ。友希那とあの子へ誘いはかけた。２人が来てくれるかはまだ不透明だけど、みっともない演奏を見せないようにと練習に励む。そうしているうちに、気付いたらもうライブ当日の土曜日になっていた。大学でバンドメンバーと待ち合わせて、みんなで一緒に電車に乗り込む。そして過ぎていく車窓からの風景を眺めながら、この一週間を振り返る。大学から片道２時間半の駅近くのハコでのライブ。交通費だってばかにならないし、時間だってかかる面倒な場所なのにツアー気分であっちに１泊しちゃう？。今井さんなら絶対に大丈夫です。陰ながら応援していますよ。それらを見てしみじみと思ったのは、アタシがいかに人間関係に恵まれているかということ。みんなみんな、アタシなんかにはもったいないくらいに良い人ばかりだ。そう思うけれど、そんなことをまた口にしようものならやっぱりあなたはバカね。代わりに口にする言葉はきっとありがとうが一番だろう。ありがとう。アタシはそのお礼の言葉に今までたくさん助けられてきたんだ。昔から人に世話を焼くのが好きだ。そして感謝されることが嬉しい。感謝してくれる人がいて嬉しい。アタシを認めてくれたって気持ちになれて、それが幸せだった。確かにこれは自分自身のための行動なのかもしれない。それならきっと、アタシはみんなのおかげで生きているんだろう。アタシは到底ひとりぼっちにはなれない。ひとりぼっちになったら、そのまま寂しさに溺れて死んでいってしまう。そう思うと、友希那はとても強い人なんだと改めて思い知らされる。アタシがアタシの都合で拒絶して、ひとりになってもそれでも前を向いて歩いていた。出来ることなら、そんな強い幼馴染の隣に並んで、また一緒に歩きたい。それが出来るようになるかは分からないけれど、でも、今はそれは置いておこう。友希那に伝えたいことがある。それだけを考えて、目の前のライブに臨もう。ライブハウスに到着して、控室で準備を始める。東京からは離れたところだけど、大体のことは一緒だ。ワンマンライブじゃないから、今日同じステージに立つ他のバンドの人と簡単に挨拶を交わして、順々にリハーサルを行う。それからアタシたちに割り当てられた時間を確認して、セットリストの最終確認。今日は４つのバンドがライブステージに立つようで、アタシたちの出番はトリだった。懐かしいＣｉＲＣＬＥと比べれば小規模なライブハウス。けど、近くにあんまりライブハウスがないからけっこう人が来るんだよね。コピーバンドにオリジナルバンド、老若男女問わずにこの近辺の色々な人たちがここでライブをするらしい。そんなライブハウスで土曜日にステージが空いていたのは幸運だった。まさに偶然の積み重ねで得られた千載一遇の好機だ。色々なものが複雑に絡み合って、友希那の姿を再び見つけることができて、こういう形ではあるけど向き合おうと思えるようになった。だから頑張らないと。……でも、そう思う中で、やっぱりまだ不安な気持ちがあるのも事実だった。ライブハウスが開場され、お客さんが入ってくる。最初のバンドのステージが始まるころには、満員とは言えないけれど、オールスタンディングの観客席は自由に歩き回るのが難しい程度に人で埋まっていた。控室のモニターにその様子が映し出されていたけれど、アタシは少しだけ視線をやってすぐに目を逸らした。もしも友希那がいなかったら。来なかったら。何か予定があった、バイトのシフトだった……ということもあるだろうけど、でも、その根底にあるのは拒絶の意思なんだとアタシは感じるだろう。もう二度と、友希那はアタシと話をするつもりはない。つまりはそういうこと。だから怖かった。紗夜はファミレスで湊さんも同じ気持ちだ。虫のいい話だろう。ボロボロに泣きながらみっともなく別れを告げておいて、今さらまた昔のように戻ろうだなんて。そう思う方が自然だ。だから怖い。友希那と……現実と向き合うことが怖い。ライブ前の緊張とは違った緊張に身体が少し震える。そうしている間にも時間はどんどん過ぎていく。いつの間にか３つ目のバンドの出番になっていて、気が付けばそのバンドも最後の曲を演奏していた。メンバーに促されて、アタシも深呼吸をしてからベースを担ぐ。そして舞台袖にたどり着いたところで、前のバンドの演奏も終わったようだ。次はとうとうアタシたちの番。演奏を終え、興奮した面持ちの人たちとすれ違う。君たちも頑張ってね！。それからまずアタシたちのバンドのギターボーカルがステージへ足を進めた。それにドラム、そしてキーボードと続く。最後はアタシだ。震える足に力を入れて、ステージへ踏み込む。舞台上を強く照らす照明が熱い。観客席にもさっきのバンドの演奏の熱が残っているようだ。縁もゆかりもないアタシたちを大きな拍手で迎えてくれる。だけど、やっぱりアタシは俯いたままだった。怖い。観客席を見るのが怖い。怖くて怖くて仕方がない。ずっと考えていたことがまったくの虚勢だったんだと思い知らされる。友希那がアタシを拒絶するならそれでいい？。嘘だよ、それは。そんなのはただの強がりなんだよ。嫌だよ。拒絶されたくない。友希那と離れたくない。嫌だ。それでいいわけないよ。もう会えないと思ったのに会えたんだから、勝手だって知ってるけどまた友希那と笑い合いたいよ。だから怖くて怖くてしょうがないんだ。光の向こう側にあるのがより深い闇なのか、暖かい陽だまりなのか。それを知るのが怖い。手が震えて止まらない。手どころか全身が震えているのを痛いほど実感していたら、声が聞こえた。どこかで聞いた声だ。これは……そう、先週、友希那のコンビニで聞いた声。俯かせていた視線を少し上げると、最前列の柵のところにあの子がいた。やっぱり曇りがない、どこまでも眩しい笑顔でアタシに手を振る。それから客席の後ろの方を指さした。その先へ、恐る恐る、視線を動かす。最前列から、中列、最後尾へ。そしてそのどん詰まり、壁に背をあずける人物と目が合った。腰のあたりまでかかるストレートの髪の毛。明るい色の瞳。記憶の中より少し痩せた気がする立ち姿。友希那……。あの日に別れてしまってから、何度も何度も顔を見合わせることを夢に見続けた、誰よりも大切な幼馴染がそこにいてくれた
湊友希那,…………
リサ,友希那は少し迷うような、困ったような笑顔を浮かべた後、小さく手を振ってくれた。それから口が動く。頑張って。そう言ってくれたような気がした。だからアタシはそれに強く頷き返した。うん、大丈夫。隣に立つギターボーカルの友人に声をかけられる。それにもアタシは強く返事をした。……つくづく、アタシは現金な人間だと思う。あんなに怖がっていた。あんなに震えていた。それなのに、ただ友希那がそこにいる。アタシを見て、アタシに言葉をくれる。それだけでもう何も怖いものなんてないし、身体だって全然震えない。やっぱりアタシは打算的でずる賢くて、誰かのためじゃなく自分のために人に優しくする人間なのかもしれない。でも、それでいいや。友希那がそれで笑ってくれるなら、アタシのことを見てくれているなら、もうそれだけでよかった。ステージの上で、ドラムの友人がみんなに声をかける。それに頷き返して、アタシたちの演奏は始まった。コピーバンド。誰かの言葉を借りて、自分のために吐き出す音楽。この歌が好きだ。この歌詞が好きだ。このメロディーが好きだ。その好きなものたちに自分の気持ちを乗せて、誰かに何かを伝えるための音楽。本来はそんな高尚なものでも意味があるものでもないのかもしれない。だけど、今の、今日のアタシはそうだ。１曲、２曲、３曲、４曲、５曲。続けざまに誰かが作った音楽を借りたアタシたちは、いよいよ最後の曲を演奏することになる。アタシがどうしても、とワガママを言った曲だ。ギターボーカルの明るい声が会場に響くと、視線が一気にアタシに集まる。友希那もあの子も、ジッとアタシを見つめる。あー、はい、アタシが歌います。集まった視線にちょっとだけドギマギしながら、アタシはスタンドマイクに向かって言葉を放つ。ほんと、みんなには今日はアタシのワガママに付き合って貰ったっていうか、そんな身内話になっちゃうんだけど。ベースを弾きながら歌うことはロゼリアでもあった。それはパートだったりコーラスだったり、友希那を彩るための僅かなものだった。だけど、今日はフルでベースボーカルだ。どうしても、言いたいこととか、伝えたいこととか、そういう色んなものがあって……。自分の言葉でなければ、その本質の意味は薄いものになってしまうのかもしれない。綺麗事ばかりを取り繕った歌詞に意味なんてないのかもしれない。けど……。今は自分の言葉だと、なんていうか、絶対ワケ分かんないことになるって思って、だから、その、歌で……少しでも、離れてしまった大切な人に何かが届けばいいなって思います。でも、だけど、そうだとしても。アタシは伝えたい気持ちを歌にしたい。だから、歌います。ロングホープ・フィリア。曲名を呟き、ステージへ視線を送る。ここにはロゼリアのみんなはもういないけど、こんなアタシのワガママに付き合ってくれる大事な友達がいてくれる。観客席へ目を移す。アタシを導いてくれた無邪気なあの子と、ステージと観客席みたいに隔たれ、近いけど遠くに離れてしまった大切な幼馴染がいてくれる。地元へ行けば、高校時代を、青春を共にした大切な仲間たちがいる。利己的でも、本質はアタシのためでもいい。友希那に、みんなに、アタシの気持ちが少しでも届きますように。そんな願いを込めて、アタシは歌を歌う。正解ではなかったけど、きっと間違いじゃなかった。またこうして友希那と出会えたから。この気持ちを少しでも伝えられたから。友希那はアタシを許してくれないかもしれない。本当はそんなの嫌だけど、それでも伝えられたから、ここに来てくれたから……アタシは最後まで強がってみせるよ。もしもこれが最後の別れだとしても、また笑い合える日々が続くんだとしても、アタシの願いはやっぱりたった一つだから。そして、あなたの行く先に那由他の幸福がありますように。ライブが終わって控室に戻ると、アタシはバタバタと慌ただしく帰り支度を整える。ベースもエフェクターもかなり乱雑にバッグに突っ込み、しっちゃかめっちゃかに絡まるシールドがもどかしくて変な声をあげてしまった。その様子をバンドの友人たちに笑われたけど、理由も話してないのに訳知り顔でいてくれた。ごめん、ちょっと……。……ありがと！。ああ、やっぱりアタシは友人に恵まれている。そう思いながら、ドアを蹴破る勢いで控室を飛び出して、ライブハウスの出入口へ走る。最後まで強がって、友希那が幸せならいいってずっと思ってたけど。でも、それでも、友希那がここに来てくれたから。アタシを見てくれたから。あの手紙の最後に、何度も何度も書こうか書くまいか悩んでから綴った言葉に、もしも友希那が頷いてくれているのだとしたら。最後の扉を開け放ち、外へ飛び出した。１１月中旬。初冬の夜風が冷たく吹き抜ける。半分の月がのぼる空。申し訳程度に星が煌めく夜空。その寒空の下には――。……っていう感じかな
友希那,…………
リサ,ん？どしたの、ポカンとして？
友希那,……何の話なの？
リサ,ああほら、この前友希那が話してたじゃん？もしもひとりぼっちになったらって
友希那,……ああ
リサ,思い出した？
友希那,ええ、私が夢を見た話ね
リサ,そうそう。そんでさ、もしも友希那がひとりぼっちになるなら、アタシはそうするかなって
友希那,なるほど。ずいぶん行動的なのね
リサ,いや～、そりゃあ友希那のためだからね？。どんな理由があろうと、友希那と離れ離れになるなら……アタシは人生をかけてもう一回友希那に巡り合うよ
友希那,ふふ、ありがとう。私はどこでもあなたに助けられてばっかりね
リサ,そんなことないって。アタシが友希那に助けられてることの方が多いからね
友希那,あら、そうなの？
リサ,うん、そうなの
友希那,……そうだとしたら、私はもっと嬉しいわ。私がいることでリサの助けになれているなら、それ以上の幸せはないもの
リサ,アタシもだよ、友希那
友希那,リサ……
リサ,友希那……
宇田川あこ,おっつかれさまでーす！
友希那,！？
リサ,っ！？
あこ,……あれ、どうしたんですか、友希那さんにリサ姉？なんか２人して変なポーズしてますけど
友希那,なっ、な、なんでもないわよ？
リサ,そ、そーそー！別に、これっぽっちも、ねぇ、友希那っ！？
友希那,え、ええ、まさにその通りだわ、流石リサねっ……
あこ,ふーん？
友希那,そ、それより、今日は早いわね、あこ。いい心がけだわ
リサ,だ、だね。まだ練習まで３０分近くあるのに偉いぞー
あこ,えへへ、今日はホームルームが早く終わったんで、走ってきちゃいました！
友希那,そ、そう。燐子と紗夜ももう来るかしらね
あこ,んー、りんりんと紗夜さんは多分遅くなると思いますよ？
リサ,え、どうして？
あこ,えっと、さっきさあやちゃんたちとすれ違ったんだけど……なんか花女の中庭で、りんりんと紗夜さんがずーっと睨めっこしてたって言ってて……。それはそれはとても邪魔できる雰囲気じゃなかったんだー、って一緒にいたかすみちゃんとありさも言ってましたから！。まだ時間に余裕があるし、２人で一緒に遊んでるんだと思います！
友希那,……そう
リサ,……へぇ
友希那,…………
リサ,…………
あこ,あれ？２人とも、なんか変な顔になってるよ？
友希那,いえ……
リサ,お赤飯でも炊いた方がいいのかなーって
あこ,お赤飯？
友希那,それは早計だと思うのだけど
リサ,えー、いやでも、あの紗夜と燐子が何もなく睨めっこって……ねぇ？
あこ,……？何の話ですか？
リサ,あこにはちょっと早い話かなぁ
友希那,そうね
あこ,えーっ、なんですかそれー！？ずるーいっ、あこにも教えてよリサ姉～！
リサ,いやぁ……あこにはいつまでも純粋でいて欲しいって言うか、なんていうか
友希那,その口ぶりだと、私もリサも燐子も紗夜も不純だって言っているように聞こえるのだけど……これは言わない方がいい気がするわね
あこ,そんなぁ～……
リサ,あーごめんごめんって。ほら、そしたらさ、まだ練習まで時間あるし、あの２人が来るまでカフェでお茶しよっか。さっきまりなさんにパフェの引換券貰ったんだ。だから、ね？
あこ,本当！？わーい、パフェパフェ～！
リサ,……本当は貰ってないけど、この場を切り抜けるためには仕方ないよね
友希那,ああ……そんなもの貰ったかしらってちょっと考えてしまったわ……
あこ,さぁさぁ、そうと決まれば早く行きましょーよー！
友希那,ええ
リサ,はいはい、パフェは逃げないからそんなに慌てない慌てない
あこ,はーい！
そちらへ視線を移すと、リサが小走りで駆け寄ってくる姿が目に映った。そして私の座るベンチまでたどり着くと、,ふぅ
なのに例の手紙に綴ってあった言葉は,アタシは自分勝手に友希那を傷付けた
あの寒空の下で、半分の月がのぼる空の下で、リサと仲直りというか元通りというか……とにかく、またこうして昔のような関係になってから交わした最初の約束の時まで謝ってくるものだから、思わず言ってしまった。,リサ、あなたはバカなの？
そうしたらどうしてかリサはすごく嬉しそうな顔をして,あはは、紗夜にもそう言われた
菅田将暉,ロングホープ・フィリア
