スレタイの果とは、果物,くだもの
嵐,え、えっと……野分さん？
野分,違います
萩風,これは一体、どういう
野分,違います
嵐,ちょっと詳しく聞かせてもらおうかな
野分,これは違うのです
萩風,うんうん、詳しくは署の方で聞くからね～
野分,野分には何のことやら
舞風,長門さん、長門さん
長門,ん、舞風か。どうした
舞風,これ、あげます
長門,む？これは……バナナか
舞風,たくさん食べてください
長門,あっ、おい、舞風
陸奥,どうしたの、それ
長門,いや、駆逐艦の子達に貰ったんだが
陸奥,えー、また？
長門,う、うむ
陸奥,え、何で？あの子達のおやつじゃないの
長門,私にも分からないんだ
陸奥,どうするの、こんなに沢山
長門,食べるさ
陸奥,これ全部？
長門,う
陸奥,相当あるわよ
長門,まあ、何とかなるだろ。別にバナナは嫌いじゃないしな。……
舞風,どお？
嵐,食べてる、食べてる
野分,すごい量ですね
萩風,あれ全部食べるのかな
舞風,ほらね、言ったでしょ。長門さんはバナナが一番好きなんだよ
萩風,確かにそうかも
嵐,あの食べっぷりだもんな
舞風,みんなにも教えてくるね
野分,あっ、舞風、私も行きます
舞風,何それ
不知火,菓子折りです。長門さんに、日頃のお礼をと
舞風,あー、そんなのダメダメ。長門さんにはバナナじゃないと
不知火,えっ、バナナですか
舞風,そう！バナナ！なるべくおっきな奴ね
不知火,しかしバナナなんて……
舞風,だーいじょうぶだって、バナナ大好きなんだから長門さん
陽炎,ゴリラじゃないんだから、そんなにバナナばかり食べる訳ないでしょ
舞風,じゃあ、見てみてよ。ほら、あそこにいるよ
長門,……
陽炎,……食べてるわね
不知火,そういえば、こないだもモリモリ食べていましたね
陽炎,え、何？本当にバナナが好きなの
不知火,みたいですね
長門,確かに嫌いではないが……。こんなにあると流石に飽きるな
陸奥,間宮さんのお店で使ってもらったら
長門,いや、それは駄目だ。自分達のおやつを差し出してまで贈ってくれたんだ。やはり私が責任を持って食べ切るべきだろう
陸奥,でも、この量よ
長門,少々無理しても詰め込んで食べるさ。……！
不知火,すごい勢いで食べてますね
陽炎,そんなに嬉しかったのかしら
長門,うっ！喉に詰まっ……！
陸奥,ほらほら、慌て過ぎよ
長門,うっ、うっ
陽炎,ドラミングしてるわね
舞風,ドラミングって何？
陽炎,胸をドンドン叩いてるでしょ、あれよ
野分,どうして叩くんですか
陽炎,興奮してるんじゃないかしら
野分,そんなに喜んでくれているのですか
陽炎,あと、威嚇してるのかも
嵐,威嚇？何でさ
陽炎,バナナを盗られると思ったんじゃないかしら
萩風,あー、陸奥さんにね
不知火,妹相手にも譲らないとは……本当にバナナが宝物なんですね
陽炎,はあ……仕方ないわね。長門さんへの贈り物はバナナにしましょう
不知火,えっ、本当にバナナでいいんですか
陽炎,あんなに好きならその方がいいわよ。みんなでお金を出しあって、バナナを沢山買いましょう
舞風,やったーっ！
萩風,どうせなら高級品にしてみる？
嵐,あ、それいい！贈答用の奴とか
不知火,喜んでくれるでしょうか
舞風,絶対大喜びだよ！
萩風,楽しみだね～
野分,楽しみですね
陽炎,この中に一人、裏切り者がいるわ
不知火,それはまた物騒な話ですね
黒潮,まあ裏切り者っちゅーか、変わり者やな
親潮,確かに、一人だけ明らかに違いますね
初風,ああ、なるほど。間違い探しね
雪風,雪風は分かりました！
天津風,えっ、もう？
時津風,時津風も分かったよー！
浦風,まあ、ウチらの目は誤魔化せんよ
磯風,そもそも誤魔化してないだろ、これ
浜風,えっ、もうみんな気づきました？
谷風,てやんでい！まるっと全部お見通しよー！
野分,というか最初からバレバレですね
嵐,あ、やっぱり？
萩風,でも、本人は分かってないみたいだよ
舞風,じゃあみんな、せーので言うよ
秋雲,え、えっと、犯人は……
全員,お前だーーー！！
秋雲,な、なんだってーー！？
