本田未央,プロデューサー……今、あなたは何をしていますか？相変わらず馬鹿なことやって、はしゃいでいるのでしょうか？それとも、偶にみせる実直さで何かに向き合ってるのでしょうか？それでも……いつもと変わないあの笑顔で過ごしているのでしょうか？私は、あなたに会えない寂しさで笑えそうにありません……。ねぇ……笑えないよ……どこに居るの？プロデューサー。会いたい、会いたいよ……
みく,もちろんにゃ。でも、頭ではわかってても後回しにされたって思ってしまうものにゃ！女の子っていう生き物は！
みりあ,そうなの？
莉嘉,そうかも？
モバＰ,どうしろと……
みく,無理してでも、両方一緒に食べるべきだったにゃ
モバＰ,ラブコメでよくあるやつね。でもそれはそれで、嫌じゃないの？味わう事もなく詰め込んでますって感じで
みく,むっ
モバＰ,だから俺は夕飯としてちゃんと食って、感想を伝えたよ
みく,それなら、蔑ろにはしてないにゃ……Ｐチャンの勝ちにゃ
モバＰ,勝ち負けなのか……まぁ、フォローじゃないけど弁当箱返すついでに、それに弁当を作って渡したよ。要らんお世話かもしれんから、許可はとってな
みく,作ったの！？
モバＰ,うん
みりあ,みりあも！みりあもプロデューサーのおべんとうたーべーるー！
莉嘉,莉嘉もっ！Ｐくん作って！！
モバＰ,仕方ない……明日弁当箱持ってくること。皆には内緒にすること。キリがないからな。約束できるか？
みりあ・莉嘉,うんっ！
みく,みくもお願いするとして……次にゃ！
モバＰ,まだあんのか……
みく,みくだけに注意！みくだけにっ！！
モバＰ,う～ん……
みく,なんか言ったらどうにゃ！？みくは傷ついたにゃ！！
モバＰ,いや……さっきも言おうと思ったんだけど……。要は、俺が自分の担当を贔屓してるって言いたいんだよな？
みく,はっきり言ってしまえば、そうにゃ！だからもっと、みく達をっ
モバＰ,でも、ちび達の担当って部長だぞ？
みく,……………………………………次っ！
モバＰ,えぇ……。……これ、ただ俺がひどい目に合ってるだけじゃん
みく,この画面端を見て欲しいにゃ
モバＰ,美優さん？
みく,おわかりいただけただろうか……
モバＰ,美優さんを心霊扱いすんなよっ
みく,寂しそうに見つめる女性。その腕の中にはモフられ過ぎてぐったりしてる着ぐるみ少女が……
モバＰ,仁奈……
みく,お互い少女を抱っこしてる者として、楽しくおしゃべりしたいオーラを出してる美優チャンに気付けば、仁奈チャンはこんなことにはならなかったにゃ！
モバＰ,難癖もいいとこじゃねぇか……
みりあ,ねーねー、ぱいおつかいでーのちゃんねーってなにー？
モバＰ,さあ、なんだろーなー
莉嘉,お姉ちゃんに聞いてみよっ☆
モバＰ,なにそれ楽しそう
みく,なんて言ってる間に、次にゃ
モバＰ,マジか……。これは流石に俺悪くないだろ。ちゃんと留美さんも誘ってるし
みく,Ｐチャンそこじゃないにゃ。留美チャンはこの時、結婚情報誌を読んでたにゃ！
モバＰ,みく、大丈夫か？それは大丈夫か？
みく,なにキョロキョロしてるにゃ！Ｐチャンは留美チャンの渾身のネタをスルーしたのにゃ！これを蔑ろと言わなくてなにを
留美,あれはモデルをしたからチェックしてただけよ。面白そうな事してるわね。私も一緒していいかしら？
みく,……Ｐチャン、みく死ぬのかな？すごく頭に圧迫感があるにゃ
モバＰ,みりあと莉嘉もウエディングドレス着たいか？
みりあ,着たい！ひらひらでカワイイのがいい！
莉嘉,女の子の夢だよ！当然っ！
みく,無視するにゃあ！うにゃあぁぁぁぁぁ！あたまがぁぁ！Ｐチャン、たすけてぇぇ！
モバＰ,おや？チャプターがまだあるなー
みく,薄情ものぉぉ……。何か申し開きは？
モバＰ,頭痛くない？大丈夫？ちょっと頭痛薬探してくるな
みく,いらない。何か申し開きは？
モバＰ,千枝は担当アイドルじゃ……
留美,乃々ちゃんは担当アイドルね
みく,みく達には、仕事以外電話もメールも禁止って言ってたよね？あと、ラインなんて初耳なんだけど？
モバＰ,語尾が普通になってるにゃ。怖いにゃ
みく,いいから。ラインしてるの？
モバＰ,俺から積極的には……千枝から来るくらいで……
留美,いいタイミングで着信したわね
みく,見ないの？
モバＰ,いえ……
みく,……ふぅ。見ていいにゃ。千枝チャンが可哀想にゃ
モバＰ,うすっ。さーせん
みりあ,シューコってだれー？
モバＰ,ぬあ！みりあちゃん！人のケイタイは覗いちゃイケません！！
みく,……はよ
留美,説明
モバＰ,うわぁ……あれ？莉嘉がいないなぁ。ちょっと探して
みく,さっきトイレ行った
留美,説明
モバＰ,……京都で和菓子屋に拠ったとき、絡まれたんですよ。その時にラインも無理矢理登録されて……
留美,Ｐ君なら躱せたでしょう？それとも、タイプだったから、そのまま流されたとでも？
モバＰ,いやいや！芳乃がこの方はー、いずれーそなたの助けになるでしょーって言うんで！
みく,むぅ！それにしても、店の滞在時間なんて長くても十分そこらにゃ！そんだけで連絡先を。……交換なんて。……早すぎ。るにゃあ！！！
モバＰ,いやまあ……そこの店主が芳乃をえらく気に入って、しばらくマスコットとして居てほしいと。その間、娘を観光案内に貸すからって
留美,……取り敢えずわかったから、一言でも返してあげなさい
モバＰ,すいません
留美,Ｐ君。私は一言でもって言ったわよね？
モバＰ,おほぉ……ちかーい……すいませんっした！
莉嘉,あー！Ｐくんがチューしようとしてるっ！
モバＰ,おぉ！莉嘉帰ってきたか！ほらっ、隣座れっ！続き見るぞ！
莉嘉,うん！
みりあ,じゃあ、みりあが再生押すー！
みく,後でラインのID教えるにゃ
留美,拒否は許さないわ
モバＰ,は、はは……。みく、これは……
みく,Ｐチャンがナナチャンをホントに好きなのか、追及しようかと思ったんだけど……冷静に見たら…………なんか、ゴメンにゃ
モバＰ,これは消そうな？
みく,うん……
みりあ,面白い曲だったね！ミミミン！ミミミン！ウーサミン！！
莉嘉,う～どっか～ん！あははっ！
留美,この子達に救われるわ……
みく,気を取り直してっ！次が最後にゃ！！
モバＰ,やっとか……。……これは？
みく,未央チャンの可能性を一つ潰した……とか言うつもりだったけど、ごめんにゃ。ただ面白かったからにゃ
モバＰ,正直でよろしい
留美,これなら、未央ちゃんも後悔しないでしょうね……
みりあ,すごかったねぇ。バーンってなったら、佐藤さんバウンドしてた
モバＰ,なぁ。パンツ丸見えだったのに、色気も何もなかったなぁ
莉嘉,そんな事よりっ！鈴帆ちゃん見てたらおでん食べたくなってきた！Ｐくん、コンビニ行こっ？
みりあ,みりあも行く！大根食べたいっ！
モバＰ,よしっ！行くか！いい加減俺も腹減った！
みく,待つにゃ！Ｐチャン！これ見て自分がどんだけ酷いことしてたか、わかったでしょ！？
モバＰ,卯月とラインの件以外、無理矢理感が半端ないんですが。件の二つも、蔑ろにしてる訳では……
みく,うるさいにゃうるさいにゃうるさいにゃあ！いいから反省するにゃ！！
モバＰ,えぇ……どーすりゃ、いいのよ
みく,……もっと構って欲しいにゃ。Ｐチャン、みくの事スルーし過ぎにゃ。自覚がない分、余計に傷つくにゃ……
モバＰ,……すまん。知らずとはいえ、傷つけてるとは思ってなかった。これからは気を付ける
みく,ホント……？
モバＰ,おぉ！手始めに……よ～しよし！ここか？ここがええのんか？
みく,にゃあ！？そういう構い方じゃなくてっ！うにゃぁぁ！！
市原仁奈,ただいまでごぜーますよ！
佐城雪美,ただいま…………Ｐ…………
ちひろ,お昼のついでに二人のお迎えに行ってきましたよ。……何してるんです？
モバＰ,丁度良かった。仁奈、雪美！カモン！！
みく,にゃにゃにゃ！！
仁奈,なんでごぜーます？
雪美,……なに？
モバＰ,みくが寂しがってるんだ。仁奈は抱き付いて最高のモフリを！雪美はペロを撫で回すように、みくを頼む！！俺は飯に行くっ！
仁奈,仁奈に任せやがってください！
雪美,ん…………みく……かわいがってあげる
みく,ちょっ！そういう雑な扱いをやめてって……ま、待つにゃ。二人とも、みくは大丈夫だから
仁奈,動いたら駄目ですよ！モフリ感が薄まりやがります！
雪美,みく……気持ちよく……してあげる…………ここ？……それとも…………ここ？
みく,ふにゃ！仁奈チャン離して……これは…………これはぁぁ！！はにゃあぁぁ！！
雪美,Ｐ……なんか…………粘液……出てきた…………
モバＰ,鼻水な。それじゃ、後頼むな。みりあ、莉嘉、行くぞぉ
みりあ・莉嘉,うんっ！！
留美,私も行くわ。ふふ、家族みたいでいいわね
みく,待つにゃあ！Ｐチャン、覚えてろにゃあ！！……も、もう……にゃ、にゃはぁぁぁぁ…………
モバＰ,……なに、この弁当箱の山
三船美優,あ、あの……みくちゃんが、これを……
モバＰ,……美優さん。今日の夜、暇ですか？
美優,え？……は、はい
モバＰ,一緒に料理作りませんか？ざっと３０人近くのお弁当なんですけど……もちろん、お礼は出来ることなら
美優,なんでも！？
モバＰ,ま、まあ
美優,ふふ……頑張りましょうね？
モバＰ,あと大人組で誰か……
美優,二人で
モバＰ,え？
美優,二人……
モバＰ,え、ええ！二人で乗り越えましょう！
美優,はいっ！
モバＰ,寝てないわ～。マジ寝てないわ～
先輩Ｐ,うぜぇな。安請け合いするからだろうが
モバＰ,三人分が十倍になるなんて、思いもしませんって
ちひろ,よく作りましたね。普通に凄いですよ
モバＰ,美優さんのおかげですよ。一人じゃ無理でした
先輩Ｐ,あ、それ、留美さんにバレてるぞ。へぇ……だって
モバＰ,てめぇがバラしてるじゃねぇかっ！はぁ……もういいです。眠い……
ちひろ,それにしても、久しぶりですね。事務所に三人だけって
モバＰ,……ちひろさん。それ、なんかのフラグに感じる……
先輩Ｐ,ご期待にお応えして。二人ほど別室で待っております
モバＰ,……知ってます？俺入社して一年たってないんですよ？すでに、16人も担当アイドルがいるんですが
先輩Ｐ,有能だなぁ……
モバＰ,うるさいッスよ……流石に今回は先輩でしょ？
先輩Ｐ,……ここで、朗報です。待機してる二人は、歌もダンスもトップレベルで指導できるほどの？
モバＰ,？
先輩Ｐ,……ほどの？
モバＰ,え？プロデューサー？
先輩Ｐ,よしっ！挨拶に行ってこい！
モバＰ,マジっすか！？行ってきます！
ちひろ,……いいんですか？
先輩Ｐ,私、嘘は言ってないですよ
ちひろ,ま、いつものことですね
モバＰ,むぅ……よく考えたら、担当アイドル外されるかもしれないのか……それは、嫌だなぁ。悩んでも仕方ないか……よしっ！まずは仲良くなれるように、明るくいこう！失礼しますっ！
ヘレン,ヘーイ！
川島瑞樹,ハーイ！みんなのアイドル、川島瑞樹
モバＰ,失礼しました
