本田未央,そんな、私だって……忘れない……忘れられるわけないよ、うぅ……ぐすん
杏,ふん、杏は退かないぞ。二人していちゃコラとゲームしてた復讐なんだ
未央,うん、それはごめん。でも……もう、来るよ？
杏,何が来るのさ？
未央,トライアドプリムス
杏,へ？
未央,トライアドプリムス……withｳﾂﾞｷ
杏,……
未央,シャワー……行こっか
杏,……ん
モバＰ,あー……ルキトレさん、休みなのに無理言ってごめんね？
ルキトレ,……いえ、楽しかったですし
モバＰ,俺も、シャワー浴びてこようかな
ルキトレ,あ、わたしも……
モバＰ,一緒に？
ルキトレ,プロデューサーさんにその勇気があるのなら
モバＰ,ここにヘタレが一匹
ルキトレ,意気地なし
モバＰ,あ、それかわいい
ルキトレ,……ふふ
モバＰ,ははっ
凛,何がおかしいの？
モバＰ,ふゃ！？だ、だからりんちゃん！気配消すのダメ絶対っ
ルキトレ,な、なんでもないですからっ！わたしシャワー行って来ます！
凛,ん～？
モバＰ,か、加蓮と奈緒と卯月は？……一人で来たのか？
凛,ラウンジにいるよ。嫌な波動を感じたからちょっとダッシュで来た
モバＰ,は、波動？そ、そか……
凛,……
モバＰ,じゃ、じゃあ、俺もシャワー浴びてくるな
凛,……私も行く
モバＰ,な、なんで？
凛,それ着替えたいんでしょ？代わりの服用意してあげる。まだ時間あるし
モバＰ,……あ、はい、すいません。いろいろと……
凛,？？
先輩Ｐ,よぉ、デビューの日決まったらしいな。ちょうど三ヶ月か、やるじゃねぇか
モバＰ,えぇ、まぁ……。来週のLIVEバトルで……
先輩Ｐ,ん？テンション低いな。どしたん？
モバＰ,そりゃ、本当の意味で研修が終わる訳ですし……
先輩Ｐ,うん、半年間お疲れ
モバＰ,……先輩、魚肉ソーセージ上手いっすか
先輩Ｐ,え？別に？
モバＰ,そうっスか……
先輩Ｐ,うん
モバＰ,……
先輩Ｐ,……
モバＰ,……
先輩Ｐ,……
モバＰ,もうちょっとやさしくしろやぁ！！
先輩Ｐ,なんだてめぇ！！訳わかんねぇぞっボケェ！！
美嘉,たっだいま～★チョコピョッキー売り切れてた～もう、サイアクだよ～
卯月,おかえり～。魚肉ソーセージならあるよ？
美嘉,おっさんぽいから、パスで★
モバＰ,ぴゃ～！おっさんだって！うへはははっ！
先輩Ｐ,……ふんっ
モバＰ,ッイ！？
卯月,頭突きされると、ッイってなるんだね。ッイって顔になってる。ッイ！
美嘉,びっくりしたぁ……一瞬キスしたのかと思った……卯月、その顔、人前でやっちゃダメだよ
卯月,え～、楽しいよ？……ッイ！
美嘉,…………ッイ！
先輩Ｐ,……ｳ､ｵｵ
モバＰ,……ｲｲ､ｱｱｱ
ちひろ,……私には持て余すっ！凛ちゃん早く来てっ！！
くるみ,ぷ、ぷろでゅーしゃー……だ、大丈夫かなぁ？くるみ変じゃない？
モバＰ,大丈夫、いつも通りかわいいぞ。……もう、立派なアイドルだ。うん……
杏,何、涙目になってんのさ。嫁入り前の娘を見るお父さんみたいだよ
モバＰ,せめて兄で例えろよ。……杏に関しては、父の気持ちになってしまうけどな
杏,そんなトキみたいな目で杏を見るなっ！慈悲深い漢の目で見るんじゃない！
乃々,トキの立ち位置、兄なんですけど……あっ、み、見ないで下さい
モバＰ,乃々も、ここまで頑張ってくれて……その衣装もよく似合って……
乃々,プロデューサーさんが、なんかおかしいんですけど……
くるみ,ぷろでゅーしゃー、何かあったのぉ？ふぇぇ……くるみにできることあるぅ？
モバＰ,ごめんごめん。今日のライブを精一杯楽しんでくれたら、それでうれしいよ
くるみ,うん、くるみ、絶対がんばるから……ぷろでゅーしゃー、応援してね？ぜったいだよ？
モバＰ,おう、任せとけっ！
杏,それで、今日対戦する子って、どんな子なの？
モバＰ,え～と、確か前川みくさんだな。猫キャラでセルフプロデュースしてるらしいぞ
乃々,あう……すごそうなんですけど……
くるみ,芸暦長いのかなぁ……ぷろでゅーしゃー、あいさつしたほうがいい？
モバＰ,そうだな、くるみ偉いぞ。先輩も後輩も関係なくあいさつはしていこうな。お互い気持ちよく仕事できるから、これからは積極的に、……一人でもな？
くるみ,う、うん……ぷろでゅーしゃー？
杏,……じゃあ、行こうか。なんか手土産持って行く？猫だから魚でも。生で
モバＰ,普通の人だったら嫌がらせの極みだけど、猫だからな。仕方ないな
乃々,んふ……突然の悪ノリなんですけど
モバＰ,相手のキャラを全力でリスペクトすると、ほら不思議。仕方ない
杏,魚屋近くにあったかな？んひひ
くるみ,あ、あの……あいさつ……行かないのぉ？
前川みく,その必要はないのにゃっ！
モバＰ,誰だ！？
みく,天知る地知るみくが知る！あの日あの時あの場所で！！簡単には懐かない、超絶キュートアイドル、みく参上にゃっ！
モバＰ,あ、はい。すいません、ちょうど今から魚屋に……
みく,お魚なんか持ってきたらぶち殺すにゃっ！
くるみ,あ、あのっ前川しゃん！今日はよろしくお願いしますっ
みく,みくにゃ
乃々,前川さん……えっと……あの、よろしくお願いします
みく,みくにゃ
杏,！……前川さん、今日はお互いほどほどにがんばろー
みく,みくにゃっ
モバＰ,前川さん、こちらから伺わないといけませんのに、ご足労をおかけして申し訳ありません。今日がデビューの若輩者達ですが、ご教授頂ければ幸いです
みく,みくにゃっ！その畏まった態度やめるにゃっ！
モバＰ,しかし、前川さん……
みく,み！く！にゃぁ！！わざとでしょっ！んにゃぁぁ！！
モバＰ,ふ、ふふ……この子楽しいぞ
杏,……なんか、完全にいつものプロデューサーに戻ったね。みくちゃんありがとね
みく,よくわからないけど、絶対負けにゃいからっ！覚えておけにゃ～
くるみ,こ、これでよかったのぉ？
モバＰ,うん、くるみ達はちゃんと出来てたぞ。杏から流れが変わっただけだから
杏,ノっかってくるプロデューサーが悪い
乃々,前川さんも大概でしたけど……
モバＰ,んはは、猫ミミって聴力すげぇ
乃々,前川さんに敏感過ぎﾐｸﾆｬｧ!!
スタッフ,出番まであと10分でーす。準備のほうお願いしまーす
くるみ,！？
モバＰ,おお、ついにか……
くるみ,……ぅぅ、……ふぇぇ
モバＰ,どうした、くるみ？……あぁ、鼻水が。ほら、泣いてちゃわからないぞ
くるみ,あ、あのね、もうすぐだと思ったら急に怖くなっちゃたのぉ……ふぇぇ
モバＰ,怖く？ゆっくりでいいから話してくれるか？
未央,あ、いたいた。お～い、プロデューサー応援にっくぽっ！！
凛,未央ちょっと待って
卯月,凛ちゃん、襟引っ張ったら伸びちゃうよ
未央,し、しまむーつっこむとこおかしいよぉ……
くるみ,ふぇぇん……。くるみ馬鹿だからきっと失敗するぅ。杏しゃんに乃々しゃんに迷惑が……ふぇぇ
モバＰ,……
くるみ,それに、くるみはなんのとりえもない子だから、お客さんにあきれられるぅ……ぅぅ
モバＰ,……
くるみ,だから勝負に負けちゃったら、くるみのせいだからぁ……みんな大好きだからぁ、嫌われたくないけどぉ。……ふぇぇ、それはダメだからぁ。だから、だからぁ怖いぃ
モバＰ,……くるみ。この三ヶ月、俺達みんながひよっこでさ、上手く行かない事なんて当たり前のことで、それでもガムシャラにやって……やっぱり上手く行かなくて、へこんで弱気になったり
くるみ,ふぇぇん……
モバＰ,そんななかでも、くるみは上手く行くまでずっと一所懸命にやって……振り付け一つでも真剣で……上手く行ったときの笑顔にこっちまで引っ張られてさ、抱えた弱気なんて吹っ飛ぶんだ
くるみ,……ぅぅ
モバＰ,俺達はな、くるみにずいぶん助けられてるんだよ。そんなくるみをどうして嫌える？
くるみ,でも、でもぉ
モバＰ,くるみは魅力の塊なんだよ、人を引き付けるんだ。それは、アイドルに必要な最も大事な才能だ。もちろん、杏も乃々も持ってる
杏,ふ、不意打ち……
乃々,もりくぼにはむりがあるんですけど。騙されないんですけど……
モバＰ,くるみ、今の乃々の発言どう思う？
くるみ,乃々しゃんは間違っていますぅ。上手く言えないけどぉ、絶対絶対間違っていますぅ！
モバＰ,その気持ちが、くるみが怖がってる事への、俺達の答えだよ
くるみ,あぅ……
モバＰ,失敗なんて誰でもするんだ。あの凛でもな。少々失敗しても自分の全力を出し切れば、人に想いは伝わるから。勝ち負けは気にするな
くるみ,……うん
モバＰ,どうだ？まだ怖いか？
くるみ,ううん……でもやっぱり勇気がほしいぃ
モバＰ,勇気？
くるみ,ぎゅってしてくれれば勇気でるぅ
モバＰ,……そうだな、周りにちょうどスタッフもいないし、最初で最後の特例だ
くるみ,えへへ、ぷろでゅーしゃー、くるみ頑張るね
モバＰ,おう、もう大丈夫だな
スタッフ,あと5分でーす！最終チェックお願いしまーす
モバＰ,さて、いよいよか……ん？
乃々,もりくぼも不安でいっぱいなんですけど……
モバＰ,……乃々、たった一度のアイドル活動の為によくここまでついてきてくれた
杏,は！？
くるみ,ふぇ！？
モバＰ,そりゃ何回も逃げ出してたけど、レッスン自体サボった事は一度もなかったな。アイドルに活かせないのは残念だけど、努力は絶対裏切らないから、これからの
乃々,そういうのいいんで、行動で示して欲しいんですけど……ん
モバＰ,……おまえ、恥ずかしいだろうが。で？何、そのポーズ
乃々,……ぎゅってしてくれれば勇気でるぅ
モバＰ,レアなものまねと、その真っ赤な顔にお答えして、乃々にも特例だ
乃々,う～……あ、あの……アイドル、もう少しだけ頑張ってみようと思います
モバＰ,……そうか。そんな気はしてたよ。うん、乃々なら大丈夫だ
くるみ,よ、よかった～。びっくりした～
杏,一安心したとこで、はい
モバＰ,何？元気玉でも作ってんの？
杏,あぁん！？杏だけ仲間外れなんて許さないぞっ！勇気を注入しろぉ！
モバＰ,勇気を注入って、人間にカテゴライズされてんの、それ
杏,時間ないっ！はよはよはよっ！
モバＰ,わかったよ、ほら……高いたか～い！！うえははは
杏,ば、ばかっ！何子供扱いっ……やっ、まじたかっ！ばかっ……ふへへへ
くるみ,いいなぁ、たのしそう～
乃々,スタッフの人、苦笑してるんですけど
モバＰ,見られたか……まずいな……スキャンダルだ
杏,うるさいよ、ちょっと楽しんだ自分に腹立つ……
モバＰ,ふはは、よしっ！お前ら時間だ。このまま楽しんでこい！
くるみ,うんっ！
乃々,できるものなら……
杏,ぼちぼちね
モバＰ,行ったか……
凛,うん、杏達なら大丈夫だよ
モバＰ,んっふ！……りんちゃんは縮地法を会得してるのかな？
凛,私も明日ライブバトルなんだ
モバＰ,聞いて？
凛,勇気が足りない。はい
モバＰ,そっかぁ……
未央,勇気が足りない。はい
モバＰ,未央もいたかぁ……
卯月,私は高い高いがいいですっ！
モバＰ,卯月はそうくるかぁ……
先輩Ｐ,勇気を注入かな？
モバＰ,拳を下ろそう。俺は何もしてない
凛,……ｯﾁ
未央,あ～……
卯月,そこまで重くないですよ？
先輩Ｐ,担当アイドルに舌打ちされたこのやるせない気持ちは、どこにぶつければ？
モバＰ,知らないですよ。それよりちょっといいですか？
先輩Ｐ,なんだよ。あ、凛達は杏達の応援してやれ
凛,うん。ほら、卯月
卯月,あぁ、たかいたかいがぁ……
未央,しまむーはきびしいんじゃ……
卯月,なにおう！？
先輩Ｐ,で？なんだ
モバＰ,このライブ終わったら杏以外送ってもらえますか？
先輩Ｐ,別にいいけど、なんで？
モバＰ,今日で杏達もデビューしたし、凛達と仕事が一緒になることもあると思うんですが
先輩Ｐ,まぁ、そうだな。あぁ……あの事言うのか。確かにくるみと乃々はやめておいたほうがいいな
モバＰ,ええ、杏はああ見えて気が利くし、それにまあ一応年長者ですからね
先輩Ｐ,しかし、こんなライブ終わってすぐ言わんでも
モバＰ,そこはいろいろ思うところがありまして……察して下さい
先輩Ｐ,は？いいけど……
モバＰ,それじゃ、応援しましょう！
先輩Ｐ,お、おう
みく,うにゃぁ！負けたにゃぁ、辱められたにゃぁ！
モバＰ,あ、お疲れ様です。今回は偶然勝つことができましたが、勉強になりました。前川さんっ
みく,それはもういいにゃ！責任とるにゃ！
モバＰ,責任？
みく,セルフプロデュースの限界を知らしめられたにゃ！だからみくをこてんぱにしたその手腕で、みくをトップアイドルに仕立て上げるのにゃ！
モバＰ,……俺スカウトする権限ないから！先輩よろしくっ
みく,にゃ！？
先輩Ｐ,また適当な……前川さんならすぐうちの事務所に……いえ、むしろぜひお越しください
みく,み、みくにゃ……Ｐちゃん、Ｐちゃんは？
モバＰ,それじゃ、杏はちょっとこれからの打ち合わせがあるから残ってくれ
杏,な！？や、やだ！今日はもういいでしょっ！？帰ろう！うん、それがいいよっ帰ろうっ！
モバＰ,じゃあ、先輩
先輩Ｐ,はいよ、よしお前ら帰るぞ。前川さんは一回事務所に行きましょう
アイドル達,は～い
みく,みくにゃ……あの、担当はＰちゃんだよね？
先輩Ｐ,……
みく,答えるにゃっ！ちょっ待つにゃぁ～
モバＰ,やれやれ、行ったか
杏,やれやれは杏のセリフだよっ！う～、飴を所望するっ！たくさんだ！
モバＰ,おう、いっぱい作ったからな。ほら、どんと袋ごとだ
杏,……何をたくらんでるの？
モバＰ,今日のご祝儀みたいなもんだ。あと、お願い事を少々
杏,ご祝儀はありがたく頂くよ。けど、お願い事は断るっ！絶対めんどくさいことだっ！
モバＰ,まぁそう言うなよ。凛達、トライアドプリムスのことでな
杏,……聞くだけは聞いてあげる。何かあったの？
モバＰ,うん、あったんだ。……あいつら三人が行動するとき、誰かしら付いてるの気付いてるか？
杏,え？う～ん、そんな気がしないこともないけど……それが？
モバＰ,そのな……半年前、あいつら男数人に襲われたんだ
杏,は！？え、え！？何それっ！？
モバＰ,いや、すまん。最悪な事にはなっていない。脱がされてもいないし。掴まれたり、羽交い絞めにされたり……まぁ押し倒されてたが
杏,っ！……何が……あったの？
モバＰ,あぁ、俺が研修に来てしばらくして、テレビ局で打ち合わせがあってな……。……とまぁ、こんな事があった訳だ
杏,え？プロデューサーが主人公みたいなんだけど盛ってない？俺TUEEEEって
モバＰ,まっ！やな子だよっ！通信講座でならった空手を舐めんな！？
杏,通信講座って……。それにしても、テレビ局でそんなことが……
モバＰ,うん。しかもな、あいつらドッキリ企画だったって言ってきてな？
杏,は？ドッキリ？はぁ！？
モバＰ,番組のプロデューサーって奴が、リアルな反応が欲しいから事務所には許可を得なかったってほざくんだよ
杏,いやいやいや
モバＰ,そう、事務所の許可もくそも本人が知らないのに襲ったら犯罪じゃねぇかと
杏,ほんと、信じられない……
モバＰ,そもそも、例え本人の了承を得てようと、地上波で流せる内容じゃないだろう
杏,考えなくてもわかりそうなもんだけど
モバＰ,だろ？でもドッキリだって言い張ってな。人気のない、電波の入らない奥の部屋に騙して連れ込んで、あまつさえ鍵をかけて押し倒してんのに
杏,ゲスの極みだね
モバＰ,社長もぶちギレてな。そこのテレビ局の社長と旧知の仲だったらしいけど、直接怒鳴り込んでぶん殴ったみたい
杏,ちょっ！それ社会人として……まして責任のある社長が……
モバＰ,……俺も蹴っちゃってたからなんとも……まぁ、そのテレビ局の社長も平謝りで、関係者は今塀の中。凛達が襲われたってことも全力で報道規制に邁進してくれたよ
杏,そっか……プロデューサーは鉄板靴で蹴ったのはお咎めなし？過剰防衛みたいな。ていうか、なんで鉄板靴履いてたのさ
モバＰ,お咎めはなかったよ、見逃してくれたのかな……。研修中何故か大道具運ばされたりしたから必須だったんだ
杏,それが功を奏したの……かな？
モバＰ,鍵壊せたからな。……あぁ、長くなっちゃったな。凛達はもう大丈夫とは言ってるけど、やっぱり心配なんだよ
杏,なるほどね。フラッシュバックしないとも言い切れないよね。うん、わかった。仕事とか一緒になったら気にかけとく
モバＰ,すまんな。恩に着る
杏,……凛ちゃん達がプロデューサーを好き好き言う理由が納得できたよ
モバＰ,ベタな展開だからな、一時的なものだ。はしかみたいなもんだよ
杏,……ばーか
モバＰ,なんだよ、こっちだって大変なんだぞ？ちひろさんと付き合ってるふりしたり……あ、これオフレコな
杏,うわっ！最低だっ
モバＰ,先輩にやらされてるの。俺は意味ないって言ってるからな
杏,凛ちゃんたちかわいそー
モバＰ,いや、だから……うわぁ……すっごい冷たい目っ
杏,ふんっ
モバＰ,さて、これで役目は終わったかな
杏,役目？
モバＰ,あぁ、お前達のプロデューサーになって三ヶ月、実はこの間も研修の一環だったんだ。新人を三ヶ月でデビューさせろってね
杏,へ～、ぎりぎりだったね。杏に感謝するといいよ。具体的には休みを増やせばいいんじゃないかな？
モバＰ,……
杏,あれ、怒っちゃった？やだなぁ、冗談だよ。一割ぐらい
モバＰ,いや、こんなやり取りもいい思い出だなって……
杏,……どうしちゃったの？なんか今日朝からちょくちょく変だよ？
モバＰ,言っただろ？三ヶ月でデビューさせるまでが研修だって
杏,ちょっ、ちょっと待って！このまま杏達の担当なんでしょっ？
モバＰ,担当は先輩になるんじゃないのかな
杏,はぁ！？そんなの無責任だっ！認めないぞっ！！
モバＰ,杏……プロデューサーが変わることなんて、そう珍しいことじゃないんだ
杏,プロデューサーはそれでいいのっ？簡単に割り切れるのっ？この三ヶ月はそんな軽いものなのっ？
モバＰ,そりゃ、出来る事ならお前達とトップを目指して……
杏,じゃあ！！
モバＰ,でも、俺この会社の所属じゃないんだ
杏,……え？
モバＰ,ジュニアアイドルの事務所でな……あぁ、だから先輩くるみや杏みたいなちっちゃい子を俺の担当にしたのか。乃々は親戚の頼みだって言ってたな
杏,……
モバＰ,子供扱いするな、みたいなつっこみはないんかい
杏,……なんで、そんなさばさばしてんのさ。なんでなんで……
モバＰ,ははっ、実は結構無理してたり。ここに他のみんながいたらやばかったなぁ
杏,……ｲﾃﾞ
モバＰ,凛達の事のお願いもあったけど、杏だけに残ってもらったのもみっともないとこを見せない為なんだ。卑怯だなぁ、俺
杏,……ｲｶﾅｲﾃﾞ
モバＰ,杏？
杏,やだ……行かないで……すんっ、やだ……やだ
モバＰ,ごめんな。初対面の時に言っとくべきだったな。そしたら、さよならも
杏,いやっ！聞きたくないっ！っひ、んく
モバＰ,……
杏,ヒッ、り、りんちゃん達みたいに、んっ、好きだとか、愛してるだとかっわかんないよっ！でもっやだぁぁ、うぁぁ
モバＰ,そうだな。嫌だよな。すごい楽しかったもんな、この三ヶ月。あぁ、これあれだな……
杏,ヮァァ、ヒッヒッ、アァァゥァァ
モバＰ,花に嵐のたとえもあるぞ、さよならだけが人生だ……ってな
杏,ヤァァ！ヒッ、ウァァァ
モバＰ,……そろそろ、タクシーが来る。杏、行こう
杏,ヤダヤダヤダ、ヤァァ！
モバＰ,おぉぅ……駄々っ子。仕方ないな、ほらおぶされ……よっと！
杏,ヒッヒッ、ンァァ
モバＰ,うぉっ、どこにそんなパワーが……ほら、タクシー待ってるぞ、降りな
杏,んんっ！！
モバＰ,……ドアのとこまでな。……ほら、気をつけて、よし。じゃあ、運転手さんよろしくお願いします
杏,っん……プロデューサーは……？
モバＰ,ここで、さよならだ。……飴、大切に食えよ？
杏,え？え？まだ一緒に
モバＰ,ごめんな。最後に伝言頼むよ
杏,いや……いや……
モバＰ,みんな……今まで、ありがとう。俺忘れないよ
先輩Ｐ,ちひろさん、知ってます？ある事務所の話なんですが
ちひろ,なんですか、急に
先輩Ｐ,そこにいる事務員さん、仕事が終わって帰ってくるとお疲れさまですって栄養ドリンクをそっとくれるらしいんです
ちひろ,へー
先輩Ｐ,もちろんタダで
ちひろ,ほー
先輩Ｐ,……なんか最近疲れが溜まってるなぁ
ちひろ,毎度っ！
先輩Ｐ,んふふ……ちひろさん、なんかもう逆に大好きです
ちひろ,うふふ、ありがとうございます♪
モバＰ,その事務員さん、たいやきも買ってきてくれるらしいですね
先輩Ｐ,……
ちひろ,……
モバＰ,あっ！無視だっ！職場内いじめだ！いけないんだぁ
ちひろ,ふぅ……プロデューサーさん。あなたがしでかした事でストが起きたの忘れましたか？
モバＰ,ストってそんな大げさな……
ちひろ,プロデューサーがいないと、アイドルやめるんだからー
モバＰ,わー、かわいいなー
ちひろ,え？
モバＰ,……ッス
先輩Ｐ,はい、ここに社長に向けたアイドル達からの、かわいいかわいいお手紙があります
モバＰ,わー、かわいいなー
先輩Ｐ,あぁ！？
モバＰ,……ッス
ちひろ,まったく、大体ライバル会社に研修に行くって発想がわからないですよ
先輩Ｐ,普通に産業スパイだよな
モバＰ,だって、事務所の名前違ってるし……そんなものなのかなって……
ちひろ,よく入社出来ましたね。系列ぐらい覚えましょうよ
先輩Ｐ,ば～かば～か、ぷぷぅ～
モバＰ,先輩も悪いんですよ。最後の週あきらかに俺おかしかったでしょうがっ。察してくださいよ！
先輩Ｐ,うわっこいつ最悪だ。人に責任押し付けてきやがった。あの時のお前気持ち悪いだけだったからね
モバＰ,ああっそうだよ！気持ち悪かったよ、畜生！
先輩Ｐ,うえははっ、こいつアホだっ！んははは
モバＰ,……くそぅ。やっぱりこっちに転属希望せんで、ジュニアアイドルをプロデュースすればよかった
乃々,嘘つきなんですけど……傍にいると約束をしたあなたは嘘つきなんですけど
モバＰ,あらあら、乃々ちゃん冗談なのよ～。それよりも、机の下から出ましょうね～
乃々,ここでプロデューサーさんを監視します。居心地もいいですから
モバＰ,ものすごい机が使いづらいんですけど……
くるみ,おはよーござい……あっぷろでゅーしゃー！ふぇぇ……いたぁ、よかったぁ
モバＰ,おぉ、いるぞ。おはよう、くるみ。もう一週間になるんだからもう安心したろ？そんなじゃ大人のレディーになれないぞ？
くるみ,だってだってぇ、いなくなった時ほんとに悲しかったからぁ、ふぇぇ……ぐすっ
モバＰ,あぁ、鼻水が……ほら、こっちこい。あ～あ～
未央,おっつかれさまで～す！六人の美少女ただいま帰還しましたぁ！
モバＰ,おぅ、おつかれぇ
ちひろ,みんなおかえりなさい。平日なのにお疲れ様。理解ある学校で助かりましたよ～
凛,プロデューサーの事で仕事に穴あけちゃったから仕方ないよ
モバＰ,おっふ……
加蓮,Ｐさん、ちょっと立って
モバＰ,うん？なんだ……って、なになに！？
加蓮,Ｐさんただいまっ！ん～。これからは、帰ってきたらハグするからね
卯月,あ、私もお願いします！プロデューサーさんただいまっ！えいっ
モバＰ,やめっ、ちひろさんがっ
凛,杏が、とんでもなく恥ずかしい思いをさせられた復讐だって、教えてくれたよ？……嘘だったんでしょ？ちひろさんと付き合ってたこと
モバＰ,あいつ！俺だってあのやりとりかなり恥ずかしいのにっ！さよならだけが人生だってドヤ顔でっ！うぉぉ、やべぇ思い出してきたぁ！うわぁぁ
凛,落ち着いて、大丈夫だから。……ただいま、プロデューサー
モバＰ,やだ……落ち着く……お母さん、うぼっ！りんちゃんっそれは鯖折りっ！
奈緒,……あたしも、その……ただいまＰさん
モバＰ,奈緒、顔真っ赤だぞ。照れるならやらんでもぉっ！？なおちゃんもっそれは鯖折りっ！
未央,よ～しよし、未央ちゃんの番だね。ただいま、プロデューサー！とぅ
モバＰ,んっふ！未央、それはぶちかましだ……
美嘉,へへへ、ただいま★
モバＰ,あ、なんかやすらぐ……
先輩Ｐ,ふへへ、いってらっしゃい★
モバＰ,ちょっと待って。ほら、俺ずっと万歳状態。手はだしていない。オッケー？
先輩Ｐ,？
モバＰ,不思議そうな顔で、力溜めてんじゃねぇよ！……パイセンパイセンほんとやめて？
先輩Ｐ,……ｯｼ!!
モバＰ,コッ！！
奈緒,あぁ！Ｐさんがプラトーンのパッケージのように！！
先輩Ｐ,パイセンと呼ぶんじゃねぇ。アゴぶち抜くぞ
モバＰ,ひはのは、はいへんはんへいはいよ、へっはい……オオウ、オウ
卯月,今のは、パイセン関係ないよ、絶対……どうですか！？
モバＰ,んん、あぁ～うぅん！卯月正解！ほんとパワハラの権化ですわ
先輩Ｐ,まぁ、許せ。今度焼き鳥オゴッたるから
モバＰ,やっすいんですよ！！
凛,……あの二人仲いいよね。やっぱり、プロデューサー胸が大きい人がいいのかな？
美嘉,なんで？いや、たしかに先輩Ｐのすごいけど
凛,だっていつもパイセンパイセン言ってるし……おᘄぱいせんもんみたいな意味でしょ？
未央,しぶりん、ハンパないわ～……
くるみ,ふぇぇ……くるみもぎゅってしたいけど、うまくいけなかったぁ。乃々しゃん、おじゃましますぅ。ふぇぇ……ぐす
乃々,せ、せまっ。おᘄぱいの圧迫がすごいんですけど……すっごくぎゅっとしてるんですけど……
先輩Ｐ,さて、お前も本格的にプロデュースすることになったな
モバＰ,まあ、やることは変わらないですよね？
先輩Ｐ,そうだが、新人を別に受け持ってもらうぞ
モバＰ,おぉ！マジっすか。あ、もしかしてみくですか？
先輩Ｐ,いや、あれは私が担当する。あれは猫だから～とか言って、べたべたしそうだからお前じゃいろいろ危険だ。主に凛とか
モバＰ,……はい、それがいいと思います。では、どんな子なんでしょう？
先輩Ｐ,……ちょっと弱いところがあるが、くるみと乃々を育てたお前なら大丈夫だ。頑張れ
モバＰ,え、何そのやさしさ……気持ち悪いッス
先輩Ｐ,アゴぶち抜くぞ。……そろそろ来てるんじゃないか？
モバＰ,了解ですっ！じゃ、いっちょ行ってきます
先輩Ｐ,あぁ……頑張れ～
ちひろ,あ、プロデューサーさん。女の子達もう来てますよ
モバＰ,うすっ！二回目だけどやっぱり少し緊張しますね
ちひろ,ふふ、それならどうです？景気づけに一本
モバＰ,はい！パイセンにツケといてください！
ちひろ,毎度あり～
モバＰ,ぷはっ。うし、行きますか。入るよ～。始めまして！今日から君たちをプロデュースさせてもらうモバＰです。不安もあるかもしれないけど、弱気にならないように行こうな！
財前時子,あ？
向井拓海,あ？
村上巴,あ？
モバＰ,……………………………………………………強い！
つよい,小並感
