乃木若葉は勇者であるの内容も含むためそこまで把握されている方は多くないかもしれませんが、お付き合いいだけましたら幸いに思います,ゆゆゆいでもOKです
千景,犬吠埼姉による勇者部の話題は見舞い話時代から始まり、帰りのホームルーム直後までの長い歴史を誇る。当然私は情報収集以外は軽く流し続けていた。ゆゆゆを好んで視聴していたとは言え、それはあくまでも物語としてであり、本来勇者部というひなたは私と正反対の道に存在しているはずのもの。だから。あなた正気なの？。私のような人間を勇者部に誘うなんて、お人好しも過ぎれば本当に病気ね。……いいえ、違うわね。これはもしかしたら──。大赦の命令というわけ？。忘れてはならない犬吠埼姉は大赦に属する人間。私に対する不自然な優遇。当然、大赦からの指示が彼女はそれに従うだろう。だが
風,んなわけないでしょうが。アタシはあんたを勇者部に誘いたかった、ただそれだけ。エンドユー？
千景,……頭痛がしてくるわ
風,何でよ！？
友奈,でも、嬉しいな。ぐんちゃんも勇者部に入ってくれるなんて
千景,あの、結城さん……？私は一言も入るとは──
美森,これで三年生が二人、二年生が三人、一年生が二人。勇者部も大所帯になりましたね。そして、良い人数配分です
千景,ちょっと──
銀,いやー！先輩がまた一人増えちゃったなぁ。よーし、いっぱい甘えるぞー！
樹,もう、銀ちゃんったら……。でも、来年は私たちが先輩になる番なんだよ？今のうちにしっかりしておかなくちゃ
風,……うぅ、樹が立派にお姉ちゃんぶちゃってもう……
美森,樹ちゃんと銀が居れば勇者部も安泰ね
千景,……
夏凜,諦めなさい。私の時もこうだったわ
千景,……はぁ……。深い、深いため息をつく。アニメでも見知っていたが、改めて思い知らされる。この人たち、自分たちが成し遂げようと思ったことは何があっても成し遂げなくては気が済まないのね……ほんと厄介
風,……千景。本当に嫌だったら断っても良いのよ？だけどね、アタシたちはこうしてあんたと出会った。そんでもってあんたの人柄が気に入ったから、同じ時間を少しでも共有したいと思った。それがアタシの本音よ
千景,……本当に性質が悪い。更に悪いのが、全員の瞳がこの部長と同じ色を持っていること。……とても卑怯ね、そういうの
風,あら、何のことかしら？
千景,はぁ……。実質的に選択肢はない。……考え方を変えてみれば私が高嶋さんのところへ帰る手がかりを得られる最善への近道になるかもしれない。毒を食らわば何とやら、もしくは虎穴、かしらね？……いずれにしろ、この選択が効率的であることはまず間違いない……のが些か悔しくはあるわね。……改めて三年の郡千景よ。……よろしく
友奈,こちらこそ改めてよろしくね、ぐんちゃん！
美森,一緒にお国のため励んでいきましょう
銀,こっちこそよろしくお願いしますっ！
樹,よ、よろしくお願いします
夏凜,まぁ、こうなるわよね。よろしく
風,うんうん。これで勇者部も総勢七人か……ほんと感慨深いわね……
千景,遠い目をする部長の横、私はこうして勇者部の部員となった
風,ああ、そうそう千景。事後承諾になってしまって申し訳ないんだけどさ──
千景,不自然なほど"そのこと"に触れて来なかったのは、私が勇者部の部員ではなかったからなのだろう。しかし、私と言う部外者が今この時入部してしまった以上、それも過去の話だった
風,実は、アタシたち勇者部はこの世界を守る勇者というお役目を神樹様から授かっているのよ。だから、あんたの目の前で唐突にアタシたちが消えてしまうこともあるかもしれないけど、あんまり驚かないでもらえると助かるわ。そんな感じでよろしくね～
千景,……説明が雑過ぎるし、やけに口調が軽い。重苦しくならないための配慮とでも考えれば良いのだろうか？。……結城さん、この軽い口調の犬吠埼姉が言っていることは本当なのかしら？
友奈,うん、本当の話だよ。樹海化が始まると突然消えたように見えると思うけど、私たちは絶対に帰って来るから、だからぐんちゃんには安心して待っていてもらえると嬉しいな
千景,……ええ、当然よ。高嶋さんと同じ顔であるなら、真剣な顔よりも笑顔を見せて欲しい。だから、勇者についての話題はこの程度にして適当に誤魔化してしまっても良いだろう。つまり、私たち一般人の時間が止まっている間、勇者に選ばれた結城さんたちは世界を守っているために戦っているのね。了解したわ。我ながら読解力の高すぎる台詞であることを自覚していたが──
美森,千景ちゃんの行間を読む力、素晴らしい限りだわ！私も見習わなきゃ
夏凜,あんたさ、この二人の抽象的な説明でよくそこまで理解できたわよ……
銀,千景さんの理解力マジ凄いッス！
千景,……怖いくらいに理解を示してくれる人ばかりね……
美森,──これを入れて、後は設定に従って進めていくのだけれど、千景ちゃんなら大丈夫そうね
千景,西暦のSNSの代わりとなるアプリを東郷美森の指示で新品のスマホへと入れる。昨日量販店で契約を済ませたばかりの端末であった
樹,ねぇ、お姉ちゃん。アプリのインストールはできたけど、千景さんは変身できないのかな？
風,んー、銀もそうなんだけどさ、どうも勇者システムって夏凜までの先着五名までしか機能していないっぽいのよ。大赦の人もなんかそれっぽいこと言っていたし
銀,あー、やっぱりそうなんですか……。ほんと皆に守ってもらうばかりで申し訳ないッス……
友奈,銀ちゃんは気にしなくて良いんだよ
千景,グループへの登録も完了したわ。……先ほどニュアンスだと、三ノ輪さんも勇者として戦っていると思っていたのだけれど？
銀,いやー、実を言うとですね、皆と一緒に樹海の中に行くのは良いんですけど、アタシだけ何故だか変身できなくって……。その原因が今風先輩の口から語られまして……ほんと申し訳ないッス……
美森,それは神樹様の思し召しだもの気にしても仕方がないわ。大丈夫、銀のことは私が守るもの
夏凜,そうよ、銀。あんたはこの完成型勇者の勇士を黙って見ていれば良いのよ。……それに三好夏凜の名に懸けてバーテックスに手出しなんかさせてやらないわ！
樹,変身できない銀ちゃんが一番辛いよね……。だから私が銀ちゃんの分まで頑張らないと！
千景,……三ノ輪さんを除く全員がやたらと気迫に溢れている。彼女が変身できないという部分には引っかかりを覚えるものの、この状況は何とも──
銀,千景さ～ん……見ての通り、皆いっつもこんな感じなんですよ……
千景,……あなたも大変ね。やはり善良さも過ぎれば毒、と言うかこの場合いたたまれない気分になってくるわね……。まさかぼたもちbotを実際に目の当たりにできるなんて……。慣れない勇者部で猫探しのビラを整頓し初日の活動は終了となった。三好夏凜を見習いコンビニ弁当で夕食を済ませ余暇を過ごしていると、SNSに各々からのメッセージが届いている。アニメで見たようなぼたもちbotもその一つだ。それにしても十五分で十五ぼたもちって……やっぱりどこか思考がぶっ飛んでいるわよね、あの子……。適当に返信し、手に馴染んでいないスマホを卓上に転がす。……差し当たっての問題は次のバーテックスの襲来時期。アニメの描写上分かりづらくはあったが、実際には一話で週か月単位の時間が流れていたと見て取れる。勇者部の現状の様子から考えるに、まず間違いなく今はあの決戦よりも前の時期に当たるはずだった。作中で具体的な日付を示してくれれば悩まなくても済んだが、ここで言っても仕方がない。しかし、夏休みが過ぎている以上決戦までそれほどの時間は空かないはず。つまり彼女たちの一つの目の運命の日が近く、もうじき……満開、を経験してしまう、わけね……。頭を振る。究極的には、彼女たちがどうなろうと私は構わないはずだ。勇者部に入部したのはいずれ訪れる乃木園子との接触を容易にするため。高嶋さんの元へ帰る希望を作中の八話に見ていたからだ。……そう、都合が良いから勇者部に関わった、それだけのはずで──。……。……ねぇ、高嶋さん。私は何をしたくて、そして、どうすれば良いのかしらね……？
友奈,結城友奈、来ましたー！
千景,結城さん、こ、こんにちは……
友奈,あ、ぐんちゃんだー。こんにちはー！
風,東郷と夏凜も来たわね～。今日は一年生組遅くない？
美森,樹ちゃんと銀は掃除当番で遅れるとのことでした
風,なーる
友奈,ぐんちゃーん、はいたーっち！
千景,ええと、タッチ……？
夏凜,何だか千景もすっかり馴染んだわよね……
風,まぁ、一週間になるからねー。でも、あんたには言われたくないと思うわよ？
夏凜,はぁ？私はあんたらの監視のため仕方なく来てあげてるのよ！
風,はいはい、聞き飽きたって
友奈,……はっ！？そう言えばぐんちゃんって三年生なんだよね……？
千景,ええ……？一応そうだけれど
友奈,じゃあ私、本当はぐんちゃん先輩って呼ばないといけないのかな！？
千景,ただのぐんで大丈夫よ！結城さん！
友奈,本当に大丈夫……？気を遣わせていない？
千景,むしろ結城さんに先輩と言われたら少しショック、かもしれないわ……
友奈,わぁー！？ぐんちゃん、落ち込まないでー！
夏凜,と言うか、友奈と千景が互いに馴染み過ぎなのよね……
風,それについては同意見だわぁ
美森,……いけないわ、私。そんな罰当たりなことを考えてはいけない。でも、でも！友奈ちゃんが……だけれど、新しい交友関係を認めてあげるのも私の役目で──
夏凜,私さ、千景が来てから初めて東郷が嫉妬するとこ見たわよ？
風,いや、東郷はあれで前から嫉妬深いわよ？
友奈,勇者パンチは、こうね、しっかり拳を握りしめて──
千景,こう、かしら……？
美森,友奈ちゃん友奈ちゃん友奈ちゃん友奈ちゃん友奈ちゃん友奈ちゃん──
友奈,上手いよ、ぐんちゃん！それでね、ここから──
風,平和、ねぇ……
夏凜,いやいや！今不穏な連呼している奴が約一名居たわよ！？
銀,ちわーッス！
樹,掃除当番で少し遅れちゃいました
風,おぉっ！若人たちよ！よくぞ来た！
夏凜,そんなに年変わらないでしょうに
美森,待っていたわ、銀！愛でさせて！
銀,ちょっ、東郷さん！？
夏凜,また始まったわね、東郷の銀への可愛がり
千景,……あの二人は昔からの知り合いだったりするの？
風,お、友奈劇場から解放されたようね、千景。まぁ、あの二人は同じ事故に遭ったようだから入院中に仲良くなったらしいわよ
樹,東郷先輩が記憶喪失だったこともあって、親近感が凄くあったって前に銀ちゃんが言っていました
美森,そうなの、銀？ああ、とっても可愛いわ！
銀,東郷さん！キャラぶれどころの話じゃなくなっていますって！
友奈,東郷さーん！私も入れてー！
美森,友奈ちゃん！？もちろんよ！！
銀,うわー！友奈さんまでー！？
千景,……三ノ輪さんて、実は勇者部のいじられ役なのかしら？
夏凜,いや、あれは東郷だけでしょう。友奈は参加する風に見せてしっかり東郷を抑えているし
風,へー、夏凜にしてはよく分かってるじゃない？流石は勇者部の本来のいじられ役よね～
夏凜,はぁっ！？誰がよ！？
風,さてと、夏凜がうるさいけど、今度の土日の劇の打ち合わせを早いところしておかないとね
美森,今週末は福祉施設での演劇の予定でしたね
夏凜,全く風の奴ったら……。それはそうと、トリップしていた東郷がようやくこっちの世界に帰って来たわね
樹,銀ちゃん、大丈夫？
銀,メッチャ撫でられた……
友奈,でも、銀ちゃん、それは東郷さんの愛なんだよ？
樹,あ、愛ですか！？
千景,……
風,今回の劇は文化祭の劇の予行練習にもなるし、なにより！千景の勇者部での初めての本格的な活動になるわ！
千景,……十分ゴミ拾いもネコの飼い主探しもやっているつもりなのだけれど
銀,あ、千景さん。普段と比べるとどっちも半分くらいの量しかなかったッス
千景,！？……嘘、でしょ……？
友奈,何だかこの一週間依頼件数がやけに少なかったもんね？
美森,先週あたりは夏凜ちゃんの頑張りのおかげでほとんどの依頼が片付いていたからかしら？
夏凜,……なんか良いように使われた記憶があるのよね、私……
風,今週末で千景が入部してから約二週間になるわ。今回の劇の成功は千景のその存在を不動のものとしてくれるはずよ！はずよぉ！
千景,……心の底からに要らないし、約二週間を記念日のような扱いにされても困るのだけれど
友奈,ぐんちゃん、一緒に劇を成功させようね！
千景,結城さんがそう言うのであれば……
夏凜,なんかさ、千景って友奈に弱くない？
銀,あー、その台詞を夏凜さんが言いますか、って感じもしますけど……
美森,前にも言った記憶があるのだけれど、友奈ちゃんに敵う人なんて存在しないのよ
風,言い切るわね、あんた……。まぁ良いわ。それよりも件の劇よ
樹,そう言えばお姉ちゃん、台本って──
風,……今日は良い天気ね。そうね、海に行きましょうか
夏凜,あんた、もしかして……！？
銀,あ、こんなところに今回の台本が！ええと……！？た、大変です！白紙でナッシングですよ、これぇ！！
夏凜,やっぱり……。また若先生、脚本に詰まったんでしょう？
風,ち、違うのよ！ちょっと英気を養っているだけで、ピンとくるものがあればズババァーンって書けるのよ！！ほら、こっちのネームはそこそこ書けているし！
夏凜,大先生みたいなこと言っている暇があれば、そのネームをちゃんと台本に仕上げておきなさいよ
風,ぐぅ！
樹,ぐぅの音だけは出たね、お姉ちゃん……
風,で、よ！今日の勇者部の活動はこの台本を仕上げることです！
友奈,確かにあと五日もないし、今日中に仕上げないと大変かも……
千景,まさか、劇まで五日程度しか時間がないの……？
美森,今までの経験上、十五分程度の寸劇なら五日もあれば大丈夫よ。だけれど、これ以上となると後の準備に響いてきてしまうわね
夏凜,そうは言っても、ここの大先生が書かないと始まらないわけでしょ？台本を仕上げるって、私たちは応援でもすれば良いわけ？
風,そこなのよ、夏凜！！
夏凜,ちょ、暑苦しいから引っ付くな！
風,ネームは大方完成。だけど、登場人物たちのみずみずしい台詞が今のこの台本に不足しているの！ええーい！想像力が足りーん！……ってわけ
夏凜,……つまり、何が言いたいのよ？
風,あんたら実際に演技してみなさいよ！そうすればアタシの想像力がそれはもう大爆発よッ！！
千景,……読み合わせ用の台本が用意できているのなら、これで劇を作れば良いのではないの？
銀,いや、千景さん。アタシには分かるッス。ここに書かれている台詞にはいつものような魂を感じない！やっぱり部長はまだまだスランプってことで、このままだと劇の幕を上げることは出来ないと思います
千景,そ、そうなの……？
友奈,確かに、いつもの風先輩のお話じゃないかも
千景,結城さんがそういうのだったら間違いないわね
美森,ええ、間違いないわ
風,友奈イエスマン約二名も納得したわね。じゃあ、汝ラノ演技ヲ我ニ見セテ見ヨッ！
樹,お姉ちゃん、それじゃあ魔王だよ……。その役気に入ってるの？
千景,一向に気が向かないけれど、とりあえず配役を確認して──！？。……何、この配役？
風,バッチシでしょ！さぁ、千景よ、華麗に演じて見せよ！
千景,……明るい性格で若干ルー語のハーフアイドル？──あなた、舐めてるの？今すぐにでも煉獄の炎に焼かれて朽ちてしまえば良いのに
樹,ち、千景さんが、怖いです……
結城,でも私、ぐんちゃんがアイドルだったらいっぱい応援しちゃうかも
千景,！？。……。えええ?っ！私がアイドルに！？でも、それってとっても心がシャイニー☆
風,っ！？
銀,！？
美森,！？
夏凜,んなっ……！？
友奈,すっごいよ！ぐんちゃん！！本当にアイドルみたいだったよ、今！
千景,そ、そうかしら……？。昔プレイしたゲームのキャラクターを意識してみたけれど、それなりに上手くできていたようね
友奈,ぐんちゃんって凄いなぁ
千景,結城さんの興奮冷めやまぬ様子に私は満足したのだった。……。……。……。……わすれて……お願いだから……忘れて……ちょうだい……！。熱から覚め、私は我に返っていた
友奈,えっ？何で？ぐんちゃんとってもアイドルだったのに？
千景,……誰か、私を殺して……
風,よ、良かったわよ、千景……
千景,──わたしを！私を殺したいんでしょ……！！
風,割り振ったのは私だけどさ、正直演じてもらえるとは思っていなくて一瞬言葉が浮かばなかったわ……
千景,離して結城さん！あの女を窓から放り投げられない！！
友奈,だ、駄目だよ、ぐんちゃん！
夏凜,……風。いつか刺されるんじゃない？
風,と言うか、千景の目がマジもマジで今にも刺されそうなんだけど！？
銀,ち、千景さんの勇士を見せてもらった以上、アタシも続かないわけにはいかないんだろうけど──。風先輩、流石にこれはないッスよ！？何ですか！痛いキャラづくりを自覚しているけど引くわけにはいかなくなったアラサーアイドルって！？さっきからキャラ設定絶対におかしいですって！？
樹,本格的にスランプだったんだね、お姉ちゃん……
美森,……。風先輩
風,な、何よ！？あんたもアタシを刺すつもりなの！？だって、絶対に銀にハマり役だって思って──
美森,いいえ。私もありだと思います！
風,でしょー！
銀,東郷さんッ！？
美森,銀の新たな可能性を感じます
友奈,銀ちゃんのアイドル姿も私見てみたいな！
樹,銀ちゃんがアイドル……何だか私も興味が湧いてきました！
体育座りの千景,……ふふっ……皆同じ目にあえば良いのよ……
夏凜,怖いし暗っ！？
風,うんうん、やっぱりアタシの見立ては完璧だったってわけね
銀,え、あれ……？も、もしかしてアタシの感性のほうが間違っている、とか……？
夏凜,いや、間違っちゃいないわよ。でも、こいつらがこうなってしまった以上、私の手には負えないわね
銀,そんな夏凜さん！アタシを助けてくださいよ！頼れるのはもう夏凜さんだけなんです！！
夏凜,……悪いわね、銀。私は私でこのにぼっしーとか言うゆるキャラの役で頭を抱えているのよ……
風,え？にぼっしーは普段の夏凜のことだからいつも通りで良いわよ
夏凜,誰がにぼっしーよッ！？
銀,だ、駄目だ……。このままだとアタシはこのアラサーアイドルを演じるはめに──
美森,ふふっ、銀には一番可愛らしい洋服を着せてあげなくちゃ！
樹,銀ちゃんはフリルの付いた白のワンピースかな？でも、男装に近いカッコいい路線も良いかも……
友奈,銀ちゃんがテレビの前で輝いている姿が、私見えるよ！
美森,さぁ、銀。今日からアイドルになるため特訓よ！
銀,ひぃっ！？お、お助け──！
千景,……それから東郷さんによる地獄のようなレッスンが行われた。そして、半年後、三ノ輪さんは見事アイドルとして世に羽ばたいていった──。などと言うことはもちろんなく、落としどころとしては
銀,はぁ～い♪アナタのぎんいろをスリスリーリングゥ☆みのわぎんことすりーりんぐしるばーだよぉ☆あたしに出逢えたことをよろこべよ☆……ぐはっ！！
千景,……と、犬吠埼姉作の正気とは思えない台詞を読んで轟沈していた。……私の隣に、体育座り仲間が増えてしまったわね
夏凜,死屍累々ね……。で、若先生、良いアイデアは浮かんだの？
風,うーん、正直全く──
千景・銀,……
風,も、もちろん！ものすごくたくさんアイデアが湧き出てきました！！はい！
夏凜,はぁ、とりあえず一件落着かしら？
美森,銀は当然白無垢を着るべきよ
樹,私はウェディングドレスも良いなって思いますけど……
友奈,銀ちゃんならどっちも絶対似合うよ！
夏凜,あんたら、話が脱線の上、飛躍し過ぎじゃないの……？
体育座り銀,……千景さん
体育座り千景,……何？
体育座り銀,アタシ、不思議なことに……着せ替え人形になる未来が見えるんッスよ……
体育座り千景,……奇遇ね、私も未来視してしまったわ
体育座り銀,……はぁ。ですよね……
体育座り千景,……。あなた、実は苦労人だったのね……。私は三ノ輪さんに少しだけ同情したのだった
夏凜,それじゃあ、私と樹でこの大先生を監視しておくから、明日には台本を持ってくるわ
風,いやー、アタシって、ほら？樹のご飯を作らないといけないし……？
美森,それでは私が樹ちゃんのご飯を作ります
友奈,あ、私もお手伝いするね
風,え、あ、いや、そんな悪いし……
夏凜,はいはい、諦めが悪いわね。あんたへの包囲網はすでに敷かれてんのよ
風,うぐぐ……！ア、アタシの自由よ、カムバーック！！
銀,流石にこれ以上は風先輩の家がパンクしますよね……。あ、千景さん。今日もゲームをしに行っても良いですか？夕食作りますんで
千景,ええ、構わないけれど
銀,やったぁ！今日は何のゲームをしようかな～
千景,勇者部で唯一ゲームの嗜みがある三ノ輪さんだから、こうした誘いは今回で三度目となる。対人ゲームをプレイできる上、夕飯を作ってもらえるのだから断る理由はなかった
友奈,それじゃあ、ぐんちゃん、銀ちゃん。また明日ね～。ばいばーい！
千景,ええ、結城さん、また明日
銀,部長のことをよろしくお願いするッス！
美森,任せておいて、銀
風,アタシは自由に空を羽ばたきたいのよぉー！
樹,また訳の分からない事を言って……
夏凜,はいはい、連行っと
風,いーやー！
千景,まるでドナドナね……
銀,えい！たあっ！
千景,やるわね……でも、これならどうかしら？
銀,うわっ！？何連続コンボッスかこれ！？あぁ……
千景,家庭的な夕食を終え、三ノ輪さんと格闘ゲームに興じる。ふふっ、まだまだね
銀,あー！もう少しだったのに
千景,どうかしら？……さて、次はジャンルを変えてみる？
銀,ええと……相変わらず凄い数のソフトですよね、これ
千景,全て中古品よ。十本百円セールが丁度行われていたから運が良かったわ
銀,マジッスか！？アタシもゲーム買い揃えようかな……
千景,設定上は西暦の三百年後だけあって、見知らぬゲームばかりで新品だろうが中古だろうが正直構わなかった。どれもそこそこ楽しめることに違いないのだから。ただ、ゲームの進歩は完全に止まっており、クオリティは西暦のそれとほとんど変化ないのが残念であった。……一応大赦からそれなりの生活費援助を受けているとは言え、金銭的には中古商品が今の私に適当だという理由もあることにはあったが
銀,千景さん、これとか面白そうじゃないですか？
千景,それはノベルゲームね。平穏な日常を送っていた普通の女子高生が、未来視の出来るメル友からのメールによって運命を激変させていく───と言うのがあらすじよ
銀,おぉ！なんか凄そうな話ですね！
千景,実際に遊んでみると良いわ。三ノ輪さんはこういったゲームはプレイするほうなの？
銀,いやー、アタシってそんなに文章読むのとか得意じゃないんですけど、ほら、隣に千景さんが居るから断念しないで読んでいけるかな～って
千景,教科書に乗っているような固い文章ではないから大丈夫だとは思うわ。まずはプレイヤーの名前を付けて──
銀,ええと、三ノ輪、ギン……と
モニターギン,ええと、タイトル未来です？迷惑メールかな？わっ、開いちゃった
銀,……自分の名前にしたのは失敗だったかも。アタシのキャラじゃないこのむず痒さ！
千景,それを乗り越えて皆立派なゲーマーとなるのよ
銀,な、なるほど、奥が深いんですね。あ、なんか出てきましたよ？
千景,こういった選択肢を選ぶことで物語は分岐して、エンディングが変わってくるのよ。好きなものを選ぶと良いわ。ただし、明らかにおかしいものを選び続ければ大体バッドエンドね
銀,勉強になるッス！ええと、これかな？ふむふむふむ
千景,一見すると今のところは日常系学園もののような物語が展開されている。しかし、割と早期から死者が続出し、実はループものであることが後々判明する。さて、三ノ輪さんはどう反応するのかしら？
銀,あ、この主人公の知り合いの先輩……弟が、居るんですね……
千景,それは何気ない日常の一場面だったけれど、僅かに悲しそうな表情を三ノ輪さんは一瞬だけ浮かべていた。……平穏な日常シーンが自身の心をえぐる、それは私にも経験のあることで──
銀,……実はアタシって弟が二人居るんですよ
千景,ポツリと、呟くように三ノ輪さんは言った。それは、普段決して見せることのない彼女の弱さの体現だったのだろう
銀,多分事故のせいだと思うんですけど、どうしても上の弟と、うまく……いかなかったんです。それでも誤魔化して、誤魔化して誤魔化して……その結果かなりギクシャクして、その頃には弟の学校生活にも影響が出て……親は気にしなくて良いって言ってくれたんですけどやっぱりアタシには無理で……。結局、アタシだけ実家を離れて、こうして一人暮らしみたいな感じになって……。あ、あはは……すみません。聞きたくないですよね、こんな人んちの事情。……変だな、何でアタシ、こんなことペラペラ喋ってしまったんだろう──
千景,あまりにも弱々しい彼女の姿が■■■と重なる。考えるよりも先に私の身体は動いていた。──分かるわ、あなたの気持ち
銀,ち、千景さん……？
千景,一番近い他人が一番怖くて、だけれど逃げることも容易でなくて。苦しんで苦しんで、それでも私たちは自立した大人では決してないから、現状を受け入れることしか出来なくて……まさに、この世の地獄としか言いようがない。無意識は三ノ輪さんをさらに強く抱きしめる。だけれど……けれども、私はあの人と出会えた。だから、"それ"がどんなに救いになるのかを、誰よりも私は知っている。恩返しにすらならない、模倣にすらならないかもしれない。それでも、それでも……あなたの弱音くらい、私がいつでもこうして聞いてあげることは、出来るわ
銀,……。……ははっ……。……ああ、もう……！千景さん……って、ほんと、あったかいなぁ……
千景,それなりの時間、三ノ輪さんと身を寄せ合って過ごしてしまった……。こんなの私のイメージではないのに……
銀,よしっ！三ノ輪銀、大復活！ってね
千景,自分の頬を叩きこちらを向けば、彼女はすでにいつもの三ノ輪銀だった
銀,あはは、すみません、お見苦しいところを見せてしまって。でも、おかげさまで……ほんと千景さんのおかげで、こうして元気になりました！
千景,……さっきのことは、忘れて
銀,え……？あ……。……で、ですよね……アタシの弱音なんて、やっぱり迷惑ですもんね……
千景,あ、いえ、それは別に撤回しないわ。わ、私が、忘れて欲しいのは……その、あなたをだ、抱きしめた、ことで……
銀,……。……。……千景さん、最初に謝っておきます。ごめんなさい。でも、それを、忘れることはできないッスよ！
千景,！？。ま、まさか！？先ほどの私の行動をバラされたくなければ、と何かを要求するつもりなの！？三ノ輪銀、何たる鬼畜の所業……！
銀,いや、千景さん？なんか物凄い勢いで誤解をされているような感じがしますが、アタシが言いたいのは。──ありがとうございます。千景さんのおかげで……アタシは大分救われました。ってことですよ！
千景,……。……まったく、良い笑顔をしてくれるじゃないの、このイケメン女子は
銀,千景さーん、お風呂沸きましたよー
千景,後で入るわ。三ノ輪さんが先に入って良いわよ
銀,もう……。アタシが言うのもアレですけど、ゲームのやりすぎも良くないですからね
千景,……何だか懐かしい台詞ね。もっとも、高嶋さんは三ノ輪さんほど直接的な言い方ではなかったと思うけれど
銀,じゃあ、ふしょう三ノ輪銀、一番風呂をいただかせていただきます！
千景,ええ、あなたが上がったら私も入るわ
銀,言質とりましたからね？
千景,はいはい。夜に女の子を一人帰らせるわけにもいかず、増してや先ほど話を聞いてしまった以上、今日も三ノ輪さんは私の部屋に泊まることになっていた。彼女が絡むと私らしくない行動になるのは先ほど自覚したが……それでもか、そうであるからか、こういうのも悪くないと思う私がここに居た。……イレギュラーな存在である彼女を疎ましく思っていた私も、最早過去の存在なのかしらね……。三ノ輪さんがお風呂から上がった頃、目の前の画面ではちょうど最高スコアの更新となっていた。で、台本は出来上がったの？
風,ふっふっふ、アタシを誰だと思っているのよ？
千景,……。うどん専用バキュームカー？
夏凜,ぶはっ！
風,残ったうどんはアタシが全部吸い込んでやるんだから！──って！誰がはたらく車かぁッ！？
千景,ごめんなさい。神聖なうどんに対して失礼だったわね
風,謝るとこそこじゃないでしょ！？……まぁ、良いわ。全然良くはないけど良いわ。──東郷！
美森,了解しました。台本は各自一部ずつになりますので、自分の分を取りましたら隣の人に渡して下さい
友奈,わぁ！私まだ読んでいないから楽しみだなー。はい、ぐんちゃん！
千景,ありがとう、結城さん。どうぞ、三ノ輪さん
銀,あ、どうもッス
風,全員に行き渡ったわね？まずは一回読んで内容を把握してちょうだい。あまりの傑作に腰を抜かさないことよ！
千景,やたらと自信満々ね……ええと、タイトルは──
千景・銀,……
夏凜,……まぁ、あんたら二人は怒るわよね
千景,あなた、頭がわいているの？うどんではなくて地獄にバキュームしてもらいなさい！
銀,アタシが昨日演じたアラサーアイドルは何だったんですかッ！？影も形もないタイトルじゃないッスか！！
風,ひぃっ！
夏凜,どうどう。あんたら落ち着きなさいって。怒りたい気持ちは分かるけど、一応昨日の配役は活かされているから騙されたと思って読んでみなさいよ
千景,……本当でしょうね？嘘だったら、実行するわよ？
風,何を！？
夏凜,ええ、犬先輩をかけても良いわ！
風,勝手にアタシを賭けるな！
友奈,わっ！かぐや姫なのにアイドルが出てきたよ！？
銀,……
千景,……
銀,千景さん、アタシ嫌な予感しかしないッス……
千景,同意見よ……
樹,光る竹からかぐや姫は生まれました。かぐや姫はすくすくと成長し、やがてその美しさは都中に知れ渡ることになったのです
千景,そう、導入自体はありふれたおとぎ話のかぐや姫
美森,かぐや姫の美貌を聞きつけた若者たちは次々に彼女の元へと訪れます。いずれも劣らぬ眉目秀麗ばかりで、皆、かぐや姫を婿へと迎え入れるために必死です
銀,……アタシの耳おかしくなったのかな？婿とお嫁さんを聞き違えちゃったなぁー
樹,東のアイドルから西の魔法少女まで、名だたる女性一同がかぐや姫の屋敷に並ぶその姿は、まさに圧巻の一言でした！
銀,……出てきちゃったよ、アイドル……。て言うか、魔法少女！？
美森,かぐや姫は彼女たちに向かってこう告げました。護国のために最も尽力したお方に私は嫁ぎたいと考えております。いえ、断言しましょう！この国を脅かす魔王を打ち取った者に私は嫁ぎましょう！富国強兵！国防万歳！と
銀,まるっきり、東郷さんじゃないッスか！？このかぐや姫！
友奈,一人の勇者はかぐや姫の宣言にこう答えます。任せてください姫！私が必ず魔王を打ち取って見せましょう！と。──ここから、かぐや姫をかけた列国の強者たちと魔王との戦いの火ぶたが切って落とされたのです！
夏凜,ちなみにオチは、かぐや姫がステゴロで魔王を倒すわ
千景,……。頭が痛い……。あまりにも酷くてもうどこから突っ込んで良いのやら──
友奈,流石風先輩です！ちょー面白そうです！！
千景,ええ、私もそう思うわ、結城さん！
銀,千景さぁーんッ！？。と言うか！風先輩を止める人は誰も居なかったんですか！？
樹,お姉ちゃん、本当に楽しそうに書いていたから……
美森,私の相手役を友奈ちゃんにしてくれると風先輩は約束してくれましたから
友奈,風先輩の肩もみしたよ！
夏凜,いや、私たちって脚本書けるわけじゃないでしょ？風が一人で書いてくれているのだと思ったら、その、偉そうなこと言えなくなって……
銀,何で夏凜さん、そこで良心に苛まれちゃったかな、もう！
風,安心しなさいって！昨日のことも踏まえて千景と銀の台詞は大分マイルドにしてあるから！
千景,……。三ノ輪さんの抵抗空しく、その場の勢いで今週末の劇の台本はゴーサインが出された。……正気を疑うシナリオではあるのだけれど、結城さんが楽しそうだったので私は認めざるを得ない……認めざるを、得な、かったのだ……！
銀,千景さん！？目から光が消えて無我の境地みたいになっていますって！アタシより先に納得したんじゃなかったんスか！？
友奈,ぐんちゃん、絶対に劇成功させようね！
千景,もちろんよ、結城さん！
銀,え、えぇ……それで良いんですか、千景さん……
