二宮飛鳥,ときに、文香さん
飛鳥,結果として蘭子が魔手にかかり、不幸中の幸いでしかないが眠らされているだけだと理解った。文香さん、このルーンは貴女に行使された二文字･･･そのひとつに相違ないかな？
文香,はい、これは"I"(ｲｽ)･･･氷、停滞、安定･･･そして休眠を意味します英語のiceにあたるルーンですね
飛鳥,成る程、それで眠ってしまうと･･･もう一方は？
文香,そちらは"R"(ﾗｲﾄﾞ)、旅、移動、意思の伝達などの意味が籠められています
飛鳥,つまり、貴女が夢見心地に魔術を使ったのは･･･
文香,こちらの影響、でしょうね
飛鳥,･･･次、小梅がココに来た理由だ
文香,メモ書きと部屋の片付け、でしょうか
飛鳥,もうひとつ、ルーンの罠もだね
文香,飛鳥さん･･･まさか、小梅ちゃんを疑っているのですか？
飛鳥,まさか、だって？フン、ボクだって小梅を疑いたくはないさ。けれどね探しやすいよう片付けられた部屋、メモ、ルーン文字･･･少し状況が整いすぎてるんじゃないかな
文香,･･･そこです
飛鳥,ん？
文香,ルーン文字･･･見比べていただければ分かるかと思いますが、筆跡とインクの具合が全く同一なんですよ
飛鳥,･･･ダメだソレだけでは弱いよ、文香さんほぼ一画の記号をそうまで言い張る剛毅さは認めても良いけれどね。"まさか"、貴女が情に絆されるタイプだとは思わなかった
文香,つい先ほどまでの飛鳥くんにも聴かせて差し上げたい金言ですね
飛鳥,ｸﾞｯ･･･
文香,それに･･･こんな稚拙な論拠が通るとは、私も思っていませんこの部屋、いくらメモを見つけやすくするとはいっても･･･片付き過ぎてはいませんか？
飛鳥,ほう･･･？
文香,少し失礼して押入れを覗かせていただきましたが･･･いつもならラックに収まっているDVDのパッケージは疎か、棚の上に並んでいる小物類･･･ただのひとつも見つかりませんでした
飛鳥,･･･一体、どこに
輝子,あ、それなら私の部屋にあるけど･･･
文香,それはまたどうして？
輝子,そろそろ、幸子ちゃんが海外ロケから帰ってくるからな･･･週末に、またホラー鑑賞会やろうって前、話してて。その時のために私の部屋にビデオとか小物、置いてあるんだ･･･ﾌﾋ
飛鳥,なるほど
文香,輝子さん、教えて下さってありがとうございます
輝子,ああいや、そんな･･･
飛鳥,･･･まあいいで、だそれをしてどんな論を展開してくれるのかな？
文香,私が示すのは、小梅ちゃんが飛鳥さんよりも先に蘭子ちゃんが部屋に来る事を予見していた可能性です
飛鳥,フム
文香,まず、輝子さん
輝子,お、おう？
文香,鑑賞会は今週末で間違いありませんか？
輝子,あ、うん･･･細かいところはこれからだけど
文香,ありがとうございます飛鳥さん、魔道書を手に入れてこれから何かをしよう、というタイミングの小梅ちゃんが･･･まだ予定を詰めてすらいない鑑賞会の準備を始めるのは、余りに不自然ではありませんか？
飛鳥,･･･そうかも知れない小梅は事務所の同年代の中では比較的落ち着いているとはいえ、ことオカルトに関しては･･･つまり、らしくないね
文香,私も、同意見ですこの行動には別の意図があると見て間違いないでしょう
飛鳥,･･･それは？
文香,蘭子ちゃんへの配慮と･･･偽島さんの誘導です
飛鳥,前者は、理解った･･･蘭子が怯えてその足を止めないようにオカルトグッズを退避させたと、そう言いたいんだろう
文香,仰る通りです
飛鳥,だが後者は･･･説明をどうして今、その名前が出てくる？
文香,はい･･･前者を納得いただけたようなので、仮説を前提とした話になりますが･･･
飛鳥,構わないよ
文香,蘭子ちゃんが来ると分かっていながら小梅ちゃんは、メモの宛名を"飛鳥くんへ"のままにしていました･･･何故だか分かりますか？
飛鳥,元々アレはボクらへのメッセージなワケだが･･･最初に手に取るのが蘭子で、小梅がソレを予見していたとするなら･･･
文香,偽島さんは既に二度、私と飛鳥への魔術攻撃に成功しています加えて今回の蘭子ちゃん･･･そのどちらにも、共通したトリガーがありましたね
飛鳥,･･･メモ、そしてルーン文字
文香,そうです･･･これらの証拠から、偽島さんは文書とルーン文字を好んで用いる魔術士と分かります
飛鳥,ちょっと待った
文香,なんでしょう
飛鳥,ボクらは昼過ぎから、便宜的に偽島さんと呼称してはいるが･･･彼女が偽者だという確証がそもそも無いんじゃないか
文香,･･･それはこの事件の犯人が川島さん本人だ、という事でしょうか
飛鳥,その可能性が無いとは、とても断言できない･･･現状ある情報の中では、だが
輝子,か、川島さんだったら･･･昨日早くから楓さん菜々ちゃんと温泉旅行、だったような･･･
飛鳥,ソレは確かかい？
輝子,うん･･･親友の机の下、色んな情報が集まる･･･ﾌﾋ
飛鳥,となると、昨夜川島さん本人が事務所にいる道理は無い･･･
文香,輝子さんには先ほどからお世話になってばかりですね･･･今度何かお礼をさせて下さい
輝子,じゃ、じゃあ、勢いで買ったはいいものの難しくて読めなかった、キノコの学術書があるんだけど･･･一緒に読んでくれないか･･･？
文香,はい喜んで
輝子,ﾌﾋﾋ･･･棚からボタニカルきのこってヤツだな
飛鳥,茸は菌類では無かったか？
輝子,おお･･･幸子ちゃんから教わったツッコミ待ち、初めてできたぞ
飛鳥,輝子さん、いつの間にソッチ側に･･･
文香,さて、偽島さんに話を戻しましょうか･･･結論から言うと、偽島さんは他者の姿をほぼ完全に模倣する術を持っている･･･私はそう考えます
飛鳥,ソレもあの魔道書に載っていたのか？
文香,ご推察の通りです詳細は省きますが、屍食鬼･･･グールは人を拐かしてその数を増やす事があります〔意識の剥奪〕同様、その為に使われていたものではないでしょうか
飛鳥,･･･あまり深く考えない方が、頭に良さそうだ
文香,はい、それが賢明かと･･･偽島さんは口調と服装を除く、顔･スタイル･声色･仕草･･･ほとんど全てが川島さんそのものでしたあの方が本人でないなら、この説が最も有力でしょう
飛鳥,ご丁寧にソコだけ外してくれたコトを考えると、向こうは相当文香さんに気付いて欲しかったと見える
文香,実際、そうなのでしょう彼女はわざと疑わせて、私達が翻弄される様をどこかで見て嘲笑っている･･･そんな気がするのです
飛鳥,イヤに不明瞭な物言いじゃないか
文香,こればかりは勘としか言いようがありませんのでただ･･･
飛鳥,ただ？
文香,小梅ちゃんが、一矢報いてくれました
飛鳥,小梅の行動理由がそこに繋がるのか
文香,･･･偽島さんは飛鳥さんと私が状況を理解してすぐに小梅ちゃんを探しに行くだろう、そう考えたと思います
飛鳥,当たり前だ小梅の、延いては事務所の危機に発展仕兼ねない
文香,はい･･･そして何らかの方法で小梅ちゃんの居場所を捕捉し寮から出てきたタイミングを見計らって部屋に侵入、罠を仕掛けて脱出･･･こんなところでしょうか
飛鳥,色々とツッコミ所はあるが、寮への侵入方法はどうしたんだろうね
文香,入ってきた時のことなので、憶えているとは思いますが･･･基本的に346プロダクション女子寮では、寮生でない者の立ち入りはたとえアイドルであっても･･･社員証の提示と書類の記入が求められます
飛鳥,確かにアレは地味に時間がかかって困る特にさっきのように急を要する時なんかは
文香,偽島さんにはそこまでの時間と社員証がなかったと思うので、寮生の･･･恐らく年少組の誰かに扮して小梅ちゃんの部屋に侵入し、
飛鳥,･･･！小梅がボク宛のメモを残したのは
文香,偽島さんは"飛鳥さん宛のメモ"に罠を仕掛けました尤も、必ずしも最初に手に取るのが飛鳥さんとは限りませんが･･･私たち二人のどちらかが罠にかかれば御の字、そう考えていたんだと思います。もしそうなっていたなら、探索の中止を余儀なくされたでしょうから･･･
飛鳥,だが、最悪の事態は回避された･･･蘭子の存在によって
文香,そしてそれを予見した、小梅ちゃんのお陰でもあります
飛鳥,･･･ボクはまだ、ソコが腑に落ちていないんだ。先に来るのを知っていながら、効力が未知数の魔術の矛先を蘭子に誘導する･･･小梅にそんなコトが出来て当たり前なら、それこそアチラ側と見て間違いないだろう
文香,これも推測になりますが･･･小梅ちゃんは、偽島さんの正体を知っていたのではないでしょうか
飛鳥,何･･･？
文香,私は彼女が来てすぐに眠ってしまったので、分かりませんでしたが･･･何かそういった素振りを見せてはいませんでしたか？
飛鳥,ん･･･言われてみれば、
《小梅,原典は今、日本にないはず･･･つまり、昨日の川島さんは
飛鳥,･･･あった識っていたんだ、小梅は
文香,であれば、簡単な話です小梅ちゃんは、偽島さんが私達を傷つけない事を知っていた----それが一体何に起因するものかは分かりませんが----だから蘭子ちゃんに誘導するという、暴挙とも取れるような策を打つことが出来た･･･つまりは、そういう事です
飛鳥,･･･詰まるところ、貴女は小梅の疑いを晴らせていないんじゃないか？
文香,時には本質にばかり囚われず･･･全容を検める事も大事ですよ、飛鳥さん。現時点で、小梅ちゃんの立場は中立です･･･彼女の為したい事を邪魔されたくないがゆえに身を隠しているその一方で、私達が偽島さんの思い通りにならないよう･･･ある程度妨害してくれています。しかしながら、彼女があちら側と手を組むことは絶対にありません･･･私にはそう感じるのです
飛鳥,･･････
文香,そうですね･･･もっと、シンプルに行きましょう小梅ちゃんは少なからず、私達を想って動いてくれてます･･･それだけで彼女は仲間ですし、その事実の前では彼女の思惑など関係ありません。そして仲間の為なら茨の道を往き、想いに報いる覚悟が･･･私にはありますあなたはどうですか？飛鳥さん
飛鳥,･･････ボクは、
文香,もし、曖昧な現状を是としないのであれば･･･ここで
飛鳥,ここで引き下がるくらいなら！
文香,････！
飛鳥,･･･初めから、文香さんを女子寮に連れてなど来るものか。それに、魔導書を目にした小梅を見ていたのは他でもない、ボクだけだこの事態は十二分に予測出来た･･･。最早驕りも慢心も、一片たりとも在りはしない
文香,･･･飛鳥さんなら、そう言って下さると思っていました
飛鳥,言ってくれるね、文香さん･･･そうと決まれば時間を浪費するワケにはいかないな、早速動こうか
文香,飛鳥さん、乗り気になっている所非常に申し上げにくいのですが
飛鳥,なんだい
文香,現状、目的地が判明していません
飛鳥,･･････
文香,･･･輝子さんの意見を、聞きましょうか
輝子,ﾌﾋｨｯ！？む、無茶ぶりすぎる･･･
飛鳥,ハァ･･･幾ら輝子さんでも、そう都合よく情報を持っているワケないだろう
輝子,確かに、私は小梅ちゃんが今･･･どこにいるのか知らない
飛鳥,それ見たコトか
輝子,で、でも･･･ビデオを預かった後、どこへ向かったかなら･･･知ってる
飛鳥,･･････
文香,･･･それ見たことか
飛鳥,チッ
文香,いひゃいでふあふかはん
輝子,二人ともカワイイ
飛鳥,･･･すまないで、小梅はどこへ？
輝子,そ、その前に一つ･･･お願いがあるんだ
飛鳥,･･･聴こうか
輝子,詳しい状況はよく、分かってないけど･･･小梅ちゃんは今、悪い小梅ちゃんかもしれないんだよな･･･？
飛鳥,そうだね･･･ソレが内に秘めてきたモノなのか、今回の件で生じたモノなのかはまだ、理解りかねるが
輝子,もしだぞ？もし、そうなっちゃってたら･･･まず私と幸子ちゃんのところに、連れてきてくれないか
飛鳥,理解った
輝子,そうだよな、やっぱ･･･ええっ？
飛鳥,どうした？
輝子,り、理由とか訊かないのか･･･？
飛鳥,訊いて欲しければ、そうするが
輝子,いや･･･そういうわけじゃないけど
飛鳥,なら、ボクから言うべきことは何も無いな･･･文香さん？
文香,はい･･･学術書、楽しみにしていますね
輝子,文香さん、飛鳥ちゃん･･･あ、ありがとう･･･ﾌﾋﾋ。･･･私に荷物を預けた後、小梅ちゃんが向かったのは-----。あ･･･蘭子ちゃんは、私が部屋まで運んでおくからな
飛鳥,そうだな出来れば起きるまで一緒にいて、落ち着かせてやってくれ。･･･終わったら二人には全て説明しようボクが謝っていたと伝えてくれると、助かるかな
文香,もう、大丈夫だとは思いますが･･･今夜は部屋から出ない方が安全かと思われます施錠もお忘れなく
輝子,うん･･･わかった
飛鳥,今日は本当に世話になった後日改めて礼をさせてもらうよ
輝子,楽しみにしてる･･･ﾌﾋじゃあ小梅ちゃんのこと、頼んだぞ･･･！
飛鳥,ああ、任された
文香,行って参ります
輝子,･･･行ったかなもしもし･･･？こっちは終わったぞ。あ、蘭子ちゃんもう起きて、平気･･･
神崎蘭子,･･････っはぁ～～～～緊張した～～///
文香,･･･すいません、ここで降ろしてください
飛鳥,事務所からタクシーで30分･･･ようやく着いたか
文香,飛鳥さんが場所を覚えていてくれて、助かりました
飛鳥,別段大きな家には見えないんだがな･･･
輝子,小梅ちゃんが向かったのは･･･第2レッスンルームだ
飛鳥,小梅のレッスンは、既に終わっていたはずだが？
輝子,誰かと待ち合わせしてる、って･･･誰かまでは聞かなかったけど
文香,･･･飛鳥さん、本日のスケジュール表を覚えていますか
飛鳥,あの時間の第2レッスンルームは確か･･･
文香,午前終わりと午後初め、2コマ連続で･･･LiPPSの皆さんが利用しています
飛鳥,･･･ボクにはもう、一人しか思いつかないんだが
文香,私もです
飛鳥,文香さん、確認したいことがある
文香,はい。いいえ･･･私はあの時、気を遣ってそう言いましたが･･･間違いなくプラスチック製でした
飛鳥,決まりだね。･･･ここだ
文香,家の中に人がいる気配はありませんね
飛鳥,ガレージは･･･あった開けるよ？
文香,･･･はい
飛鳥,･･･無い、何も
文香,逐次几帳面に片付けるイメージとは･･･彼女は少し、かけ離れていますが
飛鳥,実験は地下に完全移行したのか･･･？動かさなければ乱れようもない
文香,･･･絨毯やソファーの下は一通り検めましたが、何も無いようですね
飛鳥,ハッチでない、となると･･･壁か
文香,･･･外観には突出した部分が見受けられなかったので、家と隣り合った壁･･･でしょうか
飛鳥,この、お誂え向きの本棚なんかどうだいどれ･･･月刊○ー？
文香,･･･珍しい
飛鳥,確かにアイツが斯様な本を読むような人間には見えないが
文香,いえ、ム○ではなく･･･本棚の方です横の床･･･分かりますか？
飛鳥,･･･床が一部、沈み込んでいる？
文香,恐らくは･･･やはり、開きましたね
飛鳥,埋め込み式のレールにキャスター･･･！という事は、。･･･些か、お約束過ぎやしないか
文香,一流の悲劇より三流の喜劇を、という言葉もありますが
飛鳥,ニュアンスが一周回って適っている気すらしてくるね･･･
文香,飛鳥さん、ドアに張り紙が
飛鳥,CalmDown♡、だとさ
文香,これは、comedownとかけているのでしょうか･･･？
飛鳥,･･･なるほど、あまり気負わずに進もうか警戒は緩めずにね
文香,そう、ですね
飛鳥,ん、階段が暗いな･･･降りるよ文香さん、手を
文香,･･････っ
飛鳥,･･･文香さん？
文香,･･･はい、ありがとうございます
飛鳥,フフ、何か気になることでも？
文香,いえ、今この瞬間から鷺沢の墓に入るまで手を洗えない･･･その覚悟を決めるのに、時間が必要だったものですから
飛鳥,ヒトをアイドルか何かみたいに･･･あと婿を取る気なのか？
文香,飛鳥さん、騒動のせいでお忘れかも知れませんが･･･私達はSISのエージェントなどではなく、歴としたアイドルです
飛鳥,婿入りの方はスルーか･･･ん、コレは･･･？。･･･っと、研究所に着いたか
文香,ここは･･･ロビーのようですね
飛鳥,どれ、案内板でも探すとしようか
文香,･･･飛鳥さん！向こうのスピーカーです
飛鳥,ハロー、天才娘顔も出さずに随分な歓迎じゃないか
文香,小梅ちゃんは、ここにいるんですね･･･志希さん。･･･！？どうしてそれを、
飛鳥,案外、ケチくさい所もあったんだな。ハン、先だって言われて聴くヤツがこの世にどれだけいるっていうんだ。･･････ッ！！。･･･もう一つ、行くかい？。お前が本当に小梅を監禁してるって？起きている間にするのは寝言とは言わないんだ、知っていたか
文香,志希さん、小梅ちゃんもあなたもまた仲間だと･･･私はそう思います
飛鳥,･･･ドアか？。どうする、文香さん
文香,･･････是非も無し、です
飛鳥,･･･開けるよ。･･････
一ノ瀬志希,二人とも、いらっしゃーい
文香,･･･お邪魔します
志希,おっ礼儀正しい
飛鳥,日がな一日暖炉を眺めているのが似合う安楽椅子だな、志希
志希,普通のオフィスチェアーじゃ、この体には合わなかったのだよ
飛鳥,･･････お前、本当に。腰から別れた肢体･･･足を束ねただけでは成し得ない、長くしなやかな尾そして･･･鱗。やはり･･･フレデリカの夢物語では、無かったんだな
文香,あ、飛鳥さん･･･？志希さんの、あの姿は･･･あれではまるで、ギリシア神話に登場する･･･ら、ラミアのようで、
飛鳥,まさしく、志希はそのラミアだいや･･･そうなった、と言った方が的確かな。鼓動が速い、思考が白んでいく･･･予想できていたにも関わらず、平静を保つので精一杯か
文香,･･･きゅう
飛鳥,お、っと
志希,あらら、文香ちゃんには刺激が強すぎたかにゃー？
飛鳥,なまじ知見がある分思い至ってしまうんだろう･･･元々精神的にもギリギリだった、仕方ないな。申し訳ないが文香は休憩中だ話なら、ボクが聞こう
志希,ふーん･･･そういうこと
飛鳥,それとも、バールでそのささくれを一枚一枚剥がされる方がお好みかい？。･･････
志希,ジョーダン、冗談だってばっ
飛鳥,まず一つ･･･簡単な質問に答えてもらおうか
志希,あたしはいいけど。信じられるの？
飛鳥,その類の問答に意味なんて無いのは、キミが一番よく理解ってるんじゃないか？
志希,ソレもそうだどうぞー
飛鳥,･･･お前の味方は誰だ？
志希,ぷっ、あははははははははっ！！
飛鳥,おいおい、遂に壊れたのか
志希,いひひひっあーだめ、お腹痛い･･･よりにもよってソレ～？
飛鳥,大事なコトなんだよ･･･少なくともボク達にとっては、ね。要は志希お前が偽島さんサイドか小梅サイドか、というだけの話さ
志希,そーゆーことなら言わせてもらうけど、あたしは偽島さんなんて知らなーい
飛鳥,小梅を監禁しているワケでは、無いんだな
志希,小梅ちゃん側とも言ってないよ？まぁ、概ねその通りだけど
飛鳥,ことリスクマネジメントに於いては、最早眉唾と言うべきでは無いな･･･あの子や他の霊魂に懐かれている小梅は、一流だ自ずから牙城に飛び込むような真似をしないだろう。ソレにしても、キミと小梅が繋がっているとはな今朝の時点では夢にも思わなかった
志希,そこはギブアンドテイクかにゃー小梅ちゃんはあたしが欲しいモノを持っていた、あたしにはソレに贖うだけの知識と探究心があった･･･協力関係を築くにはそれだけでジューブンっ
飛鳥,･･･その身体を見た後に何故キミが魔道書なんか、なんて訊くのは無粋かな？
志希,そそ、ご名答～私の目的はコレを直すこと。一時的に引っ込める薬は作れたんだけど完全には直せなくてね
飛鳥,なるほど、あの容器はソレか
志希,あはー･･･バレちゃってたか
飛鳥,フフ、僕だけの力じゃないけどね
文香,ぅ･･ん････
志希,･･･飛鳥ちゃんってば、意外にロマンチスト？
飛鳥,キミほどではないさ、志希。･･･待て
志希,んー？
飛鳥,ギブアンドテイクと、そう言ったな
志希,言ったね
飛鳥,ボク達二人は小梅の目的を結局のトコロを掴めていないんだ
志希,そうみたいだねぇ
飛鳥,キミが協力できて、あの魔導書が無くてはならない･･･一体小梅は何を為そうとしている？
志希,あたしの専門分野じゃなかったけど、やってみるもんだね
飛鳥,化学の範疇でない･･･
志希,そ、なかなか興味深い結果が得られたんだよ？
飛鳥,勿体ぶるじゃないか、らしくもない
志希,今夜はご機嫌しきちゃんだからねー、無駄な演出に尺稼ぎだってしちゃうのだ♪もいっこ、ＣＭ挟むね？
飛鳥,今日はやけにバラエティに触発されたアイドルと出会うなぁ
志希,さぁてお立会い！気になる答えはＣＭの---
飛鳥,---ッ、誰だ！？
小梅？,･･････
飛鳥,･･･昼ぶりだね、小梅体感としては３日は会っていないように感じるが
小梅？,･･････
飛鳥,手術衣･･･？志希、ココにはこんな服しか置いてないのか？
志希,あー出てきちゃったかー･･･飛鳥ちゃん、その子は
小梅,･･ｱ･･･ｩ･･･♪
飛鳥,おっと･･･ソレは、昼間にやっただろほら、キミには訊かなきゃならないことが沢山･･･？。･･･小梅、ボクの記憶を疑わないなら
小梅？,･･････？
飛鳥,キミの前髪は右眼を隠していたんじゃなかったか？
文香,･･･～～♪
飛鳥,･･････エラく牧歌的な存在証明もあったモノだね、文香さん
文香,おはようございます、飛鳥さん･･･今回はぶつけませんでしたね
飛鳥,額でキスする代わりに、この心地良さに身を委ねてみるのもイイかな･･･そう思ったんだ
文香,そうですか･･･私なんかの膝で良ければ、お使い下さい
飛鳥,徒に自身を卑下するモノじゃない、ファンからすればこの光景は垂涎ものだろうさ
文香,そういう、ものなのでしょうか･･･？
飛鳥,男性ファンはボクを、女性ファンは貴女を自己と同一視する･･･そういうものなんだよ。･･･それにしても、上手いじゃないかお互い現役アイドルのボクらが評し評されるには、些か軽薄な表現かも知れないが
文香,歌っている本人に言われると、少し気恥ずかしいものがありますね･･･最近はクローネの皆さん、主に唯さんがカラオケに連れて行ってくださるので･･･そこで練習しました
飛鳥,にしては、BPMが足りなかったようだが？
文香,あの場でならリズムに乗ることもできるのですが･･･諳で歌うとなると、
飛鳥,歌いやすいテンポになってしまう、と
文香,恥ずかしながら･･･
飛鳥,･･･体調は、大丈夫そうだね
文香,ええ、飛鳥さんも。･････････あの、
飛鳥,そうだ、ボクの曲をカバーしてみるというのはどうだろう丁度、シンデレラプロジェクトの面々がやっていたように
文香,え･･･あぁ、そうですねそうなると飛鳥さんもプロジェクト・クローネに加入することになってしまいますが･･･
飛鳥,ああ、ソレはまずいな･･･そんな話になったら、尻馬に乗ってアイツも･･･っ
文香,･･･飛鳥さん？
飛鳥,あいつは･･･志希は、どこに？
文香,･･･私が目を覚ました時には、既にこの部屋から姿を消していました
飛鳥,じゃあ･･･こ、小梅は、
文香,その説明をする前に三つほど･･･謝らなければならない事があります
飛鳥,･･････は？
文香,ひとつ飛鳥さん、貴女は一度も魔術を目にしていません
飛鳥,おい、待て
文香,ふたつ、偽島さんなどという人物は存在しません
飛鳥,何を言って、
文香,みっつ私はただの一言も----。フィンガースナップが出来ないとは言ってません
飛鳥,！！？
志希,Happybirthdaytoyou～♪
フレデリカ,はっぴばーすでーとぅーゆー♪
小梅,ハッピーバースデイディア飛鳥ちゃーん･･･っ
文香,ハッピーバースデートゥー･･･
しきフレ,ゆ～♪
小梅,ユー･･･！
文香,You･･･
飛鳥,･････････
志希,surprise♪にゃははははは
飛鳥,･････････
小梅,飛鳥くん、ビックリしてくれた･･･？
飛鳥,･････････
小梅,えへへ･･･
フレデリカ,ほらほら、特製のブッシュドノエルだよ～♪吹き消して吹き消してっ
飛鳥,･････････
フレデリカ,わーお！綺麗に全部消せたねーエライエライ♪
文香,飛鳥さん･･･
飛鳥,･････････。･････････
文香,これも･･･カラーコンタクトです
飛鳥,･････････
志希,あたし達プレゼンツ！
フレデリカ,とび～っきりの♪
小梅,ひ、非日常･･･！
文香,楽しんで、いただけましたか？
飛鳥,･･･か、
小梅,か･･･？
飛鳥,勘弁してくれ････
フレデリカ,ニノミヤ選手崩れ落ちたーっ！
志希,飛鳥ちゃん、寝てる場合じゃないよー？上でみんな待ってるんだから
飛鳥,･･･皆？
小梅,こ、今回のお誕生日ドッキリに協力してくれた人たち･･･全員いる、よ･･･？
文香,ユニットで言うとLiPPS、CAERULA、アンダーザデスク･･･個人では他にも沢山の方にご協力いただきました
小梅,今度は･･･幸子ちゃんも一緒に、やりたいな
飛鳥,来年もやるつもりなのか･･･
フレデリカ,え、アスカちゃんもしかして
小梅,楽しく、なかった･･･？
飛鳥,グッ･･･誰が脚本を書いたのか知らないが
文香,私ですが
飛鳥,絶妙に総評が言い辛くなるタイミングで名乗らないでくれないか！？。･･･兎も角、今になって考えると局所局所のディレクションから、キミ達を嗅ぎ分けるコトも難しくは無かっただろう翻弄されるばかりで気が回らなかった此方の完敗だ･･･ボク自身不得手な演出も多々あり、寿命が縮んだのも一度や二度じゃない
志希,３回くらいかな？
フレデリカ,いえマドモアゼル、あの言い方だと４回はくだりませんわよ
飛鳥,･･･賑やかしであろうフレデリカは置いておくとして、だ
フレデリカ,あ、ひどーい！ありすちゃんと二人で頑張ってケーキ作ったのに～
文香,イチゴを前面に押し出すことなくちゃんとロールしている･･･ありすちゃん、まこと大きくなり申した
飛鳥,自分で言うのもなんだが、主賓そっちのけで割り込むのはどうなんだい？
志希,飛鳥ちゃん飛鳥ちゃんっこの香水、別で持ってきたプレゼントなんだけど今使う？使って？
飛鳥,自由か？
小梅,みんな･･･楽しそう、だね･･･
小梅？,･･･････♪
速水奏,全く、なかなか来ないから降りて来てみたら･･･
城ヶ崎美嘉,飛鳥ちゃん少しくらい荒れるかと思ってたケド、いつも通りじゃん？ちょっと安心
塩見周子,美嘉ちゃんはそもそもドッキリ知らなかったけどね
美嘉,ちょっ、情報止めてたの周子ちゃんでしょ！？
周子,演技派なのに肝心なとこでポンコツだからなーウチのカリスマ
奏,周子、意地悪言わないの
周子,ほいほいそれにしても、飛鳥ちゃんも晴れて14歳かぁ
美嘉,14才･･･14？
奏,美嘉？ダメよ
美嘉,･･･え、奏ちゃん何のこと？
奏,無意識･･････騒ぎになる前に矯正した方がいいかしら
周子,奏ちゃん目据わりすぎーあたしが他の娘と仕事した後の紗枝はんみたいになってるから
奏,そんな事言って大丈夫？
周子,平気平気、いくら紗枝はんでもここまで
美嘉,･･･メール、来てるけど
周子,･･････うん。いけずやわぁうちがいつそないな顔しはりましたやろか･･･
美嘉,うわぁ
奏,自業自得ね
周子,帰りたくないなぁ･･･。そうだかな、じゃない美嘉ちゃん！
美嘉,ダメ
周子,まだ何も言ってないやん
美嘉,どうせ今日一日匿って！とかそんなんでしょ
周子,うっそ美嘉ちゃんエスパー･･･？
美嘉,アタシにもユッコちゃんにも失礼じゃない？
奏,私の所なら別に構わないけど
周子,あー･･･奏ちゃんはちょっとね
奏,なあに？
周子,寝てる間にキスマーク付けてきたりしそうで
美嘉,きっ、キス･･･！？
奏,あら、そんな事しないわよ
周子,ほんま？
奏,ええ起きてる時にするもの♪
周子,結局するんかーい
奏,こんな会話をすると紗枝に悪いわね
周子,あ゛っ
美嘉,ていうか二人とも、降りてきた目的忘れてるんじゃ･･･
奏,フフ、ごめんなさい･･･飛鳥！
飛鳥,ちょっ、志希！ボクのエクステを嗅･･･奏？助けてくれないかッ！？
奏,全く･･･周子、頼んだわ
周子,あいよっ･･･オラオラどけどけ～４代目様のお通りじゃー！
美嘉,何その解決法！？
フレデリカ,あっ塩見パイセンお疲れサマっス！
志希,ｯｽ
フレデリカ,お荷物持ちやしょうか･･･噫、生八つ橋っスね
志希,ｯｽ
フレデリカ,は～～イイ餡使ってらっしゃる～！
志希,ｯﾌ
美嘉,･･･フレちゃんの負担大きくない？
飛鳥,助かったよ･･･アレ、どうなってるんだい
文香,ビジュアルレッスンの一環、でしょうか･･･
飛鳥,ボクにはコメディアンのネタ合わせにしか見えないけれど
奏,二人とも？もう聴いてると思うけど、上で皆がお待ちかねよ
飛鳥,ああ、そうだったね･･･アイツらは？
奏,飽きたら来るわ
飛鳥,･･･リーダーも大変だな奏
奏,代わってくれる？
飛鳥,御免こうむるね
奏,あら、残念
飛鳥,まあでも、騒がしいのはボクの趣味じゃないが･･･偶にはこういうのも悪くない
奏,飛鳥？今日ぐらいは、素直な言葉を･･･本心を聴かせてくれてもいいんじゃないかしら
飛鳥,ん、そうだな･･･。色々あったが･･･今日は楽しかったよ、ありがとう
奏,文香、こんな感じでいいかしら
飛鳥,ドコから出したんだいそのカメラ
文香,ええ、大丈夫です･･･まつ毛の1本1本まで綺麗に撮れています
飛鳥,おい
奏,音声の方は？
文香,今、確認します
飛鳥,ドコに仕舞ってたんだいそのマイク
文香,･･･はい、バッチリです
奏,お疲れ様
周子,てっしゅーこー
フレデリカ,お先に失礼しまッス
志希,ｯｽ
美嘉,もうほとんど比奈さんじゃんそれ
飛鳥,･･･貴女は行かないのかい？美嘉さん
美嘉,アタシはエスコート任されてるの★
飛鳥,なるほどね
美嘉,･･･そろそろ、大丈夫かな上がろっか
飛鳥,頼むよ
美嘉,さ、飛鳥ちゃんどうぞ
飛鳥,ああ･･････また血塗れの小梅が飛び出してきたりしたら確実にボクの心臓は止まってしまうわけワケだが、その辺り大丈夫だろうね･･･？
美嘉,血まみれの小梅ちゃん･･･？何の事か分からないけど、早く早く！
飛鳥,理解らない？そんなハズは･･･美嘉さん、押さないでくれないか！
美嘉,ほーら、行くよ？せーのっ
橘ありす,改めましてっ
