高嶋友奈,昔、友達にひどいことを言ってしまった
千景,……テーブル型のアーケードゲームがレトロ、ねぇ……。私が居た西暦の現代でさえ、濃いマニア向けの店に行かなければお目に掛かれないそういう筐体なのよ？それが遙か三百年以上未来に現存していて、しかもプレイすることが出来るなんて……。流石に復刻品であるとは思うけれど、それでもそこには確かに受け継がれてきたゲーマーたちの変わらぬ魂があって……少しだけ嬉しくなってしまったのは内緒の話
友奈,わわわっ、わぁー！
銀,ああー！おっしい！
美森,……祖国が、敵の手に……
夏凜,ちくしょう……！
風,とりあえず、二年生組の感情移入感が半端ないわね……
友奈,うぅ……ぐんちゃーん、負けちゃったよー
千景,頑張ったわね、結城さん。けれど、まだまだ改善できるはずよ。まずは名古屋打ちのタイミングについて詰めていくところから始めましょう。それと──。結城さんの手を取り、私は実技指導していく。……そう、これは教えるために仕方がないことであって、肉体的接触は必然なのである。決して邪な気持ちなど入り込む余地はなく──あ、結城さんの華やかな香りが……
夏凜,……何だか千景がヤバイ時の東郷みたいな顔しているわね
美森,夏凜ちゃん、それはどういう意味なのかしら
銀,ひぃっ！？
夏凜,ち、違うのよ東郷！別に悪気があったわけじゃなくて……！
風,いやいや、それ以外に何があるって言うのよ
千景,……。くっ、私は何たる醜態を晒してしまったの！？よりにもよって"あの"東郷さんと同列扱いされてしまうなんて……！……これは自戒が必要ね
友奈,ぐんちゃん？
千景,……いえ、何でもないわ結城さん。──そう、そのタイミングよ！そこから一定のリズムで連射していくの
友奈,えい、えい！やぁー！
千景,上手いわ。その調子よ。──ある休日の日、ゆゆゆで言ったら七話だったか、慰安旅行で海を訪れていた私たち勇者部一同は、日暮れの訪れと共に旅館へと場所を移していた。そこで見つけたゲームコーナーでレトロゲームに興じている次第である
銀,アタシ、ゲームセンターのゲームでエンディングまで行った人初めて見たッス……
千景,所詮は定番ゲームね。慣れれば誰だってワンコインノーコンティニューでクリア出来るわ
夏凜,いや、そんなのあんただけでしょうに……
千景,分かっていないわね、三好さん。私程度の腕なら掃いて捨てるほどいるし、闇深い人種ならワンコインで開店から閉店までをプレイ出来るのよ
夏凜,え……そういうものなの？
風,はい、そこー。微妙に世間に疎い夏凜へ偏った情報を教えない。大体そういうことを知っている千景だって相当闇深い感じでしょうに
千景,……"アタシの邪眼がうずく……！"とか言っていた人に言われたくないわね
風,なっ……！アタシのナイスな眼帯をバカにするでねー！
友奈,あ！マッサージコーナーだって！
美森,あれは！？三次元空間無重力式按摩座椅子！まさかここでお目に掛かれるなんて……！
風,おっ、なになに～？何か凄そうな名前じゃない？
千景,……ふーん、無重力を体感出来るマッサージチェア、ね……。通路の途中の広間にはマッサージコーナーと書かれたプレートがあり、そこには二台のマッサージチェアが置かれていた。エアポートから大型スーパーまでコイン式のマッサージチェアが置いてあることは多いけれど、目の前にあるこれは明らかにそれらよりも大型で、かつ一目でその作り、シートの柔軟性まで一ランク以上違っていることが分かる
銀,東郷さん、これって凄いんですか？
美森,ええ、凄いと聞いているわ。身体の凝りがほぐれるのはもちろんだけれど、按摩中は宇宙空間のような無重力を感じることが出来るらしいの。その心地はまさに夢心地であると、按摩ブロガー北条氏が絶賛していたわ
夏凜,誰よ、北条
千景,東郷さんってネット関連のことになるといきなり横文字を使い始めるわよね？
風,あんたたち、食いつくポイント間違ってない？間違っているわよね？
銀,分かってますって部長。ここはやっぱりこっちッスよね
風,うんうん、流石は銀坊ね。空気が読めているわ
銀,うわ、凄っ！マサオさんが全巻揃っているし
風,そっちか！？確かに本棚が備え付けられていて、漫画とかいっぱい揃っているけど！いるけどぉ！
友奈,マサオさん、うちにも全巻あるよ
風,マサオさんはもう置いておきなさいよ！銀も読み始めない！アタシが言いたいのは──
美森,これが、無重力！？いえ、まだ始まったばかりよ、落ち着きなさい東郷美森……！
風,アタシが言いたかったのは確かにそれだけど！それだけどー！ほんとッ自由ね東郷！その前にあんた車椅子なのにいつスタンバッたのよ！？
友奈,私がお手伝いしました！
風,ええ、知っていたわよ！友奈だとは思っていたわよ！
夏凜,この自動販売機、ピーナッツは売っていてもサプリは売っていないのね……
風,そこはせめて煮干しって言いなさいよ！？おつまみで売っているかもしれないでしょ！そもそも、自販機にまでサプリを求めるなぁーッ！！
千景,西暦の時代なら一応そんな自販機があったと聞いたことはあるわね。……それはそれとして、ねぇ、樹さん？私は思うのだけれど、あなたのお姉さんは漫才の突っ込みで将来生計を立てると良いと思うわ
美森,……
友奈,ええー！？ま、マッサージチェアが浮いて、東郷さんを呑み込んでる！？
千景,……酷い誤解を生みそうな言葉だとは思うのだけれど……なるほど、これは確かに既存のマッサージチェアとは違うわね。マッサージチェアが大きく水平にリクライニングしたと思ったら、腕と足の部分のシートが東郷さんのそれを包み込んでいた。機械音と共にシートが振動、揉み機が都度ゆっくりと動き、残されたのは至福を顔に浮かべた黒髪少女の姿のみ
夏凜,気持ちよさそうね、東郷……
銀,すっげー……これがハイテクってやつかぁ……
風,はー、マッサージ機も進化しているのねぇ……。にしても東郷、あんたやっぱり全身コリコリだったりするの？
美森,……ふぅ。あ、はい、そうですね。車椅子だとどうしても肩と腕、腰が凝りやすくなってしまうもので
夏凜,へー、東郷も苦労していたのね
風,いやいや、これはあれよー、夏凜
夏凜,？あれって何よ？
風,……とーごー、車椅子もそうなんでしょうが、それ以上にさ──。そのぉご立派なものがー、重かったりするんでしょー？
銀,じ、実はですね！アタシもメッチャ肩こりがあって！ですね──！
風,そんなウソをつかなくて良いの。皆、分かっているから、ね？
銀,うわーん！アタシはまだまだ発展途上なんだいっ！！
千景,……まぁ、三ノ輪さんならその言葉の通りになってもおかしくないわね。スレンダーな体型ではあるけれど、こういったタイプは個人的統計によれば、気付くとそこも大きくなっていることが多いように思う。それに彼女だって標準かその少しを下回る程度にはあるのだ。だから、真に問題なのは──
風,大丈夫、お姉ちゃんは信じているからね。えぇっー！？
千景,……胸の話は置いておくとして、私も肩こり持ちではあるのよね
美森,……あぁ……これが、極楽浄土……
夏凜,こらこら、勝手に天国に行かない
千景,……。次世代を感じさせるマッサージチェアはもう一台空いている。……私も体験してみようかしら？
銀,千景さんもあのマッサージチェアに興味津々ですか？
千景,多少はね。……昔から肩が凝りやすいのよ。ああ、胸の話は今関係ないわ
銀,はっ！？思わず登山しかけていた！……ええと、アタシが揉みましょうか？
千景,揉むって、肩揉みのことよね？
銀,何で今胸を隠したんスか……。これでもアタシ、両親に肩揉みが上手いって言われているんですよ？
千景,……親、孝行なのね
銀,まぁ、記憶のないアタシに出来ることなんてタカが知れていますから。で、どうッスか？
千景,……そうね、折角だしお言葉に甘えようかしら
銀,はいはーい！銀さんマッサージ店ただ今開業ッス！それじゃあ、千景さん。そこの椅子に座って下さい
千景,ええ。簡素な椅子に腰かけると、三ノ輪さんが私の後ろに立つ。……あたたかな手のひらが私の両肩に当てられた
風,へー、面白そうなことしているじゃないの？実はアタシも普通に肩こるのよねー
友奈,それじゃあ、風先輩には私が！
風,え、そう？何だか催促したようで悪いわね
美森,……
夏凜,何であんた、風を拝んでんの？
友奈,えーい！
風,うぎゃー！！
千景,……結城さんもまた、高嶋さんと同じくゴッドハンドを持つ者だったのね……
銀,お客さーん、こってますねー
千景,……。……いい……
銀,首と肩の付け根辺りを揉み解すと肩は大分楽になるんですよ。痛かったら言ってくださいね
千景,……た、多少痛い気もするけれど、ほ、ほぐれている気が……するから！こ、このままでお願い……！
銀,あ、少しだけ力を緩めます。揉み返しになると大変ですからね
千景,……あぁ……三ノ輪さんの手がカイロのように熱くて……その繊細な指先の巧みさが……的確にツボを押していて……肩から、老廃物が抜けていくような心地が……
友奈,よーし！銀ちゃんに負けていられないぞー！
風,──ちょ……やめ……ゆ、ゆう──うぎゃぁー！！
夏凜,友奈はあんまり力を入れていないように見えるけど、なんで風はあんなに悶絶しているわけ？
美森,そうね……身体の凝りも酷くなってしまえば、蓄積された凝りによって多少の按摩でさえ痛みを感じてしまう人が居るらしいわ。でも、ほぐされてくれば大分楽になるはずなのだけれど。あら？……もう終わってしまったのね
夏凜,なるほどね。つまり、風も千景も普段のストレッチが足りてないってことでしょう？あとで私が正しいストレッチをきちんと教えてあげないといけないわ！
美森,ありがとう、夏凜ちゃん。でも、ほどほどにしてあげてね？
銀,千景さん、左肩のここ、痛いでしょう？ガチガチになっていますよ。……少しだけ我慢してくださいね
千景,！？。痛みが一瞬奔る。しかし、すぐに肩の筋肉全体が三ノ輪さんの繊細な手つきに包まれていき痛みは全て違う感覚に置換されていった。硬かった肩が溶けるように柔らかくなっていくのが分かる。……それがとても、気持ちいい……！！。……ああ……もう死んでしまっても良いわ……
銀,──と、こんなところですかね
千景,……ありがとう、三ノ輪さん。とても気持ち良かったわ
銀,へへっ。いつもゲームをやらせてもらっている多少ばかりのお礼ッスよ。肩こりが少しでも楽になったんなら嬉しいです
千景,ええ、肩が嘘のように軽いわ
友奈,──ふぅ、こんなところかな？
風,い、いちゅきー！あ、アタシ……し、死ぬかと思ったよぅー！
夏凜,まさに天国と地獄に別れたわね……
美森,……！。いえ、違うわ、夏凜ちゃん。この勝負、友奈ちゃんの勝ちよ！
夏凜,いつから勝負になっていたのよ！？
銀,それは聞き捨てならないッスね、東郷さん。理由を聞かせてもらいましょうか
美森,一見すると、風先輩はただ苦しんで今現在樹ちゃんへと抱き着いているだけに見えるわ
夏凜,ほんと見たまんまね
美森,だけれど、それは物事のほんの表面にしか過ぎない。……風先輩、万歳をしてみてください
風,ぐすぐすっ……え、バンザイ？こう？──こ、これは！？。肩が羽のように軽い！いえ、それだけじゃない！？身体中が信じられないくらい、そう、軽いの！ダイエットで体重を四十キロくらい落としてしまったかのように！。……。ほ、ほら、アタシって育ちざかりだし……？。！？
美森,……分かったかしら、銀？
銀,そ、そんな……アタシが……アタシが、負けた……！
千景,いいえ、違うわ、三ノ輪さん。そもそもあなたはプロのマッサージ師ではないのよ？こういった素人が行うマッサージであるなら、それは心地良さを何より重視してしかるべきなのよ。……あなたのおかげで今、私の心と身体は満ち足りている、それがただ一つの答えでしょう？
銀,ち、ちかげ、さん……ッ！
千景,ええ……！
夏凜,……何で抱き合ったのよ、この二人
美森,按摩を通して友情が再び芽生えたに違いないわ。ああ、素晴らしき按摩交流
風,……うどんの件は樹と後でよーく話し合うことにして、その……ありがとうね、友奈。正直さっきは痛くて幽体離脱さえする勢いで、こっそり友奈に恨まれているかとすら思っていたけど、この身体の軽さには代えがたいわ。今なら百メートルを三秒で走れる気がするもの！
夏凜,世界記録もビックリじゃない！？
友奈,えへへ、お父さんとお母さんにも友奈は上手だなって良く褒められるんだー
千景,……
風,……冷静に考えるとさっきのアタシたちってババ臭かったわよねぇ？
夏凜,冷静に考えなくても、マッサージコーナーで数時間つぶす中学生って何よ？
銀,アタシ、マサオさんを全巻読破しました！
千景,……何故、この時代にまでぬ～ぼ～の漫画が現存していたのかしら？思わず読んでしまっていたわ
友奈,ぬ～ぼ～も私の部屋に全巻あるよ
千景,……今度、結城さんの家に続きを読みに行っても良いかしら？
友奈,うん、良いよ！
千景,ふふっ……都合よく結城さんの家へ遊びに行く口実を作ることが出来たわ！
美森,はっ！？千景ちゃんから不穏なオーラを感じる
千景,あなたはニュータイプか何かなの！？……偏執的な人って本当に怖いわ
風,にしても、すっごい御馳走ね……。やっぱり部屋間違っているんじゃない？
千景,……この旅行の前にも言っていたとは思うけれど、世界を守るために命懸けで戦っていたあなたたちなのよ？これくらいはあってしかるべきよ。むしろ危険手当と考えても全然足りないとまで言えるわ
夏凜,あんたの考え方って何て言うの？ビジネスライク？やたらそんな感じよね
銀,あれ？でも、夏凜さんて大赦から派遣された勇者なんですから、ビジネス的なものですよね？
夏凜,私の勇者は名誉職よ！ビジネスと一緒にされたくないわね
美森,そうよ、銀。神聖なお役目を一般的な職業に当てはめようとすること自体が神樹様への冒涜よ
銀,うっ、確かに……
千景,……なるほど。神世紀の人たちというのは"そういう風"に教育を施されてきたと言うわけか。西暦でも当たり前のように行われていることではあるけれど、こうして傍から見るとその異質さがよく分かるわ。……もっとも、この件について私がどうこう言ったところで意味なんてないのでしょうが
友奈,皆、折角のごちそうが冷めちゃうよ？先にいただきますしちゃわない？私お腹ペコペコだよー
風,はいはい、皆育ちざかりですもんね。それじゃあ、神樹様の恵みに感謝して──
銀,いやー、ほんと美味しかったッスよね～、今日の夕食
美森,ふふっ、まだ言っているのね、銀
風,うっ、銀が夕飯のことを思い出させるからお腹が……。はい……しゅみましぇん……
千景,客観的に見ても犬吠埼姉は特に太っていないし、体重も中学三年女子としては平均程度、むしろ下回るだろう。そもそもダイエットは計画を立てて継続しないと逆に毒となることが多々あるし、十代の私たちに本来必要なものとも思えない。……まぁ、あえて指摘するようなことはしないけれど
夏凜,なに寝る前にご飯の話なんかしているのよ。ほら、さっさと寝るわよ
風,いやいや、分かってないわね、夏凜。こういう時は寝る前にお決まりのあのお話をするのが常識でしょう？
夏凜,え、そういうものなの？
銀,そういうものッスよ、夏凜さん。寝る前の定番と言ったら！それはもう──怪談でしょう！
美森,ええ！流石は銀、分かっているわ！
風,ちっがーう！！こういう時にするのは恋バナって相場が決まっているでしょうがっ！
美森,風先輩もう一度言ってください
風,こ、こいばな……
千景,ごめんなさい、聞こえなかったわ
風,こ、こい……って何度も言わせないでよ！恥ずかしくなってくるでしょ！？
千景,はっ
風,何で久々に鼻で笑ったの！？あんた！
銀,こ、恋バナ……ッスか……。ええと、皆さんにはそんな体験とか、あるん……ですか？
友奈,私、皆のこと好きだよ？
千景,聞いたかしら、東郷さん。結城さんは私のことが好きらしいわよ？
美森,あら、違うわよ、千景ちゃん。私のことを友奈ちゃんは好きと言ったのよ
千景,ふふっ……
美森,うふふ……
夏凜,怖っ！この二人だけ何で素で怪談やってんのよ！？
風,はいはい、千景も東郷も友奈ことが好きなのねー。皆知ってるから落ち着きなさいって。で、他にある人ー
夏凜,……
友奈,ええと、お父さんとお母さんのことが──
風,いや、それはもう良いって。何、皆ないの？
美森,はい！私が好きな人は──
風,だからそれはもういいって！
夏凜,そういうあんたはどうなのよ？
風,何私の話が聞きたい？……もう、仕方がないわねー。あれはそう──
銀,ま、まさか部長……！？
夏凜,え、マジなの！？……って、何で私と銀以外誰も驚いていないのよ？
千景,……とても、悲しい人ね……
風,ちょっと！本気で可哀相な人を見るような目はやめてよ！……別に良いでしょ……実話には変わんないわけだし……
千景,はいはい、良かったわね
風,対応が雑っ！？
友奈,そう言えば、銀ちゃんがモテモテだって聞いたことあるよ？
美森,ゆ、友奈ちゃん、それはあくまでも同性からの話で、別に銀は──
銀,ちょ、ちょっと樹さん！？
風,ほう
千景,それはそれは
夏凜,……少し興味あるわね
銀,な、何ですか、皆して……あ、アタシを見ても何も面白くないですって！ほ、ほら、怪談やりましょう、怪談！ね、東郷さん
美森,銀、その件、詳しく聞かせなさい
銀,ひぃっ！な、なにも面白い話はないですって！──え、あ、皆さん？あ、アタシを囲んで……いや、やめ……やめてぇーっ！
千景,……その後、樹さんの補足もあり、三ノ輪さんの恋バナは勇者部一同の中でオープンとなった。その際色々とあったのだが、まぁとりあえず、自傷……失礼、自称女子力の塊が地団太を踏んでいたことだけはここに記しておく
風,しくしく、銀に負けた……
銀,泣きたいのはこっちですよっ！
風,いやー、慰安旅行もあっと言う間だったわねー
美森,風先輩。家に帰るまでが旅行です
風,遠足かい！？
千景,送迎の車が来たため、勇者部一同は一日を過ごした綺麗な海辺を最後に眺めていた。……正直、海に遊びに来ることなんてことは縁遠く、増してやそれを楽しめるなんて思ってもいなかった。……それもきっと、このメンバーだからなのでしょうね
夏凜,どうやら千景も楽しめたようね。……実は私もよ
千景,……お互い本来海には縁がなかったのでしょうけれど、不思議なものね
夏凜,？海なら、アタシは毎日素振りをしに行っているわよ？
千景,……やはり三好夏凜は若干世間知らずのようだった。まぁ、それも個性だろうし、素性を考えれば仕方のないことではあるか
友奈,……。私たちはこの綺麗な景色を、守ることができたんだね……
千景,……ええ、そうよ、結城さん。あなたたちが守ったのよ。静かに、感慨深げに呟いた結城さんの言葉に私は同意した
友奈,ぐんちゃんも、だよ
千景,……？
友奈,あなたたちの中に、ぐんちゃんも、ちゃんと入れてあげてね？
千景,……そう、だったわね……。私は結城さんから目をそらし、目の前の海へと視線を逃がしてしまう。……純粋な彼女の言葉は重く、だからこそ、自身の知っている未来があまりにも足枷だった
風,ほらー、あんたたち。さっさと乗りなさい。置いていくわよー？
千景,……去り際、車の中から見た景色も、先ほどと同じく、鮮やかでとても綺麗な色の海だった。こうして、穏やかな一泊二日の勇者部の慰安旅行は幕を閉じ、そして──。延長戦が、始まる
風,──この延長戦で本当に終わり。ゲームセットにしましょう！
夏凜,そうね、絶対逃がさないわ！
風,行くわよっ！
友奈・美森,はい！
樹,……
銀,いやー、いつ見ても皆の変身シーンって圧巻だなぁ。……あれ？千景さんは変身しないんですか？
千景,……普段と変わらない様子の彼女。だからこそ、私は訊ねる。三ノ輪さんは、平気なの？前回の戦いであなたは怪我を負ってしまったのよ？
銀,それを言うなら千景さんもでしょ？第一、皆がついているんです、何一つ心配なんてありませんよ。……あ、ただ、怖いのはいつも通りではあるんですけど、アタシだけが戦えないって言うことだけは、正直文句がありますけどねー
千景,……そう。あなたはやっぱり強いのね
銀,へ……？
千景,来なさい！手甲！
銀,わぁ！？またいきなり飛んできた！
千景,……おそらくは大丈夫なはず。切り札さえ使わなければ、きっと──
友奈,あれ……？それって……？
風,へぇー、千景が持つとそれが大鎌に変わるのねー。何と言うか、神秘だわ
美森,私たちの変身も大概に神秘だとは思いますよ？
樹,……
夏凜,千景らしいと言えばらしいんだろうけど、それって死神とかそういう系統の恰好よね……
千景,……ふぅ。人の変身に関してとやかく言わないでもらえるかしら？。変身は完了。今のところ……異常は無い、ようだった
風,よーし！千景の変身も終わったところで、アレやろうか
美森,了解です
夏凜,ほんと好きねぇ、こういうの
友奈,ほ、ほら！ぐんちゃんも！
千景,結城さん……？
銀,はいはい、千景さんも行った行った
千景,……。三ノ輪さん、あなたも加わりなさい
銀,えぇー！？
風,お、千景も良いこと言うわね。やっぱり勇者部はフルメンバー揃ってなんぼよ
銀,いや、でも……アタシは戦えるわけじゃないですし……
美森,勇者部六箇条。勇者部は一蓮托生よ
風,いつの間に一ヶ条増えていたのよ！？あの、一応アタシ部長なんですけど？……まっ、でも、東郷には一女子力を進呈しましょうか！よく言った！
美森,わぁ。友奈ちゃん、一女子力貰っちゃったわ
友奈,良かったね、東郷さん
千景,……知っての通り、あなたのお仲間はこういう人ばかりよ
銀,……。いやー先輩たちには敵わないな～
樹,……
銀,もちろん、樹さんもですよ。──ふしょう三ノ輪銀、円陣に参加させていただきます！
風,円陣組めたわね？さぁて、敵さんをきっちり"昇天"させてあげましょう
千景,ぷっ……
風,なんで笑った！？なんで笑ったの千景！ここ一応真面目な場面よ？
千景,な、なんでもないわ……。続けてちょうだい。い、言えるわけがない。高嶋さんと"笑点"を見ていた影響で、あのBGMが脳内再生されてしまったなんて！
夏凜,まぁ、土台、風が真面目にやること自体あっていないのよ
風,なにをー！言ったわね！
美森,……でも、おかげで皆の肩の力が抜けました。流石上級生のお二方です
友奈,え？樹ちゃんも夏凜ちゃんの意見に賛成？あはは、それだと風先輩がちょっと可哀相かも……
千景,……東郷さんも気付いていたのね。結城さんの様子がおかしかったことに。……意図は全くしていなかったが、副次効果なのか今はいつもの結城さんに見えていた
風,ま、まぁね！アタシってほら？部長だし？
千景,はぁ……部長、さっさと締めてくれないかしら？バーテックスがいい加減近づいて来ているわ
風,元はと言えばあんたのせいでしょー！……まぁ、良いわ。時間がないのは本当だし良いことにしておいてあげる！それじゃあ──。勇者部、ファイトー！
千景,アニメ通りであれば、ここで一旦、三好夏凜以外は躊躇する場面であるが──
友奈,結城友奈！先陣を切ります！
夏凜,いえ！先陣はこの私よ！
風,まったく二人とも……少しアレコレ考えてしまったアタシが恥ずかしくなってくるじゃない。こらー、待ちなさい！
樹,……
美森,凄いわね、千景ちゃん。ここまで計算していたの？
千景,……どう答えて欲しいのよ、あなたは？
美森,そう……。やっぱり千景ちゃんもその可能性に至っていたわけね
千景,否定も肯定もしないわ
銀,あのー……何だかお二人さんの会話が頭のいい人のそれと言うか……何言っているのかついていけないッス！
美森,良いのよ、銀はそのままで
千景,ええ、それについては同意するわ
銀,……わーい、先輩たちが何故だかアタシにやさしいやー
美森,──速いわね、あのバーテックス
千景,樹さんが以前倒したバーテックスと同様速度偏重型ね。星座モチーフであるとしたら二体目故にふたご座と言ったところかしら？。前衛タイプは私を除き全員前線に出てしまったので、残されたのは三ノ輪さん、東郷さん、私の三人のみとなる。後衛として戦場の様子を観察し、状況によってはすぐさまの移動が伴うため、今は臨戦態勢であった
美森,……くっ。私の射撃では目標を捉えることが出来ない
千景,相性の良さで考えるのであれば、攻撃速度に優れた樹さんか三好夏凜が適当でしょうね。でも──
美森,友奈ちゃんと夏凜ちゃんが突撃を仕掛けたわ。……流石ね
千景,前線での光景は史実……アニメに対してその言葉を使うのは抵抗があるが、私の知る史実通りと言ってしまっても差し支えなかった
美森,敵は伏したわ。私たちも行きましょう
千景,ええ。ほら、行くわよ、三ノ輪さん。生身の三ノ輪さんが居る以上、本当ならここで待機することも最良の一つだろう。しかし、事前に出した勇者部の結論としてはなるべくまとまっておくことが適当だと答えは出ていた。……先日の決戦から生じた教訓みたいなものね。所詮、戦いにおいては素人の集団、それ故に守り手が多くなるこの結論に私自身異存はなかった
銀,……はーい。ちょっとだけ蚊帳の外な銀さんなのでした
千景,？何故三ノ輪さんは少しだけ拗ねた顔をしているのかしら？
美森,銀！その顔も可愛いわ！
銀,えぇー！？
千景,……いえ、やっぱりいつも通りね
美森,友奈ちゃん！
友奈,あ、東郷さんたちだ。夏凜ちゃんと私でバーテックスは倒したよ。あとは──
風,封印開始！
夏凜,なにこれ！？御霊が大量にあふれてくる！？
風,アタシがやるわ！
千景,……決意がにじんでいるわね。後遺症の危険性を踏まえた上での風先輩の台詞だろう。元々責任感の強い人だから、一時的に場の空気が和んだとしてもその危機意識を消せるはずはないし、彼女は決して愚か者というわけでもない。そこから考えれば当然の情況ね。けれど、史実通りなら三好夏凜もまた──
夏凜,トドメは私に任せてもらうわよ！
風,夏凜！やめなさい！部長命令よ！
夏凜,ふっふーん、私は助っ人で来ているのよ。好きにやらせてもらうわ！
千景,互いに一歩も譲らない。……その間にも
友奈,はぁーっ！勇者、キーック！！
千景,……やはりあなたが行くのね、結城さん。炎を纏わせた蹴り技が御霊を貫く。そして、舞い上がる業火。これが結城さんの新しい精霊、火車の力……
友奈,ふぅ……何事もなかった。成せば何とかなるね！
夏凜,友奈、あんた何で勝手に……あ
風,……っ……
樹,……
美森,……っ……
千景,……彼女の右手には満開ゲージが三つも溜まっていた。この場で、自身らに訪れた後遺症を連想しない者はいないだろう
友奈,ご、ごめんねー。新たな精霊の力を使いたくてつい先走っちゃいました
美森,友奈ちゃん……身体は平気？
千景,東郷さんが結城さんの左手を握りしめる。……頃合いだろう
友奈,うん、元気そのものだよ……って、あれ？ぐんちゃん？
美森,……あの、千景ちゃん？
千景,結城さんと東郷さんの間に無理やり割り込み、私は片方の人の手を握っていた。別に……単なる嫉妬よ
銀,遂に言っちゃったよ！？この人！
友奈,あはは、二人とも仲良しさんだね
千景,……見た目上は、結城さんの代わりに私と東郷さんが手を握り合っている形になる。しかし、東郷さんであれば私が二人の仲を邪魔したのだと邪推してくれるだろう。したがって、今後の流れに不自然は生じないはずだった。……世界は花と共に散り、樹海化が解かれていく
友奈,皆に怪我なく終わって良かったよ
美森,友奈ちゃん……
千景,そして、樹海はその役目を終え……。……さて、ここからが私の本番だ。気を引き締めていこう
美森,戻った、けれど……
銀,ここって……屋上、じゃないですよね？
千景,東郷さんに触れていた私がここに居るのは必然として、まさか三ノ輪さんまで一緒とはね……。やはり彼女は──
美森,大橋……！
銀,わっ、ほんとだ！ってことは結構離れた場所に居るんですね、アタシたち
千景,どうやら携帯の電波も掴めないようね。スマホを適当に取り出し、本来なら結城さんの告げた台詞を言っておく。なるべく私の知る歴史に近いほうが再現性が上がるに違いない、その程度の理由である
美森,……本当だわ。私の改造版でも駄目なようね
銀,今さり気なく、改造版とか言いませんでした？
千景,……。さて、お出ましのようね
声,ずっと呼んでいたよ～。わっしー、ミノさん
千景,……ええ、こちらこそ待ちかねていたわ。──乃木園子
銀,声？──東郷さん、千景さん
東郷,ええ、行ってみましょう
千景,社の大きな支柱、その向こう側には──ベッドの上で、左目だけをのぞかせた包帯姿の少女。……改めて惨い、わね
乃木園子,会いたかった～。ようやく呼び出しに成功したよ、わっしー、ミノさん
銀,み、ミノさん……？ってアタシのことだよ、な？え、ええと、じゃあ、わっしーって言うのは……？いやいや！その前にどうしてこんなところにベッドがドーンって置かれて！？
千景,乃木園子は東郷さんに視線を向けた
園子,……あなたが戦っているのを感じてずっと呼んでいたんだよ
銀,戦っていて、って……もしかして！東郷さんの知り合いなんですか？
美森,……。いいえ、初対面だわ
園子,……っ……。あー、はははっ
千景,……知らないことはこんなにも残酷なのね
園子,わっしー、て言うのは私の大切なお友達。いつもその子たちのことを考えてて、つい口に出ちゃうんだよ
銀,……あ。す、すいません！と言うことはアタシの知り合いってことですよね？三ノ輪でミノさんだとは思うんですけど……その……実はアタシ、過去の記憶が全部なくなってしまっていて……本当に、ごめんなさい……思い出せなくて
園子,……。ううん、良いんだよ。ミノさんがこうして元気でいてくれるだけで、私はとっても嬉しいんだー
千景,……三ノ輪さんに関しては最早確定ね
美森,……あの、私たちを呼んだのですか？けれど、どうやって？
園子,そこにある祠、"バーテックス"との戦いが終わった後だったら、その祠を使って呼べると思ってね
銀,ば、バーテックスをご存知なんですか？
園子,一応、ミノさんたちと同じお役目を担っている立場ってことになるのかな？私、乃木園子って言うんだよ
千景,……アニメと違い先輩と自称をしなかったわね。つまり、三ノ輪さんも東郷さんも勇者としては彼女の後輩に当たらないと言うこと
銀,さ、讃州中学一年、三ノ輪銀です
美森,東郷、美森です
園子,ミノさんに……美森、ちゃん、か……
千景,乃木園子の今の一言にどれだけの感情が込められているのか……。重苦しく湿った空気が漂ったのを感じる。けれど、場違いであっても、私だけ名乗らないわけにもいかない流れだろう。……郡千景よ
園子,そっか、あなたが千景ちゃん……。ミノさんを助けてくれてありがとうね
千景,……助けられたのは私のほうよ。それに私は一応、あなたにもお礼を言う立場なのでしょう？
園子,……気付いていたんだ？
千景,今、肯定を得たわ
園子,ふふっ、怖い人だね
千景,それはお互い様でしょう？
園子,うーん、どうなのかな？
千景,まったく、左目だけしか見えないのにこんなにも見透かすような瞳をして……。けれど、これで、乃木園子が私に便宜を図っていたことを自白したに等しい。前提はここにおいてようやく整い、私は乃木園子へと続けて話しかける。これが本題だ。……あなたにも本題があるでしょうから、私からは一つだけ投げかけさせてもらうわ
園子,心遣いありがとうね。どんな内容かな？
千景,あなたには聞きたいことがそれこそ山ほどある。だから、後日……いえ、出来る限り近いうちに、時間をいただけるかしら？
園子,なーんだそんなこと。もちろん、良いよー
千景,……随分とあっさり了承するわね。こちらとしては好都合だから助かるのは事実だけれど。これでもそれなりに緊張はしていたのだ、酷く拍子抜けしてしまっても仕方がない。一方で、確約は得た以上、この場で彼女と会話を続ける必然性はなくなった。……それじゃあ、後はあなたの本題を進めてちょうだい
園子,やっぱり千景ちゃんは"そう言うこと"なんだね。ありがたく私の話に戻らせてもらうよ
千景,全てに理解が届いたような表情を、乃木園子は、確かにした。……得体がしれないとはこう言う人物を指すのでしょうね……
銀,……実は千景さんとも、その……乃木さんはお知り合いだった、とか……？
園子,ミノさん。私のことは園子でお願い。乃木さんだと流石に私もやりきれなくなっちゃうから
銀,あ、すみません！そ、園子、さん……？
園子,園子
銀,そ、そのこ……
園子,……ふふっ、なーに？ミノさん？
銀,え、ええと、……そ、園子は千景さんとお知り合いですか？
