※ぐだ子の名前表記を,立香
酒呑童子,……あんたみたいな年増とポッキーゲームしとったら、口腐ってまう所やったのに、頭まで落とされたら敵わんなぁ
頼光,ええ、全く残念です。しかし、こうなってくると今度は鈴鹿御前様にご迷惑が……
鈴鹿御前,へ、なんで？
頼光,私のような者と、その、かなりふしだらな遊びをしてしまうのはご迷惑なのでは……？
鈴鹿御前,いやいやいや！難しく考えすぎっしょ！？いいのいいの、軽い息抜きと思えば！
頼光,ですが……
鈴鹿御前,別にこれ以上は無理！ってなったら先にポッキーから口を離せばいいだけだし？問題ないって
酒呑童子,ま、旦那はん達にさせれんかった時点でどうでもええわ。ほら、茨木からもろたポッキーつこてさっさとやり
鈴鹿御前,その切替っぷりは流石って感じ。じゃ、頼光ちゃん、さっさとすませるとするし！
頼光,は、はいわかりま……！
鈴鹿御前,ふぉひはの？ふぉら、はやくふやえて咥えて！
頼光,あ、え、あの、その、思っていた以上にこれは恥ずかしいといいますか。同性同士であってもためらうべきのような……
酒呑童子,ふぅん？逃げるん？
メイヴ,うわ煽るわねー
スカサハ,お主が言うな
頼光,な、に、逃げるわけないでしょう！？分かりました！このような遊び、すぐに終わらせてみせます！
鈴鹿御前,ふぉの意気その意気！そんじゃ、始めっと！
マシュ,鈴鹿御前さん、食べるのが早いです！？
ダ・ヴィンチ,なかなか攻めるねぇ。対して頼光はどう出るか……
頼光,……？！……！
ダ・ヴィンチ,あっ
マシュ,え？
立香,……もう折ったの？
鈴鹿御前,……え、マジで？終わり？ガチで？
頼光,す、すぐに終わらせると申しましたから！これくらいで遊びなど丁度よいのです、ええ！
酒呑童子,……はぁ～……ほんま牛乳女の考えはつまらんなぁ
頼光,蟲は黙りなさい！
酒呑童子,おおこわ……けどこの年増にしてはポッキーゲーム頑張ったほうやし、良しとしときまひょ。さ、次や次
ダ・ヴィンチ,おっとそうだった。忘れるところだったが、これは部屋から出るためにしていることでもあったんだっけ
マシュ,忘れそうにならないで下さい！？
スカサハ,……そういえば、部屋から出るためだけなら、最初に王になったメイヴを全員で奉仕するのが一番早かったのではないか？
頼光,……は？
メイヴ,あなたどうしても私を殺したいみたいね……？
スカサハ,冗談だ。私もマスターがお主に傅く姿を見るのはあまり好きではないからな
鈴鹿御前,ま、どうあれこれで王様ゲームでなにもしてない残りの人は、マスターにマシュ、それに
ダ・ヴィンチ,私だね！うんうん、とてもいい残り方をしたものだ。これは少々王様になりたい気持ちが出てきたよ
メイヴ,王様になったらどうするつもり？
ダ・ヴィンチ,それはもちろん立香ちゃんとマシュに――
頼光,良からぬことを考えているのでしたら、斬りますよ？
ダ・ヴィンチ,か、考えてないから安心したまえ！
頼光,……信用はしたいのですが……
ダ・ヴィンチ,どうして私はこうも疑われることが多いのだろうね立香ちゃん……
立香,普段の行いがフリーダム過ぎるからじゃないですか？
ダ・ヴィンチ,……くすん
マシュ,え、ええと！ダ・ヴィンチちゃんも悪気があるわけじゃないんです！きっと！恐らく……多分……ちょっとは……？
ダ・ヴィンチ,ありがとうマシュ。だんだん自信をなくしながらも慰めてくれただけ嬉しいよ。さぁ、とにかくくじを引こうか！。全員引いたね？そろそろこの部屋から出られるように、いい結果を目指そう！では
全員,王様だ～れだ？
マシュ,……え、ええと……わたし、です！
ダ・ヴィンチ,なんと、マシュが王様か！ふふ、これは面白い
頼光,これは……なるほど、マシュ、でしたら私の数は
鈴鹿御前,ちょ、ちょっと待つし！こういうの、番号持ってる側から王様に教えたらダメなんだってば！
頼光,そ、そんな……！？それでは
鈴鹿御前,そう、マシュは自分の力でマスターとダ・ヴィンチちゃんの番号を当てる必要があるってこと
頼光,それは難しいのではありませんか……？
酒呑童子,あんたはん、小僧と意思疎通する時、毎回言葉が必要なん？
頼光,そんなことはありません。金時とでしたら、言葉をかわさずとも息を合わすことが出来ます！
酒呑童子,やったらあの三人もそれが出来ると思うとかな。うちらのマスターの一番の組み合わせやで？
マシュ,その通りです！頼光さん、わたしなら、きっと先輩とダ・ヴィンチちゃんの番号を当てられます！
頼光,……そうでしたね。これは私が失礼なことをしました。どうぞマシュ、あなたの望むように
マシュ,はい！それでは…………1番と4番の人は、王様の命令を聞いて下さい！
メイヴ,さぁその番号は誰！私は違うわよ！
スカサハ,黙って見ていろメイヴ。大事な瞬間なのだぞ
メイヴ,いだだっ！ちょ、女王の頬を気安く……いたーい！
ダ・ヴィンチ,まったく賑やかなことだね。そしてマシュ、流石だよ。4番は私だ！
マシュ,や、やった！では1番は……！
立香,当然私！
マシュ,……っ！！や、やりました！マシュ・キリエライト、ちゃんと先輩とダ・ヴィンチちゃんの番号を当てられました！
鈴鹿御前,いよっ、おめでとう！
頼光,お見事ですマシュ！
マシュ,あ、ありがとうございます、皆さん！
メイヴ,うーん。合コンで男を教えるつもりが、結局こうなる辺りなんというか
スカサハ,いいではないか。それだけ強い運命なのだろう、あの三人は
ダ・ヴィンチ,それで、マシュは私達になにを命令するんだい？
立香,なんでも聞くよ
マシュ,えっ！？あ、そ、そうでした、王様ゲームですからね……何か、命令、ええと……
鈴鹿御前,好きなように甘えちゃえばいいじゃんマシュ！悩まない悩まない！
マシュ,甘える……そんな、これまでも十分先輩とダ・ヴィンチちゃんには甘えて来ましたから、これ以上は……
ダ・ヴィンチ,いやいや、足りないくらいさ！ねぇ立香ちゃん！
立香,マシュにはもっとワガママになってほしい
マシュ,そ、そうは言われましても……ええと、うぅ……そ、そうだ……ダ・ヴィンチちゃん！
ダ・ヴィンチ,はーい！
マシュ,ダ・ヴィンチちゃんとは、今年でお別れ……なんですよね
ダ・ヴィンチ,……そうだね、年末にはもう今のカルデアではなくなってしまう。そうなれば、私もここから退去するよ
マシュ,でしたらダ・ヴィンチちゃんは最後までわたしと楽しい思い出を作ってくれる……は、ダメ、です、か……？
ダ・ヴィンチ,…………
マシュ,あ、あの、ダ・ヴィンチちゃん……なにか言って下さい……///
ダ・ヴィンチ,……マシュは可愛いなぁ
マシュ,へ！？あ、あの
ダ・ヴィンチ,もちろんいいとも！およそ私は万能だからね！楽しい思い出をたくさんマシュに贈ると約束しよう！。そしていつかアイツに言ってやるのさ。どうだ！ロマンある生き方をマシュにさせてやったぞ！ってね
マシュ,……はい！
立香,あの、マシュ、私には……？
マシュ,え！？あ、その、先輩に命令なんてとても出来ません！はい、ゲームであっても！
立香,ええー……
マシュ,だから、命令ではなくて、お願いになるんですが……その
立香,……？
マシュ,これからも……ずっと側にいて、いいですか……？
立香,……当然だよ！これからもよろしくね、マシュ！
マシュ,……っ！はい……！よろしくお願いします、先輩♪
スカサハ,ふむ、扉が開いたようだな。よしメイヴ、早く出ろ。この幸せ空間の側でお主を殺すのだけは――いないだと！？
鈴鹿御前,メイヴなら扉が開いた瞬間笑顔で出ていったし？
スカサハ,くっ……幸運EXめ！だが逃さん、必ず仕留める！
頼光,……では私も、眼の前にいる蟲を改めて排除するとしましょう！
酒呑童子,ほんま風情っちゅうもんがあらへんなぁ。ま、ええよ。今は気分がええさかい、年増に付きおうてあげるわ♪
マシュ,……あ、あの、冷静に考えたら私とんでもないことを言った気がするのですが……///
立香,冷静に考えなくてもとんでもないことに返事した気がする///
鈴鹿御前,いやほんと、こりゃ合コン云々は初めからお節介すぎたみたいだし。うんうん、こりゃマスターもマシュも心配ないっしょ
ダ・ヴィンチ,ああ。本当にね……さて、では外に出られるようになったし、またいつものの生活に戻るとしようか
マシュ,はい！先輩も早く行きましょう！皆さん待ってますよ！
立香,そうだね。行こう！
ゴルドルフ・ムジーク,お、おいまた揺れているぞこの車！ほ、本当に大丈夫なのか！？突然消失したりしないだろうな！
立香,……んぅ
シャーロック・ホームズ,お目覚めかねミス立香。マシュはまだ眠っているが、キミはよく眠れたようだね
立香,はい
ゴルドルフ,ぬ！？起きたのか貴様。この状況で眠れるなど一体どういう神経をしとるんだ……？
立香,慣れてますから
ゴルドルフ,こんな事態に慣れるなど、どんな生活をしていればそうなる……
立香,それより、状況は
ホームズ,シャドウ・ボーダーの虚数潜航がもうすぐ終わり、我々は新たな場所に出る……予定だ
ゴルドルフ,予定だと！？そんな曖昧な話があるか！？
ホームズ,仕方ないだろう。なにもかもが初めてかつ情報不足な状況で、物事を断言することは難しいよ
ゴルドルフ,ぬぅぅ……世界で最も有名な探偵の名を持っているのならば、もう少し希望のあることを言ってみせんか！
ホームズ,現時点で希望のあることと言えば……やはりミス立香の目が死んでいないということくらいだろうか
ゴルドルフ,こやつの目が死んでいないからどうというのだ！それでなんとかなるとでもいうのか？
立香,無責任なことは言えません。でも――。―――待て、しかして希望せよ、って、こういう時は言うんです！
