ジャ,ふぁ～あ。もう店番飽きたぜ。俺は母ちゃんの奴隷じゃないっつーの。ふぁ～。退屈だ
ジャイアン,おいらのォ～胸の心のせつなさよ～雨がふれば～、胸の心の頭も濡れるよ～♪
デカ犬,おぅふ…さすがに…これは…キビシイ…ダメだ、気を失いそうだ…！！
マルフォイ,胸の心の頭？。…このままでは…死ぬ！
デカ犬,
ジャイアン,おお！！聞き惚れて失神か！！この犬は芸術がわかる！！
※ジャイアンの歌声はただの音痴じゃありません。セイレーンを倒したこともあります,ドラえもん・のび太の魔界大冒険参照
ハリー,おいついた！フラッフィーは！？
ジャイアン,お、ハリー。おそかったな！この犬なら俺の歌声を聞いて感動して失神したぞ！
ハリー,…歌…声…？
ロン,クルーシオかと思ったよ！
ハーマイオニー,まぁ！ステキだわ！
ロン,…いや、その…
ジャイアン,席は、松は１００クヌート、竹は５０クヌート、梅は１０クヌートでいいぞ！チャリティだからな！
ロン,チャリティ…？いったいどこに寄付するというんだろう
ハリー,いや、ほら、ジャイアン。もう夏休みだし、無理しないでいいよ？
ロン,そ、そうだよ。僕らだけいい思いしちゃグリフィンドールのみんなに悪いよ
ジャイアン,遠慮するな！そうだ！今から一曲歌ってやるぞ！乙女の愛の夢！
ロン,乙女の愛の夢？
マルフォイ,ささささ先に進むぞ。時間がない
ハリー,マルフォイの言うとおりだ！歌は楽しみにとっておこう！
マルフォイイ,そうだなポッター！ざざ残念だけど、いくぞいくぞ
ハリー,さあ行こうすぐ行こうマルフォイ！
マルフォイ,…
ハリー,…
ハーマイオニー,きゃぁ！！
ロン,うひゃー！！
ハリー,うわ
ジャイアン,コンニャロー！！。なんとかしろマルフォイ！！
マルフォイ,この程度の罠が回避できないとは驚いたなぁ。それでも魔法族なのかい？君たちは
ジャイアン,母ちゃ～ん！！
ハーマイオニー,わかったわ！火よ！この罠は火に弱いのよ！
ロン,じゃあさっさと燃やしてくれよ！
ハーマイオニー,でも薪がないわ！
ロン,君はそれでも魔女か！？
ハーマイオニー,あ、そ、そうだわ。私ったら…火の呪文ね！え～っと…
マルフォイ,セクタムセンプラ
ハリー,マルフォイ、今の魔法は？
マルフォイ,これくらい出来て当たり前だろう？ポッター。それにしても剛田、お前の叫び声ときたら
ジャイアン,おお～心の友よ～！！ｳﾃﾞｦﾆｷﾞ-ﾙ！！
マルフォイ,や、おい剛田。やめろ気持ち悪い
ハーマイオニー,みて！次の扉があるわ！。きっとあの鍵のなかのどれかが、奥の扉の鍵なのよ！
ロン,でもあんなたにたくさん飛んでてどれが本物かわからないよ！それに結構早いよ
ハリー,僕に任せて。これでもグリフィンドールのシーカーだからね
ジャイアン,やいマルフォイ！お前もシーカーだろ！ハリーと一緒に飛べよ！
マルフォイ,…
ハリー,いいよ。僕一人で十分さフワッ
マルフォイ,…
ジャイアン,つべこべ言わずに飛べっつーの！
マルフォイ,
ジャイアン,俺の言うことがきけねぇのか！！！ぶん殴るぞ！
ロン,僕の認識がたしかなら、宣言の前に殴るという行為が完結しているように見えるけどなぁ
空中にいるハリー,つっこんじゃダメだよ。ロン
マルフォイ,や、だから
ジャイアン,いい度胸だなぁ…俺に逆らうのか。
マルフォイ,むくっ。わかったよ！飛べばいいんだろう飛べば！！。みていろ。下層階級の家のやつらめ！これがマルフォイの飛行術だ。くそ。なんて無様な姿を…
ジャイアン,頑張れマルフォイ！！ハリー！！俺がついてるぞ！！
ロン,ついてる、って…なにかしてるのかな？
ハーマイオニー,右のほうから攻撃がくるわよ！
マルフォイ,……。……ふん。…早くしろ、ポッター…
ハリー,…マルフォイ…？アイツ…
ハーマイオニー,ハリー！攻撃に加わっていない鍵がきっとホンモノよ！
ハリー,そうか！。取った！。ふー。危なかったー！
ロン,きみたちって凄いよ！
マルフォイ,…
ジャイアン,マルフォイ！！おまえ！！
マルフォイ,なんだ…？ﾋﾞｸﾋﾞｸ
ジャイアン,根性あるなぁ…。見直したぜ！！
マルフォイ,…！
ハリー,…最高の気分だよ。まるたで、クィディッチで最高のチームメイトにアシストされて勝ったときみたいな、ね
マルフォイ,…ふん
等身大サイズの石像,チェスの駒
ロン,そうか！僕たちが駒に加わってチェスで勝てば先に進めるんだ！。ねぇ！みんな！これってさ！
ハリー,ジャイアン。それってクィディッチで使うやつ？
ジャイアン,そうだぞ！ブラッジャーももってきてるぞ
ハーマイオニー,ジャイアン…わかったわ！それを使うのね！ｷﾗｷﾗ
ジャイアン,よーし、いくぞ！。マルフォイ！
マルフォイ,…アクシオ、ブラッジャー呼び寄せ呪文
ジャイアン,あらよ！！。マルフォイ！
マルフォイ,アクシオ、ブラッジャー
ジャイアン,どんなもんだい！
ハーマイオニー,ジャイアン！あなたってすごいわ！ﾋﾟｮﾝﾋﾟｮﾝ！
ジャイアン,いやぁ…デレデレ
ロン,
ハリー,これは…みぞの鏡…。！？
ロン,ハリー、それって！
ハーマイオニー,賢者の石だわ！やったわ！
マルフォイ,…誰かくるぞ
クィレル,まさか、私よりさきにたどり着くとは、まぁいい。それを渡せ、我が主人のために
マルフォイ,やっぱりそうか。スネイプ先生がそんなことをするわけがないと思っていた
ジャイアン,よかったぜ！スネイプ先生がワルモンだったらいやだもんな！
クィレル,ヴォルデモート
ロン,ど、どうしよう…？ガタガタ
ハリー,いやだ！母さんと父さんを殺したヤツなんかにわたしてたまるか！！
さらに…！シレンシオ,沈黙呪文
ハーマイオニー,！…んーっ！んーっ！声が…出ない！
ジャイアン,もがもが…！！俺様の美声が…！
ヴォルデモート,ふはは！これで呪文も唱えられはせん！！お前らは一人残らず殺してやる！！
ハリー,…やられる…！？
ロン,…ひ、ひぃ…！殺される…！
ヴォルデモート,フハハ！！…？ほう。お前は、ルシウス・マルフォイの息子だな？
マルフォイ,…
ハリー,！
ヴォルデモート,どういういきさつでポッターと一緒にいるのかは知らないが、お前だけは助けてやってもいいぞ？
マルフォイ,！？
ヴォルデモート,助けてほしいか？
マルフォイ,ｺｸｺｸ。ｺｸｺｸ！。ﾍﾟｺﾘ
ハリー,…
ロン,…
ハーンマイオニー,…
ジャイアン,…マルフォイ…！
ヴォルデモート,ではお前だけはたすけてやろう、我が下僕となるがいい。ドラコ・マルフォ…
ジャイアン,おお！？
ハリー,ヴォルデモートの術が解けた！声が出せるぞ！
ハーマイオニー,杖を失ったせいよ！
ヴォルデモート,！？なんだと！！沈黙呪文はかけておいた！何故魔法が使える！！
マルフォイ,無言呪文くらい、使えて当然だろう？僕を誰だと思っているんだ？
使える呪文は得意とするエクスペリアームズ,武装解除
マルフォイ,杖を失うと何もできないのか？
ヴォルデモート,何故だ！？何故なのだ！？
マルフォイ,嫌になるな。この僕がマグルに影響されて、変わるとは。…ｽｯ。いくぞ。闇の帝王。いやヴォルデモート
ヴォルデモート,そんな馬鹿な。ありえん！！
マルフォイ,セクタム…センプラ！！！！
ヴォルデモート,！？…ぐはっ！！
マルフォイ,やれ！！……ジャイアン！！！
ジャイアン,お前…！！
マルフォイ,なんだ！？お前はジャイアンなんじゃないのか！？さっさと行け！！！
ジャイアン,…！任せとけ！！俺はジャイアン！！ガキ大将！！天下無敵の男だぜ！
ヴォルデモート,今のは油断しただけだ。俺様の魔法防御を突破する魔法なぞ…きさまごと
ジャイアン,コンニャロー！！
ヴォルデモート,
倒れふしたヴォルデモート,…何故だ。ルシウス・マルフォイの息子、お前は…
マルフォイ,……知るものか
ヴォルデモート,…ドラコ・マルフォイ、ジャイ・アン！…完全に復活した時には…貴様も殺してやる…！地べたに這いつくばらせてやる…！！！
マルフォイ,やられるものか。狡猾残忍にして気高いい…。それが！僕らの誇るスリザリン魂だ
ジャイアン,おう！！なんだかわからないがマルフォイの言うとおりだ！負けやしないぜ！！！
ヴォルデモート,…ﾊﾟﾀｯ
ダンブルドア,まずレイブンクローは…略
ハーマイオニー,やったぁ！…うれしいわ！
ダンブルドア,グリフィンドールは以上じゃ！続いてスリザリン！
ロン,えっ
ダンブルドア,弛まぬ努力で、かずかずの魔法を身につけ、勇気をしめしたことで、ドラコ・マルフォイに５０点！
マルフォイ,僕が…50点…！
ジャイアン,やったな！マルフォイ！
マルフォイ,あ、ああ
ジャイアン,…！
マルフォイ,どうした剛田？
ジャイアン,俺…テストで50点もとるのなんて…始めてだ！！
マルフォイ,そ、そうか
ダンブルドア,以上で、駆け込みの加点は終わりじゃ！。続いて、減点じゃ！ドラコ・マルフォイ！音楽室の竪琴を勝手に持ち出したことで、5点減点！。5点差で、優勝はグリフィンドール！！
グリフィンドール生,いやっほーー！！！！
マルフォイ,
ジャイアン,
ハリー,この一年、すごく楽しかったよ！来年が楽しみだよ
ロン,夏休みの間、手紙書くよ！よかったらみんなあそびにきてよ！
ハーマイオニー,ホグワーツってホントにステキなところね！
ジャイアン,さびしくなるなぁ…。ハ、ハーミーちゃん！
ハーマイオニー,また来年会いましょうね！
ジャイアン,うん
ハーマイオニー,ふふ。わたし勘違いしてたわ。スリザリンにもすばらしい魔法使いはいるのね♪
ロン,
ジャイアン,みんな元気でな！！
マルフォイ,早く帰ればいいだろう。いつまでウロウロしてるんだ
ジャイアン,よし、じゃあ俺もそろそろ帰るか！駅の外で友達が待ってんだよ
マルフォイ,そ、そうか…。あの狸か？
ジャイアン,ドラえもんってんだぞ
マルフォイ,屋敷しもべのことなんて知らなくてもいいさ
ジャイアン,じゃあな！マルフォイ！
マルフォイ,ああ…。お、おい！！剛田！！
ジャイアン,なんだよマルフォイ
マルフォイ,また…な
ジャイアン,おう！またな！お～れはジャイアーン！！ガーキ大将！♪
マルフォイ,迷惑なヤツだ。だが、まぁ、…来年も付き合ってやるか
ジャイアン,ただいま～
ジャイ母,タケシ！学校はどうだったかい！？
ジャイ子,お兄ちゃん！ワタシにもホグワーツから手紙がきたわ！。来年からは魔法学校にいくわよ
ジャイアン,そうか！妹よ～！！そうだ！向こうの学校の友達の写真、みるか？
ジャイ子,みるみる！
ジャイアン,コイツがハリーで、この子がハーミーちゃんで
ジャイ子,お兄ちゃん、この、背の高い赤毛の人は？
ジャイアン,ん？ああコイツはロンだな
ジャイ子,素敵な人ね
ジャイアン,おぁ！そうか！！よし兄ちゃんに任せとけ！来年入学したら！仲良くさせるからよ！！
ジャイ子,恥かしいわ～！
ジャイアン,コイツなら俺の弟にしてもいいな！ジャイ子に愛されるなんて幸せもんだ！まさか嫌とは言わないだろう！
ジャイ子,気が早いよ～お兄ちゃん！
ロン,ヘックション！…ブルブル…
アーサー・ロンの父親,どうしたロン？風邪かい？
ロン,いや、なんか…寒気が…。まるで、将来の結婚相手が誰かのせいで別の人になってしまったような、変な感じが
アーサー,ははは、何言ってるんだ。予言の授業はまだ受けてないだろう？
