湊友希那,初秋の風が撫ぜる歩道橋
燐子,また……友希那さんと今井さんが……イチャイチャしてる……。どうしよう……あの空気に割って入る勇気が……
氷川紗夜,……あら？扉の前でどうしたの、白金さん
燐子,あ……氷川さん……こんにちは
紗夜,ええ、こんにちは。スタジオ、入らないんですか？
燐子,……取り込み中みたいで……
紗夜,取り込み中……ああ、またあの２人が……
燐子,はい……
紗夜,はぁ……困ったものね
燐子,本当に……
宇田川あこ,あ、りんりんに紗夜さん！
燐子,あ、あこちゃん……
紗夜,こんにちは、宇田川さん
あこ,はい！こんにちは！
紗夜,……宇田川さんにあの惨状を見せるわけにはいかないわね
燐子,ですね……外に行きましょう……
あこ,どうしたんですか、２人してスタジオの扉の前で固まって？
紗夜,いえ、まだ練習まで時間があるから、たまにはカフェテリアでお茶でもしようかと話していたのよ
燐子,まだ……頼んでないハロウィン限定メニューもあるし……せっかくだから、ってね……
あこ,そうだったんだ！
紗夜,宇田川さんも一緒にどうかしら？
あこ,はい、そういうことならあこもお供します！あ、でもでも、友希那さんとリサ姉はどうしたんですか？
燐子,あの２人は……２人の世界で幸せそうだから……
あこ,２人の世界？
紗夜,宇田川さんは気にしなくていい世界の話よ。さぁ、一刻も早くここを離れましょう
あこ,よく分からないけど分かりました！あ、ねぇねぇりんりん、ＮＦＯの限定イベントなんだけど……
燐子,うん……それもカフェでお話ししようね……
あこ,うん！
紗夜,はぁ……仲がいいのは良いことだけど……湊さんと今井さんはもう少し場所を選んでくれないかしらね……
燐子,はい、本当に……このままだとあこちゃんに悪い影響が……
紗夜,まったくね。宇田川さんにだけはいつまでも純粋でいてもらいたいわ……
あこ,早く行きましょーよー！
紗夜,ええ。行きましょう、白金さん
燐子,はい……
