・一日一ストーリー,全部で九つ
真姫,あ、きた
海未,すいません、この子をお願いします。では
真姫,ってちょっと！どこいくのよ！なんでまた炎の中にいくのよ！
海未,まだ人がいるんです！！。私で運べるでしょうか……。私は不死身ですけど相手の方は違いますし…。待っててください、今運びますからね
真姫,遅い……。はぁ…なにやってんのよ海未…。！！。爆発…？！海未大丈夫かしら…。……何今の音。ちょ…これまさか…。建物がくずれ。っあ…あ……。海未は…私は……。目の前が真っ黒に……。っおわりか…
ことり,ほらっ！早くいこ！
凛,待って待って！
希,ごーごーや！
花陽,みんな早いよぉ～…
絵里,そんなはしゃぐものじゃないでしょ！
にこ,はいはい、とりあえず早く行くわよ
真姫,ちょ、ちょっと待ちなさいって…まだ後遺症残ってるんだから…
穂乃果,………
ことり,海未ちゃん！新曲できたよ！。これが衣装だよ！。すごく…可愛いと思わない？。海未ちゃんのね…青とか…清楚…とかそういうの…イメージ……したんだ！
絵里,よく…最後までいえたわねことり…！
凛,なんで…なんで死んじゃったの…？！
花陽,これから…だったじゃないですか…！！
にこ,今日で一ヶ月…か
希,不死身…じゃなかったん…？
真姫,……私まだ信じれない
絵里,分かるわよ…海未を殺したくないのは…。ちゃんと海未の死体まであったじゃない！心の中の海未はもうやめて！！
真姫,違うのよ！！がれきの下敷きになって視界が暗んだ時声が聞こえたのよ！。海未の声が！
希,でも現に死んでるやん…
ことり,そういう話はやめてよ…！また希望持ちたくなるでしょ…？！
真姫,っ…！。…なんで！なんで死んじゃったのよ！。言ってたじゃない！不死身の私にしか出来ないことがあるって！。不死身じゃなかったの？！
希,真姫ちゃん！墓を叩くのは罰当たりや！
真姫,っ！！
穂乃果,………
ことり,穂乃果ちゃん…
穂乃果,…私ね、悔しいの
凛,悔しい？
穂乃果,なんで海未ちゃんにあんなこといったんだろうって…ずっと後悔してた。海未ちゃんが死んだって聞いて何かの冗談かと思った。だって海未ちゃんは不死身だったもん、不死身なのにどうやって死ぬんだってずっと思ってた。でもね…。あんな…黒く焼けた海未ちゃんの死体みたら…とても冗談なんていえなくなった…！。海未ちゃんに謝れなかった…！最後の最後まで海未ちゃんにごめんねが言えなかった…。…そんなバカな私が悔しいの！！！
ことり,穂乃果ちゃあん…！
穂乃果,うぅ…うああ…うわああああああああん！！。海未ちゃんごべんなさいいいいいいいいい！！！
凛,やめてよ…そんな泣いたら凛まで…！
花陽,うぅ…うわあああ…！
真姫,ふざけるんじゃないわよ…！
にこ,に…にっこにっこ…にぃ…
希,にこっち無理しないでいいんよ？泣きたい時に泣いてええんよ？
にこ,べ、別に…泣くつもりなんて…ないわよ！
絵里,どうして死んじゃったのよ…！
ことり,穂乃果ちゃん…
穂乃果,お願いだから…また一緒にダンスしようよ…。一緒に笑おうよ…一緒にクレープ食べに行こうよ…。お願いだから…お願いだから……。直接…ごめんねを言わせてよぉ…。？！？！？！
絵里,え…
凛,今の声…
海未,ぷはっ…やっと外に出れました…
ことり,う、う…う…
にこ,海未ぃ？！
海未,言ったじゃないですか、私は不死身だって。話聞いてましたよ、穂乃果
穂乃果,え…
海未,また、一緒にダンスしましょう？笑いましょう？クレープ食べましょう？
穂乃果,！！！！。うん！！！。あ、それと海未ちゃん…
海未,はい、なんでしょう？
穂乃果,ご、ごめんね！気持ち悪いなんていって…
海未,大丈夫ですよ、気にしてません
真姫,な、え…どうして…
希,今までなにしてたん？！
海未,地上に上がろうと頑張ってました、息が出来なくて何百回か死んでたと思います…
真姫,えぇ…それは…
海未,私は思いました
ことり,…？
海未,今までは化け物と差別されていましたがこのチカラを使えばみんなを救うことが出来ます！
希,なるほど、近くの人の死を庇うことができるもんね…
にこ,え…？それ大丈夫なの…？
海未,全然大丈夫です！ちょっと痛いくらいですから！。現に真姫も救ってますし！
真姫,そういえばあの事件、がれきに埋もれた人は結構いたけど死者は０人だったわね…
絵里,なっ…え？！
海未,ですので私がみんなの未来をお守りします！
凛,未来って…そんなことできるの？！
海未,はい！だから安心してください！急に死ぬなんてことはないと思うので！
穂乃果,ぷっ…あははははは！。うん！じゃあ私たちを守って海未ちゃん！
希,うーんとは思ったけどいいんやない？μ’sの守護神海未ちゃんってことで
ことり,守護神かぁ…今度はそういう曲にしてみる？
真姫,協力するわよことり
花陽,い、一時はどうなるかと思いましたけど…
絵里,なんか大丈夫そうね
凛,よーし！練習いっくにゃー！
にこ,泣いて損したわ…
希,めちゃくちゃ泣いてたもんなぁ？
にこ,うるさい！
海未,あぁ…なんで私死のうなんて思ったんでしょう…。普通じゃ助けられない誰かを守ることが出来るなんて…考えれば考えるほど。不死身って素晴らしいですね！！！
理事長,怪物というのは基本的には受け入れられません。気持ち悪い、怖い、危険などから誰も近づこうとはしません。でも怪物だって輝けるのです。嫌われ者にも光があるんです、希望があるんです。しかし…怪物なんて私たちの近くにいませんよね？
ことり,ばぁ！！
理事長,ぴぃ？！ってことりじゃない…なにその恰好…
ことり,肝試しで使ったカッパの衣装だよ♪
理事長,…あ、いましたね！
ことり,え、何が？
理事長,ここにことりという超可愛い怪物が！
ことり,もう！ことりは怪物ではありません！
理事長,ああ…こんな可愛い子を産めてお母さんは幸せです…
ことり,ことりもお母さんのところに産まれて幸せだよ♪
理事長,ことりぃ！
ことり,お母さん！
理事長,世界にはマザーコンプレックスというモノが存在します。母親に対して強い愛着心を持つ人のことを言います。私たちはこれを“マザコン”と略し呼びます。私たちの世界では他にも色々出回ってますよね。口リータコンプレックス、ブラザーコンプレックス、ファザーコンプレックスなど他にも様々なモノがあります。またこれを略し口リコン、ブラコン、ファザコンと世界各国の言葉は違えどそのモノというものは全て同じモノです。一般的にこの〇〇コンというのはあまりいいイメージでは見られていないでしょう、ですがこれもれっきとした愛であることに違いはありません。ですが考えてみてください、すべてがすべてちゃんとした愛だとは限りません。重すぎる愛は反って歪みやすくなるでしょう。相手に対して“好きすぎる”という感情を抱くのはもう既に手遅れかもしれません…
穂乃果,ふぁー…やっと高校二年生かぁ…
海未,留年しないでよかったですね
穂乃果,ひどいよー！って言いたいところだけどホントそうなんだよねー…
ことり,でもちゃんと二年生になれたんだし喜ぶべきじゃないかな？
穂乃果,だよね！。もー勉強って面白くないんだよねー…。なんで勉強って必要なのー？お母さんみたいにお店の店員さんやる仕事は頭使わないよ？
海未,そうだとしてもちゃんとやらなきゃいけないのですよ！！
ことり,そういえばあの出来ない出来ないって言ってた数学の問題どうだったの？
穂乃果,あー海未ちゃんの半強制的マンツーマンで嫌というほど頭に叩き込まれてもうすっかり覚えちゃった…
ことり,それは…よかったねというか大変というか…
穂乃果,わぁ！！？
ことり,あ、雪穂……ちゃん？
海未,雪穂…ではありませんよね…？
穂乃果,誰…？
凛,私は星空凛！でも本名は高坂凛！未来から来た穂乃果お姉ちゃんの妹にゃ！！
穂乃果,っえええええぇ？！？！？
海未,はぁ？！穂乃果！そんなこと信じちゃいけないですよ？！
ことり,え…え…えぇ？！
凛,お姉ちゃん会いたかったよ～！
穂乃果,わぁ…
ことり,み、未来から来たって…
凛,凛はお姉ちゃんに会うためにきたんだよ！お姉ちゃんのことならなんでも知ってるもん！
海未,なんですかこの子は…
穂乃果,じゃあ凛ちゃん！
凛,はい！
穂乃果,問題だよっ！私のスリーサイズは？
凛,今のお姉ちゃんはバスト78ウエスト58ヒップ82だね！
海未,なっ……
ことり,………
穂乃果,え…適当に言っただけなのにそうなの？
凛,うん！なんなら今から測る？
穂乃果,いやいいよ！。じゃあ私の好きな食べ物は？
凛,イチゴ！
穂乃果,私の住んでる和菓子屋の名前は？
凛,穂むら！
穂乃果,私の趣味は？
凛,シール集め！
穂乃果,昨日私が食べたパンは？
凛,ランチパック！中身はイチゴ！
穂乃果,私が最近読んだ漫画の名前は？
凛,StorminLover！
穂乃果,…全部正解
海未,え？！
ことり,えぇ？！
凛,だから言ったでしょ？凛はお姉ちゃんのことならなんでも知ってるって！
穂乃果,…うん、確かにあの漫画は昨日読み終わってまだ雪穂にも見せてない
海未,…っですが！それだけでは何も証明なりません！第一未来から来たなんてそんな非科学的な…
ことり,ならえーっと…凛ちゃんだっけ？
凛,そうだよ！
ことり,この後…うーんじゃあ三日後くらいの穂乃果ちゃんに起こる一番大きな出来事を教えて！
凛,それは……
穂乃果,…？
海未,まさか本当に廃校になるなんて…
ことり,…凛ちゃんのいうこと、ホントになっちゃったね
凛,ほぉら！お姉ちゃんこっちこっち！
穂乃果,こらああ！私のパン返せえええええ！！！
凛,なら捕まえてみてよー！
穂乃果,まてまてー！！！
海未,しかも穂乃果は凛を妹ととして見始めるようになってますし…
ことり,更にはUTXで見かけたスクールアイドルに憧れてスクールアイドル始めちゃうし…
海未,穂乃果が珍しく真剣だったので私たちも賛成しましたが…
穂乃果,つっかまえた！
凛,わぁ…捕まっちゃった…
ことり,…一日中ベッタリだよね、あの二人
海未,穂乃果は警戒心なさすぎです！
ことり,でもちょっと探ってみるとあの凛って子、結構な有名人みたいなんだよね
海未,えぇ…そうでしたね…
ことり,秋葉一の美女！なんて言われてるみたいだし…
凛,はい、あーん
穂乃果,あーん！。う～ん！今日もパンがうまいっ！
一年生徒,あ、あの凛さん！さ…サインください！
凛,あ、うん！分かった！
一年生徒,あ、ありがとうございます！これからもアイドル頑張ってください！
凛,うん！でも凛よりお姉ちゃんを応援してほしいな！
一年生徒,は、はい！穂乃果先輩も頑張ってください！
穂乃果,うん！頑張るよ！
海未,…凛のおかげといってもいいでしょう、アイドルを初めてライブしたら人気爆発でまだ少ししか経ってないのにもうこの辺じゃ知らない人がいないくらいにまで……
ことり,なんか私たち凛ちゃんの人気のおこぼれもらってるみたいだね…
海未,まぁ廃校を阻止するって目的に関してはいい感じではあるんですけどね…
穂乃果,わぁ！蜂だ！
凛,にゃ！
穂乃果,ちょ…ちょっと凛ちゃん…そんな殺さなくても…
凛,ダメだよ！お姉ちゃんが危なかったもん！
穂乃果,…うん、じゃあそこは仕方ないとして…。なんでまだ足で蜂の死体をグリグリしてるの…？
凛,生きてたら刺されちゃうかもでしょ？。殺すなら殺すで完全に殺さないと…
穂乃果,う、うん……
凛,あ、お昼終わっちゃったね…。また後で！授業終わったら来るね！
穂乃果,う、うん！！
海未,穂乃果、行きましょう
ことり,いこっか
穂乃果,はーい
凛,お姉ちゃん！！
穂乃果,ごめん待たせちゃったね…
凛,ううん！お姉ちゃんならなんでも許すよ！
穂乃果,あはは…ありがとう！
ことり,ごめんごめん授業が長引いちゃって…
海未,お待たせしました、穂乃果、凛練習に行きましょう
穂乃果,うん！
凛,うん！
真姫,…ほらいってきなって！
花陽,う、うん…。あの！私！小泉花陽といいます！。一年生で背も小さくて声も小さくて人見知りで…得意なものも何もないです…！。でも…でもアイドルへの思いは誰にも負けないつもりです！。だから……。μ’sのメンバーにしてください！
穂乃果,うん！喜んで！。握手…しようか！
花陽,は、はい！
ことり,それで…後ろの子はどうする？
真姫,え？私？
海未,メンバーはまだまだ募集中ですよ！
穂乃果,…ん、朝…？
凛,おはよっ！お姉ちゃん！
穂乃果,わぁ！凛ちゃん？！
凛,もう会いたくて来ちゃった！
穂乃果,…てまだ六時じゃん！
凛,早く起きて悪いことはないよお姉ちゃん！
穂乃果,いや…うん…そうだけど…
凛,お姉ちゃんが寝てる間部屋の片づけとかしといたよ！
穂乃果,うわぁ…ホントだ綺麗になってる…
凛,さっ！ご飯食べていこうよ！
穂乃果,う、うん！
凛,あ、お姉ちゃんの部屋にカバン忘れちゃった、先行ってて！
穂乃果,はーい！
凛,お待たせ！
穂乃果,ちょ、ちょっと待ってて今食べてるから！
凛,うん！あ、ゆっくりでいいよ？
穂乃果,うん！
凛,お姉ちゃん！
穂乃果,どうしたの？凛ちゃん
凛,にゃ～…
穂乃果,ふふ、凛ちゃん猫みたいで可愛いね！
凛,うん！お姉ちゃんにそう言ってもらえると嬉しいにゃっ！
雪穂,……なにその子
穂乃果,あ、この子はみら
凛,あ、どうも！穂乃果先輩のお世話になってる者です！
雪穂,あ、はい…
凛,妹さんですか？。まぁ知ってるけど…
雪穂,…？
穂乃果,あ、うん！そうだよ！雪穂っていうんだ！
凛,そっか！雪穂ちゃんよろしくね！
雪穂,あ、よろしくお願いします
穂乃果,あ、食べ終わったからいこうか凛ちゃん
凛,はい！
穂乃果,あんなに改まんなくてよかったよどうせ雪穂だし
凛,ううん！挨拶くらいはちゃんとしないとね！
穂乃果,凛ちゃんは偉いね～…私とは大違いだよ
凛,っそんなことないよ！だってお姉ちゃんは凛のお姉ちゃんだもん！
穂乃果,あはは…凛ちゃんのお姉ちゃんかぁ…。なんかあんまり想像できないや…。聞いたよ？頭ものすごいいいんでしょ？体力測定でもトップだったって！。もし本当に凛ちゃんが私の妹なら私はいい妹を持ったなぁ…こんなに可愛くて！
凛,にゃっ…
穂乃果,頭も良くて運動神経も良くて私の妹にはもったいないよ～
凛,ううん！お姉ちゃんがお姉ちゃんだったから！。ずっと一緒だから頑張れたんだよ？一緒に勉強して…
穂乃果,あはは…未来の私が頑張ってるなら凛ちゃんも大丈夫かな？
凛,うん！それに今はお姉ちゃんがいるし！
穂乃果,わぁ…もう仕方ないなぁ…
凛,あはっ！おんぶだ！
穂乃果,このまま学校までいっくよー！。そういえば凛ちゃんは私の妹なんでしょ？
凛,うん！そうだよ！
穂乃果,なんで過去にきたの？未来に私はいないの？
凛,………
穂乃果,凛ちゃん？
凛,何歳…とは言わないけどお姉ちゃん死んじゃったんだ…。……凛とっても寂しくてね…お姉ちゃんがいないと独りぼっちだったんだ
穂乃果,え……
凛,だから過去に戻ってお姉ちゃんに会いに来た。凛がしっかりしてれば守れたのに…お姉ちゃん死んじゃって…
穂乃果,ちょ、ちょっと凛ちゃん！。大丈夫！私は死なないよ！。一緒にいよ？絶対穂乃果は消えたりしないから…
凛,うん…うん！！
穂乃果,私が凛ちゃんを守るよ…
凛,うん！
希,ほぉうら！にこっち！
にこ,なによ…
希,今日こそいうんやろ？
にこ,別に……
穂乃果,？
希,あのー！すいません！。μ’sでまだメンバー募集してるって聞いて入りたく申し込みにきました！。えっとーウチは東條希！趣味は占い！一応ダンスは出来るつもり！。ほら…にこっち…
にこ,だから私は別に…
希,もうじれったいなぁ…。この子は矢澤にこ、一応アイドル研究部部長をしてるんよ？だからメンバーにすればぶし
にこ,だあー！！私自身で言うわよ！。私は矢澤にこ、アイドル研究部部長をしてるわ。…正直言うと最初はあなたたちの事嫌いだったわ。でも、練習してる姿みたら真面目なのが伝わったの、だからその…私も…。μ’sにいれてください！
希,ウチも！
穂乃果,喜んで！
凛,………
穂乃果,いやぁ人数も増えてにぎやかになったね！
凛,うん！
穂乃果,凛ちゃんのおかげだよ！ファーストライブは凛ちゃんがいてくれたから成功したしそれ以降も凛ちゃん大活躍だったもんね！
凛,ううん、全部お姉ちゃんがしたこと、凛はそれのアシストをしただけだよ！
穂乃果,もお～そこは素直に喜べ凛ちゃんよぉ～
凛,にゃにゃにゃ！ならここは素直にありがとうお姉ちゃん！！
穂乃果,にゃ～！
凛,にゃにゃ～！。えーっと…この問題がこうなるんだよお姉ちゃん
穂乃果,へぇーどうしてそうなるの？
凛,ここがー…こうなるでしょ？
穂乃果,うんうん
凛,そして次にここをこうすると…？
穂乃果,あっ！なるほど！すごいね凛ちゃん！
凛,えへへ～ありがと！
穂乃果,凛ちゃんがいるとなんでも出来るな～…勉強もうまい具合に進むし…。すごい妹持ったものだなぁ…
凛,全部お姉ちゃんのおかげ！
穂乃果,全部凛ちゃんのおかげだよ！
凛,いやいやお姉ちゃんが！
穂乃果,凛ちゃんが！
凛,………
穂乃果,………。ぷっ…
凛,っぷぷ…
二人,あははははははは！！！
穂乃果,もう本当に私たち姉妹だね…
凛,だねっていうか本当に姉妹だってばー！
穂乃果,あ、そうだったね！
凛,ずっと一緒だよ？
穂乃果,うん！私も凛ちゃんとずっと一緒にいたい！。あ、もう八時だけど…家の方は大丈夫？
凛,お姉ちゃんと離れたくない…。お姉ちゃんは凛と離れたい…？
穂乃果,そんな！ずっと一緒にいてほしいくらいだよ！
凛,じゃあ今日泊まっていいかな…？お姉ちゃんがいないと正気保っていられそうにないんだ…
穂乃果,も、もう仕方ないなぁ。よしよし
凛,にゃー！
雪穂,…べったりねありゃあ
絵里,ねぇ！私もアイドル部入りたい！。生徒会の仕事やっと終わってやっと好きなこと出来るようになったのよ！！
希,うわぁ…えりちがいつにもまして輝いてる…
真姫,…生徒会長ってこんな人だったのね
花陽,で、でも無駄に堅苦しいよりこっちの方が関わりやすくて私は好きかな…！
穂乃果,はい！喜んで！
凛,……～♪
希,さて！えりちの入部も終わったところで練習いこうか！
穂乃果,うん！そうだね！
にこ,あんたついてけるの？
絵里,こう見えても小さい頃はバレエやってたのよ？
真姫,へぇ～バレエなんてやってたのね
凛,お姉ちゃん！屋上まで競争しよう！
穂乃果,お、絶対に負けないよ？。海未ちゃんスタートの合図お願い！
海未,え、ええ…。では…よーい…。どんっ！
穂乃果,ほっ！
凛,よっと
海未,？！？！？
凛,ほっよっと、じゃーんぷ！
穂乃果,え…ちょっ…
凛,いっちばーん！
穂乃果,はぁ…はぁ…凛ちゃん何あれ…
海未,ホントですよ！なんですかあれ！。階段を一回のジャンプで上り終えて虫みたいに壁にくっついたと思ったら勢いつけて跳躍して…
凛,本気！
穂乃果,へぇー！すごいよ凛ちゃん！！！
凛,今度お姉ちゃんにも教えてあげるね！
穂乃果,うん！
ことり,いないと思ったらもう先に行ってたんだね…
凛,よーし！練習！
穂乃果,いっくにゃー！！
凛,いえい！
穂乃果,がんばろっ！
真姫,にしてもあの二人はホントに…姉妹みたいね
ことり,…ホントかどうかは分からないけど凛ちゃんは妹なんだってね、未来の穂乃果ちゃんの
花陽,ん？それはどういうことですか？
ことり,凛ちゃんは未来から来たんだって、穂乃果ちゃんに会うためにって
にこ,へぇー設定としては悪くないわね、でもそういうのは矛盾ができやすいからそういうのを徹底すればもっといいキャラ出せるかもしれないわ
ことり,…設定、なのかなぁ？
希,ふーん……未来から来た、か
海未,………
ことり,海未ちゃんどうしたの？
海未,ことり…凛はまずいかもしれません…
ことり,え？
海未,未来から来た、ですか……
穂乃果,ライブお疲れさまー！
花陽,今回のライブは今までも比がないくらいの大成功でしたね！
希,まさか講堂に人が入りきらないくらいになっちゃうとはなぁ…
凛,でもでも！それだけ凛たちは有名ってことだよ！
にこ,その通り！これからは行動にも気をつけなさいよ？この辺じゃもう有名人なんだから
真姫,興味ないわね、普通にしてればいいのよ
にこ,ぬぁんでよ！
絵里,この調子でどんどん盛り上げていきましょう！
ことり,う、うん！
海未,………
凛,……？。おーい！お姉ちゃーん！
穂乃果,待ってー！今いくよー！
海未,穂乃果！
穂乃果,ん？
海未,少しお話いいですか？
穂乃果,うん！分かった！凛ちゃんちょっと待ってて！
凛,はーい！
穂乃果,それで話って？
海未,凛についてです
穂乃果,ん？凛ちゃんがどうしたの？
海未,…感じませんか？
穂乃果,何を？
海未,結構前にどっちが先に屋上まで行けるか競争をしましたよね？
穂乃果,あーうんあったね！
海未,その時からです、凛から妙な殺気が出ているような感じがします…。それに何か裏があるような気がして
穂乃果,…つまり海未ちゃんは凛ちゃんが敵って言いたいの？
海未,え…いや…そういうわけじゃ…
穂乃果,ならなんでそんなこというの？そういうこと言ってるってことは敵として見てるんだよね？。凛ちゃんは違うよ絶対に違う、仲間だよ絶対仲間だよ。それにあんな可愛い子に裏があるってどんなことするの？。例え海未ちゃんでも凛ちゃんのこと悪く言うのは絶対に許さない。…私いくね？凛ちゃん待ってるから
海未,！！
穂乃果,お待たせ凛ちゃん！
凛,大丈夫？海未ちゃんものすごい深刻そうな顔してるけど…
穂乃果,大丈夫大丈夫！さぁいこ！
凛,うん！
穂乃果,この問題は？
凛,これはこうするの！これはこれだけ覚えとけば簡単だよ！
穂乃果,おお！なるほど！。はぁ～やっと終わった～！
凛,お疲れお姉ちゃん！
穂乃果,今日もありがと凛ちゃあああん！！
凛,どういたしましてお姉ちゃあああん！！
穂乃果,この時間が幸せ…
凛,凛もそうだよお姉ちゃん…。…あ、さては凛のおやつ食べたな～？
穂乃果,え？！どうして…ってあ…
凛,こらぁ！ちゃんとお姉ちゃん用と凛用あったのにどうして食べちゃうにゃあ！
穂乃果,ごめん！二つあったからどっちも私のだと…
凛,はぁ…もう仕方ないなぁ…今回だけだよ？
穂乃果,本当？！やっぱ凛ちゃんは優しいなぁ！
凛,凛も凛も！
穂乃果,私が凛ちゃんを守るからね
凛,凛もお姉ちゃん守るよ！
穂乃果,…！う、うん！
凛,あ、照れてる！
穂乃果,えっ？！なんで分かったの？！
凛,顔赤い～
穂乃果,もおー！からかわないでー！
絵里,大ニュースよ！
穂乃果,え？なになに？！
絵里,な、なななんと！。予想以上の入学希望者の為廃校は中止、音ノ木坂は来年もここにあるわよ！
花陽,き、き…きっ…
穂乃果,きたあああああ！
にこ,やったじゃない！！
真姫,本来の目的はこれで達成したわけね
希,ここまでやった甲斐があったなぁ
凛,取り合えずこれで一安心だね！
ことり,………
海未,………
穂乃果,うん！そうだね！やったよことりちゃん！
ことり,…え、あ、うん……
絵里,…？何かあったの？
ことり,いや……なんでも…
にこ,その様子じゃ何も無いわけないでしょう、言ってみなさい？
真姫,そうよ、私たち仲間でしょ？
ことり,………
穂乃果,ことりちゃん…？
ことり,穂乃果ちゃん……。私ね…私ね…！。海外の方の学校に留学することになったの…！
海未,……っ
穂乃果,そ、そんな…どうして…？！。これからだったじゃん…！ずっと一緒だよってスクールアイドル始めた頃約束したじゃん！。どうして…どうして留学なんてするの…
ことり,……言えない
穂乃果,なんで…？！
ことり,……それも言えない
穂乃果,どうしてさ！ことりちゃんは私を信用できないの？！
ことり,…信用したよ？でもその結果だもん
穂乃果,なに？！どういうこと！。ちゃんと喋ってよ！！伝わらないよそんなんじゃあ！！！
凛,！！！！
穂乃果,っ！！！
海未,少しは自分で考えてください！！！。どうしてなんて聞いて答えが出るならもうことりはとっくに言ってますよ！！。そんなことも言われなきゃ分からないんですか！
穂乃果,……じゃあなんなのさ！！海未ちゃんはこの前に行った通り凛ちゃんの敵であると同時に私も敵なの？！。なに？！ことりちゃんがどんな気持ちかなんて知らないよ！知るわけないよ！。そんなことも言われなきゃ分からないんですかって言われなきゃ分からないに決まってるよ！そんなことも言われなきゃ分からないの？？
凛,！！！！？
穂乃果,っ………。…もういいよ、私たちの友情ってこんなもんだったんだね。たかが知れるよ。ことりちゃん、さよなら。海未ちゃんもさよなら。いこ？凛ちゃん
凛,あ、うん。お姉ちゃん…
穂乃果,…やっちゃったね。もう海未ちゃんにもことりちゃんにも…。μ’sの皆にも顔見せられないよ…。…時間を戻せればなぁ。はぁ……
凛,……ねぇお姉ちゃん
穂乃果,何？
凛,凛…悪いことしたかな…
穂乃果,……どういうこと？
凛,気付かなかった？ことりちゃんはずっとお姉ちゃんのこと好きだったんだよ
穂乃果,！！！？
凛,でもお姉ちゃんはずっと凛といた。だから近付けないし話すこともままならない。そんなときことりちゃんに一通の手紙が届く。内容は海外へ留学という件、ことりちゃんの選択次第では留学じゃなくてこのままμ'sにいた。でも凛がいたからお姉ちゃんには近付けない、大好きなお姉ちゃんはこんなに近くにいるのに近づけないなんて辛い思いするなら海外に行った方がマシだ、そう思って留学を選んだ
穂乃果,っ！
凛,ねぇお姉ちゃん…これって凛が悪いの？。…凛が悪いなら消えるよ、元の世界に戻る。凛…お姉ちゃんに元気もらったから…独りで死んじゃうかもしれないけど未来に戻れるよ…
穂乃果,え……
凛,やっぱり凛が悪いんだ…ごめんじゃあ帰るね…
穂乃果,ッ待って！待ってよ！。行かないで！私は凛ちゃんがいないともうダメなの！。海未ちゃんにもことりちゃんにもお別れしてμ’sのみんなとも気まずくなっちゃったのに凛ちゃんがいなくなっちゃったら私……。死んじゃうよぉ……誰も支えてくれない誰も助けてくれないよぉ…。行かないでぇ…お願いだからぁ……。凛ちゃんは悪くないよ、悪くない…
凛,…うん、そうだよね！。凛がお姉ちゃんを守るよ、誰もお姉ちゃんを傷つけさせない触らせない。お姉ちゃん、家についたけど凛は用があるから先に入ってて？
穂乃果,いや…行かないで…私を一人にしないで……消えちゃうのが怖いよ……
凛,…じゃあ目をつぶって？大丈夫、消えないよ凛を信じて
穂乃果,う、うん…。？！？！。あ、あれ…今喉に何かに……。…っあれ…なんだか眠く…
凛,ごめんね、少しの間お姉ちゃんは家で寝てて。よいしょっと…。すいません！穂乃果先輩練習疲れてぐっすり眠ってしまって起こすのもあれかなって思って家まで送りにきました！。さて……。お姉ちゃんを傷付けた分は返そうかな。すいません！海未ちゃんの友達の星空凛という者です！海未ちゃんに用があって来たのですが今大丈夫ですか？。入るね、海未ちゃん。どうも♪。…さて帰ろ。また一人殺しちゃった…お姉ちゃんになんて言おうかなぁ…
穂乃果,すぴー…凛ちゃん…ずっと一緒だよぉ…zzz
希,死神…か、何か起こる予兆やね。未来から来た…どうやら嘘じゃないようやね。高坂凛…兼、星空凛…過去に関する情報が何一つない…
凛,殺すなら完全に殺さないと…。そう言ってくれたのは凛の大好きな人。いつでも凛と一緒にいてくれた…。そう…こうやって何かを殺す時だって一緒にいてくれた。穂乃果お姉ちゃん♪。絶対に守るよ、お姉ちゃん♪。よしっ！帰ろ！お姉ちゃんが待ってるもんね！。お姉ちゃん♪
理事長,お互い片方が消えたら死んでしまうような弱さ、まさに共依存です。それは救いようのない愛、そしてそれこそが。手遅れ、です。妹の誘惑に勝てる姉なんて、いないのかもしれません
ことり,お母さん！！！
理事長,あらことり、何かしら
ことり,大好きだよっ♪
理事長,ええ！私も大好き！。マザコンことり悪くないわね…
ことり,…だから私以外の人とは関わったらダメだよ？
理事長,え……
ことり,これからは私がお母さんの全てを決めるね♪まずはご飯だけど…。次にお風呂で…あ、先に寝るところとか決めちゃおっか♪。どこがいい？床がいい？お風呂がいい？外がいい？
理事長,こんなことり嫌だわああああ！！！
ことり,あ、そうそう私以外とは話しちゃだめだよ？？？
理事長,ちょま……。まだ終わってないのよおおおおお！！！！。太古昔から世界のさまざまなところで伝説として残されてきた“吸血鬼”。今となっては小説、漫画、ドラマなどの幅広いジャンルで見れる妖怪ですね。生死を超えた不死身とされている吸血鬼ですが弱点があったり殺す方法があったりしますよね。十字架を直に見れない、にんにくが嫌い、日に当たると灰になってしまうなど不死身のくせに案外脆かったりします。また吸血鬼は血を吸えないことでも死んでしまいます、半永久不死身みたいな感じですかね？。しかし吸血鬼なんて現実にはいません、伝説ですから。でも、こういう鬼はいるかもしれませんよ…？
希,隙あり！
花陽,ぴゃあ？！？
希,う～ん！やっぱり花陽ちゃんのは安定感があるやんね！
花陽,も、もう…希ちゃん…
真姫,安定感って何よ…
希,ふぅよかったよ花陽ちゃん、それじゃウチ生徒会の仕事あるからじゃあね！
花陽,う…うぅ…
凛,かよちん大丈夫？
花陽,うん…
真姫,ほんと希は…
花陽,で、でも大丈夫、希ちゃんを責めないであげて？
真姫,え？なんで希を庇うのよ。もしかして何かあるの？
花陽,ううん、なんでもない！。とにかくお昼食べよっか！
凛,う、うん！
真姫,ええ…？
花陽,気持ちよかったなんていえないし…
希,花陽ちゃんのもいいけどやっぱり一番はことりちゃんのかなー…バランスの良さがなんとも…
絵里,何が一番ですって？
希,お、えりち！
絵里,はぁ…またやったの？
希,ウチの日課みたいなものやし！
絵里,いい加減やめにしたら？その歳でそんなことやってたら捕まるわよ？
希,現に捕まってないから大丈夫！
絵里,そういう問題じゃないのよ…
希,なんや？えりちもされたくてウズウズしてるん？
絵里,はぁ？！そんなわけないでしょ！さっさと生徒会の仕事終わらせるわよ！
希,ふふっ…えりちはえりちやなぁ…。うーん、でもえりちのも揉んでみたいなぁ…。後で揉んでみよ！
絵里,はい、これよろしく頼むわ
希,了解や
絵里,よいしょ…えーっとこれはー…
希,隙あり！
絵里,ひゃあ？！？！？
希,あー…なんとも言えない柔らかさやな…
絵里,何してんのよ！
