本田未央,――みんなと、もっとお近づきになる方法？
みりあ,あっ、卯月ちゃんきたー！
かな子,おはよう、卯月ちゃん。お菓子あるよ
卯月,あ、あの、プロデューサーさんっ！！
武内Ｐ,はい、何でしょうか……？
卯月,私、決めましたっ！。答え、出しましたっ！！
武内Ｐ,答え……？はい、お聞きしますが――
卯月,私――――！！。プロポーズ、お受けします！！！
武内Ｐ,！！！！？？？
未央,♪な～やみごと、尽きない時代だ～
日野茜,おや、未央ちゃん。なんだかご機嫌ですね！
未央,えへへ～、そう？
高森藍子,ふふ、未央ちゃん、今日はちょっと特別な日、なんだよね？
茜,なんですか！？まさか、近くでごはんの食べ放題があるとか！？
未央,あははー、茜ちんらしいなぁ
藍子,今日は、久しぶりにシンデレラプロジェクトのメンバー全員が集まれる日なんだって
未央,そうそう！いやー、みんな仕事で忙しかったけど、また集まれるなんて感激だよー！
茜,おおっ！信頼し合える仲間との再会っ！！いやー燃えますね！！
藍子,本当にね。シンデレラプロジェクトってみんな仲がすごく良くて、羨ましいなぁ
未央,なんたって、アイドルになって最初にできた仲間だからねぇ。楽しみってだけじゃなくて、いろいろ感慨深いよ
茜,そうなんですか。だったら皆さんのためにも、早く行ってあげないとですね！！。なんなら不肖――この日野茜が、未央ちゃんを担いで、ダッシュしてもいいですよっ！
未央,茜ちんなら、マジでできそうだよねー
藍子,ダメだよっ、二人とも！未央ちゃんスカートだし、見えちゃうよ！
茜,安心してくださいっ！！スカートの中身が見えないくらいの超スピードで行きますから！！！
未央,茜ちんは頼もしいなぁ
藍子,み、未央ちゃん！
未央,あはは。流石に友達をタクシー代わりにはできないよ
茜,なら、不肖、日野茜――飛翔してご覧に入れましょう！！気合で！！！
藍子,そういう問題じゃないよ！？
未央,おっと、そんなこと言ってたら電話だ……。プロデューサー……？。さてはみんな、未央ちゃんを待ちきれなくなっちゃったかな～？。もしもし～？プロデューサー？。ん……？ごめん、なんかそっち騒がしくない……？。よく聞こえないよー
言の葉に秘められし、真意を開示せよっ！！,プロデューサーさんっ！！説明してくださいっ！！
未央,えっ、ちょっとプロデューサー！？後ろで何が起こってるの――！？。プロデューサー！？プロデューサー！？。大丈夫！？なんか軋んでる音が――
既にその身は、禁断の果実に触れたのか！？,卯月ちゃんとは、どこまでの関係なんですか！？
未央,えっ……？。えぇ……？
