喜多見柚,とやっ。と、っとっと
柚,えー裕美チャンだって可愛いのにー
真奈美,おっと、そろそろ私たちのリハーサルの時間みたいだな。それではプロデューサー君。積もる話はまた後でしようか。フッ、LIVE中の柚のことは任せたまえ。裕美だっていることだ。大丈夫だろう
裕美,えっ！？わ、私……！？
柚,えーっアタシの方がお姉サン！
加蓮,はいはい、柚。裕美ちゃんのことも困らせないようにね
柚,はーいっ
加蓮,リハ、私もちゃんと見とくから
柚,うんっ。加蓮サンに見てもらってたら大丈夫だっ
加蓮,ふふっ。それと、柚。ユニットでのLIVEでもソロと同じ――
柚,アタシはアタシのやりたいように！うまくやるんじゃなくて楽しくやろう！……でしょ？
加蓮,分かってんじゃん♪
柚,へへっ、毎回やってたから加蓮サンの言うこと読めちゃった！
加蓮,ふふっ。じゃ、行ってらっしゃい、柚
柚,行ってきまーすっ！
真奈美,なるほど。見かけによらず……は失礼かな。柚があれだけ気に入る理由もなんとなく分かるよ。フッ、プロデューサーよりアイドルに向いていると言った自分が恥ずかしいな
裕美,柚ちゃんのプロデューサーさん、すごく柚ちゃんを大切にしてるんだね。私にも分かるよ……！
柚,そ、そっかなー。加蓮サンってば心配性なんだからっ♪あ、でも加蓮サンは心配されるの嫌がるんだ。よく過保護だって怒ってるっ
真奈美,ほうほう
裕美,過保護……って、柚ちゃんに？
柚,ううんっ。えとね、Ｐサンっていう加蓮サンの上司サンがいて――。えーっ。まだ喋り足りないっ。もうちょっとだけ！ね、いいでしょ？
加蓮,あのね……それ何回目？向こうの２人にだって用事があるんだし、っていうか元気だなアンタ
柚,加蓮サンとは違うのー！
加蓮,うっわームカつく。ほら、明後日のLIVEだってあるんでしょ？身体はしっかり休めなきゃ。っていうか明後日にまた話せばいいじゃない……
柚,今日しか話せないことは今日しか話せないの！……加蓮サンのケチ！
加蓮,はいはい、屁理屈こねてないで帰りながら今日の反省会でもやるよ。Ｐさんだってずっと車で待ってくれてるんだし
柚,むー
加蓮,さて、それじゃ今日は――。――――――――っ！
柚,？
加蓮,…………
柚,だれ？
加蓮,…………！！
柚,……病気？。…………加蓮サン？えと、あの、
加蓮,柚、行くよ。Ｐさん待たせてる
柚,えっ、でも
加蓮,いいから
柚,あの、
加蓮,いいからさっさと行くよ！次の仕事だってあるんだから！
柚,でも……う、うんっ。待って加蓮サンっ
加蓮,…………
Ｐ,……加蓮？お前どうしたんだよ。ちょっと前からずっと……柚ちゃん怖がってるぞ？
加蓮,……はいＰさん。これ柚に回ってきた仕事の概要。そのまま受けても大丈夫？
Ｐ,え？あ、ああ。ちょっと待ってろ、こっちで確認を――確認するからお前、その間に
加蓮,さて、次はっと……
Ｐ,…………
柚,…………加蓮サン
加蓮,何？
柚,あ、ううんっ。えと、その、ち、ちょっと息抜きとかどうかな～って……なんでもないですっ
加蓮,そ
柚,ぅう…………
Ｐ,…………
加蓮,おしまい。いい時間だね。ちょっと早いけど柚、レッスンスタジオ行こう
柚,う、うん。……あの、加蓮サン。この前、加蓮サンを知ってたっぽい人――
加蓮,さっさと行くよ。ほら、明日もまた出番があるんでしょ？おかしなとこがないか、１回通すだけだから
柚,うん…………
Ｐ,…………。加蓮を知ってたっぽい人？……まさか
加蓮,…………
柚,…………
Ｐ,…………。……静かすぎて気まずい。加蓮と柚ちゃんがいて、これほど静かだった時はない。なんとかしたいとは思うが……。気になるのは、柚ちゃんの言っていた加蓮を知っていた人。加蓮がこうなったのはドリームLIVEフェスティバルの後からだ。ドリフェス……となると、やっぱり。加蓮
加蓮,何？
Ｐ,いや――。――"出会ったばかりの頃"の加蓮よりも、酷い。"元担当"の俺でもこんな加蓮は見たことがない。思わず怯んでしまった。……それじゃ駄目だろうと理性が叱責するも、続く言葉が思いつかない。結局――。お前、何があったのか知らんが……ずっとこのままやるつもりか？……それでいいとは加蓮も思ってはいないだろ
加蓮,…………
Ｐ,あのな――。…………。…………
加蓮,…………
柚,…………。あ、あの。今日アタシもう帰るね。えと、加蓮サン、また明日っ
加蓮,…………
Ｐ,…………
柚,裕美チャン、真奈美サン。アタシちょっと探してる人いるんだ。ごめんっ、本番までには絶対戻ってくるからっ。えとっ…………。ええとっ…………。……あ！いた！あの！そこの……だ、誰だっけ？そ、そこの人！。そうそう！あのっ……か、加蓮サンのこと知ってるんだよね！そのことアタシに教えて！。喜多見柚！はじめましてっ！……じゃなかった。いやはじめましてだケド！そうじゃなくて！えとっ……
神谷奈緒,神谷奈緒だよ
奈緒,はー、ほんとアイドルってすごいよな。会場の中にカフェ作ってそこでもアイドルだってさ。はは、もしかしたらスタッフの中に混じってたりしたりな？
柚,そうかもっ。加蓮サンもあっちこっちでいろんな人と話してるみたい。アタシのお仕事のこととか
奈緒,そっかー……
柚,…………
奈緒,…………。なあ。えっと、柚ちゃん、だっけ……？
柚,うん
奈緒,加蓮は……アイツは本当に……プロデューサーを、やってるのか？
柚,……うん。アタシのプロデューサーサンだよ
奈緒,そっかぁ……噂には聞いてたんだけどマジだったかぁ……。凛が聞いたら何を言うかなぁ……
柚,…………
奈緒,あ、ゴメン。……凛っていうのはアタシとユニット組んでるアイドルのことで……加蓮も、本当ならそこにいた筈なんだ。アタシと凛と、加蓮のユニット。色々あって、今はアタシと凛は別の部署にいるんだけどな
柚,……あの。奈緒、サン
奈緒,ん？
柚,加蓮サンって……プロデューサーじゃなくて、アイドルだったの……？
奈緒,……元、な。元アイドル。アタシ達がユニットを組んで、さあLIVEだってなった直前に倒れちゃって――
加蓮,え？探してる人がいる？
裕美,う、うん。そういってどこかに行っちゃったけど……プロデューサーさんのことじゃなかったんだね
真奈美,少し急いでいるようだったな
加蓮,そう……。探していた、って…………。……教えてくれてありがとう。ちょっと探してみる。ごめん、うちの柚が迷惑かけて
真奈美,フッ、なんてことはないさ。こっちで見つかったら連絡をした方がいいかな？
加蓮,うん、是非お願いっ
裕美,……私たちも、探した方がいいのかな？
真奈美,そうだな。邪魔にならない程度に探してみようか
加蓮,ああもう、あの子いったいどこに――。ん？。……？
柚,加蓮サンが、アイドル……？倒れちゃった……！？
奈緒,加蓮さ、もともと病気かなんかで体が弱いんだ。入院したこともあるって言ってたかなぁ……
柚,病気！？入院！？
奈緒,いつもアタシや凛が心配しててさ、アイツは大丈夫だって言うんだけど、ある時に思いっきりぶっ倒れたことがあって……。それから、医者だったか親だったかにしばらくアイドルはやるなって言われたらしいんだ。でも加蓮はアイドルをやりたがってて……今は無理だけど、体が回復したらって許可されてた。アタシも凛も、きっといつか戻ってきてくれるって……２人でユニット組んで、アイドルをやりながら加蓮を待ってた。アタシ達は育成枠ってことで別の部署に移されたけど、いつか加蓮もこっちに来るだろうって。加蓮もいろんな人から、これからが楽しみなアイドルだって言われてたからさ。……はは、それがまさか、プロデューサーになって帰ってくるなんて。加蓮にはよくびっくりさせられてたけど、こればっかりは過去最大のびっくりだよ……はは、あん時のアタシ、間抜けだったろうなぁ
柚,…………
奈緒,…………あ、あはは……そゆこと
柚,加蓮サンが、アイドル……なのに、アタシのプロデューサーサン……？
奈緒,うん――
加蓮,ハァ、ハァ、み、見つけた……！
奈緒,！
加蓮,はーっ、はーっ…………
奈緒,加蓮……
加蓮,…………久しぶり、奈緒
奈緒,！
加蓮,びっくりした？私がここにいて
奈緒,…………そりゃ、びっくりもするよ……なあ、加蓮、どういうことなんだよ。プロデューサーやってるって、どういう……！
柚,……ねえ加蓮サン。前にアイドルやってたって、ホント？
加蓮,……うん。どっちも、本当だよ
柚,病気で倒れたって、ホント？
加蓮,うん
柚,…………
加蓮,……あんまり話したい話じゃないし、わざわざ言うことでもじゃないでしょ？それに……今の私は柚のプロデューサーだよ。例え元アイドルでも関係なく、今の私はプロデューサー。ちゃんと仕事を取ってきて、レッスン見て、事務仕事だってやってるでしょ？。例え元アイドルでも、私は――。…………。…………ごめん。そういうことじゃないよね……そういうことじゃ……
柚,…………加蓮サン……
加蓮,……隠しててごめん。……元アイドルだってのも、奈緒とユニット組んでたってのも、ぜんぶ本当のことだよ
柚,…………
奈緒,なあ加蓮。その、体の方はどうなってるんだ？今もアイドルはまだ――
加蓮,うん。無理だよ。まだアイドルはできない。定期検診の度に医者とお母さん、ついでにＰさんから止められてる。プロデューサーやってる時も、走るのは厳禁。だから今だって、ずっと早歩きで柚を探してたんだ……それでもご覧の有様だけどね
奈緒,…………
加蓮,ちょっとでも疲れを感じたら休め。さんざん言われてるよ。その辺の条件があって、プロデューサーとしての行動は認められてるけど
奈緒,そっか……。やっぱりまだ、無理なんだな
加蓮,奈緒。まだ私のこと待ってるの？。……私のことなんて待たなくていいのに
奈緒,！
加蓮,もしアイドルに復帰できてもただのポンコツだよ？もうレッスンなんてずっとやってないし。それに、どーせまた倒れるだろうし。将来が楽しみなんてもう昔のこと。変に期待されるのも辛いし……だからさ、
奈緒,そんなの関係ないよ！
加蓮,っ
奈緒,……そんなの、何度だって凛と話したよ。もしかしたら加蓮のことを忘れた方がいいかもしれないって思ったことだってあった！。でもさ、やっぱ違うんだよ！アタシ達３人でトライアドプリムスなんだよ！育成枠とか期待のアイドルとか関係なくさ！。今……今さ、アタシと凛、トライアドプリムスを名乗ってないんだ。それは加蓮が戻ってきてから名乗ろうって決めてるんだ！だからっ――
加蓮,……ふふっ。相変わらず頭に血が昇ったらツンの欠片も見せなくなるね、奈緒
奈緒,！からかうなよっ。アタシも凛も、加蓮のこと本当に……本当に待ち続けて……っ！
加蓮,…………
柚,……ねえ、加蓮サン
加蓮,何？
柚,……ううん、分かんない。アタシ、どう思えばいいのか分かんないや……。加蓮サンがアイドルやってたって聞いてびっくりしたけど、どう思えばいいのかぜんぜん分かんない……
加蓮,…………柚。……上手くやるよりも
柚,やりたいようにやろうっ！……だよ、ね？
加蓮,うん。……今まで隠しててごめん。許せとか言わないけど……ぜんぶ、後付になるけど。いつか説明はしようって思ってたし、柚から聞かれたら話そうって……でもあの時は、奈緒を見た時は……その、心の準備ができてなかったのと……あと……。……奈緒が、アイドルの衣装を着てたの見て……なんか、頭の中が切れちゃった
柚,え？
奈緒,アタシの、衣装？
加蓮,…………ねえ、柚。奈緒も……。私の話、聞いてくれる？
柚,…………
加蓮,…………
柚,うん、聞く。ごっちゃごっちゃで訳分かんないし！
奈緒,アタシも……加蓮が何を思ってプロデューサーやってるのか、聞きたい
加蓮,……うん。分かった。話すね。私ね……小さい頃からよく入院してたんだ。体力がなくて、ちょっと走るだけでガタガタで。小さい時、なんにもない世界で……テレビだけが外の世界を見せてくれた。そしてそこで、私はキラキラ輝くアイドルを見たんだ。私もなりたい。無理かもしれないけど、無茶かもしれないけど、私もアイドルになりたい。みんなに反対されたけど、ある時、Ｐさんに拾われたんだ。柚の雛祭りLIVEと同じくらいのステージにも立った。ずっと秘めてた夢が叶ったんだ。身体もずっと問題なくて。奈緒の言う通り、周りから期待されてたけど……私の身体は、そんな楽観的な物じゃなかったみたい。爆発した。結構な間、入院することになって。Ｐさんと両親、あと医者から、アイドルを続けることは無理だと言われた。やるな、じゃなくて、無理だって。でも、夢を諦めたくなかった。何にもない世界で見つけた、たった一筋の光だったもん。だから倒れた時、アイドルは無理だって言われた後も、必死に食い下がって。そしたら医者が、身体が前みたいに回復したら認めてもいいって。アイドルをやることを。それでもいろんな配慮は必要だって言ってたけどね。家でじっとしてればよかったんだけど……休んでたら回復するもんじゃない、そもそも回復するかどうかも分からない、って言われてた。つまり、歩いてても立ち止まってても、回復する時にはするし、しない時にはしないって。それならさ。アイドルができない間も、アイドルに触れていたかった。夢を失いたくないし、何かしている気になれる。……気になれるだけだって分かってても、何もしないで療養するなんて耐えられなかった。Ｐさんにお願いした。何か手伝うことはないかって。アイドルはできないけど、アイドルに関わる何かはできないかって。Ｐさんは私に、プロデューサーの手伝いをすればいいって提案したんだ。メチャクチャ無理したっぽい。上の人たちと揉めてるのも何回も見た。でもやがて、私はプロデューサー代理って立場になれた。それからすぐだよ。柚のことを見つけて、スカウトしたのは。…………。…………以上。加蓮ちゃんの秘密のお話でした
柚,…………
奈緒,…………
加蓮,…………
柚,……あの、さ。ってことは加蓮サン、もし体がよくなったら……アタシのプロデューサーサンやめて、アイドルに戻るんだ
加蓮,…………それがさ……最初は、そうするつもり満々だったんだ
柚,…………
加蓮,さっきも言ったけど、復帰するまでアイドルに離れているのが嫌で、だからＰさんの手伝いを始めたっていうのが最初だし。それだけだったんだけど、でも……いつ頃からかな。ほら、柚の雛祭りLIVEよりも前、なかなか大きな仕事を持ってこれなかった頃にさ。営業が何度も上手くいかなくて、結局はＰさんに頼ってばっかりで。なんで私ってこんなことやってるんだろーってイライラしてたんだけど……柚を見たら、やらなきゃ、って燃えたんだ
柚,アタシを……？
加蓮,だって柚、あんなに楽しそうにやってるもん。じゃあ私もやらないと、って。Ｐさんに、柚のプロデュースは私がやるんだ、って言ったら、もういろいろと吹っ切れちゃって……すうって消えたんだ。なんだか、いろんな物が消えちゃって。うん、そんな感じ
奈緒,え……？ま、待てよ加蓮！
加蓮,ん？
奈緒,じゃあ、もしかして……まさか……もうアイドルに戻るつもりは――！？
加蓮,…………。…………ごめん、奈緒
奈緒,……っ！！
加蓮,あのね。さっき、柚を探してる間に雑誌の人に捕まってたの。私のインタビューをやりたいって何度も何度も言ってきて
柚,加蓮サンの？
加蓮,そ。私の。最初はもうアイドルじゃないんだしって断ったんだけどさ。そうじゃなくて、プロデューサーとしての私にインタビューがしたいって言うんだ。前に、営業先の人からプロデューサーじゃなくてアイドルだって思われたことが何回もあった。セルフプロデュース？って聞かれたこととかもね。でも、たまにいるんだ。私をプロデューサーだって見てくれる人が。柚の雛祭りLIVEの時もそう。雑誌の人もそう。そりゃいいネタにはなると思うよ？ただの話題作りの為かもしれない。でも……何だったとしても、柚のプロデューサーだって見られたことがすっごく嬉しかった。もし今、身体が完全回復して……柚や奈緒、凛みたいに歌って踊れるようになっても……。私は、アイドルに戻るつもりはない
奈緒,！！
加蓮,……だから、奈緒。だから……私のことは、もう待たないで
奈緒,…………！！。く……うっ…………
柚,加蓮サン……奈緒サン……
加蓮,…………
奈緒,そ、っか……は、はっ……あ、のさ。加蓮の噂、そのっ、プロデューサーやってるって噂を聞いた時、凛と話したんだ。加蓮って……もしかしたらもう、アイドルに復帰するつもりないんじゃないか、って……。でも、アタシも凛も、加蓮のアイドルへの情熱、知ってたからさ……ないよなー、って笑ってたんだ。ただのデマだよなー、って。なのに……マジかよ……！なあっ…………！
加蓮,……ごめんなさい
奈緒,そっか…………そっかぁ………………。うぁ……あぁぁぁ…………！
加蓮,…………
柚,加蓮サン……
加蓮,…………柚。戻ろ。裕美ちゃんと真奈美さんが探してたよ。それに、そろそろLIVEの時間だ
柚,でも、
加蓮,じゃあ――
奈緒,……待ってよ！
加蓮,奈緒…………？
奈緒,駄目だよ。やっぱりこんなの納得いかない！。なあ。ウソなんだろ？……ウソなんだよね？なんでそんな体でアイドルやってんだってケンカした時に言ったことアタシ覚えてんだぞ！でもなりたいってずっと突っぱねてたこと……凛と大ゲンカした加蓮のこと覚えてんだ！。もうアイドルになんて……ウソ、なんだよな。そうだよな。加蓮って前からそうだ。ウソとか冗談とかよく言って、アタシをからかって……でも……でも、ついちゃいけないウソってあると思うんだよ！。いや……そっか。病気がなかなか治らないからそういうこと言ってるだけなんだよな！大丈夫だぞ！アタシも凛も、ずっとずっと待ってるから！その……待ってるから……
加蓮,…………
奈緒,なあ……っ……！
加蓮,…………奈緒。嘘でも、強がりでもない。ぜんぶ、私の本心だ
奈緒,……っ…………！！
加蓮,…………
奈緒,じゃあ……なら……ならあの時のこと！一緒に頑張って凛に追いつこうって決めた時のこと！忘れたとは言わせねえぞ！忘れたなんて……っ
加蓮,奈緒。……私が嘘ついてないって、それは奈緒が一番よく――。…………
奈緒,くうっ……………………
柚,――加蓮サン！。アタシ……加蓮サンのことまだまだよく分かってないっ。奈緒サンみたいに知ってないよ。でも、でもさ！。あの……も、もしさ。もし加蓮サンの、病気？が治ったら、アイドル、やったらいいんじゃないかなっ
加蓮,…………言ったでしょ？私はプロデューサーで――
柚,その時は、ほらっ。プロデューサーでアイドルっ。加蓮サンならどっちもできるよ！
加蓮,あのね。馬鹿言わないの。私に頼ってばっかりの癖に
柚,うぐっ。そ、そこはアタシが頑張ってですな、そのですな……
加蓮,どっちにしても、今は柚のプロデュースをさせてよ。私、それが一番やりたいことなんだから。言ったよね。柚にやりたいようにやれって言う理由の１つに、昔からやるなってばっかり言われてたからって
柚,！それ、もしかして入院してたから？
加蓮,うん。今は……できるんだよ。できないことはあるんだけど、できることもある。やりたいこともある……やりたいことが、できるの。強がりでもウソでもなくてさ。本当に今、柚のプロデュースを一番やりたいの
奈緒,…………っ
柚,じゃあ、じゃあさっ。病気が治ったら、アタシと一緒にアイドルやろうよっ。あっ、もちろん奈緒サンと……えと、凛サン？だっけ？とも！
加蓮,あのさ、柚……私の話を――
柚,そしたらほらっ、一緒にプロデューサーもできるよっ。あの、その時はアタシが加蓮サンのプロデューサーもしてあげるっ。アタシはアイドルでプロデューサー、加蓮サンもプロデューサーでアイドル！。苦手なことだっていっぱい勉強するよ！今までアイドルでできたんだから、プロデューサーだってできるハズっ
加蓮,…………
奈緒,加蓮……加蓮が何って言っても、アタシは信じてる。加蓮がアイドルを辞めたいなんて本気で思ってないってこと！。倒れた時だって、必死にアイドルやりたいって言ったんだろ！？。アタシは信じてる。加蓮の想いの強さを！
加蓮,…………。…………
奈緒,っ…………！
加蓮,…………
柚,加蓮サン……
加蓮,…………。……くくっ…………くくくくっ…………！
奈緒,え？
加蓮,あははっ！！おっかし……！奈緒、想いの強さを信じてるって……ぷぷっ
奈緒,なあっ！アタシこれでも真剣なんだぞ！？
加蓮,ふふっ。奈緒のそーいうとこ変わってないね。アタシは信じてる……だって。ふふっ！まるでお芝居みたい……
奈緒,だ、だからアタシは真剣に……！
加蓮,分かってる。それが奈緒だもんね。……ちょっぴり羨ましいかも。柚も。苦手なことだったら勉強する？アンタ、テストの度に私に泣きついてギリギリ赤点回避してるでしょ。笑わせないでよ
柚,それとこれとは別だもん。加蓮サンのことならもっと頑張れるっ
加蓮,はーっ。……もう。馬鹿。……はいはい。じゃあ病気が治って、あと柚のプロデュースが一段落ついたらね。もうどんだけ先の話になるか分かんないけど――
奈緒,ホントかっ！？ホントなんだな！ウソでした～とか冗談でした～とは言わせねえぞっ！
加蓮,わっ。ちょ！……嘘じゃないってば。でもホントに何年かかるか分からない話だよ？もしかしたらアイドルって言えない年齢になって――
奈緒,それでも！……アタシも、それに凛もきっと！ずっと加蓮のこと待ってるから！。約束だからな！
加蓮,…………
柚,じゃあアタシからも約束っ。いつか一緒にアイドルやろっ。そしたら……今も楽しいけど、そしたらもっと楽しいよ！
加蓮,…………もー。じゃあ、約束ね
奈緒,約束だ！
柚,約束っ
加蓮,もう…………
柚,ただいまーっ。お待たせ！
真奈美,柚。ちょうど２０分前だな。あと１０秒したら連絡を入れようと裕美と話し合ってきたところだぞ
裕美,柚ちゃん、おかえりなさい。探してた人……見つかった？
柚,うんっ。それに……へへっ♪
真奈美,……？
加蓮,…………
柚,あたっ！なんではたいたの～
加蓮,裕美ちゃん、真奈美さん、ごめん。うちの柚が迷惑かけて。ちょっと遅くなっちゃった
真奈美,いや、それは構わないが……ん？プロデューサー君。ええと、加蓮だったか。加蓮。何かあったのかな？
加蓮,え？
真奈美,心なしかいい顔をしているような――
柚,ナイショ！
真奈美,フッ、それなら詮索はやめておこう。さ、柚、裕美。LIVEの時間だ。行こうか
裕美,えっ……そんな言い方されたら、私、気になるんだけど……！？
柚,へっへー。行こ行こっ。加蓮サン、行ってきます！今日もアタシをしっかり見ててね！
加蓮,はーい。……でも裕美ちゃんにかぶりつくのはやめなさいよ？
裕美,！！
柚,ふっふっふー、どうしよっかなー？
裕美,…………！！？？
真奈美,こら柚。裕美が青い顔をしているぞ
柚,じゃあやめとく！
加蓮,ふうっ
奈緒,……なんていうか、ホントにプロデューサーなんだな、加蓮
加蓮,わっ！？び、びっくりしたぁ……。うん。見ての通り。プロデューサーだよ。れっきとしたプロデューサー
奈緒,そっかぁ……
加蓮,……何？
奈緒,いや、違うんだ。さっきは、加蓮がプロデューサーなんてって思ったけど……。加蓮がプロデューサーにこだわるのも、ちょっと分かる気がしてさ
加蓮,……たはは。でしょー？
奈緒,まっ、アタシは加蓮がアイドルに復帰するのを待ち続けるけどな！
加蓮,えー。無駄になっても知らないよ？
奈緒,でも、よく考えたら加蓮ってこういう時にウソをついたことないって思ってさ。へへっ！
加蓮,なにそれ。まったく。もしもし。Ｐさん。うん。奈緒に会った。……それから私のこと、ぜんぶ柚に話した。うん。うん。……うん。あ、ごめんねＰさん。ここんところイライラしちゃってて。迷惑、かけたよね……？。慣れっこ、って……もう。Ｐさんって相変わらず優しいんだね……ちょっとくらい責めてもいいのに……。あ、それでね。柚と奈緒と約束したんだ。回復したらアイドルに戻って、一緒にやろうって。……はいはい。分かってるよ。今すぐなんて言わないよ……それに、まだまだ柚のプロデューサーは続けるよ。それも変わんない。うん。……うん。あ、柚のLIVEの時間だ。え？Ｐさんも見に来る？ふふっ、それならえっと、今いる場所は――。よく言われます、それ。それでノリが似ているんですね。そうだったんですか。ええ。そうなんですか？。…………。……じゃあ、いつものモードで。ふふっ。…………
柚,加蓮サン、すっごくプロっぽくてっカッコイイ！プロのプロデューサーだっ
Ｐ,へー、よくできてるじゃないか。正直アイドルにならないかって誘いはあります。でも今はプロデューサー一筋ですから！とか、ははっ、加蓮が力強く言ってる顔が目に浮かぶな
柚,情熱を持ってやれば、必ず聞いてくれる人はいます。今の世の中こそそれが一番大事だって、身を持って知らしめたいですねだって！これも加蓮サン言いそう！
Ｐ,私だって、担当アイドルを愛してますからかー。俺も聞いてみたかったなぁ
柚,え、それって……あ、あはは、アタシちょっと照れちゃうかもっ
加蓮,…………
柚,？どったの加蓮サン？
加蓮,あ……あんのクソ記者アアアアアアアアアアアァァァ！！！
柚,わっ
加蓮,ｹﾞﾎｯ……私ここまで言ってない！そりゃ門前払いした営業先が私の話を聞いてくれると嬉しいくらいは言ったかもしれないけどさぁ！これじゃまるでケンカ売ってるみたいじゃん！！
Ｐ,いや、芸能雑誌ってだいたいこんなもんだろ……
柚,みんな大げさに書くの好きだよねっ
加蓮,あと誰が情熱を持ってやれば、よ！そんなこと言ってないしｹﾞﾎｯ！
Ｐ,その辺はほら、加蓮の普段の態度っていうかな
柚,加蓮サン見てたらアタシまで気合入っちゃうっ
加蓮,くっそぉ、大げさにするのとか流行らないって言ってたのあっち……あああああ騙されたああああああああ～～～！
Ｐ,お、おう。加蓮が人に騙されるのって珍しいな
加蓮,うううううう～～～～～！！
柚,加蓮サン加蓮サンっ。どーどー。ほらっレモン飴あるよ！これ食べてリラックス～、リラックス～
加蓮,むぐっ。……………………
柚,噛むんじゃなくて舐めろーっ
Ｐ,すげえ顔してんな……
加蓮,見んなっ！
Ｐ,おう
加蓮,ｶﾞﾘｯ!……ちっくしょー、油断したぁ……明日からどんな顔で学校通えばいいのよ……
Ｐ,ドンマイ。もうそっち向いていいか？
加蓮,…………どーぞ
柚,じゃー次はアタシがすごいこと言ってくる！そしたら加蓮サンの仲間！
加蓮,やめろ
柚,きゃっ
加蓮,そうしたらもうホントに面倒になるんだから。あのね、大きめのLIVE１回だけやって退場したような泡沫アイドルでさえ物好きが病院まで追っかけてくるんだからね
Ｐ,おーい、勢いで言うのはいいが自分で自分を泡沫とか言うなよ～。俺まで悲しくなるぞ～
加蓮,柚はその辺、ちょっとナメすぎ。私やＰさんに迷惑かけたくないでしょ？
柚,う、うん
Ｐ,ま、この件はこれでいいじゃないか。芸能界なんてこんなもんだし、言わせたい連中には言わせとけばいいんだ。そっから逆転するのとか加蓮の好みだろ？
加蓮,ま、ね……ハァ……
柚,えとっ、疲れた時には甘い物！加蓮サンにはこっちのマシュマロをあげるっ
加蓮,むぐ。…………ハァ
柚,おかわりどぞっ♪
加蓮,むぐ。…………あ、これ甘くて美味し……♪
柚,でしょでしょ！
加蓮,はー……、よいしょ、っと。……あ。うん……今のはちょっと忘れて
Ｐ,おう、忘れた忘れた
加蓮,忘れたって顔してない！
柚,アタシは頑張って覚えとくねっ
加蓮,柚まで！嫌なことは５分で忘れるんじゃなかったの！？
柚,やなことじゃないもーん。ささ、アタシはレッスンに行かなきゃっ
Ｐ,さて、仕事仕事。部下には負けてられないぞー
加蓮,ちょ、柚、Ｐさん。話はまだ――あー、もー！。…………。もー…………。それから、少しの月日が流れた。裕美ちゃんや真奈美さんとは、連絡先を交換したらしいけれど……それ以降、一緒に遊びに行っただとか仕事の話があったということはなく。柚はまた、ソロの仕事を繰り返し続けていた。ふぁ……。ねむい……さむい……。えっと……帰ったら着替えて、◯◯事務所のとこで打ち合わせして、柚の報告を聞いて……。明日はどうやっても休まないといけないなー、学校……。…………。振り返る。微かに見える校舎に、思うことは何もない。柚が忙しくなってから、自分が学生という気がしなくなってきた。昼に抜けたり、逆に昼から登校することもザラにあるし。Ｐさんの協力もあって、学校や親には説明しているけれど……変な感じ。あはは……前見て歩こ。えっと、確か今日の柚のレッスンスケジュールは……。……ん？。あ……ったぁ……！。！……うぁー。…………///。ふう……おのれ電柱め……ああもう、ホントに前見て歩かなきゃ……。…………。……次の振り付けの進行がちょっと遅れてるんだっけ。私も時間を作って見てあげないとなー。他には……
柚,あ、加蓮サン！
加蓮,お？
柚,やっぱり加蓮サンだ。やっほー！
加蓮,柚。学校帰り？
柚,うんっ。加蓮サンもだよね。もしかしてー、アタシのこと迎えに来てくれたりっ？
加蓮,…………さて、柚の次のレッスンはマストレさんに……
柚,無視！？ってマストレサンはやめてーっ。あの人すごく恐いから！加蓮サンが鬼ならマストレサンは閻魔大王だっ
加蓮,誰が鬼だ
柚,ごめんなふぁい
加蓮,……柚って、いつもこの道を通って事務所に行ってんの？
柚,そだよー。あっちの方！電車使った方が早いんだけどこの時間はいっつも混んじゃうから、アタシ歩いてるんだ。歩いてもそんなにかかんないしっ
加蓮,す、すごいね……
柚,今日はホームルームが早く終わったから、混む前に電車に乗れたんだ。あ、加蓮サンは？
加蓮,私はこっち
柚,そうなんだ。じゃあ加蓮サンもいつもここ通ってるの？
加蓮,うん。会わなかったのが不思議なくらいだね
柚,ね、ね。それじゃ一緒に行こうよ！今日もレッスンだよねっ。アタシ楽しみ！……ま、マストレサン以外なら
加蓮,そんなに嫌かー。私、マストレさんのレッスンって受けたことないんだよね。ベテトレさんまで
柚,そうなんだっ。じゃあ、アタシが加蓮サンの分まで代わりに……代わりに……や、やっぱりやだっ
加蓮,そんなに？
柚,うー……加蓮サンがどうしてもって言うなら、やるけどさぁ……
加蓮,はいはい、分かった。じゃあ、どうしてもって時だけにしとくから
柚,やたっ
加蓮,それよりどうなの？次の曲の振り付け。遅れてるって報告を聞いてるけど？
柚,うぐ。そ、それは、そのー……あ、あのね。テンション上がるとついミスっちゃうっていうかー、でもテンションあげないとトレーナーサンに面白くないって言われるし、ええと……
加蓮,よし、マストレさんの指導だね
柚,もうちょっと！もうちょっとだけ時間ください！
加蓮,はーい。今日はちょっと無理だけど、明日……うん、明日あたり私も見てあげよっか。営業に出る前の１０分だけになるけど
柚,ホント！？それならできるかも！やっぱりアタシ、加蓮サンに見てもらってる時が一番イイ感じな気がする！
加蓮,そっか
柚,そーそー♪
加蓮,…………
柚,ン？どしたの、加蓮サン
加蓮,ううん、なんでも
柚,？？そういえば加蓮サン制服だね！
加蓮,……？そりゃ学校帰りだし……今さら？
柚,加蓮サンの制服って運が良くないと見られないし。加蓮サンが事務所に来て着替えるまでの間だけ。だから加蓮サンの制服を見れた日は、柚のラッキーデーなんだ♪。事務所でもずっと制服でいいんだよ？そしたら毎日がラッキーデーだ♪
