城ヶ崎美嘉,お疲れさまでーす！
美嘉,いままで元気な曲が多かったけど、こーゆー方向のアタシも見たくなったカンジ？
P,ん？ああ、そうだな。前の化粧品CMの時からも思っていたが、無理にギャル面を推さなくてもいいなと思っている
美嘉,へぇ。意外な一面ってやつ？
P,それもあるといえばある。でも、ギャップを推そうってわけじゃないんだ
美嘉,アタシからギャル成分減らすのに？
P,そう。新たな魅力ではあるけど、ギャルに真っ向から対する清楚さじゃなくて、ギャルの素直さからくる一面を引き出したい
美嘉,ホントは普通の女の子ってところ？
P,普通じゃない。男女問わず憧れる、とびきりの女の子
美嘉,……フフッ。いいね、まさにカリスマじゃん★
P,これまで培ってきた、カリスマギャルっていうブランドがあるから活きる一面だと思うよ
美嘉,まいったなぁ。そこまで褒められると、やらない訳にはいかないじゃん
P,頼んだぞ
美嘉,任せといて。きついレッスンもこなしていくよ～
P,うん、いい仕事取ってきた甲斐がある
美嘉,ん、仕事？
P,CD出すだけじゃないだろ
美嘉,あ
P,ラジオにライブ、SNSでも告知な。CD発売したらサイン会と握手会、歌番も依頼かけてる
美嘉,わお……あ～、だからの褒めまくりか～。褒め殺しって言うやつだよねこれ
P,頼んだぞ
美嘉,はぁ……ま、忙しいのは嬉しい悲鳴ってやつだよね。頑張るよ
P,ああ。美嘉ならいけると思っている
美嘉,まぁ、任せて。パッションだからね。～～♪
ベテラントレーナー,よし。まあ、朝一番なのを考えると、声は出ているか。音程も取れてはいる
美嘉,はい
ベテトレ,曲を貰ってまだ2日だったか。この完成度は、気合入っているな
美嘉,ふふっ、でしょでしょ
ベテトレ,となると、演出プランとの相談になってくるな。プロデューサーから聞いているか？
美嘉,ううん、それはまだ
ベテトレ,そうか。じゃあまずはよく読みこんでおくといい。解釈と表現の擦り合わせだな
美嘉,分かった
ベテトレ,早い段階でこれなら、完成は遠くないだろう。ん……もう時間か
美嘉,おっと。ありがとうございました、失礼します！
ベテトレ,急いでいるな、なんか予定でも？
美嘉,あ、このあとラジオです
ベテトレ,精力的だな。ん？城ヶ崎、夕方からもレッスン入っていなかったか？
美嘉,終わった後また戻ってきまーす
ベテトレ,おお、そうか……飛ばし過ぎるなよ。休息も大事だ
美嘉,はーい
スタッフ,はいOK
美嘉凛卯月,お疲れさまでしたー
島村卯月,お疲れさまでした美嘉ちゃん、凛ちゃん！
渋谷凛,おつかれ。私、今日はこれでアガリだけど、このあとどうする？
卯月,私もです。どこか喫茶店でも行きますか？
凛,いいね
卯月,美嘉ちゃんもどうです？
美嘉,あーごめん、この後レッスン
凛,ああ、そう言えば聞いたよ。セカンドソロだよね
美嘉,うん
卯月,えっ、そうだったんですか！？
美嘉,にひひ、まだ公開情報じゃないけどね。曲貰ったのも一昨日だし
卯月,わぁ、おめでとうございます！
美嘉,ありがと。またライブやるかもだし
凛,それ、私たちも出るやつかもね
卯月,じゃあ裏から聞けますね
美嘉,その前にCDでるっしょ
卯月,あそっか
美嘉,CD出たらコレの収録の時に持ってくるからね
凛,楽しみにしてるよ
卯月,頑張ってください！
美嘉,うん★。城ヶ崎美嘉、はいります。おはようございまーす！
マスタートレーナー,ああ、おはよう。城ヶ崎、レッスン仕事と続いてへばっていないか
美嘉,OKOK、大丈夫。よろしくお願いします！
マストレ,よろしい。P殿から聞いているが、ボイトレ中心だったな。そのあと新曲の練習だ。発声だけやっておくか
美嘉,はーい
マストレ,すまないが、私は先ほど音源と歌詞を貰ったんでな。確認しながらさせてもらう
美嘉,あ、うん。……えと、ピアノ伴奏は？
マストレ,確認しながらやると言っただろう
美嘉,へっあ、あーーー。あーーー
マストレ,……
美嘉,あーー……。片手で伴奏やりながら、片耳で聴きながら、歌詞確認してる……
マストレ,集中を乱さないように
美嘉,はいっ。しかもこっちの様子もちゃんと見てる……
マストレ,さて。割とストレートなラブソングだな
美嘉,そうなんだよ……ですよね
マストレ,口調など気にするな
美嘉,あ、あはは
マストレ,P殿からのオーダーは、城ヶ崎の意外ではない別の一面と聞いた
美嘉,うん、言ってた
マストレ,つまり無理に創り上げる必要はないということだな。城ヶ崎のもっている魅力の中に、それはもうあるということらしい
美嘉,は、ぁ
マストレ,まずは思うままに歌ってみるか。音程は不安なしと妹から聞いている。好きにやってみてくれ
美嘉,はい
マストレ,よし。さて、歌ってみてまずどうだったか
美嘉,ん～……なんかちょっと違う気がする
マストレ,TOKIMEKIから変えようとしているのは分かるな
美嘉,ちょっと元気なさすぎ？
マストレ,しっとり歌おうとしすぎている感はある。ともすれば悲しそう、になりそうだ
美嘉,それはマズいね……悲恋モノじゃないんだから
マストレ,恋が良いものと思わせたい歌だな。その中でも我がままにも振る舞いたいというところが、城ヶ崎の魅力として押し出しやすいと思うが、どうかな
美嘉,えーと……うん、うん……あの、これ結構ムズくない？
マストレ,そうだな。だがそれが表現者だ。聴いた人すべてにココが伝わるようやっていくぞ
美嘉,うひ～…………よろしくお願いします！
マストレ,ではそれを踏まえてもう一度
美嘉,はいっ
P,……
マストレ,……
P,……
マストレ,ふむ。力が入りすぎだな
美嘉,あ、あははは★ギャラリー増えて緊張したかも？
マストレ,いまさらか？全体の方向性はそれでいいだろう。だが、対象が不明確だな
美嘉,対象？
マストレ,神話でもないから、一人で恋愛をするわけにも行かないだろう。となれば相手が要るわけだ
美嘉,うーんと……ファンを対象にする感じかな
マストレ,王道のやり方だ。逆に一人をイメージしてしまうやりかたもある。その方が具体性が明確になるな
美嘉,具体的な相手……
マストレ,試しに、P殿を相手にしてみるか？
美嘉,え、ちょ、ちょっと！それは……
マストレ,よく言うだろう、プロデューサーが一番最初のファンだと
美嘉,あ、あはは……ファンの一人としてね、あくまでも……
マストレ,都合が悪いなら別の誰かでも構わないが
美嘉,あ…………ううん、一回それでやってみる
マストレ,わかった
美嘉,プロデューサー。まだ、まだ完成にはほど遠いけど。いまだけ。いまだけ、プロデューサーを想って歌わせて。収録とかライブの時には、こんな事しないから。だから。届いて。…………
マストレ,よし
美嘉,あれ……？
マストレ,ん？ああ、P殿か。アウトロあたりで出ていったよ
美嘉,……そう、ですか。最後までは、聴いてくれたんだ……
マストレ,いままでの中では一番マシだな。力はこもりすぎだが、想いの込め方は強かった。さて。それだけ想いは込められるが、感情がコントロールできていない。言ってしまえば我武者羅だ。まずは城ヶ崎が表現したいものをフレーズごとに考え直して来い。その上で使える技術を学ばせる
美嘉,はい。……。この気持ちは伝わったのかな。プロデューサーは受け取ってくれたかな。少しは心を……動かせたかな。お疲れさま、プロデューサー！どう？今日の出来は！。ああ、いいライブだった。でしょ！アタシもパーフェクトだと思ったんだ！。あ、ねえ……。打ち上げ……どうする？
P,ん？ああ、俺は向こうのお偉いさんたちの方だな
美嘉,えー、そうなのー
P,まあ、またの機会にな。次の撮影は慣れたもんだろ。よろしくな。お疲れ。いまアガリか、気を付けて帰れよ。またよろしく頼むよ
スタッフ,美嘉さん撮影終了です。お疲れさまでした！
美嘉,お疲れさまでした、ありがとうございましたー！
カメラマン,じゃ、次の子スタンバイよろしくー
美嘉,……よし。ふぅ……
P,お疲れさま
美嘉,プロデューサー。お疲れさま、見ててくれたー？★
P,ん、まぁ最後の方な。ちょっと打合せはいっていたから
美嘉,えぇ～、もーっ
P,悪かったよ。とはいえ心配もしてなかったからな
美嘉,ん？
P,雑誌モデルの撮影なんて、手慣れたもんだろ
美嘉,まぁね。アイドルより長くやってるし
P,だから安心して任せられたわけだ
美嘉,……んー、もう一声
P,えー……持ってきた仕事、全部こなしてくれているのは感謝しかない、ありがとうな
美嘉,ふふっ。ま、いいでしょ
P,トレーナーさんとも少し話したけど、曲も順調だって？
美嘉,どうかな。音と歌詞はもう大丈夫って言われたけどね
P,じゃあ安心だな。この後はどうするんだ
美嘉,レッスンで事務所戻り。プロデューサーは？
P,俺も事務所だ。行くか？
美嘉,う、うんっ
P,じゃあ着替えたらロビーで
美嘉,おっけー★あ、レッスン終わったらさー、どこかご飯連れていってよ
P,んー？……まぁいいけど、値段はほどほどの場所にしてくれよ
美嘉,そんな、アタシが誘ったんだからアタシだすし
P,はは、俺に奢るのなんて10年早いだろ
美嘉,むっ……
P,それに一応の立場もあるしな。こう言う時は素直に
美嘉,……
P,ん、拗ねてるのか？まあ、そういってもまだ未成年じゃ
美嘉,そんなんじゃない！
P,おっと……どうした
美嘉,あっ、ご、ごめん……なさい……
P,……手、痛めてないよな
美嘉,ん……
P,悪い、癇に障ったな。ギャラで言えば美嘉の方が稼いでるかもな
美嘉,違う……そういうことじゃ、ないの……
P,……
美嘉,ごめん。ちょっとさ、CD収録近くなってナーバスになってるのかも、あはは
P,そうか……
美嘉,求められるレベルが高くなってきてるからね、多少の壁はぶつかるってもんじゃん？こういうの、いままでも超えてきたし、今回も大丈夫だよ
P,……
美嘉,ちょっとさ……今日はプロデューサー、先に行ってて
P,……わかった。気を付けて来いよ
美嘉,うん。何やってんのアタシ……フツーあんなに当たり散らす？。こんな面見せたって、好きになってくれるワケないのに……。なんであんなこと。なんで。なんで、プロデューサーの近くにいるのが辛いんだろう。……
加蓮,……か。美嘉
美嘉,ん……えぅっ
加蓮,うわ、姿勢悪く寝てるとなるやつ。久しぶりに見た
美嘉,…………ん
加蓮,こんな所で寝てると風邪ひくよー
美嘉,あー……加蓮、おはよ
加蓮,おはよ、じゃないよ
美嘉,ん……やだ、寝落ちてた？
加蓮,いつからかは知らないけど、マジ寝だったよ。夜寝てないの？
美嘉,あー……いや、単純に忙しくて、かな
加蓮,忙しいって
美嘉,ソロ曲の収録も近づいてきたから、仕事合間のレッスン増やしてるし……ふわぁ……
加蓮,根詰め過ぎだよ
美嘉,でもさ、やっぱり完成度上げたいじゃん？
加蓮,プロデューサーさんに言った？仕事多いって
美嘉,多いわけじゃないよ。ソロ出すならこれくらい増えるっしょ
加蓮,さらにレッスン増やしてるんでしょ。結局オーバーワークじゃん
美嘉,そうかも★ま、体調は大丈夫だよ
加蓮,体調は
美嘉,おっと……
加蓮,じゃあ余計なストレス抱え込んでるわけね
美嘉,……あはは
加蓮,プロデューサーさん関連？
美嘉,……
加蓮,進展してない……どころかこじれてきてるんじゃないの
美嘉,……まぁなんてゆーかさぁ？ガード固くてさぁ！
加蓮,その無理に笑うのやめてよ。痛々しいったらない
美嘉,け、結構シンラツだね……
加蓮,言う相手は選んでるよ
美嘉,…………ふぅ。……コクったところでダメだの一言で追い返される気しかしない……
加蓮,……はぁ……どこが好きなの？
美嘉,えっ、なに急に
加蓮,急じゃないよ。そんな対応されて、好きでいられる理由って何なの
美嘉,理由……
加蓮,顔がいいとか、声が素敵とか、背が高いとか
美嘉,んー、まぁどれもそれなり？
加蓮,優しくされたとか
美嘉,……そう思ったこともあった
加蓮,でもそれ、美嘉にだけに特別優しかったとか、そう言うんじゃないんでしょ
美嘉,うん。アタシだけに優しいわけじゃない
加蓮,おかしいよ。ちゃんとわかってるのに。特別じゃないって！それなのに、なんで！
美嘉,加蓮
加蓮,……
美嘉,それが分かったら、恋ってもっと簡単だよ
加蓮,……
美嘉,なんで加蓮が怒るのさ
加蓮,美嘉が怒らないからだよ……
美嘉,……怒ったんだよね
加蓮,え？
美嘉,いや、あれは八つ当たりかな
加蓮,それで……？
美嘉,それがさ、なにもないの
加蓮,なにも？
美嘉,なんにも。何もなかったみたいに
加蓮,……それはそれでなんかヤだ
美嘉,でしょ。子どもの駄々でしかなかったなんてさ、悔しいじゃん。……っても、その通りなのかもしれないけど
加蓮,……
美嘉,結局、たぶんそんなところ。どれだけわがまま言っても許してくれそうだし、でも仕事にはきちんと厳しい。アタシたちみたいな子どもじゃなくて、大人なところ。そんな人が身近にいればさ。アタシのこと見ててくれるならさ。意識しちゃっても、仕方ないと思わない？
加蓮,……伊達に恋愛相談やってるわけじゃないんだね
美嘉,ひどっ
加蓮,ふふっ…………大丈夫なんだね？
美嘉,……ん。無理そうだったらさ、またグチ聞いてよ
加蓮,わかった……ハンバーガーついでに聞いてあげる
美嘉,ついでかー★っていうか、バーガー目当てじゃないでしょ
加蓮,もちろん。じゃあ、しっかり食べて、寝て。元気な顔見せてよ
美嘉,おっけー。……ありがとね
加蓮,べっつにー。まぁ、やっぱりいろいろ気になるし……参考になればいいな、とか……
美嘉,……？えっ
加蓮,あーまってまって、いまの無し！
美嘉,いやいやいや、それは無理っしょー★マジで、マジで？
加蓮,もー、だから待ってって……
美嘉,やだー、顔赤い加蓮とかマジカワじゃん。これだけで男落ちるって
加蓮,うー
美嘉,信じていた。恋ってこういう、楽しいもの。切ないもの、苦しいもの。大切なもの。でもきちんと幸せなものなんだって。この時のアタシたちは信じていた。いや。信じたかった
マストレ,……うん。伸び悩んだな
美嘉,……
マストレ,技術ではなく表現の問題だな。歌詞の解釈に、そう間違いはないはずだが。直接的に言うと、城ヶ崎が歌っていない。歌詞を本心から思っていない
美嘉,……
マストレ,と、私が言うまでもなく感じてはいるようだな
美嘉,すいません
マストレ,謝られる理由はない。これは私の仕事だ。それより城ヶ崎は、自分との戦いだ。これは私のレッスンよりも過酷だぞ。やるべきことも、表現したいことも頭で理解しているのだろう。だがそれができないのは、心がついていっていないからだ
美嘉,心……
マストレ,分かりやすく言うなら。城ヶ崎、君は。この歌詞が好きじゃないんだ
美嘉,……！
マストレ,分かるだろう
美嘉,……
マストレ,それが城ヶ崎の経験から来るものなのか、それとも現在進行で経験していることなのかは知らない。だが、それを越えなければこの歌は歌えないと、私は見ている
美嘉,そうかもしれません……
マストレ,……少しゆっくり時間を取るといい。最近根を詰め過ぎたからな
美嘉,……
マストレ,今日は終了だ。……プライベートなことにはあまり口出ししないが……私で良ければ話を聞くことくらいはできる。と、言っておこう
美嘉,……ありがとうございます
マストレ,気にするな、とは言えないが……その歳で背負うにしては少々、荷が勝ちすぎるとも思う。確かにこれは仕事だ。だが仕事ばかりに根を詰めてもな、気晴らしは必要だよ
美嘉,でも……
マストレ,うん？
美嘉,……でもアタシには、これしかできないから
マストレ,そうか？城ヶ崎ができることはアイドルの中でも多い方だが
美嘉,自分のことじゃ……
マストレ,自分の……誰かのためにできること、ということか
美嘉,！いえっ、あの……すいません、失礼します
マストレ,あ、おいっ
P,あ
美嘉,え
P,……
美嘉,……
P,休憩だったか？
美嘉,……ごめん
P,おっと
マストレ,……
P,……あー、なにかありましたか
マストレ,まあなんだ。間が悪いというか、これ以上ないというか……
P,なんです
マストレ,いやぁ、なんでもない
P,……なんか言いたげですね
マストレ,それはP殿もではないか？
P,俺が？
マストレ,余計なことを言うなと、言いたげのようだ
P,……ハァ。美嘉、どうなんです
マストレ,ふむ……すべきことは本人も分かっている。だがそれは、彼女にとってとてつもなく高いハードルのようだ
P,このままじゃ歌えないと？
マストレ,結論を急がないでくれ。……そしてできるなら、もう少し彼女に寄り添ってあげてほしい
美嘉,……またミスった……プロデューサーに見られたくないところばかり見せちゃってる。こんなんじゃ……ん？。げっ……マジでー……。レッスン室にタオル忘れた……はぁ。もう明日で……。いや、汗すったタオル放置とかムリだし。さっと取って戻ろ。意識したくないけど、忍び足になるよねぇ……。部屋にはまだ……あ、ドア開けっぱなし。マストレさんもプロデューサーもいる？
マストレ,……そしてできるなら、もう少し彼女に寄り添ってあげてほしい
P,……
美嘉,いる……っていうか何の話を……
マストレ,城ヶ崎の想いに応えるとまでは言わないが
P,どう言うことです
マストレ,どうもこうも。P殿自身気づいていない訳じゃないんだろう
美嘉,これ……聞いてちゃまずいヤツじゃ
P,……知っていたんですか
マストレ,さっきのやり取りを見て気づかないという方が無理だろう
P,……。……ふぅ……まあ、気づいてはいました
美嘉,あ……
P,ですが、できません
美嘉,！
マストレ,P殿なら上手くやれると思うんだがな
P,そんな甲斐性はないですし……そう言うことじゃないんです。職業倫理とか大層なことは言いません。俺は、美嘉には応えられないんです
Pマストレ,！？
美嘉,やばっ
P,美嘉か！？おい！
美嘉,後ろでプロデューサーが呼んでいる。だからって、こんなの……どう振り向けって言うの……！。はっ、ハッ、はっ……！。プロデューサー、アタシの気持ち気づいて……。……はっ、はぁっ……はっ……。気づいていて……アタシに……。……はぁっ……はぁ……。はぁ…………。……。もう……。今日は帰ろう。正面玄関は……無理かな。裏口から帰れば誰もいないかも。うん、暗いし誰もいなさそう……。！
P,美嘉
美嘉,……
P,正面玄関はマストレさんに行ってもらっている
美嘉,…………そう。そっちのがマシ……
P,行ったら送ってもらうようにお願いしてある
美嘉,……
P,その前に、聞いてほしい
美嘉,……なにを？アタシがみじめにフラれるってことを！？
P,……
美嘉,……
P,わかっていたよ。一緒に帰ろうとするのも、ネイル見せに来たのも。いつも美嘉から声を掛けていたことも
美嘉,……分かってたの
P,ああ
美嘉,分かってて！
P,そうだ。仕事だけの関係に徹した。それが美嘉にバレても問題なかった
美嘉,……！
P,それで諦めてくれればと思っていたよ
美嘉,……もうやめてよ。これ以上みじめにさせないでよ……！
P,じゃあ、最後に
美嘉,……
P,レコーディングの予定日を伸ばす
美嘉,……
P,仕事が動いて、人が働いている以上、お蔵入りにはできない。だから、俺のできる限りレコーディングを遅らせる。それを最後に、担当を辞める
美嘉,…………え
P,こうなるかもしれないという気はしていた。そしてこうなった以上、もう無理だろ。俺も、美嘉も。俺にできることはない。気持ちに応えることも
美嘉,……無理って……なんで？。応えられないって、なんで？。プロデューサーを好きになっちゃいけない理由ってあるの！？
P,美嘉がアイドルだからだ。……まあ、そう割り切れるならスキャンダル何てこの世に出ないか。美嘉にはそんな面倒なことにならないで欲しい
美嘉,それで……諦めろって……？
P,そうだな
美嘉,だから、担当を外れるって？アタシの気持ちは？
P,……すまない。こんな状況でも、俺の一番の心配は。そんなんでCDの収録ができるか、なんだ
美嘉,……ぐ……うっ……。なんで……？。なんで……
P,マストレさん。すいませんが……
美嘉,なんで。担当をはずされたくなくて仕事こなしてきたのに。なんでこうなるの……！
P,本来ならちひろさんとかにお願いするべきことなんでしょうが
マストレ,気にするな。事情が事情だ
P,……お手数おかけします
マストレ,……乗ってくれ
美嘉,……
マストレ,では
P,お願いします
美嘉,マストレさんが車を走らせはじめる。プロデューサーの顔は見れなかった。……
マストレ,……すまない
美嘉,え……
マストレ,あの場でP殿に問い詰めるべきではなかった。軽々しく扱っていい話題じゃなかった
美嘉,……いえ……
マストレ,彼にも立場はあるが……そんなもので割り切ることはできまい。私のミスだ。私が
美嘉,プロデューサー……
マストレ,……
美嘉,……気づいていたんだね
マストレ,……
美嘉,ちゃんと……気づいていたんだ……
マストレ,……城ヶ崎？
美嘉,プロデューサーは、ちゃんとアタシを見ていた。アタシはフラれるより今のままがまだマシだからって、それに気づかないふりをした。アタシの理想じゃなかったけど、プロデューサーはいつも見ていてくれていた。裏切ったのはあの人じゃない、自分自身だ。言うなら言ってしまえばよかったんだ。言って、フラれて。せめてそうしていれば。ここまで惨めな気持ちにならなかったのに。私のこの恋は。告白もできないままに終わった
マストレ,到着だ
美嘉,……どうも
マストレ,……今回のことは私に責がある。トレーナーを替えるのであればちひろさんに
美嘉,ううん、大丈夫。……マストレさんの技術は……アタシに必要だから
マストレ,……
美嘉,別にね、今回のこともマストレさんに怒ってはいないよ。……ただ、自分が情けなくて
マストレ,……
美嘉,しばらく落ち込むかもしれないけど……大丈夫
マストレ,城ヶ崎……
美嘉,…………あ
マストレ,大丈夫だ
美嘉,……ぅ
マストレ,大丈夫
美嘉,うあ……。ああああぁ……！。っく、ひっ……ぐ、うあ、ああぁぁ……！
マストレ,……
美嘉,……
マストレ,……落ち着いたか
美嘉,……ん……
マストレ,私にもそういう経験くらいある。あまり大っぴらに言うことでもないが
美嘉,そうなの？
マストレ,1日目は動くのも嫌だったし、3日目まで食欲も回復しなかった
美嘉,……
マストレ,さすがに聖に心配かけたものだ
美嘉,……お姉さんがいたら、こんなかな
マストレ,ああ……姉歴は、私の方が長いものな
美嘉,だね……
マストレ,少し休め。いまは時間が必要だ
美嘉,……ん
マストレ,レッスンはいつでも再開できるようにしておく。休むなら連絡をくれ。私にじゃなくていい。それだけで安心する
美嘉,……うん。……ありがとう。お疲れさまです
マストレ,お疲れさま。……礼を言われる筋合いではないのに……。あんなにいい子だというのに……
美嘉,ただいま……。……あぁ、大丈夫。食べてきたから
母ヶ崎,美嘉？
美嘉,ごめん。……。……メイク落とし……ダメだ、なにもできる気しない。何か考えると。プロデューサーの言葉が浮かんでくるみたいで……。無理。このまま寝ていたい。ずっと。ずっと……。……。……朝。身体重い……。……。食べる気にならないのに、身体はご飯を食べたがる。……顔に膜貼ってるみたい。まずメイク落とそう……。っていうかシャワー浴びたいな……。……鏡。うわ、ひどい顔。せめてシートだけでも使っておけばよかった。この崩れ具合……枕どうなってる？。うわ……。っていうか制服もシワだらけじゃん……。……。……やめやめ、無理。……。カワイクないかも、いまのアタシ……その通りだなぁ。……。ん……お母さん、今日は……ちょっと休む。…………重くて。ん……。え……うん。……ありがと。……。嘘だってバレてんのかな……。家の音……。……敵わないなぁ。学校、ズル休みなんてしたことなかったな……。今日はレッスンもあるけど……。マストレさんはああ言っていた……でも、行けば多少は気がまぎれるかな。プロデューサーには……会いたくないなぁ。……ふぅ……。シャワー、気持ちよかった……。お母さんも特に深くは訊いてこなかったし。……心配はされてるんだろうな。ん？。……。……。……ふぅ。ん……？。……あーもー……。唯、あんた学校でしょ。あんまり。したけど……。……あのね…………ハァ……。……フラれただけ。昨日の今日な。……んだから勘弁してよ……。いや、そこは……。ちょっ……やめてよ。迷惑かけたいわけじゃないんだから。……ん。昨日適切に処置してくれた人がいるから……。時間はかかるかもだけど。あの、ちょっと。は！？。アタシも行くの！？。いや、さすがに無理だって……。……。……。ああもう、傷心だってのに！。髪乾かして、着替えて、移動で……事務所まで2時間くらいかかるか。もー、変な事しないでよ、ふたりとも……。お母さん。事務所行ってくる
母ヶ崎,あら。レッスンは行くの？
美嘉,うん。休んで少し楽になったし。ちょっとやらないといけないことが
母ヶ崎,体調は？
美嘉,今日はダンスとかじゃないから
母ヶ崎,そう？まだ元気なさそうだけど
美嘉,大丈夫。帰りは莉嘉と一緒にするよ
母ヶ崎,わかった。……痛み止めはいらないわね？
美嘉,あ、あははは
母ヶ崎,相談できることがあったら言ってね
美嘉,……うん。行ってきます
母ヶ崎,行ってらっしゃい
里奈,あ、美嘉ちゃんちょりーっす☆
美嘉,え…………里奈
里奈,んふふ。おはよー
美嘉,おはよう……え、原付でここまで？
里奈,えー、だって、シンパイだったぽよ？。ぐーぜん現場近かったし、原チャだったし、裏道使いながらすいーっとね
美嘉,……そう。え、事務所行くってのは？
里奈,え？そんなん言った？
美嘉,これから行くって
里奈,うん、来たケド？
美嘉,え……あ、アタシのとこに？
里奈,そーだよ。プロデューサーのとこいくとか、そんなより美嘉ちゃんの方が大事っしょ
美嘉,…………はぁ。なんだ、カチコミとか言ってたからてっきり……
里奈,それよりさ、まずは思いっきり遊ぽよ！カラオケ？ボウリング？ネズミーいっちゃう？
美嘉,……
里奈,唯っちもあとでごーりゅーぽよ
美嘉,……ふふっ。いまから千葉はキツイっしょ。カラオケいこ
里奈,りょーかーい
美嘉,あ、帰り莉嘉と一緒って言っちゃった
里奈,じゃー莉嘉ちゃんも呼んじゃおー！
美嘉,……そうだね。あ、ちょっとだけ待って。んーと……
マストレ,ちひろさん
千川ちひろ,マストレさん。お疲れさまです
マストレ,お疲れ。城ヶ崎美嘉から連絡はあったか？
ちひろ,いいえ？今日はレッスン入っていましたよね
マストレ,ああ。……連絡があったら教えてくれ
ちひろ,珍しいですね、マストレさんが直接そういうのを聞きに来るの
マストレ,まあな。ん……。……そうか。明日には出てくる気か……強いな。城ヶ崎は休みだ
ちひろ,そうですか。……直接トレーナーさんの方にっていうのも珍しいです。あ、こっちにも来ましたね
マストレ,……ちひろさん
ちひろ,はい
マストレ,頼みがある
美嘉,結局、カラオケではプロデューサーの事なんか話題にもしないで。ふたりはただ、一緒にいてくれた。莉嘉がついてからは、もう本当にいつも通りで。少しでも、少しでも。アタシが一人でいないように。放っておいてほしくても無理矢理にでも。一緒にいてくれた。はーー……。落ち込ませる暇がないくらいに引っ張ってくれる……。そういうときに駆けつけてくれる友人って言うのは……うん、嬉しいな。ん？
莉嘉,お姉ちゃん？
美嘉,どしたー
莉嘉,……あのね。どうしたのって、訊いていい？
美嘉,どう、って？
莉嘉,今日急にカラオケだったし、お姉ちゃん学校も、レッスンも休んだでしょ
美嘉,んー、まあね
莉嘉,カラオケでもノリ切れてなかったし……。唯ちゃんと里奈ちゃんもなんかお姉ちゃんに優しかった
美嘉,……よく見てるね
莉嘉,でも、お姉ちゃんが……その……
美嘉,うん。ね、ちょっとこっちきて
莉嘉,ん？。わっ
美嘉,……プロデューサーがね、担当外れるんだって
莉嘉,Pくんが、お姉ちゃんの担当じゃなくなるの？
美嘉,うん
莉嘉,それで、落ち込んでたの？
美嘉,……
莉嘉,それだけじゃない、よね
美嘉,敵わないなぁ、莉嘉には
莉嘉,…………
美嘉,お姉ちゃんさー……フラれちゃった
莉嘉,えっ！……Pくんに告ったの？
美嘉,ううん……告る前に、ダメだって言われた。なんとなくわかってたんだけどね
莉嘉,わかってた……？
美嘉,アイドルとプロデューサーだからムリ、応えることはできないって。そりゃそうだよね。歳の差だってあるし
莉嘉,……
美嘉,……莉嘉？
莉嘉,Pくんバカだよ
美嘉,……
莉嘉,こんなカッコいいお姉ちゃん振るなんて、絶対バカ
美嘉,……だよねー
莉嘉,それで、お姉ちゃんもバカ！
美嘉,アタシが？
莉嘉,だって、お姉ちゃん言ってないじゃん！
美嘉,……
莉嘉,告白してないよ！Pくんに言ってない！
美嘉,その前に諦めさせてたもんね……
莉嘉,だからなにさ！
美嘉,……え？
莉嘉,お姉ちゃんは……！。お姉ちゃんは！告白できなくたって、フラれたって諦めたりしない！
美嘉,……
莉嘉,それが！ひぐっ……アタシのお姉ちゃんなんだからぁ……！
美嘉,なんであんたが泣くのよ
莉嘉,わかんないよぉ……！
美嘉,加蓮も代わりに怒ってくれたな……。そうだよね。……諦めたくないよね……
莉嘉,お姉ちゃんは……スゴいんだから……
美嘉,うん……莉嘉……。ありがとう……明日は普通に、学校にもレッスンにもいくから……
莉嘉,うん……
美嘉,今日は一緒に寝よっか
莉嘉,うん……ま、枕とってくる
美嘉,ゆっくりでいいよ。……アンタのほうがパッションかもね。ふふっ。友達に、家族に……トレーナーさんに。いろんな人が、優しくしてくれるんだな。プロデューサーも、優しかったな……。それは……本当にアタシに優しかったのかな……。……あ。……待って。莉嘉。もうちょっと待ってね……。そしたら、カッコ悪いお姉ちゃん、見せないから……
P,お疲れさまです
ちひろ,お帰りなさい。皆レッスン始まってますよ
P,……美嘉は、レッスンに来ているんですね
ちひろ,ええ。ちょっと、疲れたような雰囲気はしていましたが
P,そうですか……
ちひろ,昨日は休んでいましたし。何か御存じなんですか？
P,……いいえ
ちひろ,もう。プロデューサーさんは、嘘が下手です
P,……はぁ……察していただけると
ちひろ,仕方ないですね
P,時間が解決する類のことだと思いますので。ちひろさん
ちひろ,はい
P,異動願いです。普通こんなの出しませんが、事情が事情なんで。聞き取りやらなんやらありますが、受理されるでしょう
ちひろ,……本当にいいんですか
P,察していただけると、と
ちひろ,察したうえで、私が何をするかまでは自由ですよ
P,……
ちひろ,これを受け取る前に、聞いておきたいことがあるんですが……いいですか？
P,ダメだといったら、受け取らない気ですか
ちひろ,とんでもない、ちゃんと受けとります。でも、納得はしないでしょう
P,わかりました……どうぞ
ちひろ,では。美嘉ちゃんとの関係です
P,……別に何もありませんよ
ちひろ,そうでしょう。プロデューサーさんがそう言う線引きをしているのは分かります。これでいいんですか、ということです
P,いいもなにも……待ってください、何を知っているんです
ちひろ,何も知らないから聞いているんです。……まあ、状況だけはいろいろ揃っていますが
P,状況？
ちひろ,美嘉ちゃんのレッスンお休み、レコーディングの延期……あと、マストレさんの勤退とか
P,……
ちひろ,何かあったと思うには十分じゃないでしょうか
