鬼瓦慎吾……呉羽ＦＣ,ファンクラブ
鬼瓦,なんだこのＶＲみたいなものは……？
山田,これは任意の物質を透視するゴーグル、クリーンネスだ。例えばこのマイクに向かってコンクリートと言えば、コンクリートだけが透けて見える
鮫島,そんなことが……
山田,疑っているようだな。そうだな……タオル
不動,な、なんだ……？俺の股間を見やがって……
山田,不動、お前は陰茎の左側にほくろがあるな
不動,？！
山田,図星だな
鬼瓦,そ、そんなのさっき見ただけだろ！
山田,なら少しだけお前に貸してやろう
鬼瓦,？！
山田,どうだ？俺のあられもない姿が見えるはずだ
鮫島,ほ、本当か？
鬼瓦,あ、ああ……。見たくもねえもんがはっきりとな……
山田,これがあれば、いつでもどこでもあいつの裸を見ることができる。どうだ？すばらしいとは思わんか？
鬼瓦,た、頼む！売ってくれ！いくらだろうと構わん！こんなすばらしいものは他にない！
鮫島,僕も買うぞ！
不動,俺もだ！いくら出せばいい？！
山田,１億だ
鬼瓦,どひっ？！
鮫島,い、１億だと？！
不動,無茶だ！高すぎる！
山田,好きな子の裸をいつでも見られるなら、１億なんか安いもんだ。俺はケモナーだが、もしメスケモまみれの教室でこんな代物を使えるなら１０億だって惜しくない
鬼瓦,く、くそ……！足元見やがって……！
鮫島,僕らにそんな金がないことくらい分かるだろ……！
山田,サラリーマンの平均生涯賃金は退職金を含めておよそ２億７千万円。１億支払えば残りは１億７千万円。つまり６割ほど残る。お前らが今後一切の食事を腹６分目で我慢すれば、捻出できる金額というわけだ
不動,くそう……絶対口車に乗せられているというのは分かっているのに……分かっているのに……！
鬼瓦,さっき１４０万払う契約を結んじまったせいで変な勢いがついてしまっている……！
山田,とにかくサインだけ済ませて、１週間後に返却してくれても構わない。まあ、１度使ったら絶対に手放せないだろうがな
鮫島,やり方が麻薬密売人と同じじゃないか……！
山田,さてどうする？これをつけて皆でウノなんかしたら、さぞ楽しいだろうな
鬼瓦,……売ってくれ！
鮫島,僕もだ！
不動,１億ぐらいどうだってんだ！
山田,よし契約成立だ。これでいつでも呉羽の裸を楽しめるぞ
鬼瓦,竹垣！タオル！///
鮫島,す、すごい！本当に女湯が透けて見えるぞ！///
不動,あれ……でも呉羽さんがいない……。もう上がっちゃったのか……？
山田,結構時間が経ったからな。部屋に戻ってからいくらでも堪能するといい。もし故障したとしても心配するな。俺が死ぬまでは無料で修理してやる
夕子,なにやってんだてめえ……
鬼瓦,
鮫島,
不動,
山田,
夕子,てめえだよオイ……。部屋に居ねえからまさかと思ってきてみたら……。時間ずらすために見張っておくとか言いながら、なんで風呂で商売してんだよ……
山田,ゆ、夕子……。ここは男湯だぞ……？
夕子,知ってるよ……。おい、質問に答えろよ。なんで商売してんだって訊いてんだろ……？
山田,……
夕子,なに売ってたんだ……？そのゴーグルか……？
山田,……
夕子,他人の裸見るためのゴーグルだろ？そうなんだろ？
山田,……
夕子,鬼瓦、鮫島、不動……。どうなんだ……？
鬼瓦,……
鮫島,……
不動,……
夕子,どうせこいつに誘惑されたんだろ……？今正直に話せばボディーブロー１発で今回のことは忘れてやる……
鬼瓦,裸見るためのゴーグルです
鮫島,１億円で買わないかと持ち掛けられました
不動,裸見たさに契約しちゃいました
夕子,オラッ！
鬼瓦,うぅっ！
鮫島,苦しっ！
不動,ごめんなさいっ！
山田,
夕子,金欲しさに幼馴染を売るとは……。堕ちたもんだな……
山田,こ、こいつらが嘘をついてるだけだ……。俺はそういったゴーグルを作れと脅されただけで……
夕子,金がねーのにこんな豪華な温泉旅行を楽しんでる時点で怪しいとは思ってたんだ……。クラスメートにアコギな商売しやがって……
山田,聞いてくれ……！俺はお前の代わりにわざと罰ゲームだって受けたじゃないか……！
夕子,自分の信頼度を上げるためにな。だけどあたしはあんたを、これっぽっちも信頼してない
りつこ,自分ら顔真っ青やけど大丈夫か？腹でも痛いんか？
鬼瓦,いや……大丈夫だ……
鮫島,お気になさらず……
はるか,いや、汗も尋常じゃないじゃん……。あ、ウノ
不動,ちょっと長湯しすぎただけだよ……
りつこ,それにしても夕子と山田君はどこ行ったんや？せっかく皆でウノしよう言うてんのに……
はるか,仲が悪いようで案外仲良いからね、あの二人。外をブラブラしてんじゃないの？
鬼瓦,いや……それはない……
鮫島,そう見えて実は最悪な仲なんだ……
りつこ,なはは！呉羽ＦＣは必死やな！
不動,今必死なのは山田だろうな……
