※ショートショート集です。主要キャラは第六駆逐隊,特に電ちゃん
筑摩,まさに利根姉さんですね
利根,もちろん実際の砲火を交えた戦闘でも、存在感を発揮できねばな。これももちろん後方で活躍する者達をどうこう言うわけではないぞ？。だが、吾輩は巡洋艦じゃ。ならば戦場の前線で活躍できるようにしなければのう。具体的には、あの空母棲姫を鎧袖一触するくらいではありたいのじゃ！
筑摩,まさに利根姉さんですね
暁,筑摩さんの中で利根さんはどうなっているの！？
妙高,私には荷が重すぎます
利根,なぜじゃ！？妙高ならこれくらい当然かと思ったのじゃが
妙高,これ以上私にどうしろというのですか！？
筑摩,まさに利根姉さんですね！
電,そこでそのセリフはダメなのです！？
利根,おかしいのう……なにがいけなかったのじゃろうか
暁,いろいろあり過ぎて、一概にこれとは言えないわね
響,敗因はこの私。利根さん達は最高のプレイをした
雷,はいはい
響,雷と暁が最近冷たい……
暁,あーもう、落ち込んじゃダメでしょ、ほら
電,響ちゃん、元気を出してほしいのです
響,……すぱしーば
利根,ふふ……仲が良いのう、おぬしら
筑摩,本当、微笑ましいですね
響,自慢の姉と妹達だよ。私のボケにも呆れずに付き合ってくれる
暁,一言余計よ
電,利根さん。今朝も言ったけど、利根さんは今でもかっこいいのです
利根,電？
電,筑摩さんも、利根さんのことを尊敬しているのです。それは、利根さんがお姉さんだからだけじゃないと思うの。利根さんが立派なお姉さんだから、筑摩さんは利根さんを尊敬していると、電は思うんです
雷,そうよね。もちろん努力は大切だけど、なにも無理をすることはないと雷は思うわ
暁,私も、阿武隈さんや熊野さんは見習っているけど、暁はあくまで暁だもの。利根さんだってそうじゃないかしら
響,そうだね。自分を信じること。それがなにより大切なんじゃないかな
利根,お前たち……別に吾輩は自信を無くしていたわけではないのだがな。だが、多少方向性を見失っていたかもしれんな。礼を言うぞ。暁、響、雷、電よ。そして筑摩もな。すまんな、妙なことに付き合わせてしまって
筑摩,いえ。私も楽しかったですよ姉さん、暁ちゃん達もね
暁,まあ、元はと言えば暁達にも若干責任はあるし
利根,いやいや、そんなことはないぞ。吾輩も勉強になった。これからも同じ艦隊の仲間として、よろしく頼むぞ
筑摩,私も、利根姉さん共々よろしくお願いしますね
電,はい、こちらこそよろしくお願いします。でも憧れかぁ……電もなんとなく分かる気がするのです。……。第一水雷戦隊、電！旗艦先頭出撃します！
深雪,おーい電、遊びに来たぜ！
初霜,深雪さん、ちゃんとノックはしないと駄目ですよ！
電,あ
深雪,おお、電かっこいいな！
初霜,阿武隈さんの真似ですか？ふふっ、電さん可愛いです
電,わ、忘れてくださいなのですーっ！
赤城,敵部隊は必ず出てくるはず……みなさん、警戒を怠らないでください
蒼龍,私と赤城さん、そして天城さんに空は任せてください！他の方達は潜水艦を重点として警戒をお願いします！
阿武隈,第二艦隊、阿武隈了解しました！
電,なのです！
天城,……ふう。やはり緊張します
蒼龍,天城さん。あれだけ訓練はしたでしょう？大丈夫です。訓練通り、行きましょう
天城,は、はい……頑張ります！
赤城,さて。私達も天城さんに恥ずかしいところを見せてはいられませんね
蒼龍,そうですね。気を緩めずに行きましょう！
赤城,第二航空隊、発艦！警戒をお願いします！
蒼龍,対空見張りも厳として！よろしくね！
天城,天城、参ります！
赤城,烈風、二十機無事発艦完了です！
蒼龍,零式艦戦５２型熟練
天城,九六式艦戦……眩しい翼
赤城,……はい？
蒼龍,え？
阿武隈,え？
電,なのです？
天城,あっ、すみません……自分の艦載機なのに見惚れちゃいました。九六式艦戦、全機発艦完了です
蒼龍,いやいやいや
阿武隈,あ、あの……なんで九六式艦戦？
○零式艦戦５２型,熟練
天城,え……だって九六式艦戦と九九艦爆はとても優れた艦載機だって
蒼龍,どこからそんな情報が！？
赤城,いやまあ……たしかに優れた名機ではありますが。さすがに時代の流れや航空機の進歩というものがありまして、今なお一線級で使えるかと言うと……
天城,そうなのですか！？瑞鳳さんからは、毎日のように九六式艦戦や九九艦爆の素晴らしさについて語ってくれたのですが
蒼龍,瑞鳳ーっ！？
瑞鳳,彗星は彗星で悪くないんだけれど、整備大変なのよー、整備が。やっぱり九九艦爆の脚は可愛いわよね……うっとりしちゃう。ああ、もう早く天城さん帰ってこないかなぁ。艦載機について語り合いたいなあ。あの子私の話にも興味持って聞いてくれるし。艦載機のことを考えると、嬉しすぎて気持ちが抑えられない！ああもう今すぐ叫びたいよ！
瑞鶴,……瑞鳳さんなにやっているのかしら？
祥鳳,たぶん、いつもの艦載機についての妄想かと……
天城,そ、そのすみません……天城、勉強不足でした
赤城,え、えっと。気を落とさないでください。気づけなかった私達にも責任があります
蒼龍,なんていうか凄く間の抜けた話よねえ……本当に失態だわ
阿武隈,今のところ、敵影を見ませんね
赤城,そうですか、ありがとうございます。引き続き警戒をお願いします
阿武隈,分かりましたっ！みんな、よろしくね！
電,頑張るのです！
響,やるさ
若葉,任せろ。大丈夫だ
初霜,警戒は怠りません！
榛名,はい、榛名も大丈夫です！
阿武隈,赤城さん……今回は水鬼級の深海棲艦との接触する可能性があると聞きましたけど
赤城,その通りです。事前に皆さんに説明があった通り、未確認の深海棲艦の目撃証言がありました。初めて確認する個体のため、断定はできないものの、軽巡……そして水鬼並の戦力を持つと予想されます
阿武隈,はい、それは何度も確認しました……けど
赤城,ええ。不可解なことに、その深海棲艦による被害情報は一切上がってません
電,……不思議ですね
榛名,そのようなことがあるのでしょうか？
赤城,分かりません……ですが、鎮守府近海に深海棲艦、それも水鬼がいるとなっては、放置するわけにはいかないでしょう
蒼龍,藪蛇やぶへび
阿武隈,元々敵意がないとしたら、怒らせないようにしたいですね
電,電もできるなら戦いたくないけど……
若葉,だが、危険でないと確認しないわけにはいかない
初霜,なにかあってからでは、遅いですからね
阿武隈,はい、分かってます
電,分かってるのです。危機は未然に防ぐのです
赤城,その通りです。さて、皆さん。引き続き先に進みましょう
響,……水鬼、か
若葉,響、どうした？
響,最近の深海棲艦は……皆に似ている個体がいると聞いているんだ
若葉,そうだな……それがなにか……？いや、そうか
響,分かっているさ。あれは私達ではない。だけど……。もし、電や暁。雷……潮、阿武隈さんや若葉達にそっくりな相手がいたとして……私は、それを撃てるのか？
若葉,……無理そうか？
響,分からない……
若葉,……無理はするな。ダメそうだったら、若葉に任せろ
響,……若葉
若葉,響が自分を殺してまで、無理に戦う必要はない。若葉は大丈夫だ
響,……いや。若葉に戦わせて、私が戦わないわけにはいかないさ。まだ迷いはある。だけど覚悟は決めた。若葉達を守るためなら、似た相手だろうと迷わず撃つさ
若葉,そうか。響は強いな
響,そんなことない。私は弱い……ただ、悪運が強くて生き延びただけだ
若葉,卑下するな。悪運だろうとなんだろうと、響が若葉達の中で一番最後まで生きていたのは、誇るべきことだ
響,若葉。その……спасибоありがとう
若葉,大したことじゃない
蒼龍,敵影！５時方向に発見しました！今回の目標と思われる対象を発見！
赤城,さすが蒼龍さん、素晴らしい索敵ですね。数は？
蒼龍,問題の水鬼と思われる個体、あと駆逐棲姫一体、普通の駆逐が四体です！。ですが、その……
阿武隈,どうかしたんですか？
蒼龍,えっと軽巡水鬼？が駆逐達にじゃれつかれてます……たぶん
電,ふえ？
赤城,そんなまさか
若葉,ありえないだろう
蒼龍,で、ですよねえ……疲れてるのかな？
駆逐イ級,イー♪
駆逐ロ級,ロ？
駆逐ハ級,ハー♪
駆逐ニ級,二ー♪
軽巡水鬼,ミンナ重イデスゥ！オ願イダカラオリテー！
駆逐棲姫,アイカワラズ……人気者ダナ
赤城,本当にじゃれつかれてるー！？
蒼龍,あはは……本当だったんだ
軽巡水鬼,モー！ダメデショ、チャントシッカリシナイト！
駆逐イ級,……イー
駆逐ロ級,ロ？
駆逐ハ級,ハ……
駆逐ニ級,二ー
駆逐棲姫,ダッテ遊ンデホシインダモン……ダッテ
軽巡水鬼,イヤ、通訳シナクテイイカラ。チャント分カッテマスカラ
駆逐棲姫,ウン、知ッテル
軽巡水鬼,ナラナンデ通訳シタノ！？
駆逐棲姫,反応ガオモシロイカラ……テヘ♪
軽巡水鬼,駆逐棲姫チャンノ、イジワルー！？
榛名,なんだか楽しそうですね！
赤城,あれは……楽しそうというより、遊ばれているような気がしますけど
天城,でも仲良さそうです、ふふっ
響,あれは……！？
阿武隈,響ちゃん！？いきなり近づいたらあぶな――
響,春雨！春雨じゃないか！？どうしてここに！？鎮守府にいるはずじゃないのか！？
駆逐棲姫,エエッ！？ナンダオマエハ急ニ！？
阿武隈,って何やってるのー！？
電,響ちゃん本当になにやってるのです……
軽巡水鬼,ア、アナタ達ナニシニ来タンデスカ！？
駆逐イ級,イー！
駆逐ロ級,ロ？
駆逐ハ級,ハ！
駆逐ニ級,二ー！？
軽巡水鬼,コ、コノ子タチヲイジメルナラ、アタシガ相手デス！カカッテキテクダサイ！
赤城,ふむ……どうやら話の通じる相手みたいですね。落ち着いてください。私達は貴方達と戦いに来たわけではありません
軽巡水鬼,……ソウナノ？
駆逐棲姫,オイバカ。初対面ノ相手ヲ、簡単ニ信ジルヤツガドコニイル
軽巡水鬼,バカ！？アタシバカジャアリマセン！
駆逐棲姫,バカニバカト言ッテ、ナニガ悪イコノバカ
軽巡水鬼,マタ言ッター！三回モバカッテ言ッター！
駆逐棲姫,バカガコロット騙サレナイヨウニ、言ッテヤッテルンダ。ホイホイ人ヲ信ジル単純バカ
軽巡水鬼,ウワアアアアァン！？ヒドイーッ！
赤城,あ、分かりました。この子達、たぶん悪いことできんわ
蒼龍,赤城さーん、口調変わってますよ
赤城,すみません、いろいろあり過ぎてつい
軽巡水鬼,ツマリ……アタシ達ガ敵ナノカ、確認シニキタノ？
阿武隈,はい、その通りです。危険な相手なら倒さないといけないけど、そうじゃないなら戦う理由はありませんから
電,阿武隈さんの言う通りなのです
赤城,ですが、まさかここまで最初から敵意がない深海棲艦は初めて見ました。あ、いえ敵意がないのは良い事なのですが
榛名,ええ、榛名もびっくりしました
軽巡水鬼,ソッカ……ヨカッタデス。アタシ達モ、必要ナケレバ戦オウトハ思イマセンシ。来テクレタノガ、貴方達ミタイナイイ艦娘サンデヨカッタデス
駆逐棲姫,ヨカッタナ、コイツラガアンタト同ジヨウナ単純ナヤツラデ
軽巡水鬼,駆逐棲鬼チャンモ、心配シテクレテアリガトウネ。エヘヘ
駆逐棲姫,……バカ言ウナ。ダレガオマエノ心配ナンテスルカ
軽巡水鬼,ソウダ！ミンナヲ紹介シナイト！
駆逐棲姫,マタボケタコトヲ……
軽巡水鬼,自己紹介ハ、大切ジャナイデスカ。ネッ？
天城,なんか本当に深海棲艦らしくないですね……
初霜,ええ、私もそう思えてきました……なんか別の存在じゃないかって
駆逐棲姫,シカシ、ドウヤッテ自己紹介スル気ダ？コイツラ人間ノ言葉、シャベレナイダロ？
軽巡水鬼,ソンナコトモアロウカト、ミンナニ字ヲ教エテキタジャナイデスカ！。ミンナ、自分ノ名前、憶エテクレタカナ？書イテミテ？
駆逐イ級,イ！
駆逐ロ級,ロ？
駆逐ハ級,ハ！
駆逐ニ級,二！
軽巡水鬼,ミンナスゴイ！ヨク書ケタネ！エライエライ
初霜,深海棲艦って文字書けるんですね……
赤城,大本営が知ったらびっくりするでしょうね
阿武隈,なにアホなこと言ってるんだと、思われる気もします
駆逐イ級,イー♪
駆逐ロ級,ロ？
駆逐ハ級,ハー♪
駆逐ニ級,二♪
阿武隈,……まるで小学校の先生みたいです
赤城,ですねえ……なんかもう警戒しなくていいんじゃないかって思えてきました
蒼龍,ですよねー
電,電もそう思うのです
響,……似てる
軽巡水鬼,……響チャン？ドウシタノ？
響,……いや、なんでもないよ。戦わないで済むなら、どうでも良い事さ
阿武隈,でも、良かったです。戦わずに済むなら、それがなりよりですから
軽巡水鬼,エヘヘ……アタシモデス
駆逐棲姫,フン……阿武隈トイッタカ？ズイブント、間の抜ヌケタ雰囲気シテルナ
電,む
初霜,むむ
若葉,は？
響,……今の言葉は聞き捨てならないね
駆逐棲姫,本当ノコトヲ、言ッタマデダ
軽巡水鬼,ウワアアアアア！？ゴメンナサイ！駆逐棲姫チャン、ナニイッテルノ！？
駆逐棲姫,オマエノヨウナ上官ヲ持ツ下ハ、サゾカシ苦労シテイルダロウナ。ゴ苦労ナコトダ
若葉,……こっちこそ。まさか水鬼級の深海棲艦が、ここまでボケボケな奴だとは思わなかったぞ
駆逐棲姫,……ア？
駆逐イ級,イー！
駆逐ロ級,ロ？
駆逐ハ級,ハー！
駆逐ニ級,二イイイイイイイィ！
阿武隈,うわああああああぁ！？ごめんなさいごめんなさい！謝りますから怒らないでぇ！？
榛名,お二人とも落ち着いてください！
電,阿武隈さんは間が抜けてなんていないのです！
初霜,そうです！普段からとても優しい方で、自然と周りを和ませる人なんです！
電,電達に気軽に接してくれるお陰で、みんな明るくなれるのです！
阿武隈,電ちゃん、初霜ちゃん……
響,お陰で一部の子からは懐かれ過ぎで、苦労してるけどね
若葉,お前が言うな
電,訓練の時はたまに厳しいけど、親身になってできるまで丁寧に教えてくれるのです！
初霜,私達の練度が高く保てているのも、阿武隈さんがあってのものなんです！
響,そのせいで一部、阿武隈さんをわざと困らせて、マンツーマンの居残り練習してもらおうとする子もいるけどね
若葉,お前が言うな
電,艦隊の指揮を執るときも、的確で分かりやすい指示で、電達をきちんとまとめてくれるのです！
初霜,護衛任務で高い成功率を保てているのも、阿武隈さんのお陰なんですから！
響,任務や実戦ではちゃんとするけど、どうでも良い時にわざと指示に従わなくて、かまってもらおうとする子もいるけどね
若葉,お前が言うな
阿武隈,響ちゃーんっ！？
駆逐棲姫,ハッ、上等ダ！オマエラト私達！ドチラガヨリ優レタ水雷戦隊カ、比ベテヤロウジャナイカ！。コイツノ教導ガドレホドカ見セテヤルヨ！
駆逐イ級,イ！
響,望むところさ
阿武隈,望んじゃダメです！
軽巡水鬼,ソノ通リデス！ケンカシチャダメ！
榛名,ああ、榛名どうすれば……
赤城,深海棲艦も教導とかするんですね
蒼龍,え、ツッコムところそこですか？
赤城,それにしても……いい天気ですね
蒼龍,そうですね、お腹空きましたねー
天城,あ、おにぎり食べますか？提督から消費していいと戦闘糧食を頂いてますから
蒼龍,やったあ！食べよ食べよ
赤城,放っておいて大丈夫でしょうか？
蒼龍,お腹空いたら、おにぎりに気づいてこっち来ますって
赤城,それもそうですね
天城,天城、お茶淹れますね
阿武隈,みなさん、あたしの指示に従ってください！ううー、従ってくださーい！
提督,……は？軽巡水鬼と第一水雷戦隊で合同演習する許可をくれ？え、なんで？
若葉,あの駆逐棲姫の鼻を明かすためだ。阿武隈さんの教導がどれ程か、目に物を見せてやる
提督,ごめんちっとも意味が分からん
電,司令官、ごめんなさいなのです……
響,……正直反省してる
若葉,しかし軽巡水鬼……いったい何者なんだ
初霜,さっぱり見当がつきません。あの方もかつて沈んだ艦の思念体なのでしょうか
電,予想もつかないのです
響,……え？
軽巡水鬼,髪ノ再セット完了デス！
駆逐棲姫,駆逐達ニ完全ニ崩サレテタモンナ
駆逐イ級,イ～♪
深雪,あー、退屈だなぁ。今日は訓練もないし、体動かしたいぜ
電,深雪ちゃんはいつも元気なのです
初霜,あまり無理しちゃダメですよ？いつもあんなに訓練しているんですから、体を休めるのも大切です
深雪,ちぇー。誰か強い奴でも出てきてくれないかな……お、言ってるそばから
阿武隈,あ、深雪ちゃん、こんにち――
深雪,二人とも！攻撃目標発見！直ちに攻撃するぜ！
阿武隈,えええええっ！？何事！？
電,だ、ダメなのです！？
初霜,そうです！
深雪,電、初霜！奴にジェット……ジェット……えーと、電？なんだっけ？
電,なにがなのです？
深雪,ほら、あれだよあれ！ジェットで始まる、三人で攻撃する奴！知ってるだろ？
電,知らないのです
深雪,えー、使えねえなあ。初霜は？
初霜,私も知りません
深雪,なんだよ、もー。こうなったら……ジェットなんとかを仕掛けるぞ！
阿武隈,ぐだぐだ過ぎぃ！？
深雪,二人とも、深雪様に続けー！
電,……
初霜,……
深雪,……ってついて来てねえ！？なんて薄情な奴らだ！
初霜,いきなり、普段世話になってる人に攻撃する方が薄情かと思うわ
深雪,本気で攻撃するわけないだろ！？ノリだよノリ！
初霜,……あ、ごめんなさい。気づきませんでした
深雪,天然か！くそっ、こうなったら私一人でも――。必殺――深雪スペシャールゥゥゥゥゥ！
阿武隈,えい
深雪,お……？頭を抑えられた？てい、やっ！
電,深雪ちゃんの腕が阿武隈さんに届いてないのです
初霜,リーチ差がありますからね
深雪,くっ……まさか深雪スペシャルがこんな形で封じられるなんて。なら仕方ない……こうなったら深雪スペシャルだ！
電,さっきと同じ技名なのです！？
阿武隈,そこはせめてmark2とか、弐式とかにするべきだと思う
朝霜,……面白そうなことやってんな。深雪、助太刀するぜぇ！一水戦阿武隈、かくご～！
阿武隈,はいいいいっ！？
朝霜,ちっ、かわされたか。まっ、これくらいやってくれないと困るからね
阿武隈,あ、朝霜ちゃん？いきなり何するんです！？
朝霜,問答むよー！いざ勝負！いざ鎌倉！
阿武隈,鎌倉に何の意味が！？
朝霜,てやーっ！
電,踏み込みが――
朝霜,へ？
電,甘いのです！適当
朝霜,なっ！？あたいの一撃が、同じ駆逐にこんな簡単に止められた！？けど――
清霜,阿武隈さんもらったーっ！
阿武隈,はい、お疲れ様
清霜,あうっ！？えー、こんなあっさり捕まったーっ！？なんで、どうしてーっ！？
阿武隈,清霜ちゃん、隠れているの丸見え。隠れてたドアからそれ出てたよ
清霜,え？
朝霜,清霜、おめーなにアホ毛見せてんだよーっ！そんなの切ってしまえよ！
清霜,朝霜酷いーっ！？朝霜だってアホ毛出してんじゃん！……ところでアホ毛ってなに？
朝霜,知らないで反論してたのかよおめーっ！？
電,どうやってそれ動かしているのか、すごく気になるのです……
阿武隈,思わず触りたくなる……あ、あたしの前髪触りたがる提督の気持ち、少し分かったような
深雪,って、深雪様の深雪スペシャルが披露できなかったじゃんよー！
初霜,さっき見せませんでしたか？
深雪,あ、あれは未完成だったんだよ！二回目は完成版だったんだ！
初霜,未完成のものを実戦で使うのは、あまり良くありませんよ？実戦で必要なのは枯れた技術です
深雪,だから天然か！？
阿武隈,あはは、三人ともちょっとびっくりしたよ。けど、他の人にはあんまりこういうことしないようにね
深雪,へーい！阿武隈さんは話が分かるぜ
朝霜,分かってるよ。こーいうのは、ちゃんと冗談通じる人を選んでやるって
清霜,阿武隈さんを倒せば、戦艦になれるって朝霜が言ってましたから、阿武隈さん以外にはやりません！
朝霜,ちょ、清霜それ言うな！？
阿武隈,朝霜ちゃん？それどういうことかな？
朝霜,いやまあ、阿武隈さんは練度高いし、唯一カッコカリしてる人だし、倒したら経験値がっぽがっぽって清霜に冗談で言ったら……
電,信じちゃったのです？
阿武隈,もう……あんまりそういう嘘言っちゃダメだよ？勘違いさせたら、ちゃんと正しいことを教えてあげないと
朝霜,へーい……
阿武隈,普段はともかく、こういう時はちゃんと返事する
朝霜,はい、ごめんなさい
阿武隈,うん、えらいえらい
清霜,嘘だったの……戦艦になれないのかー。簡単にはなれないよね、仕方ないか。阿武隈さん、清霜もごめんね
阿武隈,大丈夫、もう怒ってないからね
清霜,ありがとう！清霜、これからも戦艦になれるように頑張るね！えいおー！
初霜,ふふ、高い目標があるっていいことですね
電,なのです。電も負けないように頑張るのです
朝霜,しかし、やっぱり艦娘になってからの練度もバカにならねーなぁ。まさか電に止められるなんてよ
電,ところで深雪ちゃん、深雪スペシャルってなんなのです？
深雪,ふっ、良く訊いてくれたな電！深雪スペシャルとは深雪様のみが使える、究極の必殺技さ！
電,きゅ、究極の必殺技……！？
深雪,ああ。深雪スペシャルとは、特定の技じゃない。戦闘にはその局面によって、最適な行動が異なるのは分かるだろ？
電,はい
深雪,深雪スペシャルはその局面で一番有効的な手段を瞬時に選び、そのまま相手を一撃で倒す……文字通り必殺技さ
電,す、すごいのです……
阿武隈,さっきあっさり防がれたような……いや、やめよう。深雪ちゃんの夢を壊すのは忍びないし
深雪,だから、深雪スペシャルは特定の形を取らない。そして百戦錬磨の深雪様にしか使えない技なんだ！
電,……あれ？そう言えば、加古さんも良く加古スペシャルって技を使ってるけど
深雪,ああ……あれも深雪スペシャルと同様の技さ。同じ高みにいる私には分かる……あれも加古さんだから使える、究極の必殺技なんだぜ
電,か、加古さんもそんなに凄かったんですね。あ、加古さんなのです！
加古,ん？電、どうしたんだ？
電,加古さんって凄かったのです！加古スペシャルはとっても強いのです！
加古,加古スペシャル……？あー、あれか？
電,なのです！加古さんがたまに叫んでるあれなのです
加古,ははっ、ぶっちゃけノリで叫んでるだけで、意味なんてまったくないんだけどなー。そう褒められると悪い気はしないぜ！
電,意味ないのです！？。深雪ちゃんの嘘つきなのですー！
深雪,がーん！？いきなりなんだ！？
阿賀野,電ちゃん今日もかわいいー！
電,わぷっ！？い、いきなりなんなのです！？
提督,……
阿賀野,髪も肌も相変わらずすべすべー！すごくかわいいんだけど！？ねえねえ電ちゃん、阿賀野の妹にならない？
電,無茶言わないでほしいのです！？
矢矧,こーら阿賀野姉。あんまり電ちゃん困らせないの
阿賀野,えー？もっと電ちゃんとイチャイチャしたーい
矢矧,あのねえ……それより電ちゃんになにか用事があるんじゃないの？電ちゃんは阿賀野姉と違って忙しいのよ
阿賀野,ちょっと矢矧ぃ？お姉ちゃんを暇人みたいに言わないでくれる？
矢矧,あら？この前掃除を妹に押し付けたのはどこの姉でしたっけ？
阿賀野,うぐっ……そ、そんなこと今はどうでもいいじゃない！それより、電ちゃん電ちゃん。ちょっと教えて欲しい事があるんだけど
電,電に分かることなのでしょうか？
阿賀野,大丈夫大丈夫、たぶん電ちゃんが知らなかったら、たぶん提督さんか五十鈴さん、由良さんくらいしか分からないと思うから？
電,そうですか？なんでしょうか
阿賀野,ずばり！阿武隈さんの弱点を教えて欲しいの！
電,……ふえ？
矢矧,……阿賀野姉、大丈夫？
阿賀野,ちょっとちょっと！？二人ともなにその反応！？
矢矧,弱点って……ゲームじゃあるまいし
電,それ知ってどうするのです？
阿賀野,良く訊いてくれました！それは……阿武隈さんに阿賀野を見直してもらうためよ！
矢矧,阿賀野姉、評価マイナスにマイナスをかけても、数学のようにプラスにはならないわよ
阿賀野,酷い！？
矢矧,大体、あの人どう見ても人を不当に評価するタイプじゃないでしょうが。むしろ他人を良く見過ぎる事が心配になるタイプよ
阿賀野,うー、でもでも阿賀野にちっとも信頼して任せてくれないんだもーん！
電,あれ？以前……と言っても結構前ですけど、遠征旗艦を任されたのではないですか？
阿賀野,そうだけど……
若葉,阿賀野さん。今回の目的はなんなんだ？
阿賀野,え？えーっと、なんだっけ？
初霜,輸送艦の護衛です、阿賀野さん
阿賀野,ああそうだったそうだった。で、えっと目的地は……あれ？
暁,もう、しっかりしてよね！目的地はここなんだから！
阿賀野,あ、ごめんごめん。でも暁ちゃん今日もかわいいー！
暁,わぷ！？あ、頭をナデナデしないでよ！もう子供じゃないって言ってるでしょ！
阿賀野,じゃあ抱きしめてあげるー！ぎゅー！
暁,きゃっ！？
浜風,阿賀野さん、早く準備しないと間に合いませんよ
阿賀野,んー、あと五分だけー
暁,え！？ちょ、ちょっと！？暁も準備しないといけないんだけど！？離してぇー！？
磯風,……臨時とは言え旗艦が、暁がかわいかったからなんて良く分からない理由で遅れるとは。どういうことだ？
阿賀野,あ、その……えっーと……
暁,うう……どうして暁までぇ
阿賀野,みんなー！陣形を保ちながら、警戒をしっかりねー！。ふふーん、みんないい子だなあ……練度も高そうだし、さすがよねえ
暁,阿賀野さん！二時方向、船影を発見したわ！距離は――
阿賀野,え？えーっと。こういうときはどうすればいいかなぁ……。暁ちゃんの判断で対応してもらっていいよー！
暁,……は？
若葉,……いや、あのこういう時は旗艦に指示を出してもらわないと困るのだが。意思統率が乱れる
暁,緊急時ならともかく、今はそうじゃないんだけど……
阿賀野,えー？えっとじゃあ……敵だと困るから先手必勝！とりあえずやっちゃって！
磯風,とりあえずでやってたまるか！？民間の船とかだったらどうする気だ！？
阿賀野,ええー？じゃあどうしろって言うのよぉ？
磯風,いやそれを訊かれても困るのだが……
浜風,意見を求めるとか、参考にするとかならともかく、丸投げはどうかと
阿賀野,うーん。でもでも、指示出さなくても以心伝心！各自が最適な判断で動く！というのが精鋭部隊と言う気がしない？
若葉,無茶を言うな
磯風,それが出来たら苦労はしない
浜風,それは旗艦としての責任放棄だと思います
阿賀野,そうかなあ……
初霜,ま、まあ阿賀野さん。偵察機を飛ばして、対象の確認をするのがいいのではないのでしょうか？
阿賀野,そうね！じゃあさっそく……あ
若葉,どうした？
阿賀野,偵察機……積み忘れちゃった。てへ
暁,……
磯風,……
浜風,……
若葉,……だ、大丈夫だ！
磯風,ああ、そうだな！ない物ねだりしていても仕方ない！現状でなんとかするぞ！
初霜,そ、そうね！ない物は仕方ありません！なんとかしましょう！
暁,皆の言う通りよ！阿賀野さんは気を落とさないでね！
阿賀野,み、皆……ありがとう！阿賀野感激！。で、あの後更にドジ踏んじゃってね。後方で見守ってた阿武隈さんが見かねて、旗艦を交代させられちゃったのよねえ……
矢矧,……阿賀野姉、なにやってんのよ
阿賀野,そんでもって阿賀野の隣で阿武隈さんが提督さんに、阿賀野の教育がなってないって叱られちゃうし……。しかもその後、阿武隈さんに阿賀野ちゃんはそこまで落ち込まなくていいの。提督の言う通り、あたしの指導がなってなかったんだからってフォローまでされるし。これって、阿賀野が怒られるよりよっぽど応えない？
矢矧,そこまでしてもらった相手の弱点を、電ちゃんに訊くのはどうかと思うわ
阿賀野,そこまではいいのよ！問題はその後よ！
電,その後ですか？
阿賀野,そう、阿賀野は見ちゃったの！阿賀野が退室した後、執務室で――
提督,阿武隈、さっきは悪かった。必要なこととはいえ、言い過ぎた
阿武隈,いえ。提督は正しいです。時には厳しくなることも大切だって分かってますから
提督,ああ。だが、必要なことでも好きな人に対して、きつい言葉を掛けるのは……やはり堪えるな
阿武隈,てーとく……大丈夫ですよ、あたしはそれくらいでへこんだりしません。提督が心を鬼にして、あたし達のために言ってくれてることも。提督が本当はそんなことしたくないってことも分かってますから
提督,阿武隈……ありがとう。すまないな、最近私は阿武隈の優しさに甘えてばかりだ
阿武隈,それは、お互い様です。あたしだって、提督の優しさに甘えてばかりなんですから。言いたくないことを言わせて……ごめんなさい、提督
提督,阿武隈……
阿武隈,てーとく……じゃあ、お仕事終わったら一杯甘えてもいいかな？。……なんて、その
提督,……もちろんだ
阿賀野,阿賀野をいちゃつく材料にするなんて、酷くない？
矢矧,電ちゃんのいるところで、変な話するんじゃないわよ！
電,なのです？
阿賀野,というわけで、電ちゃん弱点知らない？
電,えっと……阿武隈さんの弱点と言えば、北上さんだと思うのです。阿武隈さん、この前北上さんにその黄金の前髪アタシがもろたぁ！とか言って、せっかくセットした前髪が無残に崩されてたのです
阿賀野,なにやってんのあの人。まったく子供じゃないんだから
矢矧,その言葉、そっくり阿賀野姉に返してもいいと思うわ
電,そんなことが結構あるから、阿武隈さんちょっと北上さんが苦手なのです。それでも、以前よりは良くなったと思うんですけど
阿賀野,けど、北上さんをけしかけるわけにも行かないしなあ……阿賀野にはちょっとあの人扱えそうにないし
電,扱える人がいたら見てみたいのです
矢矧,同感ね
阿賀野,じゃあ仕方ないわね。正面突破よ！
電,今までの流れはなんだったのです！？
矢矧,気にしてはダメよ。阿賀野姉なんだから
電,さらりと酷いのです！？
阿賀野,阿武隈さんはさっき庭で見かけたわ！阿賀野いっきまーす！。ふふ、最新鋭軽巡、阿賀野型の実力を見せてあげるんだから。多数対多数ならまだ分が悪いかもしれないけど、一対一の勝負なら……きらりーん！阿賀野に勝機があるわ！。一対一、かつ正面での勝負で不測の事態は無いに等しい。即ち、その時点での力量が勝敗に直結するわ。……勝てる！現時点でも、僅差で阿賀野の方が強い！この勝負を逃すことは、即ち勝機をドブに捨てるのと同様よ！。この勝負阿賀野が貰ったわ！
矢矧,なにそのモノローグ
阿賀野,気分よ気分！
矢矧,次のコマで無残に負けてそうね
阿賀野,そういうこと言わないで！？と、ともかく阿武隈さんたのもーっ！
