依田芳乃,はいー、何やら悪しき気がぶおーと集まっているのでしてー
愛海,無駄だよアネゴ……ヒモはヒモであることを誇ってるからね……
凛,そうなんだ……
P,恥ずかしくなんてない。俺は幸せだよ、拓海といられて
拓海,だッ、そういうことじゃねぇ……女のアタシに養われて男として
P,拓海は俺といられて幸せじゃないの？
拓海,そういうことじゃねえってっ……くぅううその子犬みてえな目ぇやめろォ！
P,ショックだな……優しくて面倒見のいい拓海が、行き倒れ同然の俺を助けてくれて。それからもずっと何だかんだ世話を焼いてくれて、大事だよ、大切だよって、何度も言葉にし合って。言葉だけじゃなく、心の深いところで確かめ合った……あれは嘘だったの？
凛,フラれ際のOLみたいなこと言ってる……
P,拓海……
拓海,だからなんでそんな寂しそうな顔ぉ……！
P,って、何言ってるんだろうな俺……疲れた拓海にこんなこと言ったって……最低だ
拓海,……くぅうう。あ、アタシもっ
P,え？
拓海,アンタと一緒にいられて悪い気分じゃねえよっ、あぁ、この際だから言っちまうがすげえ嬉しい時だってある！
P,拓海……
拓海,でもよ……。それと仕事がねえのは別だろ？
P,……
拓海,……
P,……
拓海,……
P,……腰痛いからちょっと横になる
凛,クズだ……
愛海,クズだ……
凛,愛海にクズって言われてる！
拓海,オイィ！？どうせ嘘なんだろそれ！！どう見たって腰が痛いようには見えねえんだよ！
P,いや腰は痛いよ
拓海,ウソだ立てオラ！ずーっとそうやってゴロゴロして家に一日中いたんだろ！
P,そんなことないって
愛海,でも――そのクズさ加減でジワジワと相手を陥れる……！
拓海,ついさっきその口でアタシの昼飯食ったっつったじゃねえか！
P,食べてない
拓海,食べたっつっただろーがコラァ！！こっち来いやその根性叩き直してやる！
P,た、拓海、ごめんっ、悪かったよ……拓海に見捨てられたら俺……
拓海,うっ
P,拓海……俺、拓海のこと好きなんだよ……
拓海,ううぅ……
愛海,毒のように、沼のように……そう、それは“ヒモ固め”！！。あたしも前からアネゴは押せば存外ヤレるんじゃないか、イケるんじゃないかって思ってたけど
凛,それさっきも聞いたよ
芳乃,どきどきなのでしてー……
凛,そうだね、芳乃もいるんだったね
拓海,っ、わーった……わかったよ、アタシもちょい感情的になってた
P,……
拓海,ここ座るぞ？
P,……
拓海,なぁPよ、アタシはお前の事を思って言ってんだぜ？何もガーガーうるさくしてえから言ってるわけじゃねぇんだ
凛,お母さんみたいになってる……
愛海,すっかり入り込んでる
拓海,そうやってダラダラしてたってダメになっちまうだけだぞ？オマエはやりゃあできるんだからよ
P,拓海が養ってくれるから
拓海,そうしねェために言ってんだよ！
P,……
拓海,……おっ、落ち込むなよ……別に、オマエに頼られるのが嫌ってわけじゃなくて……
愛海,凛ちゃんの時もそうだった……プロデューサーとヒモがダブって……！
P,本当に、一日中家にいたわけじゃないんだ
拓海,ほぉ？じゃあどこに行ってたんだよ
P,……コンビニとか
拓海,いい加減ブン殴るぞ……！
P,ごめん……大好きだからさ拓海
拓海,いちいちそれ言うのやめろぉ……！
P,顔すごい赤い
拓海,怒ってんだよ！怒ってんだぞ！？。ハァ……オマエ、仕事は探してんだよな
P,探してる探してる
拓海,ホントだろうな……
P,たださホラ、そんなすぐに良い仕事が見つかるわけでもないじゃん？やるからには本気で打ち込めるのがいいし。それにさ、今は他にも色々やんなきゃいけないことあるし、なかなかそうサクっとはさ。だからこればっかりは大目に見てほしいんだよね。拓海優しいじゃん？
拓海,っ、色々だァ？何だよそれ
P,いやほら。ミュージシャン
拓海,……は？
P,俺ミュージシャンになるから
拓海,………
凛,………
愛海,………
拓海,………まぁ、夢があんのは良いことだな
凛,だいぶ絞り出したね……
P,でっしょー！？拓海も応援してくれるって前に言ってたじゃん？やっぱ夢追って生きていかないとダメだよね、人として
拓海,で？そのために色々やってんだろ？何してんだよ
P,……。まあ、その……
拓海,……
P,ゲームとか、テレビ観たり
拓海,………
凛,わぁああああああああああああああああああ。なんでそこ素直に言っちゃうの！？
愛海,ヒモは意外と正直
凛,そうなの！？
拓海,テッ……オマッ……ナメてんだろ……あたしがキレねえと思って好き勝手ェ……ッ
P,違う、拓海は勘違いしてるよ。創作には必要な事なんだよ、インスピレーションは
拓海,知るかクソがぁッ！インスタントだの何だのナマけてるだけだろうが、アァ！？
P,拓海ぃ……
拓海,だあああァッ、それももうアタシには通じねえからな！！
P,……
拓海,そういう顔すれば許されると思ってんだろ！？そうやって甘えれば何でもしてもらえるってよ！
P,……
拓海,ムダだぞ……ここでアタシが甘やかしたってオマエのためにならねぇんだ……
P,……
拓海,そんな、泣きつくみてえな……寂しそうにすがる目ぇしたってっ……
P,……
拓海,そんな……。仕事探すくらいで、ヘコたれて……テメェはぁっ……
P,……
拓海,……いちいち甘えてきやがってぇ……
P,……。………
拓海,………
P,………
拓海,ぅ……
P,………
拓海,………い。……いっしょに探してやるから……な？
凛,あぁ……拓海さん……
愛海,これは……
拓海,だから……元気出せよ……
P,拓海……！
拓海,バッ、んな嬉しそうな顔すんな……ばか。ううううぅ何でだ、どうしてアタシっ……。コイツに頼られるのすげえ嬉しい……弱い所見せられて、甘えられると……。アタシが何とかしてやらなきゃって、たまんなくなる……
P,でも俺、拓海と一緒にいたい……
拓海,ッ、急に何言って
P,俺が仕事始めたら、拓海といる時間が減っちゃうよ
拓海,そんなのアタシだって……ちげぇえ！そういうことじゃねえだろ！！。チクショウ何だコイツ可愛いなクソクソクソ。とにかく今みてえにダラダラしてちゃダメなんだよッ！。アタシまでダメになるクソクソ
P,……。ごめん、もう俺ウソつけない
拓海,へ？
P,一日中家にいたわけじゃないんだ
拓海,そりゃお前
P,カラオケに行ってたんだ……練習するために
拓海,……へ？
P,腰が痛かったのは、ずっと立ちっぱなしでさ……ハハ、バカだよな俺
凛,なんか……
P,カレーも、タッパーに入れて外で食べたんだ、変にごまかしてごめん……
愛海,すさまじい予感が……！
拓海,いや、つーか何で
P,俺、拓海のために歌を作ったんだ
凛・愛海,！！？
拓海,な……
P,将来ミュージシャンになる第一歩……愛する拓海に俺から捧げる歌……
拓海,！！
凛,ちょっ
P,拓海のことを想って、拓海のことだけ考えて書いた曲です……。聞いてください、作詞・作曲俺で。――俺は拓海を傷つけない
愛海,おっっっっっっっっほ！！！！！！！！
凛,ヒィエエエエエエエエエエエエエエエエエエエ
P,拓海～～拓海～～～俺の～～拓海ぃい～～～っひ↑↑↑
拓海,………
P,大好きだ、愛してるんだ～～、拓海しか見えない、俺の女神～～～～
凛,うぁあああああ……どうしてこんなことに……
P,傷つけあうこともあったけど～～、拓海のおかげで、俺は立ち直れた～～～
愛海,それ傷つけてるんじゃ……
P,拓海ぃ～～、MYLOVE……素直になれなくても、ずっとそばにいて～～～
拓海,……
P,家庭的で優しい拓海、パスタ作ったお前
凛,そこカレーじゃないんだ！？
P,hmm……yeah……
～,略
凛,終わった……
P,………
拓海,……
愛海,大抵の拷問は受けてきたけどこれは新しすぎて
凛,無駄に歌上手いから腹立ったよ……
芳乃,……
拓海,……
凛,……でも。これは私の偏見かもしれないけど。こういうの……なんか、元ヤンキーの人とかにすごく……
拓海,～～～～っ
凛,効いてる！！！！！
拓海,ヘッ……んだよ、お前っ……いきなりこんな……
P,俺、拓海の歌ってる姿が好きだから。だから俺も、拓海と一緒のラインに立ちたくて……
拓海,！
P,伝わったかな、俺の愛情……こんなこと言えるの、拓海だけでさ。俺はずっと一緒にいたいけど、拓海は……嬉しくなかった？
拓海,……。うれしく……ねぇ……。わけ、ねえだろっ……このバカ……！
P,わぷっ
拓海,ホント、子犬みてえな奴だな……シッポ振って追っかけてきやがって。どうしようもねえ甘え好きで、アタシがいてやらなきゃダメダメで……
P,拓海……
拓海,顔赤いか？怒ってんだよ……お前の可愛さによぉっ
P,っ、でも笑ってる
拓海,うるせぇ、もうお前の好きにしやがれ……ペットなんだから、アタシが全力で守ってやるから。アタシのそばにいろ……
愛海,あ～～～らあらあらアアラララァアアァ
凛,なんかいい話っぽくなってるけど。何も解決してないよこれ！！
P,拓海……
拓海,……何だ、なんかしてほしいことでもあんのか？
P,いや、もう叶っちゃったよ。やっと……お帰りのハグできたなって
拓海,……バーカ、ホントに。……しょうがねぇなぁ……オマエは……
愛海,しゅーーーーーりょーーーーーーー
拓海,――――
愛海,ハイっ、えー終了ということでございましてね、えー
拓海,―――
愛海,わたくしとしてはもう少し見ていたかった所ですけどもホラ貝の方が鳴りましたもんでね、はい。これ以上続けても当人への影響も大きかろうと、いうことでねハイ
拓海,―――
凛,やば、拓海さん放心状態
拓海,………うォオオオオオオオオオオオオオオオオ！！！？？？？？？
凛,現実に戻ってきた……
P,あ、拓海、もう抱き締めなくても
拓海,うォオオオオオオオオオオオオオ！！？？！！？
P,ぐぉおおおおおおおおおお！！！！
拓海,……っあ、ワリっ、その
凛,拓海さん
拓海,うォオオオオオオオオオオオオオ！！？？！！？
芳乃,ぶおおぉーーーー
拓海,うォオオオオオオオオオオオオオ！！？？！！？
P,………
拓海,……
凛,……
愛海,……
拓海,……まさか、凛まで見てるなんてよ……
凛,ごめんなさい……出るなら早い方がいいと思って
愛海,えぇ～～？いつでも出てこれたでしょ～～堪能してたくせに～～～？？
凛,ぐっ……ホントにごめんなさい
拓海,ごほんっ。それなんだがよ……その、アタシ……今の……。……負けた……よな？
愛海,惨敗
拓海,うォオオオオオオオ恥ずかしいィイイイイイイイイイ死にてェエエエエエエエエ！！！！！
凛,そうなっちゃうよね……
愛海,まーあそこから挽回は不可能に近いね。もう限りなく愛しいものを見つめる優しげなメスの顔だったし
拓海,なっ、ハァア！？
愛海,ダダ甘モードに入り、寂しげに寄りつかれればハグをし求められれば与えションボリされればまた甘やかし。物や心を問わず捧げ続け、最悪の場合カラダだけでなく金銭にまで魔手は及ぶも。奉仕の熱に浮かされ情愛の坩堝にとらわれたアネゴは、身を挺してヒモに寄り添う代わりにアイドルとしての翼を灼かれる
拓海,オイ……おいぃ……
愛海,共依存の末は共倒れ――かと思いきや、現実はアネゴだけが蜜を吸いつくされ、蜜蜂は次なる養分を求めて
拓海,やめろやァア！！
愛海,顔赤いか？怒ってんだよ……お前の可愛さによぉっ笑
凛,追い打ちまで！！
拓海,殴りてぇエエエ……けど殴れねぇええぇ……
芳乃,……
愛海,ハッ。濃厚でしたーだそうです
拓海,どういうことなんだよッ！？
芳乃,はふー
拓海,チクショウ……
P,……っく……拓海、大丈夫か……
拓海,あっ、P！……すまねぇ、さっきはつい
P,いいんだ、自分のしたことの報いだ……それに。こう言っちゃ悪いが、すごくすがすがしい気分なんだ
凛,そりゃあれだけやればね……。……少しだけ拓海さんがうらやましかったのは秘密
拓海,アタシこそダメダメだ、クソッ、あんだけタンカ切っといてこのザマかよ、カッコワリィ……。まぁでもよP、もしそのケガ仕事に差し支えるようだったら。アタシが養ってやるから
愛海,………
凛,………
拓海,……ん？。あ。ち、ちげぇえええッ！！！いい、今のは、そうっ、守ってやるって意味で！！
凛,私以上だった
愛海,いやいやそれでも十分ですよ姉御フゥーッ！！
拓海,うるせぇクソぉ！！
P,拓海……ありがとう
拓海,おう、疲れたらいつでも甘え……じゃなくてェ！！
芳乃,よきかなー
拓海,うぁあああぁああぁ……。……チクショウ……テメエら覚えてろ百倍返しだコノヤロォ……アタシは修行するっ……。そんでいつか必ずリベンジしてやっからな！！ゼッテェだぞ！！？
愛海,うひひ、またのお越しを～
凛,む、無理しないでね……
拓海,クソォっ、バーカバーカ！！うううううぅバーーーーーーカ！！！
凛,小物化しちゃってる！！。………
愛海,……いやあ、良いことしたなぁ
芳乃,また一つ、幸せがー
P,拓海のやる気が出たならよかったよ
凛,コイツら……。！？
和久井留美,何かあったのかしら……？
凛,和久井さん逃げッッ……いやいける！！！！
留美,危機意識のテスト……？
P,ええ、突然ではありますが、もしその気があるなら
愛海,うひひひひっ、アネゴもこのおかげでイイ刺激もらったみたいだよーっ！満足度当社比No1！
凛,いや私たちしかやらないからこんなの……
留美,それはいいけれど……向井さんはこうも言っていたわよ
愛海,へ？
留美,愛海はあとで殺すって
愛海,！？
留美,冗談なのでしょうけれど……凛ちゃんもこのテストは受けたの？
凛,えっ！？いえ、その……
留美,！……そう。それで、状況設定を芳乃ちゃんが決めるのね
芳乃,ぶおおぉーーー
P,はい、それに合わせてシミュレーションを……和久井さんが受けてくれるなら芳乃にこのまま
留美,そう……向井さんに、凛ちゃんが……。……なるほど
凛・愛海,―――！！
凛,私の予感は正しかったみたい……間違いないよ、このラスボス感
愛海,もう逃げられない、一瞬にして場がコロッセウムに変わった……！
留美,ねぇP君
P,は、はい！
留美,私、こう見えて勝負事は嫌いじゃないの。いえ、むしろ始まったらのめり込んでしまうくらい。向井さんと凛ちゃんを退けた障壁……とても興味があるわ。――二人の弔い合戦と行きましょうか
P,それじゃあ
留美,ええ。受けるわ、そのテスト。……願わくば芳しい結果が得られることを。なんて……ふふっ
凛,す、すごい頼もしい、さっきの弔い合戦が霞むよこの緊張感……！
愛海,凛ちゃんそれ禁句……！
凛,ごめん……直接脳内にごめん……！
留美,上着を脱がせてもらうわね……
P,っ
愛海,でも凛ちゃんの言う通りだ……これが大人組の迫力、戦いのステージが一段上がった！。やれるのかプロデューサー！？
芳乃,ですがそれはー、お茶とおせんべいにはかなわないのでしてー……ざんねーん……
凛,やってたんだ芸人パート……
芳乃,ぶおおおぉーーーーー
P,……シチュエーションが決まります
留美,そう……
愛海,空気がヒリついてる……
凛,炎が揺らめいてる、静かな炎が……
芳乃,よそのプロデューサー……
P・留美・凛・愛海,！！？
芳乃,勧誘ー……引き抜きー……
P,……
芳乃,信頼関係に、ひびー……
留美,……
芳乃,……まる
留美,……これは？
P,おそらく別事務所のプロデューサーが留美さんを勧誘し引き抜きにかかった結果、僕たちの信頼関係にヒビが入るということかと
留美,今までそんなことはなかったし、これからもないと思うわ……けれど
P,そういうシミュレーションですから
凛,ガチのやつっぽい……
留美,じゃあ、私はこれからあなたと、あなたにスカウトされた時のことを再現できるのね
P,和久井さん
留美,……冗談よ。テストの相手はP君じゃなくて、別のプロデューサー。そういうシミュレーションだものね？
P,……はい
愛海,この試験で一体何が起きるのか……全く想像もつかない。ワクワクさせてくれるじゃん……？
凛,拓海さんがあとで殺すって言ってたけど
愛海,それはそれじゃん……？
凛,私もすっかり共犯なんだけどね……
留美,………
P,別P。和久井君、こっちだ
留美,……
P,どうぞ座ってくれ
留美,失礼します。……手短にお願いできますか、急いでますので
P,ここのホテルのカフェは気に入っていてね。ゆったりと静かで……コーヒーも上手い。何より美人が多い。今来た客も入れてね
留美,そうですね、随分と人が多いように見えます
P,心配は要らない。君が思うような下衆はいないよ
留美,では、貴方が貴方の都合で部下を張らせている、といったこともないと
P,……会うのは二人きりでと言ったろう？何度かこういう話し合いにも使ったことがある
留美,私の前にも犠牲者がいたのね。私より若い子だったのかしら
P,……
留美,それに、もう決まった結論を伝えに来ただけですから。……それを話し合いと呼びますか？
P,………
留美,………
凛,……
愛海,……
凛,何コレ……
愛海,別ゲーすぎワロタ
凛,和久井さんの入り方も尋常じゃない……全力で勝負に行ってる、プロだ……
愛海,このプロデューサーはダンディなカンジ！？いやもう、そんなのすらどうでもいいっ
P,……フフ、取り付く島もないな
留美,わかっていただけて光栄だわ
P,もっとリラックスしてもらいたいんだがね、そのためのこの場所だ
留美,貴方がしつこいから私は……
P,こうしてわざわざ出向いてくれたんだろう？そっちのプロデューサーには伝えたのかな？
留美,……彼に迷惑はかけられないわ
P,フフッ、迷惑、か……
留美,貴方こそ、こんな所で油を売っているような立場なのかしら……こんな私程度に
P,謙遜はいけない……油を売るとは、婦女相手に整髪油を売っていた様が由来らしいが。その意味で言えば、あながち間違いでもあるまい？
留美,……言葉遊びがお好きなのね
P,何か頼むかね
留美,コーヒーが美味しいのだったかしら
P,ああ、お勧めだよ
留美,要らないわ
P,……言葉遊びが好きなようだね
留美,貴方ほどじゃないわ
P,そうか……それでは、君の機嫌が良いうちに本題に入ろう。単刀直入に言うが。私の事務所に来ないか
留美,……ふふ
P,む？
留美,いえ……しつこく私に声をかけて、こんな所にまで呼び出して、それのどこが単刀直入なのかと思って
P,まだ返事をもらっていなかったからね
留美,返事なら何度もしたはずよ……ありえないって
P,それは違う。私の見せ得る限りの誠意を見せ、その上でもらったものが返事だ
留美,誠意？独善の間違いでしょう
P,我々のやることはいつだって独善だよ……最初のうちはね
留美,……？
P,だが、誰か一人にでも喜んでもらえたなら、その時点から話は別になる
留美,何を言いたいのか……
P,君は美しい
留美,―――
P,聡明で、端麗で……透き通った氷のような美しさだ
留美,いきなり、何を
P,私は和久井留美が欲しい。心の底からそう思う。魂を売っても後悔しないほどに
留美,っ……
愛海,ヨッシャやっといつものキタァーっ！！！
凛,存在消えるかと思った
留美,ようやく、目を合わせたかと思えば……
P,プロデューサーとしてのテクニックというやつさ。さっきの言葉も世辞じゃない
留美,せ、世辞かどうかなんて
P,君が決めることだ
留美,そう、私が……いえっ、そうであろうとなかろうと関係ないのよ……
P,隙のある所も可愛らしい。完璧な彫像のようでいながら、その表情でクラリとこちらを魅了する。一瞬の幻惑は、月下に揺らめく青……まさしくミスティックブルーだ
留美,よくそんな……歯の浮くような台詞を……
P,褒め言葉として受け取っておくよ
留美,っ
凛,アレ威力高いんだよね……
P,そうしてそっぽを向かれると余計に
留美,……手を出したくなるとでも言うのでしょう？身勝手な男の理屈よ……
P,いいや？朱に色づいた頬がよく見えると思ってね
留美,～～～！
愛海,例によってプロデューサーにダンディPがオーバーソウル……！。さすがの和久井さんでも揺らいで……！
芳乃,……
留美,………
凛,？あれ、なんか……
愛海,んごっ、んごガッ
芳乃,どきどきー……
P,元々秘書をやっていたそうだね
留美,……
P,もはや褒めるまでもない美貌、知性、そして過去に培われた胆力。天は二物も三物も与えるのだよ……与える側の人間には。君こそ新時代のアイドルにふさわしい
留美,……
P,ただしそれは、正しい補助役がいてこそだ。君のプロデューサー、あの若造では君の魅力は完全には引き出せない。私の下に来なさい……身命を賭して君を守る。そして必ず頂点へと導く
留美,………
P,顔を俯かせていては、つぼみを垂れた花のようだな。咲き誇ることなくして萎れるのではあまりに心苦しい
留美,！
P,こうして上向かせねば。……なあ、留美？
留美,……～～～っ
凛,和久井さんが真っ赤になりながらにらみつけてる！
愛海,あふぉふいは顎クイだ
芳乃,あらまー……
凛,――けど
P,フフ……どうやら私の独善は、誠意に変わったようだ。我々ならきっと上手くやれるさ……
留美,……どうかしら
凛・愛海,！！！
P,な……
留美,いえ……どうしてかしら。何故あなたに……そんなことが言えるの？
P,何故？何故だとっ？。ハッ、君こそどうした！それは私が能力のあるプロデューサーであり、私が君をこうして見出してっ……
留美,私を見出したのはP君よ、貴方ではない
P,―――。それ、は……
留美,あなたがどれだけ優秀なプロデューサーなのかは知らない、興味もない。それは私にとって意味のないこと
愛海,わぁああっ、わくっ、わく
留美,貴方は大きな勘違いをしているわ
凛,うわわ、わ、わくっ……
留美,トップアイドルになるのが夢なんじゃない……私たちの理想を叶えるのが夢なの。私にとってのプロデューサーは――この世で彼一人だけよ
凛・愛海,るーみん！！！！！
P,なッ、に……！？。る……留美……
留美,気安く呼ばないでくれるかしら。私を名前で呼んでいい男性も彼だけ……。もっとも、一度も名前で呼ばれたことなんてないけれどね……ふふっ
P,ぐ……！
留美,そろそろ手を離してもらえる？。花だって、水のやり手くらいは選ぶものよ
凛,や、やった、これまでにないよ、こんな展開！
愛海,和久井さんが押し返してるーっ！
P,……
留美,話は終わりかしら
P,……認めん
留美,……
P,認めんぞっ、そんな話は……！！
愛海,負けフラグビンコ立ちのセリフっ……
P,理解できんな、到底！何故君ほどの才色優れた女性があの若造に固執する！？
留美,……
P,何が君をそこまで繋ぎ止めているのだ！！
凛,あぁ、そしてこれは
愛海,地雷、圧倒的地雷っ……。和久井クレイモアっ……！
留美,……なるほど
P,！？
留美,そこまで知りたいのなら、教えてあげましょうか
P,え……？
留美,仕方なくよ……ええ、仕方なく。これはあなたがどうしてもと言うから。私はあなたに脅されて、追いつめられて、仕方なく今からの台詞を吐かされてしまうの……
凛,全然仕方なくって顔してない……！
愛海,誘導してたんだ、この展開にっ
留美,私にぽっかり空いた空洞を、埋めてくれたのが彼だった
P,はっ！？なっ
留美,……仕事を辞めて途方に暮れていた時、消え入りそうな存在だった私に、彼はおずおずと声をかけてきた。手助けできませんかって。最初は宗教の勧誘か何かかと思ったわ。けれど違った。何もすることがなかったし私は話を聞いたわ、そしたら。しまいにはアイドルにならないですかって……ふふっ、敬虔な信仰者の方が可愛かったわね。だって彼は……魔法使いだったんですもの
P,いや、ちょっ
留美,もちろん最初は断ったわ。でも彼と時間をともにするうちに、このまま身をゆだねてもいいかもって
凛,一体いつから……？和久井さんの術計は
留美,もしかしたら、始めから惹かれていたのかもしれないわね……彼の真っ直ぐな瞳に。話を聞こうと決めた時から、ずっと。すべてを認めてくれるような……飾らなくてもいいって言ってくれるような……。飾るのは俺がやるずっとそばで見守るからって……
P,あ、の……
留美,……
P,っ……
留美,……ふふっ
凛,……最初からだ。私や拓海さんの反応も含めて。このゲームの本質を一瞬にして理解して、意趣返しを……。役に入ったうえで、その向こうにいるプロデューサーに――攻め込んでる！
留美,一緒に寄り添って道を歩いて……私は彼の色に染まったの
P,う……
留美,たとえ年が若くても、彼は私にとって最高のプロデューサーよ。私の心は、彼を迎え入れる部屋になった。彼のことを考えない日はない。彼のために行動しない私なんて……ありえない。彼の夢は私の夢……きっとその逆も……
P,も、もうっ……。これ以上はいい、だからっ
留美,彼が願うことは何だってするし、彼が望むなら何にだってなれる
P,やめろ……やめて……
留美,私……和久井留美は……。これからも、何があっても……ずっとずっと……彼のそばにいると誓うわ。アイドルとしても、パートナーとしても……もちろん。……それ以上の関係でも……ね？
P,………
凛・愛海,プロデューサーがデレたーーーー！！！！！
愛海,本人へのダイレクトアタックゥウーー！！何この逆攻略！
凛,私までドキドキしてきた……！
P,うぅあ……
留美,……ふぅ……仕方のない、本当に仕方のないことだったけど……似合わない真似をしてしまったわね
P,……
留美,あら？どうしてかしら。なぜ彼とは一切何の関係もない貴方が頬を赤らめているのかしら……不思議でしょうがないわ
凛・愛海,るーみん！！！！！
P,赤くなってなんて……
留美,真っ赤よ、鏡を貸してあげましょうか
P,え、あぁ……
留美,はい、どうぞ
P,へっ
留美,この距離なら見えるでしょ？いいのよ、いくらでも見て……。私の瞳の中に、貴方の顔が映っているはずだから……
凛・愛海,るーみん！！！！！
P,ち、ちきゃいっ、なにっ……
留美,ダメよ、動いては
P,！！？
留美,目を逸らさないで。真っ直ぐ私のことを見つめてくれないと、意味がないわ。さあ、ほら……いいのよ？
P,にゃにをおおおぉ……！？
凛,効いてる、すごいくらいに、もしかしてこれって。このゲーム初めてのクリア――！？
芳乃,まー……
P,まじゅっ、まじゅいよ和久井しゃぁん！！
凛,押しに弱すぎでしょ！
留美,何がまずいの？
P,だからっ、これもうっ
留美,もう……何？あ、こら、目を逸らしてはダメと言ったでしょう
P,～～～
留美,そうよ……いい子ね
凛,えっ、どうなるの、えっ
愛海,もう何でもいい、めっちゃ興奮する
留美,手で挟んでおくわね
P,！？！？！？
凛,ま、マッテまってキスしそう、え、キス、ウソ！？
留美,まさかこんなことになるなんて思わなかったけど……
凛,ウソだッッ！！！いや待っていくらなんでも
P,おちちゅいてぇ！！
愛海,もうこれで終わってもいい、だからありったけを
留美,これはシミュレーションだから……
凛,そうだよあれはプロデューサーじゃなくてでもあれはプロデューサで、あああぁぁっ
P,もっ、これ関係なっ
留美,こんなに早く機会が来るなんて……嬉しい
凛,設定関係ないよもう！！と、止めなきゃ、止めっ、芳乃！！
芳乃,………
凛,真っ赤になって顔覆ってる！！
愛海,クるっ、キちゃうよぉおーーーっ！！
凛,何が来るの！？ダメだコイツもうっ私が止めっ
留美,……ん……P君……
P,………
凛,わぁああああああマッテお願い待ってストーーーーーーップ！！！！！！。………え？
愛海,！？
留美,っ？。……どうしたの
P,クックック……
凛,……プロデューサー、壊れたの？
P,……わ、和久井君、落ち着きたまえ……れれ、冷静さを、失っているぞ……
留美,……
愛海,この期に及んで……
凛,プロデューサーは万策尽きたんじゃないの？
P,……フフッ、クックック……いや、可愛いものじゃないか、健気で、純心で。そこまで想ってもらえて、君のプロデューサーもさぞ喜ばしかろうな
留美,……何かしら？
P,だが和久井君、私は君の弱みを一つ握っているのだ……！
凛,え……？
P,君とプロデューサーの関係は……上手く行っていない！
留美,………
凛,………
愛海,………
P,こんな私程度にと、君はそう言ったな……？
凛,だいぶ前だよもう
P,君の求めるものを、君のプロデューサーは与えてくれていない
留美,……
P,君は安心したかったのだ。自分は魅力ある、価値ある人間だと確かめたかったのだ
愛海,土俵際で……このしぶとさ……！
P,だからこうして私のもとに来た！そして私の口から聞き出せるだけ聞いてやろうと君は振る舞った！！。さらには、私に対して胸中を語ることで自分を肯定しようと……！
留美,……
P,つまりこれは……君自身が、逆説的に弱みを晒した格好……！。君が情熱を見せれば見せるほど、それを受けきれない彼との軋轢が露呈していたのだ！
愛海,しぶといっ……そう、これは……“ジリ貧車”！
～プロデュース四十八手・ジリ貧車,じりひんぐるま
凛,でも……これってさ
愛海,……うん
P,ククッ、フハッハハハ！！和久井君、君自身が奴とのズレをさらけ出していたのだよ！！
留美,……
P,己の寂しさ故の行動……実に愛らしい、私はそれを認めよう。さあ和久井君、来たまえ……私ならば君を……
留美,………
P,………へっ
留美,…………
P,や……あの
留美,…………なるほど
P,
留美,貴方は……そこまでわかっていたのね……そう……そうなの……
P,そ、その
留美,そこまでわかっていて……人を、欲求不満の女みたいに……
P,ぇえええええええ！？いや、違っ
留美,どうしてよ……どうして……
P,わ、和久井さん……！？
留美,わかってるなら……くれれば……いいじゃない……いつも私が……れだけっ……貴方に……
P,！！！？！！？
愛海,帰ってきた和久井クレイモア……
留美,思い返せば……腹が立ってきたわ……普段あれだけ私が……しても、……してくれないのに……
凛,こ、これマズいんじゃ
留美,役に入ったら、ペラペラと甘い台詞を……私の……も考えなさいよ……
P,ああああの、もう少しはっきり
留美,ハッキリするのは貴方の方でしょうP君！？
P,ヒィエエエエエエエエエP君じゃないですぅううううううう！！！
留美,そうよっ、貴方の言う通りよ！私は貴方からの返事が欲しいの！ずっとずっと私は待ってるのよ！？
P,俺そこまで言ってないですぅうううう！！！！
留美,これまでだって何度もそれとなく話を振ったり誘いをかけたり策を巡らせたりしても貴方はそうやっていつもいつも
凛,マズイマズイマズイマズイ
留美,だから私はこうして……こんな真似までしてっ……何が試験よ！何がシミュレーションよ！？
P,すいませんでしたぁあああああ！！！！！
留美,謝ればいいと思ってるのかしら……それで私が貴方に尽くした分に釣り合うとでも……。誠意を……責任を取ってほしいわ……！！
凛,ちょ、愛海！
愛海,あーあーあーうん、これはうん、もう……うん！！！
P,責任って……どうすれば
留美,もうここで決めましょう
P,ぇ
留美,ハッキリさせましょう？P君は……どうするの？
P,………
留美,どうしたいの……？言ってくれれば……私はP君の言う通りにするわ？
P,…………
留美,簡単な事よ……イエスか、ノーか
P,………ぉ、ぉ、ぉおお……
留美,さあ、P君……もし決められないのなら。仕方のない……本当に仕方のないことだけど……。決められるように……及ばずながら、私なりに頑張って……。……手、だ、す、け……してあげるわ……
凛・愛海,プロデューサァアーーーーーー！！！！
凛,強制終了になった！！！！！
芳乃,ぶおぉ、ぶぶ、おおおー、ぶおぉー
凛,しゃべれてないよホラ貝外さないと！
P,……ぁ……あ……
留美,………！。Pく……
愛海,……和久井さん
留美,っ、愛海ちゃん……私は……
愛海,……
留美,………
凛,……
愛海,……
留美,………。……………………死なせて
凛・愛海,早まらないで！！
留美,……私としたことが、あんな……激情に駆られて、取り乱して……
凛,いやもう仕方ないというか、あれはもうプロデューサーが悪いよ……
愛海,ま、まあ今回ばっかりは……うひ、うひひひ……
留美,いえ……これは私が招いたことよ。私の方が最初に試験の形を踏み外したんだもの。本当に、恥ずかしい所を見せてしまったわね……ごめんなさい……
凛,そんな……
