このスレッドは,とある魔術の禁書目録
土御門,全くだ、危うく俺の貞操が奪われそうになるかと思ったぜよ
上条,いやいや、お前が演技でやってるのはバレバレだからな？
青髪,金髪ええよな。外人な子とか見ると興奮してくるでー。特に金髪口リとか
土御門,にゃー、俺は金髪メイドもいけるから問題ないぜよ
上条,そっかそっかお前らも金髪好きか。だよな！時代はやっぱ金髪に来てる訳よ！
女子達,(学校終わったら金髪に染めよう)
姫神,(金髪ロングだったら。存在感出るかな？そうすれば上条君。振り向いてくれるかな？)
吹寄,(全く馬鹿共がっ！金髪なんて不良がやるイメージでしかないわ。黒髪こそが日本人の由緒正しき姿よ)
フレンダ,今日は麦野とショッピングな訳よ
麦野,ついてくんじゃねーよ。一人で買い物したいんだよ私は
フレンダ,まぁまぁそう言わずに一緒に行こうぜ。イエーイ
麦野,(ウゼェ...)
フレンダ,いやー今日は何もする事なくて暇してたからさ
麦野,だったら上条を誘えよな
フレンダ,な、なななななんでここで上条が出て来る訳よ！？///
麦野,アンタの想い人でしょうが。暇してんなら上条を誘ってデートでもしろってんの
フレンダ,上条とデートかぁ...
麦野,つーかあれから上条と会ってんの？
フレンダ,会ってない...
麦野,電話とかメールとかは？
フレンダ,メールなら少しだけ
麦野,どんなメールをしてる？
フレンダ,お、おやすみとかおはようとか
麦野,うんうん
フレンダ,......
麦野,あれ？他は？
フレンダ,...それだけです
麦野,え？はぁーー！！？それだけってお前、挨拶だけってそれはねーわ！
フレンダ,うっ...
麦野,そんなんじゃあ上条の彼女になんて無理だわ。もっとアプローチしなさいな
フレンダ,はい...
麦野,今から連絡してデートに誘いなさい
フレンダ,いや、それはいいって訳よ。今日は麦野と買い物なんだし、明日。明日から本気出す訳よ
麦野,それ、負けフラグよ
フレンダ,うっさい！上条の事はもういいから早く買い物に行くって訳よ
麦野,もう知らねーわ
フレンダ,今日は何を買うって訳？
麦野,下着よ、しーたーぎ。最近また大きくなったからブラ買い直さなきゃならないよ
フレンダ,なんだと......
麦野,はぁ、これ以上育っても意味ないんだよねー。肩凝るし
フレンダ,だったら半分私に寄越して欲しい訳よ...。(上条は大きい方が良いかな...)
麦野,ついでにショーツも新調しとこうかしらね
フレンダ,透け透けなのを？
麦野,セクシー系担当の私にはそれがピッタリなんです
フレンダ,(もしも生まれ変われるならば麦野になりたかった訳よ...)
麦野,なんならフレンダも透け透け仕様の穿けば？そうすれば上条をイチコロにオトせるわよ？
フレンダ,いいわよ！あんなの私にはぜぇーたい似合わない訳よ！///。(てか下着なら既にネットで注文したし)。次は何処に行くの？
麦野,セブンスミストで適当に見て回るわ
フレンダ,オーケー次はセブンンスミストね
麦野,つーかいつまでついて来る気だ？
フレンダ,勿論、麦野が帰るまで
麦野,あっそう...。(引き剥がしてぇな...折角ゆっくり買い物出来ると思ったのに)。(フラグでも立てみるか、ここで知り合いに会わないかなーと言う遭遇フラグ。出来れば上条とかで)。(まぁ居る訳ないわな。そう簡単に行く訳......え！？)
上条,
麦野,(居たぁーー！！)。オイ！フレンダ！あそこに上条が居るぞ
フレンダ,はぁ？んな訳がないってえーー！！？嘘！？あれ上条なの！！？///
麦野,どう見てもあのツンツンとした頭の学生服は上条でしょうが！
フレンダ,ど、どどどどうしよう！！？麦野///
麦野,行けよっ！何慌ててんだテメェは...
フレンダ,でも今は麦野と買い物が...
麦野,んなもん関係ねぇんだよ！！いいからアタックして来い！
フレンダ,でも今日は香水もしてないし、下着も普通だし...
麦野,いや、何言ってんだよ...
フレンダ,///
麦野,......はぁ、もう一度言うけどさ。上条の事が好きなんだよね？
フレンダ,はい///
麦野,上条と恋人になりたいよね？
フレンダ,で、出来ればそうなりたいです。はい///
麦野,ならさっさと行けっ！！チャンスを逃すんじゃないの！！
フレンダ,ちょっと蹴ることないでしょう！？
麦野,いいから行けや！フレ/ンダにされたいか？
フレンダ,わ、分かった訳よ！
麦野,上手くやれよ
フレンダ,おーい！上条！
上条,ん？おっ！フレンダじゃないか！久しぶり
フレンダ,久しぶりって訳よ。えーと学校帰り？
上条,その通りでーす
フレンダ,そう......ねぇ、これからって何か予定ある？
上条,いや、何もないんで寮に帰る所だよ
フレンダ,ならちょっとだけ付き合って欲しいんだけど...いいかな？
上条,あーいいぞ
フレンダ,本当に！？
上条,ああ。まだ時間にも余裕があるからな
フレンダ,(イヤッフゥゥゥゥゥ！！上条にデートに誘えたよ。麦野)。じゃあさ、適当にどこか見て行こうか？
上条,いいぜ
フレンダ,よーし！行くわよ！上条
上条,元気一杯だな。(...うん？これってデートのお誘いなんでせうかね？)。......。(いや、違うか。女の子と遊びに行くのが必ずしもデートとは...限らないしな。うん、勘違いしちゃ駄目だ)
フレンダ,ねぇねぇ、上条って年幾つだっけ？
上条,16だ
フレンダ,ありゃ、私と同い年じゃん
上条,って事はフレンダも高校生？
フレンダ,そう
上条,へー俺はてっきり中学生だと思ったよ
フレンダ,JCだと思ったの？それは残念でした。私は青春真っ只中のJKな訳よ
上条,予想が外れちゃったぜ
フレンダ,そう言えば上条はウチのフレメアを知ってるんだよね？
上条,フレメア...あーいつも浜面と一緒に居るにゃあにゃあ言ってる子だな
フレンダ,実はと言うとね、フレメアは私の妹なのよ
上条,マジでか！？......あっ！セイヴェルンって名前を聞いてどこかで聞いた事があるなと思ったらそっか、あの子の姉だったのか。どうりで見た目がソックリな訳だ
フレンダ,いやー妹が世話になってる訳よ
上条,あの子って浜面にかなり懐いてるよな
フレンダ,将来は浜面のお嫁さんになるのは私なのだっと何回も言うくらいガチで浜面の事が好きな訳なのよ
上条,なんだと！？あのリア充野郎、滝壺が居るのに小学生にもフラグ立ててるのかっ！？許せん！今度会ったらまたお仕置きしてやる！
フレンダ,そん時は私も協力するって訳よ
上条,もげろー浜面
浜面,おう！？
滝壺,どうしたの？
浜面,なんだか近い内に不幸に見舞われそうな予感がする...
滝壺,大丈夫。その時は私がはまづらを守るから
フレメア,にゃあ。大体、私だって浜面を守るから安心するのだっ！
滝壺,貴様みたいなガキには役不足。だからさっさとおんぶから降りて
フレメア,やーだね。誰が滝壺の命令なんかに従うものかっ！べー
滝壺,このガキ！......はまづら、ちょっとこのクソガキにテキーラサンライズ喰らわすから動かないでもらえる？
浜面,待て待て！そんな受け身が取れないスープレックス系はやばいって！！
フレンダ,いっだだきーす。おっ！イケる、イケるって訳よ新作のサババーガー。通称サバーガー
上条,鯖をハンバーガーにするのはどうかね...
フレンダ,フィッシュバーガーがあるんだから違和感なんてない訳よ。もし鮭バーガーなんて出たら麦野は飛びつくでしょうね
上条,あー麦野さんはシャケ弁が好物なんだっけ？ファミレスで持参してたし
フレンダ,飲食店に弁当持って来るなんてどうかしてる訳よね
上条,いやいや、鯖缶持ってくるフレンダさんに言われる筋合いがないぞ？
フレンダ,テヘッ
上条,テヘッじゃありません
フレンダ,えへへ
上条,(可愛いなコンチキショー)
フレンダ,上条が食べてるのって何バーガーな訳？
上条,テリヤキバーガー
フレンダ,ふーん、美味い？
上条,勿論、特に店特製のてりやきソースが非常にバーガーにマッチするんだぜ
フレンダ,
上条,食べてみるか？
フレンダ,ほぇ？。(食べてみるってそれって上条が口にしてるテリヤキバーガーを私が食べる...)。(それはすなわち！！か、かかかかかかかか間接KISSな訳でホエェェェェェェ！！///)。(どうする私！？ここは行くべきな訳！？す、好きな人なんだし、パクッて食べちゃていいの！？///)。(どうすんのよ！？教えてー麦野、絹旗、滝壺、浜面、フレメアー)
上条,えっと...フレンダ？
フレンダ,......遠慮するわ
上条,そっか
フレンダ,(やっぱこういうのってちゃんと恋人になってからじゃないとね。それが例え間接キッスであっても...。...でもねぇ、後悔はしてる訳なんだよねー。はぁ...。(結局、私は意気地なしな訳よ)。ただいまー
フレメア,にゃあ。お帰りお姉ちゃん
麦野,おうお帰り
絹旗,超お帰りなさい
滝壺,おかえりふれんだ
浜面,邪魔してるぜ
フレンダ,......なんで麦野達が居る訳よ？
麦野,なんでってそりゃあねー
フレンダ,だから何なのよ？
絹旗,麦野から超聞きましたよ。フレンダ
フレンダ,え？
滝壺,かみじょうとラブラブデートしたんだってね
フレンダ,なっ！？///
浜面,ヒューヒュー
フレンダ,麦野ォ！！なんで言いふらすのよっ！！？
麦野,別に誰にも言うなとは言われてないんだしぃ、私一人だけで楽しむのもアレなんで絹旗達に教えちゃいましたー
フレンダ,教えちゃいましたーじゃない訳よ！！///
フレメア,にゃあ。まさかお姉ちゃんに好きな人が出来たとはな
フレンダ,う...///
フレメア,しかも相手があの上条とはな。これは今度から上条の事をお義兄ちゃんと呼ばなきゃならないのだっ！
フレンダ,いやいやいや、なんでフレメアが上条をお義兄ちゃんって呼ぶ訳よ！？
フレメア,将来そうなるかも知れないから？
フレンダ,将来！？?しょしょしょ将来って、私と上条がホワァァァァァァァァァ！！///
浜面,落ち着けよ
麦野,そうだぞ。慌てすぎだデレンダ
フレンダ,誰のせいじゃあ！！てかデレンダって何？
麦野,デレデレなフレンダだからデレンダ
フレンダ,デレてなんかない！デレてない訳だからねっ！？///
絹旗,あっ、今度は超ツンデレンダになりましたね。よっ！ツンデレンダ
フレンダ,いい加減にしろやっ！！
滝壺,大丈夫。私はキャラが崩壊したでれんだを応援するよ
フレンダ,結局、不幸な訳よ...
麦野,それで？上条とデートはどうだった？
フレンダ,それはもう楽しかったに決まってる訳よ
絹旗,具体的にはどんなデートをしたんです？
フレンダ,街中を歩いて周った
滝壺,それだけ？
フレンダ,ファーストフード店で食事しました
麦野,へぇーいかにも学生らしいデートコースだわ
フレメア,大体、キスはしたの？
フレンダ,まだ付き合ってないのにする訳がないでしょう！まぁ間接キスのチャンスはあったけど...
滝壺,間接キスのチャンスはあったけど？どゆこと？
フレンダ,上条が食べてたバーガーを食べてみるかって言われたのよ。でもそれを断った訳よ
麦野,なんで遠慮したのよ？ドキドキなイベントなのに引いてどうするよこのヘタレが！ヘタレンダがっ！
フレンダ,ヘタレンダって...
絹旗,フレンダ、男なんて女から攻めて攻めまくらないと超オトせませんよ。もっと超プッシュして行かなきゃ
フレンダ,そ......そうよね
麦野,そんなヘタレンダにチャンスを作ってあげるわ
フレンダ,どんなの？
麦野,今度の休みに私達で温水プールに行くからそこで上条を誘いなさい
フレンダ,え？温水プールに？
絹旗,おっ！それは超いい案ですね。んで、水着で上条を超悩殺するんですね？分かりますよ
フレンダ,の、のののののの悩殺ぅ！！？///
滝壺,かみじょうの裸も拝めるからふれんだ的には嬉しいでしょうね
フレンダ,上条のは、ははははは裸！！？裸って上条の裸なんて私直視出来る訳かな？グッヘヘヘ///
絹旗,もしもーし、オヤジっぽい声が超出てますよ...
フレメア,何々？お姉ちゃん達、プールに行くの？いいなー
麦野,フレメアも行く？
フレメア,うん。大体、私もプールで泳ぎたいのだっ！友達も呼んでいいかな？麦野
麦野,構わないわよ。じゃんじゃん連れて来なさい
フレメア,にゃあ！近々浜面に見せる水着を用意しないと。浜面、楽しみに待っててね
浜面,ハハハ...
滝壺,
浜面,(滝壺のオーラが半端なく怖い...)
麦野,と言う訳だフレンダ。今から上条に電話して約束を取り付けなさい
フレンダ,わ、分かった訳よ。もしもし上条？今、時間大丈夫？。今日は遊んでくれてありがとね。(可愛い！？可愛いってキャー！///)。それでさ、また上条と遊びたい訳でさ。今度の休みって空いてる？空いてたら麦野達と第三学区にある温水プールに行くんだけど、上条もどうかな？。本当に！？。じゃあ、集合場所と時間は後日メールでするから。約束忘れないで欲しい訳よ。絶対に来てね。うん。それじゃあ
麦野(高い声),愛してるって訳よ。上条
フレンダ,(ちょ！？何言ってるのよ麦野！！///)。ち、違うの！今のは麦野の悪戯だからねっ！？私じゃないからっ！！。そ、そう言う事だからそれじゃあまたねー。
麦野,良かったじゃない。後は自分で上手くやるんだな。フレンダさんよ
フレンダ,にへへー
浜面,聞いてねーな
絹旗,あーこれは超デレンダモードに入ってますね
滝壺,いい顔してるよ。ふれんだ
フレメア,プール♪プール♪にゃあ
上条,うおーこれは凄い所に来てしまってな
フレンダ,そう？私からにしてみれば普通な訳だけど
上条,だってこんな高級感ある建物の中のプールなんだぜ？しかもそれを貸し切ってしまうんだから凄いってレベルじゃねーよ
フレンダ,言っとくけど貸し切ってるのは麦野だから。私の財力では無理な訳よ
上条,あー麦野さん超能力者だもんな...
打ち止め,まさか冬になってプールを泳ぐ事とはなーとミサカはミサカは少々驚きつつ貴方と一緒に泳げる嬉しさに舞い上がってみる
一方,何で俺まで行かなきゃならねンだよォ？
番外個体,子供達だけでプール行かせたんじゃあ保護者失格だぜ？
一方,チッ...
黒夜,なんで私まで...
浜面,よっ、黒夜。お前まで来てくれるとは意外だな
黒夜,別にいいだろうが...
番外個体,クロにゃんてばミサカが誘っても絶対に行かないって言ってたのに浜ちゃんが来るって聞いたら急にワァァァァァァァ！！
浜面,え？
黒夜,なンでもねェ！なンでもねェからなァ！！///
絹旗,あっるぇ？顔が超赤くなってますよ。黒夜
黒夜,えっ？嘘！？は、浜ちゃん見ンじゃねェ！！///
浜面,なんで俺だけなの！？
フレンダ,よくまぁ来た訳ね
黒夜,んだよ？
フレンダ,言っとくけど、まだ妹の件で許してないんだからね
黒夜,別に許してもらおうなんて思わねぇよ。悪党ってのはそういう人間なんだ。だから一生恨まれようが構わないさ
フレンダ,でも、私はアンタの事は嫌いじゃない訳よ
黒夜,はぁ？何言ってたんだよ？
フレンダ,確かにアンタはフレメアを殺そうした。その事実は変わらない。でもね、その罪は一生消えない訳じゃないのよ。すぐには消えないだけで。だからその罪を償うつもりで、これからもフレメアと遊んでやって欲しい訳よ
黒夜,はい？
フレンダ,あの子、アンタにも懐いてるみたいだしさ、宜しく頼むって訳よ。もうフレメアの命を狙わないんでしょ？これは私からのお願いよ
黒夜,......いいのかよ？
フレンダ,ええ。その代わり、私が許すまではちゃんと償いなさいよ。これはその約束の握手
黒夜,...フン！お前は甘いな
フレンダ,よく言われる訳よ
フレメア,にゃあ。2人共何してたの？
フレンダ,なんでもない訳よ
黒夜,ああ。なんでもない
フレメア,？
フレンダ,さーてと着替えに行かないとね。フレメア！行くよ
フレメア,分かったのだ。黒夜も早く行こっ
黒夜,サイボーグの私には水に触れるのはタブーだ。見学の形でここで待ってる
浜面,あーそうだよなー
黒夜,んだよ浜ちゃん？同情なんかしなくていいからな
浜面,いや、そうじゃなくてな。俺としては黒夜の水着が見て見たかったなーと思ってな
黒夜,なっ！？何言ってんだよテメェは！？いいから早く行けよっ！！///
浜面,うおっ！？こんな所で能力出すんじゃねぇ！！
黒夜,......。チッ...私だって水着着て浜ちゃんと遊びたいんだよ...
浜面,後は女性陣を待つだけか
上条,まぁ男の着替えなんかすぐだしな
一方,眠みィ
浜面,にしても一方通行。お前、少しは肉付けた方がいいんじゃねぇか？これは細過ぎだろう...
一方,あァ？オマエには関係ねェだろォがよォ。俺はいくら食ったって太らない体質なンですゥ
上条,その体質が羨ましいわ
浜面,大将も一方通行程ではないがスラっとした体つきしてるよな
上条,上条さんとしてはもう少し肉が欲しい所です事よ
一方,白いシスターに飯持っていかれてるもンな
上条,まったくだよ...
浜面,元気出せよ。今度プロテイン分けてやるからさ
上条,ありがとう。あー俺も浜面みたいなマッチョになれればモテるのかねー？
浜面,(いやいや、貴方はとっくにモテてますから！これ以上ない程モテてますからねっ！？)
一方,(俺も鍛えた方がいいか？いい加減モヤシモヤシ言われるの嫌だしなァ...)
浜面,そうだ上条
上条,なんだ？
浜面,麦野達が来たら真っ先にフレンダの水着を褒めてやれよ。他の奴らはどうでもいいから
上条,何故にフレンダだけなんだ？
浜面,いいからフレンダだけ感想言えばいいんだよこの鈍感大将
上条,鈍感は余計だろうが！
フレンダ,かっみじょう！おっまたせぇ！
フレメア,浜面！見て見て！新しい水着だよ！
打ち止め,貴方！待ったぁ？ってミサカはミサカは一度で言いたかった台詞を言ってみたり
番外個体,イエーイ！人生初の水着だぜ
麦野,あー足なんとかしてぇわ
絹旗,私が見るにそんなに超太くは見えませんけどね
滝壺,はまづら、お待たせ
浜面,さすがは俺の滝壺ちゃん！似合いすぎるぜ
絹旗,浜面超キモいです
滝壺,そう？あまり露出がないタイプの水着なんだけど...///
フレメア,にゃあ。大体、私の水着はどうだ？
浜面,勿論、フレメアも似合ってるぞ。てか小学生にしては大胆だな
フレメア,最初はスク水にしようかと思ったけどな、それだと大体私がお子様にしか見えないからこれにしたのだっ！どう？惚れた？
浜面,いや、全然
フレメア,
打ち止め,プププププ
フレメア,貴様！今笑ったな？笑いやがったな！？
滝壺,(ざまー)
フレンダ,か、上条///
上条,うん？
フレンダ,///
浜面,ホラ大将、フレンダがお前を待ってるぞ？
上条,うん？ああそうだな。フレンダ
フレンダ,は、はひぃ！？///
上条,その水着、似合ってるよ
フレンダ,本当に！？///
上条,ああ、にしてもセクシー過ぎる水着と言わか、フレンダだからこそ着こなせる物だよな
フレンダ,(キャー！キャー！フレンダだからこそ着こなせるだってイヤーン！上条ったら褒め過ぎってな訳よ///)。(いやー水着を変えなくて良かった訳よ。結局、スリングショットタイプの水着は私のためにあるっと言ってもいい訳よ。今もこうして上条は私に釘づ
上条,
フレンダ,上条？どこを見てるわ...
麦野,アンタ、なかなかの物をお持ちじゃない。とても第三位のクローンとは思えないわね
番外個体,しずりんだってミサカと同じぐらい立派なメロンを持ってるじゃない
麦野,これ以上大きくなってもなんも得がないのよねー。肩は凝るし、DT共の視線がキモいしさ
番外個体,姉御、そん時は勃ってる部位をメルトして焼くと最高に気持ちいいもんですぜ？ぎゃはっ☆
上条,(デケー)
フレンダ,こんの...
上条,うん？
フレンダ,どこ見てる訳よぉぉぉぉぉぉ！！
上条,あべしっ！！？
フレンダ,ふんっ！
上条,い、い、痛い...
黒夜,馬鹿だな...
絹旗,やれやれ、上条も所詮は超上条だったて事ですよ
上条,な、な、なんで蹴られたでせうか？
浜面,上条......気持ちは分からなくもないぞ。あのドSコンビのおᘄぱいは極上品だから目に入ってしまうのはしょうがない事なんだ
フレンダ,まったく、上条の馬鹿。結局、上条も胸が大きい子がいい訳なのかな？。......はぁー
打ち止め,さっきからフレメアのお姉さん元気がないよとミサカはミサカはフレメアに聞いてみる
フレメア,にゃあ。大体、あれは上条が悪いからな
一方,かなり落ち込ンでるに見てェけどよォ。そこまでヘコむ事したか？
フレメア,好きな相手だから仕方がないのさ
打ち止め,え？好きな人って？
フレメア,お姉ちゃんは上条に絶賛片想い中なのだっ！
一方,へェー、やっぱそうだったかァ。三下の前になると良い顔してたのはそういう事か
打ち止め,相変わらずヒーローさんのフラグ建築術パネェとミサカはミサカは驚愕を表してみる
一方,つゥか三下の野郎は何処に行きやがったンだァ？
フレメア,今お姉ちゃんの所に行ったよ
上条,おーい、フレンダ
フレンダ,......何？
上条,何か知らないけど、とにかく悪かったよ。ごめん
フレンダ,ふん。麦野の胸にデレデレしちゃってさ！上条も結局、おᘄぱいが決め手な訳なんだ。ふーん
上条,別に胸が良い訳じゃねぇよ。ただな、どうしてもボリューミーなのを見るとつい目に入ってしまうんだよ
フレンダ,どうせ私の胸はナイチチな訳よ！
上条,んな事ねーよ！フレンダの胸だってかなり魅力的だと上条さんはそう思いますね！
フレンダ,え？
上条,あっ...。(いやいや、俺は何を言ってんだ？これじゃあセクハラみたいじゃねーかよ！?あーあ余計に怒らせてしま)
フレンダ,///
上条,(あれ？怒って...ない？)
フレンダ,ま、まぁいい訳よ。いつまでスネてもしょうがないし、あ、遊ぶ訳よ！///
上条,お、おう
フレンダ,よし！上条、一緒に泳ごうよ
上条,あいよ
打ち止め,元気が出て良かったみたいだねとミサカはミサカは一安心してみる
フレメア,大体、お姉ちゃんらしい姿でないと困るのだっ！にゃあ
一方,はたから見るとカップル同士のやりとりにしか見えンなァ。あれで付き合ってないと言ったら嘘になるぞォ？
上条,ふぅ、ちょいと休憩すっか
浜面,おう、お疲れ
上条,いやー結構泳いだわ。ちょっと泳いだだけでも疲れるもんだな
浜面,水泳って体全体動かすからすぐに疲労が蓄積すんだもんな
上条,だな
浜面,ああ
上条,......なぁ、念のためにもう一度聞くけどさ、滝壺のアレってあの子なりの遊びなんだよな？
滝壺,
浜面,まぁな。決して死んでる訳ではないぞ？滝壺はあーやってプカプカ浮かんでいるのが好きなんだとさ。おーい滝壺！
滝壺,
浜面,ほらな
上条,まぁ別にサスペンスドラマ的な展開じゃなければいいけどよ。最初見た時はスゲー驚いたぞ
浜面,うん、誰だってそうリアクション取るわな。そうだ。上条にとっておきの物を見せてあげるぜ
上条,とっておきの物？
浜面,滝壺！いつものアレやって！
滝壺,
浜面,犬神家
上条,プッ...プハハハハ！！浜面、お前彼女に何やらせてんだよ。ハハハハハハ！
浜面,面白いだろう？
上条,ああ、最高に面白いわ！疲れなんか吹っ飛んじまうよ
浜面,これが俺の滝壺ちゃんなんだぜ
上条,うわぁ、この人俺のとか言っちゃってるよ......キメェ、マジキメェ
浜面,だって彼女だし
上条,爆発しろー！
浜面,上条に言われたくはないね！。いや、それでモテたら世の中苦労しないって
上条,よし決めた！俺、明日から茶髪にピアスにしてくるぜ！。止めるな浜面！出会いのためにも上条さんはイメチェンするんだっ！！そして俺はモテ条さんとして生まれ変わるんだっ！
浜面,大将の場合はその鈍感な中身をイメチェンしろ！
一方,何やってンだが
絹旗,ホント、男って超馬鹿ですね
上条,悪りぃ浜面。俺、どうかしてたわ
浜面,うん。思い留まってくれてよかったよ
上条,茶髪にピアスなんてよくよく考えると超ダサいし
浜面,オイコラ
上条,はぁ......彼女欲しいなー。フラグ立たてねーかな
浜面,(...俺が彼女持ちじゃなかったらマジで殴ってる場面だわ)。だったらさ、この面子の中ならどうだ？どれもレベルが高いからよりどりみどりだぜ
上条,このメンバーの中か...
浜面,てかぶっちゃけ大将ってさ、この面子の中でならどんな子がタイプなんだ？
上条,麦野さん達でか
浜面,ホレホレ、誰にも言わねぇから俺にだけ言ってくれよ。但し、滝壺はダメだぞ
上条,......フレンダかな
浜面,フレンダ！？マジでか！？それは何故？
上条,えっとだな、メチャメチャ可愛いし
浜面,うんうん
上条,いつも元気一杯だから一緒に居るだけでも楽しい気分にしてくれる
浜面,それは分かるけど、あのハイテンションぶりはウザくねぇか？
上条,んな訳ねぇよ。むしろあれぐらいのテンションが上条さんには丁度良いんだ。それより決め手なのが
浜面,それは？
上条,あの艶やかな金髪さ！俺は最近、金髪萌えに目覚めてしまったのだよ浜面君！
浜面,き、金髪萌えだぁ？
上条,今までの俺だったら間違いなく麦野さんを選んでたと思う。寮の管理人さんが上条さんのドストライクだった訳だから
浜面,あーなんか大将って年上の人がタイプって性格してるもん。で？それが何で金髪萌えに移行したんだ？
上条,初めてフレンダと会ったあの日からだな
浜面,......
上条,今まで出会った金髪の子よりもフレンダの金髪が圧倒的に輝いててクラッと来た。そして俺は目覚めたんだ。金髪萌えにな。結局、そのきっかけがフレンダだった訳よ。あっ、フレンダの真似しちゃった
浜面,......なぁ、それってさ
上条,うん？
浜面,フレンダの事が好きなんじゃねぇのか？
上条,え？す、好き！？
浜面,好みが金髪萌えになったのがフレンダに会って目覚めた。それって一目惚れしたのと同じじゃね？
上条,......
浜面,もう一度言う。フレンダの事が好きなんだろう？
上条,......いや、違うな
浜面,えー
上条,まぁ好きと言えば好きだぞ。でもその好きはあくまで愛情じゃなくて友情。友達として好きだよ
浜面,友達としてか...
上条,まぁ、ハッキリ言うとだな。俺にとってのフレンダと言う人物は憧れな存在なんだ。それが俺がいま、フレンダに対してどう思うかの気持ちは
浜面,.....。......果たしてそれだけなんだろうかねー？
上条,はぁ？何がだよ？
浜面,なんでもねぇ。まぁせいぜい悩みたまえよ。大将さん
上条,なんかムカつくなー
フレンダ,ちょっと上条？いつまで休憩してる訳よ？
上条,うおっ！フレンダ、急に出てくんなよビックリしたじゃないか
フレンダ,だって上条がいつまで経っても浜面と話してばかりで戻って来ないんだもん。折角プールに遊びに来てるのにつまんない訳よ
上条,それは悪かったよ。でも、何も俺じゃなくても良いんじゃないのか？
フレンダ,私は上条と遊びたいのっ！
上条,え？
フレンダ,だ、だから上条と一緒じゃなきゃ私、た、楽しめない訳よ///
浜面,ホラ大将、行って来い
上条,あ、ああ
フレンダ,上条、次は潜水勝負する訳よ
上条,おう、望む所だぜ
浜面,おい、フレンダ
フレンダ,ああ？何よ？
浜面,頑張れよ
フレンダ,う、うっさい！余計なお世話！上条、こんな馬鹿面はほっといて行こう！
上条,ああ
浜面,......。さっさとくっ付いちまえば良いんだけどな。あの2人は。さてと、俺もマイハニー滝壺ちゃんとスイートな時間を過ご
麦野,はーまづらぁ！喉渇いたから飲み物取ってこい！
番外個体,ミサカの分も頼むぜ！パシリさん
浜面,はい...
上条,プハァ！
フレンダ,イエーイ、私の勝ちな訳よ
上条,フレンダって結構肺活量あるなー
フレンダ,潜るのが好きだからね
上条,これは海女さんにでもなれるんじゃないか？。へー何になりたいんだ？
フレンダ,え、えっとね。笑わないでね？///
上条,フレンダが真剣決めた将来だ。笑うもんかよ
フレンダ,......お、お嫁さん///
上条,え？
フレンダ,だからお嫁さん
上条,お嫁さんでせうか？
フレンダ,そう。嫁な訳よ。私は将来好きな男性と結婚して幸せな結婚生活を送りたい訳よ
上条,お嫁さんか......フレンダにしては意外だな。なら、まずは好きな人を見つけないとな
フレンダ,(もう見つけてるんですけど......目の前に)。上条はさ、将来なりたい事ってある訳？
上条,俺か？う?ん上条さんは......まだ今の所は明確な目標がないな
フレンダ,えーもう高校生でしょ？高校生になって夢が見つからないなんて遅い訳よ
上条,そ、そうかな？
フレンダ,早く見つよう。そしたら私が上条の将来をサポートしてあげる訳よ
上条,ありがたいな
フレンダ,そんな上条を応援してるって訳よ
上条,それ滝壺の真似じゃん
フレンダ,テヘッ
上条,このこのー
フレンダ,わ、脇腹を突つかないでよ。そこ弱いんだから
打ち止め,あの二人超良い感じだねとミサカはミサカはニヤニヤしながらあの2人を鑑賞してみる
フレメア,大体私もニヤニヤしながらお姉ちゃん達を見守るのだっ！もう泳ぐよりも2人のイチャつきぶりを見てるほうが楽しい。にゃあ
打ち止め,(こりゃあ下位個体達にとっては強敵だぜとミサカはミサカはMNWのスレッドを建てるか悩み中)
滝壺,ねぇ、はまづら。いつかふれんだとかみじょうを誘ってダブルデートしない？
浜面,おっ！それはいいね
フレンダ,やっはろー皆
麦野,おー今日は遅れずに来たな。プレデター
フレンダ,フレンダね！？なんで来て早々名前で弄られなきゃならない訳！？てか私はシュワちゃんと戦う化け物かつーの
麦野,あー悪い悪い。昨日絹旗と観た映画がそれだったからつい間違えちゃったにゃーん
フレンダ,間違える要素ないよねっ！？レしか合ってない訳よ！
滝壺,今日もふれんだのツッコミはキレが良い
フレンダ,私ってツッコミ要員だったけ？
絹旗,それ＋超弄られ要員でもあるんですよ
フレンダ,それは浜面のポジションでしょう！？
麦野,最近浜面弄っても全然つまんよねー。段々真面目人間になってるし
フレンダ,そうだっけ？てゆーか浜面は？遅刻？
滝壺,はんぞうって言う人の所に遊びに行ってる。だから今日は四人だけ
フレンダ,なーんだ、今日は自分でドリンバーに行かないとならない訳か。面倒くさっ
麦野,私が行ってあげるわよ
フレンダ,え？麦野が！？
麦野,いつも部下に行かせてるばかりでは悪いからたまには上司の私がやらないとな
フレンダ,いいっていいって！私が行くから！
麦野,まぁまぁ。今日の私はなんでも言う事聞いちゃうぐらい機嫌が良いんだぜ？持って来てやるから何がいい？
フレンダ,ならオレンジジュースを
麦野,あいよ
フレンダ,何か良い事でもあったかな？
麦野,お待たせ
フレンダ,ありがとう
麦野,さてと
フレンダ,うん？
麦野,上条とはどうなったか聞かせてもらうかにゃーん
フレンダ,やっぱそれかぁぁぁぁぁぁ！！///
絹旗,超気になりますからね。フレンダの恋の行方
滝壺,恋バナは必ず盛り上がる定番なトーク。ワクワクが止まらない
フレンダ,に、逃げたい...
麦野,ホレホレ、話してみなよ。あれから上条と進展はあったの？
