第１話,本当の魔法少女になってよ
ほむら,巴さん……
まどか,あ、実はもう、パパのデジカメを借りて来てあるんです
ほむら,……信じていた、と言って下さい
まどか,ふわっ！？
ゆま,マドカおねーちゃんの事、叩いちゃだめー！
少女１,ごめんね、ゆまちゃん。じゃあね、まどか、また来るよ～！
少女２,最後まで契約なんてしちゃダメだからね！
Ｑべえ,それだけ、まどかが人気って事だよ
まどか,それは、何か違う気がしちゃうよ。うぅ……この前は高校生の人にずっと頭を撫でられるし……
ほむら,これも有名税みたいなものね
Ｑべえ,ちゃんと演歌歌手を除外している所に、まどかのたくましさを感じるよ
まどか,でも……たくさん集まってくれて良かったね、ほむらちゃん
ゆま,えへへ……おねーちゃんいっぱいで、ゆまも楽しいよ！。あ、でもでも、キョーコも、マドカおねーちゃん達も大好きだよ
Ｑべえ,ゆまは本当に、杏子の事が好きなんだね
ゆま,ゆまは、キュゥべえも大好きだよ
Ｑべえ,うわ、ゆま、苦しいよ～
ゆま,キュ～べ～
ほむら,………。私が切り捨てようとしていた世界は……本当はこんなにも暖かかったんだ……。キュゥべえ……
Ｑべえ,う～、ほむらぁ～、助けてよぉ～。笑ってないで助けてよぉ～
ほむら,…………。ありがとう、キュゥべえ
Ｑべえ,？
ゆま,ん～！
まどか,ほら、ゆまちゃん、キュゥべえが困っちゃうから、もうダメだよ
ゆま,ん～……
まどか,ほむらちゃんも、突然、どうしたの？
ほむら,……そうね、何となく、かしら。少しだけ……、これからの話をしましょう。それもそうだけど……あと少しだけ未来の話
まどか,これからの、話か……。海かぁ……そうだね、海、行きたいね。楽しくなりそうだね
ほむら,ええ………
ゆま,ゆまは動物の出て来る映画がいいな
Ｑべえ,ボクは、この間、借りて来たファンタジーの続きが見てみたいな
ゆま,ふぁんたじー？あのでっかいワンちゃんの出て来る映画？
ほむら,この二人には、数ヶ月先の旅行よりも目先の娯楽の方が優先か……。三部作だけど、３はもう蛇足ね
まどか,アレに３なんてあるの？
Ｑべえ,２って、そんなに暗い話なのかい？
？？？,あの子が鹿目、まどか………。どうするの？。………気になるのかい？。じゃあ織莉子の一番は私でいいんだね？うれしいな
織莉子,もう、そんなにはしゃがないの、キリカ……転んでしまうわ
キリカ,むぅ、キミはそうやって、すぐに私を子供扱いする
織莉子,あら……でも、可愛らしくて、私は好きよ
キリカ,………じゃあ、これからもそうしようかな
魔法少女１,どう、ウチのクォーターバックは？凄いでしょ
ほむら,ええ、これだけ広範囲にいる魔法少女全員の念話をリンクできるのは心強いわ。……この４班構成で、ワルプルギスの夜との短期決戦……行けるわ。…………勝てる、わよね……。さやかの能力じゃ、火器までは強化できないものね……
魔法少女１,うわ、何、そのゴツくてデカくて可愛くない箱
ほむら,………仕方ないでしょう、これしかないんだもの。巴さん、私はやっぱりあなたの弟子で間違いないようです……。行かせないわ……！。弾薬も無駄遣いが出来るのは楽でいいわね。巴さん！
マミ,あら、暁美さん、来てくれたのね？
ほむら,援護します、攻撃に備えて下さい！
マミ,あら、それならお言葉に甘えようかしら。……コレもティロ・フィナーレじゃ少し味気ないわね……
ほむら,ティロ・フィナーレでいいじゃないですか！
マミ,ヴィットーリャ・サルートッ！！
ほむら,ヴィットーリャ・サルート………えっと、勝利の祝砲？。うそ………。倒した……倒せた……。や……った……。やっと……ここまで来れた……。やっと………あなたと約束した未来に……私は辿り着いたよ……。そうだ……キュゥべえ！。キュゥべえ！？キュゥべえ！？。キュゥべえ！どうしたの、キュゥべえ！！。……………。インキュベーター！。黙りなさい！
ＱＢ２,僕らの個体も勿体ないが、そんな無駄弾を撃っている余裕があるのかい、暁美ほむら？
ほむら,ま、まさか……お前達！？
マミ,ま、まさか……あなた達……キュゥべえとリンクさせた個体を、殺したの？
ほむら,くっ……！
マミ,キャッ！？
最終話,逢えて良かった
ほむら,悪夢だわ………。何があったの！？
魔法少女13,ほむらかい？見ての通りだよ……私達じゃ、アレの相手はちょっとね……
魔法少女14,あんな反則級の魔女、見た事がないよ……魔力ごしで触れただけで発病するって、なんだよ……
魔法少女15,コイツ、病原体の塊よ！距離を取りながらじゃないと……！
ほむら,あ……？。み、みんな、急いで後退を！距離を取って！。み、みん……ごふっ！？。もう、下には降りられないわね……
魔法少女16,ちょっと、さっきより靄の量、増えてない？
ほむら,使える足場まで少なくするつもり？。………あまり、結果を聞きたくないわね……
魔法少女18,いい事言ってくれるじゃん、ほむら
ほむら,おだてても何も出ないわ。どうする……ランチャーは撃ち尽くした上に、あの靄相手に効果があるかどうか……
魔法少女19,そうですね。出来る事は全部やりましょう！
まどか,みんな………何で……
ゆま,マドカおねーちゃん、泣かないで
まどか,う、うん……ゴメンね、ゆまちゃん、心配かけて……
Ｑべえ,まどか………。まどか……その願いは……！？。ダメだよ！まどか！
まどか,名案だと……思ったんだけどな。そ、そんな方法があるの！？
Ｑべえ,本当に、最後の最後の手段だけど、念のため、覚えておいてくれるかい？
まどか,…………う、うん……
魔法少女18,もう足下まで来てるよ！？
魔法少女１,諦めちゃダメだって！とにかく、やれる事は全部やらないと！
魔法少女19,そんな事言っても……う、後ろはもう縁のギリギリまで来てるよ！
ほむら,まだ手はあるハズ、まだ……まだ……！
魔法少女７,は、入って来たよ！
魔法少女20,中央に固まって！少しでも長く保たせるの！
ほむら,もう、あとは時間稼ぎくらいしか………！。まさか……本当に……ここまでなの……？。うわああぁぁぁぁぁっ！！
？？？,駄々っ子は見てられないや
ほむら,く、呉……キリカ……！？
キリカ,へぇ、私の名前知ってるんだね……どうでもいいけど
ほむら,最悪……だわ。あなた達の狙いは……？
キリカ,……………………
ほむら,あなたと美国織莉子は……仲間、と思っていいのかしら？。こんな所で惚気られても困るのだけれど……
キリカ,………
魔法少女１,……って、靄が止まってる！？
魔法少女21,べ、便利な魔法だね。どんな願い事をすれば使えるようになるんだろ？
キリカ,さて、と……魔力が効かないなら、武器で払おうとか考えないの？
ほむら,………ないわね
キリカ,イレギュラーの人。織莉子の作戦に君が必要らしいから、今は指を咥えて休んでいるといいよ
ほむら,それで、作戦内容は？。この方法なら倒せる、とは言わないか……結局、博打と言う事か
マミ,暁美さん！
ほむら,杏子、お願い！
杏子,任せろ！。よーしっ、ほむら、飛んでけぇっ！
ほむら,もう彼女は減速魔法の圏外のようね……いえ、私が減速魔法の圏内に入ったのかしら？。かかった！。慌ててはダメ……ギリギリまで、目が開くギリギリまで引きつける……！。開いた！。能力の相性と言うけれど、コイツは私向きの相手のようね
杏子,う～ん……よく分かんねぇな
ほむら,これで、１０発目……！。けど……この物言いからして、アイツには勝てる要素がない、と言う事？。でも、魔女があの位置ならアレが使える……。お前の出番よ……！。砂と水………砂漠と治水？……ま、まさか、ね。う、うそ……。あの爆発に、耐えた！？。読みが……甘すぎた……！？。世界三大美女と呼ばれた女王は伊達ではないワケね………。！？。ッ！？。きゃうっ！？。何で……時間停止が……。そ、そんな………。………しまった………。な、何で！？何で直らないの！？。あ、あ……ああ………。死……ぬ？。………………
？？,止まるんじゃねぇ、バカ！。大丈夫、暁美さん！？
ほむら,……巴……さん、杏……子？
マミ,しっかりして、暁美さん……立てる？
杏子,ほむら？おい、こんなトコで尻餅付いてる場合じゃないだろ！
ほむら,だって……もう……未来は変わらない……ここまで来たのに……。もう……やり直す事すら、出来ない………。未来は……変わらなかった……！
マミ,甘えた事を言っているんじゃありません！
ほむら,巴さん……。私が掴み取った……未来？。…………巴さん……私
マミ,あなたも避難所に行って鹿目さんとキュゥべえを！
杏子,お、おう、そうだ！ゆまの事、頼んだからな！
ほむら,………はい！
マミ,暁美さん！。魔力を込めれば撃てるハズよ
ほむら,……はい、お預かりします！。そうだ……諦めて立ち止まったら、もう二度とたどり着けない！
キリカ,……へえ、行く気なんだ。どうせ君が行った所で無駄なんだから………ここで死になよ！
ほむら,マズい、接近戦向けの武器が無い！？
？？？,ちょっと待ったぁぁっ！！
ほむら,さやか！？
さやか,危機一髪！どう、あたし、魔法少女になってて正解でしょ？。そりゃどうも……
キリカ,でも、君の強化魔法がかかっている私を相手に、スピードだけで相手できるかな？
ほむら,けど、あなた一人じゃ……
さやか,いいからいいから、さやかちゃんにまっかせなさっーい！
ほむら,さやか………死んじゃ……ダメよ
キリカ,行かせないよ！
ほむら,さやか……！。こ、この数は………
魔法少女24,暁美さん！
ほむら,状況は！？まどか達は！？。突入するわ！援護をお願い！
魔法少女27,みんな、ほむらが中に行くよ！手伝えー！
ＱＢ２,美国織莉子の言った未来が真実なら、今、君達がしている行動全てが無駄になる
ＱＢ３,鹿目まどかは契約し、僕達はこの星でのノルマを完全に達成する
ＱＢ４,抵抗は無意味だよ
ＱＢ５,諦めた方がいい
ＱＢ６,無意味な事はやめた方がいい
ほむら,諦めないわ……私は、私とキュゥべえの変えて来た未来を信じる！。インキュベーターが増えて来た……この先にまどかが、みんながいる！。まどか！
ゆま,ほ、ホムラおねーちゃん……
ほむら,ゆま！？あなた、一人……なのね？。二人がどっちに行ったか、分かる？
ゆま,うえ……。ほんとう……？。ホムラおねーちゃん……
ほむら,さあ、もう少し隠れていなさい……ちゃんと後で、杏子達と迎えに来るから
ゆま,……うん！
ほむら,美国……織莉子！！
織莉子,あら……思ったよりも早かったのね……
ほむら,問答をしている場合じゃない……通らせてもらうわ。その先でお前は何を見るつもり？
織莉子,私とあの子の未来……。そんな武器では、時間停止を失ったあなたでは私には勝てないわね
ほむら,ええ……あなたの予知には対抗できないわね……だから、真っ向勝負よ！。一回でいい……。不出来な弟子に………。あなたの力を貸してください………！。ティロ……ッ！！フィナァァレェッ！！！。……っはぁぁぁ………
？？？,……ううぁあああああぁぁぁぁぁっ！！
ほむら,ま、まどか！？。……………
？？？,ゴメン……ほむら……この方法しか、思いつかなかった
ほむら,キュゥ……べえ？
ＱＢ７,さあ、これ以上先に行く事は出来ない
ＱＢ８,君が契約を行えば、その力で、この事態はすぐにでも収拾されるだろう
ＱＢ９,そして、君の願いから生まれる絶望は、この宇宙を莫大なエネルギーで満たすだろう
ＱＢ10,さあ、鹿目まどか。君はどんな願いでソウルジェムを輝かせる？
Ｑべえ,まどか……もう……最後の手段しかないよ
まどか,キュゥべえ……だけど、そんな事をしたら、キュゥべえが……。キュゥべえ……
ＱＢ11,実に無駄な質問だね。僕達にノー以外の答えはないよ
Ｑべえ,鹿目まどか……契約を結ぼう
まどか,………………うん、分かったよキュゥべえ……。私の願いは……私の因果の全てを、私の友達、キュゥべえに渡す事！
Ｑべえ,ありがとう……まどか……。鹿目まどか……キミの願いは、エントロピーを凌駕した
まどか,……ううぁあああああぁぁぁぁぁっ！！
ほむら,ま、まどか！？
Ｑべえ,これで……まどかはすぐに魔女になる事はないよ
まどか,な、何とか、成功したね……キュゥべえ……
ほむら,な、何をしているの……あなた達……！？
ＱＢ14,鹿目まどかは、罹患者である処理個体に自分の全ての力を譲渡したんだ
ＱＢ15,お陰で、鹿目まどかは見ての通りの抜け殻同然の状態だよ
ＱＢ16,僕達にとっては、契約の対象が鹿目まどかから罹患者へと移行しただけに過ぎないね
まどか,ほむらちゃん……
ほむら,キュゥべえ……あなたは、何を……？
ＱＢ17,そうか……それは説得の手間が省けるね
ＱＢ18,ここまで来て、また逃げられては叶わないからね
ＱＢ19,では……かつての同族である罹患者、君はどんな願いでソウルジェムを輝かせる？
Ｑべえ,だから……ボクを信じてくれ、暁美ほむら
ＱＢ20,さあ罹患者……その神にも等しい力を得た魂を対価にして、君は何を願う……？
Ｑべえ,ボクの願いは……現在、過去、未来……全てのインキュベーターの心に愛を与える事！
ＱＢ21,その祈りは……そんな祈りが叶うとしたら……
ＱＢ22,それは時間干渉なんてレベルじゃない……
ＱＢ23,因果律そのものに対する叛逆だ！！
ＱＢ24,君は本当に神になるつもりなのか！？
Ｑべえ,さあ叶えてよ……ボクの願いを！
少女,それがキミの願いなんだね………
Ｑべえ,？………キミか………久しぶりだね……。………うん………。多分、キミでは、ここまでの大きな願いを叶えられなかったよ……
少女,…………そうなんだ………じゃあ、私のした事は無駄なんかじゃなかったんだ……
Ｑべえ,人の祈りに……願いに……無駄なんてないよ
少女,………ありがとう……インキュベーター……
Ｑべえ,ありがとう……………そろそろ行くよ……
少女,ええ………頑張ってね
Ｑべえ,………うん………！
ほむら,キュゥべえ……
まどか,キュゥべえ……
ほむら,ま、待って……そ、それじゃあキュゥべえは……消えるの！？。キュゥべえ！変身を解いて！今なら間に合うから！
Ｑべえ,ありがとう……ほむら……ボクのために泣いてくれて……
ほむら,キュゥべえ……！。そんな……それじゃあ、私があなたを追い詰めて……。………キュゥべえ！
Ｑべえ,暁美ほむら……君達に………君に、逢えて良かった……
女性,だからって三十路の女に魔法少女やらせる？
ＱＢ,いいじゃないか、似合ってるよ
女性,………嬉しくないなぁ……
ＱＢ,っと、あそこが事故現場だよ！
女性,確かに酷い事故ね……こうなると、事故に遭った本人の方が適任じゃないの？。はいはい、迷わない！とにかく、生存者を捜さないと！
少女,……だ、だれか……いるの……？
女性,難しい説明は後！
ＱＢ,で、でも、これ言わないと規約違反だよぉ……
少女,まほう……しょうじょ……？
女性,そう、魔法少女……私も魔法少女
ＱＢ,もう三十歳だけどね
女性,話の腰を折らないの！
少女,おねがい……まじゅう……うちゅう……？
女性,だから、エネルギー問題とかの話は後だって！
ＱＢ,だ、だって、ちゃんと全部説明しないと不公平じゃないか！
女性,公正さを大事にするのもいいけどケースバイケースよ！空気読みなさない！
ＱＢ,うぅ……昔はあんなに可愛くて優しかったのにぃ……
少女,おねがい……わたしが……かなえる？
女性,そうよ
少女,おねがい……かなえて……。おねがい………！た、助けて！
女性,それがあなたの願いね……インキュベーター、叶えてあげて！
少女,おねがい……パパとママを、助けて！
ＱＢ,それが君の……本当の願いだね？
少女,うん……！
ＱＢ,分かった……契約だ。君の名前は……？
少女,ともえ……マミ……
マミ,は、はい！
絢子,悪いねほむらちゃん、あの子、もうすぐ出て来るから
ほむら,いえ、お気になさらず……いってらっしゃい、おばさま
絢子,おう！じゃあ、いってきまーす！
まどか,ごめん、ほむらちゃん！。うん
さやか,お、珍しくあたしが一番か……。次に来るのはまどかとほむらか、まあ、仁美だろうなあ……
少女,分かってるよ、お姉ちゃん
ゆま？,う～、キョーコも一緒がいい……。う～
少女,ほら、ゆまちゃん、小姉ちゃんと一緒に学校行こう
さやか,！？
キョーコ？,…………フフフ
さやか,………この感じ………ああ、同業者か
まどか,あの二人って、決着つくのかなぁ？
ほむら,上条君の優柔不断ぶりが治らない限り無理ね……。でも、さやかが魔法少女の願いで腕を治したって言ったら、すぐに形勢逆転じゃないからしら？。………あ、ありがとう。本当に素直じゃないな……私は……
？？,えっと、君が鹿目まどかと暁美ほむらかい？
ほむら,…………。キュゥ……べえ……？。そう……お前、キュゥべえって言う名前なのね。お前となら、契約してもいいかしら……？。難攻不落って何？
Ｑべえ,あ、あうあう……こ、これも禁句だった……
ほむら,そうね………契約の願いは何にしようかしら………
Ｑべえ,け、契約してくれるの？
まどか,ほむらちゃんが契約するなら、私も契約しようかな
ほむら,そうね……私の願いは……
キュゥべえ,ボクを信じてくれ、暁美ほむら
まどか,は～い！オマケシナリオ、はっじまるよ～
話Ｘ話,みんなと一緒に、ずっと笑って過ごしたい
ほむら,…………
さやか,……仁美や恭介の家も大きいけど、マミさんの家も大きいなぁ……
まどか,さ、さやかちゃん、失礼だよ
杏子,やっぱり、皆さん、普通はそう言う反応しますよね
さやか,杏子はマミさんの家、初めてじゃないんだ。ホントだよ……昨日今日成り立てのまどかやほむらとは比べものになんないって
マミ,さあ、みんな、あがって
犬,ワンッ、ワンッ
マミ,アハハハ……ただいま、シャル
シャル,クゥゥン、クゥゥン……。ワンッ、ワンッ
さやか,赤い屋根の白い家に、大型犬……う～ん、ナチュラルボーンお嬢様って感じ
まどか,さ、さやかちゃん！そんな事言ったらマミさんに失礼だよ
ほむら,まどか、止めなさい……。その子に何言っても今更治らないわ
マミ,フフフ……美樹さんは面白い子ね
ほむら,バカなだけです
さやか,誰がバカだー！
ほむら,自覚症状がないなら診断書を書いて特効薬を処方するわ。勿論、保険は対象外よ
さやか,まぁどぉかぁ～、ほむほむが虐めるよぉ
まどか,あ、アハハハ……
さやか,た、高そうだ……
Ｑべえ,やぁ、みんな！
まどか,キュゥべえ、こんにちわ
マミ,あら、新しいインキュベーターは名前を名乗ってくれたのね
杏子,珍しい事もあるんですね
さやか,ほむらが誘導尋問したらしいですよ
Ｑべえ,今日はまどかとほむら、それにさやかの三人への講習が目的でいいのかな？
杏子,私も、新人時代にはマミさんによく助けて貰ってましたから
マミ,でも、そう言ってもらえると嬉しいわ
Ｑべえ,さて、と……それじゃあ説明だね
まどか,ある使命？
杏子,前にも思ったけれど、宇宙の電力会社みたいね
まどか,それに、人助けも出来て嬉しいしね
Ｑべえ,そう言ってもらえると気が楽になるよ……
さやか,つまり、感情力発電って事？
Ｑべえ,まあ、そうだね
ほむら,まどかと言う実例で、よく理解できたわ
まどか,アハハハ……
さやか,へぇ、凄いじゃん、まどか！
まどか,そ、そうなのかなぁ……何だか、実感がないけど
さやか,ま、まどかのが……すごく……大きいです……
ほむら,確かに……
Ｑべえ,他のみんなも、一般レベルとして考えればかなり良いサイズだと思うよ
さやか,そう言えば……まどかの願いは聞いたけど、他のみんなって契約の時に何を願ったの？
ほむら,は？
さやか,っ、ぐすっ……み、みんな……苦労したんだなぁ、ひっく
杏子,さやかさんは、どんな願い事をされたんですか？。その方の事、好きなんですね。ふふふふ……さやかさんって楽しい方ですね
ほむら,ハァ………
さやか,そ、そう言うほむらはどんな願いをしたんだよー！。えー！ほむらだけ内緒なんてズルいぞー！
マミ,そうね……私もちょっとだけ知りたいわ
まどか,ほむらちゃん
ほむら,ま、まどか！
まどか,喋っちゃおうよ
ほむら,は、離しなさい、さやか！
杏子,素直になりましょう、ほむらさん
マミ,暁美さん、話してくれるかしら？
まどか,ほむらちゃん、頑張って
Ｑべえ,ほむらが話し難いなら、特例としてボクから話すけど？
ほむら,どんな特例よ！特例の意味知ってて言っているのかしら！？。ぜ、絶対に言わないわよ！
杏子,あらあら、挙式の準備をしませんと。同性のカップルもステキですね
マミ,ねぇねぇ、暁美さん、どんな願いだったの？
まどか,みんな仲が良くて、楽しいなぁ
Ｑべえ,やっぱり、ボクの口から……。そ、それは困るよぉ～
ほむら,絶対に、話すもんですかぁぁ！
